Many	JJ	many
same	JJ	same
students	NNS	student
,	,	,
unbeknownst	JJ	unbeknownst
to	TO	to
me	PP	me
,	,	,
were	VBD	be
already	RB	already
studying	VBG	study
Finnish	JJ	Finnish
and	CC	and
Swedish	JJ	Swedish
and	CC	and
sometimes	RB	sometimes
other	JJ	other
languages	NNS	language
in	IN	in
school	NN	school
.	SENT	.
At	IN	at
the	DT	the
time	NN	time
I	PP	I
thought	VBD	think
Finland	NP	Finland
must	MD	must
be	VB	be
some	DT	some
sort	NN	sort
of	IN	of
multilingual	JJ	multilingual
anomaly	NN	anomaly
.	SENT	.
It	PP	it
couldn	NNS	<unknown>
'	''	'
t	NN	t
be	VB	be
the	DT	the
norm	NN	norm
for	IN	for
elementary	JJ	elementary
school	NN	school
students	NNS	student
to	TO	to
be	VB	be
learning	VBG	learn
multiple	JJ	multiple
languages	NNS	language
,	,	,
could	MD	could
it	PP	it
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
turns	VBZ	turn
out	RP	out
,	,	,
globally	RB	globally
,	,	,
it	PP	it
often	RB	often
is	VBZ	be
.	SENT	.
America	NP	America
really	RB	really
is	VBZ	be
more	JJR	more
of	IN	of
a	DT	a
global	JJ	global
standout	NN	standout
,	,	,
and	CC	and
not	RB	not
for	IN	for
good	JJ	good
reason	NN	reason
in	IN	in
this	DT	this
case	NN	case
.	SENT	.
The	DT	the
US	NP	US
stands	VBZ	stand
out	RB	out
due	JJ	due
to	TO	to
its	PP$	its
monolingualism	NN	<unknown>
in	IN	in
schools	NNS	school
,	,	,
which	WDT	which
is	VBZ	be
in	IN	in
sharp	JJ	sharp
contrast	NN	contrast
to	TO	to
the	DT	the
fact	NN	fact
that	IN	that
this	DT	this
country	NN	country
is	VBZ	be
an	DT	an
incredibly	RB	incredibly
linguistically	RB	linguistically
diverse	JJ	diverse
place	NN	place
.	SENT	.
So	RB	so
,	,	,
how	WRB	how
do	VBP	do
I	PP	I
know	VBP	know
?	SENT	?
Well	RB	well
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
with	IN	with
and	CC	and
studying	VBG	study
multilingual	JJ	multilingual
learners	NNS	learner
for	IN	for
over	IN	over
20	CD	@card@
years	NNS	year
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
a	DT	a
language	NN	language
learner	NN	learner
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
taught	VBD	teach
English	JJ	English
as	IN	as
a	DT	a
second	JJ	second
language	NN	language
and	CC	and
English	JJ	English
as	IN	as
a	DT	a
foreign	JJ	foreign
language	NN	language
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
carried	VBD	carry
out	RP	out
language	NN	language
policy	NN	policy
research	NN	research
in	IN	in
several	JJ	several
different	JJ	different
countries	NNS	country
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
'	POS	'
ve	NN	ve
realized	VBD	realize
:	:	:
here	RB	here
in	IN	in
the	DT	the
US	NP	US
,	,	,
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
it	PP	it
wrong	JJ	wrong
.	SENT	.
America	NP	America
is	VBZ	be
not	RB	not
tapping	VBG	tap
into	IN	into
what	WP	what
I	PP	I
see	VBP	see
as	IN	as
our	PP$	our
greatest	JJS	great
asset	NN	asset
,	,	,
which	WDT	which
is	VBZ	be
our	PP$	our
linguistic	JJ	linguistic
diversity	NN	diversity
.	SENT	.
So	RB	so
you	PP	you
might	MD	might
be	VB	be
thinking	VBG	think
,	,	,
okay	JJ	okay
,	,	,
but	CC	but
does	VBZ	do
this	DT	this
even	JJ	even
matter	NN	matter
?	SENT	?
And	CC	and
if	IN	if
it	PP	it
matters	VBZ	matter
,	,	,
what	WP	what
do	VBP	do
we	PP	we
do	VBP	do
about	IN	about
it	PP	it
?	SENT	?
So	RB	so
,	,	,
spoiler	NN	spoiler
alert	NN	alert
:	:	:
it	PP	it
matters	VBZ	matter
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
talk	VB	talk
about	RB	about
what	WP	what
we	PP	we
can	MD	can
do	VB	do
about	IN	about
it	PP	it
.	SENT	.
But	CC	but
first	RB	first
,	,	,
I	PP	I
'	POS	'
d	NN	d
like	IN	like
you	PP	you
to	TO	to
come	VB	come
with	IN	with
me	PP	me
on	IN	on
a	DT	a
journey	NN	journey
to	TO	to
an	DT	an
American	JJ	American
public	JJ	public
elementary	JJ	elementary
school	NN	school
.	SENT	.
Feel	VB	feel
free	JJ	free
to	TO	to
imagine	VB	imagine
your	PP$	your
own	JJ	own
from	IN	from
growing	VBG	grow
up	RP	up
,	,	,
or	CC	or
maybe	RB	maybe
one	CD	one
near	JJ	near
where	WRB	where
you	PP	you
currently	RB	currently
live	VBP	live
,	,	,
or	CC	or
maybe	RB	maybe
even	RB	even
one	CD	one
from	IN	from
TV	NN	TV
.	SENT	.
Now	RB	now
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
go	VBP	go
inside	RB	inside
.	SENT	.
Once	RB	once
we	PP	we
step	VB	step
in	IN	in
,	,	,
it	PP	it
'	POS	'
s	NN	S
immediately	RB	immediately
evident	JJ	evident
that	IN	that
this	DT	this
is	VBZ	be
a	DT	a
multilingual	JJ	multilingual
place	NN	place
.	SENT	.
So	RB	so
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
know	VBP	know
?	SENT	?
Maybe	RB	maybe
there	EX	there
'	''	'
s	NN	S
posters	NNS	poster
and	CC	and
decor	NN	decor
in	IN	in
multiple	JJ	multiple
languages	NNS	language
.	SENT	.
Maybe	RB	maybe
you	PP	you
hear	VBP	hear
conversations	NNS	conversation
happening	VBG	happen
with	IN	with
adults	NNS	adult
and	CC	and
students	NNS	student
in	IN	in
different	JJ	different
languages	NNS	language
,	,	,
and	CC	and
maybe	RB	maybe
there	EX	there
'	''	'
s	NN	S
even	RB	even
signs	VBZ	sign
that	IN	that
explicitly	RB	explicitly
say	VBP	say
that	IN	that
multiple	JJ	multiple
languages	NNS	language
are	VBP	be
welcomed	VBN	welcome
and	CC	and
can	MD	can
be	VB	be
supported	VBN	support
.	SENT	.
Now	RB	now
let	VB	let
'	''	'
s	NNS	<unknown>
walk	VBP	walk
down	RP	down
the	DT	the
hall	NN	hall
into	IN	into
a	DT	a
classroom	NN	classroom
.	SENT	.
Inside	RB	inside
,	,	,
students	NNS	student
are	VBP	be
doing	VBG	do
a	DT	a
math	NN	math
lesson	NN	lesson
in	IN	in
English	NP	English
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
working	VBG	work
in	IN	in
small	JJ	small
groups	NNS	group
on	IN	on
word	NN	word
problems	NNS	problem
as	IN	as
the	DT	the
teacher	NN	teacher
walks	VBZ	walk
around	IN	around
the	DT	the
class	NN	class
supporting	VBG	support
the	DT	the
learning	NN	learning
.	SENT	.
And	CC	and
then	RB	then
,	,	,
in	IN	in
Spanish	NP	Spanish
,	,	,
the	DT	the
teacher	NN	teacher
says	VBZ	say
it	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
to	TO	to
transition	NN	transition
to	TO	to
a	DT	a
science	NN	science
lesson	NN	lesson
.	SENT	.
She	PP	she
talks	VBZ	talk
about	IN	about
the	DT	the
science	NN	science
content	NN	content
,	,	,
hands	NNS	hand
out	IN	out
some	DT	some
papers	NNS	paper
for	IN	for
the	DT	the
day	NN	day
'	POS	'
s	NN	S
assignment	NN	assignment
.	SENT	.
The	DT	the
students	NNS	student
attentively	RB	attentively
listen	VBP	listen
,	,	,
and	CC	and
then	RB	then
they	PP	they
begin	VBP	begin
to	TO	to
interact	VB	interact
with	IN	with
each	DT	each
other	JJ	other
and	CC	and
the	DT	the
new	JJ	new
science	NN	science
content	NN	content
—	:	-
all	DT	all
in	IN	in
Spanish	NP	Spanish
.	SENT	.
So	RB	so
one	CD	one
subject	NN	subject
in	IN	in
English	NP	English
and	CC	and
the	DT	the
next	JJ	next
subject	NN	subject
in	IN	in
Spanish	NP	Spanish
.	SENT	.
Whoa	NP	Whoa
.	SENT	.
How	WRB	how
does	VBZ	do
this	DT	this
feel	NN	feel
?	SENT	?
Full	JJ	full
disclosure	NN	disclosure
,	,	,
to	TO	to
me	PP	me
,	,	,
this	DT	this
is	VBZ	be
like	IN	like
a	DT	a
school-based	JJ	school-based
multilingual	JJ	multilingual
dream	NN	dream
come	VBN	come
true	JJ	true
.	SENT	.
But	CC	but
I	PP	I
bet	VBP	bet
that	IN	that
this	DT	this
also	RB	also
might	MD	might
feel	VB	feel
kind	NN	kind
of	IN	of
unnerving	JJ	unnerving
or	CC	or
surprising	JJ	surprising
or	CC	or
a	DT	a
little	JJ	little
bit	NN	bit
chaotic	JJ	chaotic
to	TO	to
some	DT	some
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
those	DT	those
feelings	NNS	feeling
may	MD	may
stem	VB	stem
from	IN	from
the	DT	the
fact	NN	fact
that	IN	that
this	DT	this
true	JJ	true
embracing	VBG	embrace
of	IN	of
multilingualism	NN	<unknown>
is	VBZ	be
very	RB	very
,	,	,
very	RB	very
unusual	JJ	unusual
in	IN	in
the	DT	the
US	NP	US
and	CC	and
it	PP	it
'	POS	'
s	NN	S
very	RB	very
uncommon	JJ	uncommon
to	TO	to
see	VB	see
in	IN	in
American	JJ	American
schools	NNS	school
.	SENT	.
But	CC	but
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
thing	NN	thing
,	,	,
here	RB	here
in	IN	in
the	DT	the
US	NP	US
,	,	,
we	PP	we
have	VBP	have
tons	NNS	ton
of	IN	of
raw	JJ	raw
potential	NN	potential
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
language	NN	language
diversity	NN	diversity
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
in	IN	in
2022	CD	@card@
,	,	,
Ethnologue	NN	<unknown>
ranked	VBD	rank
the	DT	the
US	NP	US
5th	JJ	5th
of	IN	of
all	DT	all
countries	NNS	country
in	IN	in
the	DT	the
world	NN	world
in	IN	in
terms	NNS	term
of	IN	of
language	NN	language
diversity	NN	diversity
with	IN	with
337	CD	@card@
spoken	VBN	speak
languages	NNS	language
.	SENT	.
Similarly	RB	similarly
,	,	,
nearly	RB	nearly
one	CD	one
quarter	NN	quarter
of	IN	of
students	NNS	student
in	IN	in
American	JJ	American
schools	NNS	school
speak	VBP	speak
a	DT	a
home	NN	home
language	NN	language
other	JJ	other
than	IN	than
English	NP	English
.	SENT	.
This	DT	this
means	VBZ	mean
that	IN	that
millions	NNS	million
of	IN	of
students	NNS	student
possess	VBP	possess
rich	JJ	rich
language	NN	language
skills	NNS	skill
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
not	RB	not
encouraging	VBG	encourage
the	DT	the
development	NN	development
of	IN	of
those	DT	those
skills	NNS	skill
alongside	IN	alongside
the	DT	the
development	NN	development
of	IN	of
English	NP	English
.	SENT	.
And	CC	and
therefore	RB	therefore
we	PP	we
are	VBP	be
not	RB	not
tapping	VBG	tap
into	IN	into
the	DT	the
linguistic	JJ	linguistic
diversity	NN	diversity
that	WDT	that
exists	VBZ	exist
among	IN	among
us	PP	us
and	CC	and
is	VBZ	be
already	RB	already
present	JJ	present
.	SENT	.
When	WRB	when
students	NNS	student
enter	VBP	enter
schools	NNS	school
,	,	,
their	PP$	their
language	NN	language
use	NN	use
and	CC	and
English	JJ	English
proficiency	NN	proficiency
is	VBZ	be
screened	VBN	screen
,	,	,
and	CC	and
if	IN	if
they	PP	they
'	POS	'
re	NN	re
in	IN	in
need	NN	need
of	IN	of
support	NN	support
,	,	,
they	PP	they
'	POS	'
re	NN	re
provided	VBD	provide
it	PP	it
.	SENT	.
But	CC	but
their	PP$	their
home	NN	home
and	CC	and
heritage	NN	heritage
languages	NNS	language
are	VBP	be
often	RB	often
set	VBN	set
aside	RB	aside
due	JJ	due
to	TO	to
long	JJ	long
standing	NN	standing
policies	NNS	policy
and	CC	and
practices	NNS	practice
that	WDT	that
focus	VBP	focus
heavily	RB	heavily
on	IN	on
English	NP	English
.	SENT	.
Now	RB	now
,	,	,
don	NN	don
'	POS	'
t	NN	t
get	VB	get
me	PP	me
wrong	JJ	wrong
—	:	-
I	PP	I
am	VBP	be
not	RB	not
here	RB	here
to	TO	to
tell	VB	tell
you	PP	you
that	IN	that
students	NNS	student
educated	VBN	educate
in	IN	in
America	NP	America
shouldn	NP	<unknown>
'	POS	'
t	NN	t
learn	VBP	learn
English	JJ	English
.	SENT	.
Well	RB	well
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
official	JJ	official
language	NN	language
in	IN	in
this	DT	this
country	NN	country
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
right	NN	right
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
official	JJ	official
language	NN	language
in	IN	in
the	DT	the
US	NP	US
.	SENT	.
English	NP	English
absolutely	RB	absolutely
is	VBZ	be
a	DT	a
lingua	NN	lingua
franca	NN	franca
and	CC	and
it	PP	it
'	POS	'
s	NN	S
an	DT	an
important	JJ	important
sociocultural	JJ	sociocultural
and	CC	and
economic	JJ	economic
tool	NN	tool
for	IN	for
communicating	VBG	communicate
in	IN	in
various	JJ	various
settings	NNS	setting
.	SENT	.
However	RB	however
,	,	,
students	NNS	student
'	POS	'
home	NN	home
and	CC	and
heritage	NN	heritage
languages	NNS	language
are	VBP	be
incredibly	RB	incredibly
valuable	JJ	valuable
too	RB	too
.	SENT	.
And	CC	and
that	DT	that
is	VBZ	be
what	WP	what
we	PP	we
'	''	'
re	IN	re
missing	VBG	miss
.	SENT	.
Students	NNS	student
are	VBP	be
entering	VBG	enter
schools	NNS	school
with	IN	with
rich	JJ	rich
language	NN	language
backgrounds	NNS	background
and	CC	and
cultural	JJ	cultural
experience	NN	experience
and	CC	and
knowledge	NN	knowledge
.	SENT	.
And	CC	and
schools	NNS	school
are	VBP	be
often	RB	often
ill-equipped	VBN	ill-equip
to	TO	to
support	VB	support
that	IN	that
,	,	,
which	WDT	which
means	VBZ	mean
that	IN	that
these	DT	these
languages	NNS	language
often	RB	often
go	VBP	go
uncelebrated	JJ	uncelebrated
,	,	,
or	CC	or
even	RB	even
worse	JJR	bad
,	,	,
over	IN	over
time	NN	time
,	,	,
they	PP	they
'	POS	'
re	NN	re
lost	VBN	lose
and	CC	and
forgotten	VBN	forget
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
that	IN	that
we	PP	we
stop	VB	stop
leveraging	VBG	leverage
dated	JJ	dated
policies	NNS	policy
and	CC	and
operating	VBG	operate
schools	NNS	school
in	IN	in
a	DT	a
monolingual	JJ	monolingual
way	NN	way
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	NNS	<unknown>
good	JJ	good
news	NN	news
here	RB	here
.	SENT	.
Because	IN	because
research	NN	research
shows	VBZ	show
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
language	NN	language
development	NN	development
program	NN	program
model	NN	model
called	VBD	call
dual	JJ	dual
language	NN	language
that	WDT	that
is	VBZ	be
highly	RB	highly
effective	JJ	effective
for	IN	for
all	DT	all
students	NNS	student
.	SENT	.
And	CC	and
by	IN	by
all	DT	all
,	,	,
I	PP	I
mean	VBP	mean
all	RB	all
.	SENT	.
There	EX	there
are	VBP	be
different	JJ	different
kinds	NNS	kind
of	IN	of
dual	JJ	dual
language	NN	language
programs	NNS	program
,	,	,
but	CC	but
the	DT	the
general	JJ	general
gist	NN	gist
is	VBZ	be
that	IN	that
participating	VBG	participate
students	NNS	student
receive	VB	receive
instruction	NN	instruction
in	IN	in
two	CD	two
languages	NNS	language
,	,	,
meaning	VBG	mean
that	IN	that
over	IN	over
time	NN	time
they	PP	they
become	VBP	become
bilingual	JJ	bilingual
.	SENT	.
Historically	RB	historically
in	IN	in
the	DT	the
US	NP	US
,	,	,
language	NN	language
policies	NNS	policy
and	CC	and
programs	NNS	program
have	VBP	have
often	RB	often
been	VBN	be
subtractive	JJ	subtractive
,	,	,
but	CC	but
dual	JJ	dual
language	NN	language
programs	NNS	program
are	VBP	be
additive	JJ	additive
,	,	,
which	WDT	which
means	VBZ	mean
that	IN	that
they	PP	they
'	POS	'
re	NN	re
focused	VBD	focus
on	IN	on
developing	VBG	develop
,	,	,
cultivating	VBG	cultivate
,	,	,
and	CC	and
sustaining	VBG	sustain
two	CD	two
languages	NNS	language
.	SENT	.
And	CC	and
research	NN	research
shows	VBZ	show
that	IN	that
these	DT	these
programs	NNS	program
are	VBP	be
really	RB	really
good	JJ	good
for	IN	for
all	DT	all
kids	NNS	kid
.	SENT	.
Not	RB	not
only	RB	only
are	VBP	be
they	PP	they
the	DT	the
most	RBS	most
effective	JJ	effective
type	NN	type
of	IN	of
instruction	NN	instruction
for	IN	for
students	NNS	student
who	WP	who
speak	VBP	speak
a	DT	a
language	NN	language
other	JJ	other
than	IN	than
English	NP	English
,	,	,
but	CC	but
they	PP	they
also	RB	also
benefit	VBP	benefit
native	JJ	native
English	JJ	English
speakers	NNS	speaker
,	,	,
and	CC	and
students	NNS	student
from	IN	from
diverse	JJ	diverse
racial	JJ	racial
and	CC	and
ethnic	JJ	ethnic
backgrounds	NNS	background
,	,	,
and	CC	and
students	NNS	student
with	IN	with
special	JJ	special
education	NN	education
needs	NNS	need
and	CC	and
exceptionalities	NNS	<unknown>
.	SENT	.
Students	NNS	student
enter	VBP	enter
these	DT	these
programs	NNS	program
speaking	VBG	speak
one	CD	one
language	NN	language
and	CC	and
they	PP	they
come	VBP	come
out	RP	out
of	IN	of
these	DT	these
programs	NNS	program
speaking	NN	speaking
,	,	,
listening	VBG	listen
,	,	,
reading	NN	reading
,	,	,
and	CC	and
writing	VBG	write
in	IN	in
two	CD	two
languages	NNS	language
proficiently	RB	proficiently
.	SENT	.
Dual	JJ	dual
language	NN	language
programs	NNS	program
work	VBP	work
and	CC	and
we	PP	we
could	MD	could
implement	VB	implement
them	PP	them
around	IN	around
the	DT	the
country	NN	country
.	SENT	.
Because	IN	because
the	DT	the
fact	NN	fact
of	IN	of
the	DT	the
matter	NN	matter
is	VBZ	be
that	RB	that
being	VBG	be
multilingual	JJ	multilingual
matters	NNS	matter
,	,	,
both	CC	both
for	IN	for
the	DT	the
individual	JJ	individual
and	CC	and
for	IN	for
our	PP$	our
society	NN	society
.	SENT	.
Speaking	VBG	speak
multiple	JJ	multiple
languages	NNS	language
expands	VBZ	expand
our	PP$	our
worldview	NN	<unknown>
.	SENT	.
It	PP	it
connects	VBZ	connect
us	PP	us
to	TO	to
our	PP$	our
own	JJ	own
identity	NN	identity
and	CC	and
links	VBZ	link
us	PP	us
to	TO	to
our	PP$	our
communities	NNS	community
,	,	,
our	PP$	our
cultures	NNS	culture
,	,	,
and	CC	and
our	PP$	our
families	NNS	family
.	SENT	.
And	CC	and
research	NN	research
shows	VBZ	show
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
these	DT	these
incredible	JJ	incredible
cognitive	JJ	cognitive
benefits	NNS	benefit
too	RB	too
.	SENT	.
Brains	NNS	brain
function	VBP	function
better	JJR	good
and	CC	and
can	MD	can
do	VB	do
more	RBR	more
when	WRB	when
they	PP	they
'	POS	'
re	NN	re
multilingual	JJ	multilingual
.	SENT	.
For	IN	for
instance	NN	instance
,	,	,
research	NN	research
indicates	VBZ	indicate
that	IN	that
bilingual	JJ	bilingual
brains	NNS	brain
are	VBP	be
better	JJR	good
than	IN	than
their	PP$	their
monolingual	JJ	monolingual
counterparts	NNS	counterpart
at	IN	at
conflict	NN	conflict
management	NN	management
,	,	,
and	CC	and
at	IN	at
executive	JJ	executive
functioning	NN	functioning
activities	NNS	activity
,	,	,
like	IN	like
multitasking	NP	multitasking
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
effects	NNS	effect
of	IN	of
this	DT	this
are	VBP	be
incredibly	RB	incredibly
far-reaching	JJ	far-reaching
and	CC	and
impactful	JJ	<unknown>
.	SENT	.
It	PP	it
really	RB	really
is	VBZ	be
amazing	JJ	amazing
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
it	PP	it
?	SENT	?
And	CC	and
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
end	NN	end
there	RB	there
,	,	,
because	IN	because
there	EX	there
'	''	'
s	VBG	<unknown>
these	DT	these
economic	JJ	economic
and	CC	and
geopolitical	JJ	geopolitical
benefits	NNS	benefit
too	RB	too
.	SENT	.
More	JJR	more
and	CC	and
more	JJR	more
jobs	NNS	job
seek	VBP	seek
bilingual	JJ	bilingual
candidates	NNS	candidate
,	,	,
and	CC	and
being	VBG	be
multilingual	JJ	multilingual
often	RB	often
leads	VBZ	lead
to	TO	to
more	RBR	more
lucrative	JJ	lucrative
job	NN	job
opportunities	NNS	opportunity
with	IN	with
global	JJ	global
potential	NN	potential
.	SENT	.
Around	IN	around
the	DT	the
world	NN	world
,	,	,
schools	NNS	school
are	VBP	be
producing	VBG	produce
bi-	JJ	<unknown>
and	CC	and
trilingual	JJ	trilingual
individuals	NNS	individual
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
notably	RB	notably
uncommon	RB	uncommon
here	RB	here
,	,	,
which	WDT	which
means	VBZ	mean
that	IN	that
students	NNS	student
educated	VBN	educate
in	IN	in
America	NP	America
are	VBP	be
at	IN	at
a	DT	a
disadvantage	NN	disadvantage
globally	RB	globally
in	IN	in
this	DT	this
way	NN	way
.	SENT	.
As	IN	as
technology	NN	technology
shrinks	VBZ	shrink
our	PP$	our
world	NN	world
and	CC	and
leads	VBZ	lead
to	TO	to
faster	JJR	fast
communication	NN	communication
,	,	,
and	CC	and
commerce	NN	commerce
,	,	,
and	CC	and
political	JJ	political
action	NN	action
,	,	,
being	VBG	be
multilingual	JJ	multilingual
can	MD	can
lead	VB	lead
to	TO	to
increased	VBN	increase
opportunities	NNS	opportunity
for	IN	for
travel	NN	travel
,	,	,
study	NN	study
,	,	,
work	NN	work
,	,	,
and	CC	and
personal	JJ	personal
growth	NN	growth
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
go	VBP	go
back	RB	back
to	TO	to
that	DT	that
journey	NN	journey
we	PP	we
took	VBD	take
.	SENT	.
Because	IN	because
the	DT	the
fact	NN	fact
of	IN	of
the	DT	the
matter	NN	matter
is	VBZ	be
that	IN	that
doesn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
to	TO	to
be	VB	be
a	DT	a
figment	NN	figment
of	IN	of
our	PP$	our
imagination	NN	imagination
.	SENT	.
That	DT	that
journey	NN	journey
took	VBD	take
us	PP	us
to	TO	to
a	DT	a
dual	JJ	dual
language	NN	language
program	NN	program
,	,	,
and	CC	and
what	WP	what
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
is	VBZ	be
build	VB	build
and	CC	and
grow	VB	grow
these	DT	these
programs	NNS	program
in	IN	in
order	NN	order
to	TO	to
build	VB	build
and	CC	and
grow	VB	grow
multilingualism	NN	<unknown>
.	SENT	.
Through	IN	through
dual	JJ	dual
language	NN	language
,	,	,
we	PP	we
have	VBP	have
the	DT	the
opportunity	NN	opportunity
to	TO	to
cultivate	VB	cultivate
languages	NNS	language
,	,	,
honor	VB	honor
cultural	JJ	cultural
and	CC	and
linguistic	JJ	linguistic
capital	NN	capital
,	,	,
and	CC	and
foster	JJ	foster
connections	NNS	connection
within	IN	within
schools	NNS	school
and	CC	and
communities	NNS	community
.	SENT	.
So	RB	so
instead	RB	instead
of	IN	of
thinking	VBG	think
of	IN	of
it	PP	it
as	IN	as
a	DT	a
journey	NN	journey
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
think	VBP	think
of	IN	of
it	PP	it
as	IN	as
a	DT	a
foundation	NN	foundation
upon	IN	upon
which	WDT	which
to	TO	to
build	VB	build
better	JJR	good
school	NN	school
programs	NNS	program
that	WDT	that
honor	VBP	honor
the	DT	the
language	NN	language
diversity	NN	diversity
that	WDT	that
exists	VBZ	exist
among	IN	among
us	PP	us
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
first	JJ	first
step	NN	step
towards	IN	towards
celebrating	VBG	celebrate
and	CC	and
elevating	VBG	elevate
multilingualism	NN	<unknown>
.	SENT	.
Together	RB	together
,	,	,
we	PP	we
can	MD	can
help	VB	help
students	NNS	student
develop	VB	develop
skills	NNS	skill
in	IN	in
more	JJR	more
than	IN	than
one	CD	one
language	NN	language
.	SENT	.
Students	NNS	student
who	WP	who
will	MD	will
