Cloe	NP	Cloe
s	NNS	<unknown>
a	DT	a
rescue	NN	rescue
from	IN	from
Texas	NP	Texas
.	SENT	.
She	PP	she
wishes	VBZ	wish
she	PP	she
could	MD	could
have	VB	have
been	VBN	be
here	RB	here
.	SENT	.
CSB	NP	CSB
:	:	:
So	RB	so
in	IN	in
your	PP$	your
travels	NNS	travel
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
photographed	VBD	photograph
dogs	NNS	dog
all	RB	all
over	IN	over
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
noticed	VBD	notice
,	,	,
in	IN	in
your	PP$	your
writing	NN	writing
,	,	,
that	WDT	that
you	PP	you
note	VBP	note
the	DT	the
differences	NNS	difference
in	IN	in
cultures	NNS	culture
about	IN	about
how	WRB	how
people	NNS	people
relate	VBP	relate
to	TO	to
dogs	NNS	dog
,	,	,
based	VBN	base
on	IN	on
where	WRB	where
you	PP	you
are	VBP	be
.	SENT	.
So	RB	so
will	MD	will
you	PP	you
tell	VB	tell
us	PP	us
about	IN	about
some	DT	some
of	IN	of
your	PP$	your
most	RBS	most
favorite	JJ	favorite
cultures	NNS	culture
,	,	,
around	IN	around
dogs	NNS	dog
?	SENT	?
EWF	NN	EWF
:	:	:
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
universal	JJ	universal
thing	NN	thing
around	IN	around
dogs	NNS	dog
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
one	CD	one
of	IN	of
the	DT	the
great	JJ	great
things	NNS	thing
about	IN	about
my	PP$	my
job	NN	job
,	,	,
is	VBZ	be
I	PP	I
can	MD	can
travel	VB	travel
anywhere	RB	anywhere
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
just	RB	just
yesterday	NN	yesterday
,	,	,
I	PP	I
was	VBD	be
walking	VBG	walk
around	IN	around
Atlanta	NP	Atlanta
,	,	,
meeting	NN	meeting
people	NNS	people
and	CC	and
their	PP$	their
dogs	NNS	dog
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
some	DT	some
trends	NNS	trend
,	,	,
like	IN	like
in	IN	in
LA	NP	LA
,	,	,
the	DT	the
dogs	NNS	dog
are	VBP	be
in	IN	in
people	NNS	people
'	POS	'
s	NN	S
cars	NNS	car
with	IN	with
them	PP	them
,	,	,
so	RB	so
they	PP	they
spend	VBP	spend
even	RB	even
more	JJR	more
time	NN	time
with	IN	with
their	PP$	their
dogs	NNS	dog
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
traveled	VBD	travel
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
Like	IN	like
,	,	,
that	DT	that
last	JJ	last
image	NN	image
was	VBD	be
in	IN	in
the	DT	the
UK	NP	UK
,	,	,
a	DT	a
dog	NN	dog
called	VBD	call
Tuppence	NN	tuppence
,	,	,
at	IN	at
a	DT	a
pub	NN	pub
.	SENT	.
And	CC	and
I	PP	I
just	RB	just
thought	VBD	think
that	WDT	that
was	VBD	be
,	,	,
like	VB	like
,	,	,
a	DT	a
quintessential	JJ	quintessential
thing	NN	thing
that	IN	that
you	PP	you
don	VB	don
'	''	'
t	NN	t
see	VBP	see
quite	RB	quite
as	RB	as
often	RB	often
in	IN	in
the	DT	the
States	NPS	States
,	,	,
hopefully	RB	hopefully
more	RBR	more
often	RB	often
.	SENT	.
The	DT	the
next	JJ	next
picture	NN	picture
,	,	,
I	PP	I
think	VBP	think
,	,	,
was	VBD	be
taken	VBN	take
in	IN	in
Maine	NP	Maine
,	,	,
or	CC	or
this	DT	this
is	VBZ	be
in	IN	in
Pisa	NP	Pisa
,	,	,
but	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
universal	JJ	universal
thing	NN	thing
,	,	,
where	WRB	where
I	PP	I
can	MD	can
travel	VB	travel
anywhere	RB	anywhere
,	,	,
I	PP	I
could	MD	could
go	VB	go
to	TO	to
Antarctica	NP	Antarctica
and	CC	and
find	VB	find
a	DT	a
dog	NN	dog
,	,	,
and	CC	and
relate	VBP	relate
to	TO	to
someone	NN	someone
,	,	,
and	CC	and
connect	VBP	connect
with	IN	with
someone	NN	someone
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
if	IN	if
I	PP	I
'	POS	'
m	NN	m
photographing	VBG	photograph
people	NNS	people
,	,	,
they	PP	they
may	MD	may
not	RB	not
be	VB	be
as	RB	as
interested	JJ	interested
,	,	,
because	RB	because
,	,	,
like	VB	like
,	,	,
"	``	"
What	WP	what
'	POS	'
s	NN	S
this	DT	this
about	RB	about
?	SENT	?
"	''	"
But	CC	but
as	RB	as
soon	RB	soon
as	IN	as
I	PP	I
start	VBP	start
talking	VBG	talk
about	IN	about
their	PP$	their
dog	NN	dog
,	,	,
they	PP	they
'	POS	'
re	NN	re
like	IN	like
,	,	,
"	``	"
How	WRB	how
do	VBP	do
you	PP	you
want	VBP	want
him	PP	him
?	SENT	?
Let	VB	let
me	PP	me
get	VB	get
the	DT	the
eye	NN	eye
boogers	NNS	<unknown>
out	RB	out
.	SENT	.
"	``	"
This	DT	this
was	VBD	be
kind	NN	kind
of	IN	of
a	DT	a
funny	JJ	funny
one	CD	one
.	SENT	.
I	PP	I
was	VBD	be
in	IN	in
Croatia	NP	Croatia
,	,	,
and	CC	and
they	PP	they
often	RB	often
have	VBP	have
these	DT	these
,	,	,
like	VB	like
,	,	,
town	NN	town
dogs	NNS	dog
,	,	,
that	WDT	that
are	VBP	be
just	RB	just
roaming	VBG	roam
around	IN	around
the	DT	the
entire	JJ	entire
time	NN	time
,	,	,
while	IN	while
you	PP	you
'	POS	'
re	NN	re
,	,	,
you	PP	you
know	VBP	know
,	,	,
out	IN	out
having	VBG	have
dinner	NN	dinner
.	SENT	.
And	CC	and
I	PP	I
asked	VBD	ask
a	DT	a
local	JJ	local
,	,	,
like	JJ	like
,	,	,
"	''	"
What	WP	what
'	POS	'
s	NNS	<unknown>
this	DT	this
dog	NN	dog
?	SENT	?
"	``	"
He	PP	he
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
"	''	"
That	DT	that
'	''	'
s	NN	S
Žuti	NNS	<unknown>
,	,	,
"	''	"
which	WDT	which
means	VBZ	mean
"	``	"
yellow	JJ	yellow
"	''	"
in	IN	in
Croatian	JJ	Croatian
.	SENT	.
I	PP	I
was	VBD	be
like	IN	like
trying	VBG	try
to	TO	to
get	VB	get
a	DT	a
picture	NN	picture
of	IN	of
Žuti	NN	<unknown>
,	,	,
and	CC	and
I	PP	I
captured	VBD	capture
him	PP	him
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
maybe	RB	maybe
he	PP	he
lives	VBZ	live
in	IN	in
one	CD	one
place	NN	place
,	,	,
but	CC	but
he	PP	he
wanders	VBZ	wander
around	RP	around
.	SENT	.
The	DT	the
whole	JJ	whole
town	NN	town
is	VBZ	be
his	PP$	his
.	SENT	.
Yes	UH	yes
.	SENT	.
And	CC	and
this	DT	this
was	VBD	be
in	IN	in
Switzerland	NP	Switzerland
,	,	,
obviously	RB	obviously
,	,	,
at	IN	at
the	DT	the
Saint	NP	Saint
Bernard	NP	Bernard
Museum	NP	Museum
.	SENT	.
That	DT	that
was	VBD	be
a	DT	a
fun	NN	fun
trip	NN	trip
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
I	PP	I
gleaned	VBD	glean
from	IN	from
that	DT	that
trip	NN	trip
was	VBD	be
,	,	,
like	VB	like
,	,	,
in	IN	in
places	NNS	place
in	IN	in
Europe	NP	Europe
,	,	,
in	IN	in
Switzerland	NP	Switzerland
,	,	,
they	PP	they
take	VBP	take
dogs	NNS	dog
very	RB	very
seriously	RB	seriously
.	SENT	.
Like	IN	like
,	,	,
to	TO	to
become	VB	become
a	DT	a
breeder	NN	breeder
,	,	,
you	PP	you
need	VBP	need
to	TO	to
,	,	,
like	VB	like
,	,	,
go	VB	go
to	TO	to
a	DT	a
dog	NN	dog
training	NN	training
class	NN	class
or	CC	or
something	NN	something
.	SENT	.
And	CC	and
I	PP	I
appreciate	VBP	appreciate
that	RB	that
.	SENT	.
Sort	NN	sort
of	IN	of
,	,	,
like	VB	like
,	,	,
they	PP	they
'	POS	'
re	NN	re
part	NN	part
of	IN	of
our	PP$	our
family	NN	family
.	SENT	.
Whereas	IN	whereas
I	PP	I
think	VBP	think
,	,	,
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
,	,	,
sometimes	RB	sometimes
,	,	,
we	PP	we
feel	VBP	feel
like	IN	like
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
rules	NNS	rule
about	IN	about
breeding	NN	breeding
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
why	WRB	why
sometimes	RB	sometimes
,	,	,
there	EX	there
'	''	'
s	NN	S
overpopulation	NN	overpopulation
.	SENT	.
CSB	NP	CSB
:	:	:
Right	NN	right
.	SENT	.
EWF	NN	EWF
:	:	:
Yeah	RB	yeah
.	SENT	.
CSB	NP	CSB
:	:	:
Let	NP	Let
'	POS	'
s	JJ	<unknown>
talk	NN	talk
about	IN	about
service	NN	service
dogs	NNS	dog
for	IN	for
a	DT	a
moment	NN	moment
.	SENT	.
So	RB	so
anytime	RB	anytime
I	PP	I
go	VBP	go
to	TO	to
the	DT	the
airport	NN	airport
and	CC	and
I	PP	I
see	VBP	see
a	DT	a
service	NN	service
dog	NN	dog
,	,	,
I	PP	I
cry	VBP	cry
.	SENT	.
And	CC	and
in	IN	in
a	DT	a
good	JJ	good
way	NN	way
,	,	,
because	IN	because
I	PP	I
just	RB	just
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
so	RB	so
amazing	JJ	amazing
that	IN	that
they	PP	they
can	MD	can
do	VB	do
work	NN	work
for	IN	for
us	PP	us
in	IN	in
such	PDT	such
a	DT	a
crazy	JJ	crazy
environment	NN	environment
.	SENT	.
But	CC	but
they	PP	they
have	VBP	have
so	RB	so
many	JJ	many
other	JJ	other
functions	NNS	function
,	,	,
they	PP	they
do	VBP	do
so	RB	so
much	RB	much
for	IN	for
people	NNS	people
,	,	,
and	CC	and
there	EX	there
'	''	'
s	NN	S
so	IN	so
much	JJ	much
research	NN	research
about	IN	about
post-traumatic	JJ	post-traumatic
stress	NN	stress
disorder	NN	disorder
and	CC	and
other	JJ	other
mental	JJ	mental
health	NN	health
conditions	NNS	condition
.	SENT	.
I	PP	I
imagine	VBP	imagine
you	PP	you
'	''	'
ve	NNS	<unknown>
met	VBD	meet
a	DT	a
lot	NN	lot
of	IN	of
folks	NNS	folk
who	WP	who
have	VBP	have
really	RB	really
benefited	VBN	benefit
from	IN	from
service	NN	service
dogs	NNS	dog
,	,	,
so	IN	so
we	PP	we
'	POS	'
d	NN	d
love	NN	love
to	TO	to
hear	VB	hear
some	DT	some
stories	NNS	story
.	SENT	.
EWF	NN	EWF
:	:	:
There	EX	there
'	''	'
s	VBG	<unknown>
all	DT	all
types	NNS	type
of	IN	of
service	NN	service
dogs	NNS	dog
,	,	,
like	IN	like
the	DT	the
therapy	NN	therapy
dogs	NNS	dog
at	IN	at
the	DT	the
airport	NN	airport
,	,	,
guide	NN	guide
dogs	NNS	dog
that	WDT	that
guide	VBP	guide
visually	RB	visually
impaired	JJ	impaired
people	NNS	people
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
ve	NN	ve
done	VBN	do
this	DT	this
series	NN	series
over	IN	over
the	DT	the
years	NNS	year
with	IN	with
this	DT	this
organization	NN	organization
called	VBN	call
America	NP	America
'	POS	'
s	NN	S
VetDogs	NNS	<unknown>
,	,	,
and	CC	and
they	PP	they
raise	VBP	raise
and	CC	and
train	VBP	train
lab	NN	lab
mixes	NNS	mix
for	IN	for
veterans	NNS	veteran
,	,	,
and	CC	and
they	PP	they
often	RB	often
have	VBP	have
PTSD	JJ	<unknown>
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
series	NN	series
I	PP	I
did	VBD	do
with	IN	with
this	DT	this
woman	NN	woman
named	VBN	name
Sharon	NP	Sharon
and	CC	and
her	PP$	her
dog	NN	dog
Eddie	NP	Eddie
,	,	,
and	CC	and
it	PP	it
sort	VBP	sort
of	IN	of
started	VBN	start
as	IN	as
this	DT	this
typical	JJ	typical
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
meeting	VBG	meet
this	DT	this
woman	NN	woman
at	IN	at
her	PP$	her
house	NN	house
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
chat	VB	chat
.	SENT	.
And	CC	and
I	PP	I
get	VBP	get
there	RB	there
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
she	PP	she
'	POS	'
s	NN	S
demonstrating	VBG	demonstrate
the	DT	the
different	JJ	different
things	NNS	thing
Eddie	NP	Eddie
can	MD	can
do	VB	do
.	SENT	.
And	CC	and
he	PP	he
'	POS	'
ll	NNS	<unknown>
do	VBP	do
nightmare	NN	nightmare
interruption	NN	interruption
.	SENT	.
If	IN	if
she	PP	she
'	POS	'
s	NNS	<unknown>
having	VBG	have
a	DT	a
nightmare	NN	nightmare
,	,	,
he	PP	he
'	POS	'
ll	NNS	<unknown>
nudge	VB	nudge
her	PP	her
awake	VB	awake
or	CC	or
pick	VB	pick
up	RP	up
her	PP$	her
keys	NNS	key
or	CC	or
turn	VB	turn
the	DT	the
lights	NNS	light
on	RB	on
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
all	RB	all
,	,	,
like	JJ	like
,	,	,
typical	JJ	typical
.	SENT	.
And	CC	and
she	PP	she
was	VBD	be
normal	JJ	normal
.	SENT	.
And	CC	and
she	PP	she
was	VBD	be
an	DT	an
RN	NN	RN
,	,	,
she	PP	she
was	VBD	be
a	DT	a
nurse	NN	nurse
in	IN	in
the	DT	the
Army	NP	Army
.	SENT	.
And	CC	and
so	RB	so
she	PP	she
has	VBZ	have
seen	VBN	see
people	NNS	people
at	IN	at
their	PP$	their
worst	JJS	bad
,	,	,
you	PP	you
know	VBP	know
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
hard	JJ	hard
to	TO	to
come	VB	come
back	RB	back
and	CC	and
just	RB	just
forget	VB	forget
that	IN	that
or	CC	or
reintegrate	NN	reintegrate
.	SENT	.
But	CC	but
it	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
until	IN	until
later	RBR	later
in	IN	in
the	DT	the
day	NN	day
that	IN	that
I	PP	I
went	VBD	go
to	TO	to
the	DT	the
headquarters	NN	headquarters
of	IN	of
America	NP	America
'	POS	'
s	NN	S
VetDogs	NNS	<unknown>
and	CC	and
spoke	VBD	speak
with	IN	with
the	DT	the
president	NN	president
,	,	,
and	CC	and
she	PP	she
was	VBD	be
like	JJ	like
,	,	,
"	''	"
I	PP	I
heard	VBD	hear
you	PP	you
met	VBD	meet
Sharon	NP	Sharon
.	SENT	.
"	``	"
And	CC	and
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
"	''	"
Yeah	RB	yeah
,	,	,
I	PP	I
did	VBD	do
.	SENT	.
"	``	"
And	CC	and
she	PP	she
was	VBD	be
like	IN	like
,	,	,
"	``	"
You	PP	you
know	VBP	know
,	,	,
when	WRB	when
she	PP	she
came	VBD	come
to	TO	to
us	PP	us
,	,	,
she	PP	she
was	VBD	be
nonverbal	JJ	nonverbal
and	CC	and
shaking	VBG	shake
.	SENT	.
"	''	"
Sorry	RB	sorry
,	,	,
chokes	VBZ	choke
me	PP	me
up	RP	up
,	,	,
sometimes	RB	sometimes
,	,	,
talking	VBG	talk
about	IN	about
this	DT	this
.	SENT	.
But	CC	but
,	,	,
you	PP	you
know	VBP	know
,	,	,
Eddie	NP	Eddie
,	,	,
her	PP$	her
dog	NN	dog
,	,	,
made	VBD	make
her	PP	her
the	DT	the
way	NN	way
she	PP	she
is	VBZ	be
now	RB	now
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
so	IN	so
transformative	JJ	transformative
and	CC	and
powerful	JJ	powerful
.	SENT	.
She	PP	she
was	VBD	be
on	IN	on
,	,	,
I	PP	I
'	POS	'
m	NN	m
sure	RB	sure
,	,	,
all	DT	all
types	NNS	type
of	IN	of
drugs	NNS	drug
,	,	,
and	CC	and
it	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
work	NN	work
as	IN	as
well	RB	well
.	SENT	.
And	CC	and
she	PP	she
came	VBD	come
across	RP	across
as	IN	as
someone	NN	someone
who	WP	who
was	VBD	be
articulate	JJ	articulate
and	CC	and
thoughtful	JJ	thoughtful
with	IN	with
her	PP$	her
dog	NN	dog
,	,	,
and	CC	and
her	PP$	her
dog	NN	dog
empowers	VBZ	empower
her	PP	her
that	DT	that
way	NN	way
.	SENT	.
Later	RBR	later
in	IN	in
the	DT	the
day	NN	day
,	,	,
I	PP	I
met	VBD	meet
Nathan	NP	Nathan
.	SENT	.
Same	JJ	same
program	NN	program
,	,	,
America	NP	America
'	POS	'
s	NN	S
VetDogs	NNS	<unknown>
.	SENT	.
He	PP	he
was	VBD	be
a	DT	a
retired	VBN	retire
veteran	NN	veteran
from	IN	from
the	DT	the
Air	NP	Air
Force	NP	Force
.	SENT	.
He	PP	he
was	VBD	be
in	IN	in
charge	NN	charge
of	IN	of
,	,	,
as	IN	as
he	PP	he
called	VBD	call
,	,	,
"	``	"
nukes	NNS	nuke
,	,	,
"	''	"
the	DT	the
nuclear	JJ	nuclear
division	NN	division
.	SENT	.
And	CC	and
as	IN	as
you	PP	you
can	MD	can
imagine	VB	imagine
,	,	,
like	VB	like
,	,	,
in	IN	in
that	DT	that
role	NN	role
,	,	,
you	PP	you
have	VBP	have
to	TO	to
be	VB	be
,	,	,
like	VB	like
,	,	,
perfect	VB	perfect
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
If	IN	if
they	PP	they
ask	VBP	ask
you	PP	you
"	``	"
Are	VBP	be
you	PP	you
good	JJ	good
?	SENT	?
"	''	"
"	``	"
Yes	UH	yes
,	,	,
sir	NN	sir
,	,	,
I	PP	I
am	VBP	be
good	JJ	good
,	,	,
"	''	"
even	RB	even
if	IN	if
you	PP	you
'	POS	'
re	NN	re
not	RB	not
good	JJ	good
.	SENT	.
He	PP	he
was	VBD	be
describing	VBG	describe
it	PP	it
as	IN	as
he	PP	he
became	VBD	become
robotic	JJ	robotic
,	,	,
and	CC	and
it	PP	it
dehumanized	VBD	dehumanize
him	PP	him
.	SENT	.
And	CC	and
when	WRB	when
he	PP	he
retired	VBD	retire
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
just	RB	just
reintegrate	JJ	<unknown>
?	SENT	?
And	CC	and
it	PP	it
was	VBD	be
really	RB	really
hard	JJ	hard
for	IN	for
him	PP	him
.	SENT	.
He	PP	he
was	VBD	be
completely	RB	completely
asocial	JJ	asocial
and	CC	and
wouldn	NN	<unknown>
'	POS	'
t	NN	t
leave	VB	leave
the	DT	the
house	NN	house
,	,	,
and	CC	and
America	NP	America
'	POS	'
s	NN	S
VetDogs	NNS	<unknown>
offered	VBD	offer
him	PP	him
this	DT	this
dog	NN	dog
and	CC	and
this	DT	this
training	NN	training
program	NN	program
.	SENT	.
And	CC	and
,	,	,
I	PP	I
'	POS	'
m	NN	m
sure	RB	sure
,	,	,
you	PP	you
know	VBP	know
,	,	,
there	EX	there
are	VBP	be
multiple	JJ	multiple
factors	NNS	factor
.	SENT	.
But	CC	but
now	RB	now
,	,	,
he	PP	he
'	POS	'
s	NN	S
a	DT	a
public	JJ	public
speaker	NN	speaker
,	,	,
like	VB	like
,	,	,
the	DT	the
opposite	NN	opposite
of	IN	of
what	WP	what
he	PP	he
was	VBD	be
before	RB	before
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
pinpoint	VB	pinpoint
--	:	--
it	PP	it
'	POS	'
s	NN	S
,	,	,
like	JJ	like
,	,	,
hard	JJ	hard
to	TO	to
quantify	VB	quantify
what	WP	what
the	DT	the
power	NN	power
of	IN	of
a	DT	a
dog	NN	dog
is	VBZ	be
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
real	JJ	real
.	SENT	.
CSB	NP	CSB
:	:	:
Yeah	RB	yeah
.	SENT	.
EWF	NN	EWF
:	:	:
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
amazing	JJ	amazing
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
my	PP$	my
buddy	NN	buddy
Angus	NP	Angus
,	,	,
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
he	PP	he
'	POS	'
s	NN	S
not	RB	not
a	DT	a
veteran	NN	veteran
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
not	RB	not
a	DT	a
visually	RB	visually
impaired	VBN	impair
person	NN	person
,	,	,
he	PP	he
'	POS	'
