Pat	NP	Pat
talked	VBD	talk
to	TO	to
Jeane	NP	Jeane
Kirkpatrick	NP	Kirkpatrick
,	,	,
who	WP	who
'	''	'
d	SYM	d
been	VBN	be
ambassador	NN	ambassador
before	IN	before
me	PP	me
,	,	,
and	CC	and
she	PP	she
said	VBD	say
,	,	,
"	``	"
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
get	VB	get
rid	JJ	rid
of	IN	of
your	PP$	your
professor	NN	professor
clothes	NNS	clothes
.	SENT	.
Go	VB	go
out	RP	out
and	CC	and
look	VB	look
like	IN	like
a	DT	a
diplomat	NN	diplomat
.	SENT	.
"	``	"
So	IN	so
that	WDT	that
did	VBD	do
give	VB	give
me	PP	me
a	DT	a
lot	NN	lot
of	IN	of
opportunities	NNS	opportunity
to	TO	to
go	VB	go
shopping	NN	shopping
.	SENT	.
But	CC	but
still	RB	still
,	,	,
there	EX	there
were	VBD	be
all	DT	all
kinds	NNS	kind
of	IN	of
questions	NNS	question
about	RB	about
—	:	-
"	``	"
did	VBD	do
you	PP	you
wear	VBP	wear
a	DT	a
hat	NN	hat
?	SENT	?
"	''	"
"	``	"
How	WRB	how
short	JJ	short
was	VBD	be
your	PP$	your
skirt	NN	skirt
?	SENT	?
"	''	"
And	CC	and
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
—	:	-
if	IN	if
you	PP	you
remember	VBP	remember
Condoleezza	NP	<unknown>
Rice	NP	Rice
was	VBD	be
at	IN	at
some	DT	some
event	NN	event
and	CC	and
she	PP	she
wore	VBD	wear
boots	NNS	boot
,	,	,
and	CC	and
she	PP	she
got	VBD	get
criticized	VBN	criticize
over	IN	over
that	DT	that
.	SENT	.
And	CC	and
no	DT	no
guy	NN	guy
ever	RB	ever
gets	VBZ	get
criticized	VBN	criticize
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
least	JJS	least
of	IN	of
it	PP	it
.	SENT	.
PM	NN	pm
:	:	:
It	PP	it
is	VBZ	be
,	,	,
for	IN	for
all	DT	all
of	IN	of
us	PP	us
,	,	,
men	NNS	man
and	CC	and
women	NNS	woman
,	,	,
finding	VBG	find
our	PP$	our
ways	NNS	way
of	IN	of
defining	VBG	define
our	PP$	our
roles	NNS	role
,	,	,
and	CC	and
doing	VBG	do
them	PP	them
in	IN	in
ways	NNS	way
that	WDT	that
make	VBP	make
a	DT	a
difference	NN	difference
in	IN	in
the	DT	the
world	NN	world
and	CC	and
shape	VB	shape
the	DT	the
future	NN	future
.	SENT	.
How	WRB	how
did	VBD	do
you	PP	you
handle	VB	handle
that	DT	that
balance	NN	balance
between	IN	between
being	VBG	be
the	DT	the
tough	JJ	tough
diplomatic	JJ	diplomatic
and	CC	and
strong	JJ	strong
voice	NN	voice
of	IN	of
this	DT	this
country	NN	country
to	TO	to
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
and	CC	and
also	RB	also
how	WRB	how
you	PP	you
felt	VBD	feel
about	IN	about
yourself	PP	yourself
as	IN	as
a	DT	a
mother	NN	mother
,	,	,
a	DT	a
grandmother	NN	grandmother
,	,	,
nurturing	VBG	nurture
.	SENT	.
.	SENT	.
.	SENT	.
and	CC	and
so	RB	so
how	WRB	how
did	VBD	do
you	PP	you
handle	VB	handle
that	DT	that
?	SENT	?
MA	NN	ma
:	:	:
Well	RB	well
the	DT	the
interesting	JJ	interesting
part	NN	part
was	VBD	be
I	PP	I
was	VBD	be
asked	VBN	ask
what	WP	what
it	PP	it
was	VBD	be
like	JJ	like
to	TO	to
be	VB	be
the	DT	the
first	JJ	first
woman	NN	woman
Secretary	NP	Secretary
of	IN	of
State	NP	State
a	DT	a
few	JJ	few
minutes	NNS	minute
after	IN	after
I	PP	I
'	''	'
d	SYM	d
been	VBN	be
named	VBN	name
.	SENT	.
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Well	UH	well
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
a	DT	a
woman	NN	woman
for	IN	for
60	CD	@card@
years	NNS	year
,	,	,
but	CC	but
I	PP	I
'	POS	'
ve	NN	ve
only	RB	only
been	VBN	be
Secretary	NP	Secretary
of	IN	of
State	NP	State
for	IN	for
a	DT	a
few	JJ	few
minutes	NNS	minute
.	SENT	.
"	``	"
So	RB	so
it	PP	it
evolved	VBD	evolve
.	SENT	.
But	CC	but
basically	RB	basically
I	PP	I
love	VB	love
being	VBG	be
a	DT	a
woman	NN	woman
.	SENT	.
And	CC	and
so	IN	so
what	WP	what
happened	VBD	happen
—	:	-
and	CC	and
I	PP	I
think	VBP	think
there	EX	there
will	MD	will
probably	RB	probably
be	VB	be
some	DT	some
people	NNS	people
in	IN	in
the	DT	the
audience	NN	audience
that	WDT	that
will	MD	will
identify	VB	identify
with	IN	with
this	DT	this
—	:	-
I	PP	I
went	VBD	go
to	TO	to
my	PP$	my
first	JJ	first
meeting	NN	meeting
,	,	,
first	JJ	first
at	IN	at
the	DT	the
U	NP	U
.	SENT	.
N	NN	N
.	SENT	.
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
when	WRB	when
this	DT	this
all	RB	all
started	VBN	start
,	,	,
because	IN	because
that	WDT	that
is	VBZ	be
a	DT	a
very	RB	very
male	JJ	male
organization	NN	organization
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
sitting	VBG	sit
there	RB	there
—	:	-
there	EX	there
are	VBP	be
15	CD	@card@
members	NNS	member
of	IN	of
the	DT	the
Security	NP	Security
Council	NP	Council
—	:	-
so	RB	so
14	CD	@card@
men	NNS	man
sat	VBD	sit
there	RB	there
staring	VBG	stare
at	IN	at
me	PP	me
,	,	,
and	CC	and
I	PP	I
thought	VBD	think
—	:	-
well	RB	well
you	PP	you
know	VBP	know
how	WRB	how
we	PP	we
all	RB	all
are	VBP	be
.	SENT	.
You	PP	you
want	VBP	want
to	TO	to
get	VB	get
the	DT	the
feeling	NN	feeling
of	IN	of
the	DT	the
room	NN	room
,	,	,
and	CC	and
"	``	"
do	VB	do
people	NNS	people
like	IN	like
me	PP	me
?	SENT	?
"	''	"
and	CC	and
"	``	"
will	MD	will
I	PP	I
really	RB	really
say	VBP	say
something	NN	something
intelligent	JJ	intelligent
?	SENT	?
"	''	"
And	CC	and
all	DT	all
of	IN	of
a	DT	a
sudden	JJ	sudden
I	PP	I
thought	VBD	think
,	,	,
"	``	"
Well	UH	well
,	,	,
wait	VB	wait
a	DT	a
minute	NN	minute
.	SENT	.
I	PP	I
am	VBP	be
sitting	VBG	sit
behind	IN	behind
a	DT	a
sign	NN	sign
that	WDT	that
says	VBZ	say
'	''	'
The	DT	the
United	NP	United
States	NPS	States
,	,	,
'	''	'
and	CC	and
if	IN	if
I	PP	I
don	NN	don
'	POS	'
t	NN	t
speak	VBP	speak
today	NN	today
then	RB	then
the	DT	the
voice	NN	voice
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
will	MD	will
not	RB	not
be	VB	be
heard	VBN	hear
,	,	,
"	''	"
and	CC	and
it	PP	it
was	VBD	be
the	DT	the
first	JJ	first
time	NN	time
that	IN	that
I	PP	I
had	VBD	have
that	DT	that
feeling	NN	feeling
that	IN	that
I	PP	I
had	VBD	have
to	TO	to
step	VB	step
out	RP	out
of	IN	of
myself	PP	myself
in	IN	in
my	PP$	my
normal	JJ	normal
,	,	,
reluctant	JJ	reluctant
female	JJ	female
mode	NN	mode
and	CC	and
decide	VBP	decide
that	IN	that
I	PP	I
had	VBD	have
to	TO	to
speak	VB	speak
on	IN	on
behalf	NN	behalf
of	IN	of
our	PP$	our
country	NN	country
.	SENT	.
And	CC	and
so	RB	so
that	WDT	that
happened	VBD	happen
more	JJR	more
at	IN	at
various	JJ	various
times	NNS	time
,	,	,
but	CC	but
I	PP	I
really	RB	really
think	VBP	think
that	IN	that
there	EX	there
was	VBD	be
a	DT	a
great	JJ	great
advantage	NN	advantage
in	IN	in
many	JJ	many
ways	NNS	way
to	TO	to
being	VBG	be
a	DT	a
woman	NN	woman
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
are	VBP	be
a	DT	a
lot	NN	lot
better	RBR	well
at	IN	at
personal	JJ	personal
relationships	NNS	relationship
,	,	,
and	CC	and
then	RB	then
have	VB	have
the	DT	the
capability	NN	capability
obviously	RB	obviously
of	IN	of
telling	VBG	tell
it	PP	it
like	IN	like
it	PP	it
is	VBZ	be
when	WRB	when
it	PP	it
'	POS	'
s	NNS	<unknown>
necessary	JJ	necessary
.	SENT	.
But	CC	but
I	PP	I
have	VBP	have
to	TO	to
tell	VB	tell
you	PP	you
,	,	,
I	PP	I
have	VBP	have
my	PP$	my
youngest	JJS	young
granddaughter	NN	granddaughter
,	,	,
when	WRB	when
she	PP	she
turned	VBD	turn
seven	CD	seven
last	JJ	last
year	NN	year
,	,	,
said	VBD	say
to	TO	to
her	PP$	her
mother	NN	mother
,	,	,
my	PP$	my
daughter	NN	daughter
,	,	,
"	''	"
So	RB	so
what	WP	what
'	POS	'
s	NN	S
the	DT	the
big	JJ	big
deal	NN	deal
about	IN	about
Grandma	NN	grandma
Maddie	NP	Maddie
being	JJ	being
Secretary	NP	Secretary
of	IN	of
State	NP	State
?	SENT	?
Only	JJ	only
girls	NNS	girl
are	VBP	be
Secretary	NP	Secretary
of	IN	of
State	NP	State
.	SENT	.
"	``	"
PM	NN	pm
:	:	:
Because	IN	because
in	IN	in
her	PP$	her
lifetime	NN	lifetime
—	:	-
MA	NN	ma
:	:	:
That	WDT	that
would	MD	would
be	VB	be
so	RB	so
.	SENT	.
PM	NP	PM
:	:	:
What	WP	what
a	DT	a
change	NN	change
that	WDT	that
is	VBZ	be
.	SENT	.
As	IN	as
you	PP	you
travel	VBP	travel
now	RB	now
all	RB	all
over	IN	over
the	DT	the
world	NN	world
,	,	,
which	WDT	which
you	PP	you
do	VBP	do
frequently	RB	frequently
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
assess	VB	assess
this	DT	this
global	JJ	global
narrative	NN	narrative
around	IN	around
the	DT	the
story	NN	story
of	IN	of
women	NNS	woman
and	CC	and
girls	NNS	girl
?	SENT	?
Where	WRB	where
are	VBP	be
we	PP	we
?	SENT	?
MA	NN	ma
:	:	:
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	IN	re
slowly	RB	slowly
changing	VBG	change
,	,	,
but	CC	but
obviously	RB	obviously
there	EX	there
are	VBP	be
whole	JJ	whole
pockets	NNS	pocket
in	IN	in
countries	NNS	country
where	WRB	where
nothing	NN	nothing
is	VBZ	be
different	JJ	different
.	SENT	.
And	CC	and
therefore	RB	therefore
it	PP	it
means	VBZ	mean
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
remember	VB	remember
that	IN	that
,	,	,
while	IN	while
many	JJ	many
of	IN	of
us	PP	us
have	VBP	have
had	VBD	have
huge	JJ	huge
opportunities	NNS	opportunity
—	:	-
and	CC	and
Pat	NP	Pat
,	,	,
you	PP	you
have	VBP	have
been	VBN	be
a	DT	a
real	JJ	real
leader	NN	leader
in	IN	in
your	PP$	your
field	NN	field
—	:	-
is	VBZ	be
that	IN	that
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
women	NNS	woman
that	WDT	that
are	VBP	be
not	RB	not
capable	JJ	capable
of	IN	of
worrying	VBG	worry
and	CC	and
taking	VBG	take
care	NN	care
of	IN	of
themselves	PP	themselves
and	CC	and
understanding	VBG	understand
that	IN	that
women	NNS	woman
have	VBP	have
to	TO	to
help	VB	help
other	JJ	other
women	NNS	woman
.	SENT	.
And	CC	and
so	IN	so
what	WP	what
I	PP	I
have	VBP	have
felt	VBN	feel
—	:	-
and	CC	and
I	PP	I
have	VBP	have
looked	VBN	look
at	IN	at
this	DT	this
from	IN	from
a	DT	a
national	JJ	national
security	NN	security
issue	NN	issue
—	:	-
when	WRB	when
I	PP	I
was	VBD	be
Secretary	NP	Secretary
of	IN	of
State	NP	State
,	,	,
I	PP	I
decided	VBD	decide
that	IN	that
women	NNS	woman
'	POS	'
s	NN	S
issues	NNS	issue
had	VBD	have
to	TO	to
be	VB	be
central	JJ	central
to	TO	to
American	JJ	American
foreign	JJ	foreign
policy	NN	policy
,	,	,
not	RB	not
just	RB	just
because	IN	because
I	PP	I
'	POS	'
m	NN	m
a	DT	a
feminist	NN	feminist
,	,	,
but	CC	but
because	IN	because
I	PP	I
believe	VBP	believe
that	IN	that
societies	NNS	society
are	VBP	be
better	JJR	good
off	RP	off
when	WRB	when
women	NNS	woman
are	VBP	be
politically	RB	politically
and	CC	and
economically	RB	economically
empowered	VBN	empower
,	,	,
that	IN	that
values	NNS	value
are	VBP	be
passed	VBN	pass
down	RB	down
,	,	,
the	DT	the
health	NN	health
situation	NN	situation
is	VBZ	be
better	JJR	good
,	,	,
education	NN	education
is	VBZ	be
better	JJR	good
,	,	,
there	EX	there
is	VBZ	be
greater	JJR	great
economic	JJ	economic
prosperity	NN	prosperity
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
that	IN	that
it	PP	it
behooves	VBZ	behoove
us	PP	us
—	:	-
those	DT	those
of	IN	of
us	PP	us
that	WDT	that
live	VBP	live
in	IN	in
various	JJ	various
countries	NNS	country
where	WRB	where
we	PP	we
do	VBP	do
have	VB	have
economic	JJ	economic
and	CC	and
political	JJ	political
voice	NN	voice
—	:	-
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
help	VB	help
other	JJ	other
women	NNS	woman
.	SENT	.
And	CC	and
I	PP	I
really	RB	really
dedicated	VBD	dedicate
myself	PP	myself
to	TO	to
that	DT	that
,	,	,
both	CC	both
at	IN	at
the	DT	the
U	NP	U
.	SENT	.
N	NP	N
.	SENT	.
and	CC	and
then	RB	then
as	IN	as
Secretary	NP	Secretary
of	IN	of
State	NP	State
.	SENT	.
PM	NN	pm
:	:	:
And	CC	and
did	VBD	do
you	PP	you
get	VB	get
pushback	NN	<unknown>
from	IN	from
making	VBG	make
that	IN	that
a	DT	a
central	JJ	central
tenant	NN	tenant
of	IN	of
foreign	JJ	foreign
policy	NN	policy
?	SENT	?
MA	NN	ma
:	:	:
From	IN	from
some	DT	some
people	NNS	people
.	SENT	.
I	PP	I
think	VBP	think
that	IN	that
they	PP	they
thought	VBD	think
that	IN	that
it	PP	it
was	VBD	be
a	DT	a
soft	JJ	soft
issue	NN	issue
.	SENT	.
The	DT	the
bottom	JJ	bottom
line	NN	line
that	IN	that
I	PP	I
decided	VBD	decide
was	VBD	be
actually	RB	actually
women	NNS	woman
'	POS	'
s	NN	S
issues	NNS	issue
are	VBP	be
the	DT	the
hardest	JJS	hard
issues	NNS	issue
,	,	,
because	IN	because
they	PP	they
are	VBP	be
the	DT	the
ones	NNS	one
that	WDT	that
have	VBP	have
to	TO	to
do	VB	do
with	IN	with
life	NN	life
and	CC	and
death	NN	death
in	IN	in
so	RB	so
many	JJ	many
aspects	NNS	aspect
,	,	,
and	CC	and
because	IN	because
,	,	,
as	IN	as
I	PP	I
said	VBD	say
,	,	,
it	PP	it
is	VBZ	be
really	RB	really
central	JJ	central
to	TO	to
the	DT	the
way	NN	way
that	IN	that
we	PP	we
think	VBP	think
about	IN	about
things	NNS	thing
.	SENT	.
Now	RB	now
for	IN	for
instance	NN	instance
,	,	,
some	DT	some
of	IN	of
the	DT	the
wars	NNS	war
that	WDT	that
took	VBD	take
place	VB	place
when	WRB	when
I	PP	I
was	VBD	be
in	IN	in
office	NN	office
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
,	,	,
the	DT	the
women	NNS	woman
were	VBD	be
the	DT	the
main	JJ	main
victims	NNS	victim
of	IN	of
it	PP	it
.	SENT	.
For	IN	for
instance	NN	instance
,	,	,
when	WRB	when
I	PP	I
started	VBD	start
,	,	,
there	EX	there
were	VBD	be
wars	NNS	war
in	IN	in
the	DT	the
Balkans	NP	Balkans
.	SENT	.
The	DT	the
women	NNS	woman
in	IN	in
Bosnia	NP	Bosnia
were	VBD	be
being	VBG	be
raped	VBN	rape
.	SENT	.
We	PP	we
then	RB	then
managed	VBD	manage
to	TO	to
set	VB	set
up	RP	up
a	DT	a
war	NN	war
crimes	NNS	crime
tribunal	NN	tribunal
to	TO	to
deal	VB	deal
specifically	RB	specifically
with	IN	with
those	DT	those
kinds	NNS	kind
of	IN	of
issues	NNS	issue
.	SENT	.
And	CC	and
by	IN	by
the	DT	the
way	NN	way
,	,	,
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
I	PP	I
did	VBD	do
at	IN	at
that	DT	that
stage	NN	stage
was	VBD	be
,	,	,
I	PP	I
had	VBD	have
just	RB	just
arrived	VBN	arrive
at	IN	at
the	DT	the
U	NP	U
.	SENT	.
N	NN	N
.	SENT	.
,	,	,
and	CC	and
when	WRB	when
I	PP	I
was	VBD	be
there	RB	there
,	,	,
there	EX	there
were	VBD	be
183	CD	@card@
countries	NNS	country
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
N	NP	N
.	SENT	.
Now	RB	now
there	EX	there
are	VBP	be
192	CD	@card@
.	SENT	.
But	CC	but
it	PP	it
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
first	JJ	first
times	NNS	time
that	WDT	that
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
to	TO	to
cook	VB	cook
lunch	VB	lunch
myself	PP	myself
.	SENT	.
So	RB	so
I	PP	I
said	VBD	say
to	TO	to
my	PP$	my
assistant	NN	assistant
,	,	,
"	``	"
Invite	VB	invite
the	DT	the
other	JJ	other
women	NNS	woman
permanent	JJ	permanent
representatives	NNS	representative
.	SENT	.
"	``	"
And	CC	and
I	PP	I
thought	VBD	think
when	WRB	when
I	PP	I
'	POS	'
d	NN	d
get	VB	get
to	TO	to
my	PP$	my
apartment	NN	apartment
that	IN	that
there	EX	there
'	''	'
d	SYM	d
be	VB	be
a	DT	a
lot	NN	lot
of	IN	of
women	NNS	woman
there	RB	there
.	SENT	.
I	PP	I
get	VBP	get
there	EX	there
,	,	,
and	CC	and
there	EX	there
are	VBP	be
six	CD	six
other	JJ	other
women	NNS	woman
,	,	,
out	RB	out
of	IN	of
183	CD	@card@
.	SENT	.
So	IN	so
the	DT	the
countries	NNS	country
that	WDT	that
had	VBD	have
women	NNS	woman
representatives	NNS	representative
were	VBD	be
Canada	NP	Canada
,	,	,
Kazakhstan	NP	Kazakhstan
,	,	,
Philippines	NPS	Philippine
,	,	,
Trinidad	NP	Trinidad
Tobago	NP	Tobago
,	,	,
Jamaica	NP	Jamaica
,	,	,
Lichtenstein	NP	Lichtenstein
and	CC	and
me	PP	me
.	SENT	.
So	IN	so
being	VBG	be
an	DT	an
American	JJ	American
,	,	,
I	PP	I
decided	VBD	decide
to	TO	to
set	VB	set
up	RP	up
a	DT	a
caucus	NN	caucus
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
set	VBP	set
it	PP	it
up	RP	up
,	,	,
and	CC	and
we	PP	we
called	VBD	call
ourselves	PP	ourselves
the	DT	the
G7	JJ	<unknown>
.	SENT	.
PM	NN	pm
:	:	:
Is	VBZ	be
that	IN	that
"	``	"
Girl	NN	girl
7	CD	@card@
?	SENT	?
"	``	"
MA	NN	ma
:	:	:
Girl	NN	girl
7	CD	@card@
.	SENT	.
And	CC	and
we	PP	we
lobbied	VBD	lobby
on	IN	on
behalf	NN	behalf
of	IN	of
women	NNS	woman
'	POS	'
s	NN	S
issues	NNS	issue
.	SENT	.
So	RB	so
we	PP	we
managed	VBD	manage
to	TO	to
get	VB	get
two	CD	two
women	NNS	woman
judges	NNS	judge
on	IN	on
this	DT	this
war	NN	war
crimes	NNS	crime
tribunal	NN	tribunal
.	SENT	.
And	CC	and
then	RB	then
what	WDT	what
happened	VBD	happen
was	VBD	be
that	IN	that
they	PP	they
were	VBD	be
able	JJ	able
to	TO	to
declare	VB	declare
that	DT	that
rape	NN	rape
was	VBD	be
a	DT	a
weapon	NN	weapon
of	IN	of
war	NN	war
,	,	,
that	IN	that
it	PP	it
was	VBD	be
against	IN	against
humanity	NN	humanity
.	SENT	.
PM	NN	pm
:	:	:
So	RB	so
when	WRB	when
you	PP	you
look	VBP	look
