Okay	JJ	okay
the	DT	the
cross-wiring	NN	cross-wiring
of	IN	of
senses	NNS	sense
,	,	,
where	WRB	where
a	DT	a
stimulation	NN	stimulation
of	IN	of
one	CD	one
sense	NN	sense
-	NN	<unknown>
touch	NN	touch
,	,	,
taste	NN	taste
,	,	,
sound	NN	sound
,	,	,
sight	NN	sight
-	NN	<unknown>
causes	VBZ	cause
the	DT	the
experience	NN	experience
of	IN	of
another	DT	another
.	SENT	.
And	CC	and
the	DT	the
type	NN	type
of	IN	of
synesthesia	NN	synesthesia
I	NP	I
'	POS	'
ve	NN	ve
just	RB	just
been	VBN	be
talking	VBG	talk
about	RB	about
,	,	,
where	WRB	where
F	NP	F
'	POS	'
s	NNS	<unknown>
are	VBP	be
yellow	JJ	yellow
or	CC	or
green	JJ	green
or	CC	or
pink	JJ	pink
,	,	,
is	VBZ	be
called	VBN	call
grapheme-color	JJ	grapheme-color
synesthesia	NN	synesthesia
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
the	DT	the
most	RBS	most
common	JJ	common
kind	NN	kind
.	SENT	.
For	IN	for
people	NNS	people
with	IN	with
this	DT	this
type	NN	type
of	IN	of
synesthesia	NN	synesthesia
,	,	,
graphemes	NNS	grapheme
-	NN	<unknown>
so	IN	so
letters	NNS	letter
or	CC	or
numbers	NNS	number
-	NNS	<unknown>
have	VBP	have
colors	NNS	color
.	SENT	.
And	CC	and
whilst	IN	whilst
these	DT	these
colors	NNS	color
might	MD	might
differ	VB	differ
between	IN	between
individuals	NNS	individual
,	,	,
for	IN	for
the	DT	the
individuals	NNS	individual
themselves	PP	themselves
,	,	,
they	PP	they
remain	VBP	remain
the	DT	the
same	JJ	same
throughout	IN	throughout
their	PP$	their
life	NN	life
.	SENT	.
These	DT	these
are	VBP	be
my	PP$	my
personal	JJ	personal
colors	NNS	color
,	,	,
and	CC	and
they	PP	they
don	NN	don
'	POS	'
t	NN	t
change	NN	change
.	SENT	.
Once	IN	once
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
it	PP	it
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
pretty	RB	pretty
much	RB	much
got	VBD	get
it	PP	it
forever	RB	forever
.	SENT	.
And	CC	and
these	DT	these
are	VBP	be
the	DT	the
hallmarks	NNS	hallmark
of	IN	of
synesthesia	NN	synesthesia
,	,	,
and	CC	and
these	DT	these
need	VBP	need
to	TO	to
be	VB	be
present	JJ	present
in	IN	in
order	NN	order
for	IN	for
synesthesia	NN	synesthesia
of	IN	of
any	DT	any
kind	NN	kind
to	TO	to
be	VB	be
diagnosed	VBN	diagnose
.	SENT	.
The	DT	the
synesthetic	JJ	synesthetic
experience	NN	experience
must	MD	must
be	VB	be
involuntary	JJ	involuntary
,	,	,
so	RB	so
it	PP	it
happens	VBZ	happen
whether	IN	whether
you	PP	you
like	VBP	like
it	PP	it
or	CC	or
not	RB	not
.	SENT	.
And	CC	and
it	PP	it
must	MD	must
be	VB	be
consistent	JJ	consistent
;	:	;
it	PP	it
remains	VBZ	remain
the	DT	the
same	JJ	same
throughout	IN	throughout
your	PP$	your
life	NN	life
.	SENT	.
It	PP	it
must	MD	must
be	VB	be
unidirectional	JJ	unidirectional
,	,	,
which	WDT	which
means	VBZ	mean
that	IN	that
graphemes	NNS	grapheme
evoke	VBP	evoke
colors	NNS	color
,	,	,
but	CC	but
colors	NNS	color
don	NN	don
'	POS	'
t	NN	t
evoke	VBP	evoke
graphemes	NNS	grapheme
.	SENT	.
And	CC	and
it	PP	it
must	MD	must
be	VB	be
automatic	JJ	automatic
,	,	,
so	RB	so
it	PP	it
happens	VBZ	happen
completely	RB	completely
without	IN	without
effort	NN	effort
.	SENT	.
But	CC	but
today	NN	today
I	NP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
be	VB	be
talking	VBG	talk
about	IN	about
the	DT	the
most	RBS	most
common	JJ	common
type	NN	type
of	IN	of
synesthesia	NN	synesthesia
;	:	;
that	WDT	that
would	MD	would
be	VB	be
far	RB	far
too	RB	too
easy	JJ	easy
-	NN	<unknown>
instead	RB	instead
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
be	VB	be
talking	VBG	talk
about	IN	about
synesthesia	NN	synesthesia
at	IN	at
its	PP$	its
most	RBS	most
rare	JJ	rare
.	SENT	.
Some	DT	some
of	IN	of
you	PP	you
might	MD	might
have	VB	have
had	VBN	have
an	DT	an
idea	NN	idea
of	IN	of
what	WP	what
I	PP	I
was	VBD	be
talking	VBG	talk
about	RB	about
when	WRB	when
I	PP	I
asked	VBD	ask
you	PP	you
what	WP	what
color	NN	color
is	VBZ	be
F	NN	F
.	SENT	.
But	CC	but
what	WP	what
if	IN	if
I	PP	I
had	VBD	have
said	VBN	say
,	,	,
What	WP	what
shape	VBP	shape
is	VBZ	be
next	JJ	next
week	NN	week
?	SENT	?
Well	RB	well
,	,	,
for	IN	for
one	CD	one
percent	NN	percent
of	IN	of
you	PP	you
in	IN	in
the	DT	the
audience	NN	audience
-	NN	<unknown>
that	RB	that
'	POS	'
s	NN	S
about	IN	about
10	CD	@card@
lucky	JJ	lucky
people	NNS	people
-	NN	<unknown>
this	DT	this
should	MD	should
still	RB	still
make	VB	make
perfect	JJ	perfect
sense	NN	sense
because	IN	because
this	DT	this
is	VBZ	be
what	WP	what
'	POS	'
s	NNS	<unknown>
known	VBN	know
as	IN	as
time-space	JJ	time-space
synesthesia	NN	synesthesia
.	SENT	.
For	IN	for
people	NNS	people
with	IN	with
time-space	JJ	time-space
synesthesia	NN	synesthesia
,	,	,
time	NN	time
itself	PP	itself
has	VBZ	have
a	DT	a
form	NN	form
,	,	,
and	CC	and
this	DT	this
form	NN	form
takes	VBZ	take
physical	JJ	physical
shape	NN	shape
around	IN	around
the	DT	the
person	NN	person
.	SENT	.
And	CC	and
sometimes	RB	sometimes
this	DT	this
form	NN	form
looks	VBZ	look
like	IN	like
a	DT	a
hula	NN	hula
hoop	NN	hoop
or	CC	or
like	IN	like
a	DT	a
roller	NN	roller
coaster	NN	coaster
,	,	,
moving	VBG	move
through	IN	through
and	CC	and
around	IN	around
the	DT	the
body	NN	body
.	SENT	.
Sometimes	RB	sometimes
it	PP	it
looks	VBZ	look
more	JJR	more
like	IN	like
a	DT	a
halo	NN	halo
,	,	,
encircling	VBG	encircle
the	DT	the
head	NN	head
and	CC	and
moving	VBG	move
as	IN	as
the	DT	the
head	NN	head
moves	NNS	move
,	,	,
or	CC	or
not	RB	not
,	,	,
depending	VBG	depend
on	IN	on
the	DT	the
person	NN	person
.	SENT	.
And	CC	and
these	DT	these
are	VBP	be
illustrations	NNS	illustration
by	IN	by
time-space	JJ	time-space
synesthetes	NNS	synesthete
themselves	PP	themselves
.	SENT	.
The	DT	the
science	NN	science
writer	NN	writer
Alison	NP	Alison
Motluk	NP	<unknown>
describes	VBZ	describe
her	PP$	her
synesthesia	NN	synesthesia
as	RB	as
if	IN	if
she	PP	she
herself	PP	herself
was	VBD	be
riding	VBG	ride
a	DT	a
roller	NN	roller
coaster	NN	coaster
,	,	,
starting	VBG	start
off	RP	off
in	IN	in
January	NP	January
before	IN	before
moving	VBG	move
down	RP	down
all	PDT	all
the	DT	the
way	NN	way
through	IN	through
spring	NN	spring
and	CC	and
summer	NN	summer
,	,	,
and	CC	and
then	RB	then
coming	VBG	come
back	RB	back
up	RB	up
through	IN	through
autumn	NN	autumn
and	CC	and
winter	NN	winter
to	TO	to
finish	VB	finish
again	RB	again
in	IN	in
January	NP	January
.	SENT	.
And	CC	and
this	DT	this
,	,	,
as	IN	as
we	PP	we
can	MD	can
see	VB	see
,	,	,
is	VBZ	be
very	RB	very
much	RB	much
a	DT	a
vertically	RB	vertically
oriented	VBN	orient
synesthesia	NN	synesthesia
,	,	,
running	VBG	run
parallel	RB	parallel
to	TO	to
her	PP$	her
body	NN	body
like	IN	like
this	DT	this
.	SENT	.
In	IN	in
contrast	NN	contrast
,	,	,
the	DT	the
writer	NN	writer
Emma	NP	Emma
Yeomans	NP	Yeomans
talks	NNS	talk
about	IN	about
a	DT	a
horizontally	RB	horizontally
oriented	VBN	orient
synesthesia	NN	synesthesia
.	SENT	.
So	RB	so
,	,	,
on	IN	on
a	DT	a
typical	JJ	typical
working	VBG	work
day	NN	day
for	IN	for
her	PP	her
,	,	,
she	PP	she
sits	VBZ	sit
firmly	RB	firmly
in	IN	in
the	DT	the
present	NN	present
with	IN	with
her	PP$	her
laptop	NN	laptop
whilst	IN	whilst
to	TO	to
her	PP$	her
right	NN	right
,	,	,
tea	NN	tea
steams	NNS	steam
into	IN	into
her	PP$	her
past	NN	past
,	,	,
and	CC	and
to	TO	to
her	PP$	her
left	NN	left
,	,	,
papers	NNS	paper
and	CC	and
notes	NNS	note
cover	VBP	cover
her	PP$	her
future	NN	future
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
much	RB	much
more	JJR	more
of	IN	of
a	DT	a
horizontally	RB	horizontally
orientated	VBN	orientate
synesthesia	NN	synesthesia
.	SENT	.
But	CC	but
we	PP	we
can	MD	can
see	VB	see
that	IN	that
in	IN	in
both	DT	both
cases	NNS	case
,	,	,
the	DT	the
person	NN	person
remains	VBZ	remain
at	IN	at
the	DT	the
center	NN	center
of	IN	of
the	DT	the
synesthetic	JJ	synesthetic
form	NN	form
.	SENT	.
Now	RB	now
,	,	,
you	PP	you
might	MD	might
be	VB	be
thinking	VBG	think
this	DT	this
is	VBZ	be
all	DT	all
so	RB	so
far	RB	far
from	IN	from
the	DT	the
reality	NN	reality
of	IN	of
how	WRB	how
I	PP	I
experience	VBP	experience
time	NN	time
.	SENT	.
A	DT	a
visible	JJ	visible
personal	JJ	personal
calendar	NN	calendar
that	WDT	that
goes	VBZ	go
with	IN	with
you	PP	you
wherever	WRB	wherever
you	PP	you
go	VBP	go
might	MD	might
sound	VB	sound
like	IN	like
something	NN	something
that	IN	that
you	PP	you
have	VBP	have
on	IN	on
your	PP$	your
phone	NN	phone
,	,	,
not	RB	not
something	NN	something
that	IN	that
you	PP	you
have	VBP	have
in	IN	in
your	PP$	your
brain	NN	brain
.	SENT	.
But	CC	but
I	PP	I
want	VBP	want
to	TO	to
suggest	VB	suggest
that	IN	that
actually	RB	actually
,	,	,
when	WRB	when
we	PP	we
all	DT	all
talk	NN	talk
about	IN	about
time	NN	time
,	,	,
we	PP	we
use	VBP	use
something	NN	something
similar	JJ	similar
-	NN	<unknown>
we	PP	we
use	VBP	use
metaphor	NN	metaphor
.	SENT	.
A	DT	a
metaphor	NN	metaphor
works	VBZ	work
like	IN	like
this	DT	this
:	:	:
you	PP	you
have	VBP	have
an	DT	an
abstract	JJ	abstract
concept	NN	concept
-	NN	<unknown>
let	VBD	let
'	''	'
s	NNS	<unknown>
call	VBP	call
it	PP	it
X	NN	X
;	:	;
and	CC	and
a	DT	a
concrete	JJ	concrete
concept	NN	concept
-	NN	<unknown>
let	VBD	let
'	''	'
s	NNS	<unknown>
call	VBP	call
it	PP	it
Y	NN	Y
.	SENT	.
Now	RB	now
,	,	,
in	IN	in
this	DT	this
case	NN	case
,	,	,
time	NN	time
is	VBZ	be
the	DT	the
abstract	JJ	abstract
concept	NN	concept
while	IN	while
space	NN	space
is	VBZ	be
the	DT	the
concrete	JJ	concrete
concept	NN	concept
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
much	RB	much
easier	JJR	easy
for	IN	for
us	PP	us
to	TO	to
get	VB	get
our	PP$	our
heads	NNS	head
around	IN	around
space	NN	space
than	IN	than
it	PP	it
is	VBZ	be
around	RB	around
time	NN	time
.	SENT	.
Since	IN	since
time	NN	time
is	VBZ	be
too	RB	too
abstract	JJ	abstract
for	IN	for
the	DT	the
brain	NN	brain
to	TO	to
process	VB	process
by	IN	by
itself	PP	itself
,	,	,
it	PP	it
needs	VBZ	need
to	TO	to
be	VB	be
given	VBN	give
a	DT	a
context	NN	context
.	SENT	.
And	CC	and
by	IN	by
using	VBG	use
data	NNS	datum
gathered	VBN	gather
from	IN	from
the	DT	the
auditory	JJ	auditory
,	,	,
visual	JJ	visual
,	,	,
or	CC	or
tactile	JJ	tactile
centers	NNS	center
of	IN	of
the	DT	the
brain	NN	brain
,	,	,
we	PP	we
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
judge	VB	judge
the	DT	the
distance	NN	distance
between	IN	between
and	CC	and
the	DT	the
location	NN	location
of	IN	of
events	NNS	event
that	WDT	that
happen	VBP	happen
in	IN	in
time	NN	time
,	,	,
giving	VBG	give
these	DT	these
events	NNS	event
a	DT	a
spatial	JJ	spatial
context	NN	context
.	SENT	.
And	CC	and
so	IN	so
time	NN	time
,	,	,
X	NP	X
,	,	,
is	VBZ	be
mapped	VBN	map
onto	IN	onto
space	NN	space
,	,	,
Y	NP	Y
.	SENT	.
And	CC	and
by	IN	by
the	DT	the
way	NN	way
,	,	,
this	DT	this
mapping	NN	mapping
is	VBZ	be
so	RB	so
powerful	JJ	powerful
,	,	,
so	RB	so
fundamental	JJ	fundamental
to	TO	to
cognition	NN	cognition
that	IN	that
the	DT	the
act	NN	act
of	IN	of
moving	VBG	move
in	IN	in
space	NN	space
or	CC	or
even	RB	even
thinking	VBG	think
about	IN	about
moving	VBG	move
in	IN	in
space	NN	space
alters	VBZ	alter
how	WRB	how
we	PP	we
perceive	VBP	perceive
time	NN	time
passing	NN	passing
.	SENT	.
Studies	NNS	study
have	VBP	have
shown	VBN	show
that	IN	that
just	RB	just
imagining	VBG	imagine
moving	VBG	move
forward	RB	forward
in	IN	in
a	DT	a
queue	NN	queue
or	CC	or
taking	VBG	take
a	DT	a
train	NN	train
journey	NN	journey
dramatically	RB	dramatically
alters	VBZ	alter
how	WRB	how
we	PP	we
perceive	VBP	perceive
time	NN	time
in	IN	in
the	DT	the
real	JJ	real
world	NN	world
.	SENT	.
And	CC	and
this	DT	this
relationship	NN	relationship
,	,	,
of	IN	of
course	NN	course
,	,	,
is	VBZ	be
reflected	VBN	reflect
in	IN	in
our	PP$	our
language	NN	language
and	CC	and
this	DT	this
universal	JJ	universal
rule	NN	rule
that	IN	that
time	NN	time
is	VBZ	be
space	NN	space
.	SENT	.
I	PP	I
bet	VBP	bet
you	PP	you
'	''	'
ve	NNS	<unknown>
used	VBN	use
at	IN	at
least	JJS	least
three	CD	three
or	CC	or
probably	RB	probably
all	RB	all
of	IN	of
these	DT	these
in	IN	in
the	DT	the
past	JJ	past
week	NN	week
.	SENT	.
The	DT	the
deadline	NN	deadline
has	VBZ	have
been	VBN	be
moved	VBN	move
forward	RB	forward
or	CC	or
pushed	VBD	push
back	RB	back
;	:	;
the	DT	the
time	NN	time
is	VBZ	be
coming	VBG	come
.	SENT	.
Everywhere	RB	everywhere
we	PP	we
look	VBP	look
,	,	,
we	PP	we
run	VBP	run
into	IN	into
this	DT	this
rule	NN	rule
,	,	,
that	DT	that
time	NN	time
is	VBZ	be
space	NN	space
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
this	DT	this
rule	NN	rule
which	WDT	which
allows	VBZ	allow
us	PP	us
to	TO	to
create	VB	create
an	DT	an
internal	JJ	internal
mental	JJ	mental
timeline	NN	timeline
.	SENT	.
So	RB	so
how	WRB	how
many	JJ	many
of	IN	of
you	PP	you
have	VBP	have
spoken	VBN	speak
about	IN	about
something	NN	something
you	PP	you
wished	VBD	wish
you	PP	you
'	''	'
d	SYM	d
done	VBN	do
yesterday	NN	yesterday
or	CC	or
something	NN	something
that	IN	that
you	PP	you
want	VBP	want
to	TO	to
do	VB	do
tomorrow	NN	tomorrow
?	SENT	?
You	PP	you
might	MD	might
have	VB	have
used	VBN	use
gestures	NNS	gesture
like	IN	like
this	DT	this
to	TO	to
emphasize	VB	emphasize
that	IN	that
you	PP	you
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
the	DT	the
past	JJ	past
or	CC	or
about	RB	about
the	DT	the
future	NN	future
.	SENT	.
All	DT	all
of	IN	of
us	PP	us
in	IN	in
this	DT	this
room	NN	room
,	,	,
synesthetic	JJ	synesthetic
or	CC	or
not	RB	not
,	,	,
have	VBP	have
a	DT	a
mental	JJ	mental
timeline	NN	timeline
,	,	,
a	DT	a
preference	NN	preference
to	TO	to
associate	VB	associate
certain	JJ	certain
areas	NNS	area
of	IN	of
our	PP$	our
personal	JJ	personal
space	NN	space
with	IN	with
the	DT	the
past	JJ	past
and	CC	and
other	JJ	other
areas	NNS	area
of	IN	of
our	PP$	our
personal	JJ	personal
space	NN	space
with	IN	with
the	DT	the
future	NN	future
.	SENT	.
And	CC	and
so	RB	so
,	,	,
I	PP	I
will	MD	will
suggest	VB	suggest
that	IN	that
this	DT	this
means	VBZ	mean
time-space	JJ	time-space
synesthesia	NN	synesthesia
,	,	,
as	RB	as
in	IN	in
the	DT	the
external	JJ	external
visual	JJ	visual
form	NN	form
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
actually	RB	actually
a	DT	a
discrete	JJ	discrete
entity	NN	entity
;	:	;
instead	RB	instead
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
part	NN	part
of	IN	of
a	DT	a
much	RB	much
longer	JJR	long
continuum	NN	continuum
on	IN	on
which	WDT	which
we	PP	we
all	RB	all
sit	VBP	sit
,	,	,
where	WRB	where
at	IN	at
one	CD	one
end	NN	end
,	,	,
the	DT	the
relationship	NN	relationship
between	IN	between
time	NN	time
and	CC	and
space	NN	space
in	IN	in
the	DT	the
brain	NN	brain
is	VBZ	be
visualized	VBN	visualize
as	IN	as
an	DT	an
external	JJ	external
form	NN	form
and	CC	and
at	IN	at
the	DT	the
other	JJ	other
,	,	,
it	PP	it
'	POS	'
s	NN	S
experienced	VBD	experience
internally	RB	internally
.	SENT	.
Think	VB	think
about	IN	about
it	PP	it
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
axis	NN	axis
on	IN	on
which	WDT	which
we	PP	we
usually	RB	usually
talk	VBP	talk
about	IN	about
our	PP$	our
time	NN	time
.	SENT	.
It	PP	it
runs	VBZ	run
like	IN	like
this	DT	this
,	,	,
often	RB	often
through	IN	through
our	PP$	our
body	NN	body
,	,	,
so	RB	so
we	PP	we
say	VBP	say
that	IN	that
we	PP	we
face	VBP	face
the	DT	the
future	NN	future
and	CC	and
we	PP	we
put	VBD	put
the	DT	the
past	NN	past
behind	IN	behind
us	PP	us
.	SENT	.
And	CC	and
we	PP	we
can	MD	can
track	VB	track
this	DT	this
internal	JJ	internal
synesthesia	NN	synesthesia
with	IN	with
the	DT	the
principles	NNS	principle
of	IN	of
synesthesia	NN	synesthesia
that	IN	that
I	PP	I
mentioned	VBD	mention
before	RB	before
.	SENT	.
So	RB	so
,	,	,
is	VBZ	be
it	PP	it
consistent	JJ	consistent
?	SENT	?
Yes	UH	yes
,	,	,
this	DT	this
doesn	NN	<unknown>
'	POS	'
t	NN	t
tend	VBP	tend
to	TO	to
change	VB	change
throughout	IN	throughout
our	PP$	our
lives	NNS	life
.	SENT	.
Is	VBZ	be
it	PP	it
involuntary	JJ	involuntary
?	SENT	?
Yes	UH	yes
,	,	,
we	PP	we
can	MD	can
'	''	'
t	NN	t
help	VB	help
that	IN	that
we	PP	we
make	VBP	make
these	DT	these
associations	NNS	association
.	SENT	.
Is	VBZ	be
it	PP	it
unidirectional	JJ	unidirectional
?	SENT	?
Yes	UH	yes
,	,	,
we	PP	we
need	VBP	need
to	TO	to
map	VB	map
time	NN	time
onto	IN	onto
space	NN	space
because	IN	because
it	PP	it
'	POS	'
s	NN	S
so	RB	so
abstract	JJ	abstract
,	,	,
but	CC	but
we	PP	we
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
to	TO	to
map	VB	map
space	NN	space
onto	IN	onto
time	NN	time
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
automatic	JJ	automatic
;	:	;
most	JJS	most
of	IN	of
us	PP	us
don	NN	don
'	POS	'
t	NN	t
even	RB	even
know	VBP	know
that	IN	that
we	PP	we
'	''	'
re	IN	re
doing	VBG	do
it	PP	it
.	SENT	.
So	RB	so
,	,	,
congratulations	NNS	congratulation
,	,	,
you	PP	you
all	RB	all
have	VBP	have
synesthesia	NN	synesthesia
.	SENT	.
But	CC	but
you	PP	you
cannot	MD	can
go	VB	go
yet	RB	yet
,	,	,
unfortunately	RB	unfortunately
,	,	,
because	IN	because
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
where	WRB	where
the	DT	the
story	NN	story
ends	VBZ	end
.	SENT	.
Although	IN	although
the	DT	the
relationship	NN	relationship
between	IN	between
time	NN	time
and	CC	and
space	NN	space
might	MD	might
be	VB	be
universal	JJ	universal
,	,	,
the	DT	the
details	NNS	detail
of	IN	of
that	DT	that
relationship	NN	relationship
are	VBP	be
highly	RB	highly
mediated	VBN	mediate
by	IN	by
the	DT	the
context	NN	context
and	CC	and
the	DT	the
culture	NN	culture
in	IN	in
which	WDT	which
our	PP$	our
brains	NNS	brain
develop	VBP	develop
.	SENT	.
Okay	JJ	okay
,	,	,
second	JJ	second
experiment	NN	experiment
.	SENT	.
Imagine	VB	imagine
that	IN	that
I	PP	I
give	VBP	give
you	PP	you
a	DT	a
piece	NN	piece
of	IN	of
paper	NN	paper
like	IN	like
this	DT	this
,	,	,
and	CC	and
imagine	VBP	imagine
that	IN	that
I	PP	I
ask	VBP	ask
you	PP	you
to	TO	to
draw	VB	draw
on	IN	on
that	DT	that
piece	NN	piece
of	IN	of
paper	NN	paper
a	DT	a
timeline	NN	timeline
running	VBG	run
from	IN	from
your	PP$	your
birth	NN	birth
to	TO	to
the	DT	the
present	JJ	present
day	NN	day
.	SENT	.
On	IN	on
what	WP	what
side	NN	side
of	IN	of
the	DT	the
paper	NN	paper
would	MD	would
you	PP	you
put	VB	put
your	PP$	your
birth	NN	birth
?	SENT	?
Now	RB	now
,	,	,
I	PP	I
'	POS	'
m	NN	m
willing	JJ	willing
to	TO	to
bet	VB	bet
that	IN	that
for	IN	for
most	JJS	most
of	IN	of
you	PP	you
,	,	,
your	PP$	your
instinctive	JJ	instinctive
answer	NN	answer
is	VBZ	be
that	IN	that
you	PP	you
put	VBP	put
it	PP	it
on	IN	on
the	DT	the
left	NN	left
,	,	,
with	IN	with
the	DT	the
rest	NN	rest
of	IN	of
your	PP$	your
life	NN	life
running	VBG	run
across	IN	across
the	DT	the
page	NN	page
to	TO	to
the	DT	the
right	NN	right
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
also	RB	also
willing	JJ	willing
to	TO	to
bet	VB	bet
that	IN	that
for	IN	for
most	JJS	most
of	IN	of
you	PP	you
,	,	,
your	PP$	your
first	JJ	first
language	NN	language
,	,	,
the	DT	the
one	CD	one
you	PP	you
grew	VBD	grow
up	RP	up
speaking	VBG	speak
,	,	,
runs	VBZ	run
from	IN	from
left	VBN	leave
to	TO	to
right	NN	right
across	IN	across
the	DT	the
page	NN	page
.	SENT	.
And	CC	and
my	PP$	my
final	JJ	final
bet	NN	bet
is	VBZ	be
that	IN	that
if	IN	if
I	PP	I
'	POS	'
m	NN	m
wrong	JJ	wrong
about	IN	about
your	PP$	your
first	JJ	first
language	NN	language
,	,	,
then	RB	then
I	NP	I
'	POS	'
m	NN	m
also	RB	also
wrong	JJ	wrong
about	IN	about
the	DT	the
placement	NN	placement
of	IN	of
your	PP$	your
birth	NN	birth
,	,	,
since	IN	since
studies	NNS	study
have	VBP	have
shown	VBN	show
that	IN	that
those	DT	those
whose	WP$	whose
first	JJ	first
language	NN	language
runs	VBZ	run
from	IN	from
right	NN	right
to	TO	to
left	NN	left
,	,	,
like	IN	like
Arabic	NP	Arabic
,	,	,
are	VBP	be
more	RBR	more
likely	JJ	likely
to	TO	to
put	VB	put
the	DT	the
event	NN	event
of	IN	of
their	PP$	their
birth	NN	birth
on	IN	on
the	DT	the
right	NN	right
of	IN	of
the	DT	the
page	NN	page
.	SENT	.
And	CC	and
this	DT	this
means	VBZ	mean
that	IN	that
the	DT	the
mental	JJ	mental
timeline	NN	timeline
I	PP	I
was	VBD	be
just	RB	just
talking	VBG	talk
about	RB	about
,	,	,
running	VBG	run
like	IN	like
this	DT	this
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
universal	JJ	universal
at	IN	at
all	DT	all
.	SENT	.
It	PP	it
was	VBD	be
thought	VBN	think
to	TO	to
be	VB	be
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
recently	RB	recently
been	VBN	be
discovered	VBN	discover
that	IN	that
different	JJ	different
cultures	NNS	culture
visualize	VBP	visualize
time	NN	time
as	IN	as
running	VBG	run
along	RP	along
axes	NNS	axe
as	RB	as
varied	VBD	vary
as	RB	as
left	VBN	leave
to	TO	to
right	NN	right
,	,	,
right	RB	right
to	TO	to
left	NN	left
,	,	,
up	RB	up
to	TO	to
down	RB	down
,	,	,
back	RB	back
to	TO	to
front	NN	front
,	,	,
even	RB	even
north	RB	north
to	TO	to
south	JJ	south
and	CC	and
east	JJ	east
to	TO	to
west	NN	west
.	SENT	.
So	RB	so
here	RB	here
'	''	'
