David	NP	David
that	DT	that
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
colonial	JJ	colonial
animal	NN	animal
.	SENT	.
These	DT	these
are	VBP	be
all	DT	all
individual	JJ	individual
animals	NNS	animal
banding	VBG	band
together	RB	together
to	TO	to
make	VB	make
this	DT	this
one	CD	one
creature	NN	creature
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
these	DT	these
jet	NN	jet
thrusters	NNS	thruster
up	RB	up
in	IN	in
front	NN	front
that	IN	that
it	PP	it
'	POS	'
ll	JJ	<unknown>
use	NN	use
in	IN	in
a	DT	a
moment	NN	moment
,	,	,
and	CC	and
a	DT	a
little	JJ	little
light	NN	light
.	SENT	.
If	IN	if
you	PP	you
take	VBP	take
all	PDT	all
the	DT	the
big	JJ	big
fish	NN	fish
and	CC	and
schooling	NN	schooling
fish	NN	fish
and	CC	and
all	PDT	all
that	DT	that
,	,	,
put	VB	put
them	PP	them
on	IN	on
one	CD	one
side	NN	side
of	IN	of
the	DT	the
scale	NN	scale
,	,	,
put	VB	put
all	PDT	all
the	DT	the
jelly-type	NN	<unknown>
of	IN	of
animals	NNS	animal
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
,	,	,
those	DT	those
guys	NNS	guy
win	VBP	win
hands	NNS	hand
down	RB	down
.	SENT	.
Most	JJS	most
of	IN	of
the	DT	the
biomass	NN	biomass
in	IN	in
the	DT	the
ocean	NN	ocean
is	VBZ	be
made	VBN	make
out	RP	out
of	IN	of
creatures	NNS	creature
like	IN	like
this	DT	this
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
X-wing	JJ	<unknown>
death	NN	death
jelly	NN	jelly
.	SENT	.
The	DT	the
bioluminescence	NN	bioluminescence
—	:	-
they	PP	they
use	VBP	use
the	DT	the
lights	NNS	light
for	IN	for
attracting	VBG	attract
mates	NNS	mate
and	CC	and
attracting	VBG	attract
prey	NN	prey
and	CC	and
communicating	VBG	communicate
.	SENT	.
We	PP	we
couldn	NNS	<unknown>
'	POS	'
t	NN	t
begin	VB	begin
to	TO	to
show	VB	show
you	PP	you
our	PP$	our
archival	JJ	archival
stuff	NN	stuff
from	IN	from
the	DT	the
jellies	NNS	jelly
.	SENT	.
They	PP	they
come	VBP	come
in	IN	in
all	DT	all
different	JJ	different
sizes	NNS	size
and	CC	and
shapes	NNS	shape
.	SENT	.
Bill	NP	Bill
Lange	NP	Lange
:	:	:
We	PP	we
tend	VBP	tend
to	TO	to
forget	VB	forget
about	IN	about
the	DT	the
fact	NN	fact
that	IN	that
the	DT	the
ocean	NN	ocean
is	VBZ	be
miles	NNS	mile
deep	JJ	deep
on	IN	on
average	NN	average
,	,	,
and	CC	and
that	IN	that
we	PP	we
'	POS	'
re	NN	re
real	RB	real
familiar	JJ	familiar
with	IN	with
the	DT	the
animals	NNS	animal
that	WDT	that
are	VBP	be
in	IN	in
the	DT	the
first	JJ	first
200	CD	@card@
or	CC	or
300	CD	@card@
feet	NNS	foot
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
not	RB	not
familiar	JJ	familiar
with	IN	with
what	WP	what
exists	VBZ	exist
from	IN	from
there	RB	there
all	PDT	all
the	DT	the
way	NN	way
down	RB	down
to	TO	to
the	DT	the
bottom	NN	bottom
.	SENT	.
And	CC	and
these	DT	these
are	VBP	be
the	DT	the
types	NNS	type
of	IN	of
animals	NNS	animal
that	WDT	that
live	VBP	live
in	IN	in
that	DT	that
three-	NN	three-
dimensional	JJ	dimensional
space	NN	space
,	,	,
that	DT	that
micro-gravity	NN	micro-gravity
environment	NN	environment
that	IN	that
we	PP	we
really	RB	really
haven	NN	haven
'	POS	'
t	NN	t
explored	VBD	explore
.	SENT	.
You	PP	you
hear	VBP	hear
about	RB	about
giant	JJ	giant
squid	NN	squid
and	CC	and
things	NNS	thing
like	VBP	like
that	IN	that
,	,	,
but	CC	but
some	DT	some
of	IN	of
these	DT	these
animals	NNS	animal
get	VBP	get
up	RP	up
to	TO	to
be	VB	be
approximately	RB	approximately
140	CD	@card@
,	,	,
160	CD	@card@
feet	NNS	foot
long	RB	long
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
very	RB	very
little	RB	little
understood	VBN	understand
.	SENT	.
DG	NP	DG
:	:	:
This	DT	this
is	VBZ	be
one	CD	one
of	IN	of
them	PP	them
,	,	,
another	DT	another
one	CD	one
of	IN	of
our	PP$	our
favorites	NNS	favorite
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
a	DT	a
little	JJ	little
octopod	NN	octopod
.	SENT	.
You	PP	you
can	MD	can
actually	RB	actually
see	VB	see
through	IN	through
his	PP$	his
head	NN	head
.	SENT	.
And	CC	and
here	RB	here
he	PP	he
is	VBZ	be
,	,	,
flapping	VBG	flap
with	IN	with
his	PP$	his
ears	NNS	ear
and	CC	and
very	RB	very
gracefully	RB	gracefully
going	VBG	go
up	RP	up
.	SENT	.
We	PP	we
see	VBP	see
those	DT	those
at	IN	at
all	DT	all
depths	NNS	depth
and	CC	and
even	RB	even
at	IN	at
the	DT	the
greatest	JJS	great
depths	NNS	depth
.	SENT	.
They	PP	they
go	VBP	go
from	IN	from
a	DT	a
couple	NN	couple
of	IN	of
inches	NNS	inch
to	TO	to
a	DT	a
couple	NN	couple
of	IN	of
feet	NNS	foot
.	SENT	.
They	PP	they
come	VBP	come
right	RB	right
up	RB	up
to	TO	to
the	DT	the
submarine	NN	submarine
—	:	-
they	PP	they
'	POS	'
ll	NN	ll
put	VBD	put
their	PP$	their
eyes	NNS	eye
right	RB	right
up	RB	up
to	TO	to
the	DT	the
window	NN	window
and	CC	and
peek	NN	peek
inside	IN	inside
the	DT	the
sub	NN	sub
.	SENT	.
This	DT	this
is	VBZ	be
really	RB	really
a	DT	a
world	NN	world
within	IN	within
a	DT	a
world	NN	world
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
two	CD	two
.	SENT	.
In	IN	in
this	DT	this
case	NN	case
,	,	,
we	PP	we
'	POS	'
re	NN	re
passing	VBG	pass
down	RP	down
through	IN	through
the	DT	the
mid-ocean	JJ	<unknown>
and	CC	and
we	PP	we
see	VBP	see
creatures	NNS	creature
like	IN	like
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
kind	NN	kind
of	IN	of
like	IN	like
an	DT	an
undersea	JJ	undersea
rooster	NN	rooster
.	SENT	.
This	DT	this
guy	NN	guy
,	,	,
that	WDT	that
looks	VBZ	look
incredibly	RB	incredibly
formal	JJ	formal
,	,	,
in	IN	in
a	DT	a
way	NN	way
.	SENT	.
And	CC	and
then	RB	then
one	CD	one
of	IN	of
my	PP$	my
favorites	NNS	favorite
.	SENT	.
What	WP	what
a	DT	a
face	NN	face
!	SENT	!
This	DT	this
is	VBZ	be
basically	RB	basically
scientific	JJ	scientific
data	NNS	datum
that	IN	that
you	PP	you
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
footage	NN	footage
that	IN	that
we	PP	we
'	POS	'
ve	NNS	<unknown>
collected	VBN	collect
for	IN	for
scientific	JJ	scientific
purposes	NNS	purpose
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
Bill	NP	Bill
'	POS	'
s	RB	<unknown>
been	VBN	be
doing	VBG	do
,	,	,
is	VBZ	be
providing	VBG	provide
scientists	NNS	scientist
with	IN	with
this	DT	this
first	JJ	first
view	NN	view
of	IN	of
animals	NNS	animal
like	IN	like
this	DT	this
,	,	,
in	IN	in
the	DT	the
world	NN	world
where	WRB	where
they	PP	they
belong	VBP	belong
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
catch	VB	catch
them	PP	them
in	IN	in
a	DT	a
net	NN	net
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
actually	RB	actually
looking	VBG	look
at	IN	at
them	PP	them
down	RB	down
in	IN	in
that	DT	that
world	NN	world
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
take	VB	take
a	DT	a
joystick	NN	joystick
,	,	,
sit	VBP	sit
in	IN	in
front	NN	front
of	IN	of
our	PP$	our
computer	NN	computer
,	,	,
on	IN	on
the	DT	the
Earth	NN	earth
,	,	,
and	CC	and
press	VB	press
the	DT	the
joystick	NN	joystick
forward	RB	forward
,	,	,
and	CC	and
fly	VB	fly
around	RP	around
the	DT	the
planet	NN	planet
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
look	VB	look
at	IN	at
the	DT	the
mid-ocean	JJ	<unknown>
ridge	NN	ridge
,	,	,
a	DT	a
40	CD	@card@
,	,	,
000-mile	JJ	<unknown>
long	JJ	long
mountain	NN	mountain
range	NN	range
.	SENT	.
The	DT	the
average	JJ	average
depth	NN	depth
at	IN	at
the	DT	the
top	NN	top
of	IN	of
it	PP	it
is	VBZ	be
about	RB	about
a	DT	a
mile	NN	mile
and	CC	and
a	DT	a
half	NN	half
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
over	IN	over
the	DT	the
Atlantic	NP	Atlantic
—	:	-
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
ridge	NN	ridge
right	RB	right
there	RB	there
—	:	-
but	CC	but
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
go	VB	go
across	IN	across
the	DT	the
Caribbean	NP	Caribbean
,	,	,
Central	NP	Central
America	NP	America
,	,	,
and	CC	and
end	VB	end
up	RP	up
against	IN	against
the	DT	the
Pacific	NP	Pacific
,	,	,
nine	CD	nine
degrees	NNS	degree
north	RB	north
.	SENT	.
We	PP	we
make	VBP	make
maps	NNS	map
of	IN	of
these	DT	these
mountain	NN	mountain
ranges	VBZ	range
with	IN	with
sound	NN	sound
,	,	,
with	IN	with
sonar	NN	sonar
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
those	DT	those
mountain	NN	mountain
ranges	NNS	range
.	SENT	.
We	PP	we
'	''	'
re	IN	re
coming	VBG	come
around	RP	around
a	DT	a
cliff	NN	cliff
here	RB	here
on	IN	on
the	DT	the
right	NN	right
.	SENT	.
The	DT	the
height	NN	height
of	IN	of
these	DT	these
mountains	NNS	mountain
on	IN	on
either	DT	either
side	NN	side
of	IN	of
this	DT	this
valley	NN	valley
is	VBZ	be
greater	JJR	great
than	IN	than
the	DT	the
Alps	NNS	alp
in	IN	in
most	JJS	most
cases	NNS	case
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NN	S
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
those	DT	those
mountains	NNS	mountain
out	IN	out
there	RB	there
that	DT	that
haven	NN	haven
'	POS	'
t	NN	t
been	VBN	be
mapped	VBN	map
yet	RB	yet
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
volcanic	JJ	volcanic
ridge	NN	ridge
.	SENT	.
We	PP	we
'	''	'
re	IN	re
getting	VBG	get
down	RP	down
further	RBR	further
and	CC	and
further	RBR	further
in	IN	in
scale	NN	scale
.	SENT	.
And	CC	and
eventually	RB	eventually
,	,	,
we	PP	we
can	MD	can
come	VB	come
up	RP	up
with	IN	with
something	NN	something
like	IN	like
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
icon	NN	icon
of	IN	of
our	PP$	our
robot	NN	robot
,	,	,
Jason	NP	Jason
,	,	,
it	PP	it
'	POS	'
s	NN	S
called	VBD	call
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
sit	VB	sit
in	IN	in
a	DT	a
room	NN	room
like	IN	like
this	DT	this
,	,	,
with	IN	with
a	DT	a
joystick	NN	joystick
and	CC	and
a	DT	a
headset	NN	headset
,	,	,
and	CC	and
drive	VB	drive
a	DT	a
robot	NN	robot
like	IN	like
that	DT	that
around	IN	around
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
ocean	NN	ocean
in	IN	in
real	JJ	real
time	NN	time
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
things	NNS	thing
we	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
do	VB	do
at	IN	at
Woods	NP	Woods
Hole	NP	Hole
with	IN	with
our	PP$	our
partners	NNS	partner
is	VBZ	be
to	TO	to
bring	VB	bring
this	DT	this
virtual	JJ	virtual
world	NN	world
—	:	-
this	DT	this
world	NN	world
,	,	,
this	DT	this
unexplored	JJ	unexplored
region	NN	region
—	:	-
back	RB	back
to	TO	to
the	DT	the
laboratory	NN	laboratory
.	SENT	.
Because	IN	because
we	PP	we
see	VBP	see
it	PP	it
in	IN	in
bits	NNS	bit
and	CC	and
pieces	NNS	piece
right	RB	right
now	RB	now
.	SENT	.
We	PP	we
see	VBP	see
it	PP	it
either	RB	either
as	RB	as
sound	JJ	sound
,	,	,
or	CC	or
we	PP	we
see	VBP	see
it	PP	it
as	IN	as
video	NN	video
,	,	,
or	CC	or
we	PP	we
see	VBP	see
it	PP	it
as	IN	as
photographs	NNS	photograph
,	,	,
or	CC	or
we	PP	we
see	VBP	see
it	PP	it
as	IN	as
chemical	NN	chemical
sensors	NNS	sensor
,	,	,
but	CC	but
we	PP	we
never	RB	never
have	VBP	have
yet	RB	yet
put	VBN	put
it	PP	it
all	RB	all
together	RB	together
into	IN	into
one	CD	one
interesting	JJ	interesting
picture	NN	picture
.	SENT	.
Here	RB	here
'	POS	'
s	NN	S
where	WRB	where
Bill	NP	Bill
'	POS	'
s	NN	S
cameras	NNS	camera
really	RB	really
do	VBP	do
shine	NN	shine
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
'	POS	'
s	NN	S
called	VBD	call
a	DT	a
hydrothermal	JJ	hydrothermal
vent	NN	vent
.	SENT	.
And	CC	and
what	WP	what
you	PP	you
'	POS	'
re	NN	re
seeing	VBG	see
here	RB	here
is	VBZ	be
a	DT	a
cloud	NN	cloud
of	IN	of
densely	RB	densely
packed	JJ	packed
,	,	,
hydrogen-sulfide-rich	JJ	<unknown>
water	NN	water
coming	VBG	come
out	RP	out
of	IN	of
a	DT	a
volcanic	JJ	volcanic
axis	NN	axis
on	IN	on
the	DT	the
sea	NN	sea
floor	NN	floor
.	SENT	.
Gets	VBZ	get
up	RP	up
to	TO	to
600	CD	@card@
,	,	,
700	CD	@card@
degrees	NNS	degree
F	NN	F
,	,	,
somewhere	RB	somewhere
in	IN	in
that	DT	that
range	NN	range
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
all	DT	all
water	NN	water
under	IN	under
the	DT	the
sea	NN	sea
—	:	-
a	DT	a
mile	NN	mile
and	CC	and
a	DT	a
half	NN	half
,	,	,
two	CD	two
miles	NNS	mile
,	,	,
three	CD	three
miles	NNS	mile
down	RB	down
.	SENT	.
And	CC	and
we	PP	we
knew	VBD	know
it	PP	it
was	VBD	be
volcanic	JJ	volcanic
back	RB	back
in	IN	in
the	DT	the
'	''	'
60s	JJ	<unknown>
,	,	,
'	''	'
70s	NNS	<unknown>
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
had	VBD	have
some	DT	some
hint	NN	hint
that	IN	that
these	DT	these
things	NNS	thing
existed	VBD	exist
all	RB	all
along	IN	along
the	DT	the
axis	NN	axis
of	IN	of
it	PP	it
,	,	,
because	IN	because
if	IN	if
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
volcanism	NN	volcanism
,	,	,
water	NN	water
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
get	VB	get
down	RP	down
from	IN	from
the	DT	the
sea	NN	sea
into	IN	into
cracks	NNS	crack
in	IN	in
the	DT	the
sea	NN	sea
floor	NN	floor
,	,	,
come	VBN	come
in	IN	in
contact	NN	contact
with	IN	with
magma	NN	magma
,	,	,
and	CC	and
come	VB	come
shooting	VBG	shoot
out	RP	out
hot	JJ	hot
.	SENT	.
We	PP	we
weren	NNS	<unknown>
'	POS	'
t	NN	t
really	RB	really
aware	JJ	aware
that	IN	that
it	PP	it
would	MD	would
be	VB	be
so	RB	so
rich	JJ	rich
with	IN	with
sulfides	NNS	sulfide
,	,	,
hydrogen	NN	hydrogen
sulfides	NNS	sulfide
.	SENT	.
We	PP	we
didn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
any	DT	any
idea	NN	idea
about	IN	about
these	DT	these
things	NNS	thing
,	,	,
which	WDT	which
we	PP	we
call	VBP	call
chimneys	NNS	chimney
.	SENT	.
This	DT	this
is	VBZ	be
one	CD	one
of	IN	of
these	DT	these
hydrothermal	JJ	hydrothermal
vents	NNS	vent
.	SENT	.
Six	CD	six
hundred	CD	hundred
degree	NN	degree
F	NN	F
water	NN	water
coming	VBG	come
out	RP	out
of	IN	of
the	DT	the
Earth	NN	earth
.	SENT	.
On	IN	on
either	DT	either
side	NN	side
of	IN	of
us	PP	us
are	VBP	be
mountain	NN	mountain
ranges	NNS	range
that	WDT	that
are	VBP	be
higher	JJR	high
than	IN	than
the	DT	the
Alps	NNS	alp
,	,	,
so	RB	so
the	DT	the
setting	NN	setting
here	RB	here
is	VBZ	be
very	RB	very
dramatic	JJ	dramatic
.	SENT	.
BL	NP	BL
:	:	:
The	DT	the
white	JJ	white
material	NN	material
is	VBZ	be
a	DT	a
type	NN	type
of	IN	of
bacteria	NNS	bacterium
that	WDT	that
thrives	VBZ	thrive
at	IN	at
180	CD	@card@
degrees	NNS	degree
C	NP	C
.	SENT	.
DG	NP	DG
:	:	:
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
one	CD	one
of	IN	of
the	DT	the
greatest	JJS	great
stories	NNS	story
right	RB	right
now	RB	now
that	IN	that
we	PP	we
'	POS	'
re	NN	re
seeing	VBG	see
from	IN	from
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
sea	NN	sea
,	,	,
is	VBZ	be
that	IN	that
the	DT	the
first	JJ	first
thing	NN	thing
we	PP	we
see	VBP	see
coming	VBG	come
out	RP	out
of	IN	of
the	DT	the
sea	NN	sea
floor	NN	floor
after	IN	after
a	DT	a
volcanic	JJ	volcanic
eruption	NN	eruption
is	VBZ	be
bacteria	NNS	bacterium
.	SENT	.
And	CC	and
we	PP	we
started	VBD	start
to	TO	to
wonder	VB	wonder
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
,	,	,
how	WRB	how
did	VBD	do
it	PP	it
all	DT	all
get	VBP	get
down	RB	down
there	RB	there
?	SENT	?
What	WP	what
we	PP	we
find	VBP	find
out	RB	out
now	RB	now
is	VBZ	be
that	IN	that
it	PP	it
'	POS	'
s	NN	S
probably	RB	probably
coming	VBG	come
from	IN	from
inside	IN	inside
the	DT	the
Earth	NN	earth
.	SENT	.
Not	RB	not
only	RB	only
is	VBZ	be
it	PP	it
coming	VBG	come
out	RP	out
of	IN	of
the	DT	the
Earth	NN	earth
—	:	-
so	RB	so
,	,	,
biogenesis	NN	biogenesis
made	VBN	make
from	IN	from
volcanic	JJ	volcanic
activity	NN	activity
—	:	-
but	CC	but
that	DT	that
bacteria	NNS	bacterium
supports	VBZ	support
these	DT	these
colonies	NNS	colony
of	IN	of
life	NN	life
.	SENT	.
