About	RB	about
stop	VB	stop
crying	VBG	cry
again	RB	again
.	SENT	.
Because	IN	because
she	PP	she
had	VBD	have
saved	VBN	save
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
had	VBD	have
not	RB	not
saved	VBN	save
her	PP	her
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
journalist	NN	journalist
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
writing	VBG	write
and	CC	and
researching	VBG	research
human	JJ	human
trafficking	NN	trafficking
for	IN	for
the	DT	the
past	JJ	past
eight	CD	eight
years	NNS	year
or	CC	or
so	RB	so
,	,	,
and	CC	and
even	RB	even
so	RB	so
,	,	,
I	PP	I
never	RB	never
put	VBD	put
together	RB	together
this	DT	this
personal	JJ	personal
story	NN	story
with	IN	with
my	PP$	my
professional	JJ	professional
life	NN	life
until	IN	until
pretty	RB	pretty
recently	RB	recently
.	SENT	.
I	PP	I
think	VBP	think
this	DT	this
profound	JJ	profound
disconnect	VB	disconnect
actually	RB	actually
symbolizes	VBZ	symbolize
most	JJS	most
of	IN	of
our	PP$	our
understanding	NN	understanding
about	IN	about
human	JJ	human
trafficking	NN	trafficking
.	SENT	.
Because	IN	because
human	JJ	human
trafficking	NN	trafficking
is	VBZ	be
far	RB	far
more	RBR	more
prevalent	JJ	prevalent
,	,	,
complex	JJ	complex
and	CC	and
close	JJ	close
to	TO	to
home	NN	home
than	IN	than
most	JJS	most
of	IN	of
us	PP	us
realize	VBP	realize
.	SENT	.
I	PP	I
spent	VBD	spend
time	NN	time
in	IN	in
jails	NNS	jail
and	CC	and
brothels	NNS	brothel
,	,	,
interviewed	VBD	interview
hundreds	NNS	hundred
of	IN	of
survivors	NNS	survivor
and	CC	and
law	NN	law
enforcement	NN	enforcement
,	,	,
NGO	NN	Ngo
workers	NNS	worker
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
think	VBP	think
about	RB	about
what	WP	what
we	PP	we
'	POS	'
ve	NNS	<unknown>
done	VBN	do
about	IN	about
human	JJ	human
trafficking	NN	trafficking
,	,	,
I	PP	I
am	VBP	be
hugely	RB	hugely
disappointed	VBN	disappoint
.	SENT	.
Partly	RB	partly
because	IN	because
we	PP	we
don	NN	don
'	POS	'
t	NN	t
even	RB	even
talk	VB	talk
about	IN	about
the	DT	the
problem	NN	problem
right	NN	right
at	IN	at
all	DT	all
.	SENT	.
When	WRB	when
I	PP	I
say	VBP	say
"	``	"
human	JJ	human
trafficking	NN	trafficking
,	,	,
"	``	"
most	JJS	most
of	IN	of
you	PP	you
probably	RB	probably
don	VBP	don
'	POS	'
t	NN	t
think	VBP	think
about	IN	about
someone	NN	someone
like	IN	like
my	PP$	my
auntie	NN	auntie
.	SENT	.
You	PP	you
probably	RB	probably
think	VBP	think
about	IN	about
a	DT	a
young	JJ	young
girl	NN	girl
or	CC	or
woman	NN	woman
,	,	,
who	WP	who
'	POS	'
s	RB	<unknown>
been	VBN	be
brutally	RB	brutally
forced	VBN	force
into	IN	into
prostitution	NN	prostitution
by	IN	by
a	DT	a
violent	JJ	violent
pimp	NN	pimp
.	SENT	.
That	DT	that
is	VBZ	be
real	JJ	real
suffering	NN	suffering
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
a	DT	a
real	JJ	real
story	NN	story
.	SENT	.
That	DT	that
story	NN	story
makes	VBZ	make
me	PP	me
angry	JJ	angry
for	IN	for
far	RB	far
more	JJR	more
than	IN	than
just	RB	just
the	DT	the
reality	NN	reality
of	IN	of
that	DT	that
situation	NN	situation
,	,	,
though	RB	though
.	SENT	.
As	IN	as
a	DT	a
journalist	NN	journalist
,	,	,
I	PP	I
really	RB	really
care	VBP	care
about	RB	about
how	WRB	how
we	PP	we
relate	VBP	relate
to	TO	to
each	DT	each
other	JJ	other
through	IN	through
language	NN	language
,	,	,
and	CC	and
the	DT	the
way	NN	way
we	PP	we
tell	VBP	tell
that	DT	that
story	NN	story
,	,	,
with	IN	with
all	PDT	all
the	DT	the
gory	JJ	gory
,	,	,
violent	JJ	violent
detail	NN	detail
,	,	,
the	DT	the
salacious	JJ	salacious
aspects	NNS	aspect
—	:	-
I	PP	I
call	VBP	call
that	IN	that
"	``	"
look	VB	look
at	IN	at
her	PP$	her
scars	NNS	scar
"	''	"
journalism	NN	journalism
.	SENT	.
We	PP	we
use	VBP	use
that	DT	that
story	NN	story
to	TO	to
convince	VB	convince
ourselves	PP	ourselves
that	IN	that
human	JJ	human
trafficking	NN	trafficking
is	VBZ	be
a	DT	a
bad	JJ	bad
man	NN	man
doing	VBG	do
a	DT	a
bad	JJ	bad
thing	NN	thing
to	TO	to
an	DT	an
innocent	JJ	innocent
girl	NN	girl
.	SENT	.
That	DT	that
story	NN	story
lets	VBZ	let
us	PP	us
off	RP	off
the	DT	the
hook	NN	hook
.	SENT	.
It	PP	it
takes	VBZ	take
away	RB	away
all	PDT	all
the	DT	the
societal	JJ	societal
context	NN	context
that	IN	that
we	PP	we
might	MD	might
be	VB	be
indicted	VBN	indict
for	IN	for
,	,	,
for	IN	for
the	DT	the
structural	JJ	structural
inequality	NN	inequality
,	,	,
or	CC	or
the	DT	the
poverty	NN	poverty
,	,	,
or	CC	or
the	DT	the
barriers	NNS	barrier
to	TO	to
migration	NN	migration
.	SENT	.
We	PP	we
let	VBP	let
ourselves	PP	ourselves
think	VBP	think
that	IN	that
human	JJ	human
trafficking	NN	trafficking
is	VBZ	be
only	RB	only
about	RB	about
forced	VBN	force
prostitution	NN	prostitution
,	,	,
when	WRB	when
in	IN	in
reality	NN	reality
,	,	,
human	JJ	human
trafficking	NN	trafficking
is	VBZ	be
embedded	VBN	embed
in	IN	in
our	PP$	our
everyday	JJ	everyday
lives	NNS	life
.	SENT	.
Let	VB	let
me	PP	me
show	VB	show
you	PP	you
what	WP	what
I	PP	I
mean	VBP	mean
.	SENT	.
Forced	VBN	force
prostitution	NN	prostitution
accounts	NNS	account
for	IN	for
22	CD	@card@
percent	NN	percent
of	IN	of
human	JJ	human
trafficking	NN	trafficking
.	SENT	.
Ten	CD	ten
percent	NN	percent
is	VBZ	be
in	IN	in
state-	NN	state-
imposed	VBD	impose
forced	JJ	forced
labor	NN	labor
.	SENT	.
but	CC	but
a	DT	a
whopping	JJ	whopping
68	CD	@card@
percent	NN	percent
is	VBZ	be
for	IN	for
the	DT	the
purpose	NN	purpose
of	IN	of
creating	VBG	create
the	DT	the
goods	NNS	good
and	CC	and
delivering	VBG	deliver
the	DT	the
services	NNS	service
that	IN	that
most	JJS	most
of	IN	of
us	PP	us
rely	VBP	rely
on	IN	on
every	DT	every
day	NN	day
,	,	,
in	IN	in
sectors	NNS	sector
like	IN	like
agricultural	JJ	agricultural
work	NN	work
,	,	,
domestic	JJ	domestic
work	NN	work
and	CC	and
construction	NN	construction
.	SENT	.
That	DT	that
is	VBZ	be
food	NN	food
and	CC	and
care	NN	care
and	CC	and
shelter	NN	shelter
.	SENT	.
And	CC	and
somehow	RB	somehow
,	,	,
these	DT	these
most	RBS	most
essential	JJ	essential
workers	NNS	worker
are	VBP	be
also	RB	also
among	IN	among
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
most	RBS	most
underpaid	JJ	underpaid
and	CC	and
exploited	VBN	exploit
today	NN	today
.	SENT	.
Human	JJ	human
trafficking	NN	trafficking
is	VBZ	be
the	DT	the
use	NN	use
of	IN	of
force	NN	force
,	,	,
fraud	NN	fraud
or	CC	or
coercion	NN	coercion
to	TO	to
compel	VB	compel
another	DT	another
person	NN	person
'	POS	'
s	NN	S
labor	NN	labor
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
found	VBD	find
in	IN	in
cotton	NN	cotton
fields	NNS	field
,	,	,
and	CC	and
coltan	NN	<unknown>
mines	NNS	mine
,	,	,
and	CC	and
even	RB	even
car	NN	car
washes	VBZ	wash
in	IN	in
Norway	NP	Norway
and	CC	and
England	NP	England
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
found	VBD	find
in	IN	in
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
military	JJ	military
bases	NNS	base
in	IN	in
Iraq	NP	Iraq
and	CC	and
Afghanistan	NP	Afghanistan
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
found	VBD	find
in	IN	in
Thailand	NP	Thailand
'	POS	'
s	JJ	<unknown>
fishing	NN	fishing
industry	NN	industry
.	SENT	.
That	DT	that
country	NN	country
has	VBZ	have
become	VBN	become
the	DT	the
largest	JJS	large
exporter	NN	exporter
of	IN	of
shrimp	NN	shrimp
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
But	CC	but
what	WP	what
are	VBP	be
the	DT	the
circumstances	NNS	circumstance
behind	IN	behind
all	PDT	all
that	DT	that
cheap	JJ	cheap
and	CC	and
plentiful	JJ	plentiful
shrimp	NN	shrimp
?	SENT	?
Thai	NP	Thai
military	NN	military
were	VBD	be
caught	VBN	catch
selling	VBG	sell
Burmese	JJ	Burmese
and	CC	and
Cambodian	JJ	Cambodian
migrants	NNS	migrant
onto	IN	onto
fishing	NN	fishing
boats	NNS	boat
.	SENT	.
Those	DT	those
fishing	NN	fishing
boats	NNS	boat
were	VBD	be
taken	VBN	take
out	RP	out
,	,	,
the	DT	the
men	NNS	man
put	VBP	put
to	TO	to
work	VB	work
,	,	,
and	CC	and
they	PP	they
were	VBD	be
thrown	VBN	throw
overboard	RB	overboard
if	IN	if
they	PP	they
made	VBD	make
the	DT	the
mistake	NN	mistake
of	IN	of
falling	VBG	fall
sick	JJ	sick
,	,	,
or	CC	or
trying	VBG	try
to	TO	to
resist	VB	resist
their	PP$	their
treatment	NN	treatment
.	SENT	.
Those	DT	those
fish	NN	fish
were	VBD	be
then	RB	then
used	VBN	use
to	TO	to
feed	VB	feed
shrimp	NN	shrimp
,	,	,
The	DT	the
shrimp	NN	shrimp
were	VBD	be
then	RB	then
sold	VBN	sell
to	TO	to
four	CD	four
major	JJ	major
global	JJ	global
retailers	NNS	retailer
:	:	:
Costco	NP	Costco
,	,	,
Tesco	NP	Tesco
,	,	,
Walmart	NP	<unknown>
and	CC	and
Carrefour	NN	carrefour
.	SENT	.
Human	JJ	human
trafficking	NN	trafficking
is	VBZ	be
found	VBN	find
on	IN	on
a	DT	a
smaller	JJR	small
scale	NN	scale
than	IN	than
just	RB	just
that	DT	that
,	,	,
and	CC	and
in	IN	in
places	NNS	place
you	PP	you
would	MD	would
never	RB	never
even	RB	even
imagine	VB	imagine
.	SENT	.
Traffickers	NNS	trafficker
have	VBP	have
forced	VBN	force
young	JJ	young
people	NNS	people
to	TO	to
drive	VB	drive
ice	NN	ice
cream	NN	cream
trucks	NNS	truck
,	,	,
or	CC	or
to	TO	to
sing	VB	sing
in	IN	in
touring	VBG	tour
boys	NNS	boy
'	POS	'
choirs	NNS	choir
.	SENT	.
Trafficking	NN	trafficking
has	VBZ	have
even	RB	even
been	VBN	be
found	VBN	find
in	IN	in
a	DT	a
hair	NN	hair
braiding	VBG	braid
salon	NN	salon
in	IN	in
New	NP	New
Jersey	NP	Jersey
.	SENT	.
The	DT	the
scheme	NN	scheme
in	IN	in
that	DT	that
case	NN	case
was	VBD	be
incredible	JJ	incredible
.	SENT	.
The	DT	the
traffickers	NNS	trafficker
found	VBD	find
young	JJ	young
families	NNS	family
who	WP	who
were	VBD	be
from	IN	from
Ghana	NP	Ghana
and	CC	and
Togo	NP	Togo
,	,	,
and	CC	and
they	PP	they
told	VBD	tell
these	DT	these
families	NNS	family
that	IN	that
"	``	"
your	PP$	your
daughters	NNS	daughter
are	VBP	be
going	VBG	go
to	TO	to
get	VB	get
a	DT	a
fine	JJ	fine
education	NN	education
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
"	``	"
They	PP	they
then	RB	then
located	VBN	locate
winners	NNS	winner
of	IN	of
the	DT	the
green	JJ	green
card	NN	card
lottery	NN	lottery
,	,	,
and	CC	and
they	PP	they
told	VBD	tell
them	PP	them
,	,	,
"	''	"
We	PP	we
'	POS	'
ll	NNS	<unknown>
help	VB	help
you	PP	you
out	RP	out
.	SENT	.
We	PP	we
'	POS	'
ll	NNS	<unknown>
get	VBP	get
you	PP	you
a	DT	a
plane	NN	plane
ticket	NN	ticket
.	SENT	.
We	PP	we
'	POS	'
ll	NNS	<unknown>
pay	VBP	pay
your	PP$	your
fees	NNS	fee
.	SENT	.
All	RB	all
you	PP	you
have	VBP	have
to	TO	to
do	VB	do
is	VBZ	be
take	VB	take
this	DT	this
young	JJ	young
girl	NN	girl
with	IN	with
you	PP	you
,	,	,
say	VBP	say
that	IN	that
she	PP	she
'	''	'
s	VBG	<unknown>
your	PP$	your
sister	NN	sister
or	CC	or
your	PP$	your
spouse	NN	spouse
.	SENT	.
Once	IN	once
everyone	NN	everyone
arrived	VBN	arrive
in	IN	in
New	NP	New
Jersey	NP	Jersey
,	,	,
the	DT	the
young	JJ	young
girls	NNS	girl
were	VBD	be
taken	VBN	take
away	RP	away
,	,	,
and	CC	and
put	VBD	put
to	TO	to
work	VB	work
for	IN	for
14-hour	JJ	<unknown>
days	NNS	day
,	,	,
seven	CD	seven
days	NNS	day
a	DT	a
week	NN	week
,	,	,
for	IN	for
five	CD	five
years	NNS	year
.	SENT	.
They	PP	they
made	VBD	make
their	PP$	their
traffickers	NNS	trafficker
nearly	RB	nearly
four	CD	four
million	CD	million
dollars	NNS	dollar
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
huge	JJ	huge
problem	NN	problem
.	SENT	.
So	RB	so
what	WP	what
have	VBP	have
we	PP	we
done	VBN	do
about	IN	about
it	PP	it
?	SENT	?
We	PP	we
'	POS	'
ve	NN	ve
mostly	RB	mostly
turned	VBD	turn
to	TO	to
the	DT	the
criminal	JJ	criminal
justice	NN	justice
system	NN	system
.	SENT	.
But	CC	but
keep	VB	keep
in	IN	in
mind	NN	mind
,	,	,
most	JJS	most
victims	NNS	victim
of	IN	of
human	JJ	human
trafficking	NN	trafficking
are	VBP	be
poor	JJ	poor
and	CC	and
marginalized	VBN	marginalize
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
migrants	NNS	migrant
,	,	,
people	NNS	people
of	IN	of
color	NN	color
.	SENT	.
Sometimes	RB	sometimes
they	PP	they
'	POS	'
re	NN	re
in	IN	in
the	DT	the
sex	NN	sex
trade	NN	trade
.	SENT	.
And	CC	and
for	IN	for
populations	NNS	population
like	IN	like
these	DT	these
,	,	,
the	DT	the
criminal	JJ	criminal
justice	NN	justice
system	NN	system
is	VBZ	be
too	RB	too
often	RB	often
part	NN	part
of	IN	of
the	DT	the
problem	NN	problem
,	,	,
rather	RB	rather
than	IN	than
the	DT	the
solution	NN	solution
.	SENT	.
In	IN	in
study	NN	study
after	IN	after
study	NN	study
,	,	,
in	IN	in
countries	NNS	country
ranging	VBG	range
from	IN	from
Bangladesh	NP	Bangladesh
to	TO	to
the	DT	the
United	NP	United
States	NPS	States
,	,	,
between	IN	between
20	CD	@card@
and	CC	and
60	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
people	NNS	people
in	IN	in
the	DT	the
sex	NN	sex
trade	NN	trade
who	WP	who
were	VBD	be
surveyed	VBN	survey
said	VBD	say
that	IN	that
they	PP	they
had	VBD	have
been	VBN	be
raped	VBN	rape
or	CC	or
assaulted	VBN	assault
by	IN	by
the	DT	the
police	NN	police
in	IN	in
the	DT	the
past	JJ	past
year	NN	year
alone	RB	alone
.	SENT	.
People	NNS	people
in	IN	in
prostitution	NN	prostitution
,	,	,
including	VBG	include
people	NNS	people
who	WP	who
have	VBP	have
been	VBN	be
trafficked	VBN	traffic
into	IN	into
it	PP	it
,	,	,
regularly	RB	regularly
receive	VB	receive
multiple	JJ	multiple
convictions	NNS	conviction
for	IN	for
prostitution	NN	prostitution
.	SENT	.
Having	VBG	have
that	DT	that
criminal	JJ	criminal
record	NN	record
makes	VBZ	make
it	PP	it
so	RB	so
much	RB	much
more	RBR	more
difficult	JJ	difficult
to	TO	to
leave	VB	leave
poverty	NN	poverty
,	,	,
leave	VBP	leave
abuse	NN	abuse
,	,	,
or	CC	or
leave	VB	leave
prostitution	NN	prostitution
,	,	,
if	IN	if
that	DT	that
person	NN	person
so	IN	so
desires	NNS	desire
.	SENT	.
Workers	NNS	worker
outside	JJ	outside
of	IN	of
the	DT	the
sex	NN	sex
sector	NN	sector
—	:	-
if	IN	if
they	PP	they
try	VBP	try
and	CC	and
resist	VBP	resist
their	PP$	their
treatment	NN	treatment
,	,	,
they	PP	they
risk	VBP	risk
deportation	NN	deportation
.	SENT	.
In	IN	in
case	NN	case
after	IN	after
case	NN	case
I	NP	I
'	POS	'
ve	NN	ve
studied	VBD	study
,	,	,
employers	NNS	employer
have	VBP	have
no	DT	no
problem	NN	problem
calling	VBG	call
on	IN	on
law	NN	law
enforcement	NN	enforcement
to	TO	to
try	VB	try
and	CC	and
threaten	VB	threaten
or	CC	or
deport	VB	deport
their	PP$	their
striking	JJ	striking
trafficked	VBN	traffic
workers	NNS	worker
.	SENT	.
If	IN	if
those	DT	those
workers	NNS	worker
run	VBP	run
away	RB	away
,	,	,
they	PP	they
risk	VBP	risk
becoming	VBG	become
part	NN	part
of	IN	of
the	DT	the
great	JJ	great
mass	NN	mass
of	IN	of
undocumented	JJ	undocumented
workers	NNS	worker
who	WP	who
are	VBP	be
also	RB	also
subject	JJ	subject
to	TO	to
the	DT	the
whims	NNS	whim
of	IN	of
law	NN	law
enforcement	NN	enforcement
if	IN	if
they	PP	they
'	POS	'
re	NN	re
caught	VBD	catch
.	SENT	.
Law	NN	law
enforcement	NN	enforcement
is	VBZ	be
supposed	VBN	suppose
to	TO	to
identify	VB	identify
victims	NNS	victim
and	CC	and
prosecute	VB	prosecute
traffickers	NNS	trafficker
.	SENT	.
But	CC	but
out	RB	out
of	IN	of
an	DT	an
