So	IN	so
dramatically	RB	dramatically
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
the	DT	the
early	JJ	early
stages	NNS	stage
of	IN	of
what	WP	what
our	PP$	our
AI	NN	ai
,	,	,
which	WDT	which
we	PP	we
call	VBP	call
Khanmigo	NP	<unknown>
,	,	,
what	WP	what
it	PP	it
can	MD	can
now	RB	now
do	VB	do
and	CC	and
maybe	RB	maybe
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
where	WRB	where
it	PP	it
is	VBZ	be
actually	RB	actually
going	VBG	go
.	SENT	.
So	IN	so
this	DT	this
right	NN	right
over	IN	over
here	RB	here
is	VBZ	be
a	DT	a
traditional	JJ	traditional
exercise	NN	exercise
that	IN	that
you	PP	you
or	CC	or
many	JJ	many
of	IN	of
your	PP$	your
children	NNS	child
might	MD	might
have	VB	have
seen	VBN	see
on	IN	on
Khan	NP	Khan
Academy	NP	Academy
.	SENT	.
But	CC	but
what	WP	what
'	POS	'
s	NN	S
new	JJ	new
is	VBZ	be
that	IN	that
little	JJ	little
bot	NN	bot
thing	NN	thing
at	IN	at
the	DT	the
right	NN	right
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ll	JJ	<unknown>
start	NN	start
by	IN	by
seeing	VBG	see
one	CD	one
of	IN	of
the	DT	the
very	RB	very
important	JJ	important
safeguards	NNS	safeguard
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
conversation	NN	conversation
is	VBZ	be
recorded	VBN	record
and	CC	and
viewable	JJ	<unknown>
by	IN	by
your	PP$	your
teacher	NN	teacher
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
moderated	VBD	moderate
actually	RB	actually
by	IN	by
a	DT	a
second	JJ	second
AI	NN	ai
.	SENT	.
And	CC	and
also	RB	also
it	PP	it
does	VBZ	do
not	RB	not
tell	VB	tell
you	PP	you
the	DT	the
answer	NN	answer
.	SENT	.
It	PP	it
is	VBZ	be
not	RB	not
a	DT	a
cheating	NN	cheating
tool	NN	tool
.	SENT	.
When	WRB	when
the	DT	the
student	NN	student
says	VBZ	say
,	,	,
"	``	"
Tell	VB	tell
me	PP	me
the	DT	the
answer	NN	answer
,	,	,
"	''	"
it	PP	it
says	VBZ	say
,	,	,
"	``	"
I	NP	I
'	''	'
m	NN	m
your	PP$	your
tutor	NN	tutor
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
think	VBP	think
is	VBZ	be
the	DT	the
next	JJ	next
step	NN	step
for	IN	for
solving	VBG	solve
the	DT	the
problem	NN	problem
?	SENT	?
"	''	"
Now	RB	now
,	,	,
if	IN	if
the	DT	the
student	NN	student
makes	VBZ	make
a	DT	a
mistake	NN	mistake
,	,	,
and	CC	and
this	DT	this
will	MD	will
surprise	VB	surprise
people	NNS	people
who	WP	who
think	VBP	think
large	JJ	large
language	NN	language
models	NNS	model
are	VBP	be
not	RB	not
good	JJ	good
at	IN	at
mathematics	NNS	mathematics
,	,	,
notice	NN	notice
,	,	,
not	RB	not
only	RB	only
does	VBZ	do
it	PP	it
notice	VB	notice
the	DT	the
mistake	NN	mistake
,	,	,
it	PP	it
asks	VBZ	ask
the	DT	the
student	NN	student
to	TO	to
explain	VB	explain
their	PP$	their
reasoning	NN	reasoning
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
doing	VBG	do
what	WP	what
I	PP	I
would	MD	would
say	VB	say
,	,	,
not	RB	not
just	RB	just
even	RB	even
an	DT	an
average	JJ	average
tutor	NN	tutor
would	MD	would
do	VB	do
,	,	,
but	CC	but
an	DT	an
excellent	JJ	excellent
tutor	NN	tutor
would	MD	would
do	VB	do
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
able	JJ	able
to	TO	to
divine	VB	divine
what	WP	what
is	VBZ	be
probably	RB	probably
the	DT	the
misconception	NN	misconception
in	IN	in
that	DT	that
student	NN	student
'	POS	'
s	NN	S
mind	NN	mind
,	,	,
that	WDT	that
they	PP	they
probably	RB	probably
didn	NN	<unknown>
'	POS	'
t	NN	t
use	NN	use
the	DT	the
distributive	JJ	distributive
property	NN	property
.	SENT	.
Remember	VB	remember
,	,	,
we	PP	we
need	VBP	need
to	TO	to
distribute	VB	distribute
the	DT	the
negative	JJ	negative
two	CD	two
to	TO	to
both	DT	both
the	DT	the
nine	CD	nine
and	CC	and
the	DT	the
2m	JJ	<unknown>
inside	NN	inside
of	IN	of
the	DT	the
parentheses	NNS	parenthesis
.	SENT	.
This	DT	this
to	TO	to
me	PP	me
is	VBZ	be
a	DT	a
very	RB	very
,	,	,
very	RB	very
,	,	,
very	RB	very
big	JJ	big
deal	NN	deal
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
in	IN	in
math	NN	math
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
computer	NN	computer
programming	NN	programming
exercise	NN	exercise
on	IN	on
Khan	NP	Khan
Academy	NP	Academy
,	,	,
where	WRB	where
the	DT	the
student	NN	student
needs	VBZ	need
to	TO	to
make	VB	make
the	DT	the
clouds	NNS	cloud
part	NN	part
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
can	MD	can
see	VB	see
the	DT	the
student	NN	student
starts	VBZ	start
defining	VBG	define
a	DT	a
variable	NN	variable
,	,	,
left	VBD	leave
X	NN	X
minus	CC	minus
minus	NN	minus
.	SENT	.
It	PP	it
only	RB	only
made	VBD	make
the	DT	the
left	VBN	leave
cloud	NN	cloud
part	NN	part
.	SENT	.
But	CC	but
then	RB	then
they	PP	they
can	MD	can
ask	VB	ask
Khanmigo	NP	<unknown>
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
?	SENT	?
Why	WRB	why
is	VBZ	be
only	RB	only
the	DT	the
left	VBN	leave
cloud	NN	cloud
moving	VBG	move
?	SENT	?
And	CC	and
it	PP	it
understands	VBZ	understand
the	DT	the
code	NN	code
.	SENT	.
It	PP	it
knows	VBZ	know
all	PDT	all
the	DT	the
context	NN	context
of	IN	of
what	WP	what
the	DT	the
student	NN	student
is	VBZ	be
doing	VBG	do
,	,	,
and	CC	and
it	PP	it
understands	VBZ	understand
that	IN	that
those	DT	those
ellipses	NNS	ellipse
are	VBP	be
there	RB	there
to	TO	to
draw	VB	draw
clouds	NNS	cloud
,	,	,
which	WDT	which
I	PP	I
think	VBP	think
is	VBZ	be
kind	NN	kind
of	IN	of
mind-blowing	JJ	mind-blowing
.	SENT	.
And	CC	and
it	PP	it
says	VBZ	say
,	,	,
"	``	"
To	TO	to
make	VB	make
the	DT	the
right	JJ	right
cloud	NN	cloud
move	NN	move
as	IN	as
well	RB	well
,	,	,
try	VBP	try
adding	VBG	add
a	DT	a
line	NN	line
of	IN	of
code	NN	code
inside	IN	inside
the	DT	the
draw	NN	draw
function	NN	function
that	IN	that
increments	NNS	increment
the	DT	the
right	JJ	right
X	NN	X
variable	NN	variable
by	IN	by
one	CD	one
pixel	NN	<unknown>
in	IN	in
each	DT	each
frame	NN	frame
.	SENT	.
"	''	"
Now	RB	now
,	,	,
this	DT	this
one	CD	one
is	VBZ	be
maybe	RB	maybe
even	RB	even
more	RBR	more
amazing	JJ	amazing
because	IN	because
we	PP	we
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
math	NN	math
teachers	NNS	teacher
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
all	RB	all
been	VBN	be
trying	VBG	try
to	TO	to
teach	VB	teach
the	DT	the
world	NN	world
to	TO	to
code	VB	code
,	,	,
but	CC	but
there	RB	there
aren	NNS	<unknown>
'	POS	'
t	NN	t
a	DT	a
lot	NN	lot
of	IN	of
computing	VBG	compute
teachers	NNS	teacher
out	RP	out
there	RB	there
.	SENT	.
And	CC	and
what	WP	what
you	PP	you
just	RB	just
saw	VBD	see
,	,	,
even	RB	even
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
tutoring	VBG	tutor
my	PP$	my
kids	NNS	kid
,	,	,
when	WRB	when
they	PP	they
'	POS	'
re	NN	re
learning	VBG	learn
to	TO	to
code	VB	code
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
help	VB	help
them	PP	them
this	DT	this
well	RB	well
,	,	,
this	DT	this
fast	JJ	fast
,	,	,
this	DT	this
is	VBZ	be
really	RB	really
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
super	JJ	super
tutor	NN	tutor
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
exercises	VBZ	exercise
.	SENT	.
It	PP	it
understands	VBZ	understand
what	WP	what
you	PP	you
'	POS	'
re	NN	re
watching	NN	watching
.	SENT	.
It	PP	it
understands	VBZ	understand
the	DT	the
context	NN	context
of	IN	of
your	PP$	your
video	NN	video
.	SENT	.
It	PP	it
can	MD	can
answer	VB	answer
the	DT	the
age-old	JJ	age-old
question	NN	question
,	,	,
"	``	"
Why	WRB	why
do	VBP	do
I	PP	I
need	VBP	need
to	TO	to
learn	VB	learn
this	DT	this
?	SENT	?
"	``	"
And	CC	and
it	PP	it
asks	VBZ	ask
Socratically	RB	Socratically
,	,	,
"	``	"
Well	UH	well
,	,	,
what	WP	what
do	VBP	do
you	PP	you
care	VBP	care
about	RB	about
?	SENT	?
"	''	"
And	CC	and
let	VB	let
'	''	'
s	NNS	<unknown>
say	VBP	say
the	DT	the
student	NN	student
says	VBZ	say
,	,	,
"	``	"
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
a	DT	a
professional	JJ	professional
athlete	NN	athlete
.	SENT	.
"	``	"
And	CC	and
it	PP	it
says	VBZ	say
,	,	,
"	``	"
Well	UH	well
,	,	,
learning	VBG	learn
about	IN	about
the	DT	the
size	NN	size
of	IN	of
cells	NNS	cell
,	,	,
which	WDT	which
is	VBZ	be
what	WP	what
this	DT	this
video	NN	video
is	VBZ	be
,	,	,
that	WDT	that
could	MD	could
be	VB	be
really	RB	really
useful	JJ	useful
for	IN	for
understanding	VBG	understand
nutrition	NN	nutrition
and	CC	and
how	WRB	how
your	PP$	your
body	NN	body
works	NNS	work
,	,	,
etc	FW	etc
.	SENT	.
"	``	"
It	PP	it
can	MD	can
answer	VB	answer
questions	NNS	question
,	,	,
it	PP	it
can	MD	can
quiz	VB	quiz
you	PP	you
,	,	,
it	PP	it
can	MD	can
connect	VB	connect
it	PP	it
to	TO	to
other	JJ	other
ideas	NNS	idea
,	,	,
you	PP	you
can	MD	can
now	RB	now
ask	VB	ask
as	IN	as
many	JJ	many
questions	NNS	question
of	IN	of
a	DT	a
video	NN	video
as	IN	as
you	PP	you
could	MD	could
ever	RB	ever
dream	VB	dream
of	IN	of
.	SENT	.
Another	DT	another
big	JJ	big
shortage	NN	shortage
out	IN	out
there	RB	there
,	,	,
I	PP	I
remember	VBP	remember
the	DT	the
high	JJ	high
school	NN	school
I	PP	I
went	VBD	go
to	TO	to
,	,	,
the	DT	the
student-to-guidance	NN	student-to-guidance
counselor	NN	counselor
ratio	NN	ratio
was	VBD	be
about	RB	about
200	CD	@card@
or	CC	or
300	CD	@card@
to	TO	to
one	CD	one
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
the	DT	the
country	NN	country
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
worse	RBR	worse
than	IN	than
that	DT	that
.	SENT	.
We	PP	we
can	MD	can
use	VB	use
Khanmigo	NP	<unknown>
to	TO	to
give	VB	give
every	DT	every
student	NN	student
a	DT	a
guidance	NN	guidance
counselor	NN	counselor
,	,	,
academic	JJ	academic
coach	NN	coach
,	,	,
career	NN	career
coach	NN	coach
,	,	,
life	NN	life
coach	NN	coach
,	,	,
which	WDT	which
is	VBZ	be
exactly	RB	exactly
what	WP	what
you	PP	you
see	VBP	see
right	RB	right
over	IN	over
here	RB	here
.	SENT	.
And	CC	and
we	PP	we
launched	VBD	launch
this	DT	this
with	IN	with
the	DT	the
GPT-4	NP	<unknown>
launch	NN	launch
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
few	JJ	few
thousand	CD	thousand
people	NNS	people
on	IN	on
this	DT	this
.	SENT	.
This	DT	this
isn	NN	isn
'	POS	'
t	NN	t
a	DT	a
fake	JJ	fake
demo	NN	demo
,	,	,
this	DT	this
is	VBZ	be
really	RB	really
it	PP	it
in	IN	in
action	NN	action
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
is	VBZ	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
things	NNS	thing
that	WDT	that
I	PP	I
think	VBP	think
it	PP	it
would	MD	would
have	VB	have
been	VBN	be
even	RB	even
harder	JJR	hard
,	,	,
it	PP	it
would	MD	would
have	VB	have
been	VBN	be
a	DT	a
little	JJ	little
science	NN	science
fiction	NN	fiction
to	TO	to
do	VB	do
with	IN	with
even	RB	even
a	DT	a
traditional	JJ	traditional
tutor	NN	tutor
.	SENT	.
We	PP	we
run	VBP	run
an	DT	an
online	JJ	online
high	JJ	high
school	NN	school
with	IN	with
Arizona	NP	Arizona
State	NP	State
University	NP	University
called	VBD	call
Khan	NP	Khan
World	NP	World
School	NP	School
,	,	,
and	CC	and
we	PP	we
have	VBP	have
a	DT	a
student	NN	student
who	WP	who
attends	VBZ	attend
that	IN	that
online	JJ	online
school	NN	school
,	,	,
based	VBN	base
in	IN	in
India	NP	India
.	SENT	.
Her	PP$	her
name	NN	name
'	POS	'
s	JJ	<unknown>
Saanvi	NP	<unknown>
.	SENT	.
And	CC	and
she	PP	she
was	VBD	be
doing	VBG	do
a	DT	a
report	NN	report
on	IN	on
"	``	"
The	DT	the
Great	NP	Great
Gatsby	NP	Gatsby
.	SENT	.
"	``	"
And	CC	and
when	WRB	when
she	PP	she
was	VBD	be
reading	VBG	read
"	``	"
The	DT	the
Great	NP	Great
Gatsby	NP	Gatsby
,	,	,
"	''	"
Jay	NP	Jay
Gatsby	NP	Gatsby
keeps	VBZ	keep
looking	VBG	look
at	IN	at
the	DT	the
green	JJ	green
light	NN	light
off	RP	off
into	IN	into
the	DT	the
distance	NN	distance
.	SENT	.
And	CC	and
she	PP	she
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
"	``	"
Why	WRB	why
does	VBZ	do
he	PP	he
do	VBP	do
that	RB	that
?	SENT	?
"	''	"
She	PP	she
did	VBD	do
some	DT	some
web	NN	web
searches	NNS	search
,	,	,
and	CC	and
people	NNS	people
have	VBP	have
obviously	RB	obviously
studied	VBN	study
this	DT	this
and	CC	and
commented	VBD	comment
about	IN	about
the	DT	the
symbolism	NN	symbolism
of	IN	of
that	DT	that
,	,	,
but	CC	but
none	NN	none
of	IN	of
it	PP	it
was	VBD	be
really	RB	really
resonating	VBG	resonate
with	IN	with
her	PP	her
.	SENT	.
And	CC	and
then	RB	then
she	PP	she
realized	VBD	realize
that	IN	that
she	PP	she
had	VBD	have
Khanmigo	NP	<unknown>
and	CC	and
that	IN	that
she	PP	she
could	MD	could
talk	VB	talk
to	TO	to
Jay	NP	Jay
Gatsby	NP	Gatsby
himself	PP	himself
.	SENT	.
And	CC	and
so	RB	so
,	,	,
"	``	"
Ah	UH	ah
,	,	,
splendid	JJ	splendid
choice	NN	choice
,	,	,
old	JJ	old
sport	NN	sport
.	SENT	.
I	PP	I
am	VBP	be
now	RB	now
Jay	NP	Jay
Gatsby	NP	Gatsby
,	,	,
the	DT	the
enigmatic	JJ	enigmatic
millionaire	NN	millionaire
from	IN	from
F	NP	F
.	SENT	.
Scott	NP	Scott
Fitzgerald	NP	Fitzgerald
'	POS	'
s	NN	S
classic	NN	classic
.	SENT	.
"	''	"
And	CC	and
so	RB	so
,	,	,
"	``	"
Why	WRB	why
do	VBP	do
you	PP	you
keep	VB	keep
staring	VBG	stare
at	IN	at
the	DT	the
green	JJ	green
light	NN	light
?	SENT	?
"	''	"
"	``	"
Ah	UH	ah
,	,	,
the	DT	the
green	JJ	green
light	NN	light
,	,	,
old	JJ	old
sport	NN	sport
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
symbol	NN	symbol
of	IN	of
my	PP$	my
dreams	NNS	dream
and	CC	and
desires	NNS	desire
,	,	,
you	PP	you
see	VBP	see
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
situated	VBN	situate
at	IN	at
the	DT	the
end	NN	end
of	IN	of
Daisy	NP	Daisy
Buchanan	NP	Buchanan
'	POS	'
s	JJ	<unknown>
dock	NN	dock
across	IN	across
the	DT	the
bay	NN	bay
from	IN	from
my	PP$	my
mansion	NN	mansion
.	SENT	.
I	PP	I
gaze	VBP	gaze
at	IN	at
it	PP	it
longingly	RB	longingly
as	IN	as
it	PP	it
represents	VBZ	represent
my	PP$	my
yearning	NN	yearning
for	IN	for
the	DT	the
past	NN	past
and	CC	and
my	PP$	my
hope	NN	hope
to	TO	to
reunite	VB	reunite
with	IN	with
Daisy	NP	Daisy
,	,	,
the	DT	the
love	NN	love
of	IN	of
my	PP$	my
life	NN	life
.	SENT	.
"	''	"
And	CC	and
what	WP	what
was	VBD	be
cool	NN	cool
is	VBZ	be
,	,	,
Saanvi	NP	<unknown>
then	RB	then
said	VBD	say
,	,	,
"	``	"
I	PP	I
had	VBD	have
this	DT	this
long	JJ	long
conversation	NN	conversation
,	,	,
"	''	"
she	PP	she
called	VBD	call
him	PP	him
"	``	"
Mr	NP	Mr
.	SENT	.
Gatsby	NP	Gatsby
,	,	,
"	''	"
and	CC	and
at	IN	at
the	DT	the
end	NN	end
she	PP	she
actually	RB	actually
apologized	VBD	apologize
for	IN	for
taking	VBG	take
his	PP$	his
time	NN	time
,	,	,
which	WDT	which
I	PP	I
thought	VBD	think
was	VBD	be
very	RB	very
polite	JJ	polite
of	IN	of
her	PP	her
.	SENT	.
But	CC	but
you	PP	you
can	MD	can
imagine	VB	imagine
this	DT	this
unlocks	VBZ	unlock
learning	VBG	learn
literature	NN	literature
,	,	,
learning	VBG	learn
.	SENT	.
.	SENT	.
.	SENT	.
You	PP	you
could	MD	could
talk	VB	talk
to	TO	to
historical	JJ	historical
figures	NNS	figure
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
even	RB	even
probably	RB	probably
going	VBG	go
to	TO	to
add	VB	add
an	DT	an
activity	NN	activity
you	PP	you
can	MD	can
talk	VB	talk
to	TO	to
like	VB	like
,	,	,
the	DT	the
Mississippi	NP	Mississippi
River	NP	River
.	SENT	.
It	PP	it
brings	VBZ	bring
things	NNS	thing
to	TO	to
life	NN	life
in	IN	in
ways	NNS	way
that	WDT	that
really	RB	really
were	VBD	be
science	NN	science
fiction	NN	fiction
even	RB	even
six	CD	six
months	NNS	month
or	CC	or
a	DT	a
year	NN	year
ago	RB	ago
.	SENT	.
Students	NNS	student
can	MD	can
get	VB	get
into	IN	into
debates	NNS	debate
with	IN	with
the	DT	the
AI	NN	ai
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
this	DT	this
here	RB	here
is	VBZ	be
the	DT	the
student	NN	student
debating	VBG	debate
whether	IN	whether
we	PP	we
should	MD	should
cancel	VB	cancel
student	NN	student
debt	NN	debt
.	SENT	.
The	DT	the
student	NN	student
is	VBZ	be
against	IN	against
canceling	VBG	cancel
student	NN	student
debt	NN	debt
,	,	,
and	CC	and
we	PP	we
'	POS	'
ve	NNS	<unknown>
gotten	VBN	get
very	RB	very
clear	JJ	clear
feedback	NN	feedback
.	SENT	.
We	PP	we
started	VBD	start
running	VBG	run
it	PP	it
at	IN	at
Khan	NP	Khan
World	NP	World
School	NP	School
in	IN	in
our	PP$	our
lab	NN	lab
school	NN	school
that	IN	that
we	PP	we
have	VBP	have
,	,	,
Khan	NP	Khan
Lab	NP	Lab
School	NP	School
.	SENT	.
The	DT	the
students	NNS	student
,	,	,
the	DT	the
high	JJ	high
school	NN	school
students	NNS	student
especially	RB	especially
,	,	,
they	PP	they
'	POS	'
re	NN	re
saying	VBG	say
"	``	"
This	DT	this
is	VBZ	be
amazing	JJ	amazing
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
fine-tune	VB	fine-tune
my	PP$	my
arguments	NNS	argument
without	IN	without
fearing	VBG	fear
judgment	NN	judgment
.	SENT	.
It	PP	it
makes	VBZ	make
me	PP	me
that	DT	that
much	RB	much
