Growing	VBG	grow
watch	VB	watch
the	DT	the
little	JJ	little
needle	NN	needle
bounce	NN	bounce
around	RB	around
until	IN	until
you	PP	you
find	VBP	find
north	RB	north
.	SENT	.
Magnetism	NN	magnetism
is	VBZ	be
still	RB	still
a	DT	a
pretty	RB	pretty
mysterious	JJ	mysterious
force	NN	force
to	TO	to
physicists	NNS	physicist
,	,	,
but	CC	but
what	WP	what
we	PP	we
do	VBP	do
know	VB	know
for	IN	for
sure	JJ	sure
is	VBZ	be
that	IN	that
a	DT	a
compass	NN	compass
works	VBZ	work
because	IN	because
the	DT	the
Earth	NN	earth
is	VBZ	be
this	DT	this
giant	JJ	giant
magnet	NN	magnet
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
use	VBP	use
a	DT	a
compass	NN	compass
,	,	,
you	PP	you
are	VBP	be
in	IN	in
touch	NN	touch
with	IN	with
the	DT	the
very	JJ	very
center	NN	center
of	IN	of
our	PP$	our
planet	NN	planet
,	,	,
where	WRB	where
this	DT	this
kind	NN	kind
of	IN	of
roiling	VBG	roil
ball	NN	ball
of	IN	of
molten	JJ	molten
iron	NN	iron
is	VBZ	be
spinning	VBG	spin
around	RP	around
and	CC	and
creating	VBG	create
a	DT	a
magnetic	JJ	magnetic
field	NN	field
.	SENT	.
Just	RB	just
like	IN	like
a	DT	a
magnet	NN	magnet
you	PP	you
can	MD	can
play	VB	play
with	IN	with
on	IN	on
your	PP$	your
tabletop	NN	tabletop
,	,	,
it	PP	it
has	VBZ	have
a	DT	a
north	JJ	north
pole	NN	pole
and	CC	and
a	DT	a
south	JJ	south
pole	NN	pole
,	,	,
and	CC	and
we	PP	we
use	VBP	use
compasses	NNS	compass
to	TO	to
find	VB	find
our	PP$	our
way	NN	way
north	RB	north
because	IN	because
of	IN	of
that	DT	that
fact	NN	fact
.	SENT	.
The	DT	the
earliest	JJS	early
known	VBN	know
compass	NN	compass
comes	VBZ	come
from	IN	from
about	RB	about
200	CD	@card@
BC	NP	BC
in	IN	in
China	NP	China
.	SENT	.
They	PP	they
figured	VBD	figure
out	RP	out
that	IN	that
some	DT	some
of	IN	of
the	DT	the
metal	NN	metal
coming	VBG	come
out	RP	out
of	IN	of
the	DT	the
ground	NN	ground
was	VBD	be
naturally	RB	naturally
magnetic	JJ	magnetic
,	,	,
and	CC	and
so	RB	so
they	PP	they
fashioned	VBD	fashion
this	DT	this
magnetized	VBN	magnetize
metal	NN	metal
into	IN	into
this	DT	this
kind	NN	kind
of	IN	of
ladle-looking	JJ	<unknown>
thing	NN	thing
,	,	,
put	VBD	put
it	PP	it
on	IN	on
a	DT	a
brass	NN	brass
plate	NN	plate
and	CC	and
then	RB	then
it	PP	it
would	MD	would
point	VB	point
north	RB	north
.	SENT	.
It	PP	it
seems	VBZ	seem
to	TO	to
have	VB	have
been	VBN	be
primarily	RB	primarily
used	VBN	use
to	TO	to
improve	VB	improve
feng	NN	feng
shui	NNS	shui
,	,	,
so	RB	so
they	PP	they
could	MD	could
figure	VB	figure
out	RP	out
what	WP	what
was	VBD	be
the	DT	the
best	JJS	good
way	NN	way
for	IN	for
energy	NN	energy
to	TO	to
flow	VB	flow
through	IN	through
their	PP$	their
living	VBG	live
spaces	NNS	space
.	SENT	.
Sailors	NNS	sailor
were	VBD	be
probably	RB	probably
the	DT	the
early	JJ	early
adopters	NNS	adopter
of	IN	of
the	DT	the
more	JJR	more
portable	JJ	portable
versions	NNS	version
of	IN	of
it	PP	it
,	,	,
because	IN	because
no	DT	no
matter	NN	matter
where	WRB	where
the	DT	the
sun	NN	sun
was	VBD	be
,	,	,
no	DT	no
matter	NN	matter
what	WP	what
the	DT	the
condition	NN	condition
of	IN	of
the	DT	the
stars	NNS	star
were	VBD	be
,	,	,
they	PP	they
would	MD	would
always	RB	always
be	VB	be
able	JJ	able
to	TO	to
find	VB	find
north	RB	north
.	SENT	.
Now	RB	now
,	,	,
much	RB	much
later	RBR	later
,	,	,
the	DT	the
Europeans	NPS	Europeans
are	VBP	be
the	DT	the
ones	NNS	one
who	WP	who
innovate	VBP	innovate
and	CC	and
come	VBP	come
up	RP	up
with	IN	with
the	DT	the
compass	NN	compass
rose	VBD	rise
.	SENT	.
It	PP	it
essentially	RB	essentially
laid	VBD	lay
out	RP	out
what	WP	what
north	NN	north
,	,	,
south	RB	south
,	,	,
east	JJ	east
and	CC	and
west	RB	west
looked	VBD	look
like	IN	like
,	,	,
and	CC	and
it	PP	it
also	RB	also
enabled	VBD	enable
you	PP	you
to	TO	to
kind	NN	kind
of	IN	of
create	VB	create
new	JJ	new
directions	NNS	direction
,	,	,
like	IN	like
northwest	RB	northwest
,	,	,
southeast	RB	southeast
,	,	,
what	WP	what
have	VBP	have
you	PP	you
.	SENT	.
And	CC	and
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
they	PP	they
knew	VBD	know
where	WRB	where
they	PP	they
were	VBD	be
going	VBG	go
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
a	DT	a
big	JJ	big
deal	NN	deal
.	SENT	.
But	CC	but
also	RB	also
,	,	,
I	PP	I
think	VBP	think
it	PP	it
was	VBD	be
part	NN	part
of	IN	of
this	DT	this
general	JJ	general
reinvigoration	NN	reinvigoration
of	IN	of
European	JJ	European
science	NN	science
.	SENT	.
You	PP	you
might	MD	might
know	VB	know
it	PP	it
as	IN	as
the	DT	the
Renaissance	NP	Renaissance
.	SENT	.
Lots	NNS	lot
of	IN	of
new	JJ	new
tools	NNS	tool
were	VBD	be
invented	VBN	invent
,	,	,
from	IN	from
the	DT	the
telescope	NN	telescope
to	TO	to
the	DT	the
microscope	NN	microscope
.	SENT	.
Maps	NNS	map
got	VBD	get
better	JJR	good
because	IN	because
of	IN	of
compasses	NNS	compass
,	,	,
right	RB	right
?	SENT	?
Because	IN	because
then	RB	then
you	PP	you
start	VBP	start
to	TO	to
understand	VB	understand
which	WDT	which
direction	NN	direction
is	VBZ	be
which	WDT	which
,	,	,
you	PP	you
get	VBP	get
a	DT	a
lot	NN	lot
more	JJR	more
detail	NN	detail
,	,	,
and	CC	and
that	IN	that
just	RB	just
kind	NN	kind
of	IN	of
changes	NNS	change
the	DT	the
human	JJ	human
relationship	NN	relationship
to	TO	to
the	DT	the
world	NN	world
.	SENT	.
The	DT	the
compass	NN	compass
with	IN	with
a	DT	a
map	NN	map
is	VBZ	be
like	IN	like
a	DT	a
superpower	NN	superpower
.	SENT	.
Everything	NN	everything
that	IN	that
we	PP	we
think	VBP	think
of	IN	of
as	IN	as
world	NN	world
history	NN	history
would	MD	would
not	RB	not
have	VB	have
taken	VBN	take
place	NN	place
without	IN	without
the	DT	the
compass	NN	compass
:	:	:
the	DT	the
age	NN	age
of	IN	of
exploration	NN	exploration
,	,	,
Magellan	NP	Magellan
circumnavigating	VBG	circumnavigate
the	DT	the
globe	NN	globe
,	,	,
even	RB	even
the	DT	the
fact	NN	fact
that	IN	that
we	PP	we
know	VBP	know
it	PP	it
is	VBZ	be
a	DT	a
globe	NN	globe
.	SENT	.
The	DT	the
compass	NN	compass
ends	VBZ	end
up	IN	up
getting	VBG	get
embedded	VBN	embed
in	IN	in
all	PDT	all
these	DT	these
other	JJ	other
tools	NNS	tool
,	,	,
because	IN	because
it	PP	it
is	VBZ	be
such	PDT	such
a	DT	a
functional	JJ	functional
object	NN	object
.	SENT	.
So	RB	so
you	PP	you
might	MD	might
have	VB	have
it	PP	it
embedded	VBN	embed
in	IN	in
your	PP$	your
multi-tool	NN	<unknown>
,	,	,
you	PP	you
might	MD	might
have	VB	have
it	PP	it
embedded	VBN	embed
in	IN	in
your	PP$	your
phone	NN	phone
.	SENT	.
The	DT	the
compass	NN	compass
is	VBZ	be
everywhere	RB	everywhere
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
literally	RB	literally
how	WRB	how
we	PP	we
find	VBP	find
our	PP$	our
way	NN	way
across	IN	across
the	DT	the
face	NN	face
of	IN	of
the	DT	the
Earth	NN	earth
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
go	VB	go
off	RP	off
and	CC	and
explore	VB	explore
,	,	,
and	CC	and
find	VB	find
out	RP	out
what	WP	what
is	VBZ	be
over	IN	over
that	DT	that
next	JJ	next
hill	NN	hill
or	CC	or
that	DT	that
next	JJ	next
horizon	NN	horizon
,	,	,
but	CC	but
you	PP	you
can	MD	can
also	RB	also
reliably	RB	reliably
find	VB	find
your	PP$	your
way	NN	way
home	NN	home
.	SENT	.
