Most	JJS	most
art	NN	art
and	CC	and
mathematics	NNS	mathematics
put	VBP	put
together	RB	together
.	SENT	.
He	PP	he
said	VBD	say
to	TO	to
me	PP	me
something	NN	something
that	WDT	that
just	RB	just
went	VBD	go
completely	RB	completely
over	IN	over
my	PP$	my
head	NN	head
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
"	``	"
You	PP	you
know	VBP	know
,	,	,
I	PP	I
like	VBP	like
grey	JJ	grey
suits	NNS	suit
,	,	,
and	CC	and
I	PP	I
like	VBP	like
pin-striped	JJ	pin-striped
suits	NNS	suit
,	,	,
but	CC	but
I	PP	I
don	VBP	don
'	''	'
t	NN	t
like	IN	like
grey	JJ	grey
pin-striped	JJ	pin-striped
suits	NNS	suit
.	SENT	.
"	``	"
And	CC	and
I	PP	I
thought	VBD	think
,	,	,
"	``	"
What	WP	what
a	DT	a
turkey	NN	turkey
this	DT	this
guy	NN	guy
is	VBZ	be
,	,	,
"	``	"
and	CC	and
I	PP	I
went	VBD	go
off	RP	off
to	TO	to
MIT	NP	MIT
.	SENT	.
I	PP	I
studied	VBD	study
architecture	NN	architecture
,	,	,
then	RB	then
did	VBD	do
a	DT	a
second	JJ	second
degree	NN	degree
in	IN	in
architecture	NN	architecture
,	,	,
and	CC	and
then	RB	then
actually	RB	actually
quickly	RB	quickly
realized	VBN	realize
that	IN	that
it	PP	it
wasn	NNS	<unknown>
'	POS	'
t	NN	t
architecture	NN	architecture
.	SENT	.
That	IN	that
really	RB	really
,	,	,
the	DT	the
mixing	VBG	mix
of	IN	of
art	NN	art
and	CC	and
science	NN	science
was	VBD	be
computers	NNS	computer
,	,	,
and	CC	and
that	IN	that
that	WDT	that
really	RB	really
was	VBD	be
the	DT	the
place	NN	place
to	TO	to
bring	VB	bring
both	DT	both
,	,	,
and	CC	and
enjoyed	VBD	enjoy
a	DT	a
career	NN	career
doing	VBG	do
that	DT	that
.	SENT	.
And	CC	and
probably	RB	probably
,	,	,
if	IN	if
I	PP	I
were	VBD	be
to	TO	to
fill	VB	fill
out	RP	out
Jim	NP	Jim
Citrin	NP	Citrin
'	POS	'
s	NN	S
scale	NN	scale
,	,	,
I	PP	I
'	POS	'
d	NN	d
put	VBD	put
100	CD	@card@
percent	NN	percent
on	IN	on
the	DT	the
side	NN	side
of	IN	of
the	DT	the
equation	NN	equation
where	WRB	where
you	PP	you
spend	VBP	spend
time	NN	time
making	VBG	make
it	PP	it
possible	JJ	possible
for	IN	for
others	NNS	other
to	TO	to
be	VB	be
creative	JJ	creative
.	SENT	.
And	CC	and
after	IN	after
doing	VBG	do
this	DT	this
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
,	,	,
and	CC	and
the	DT	the
Media	NP	Media
Lab	NP	Lab
passing	VBG	pass
the	DT	the
baton	NN	baton
on	IN	on
,	,	,
I	PP	I
thought	VBD	think
,	,	,
"	``	"
Well	UH	well
,	,	,
maybe	RB	maybe
it	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
for	IN	for
me	PP	me
to	TO	to
do	VB	do
a	DT	a
project	NN	project
.	SENT	.
Something	NN	something
that	WDT	that
would	MD	would
be	VB	be
important	JJ	important
,	,	,
but	CC	but
also	RB	also
something	NN	something
that	WDT	that
would	MD	would
take	VB	take
advantage	NN	advantage
of	IN	of
all	DT	all
of	IN	of
these	DT	these
privileges	NNS	privilege
that	IN	that
one	PP	one
had	VBD	have
.	SENT	.
"	''	"
And	CC	and
in	IN	in
the	DT	the
case	NN	case
of	IN	of
the	DT	the
Media	NP	Media
Lab	NP	Lab
,	,	,
knowing	VBG	know
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
,	,	,
knowing	VBG	know
people	NNS	people
who	WP	who
were	VBD	be
either	DT	either
executives	NNS	executive
or	CC	or
wealthy	JJ	wealthy
,	,	,
and	CC	and
also	RB	also
not	RB	not
having	VBG	have
,	,	,
in	IN	in
my	PP$	my
own	JJ	own
case	NN	case
,	,	,
a	DT	a
career	NN	career
to	TO	to
worry	VB	worry
about	RB	about
anymore	RB	anymore
.	SENT	.
My	PP$	my
career	NN	career
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
'	POS	'
d	NN	d
done	VBN	do
my	PP$	my
career	NN	career
.	SENT	.
Didn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
to	TO	to
worry	VB	worry
about	IN	about
earning	VBG	earn
money	NN	money
.	SENT	.
Didn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
to	TO	to
worry	VB	worry
about	RB	about
what	WP	what
people	NNS	people
thought	VBN	think
about	IN	about
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Boy	NP	Boy
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
really	RB	really
do	VBP	do
something	NN	something
that	WDT	that
takes	VBZ	take
advantage	NN	advantage
of	IN	of
all	PDT	all
these	DT	these
features	NNS	feature
,	,	,
"	''	"
and	CC	and
thought	VBD	think
that	IN	that
if	IN	if
we	PP	we
could	MD	could
address	VB	address
education	NN	education
,	,	,
by	IN	by
leveraging	VBG	leverage
the	DT	the
children	NNS	child
,	,	,
and	CC	and
bringing	VBG	bring
to	TO	to
the	DT	the
world	NN	world
the	DT	the
access	NN	access
of	IN	of
the	DT	the
computers	NNS	computer
,	,	,
that	WDT	that
that	RB	that
was	VBD	be
really	RB	really
the	DT	the
thing	NN	thing
we	PP	we
should	MD	should
do	VB	do
.	SENT	.
Never	RB	never
shown	VBN	show
this	DT	this
picture	NN	picture
before	RB	before
,	,	,
and	CC	and
probably	RB	probably
going	VBG	go
to	TO	to
be	VB	be
sued	VBN	sue
for	IN	for
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
taken	VBN	take
at	IN	at
three	CD	three
o	NN	o
'	POS	'
clock	NN	clock
in	IN	in
the	DT	the
morning	NN	morning
,	,	,
without	IN	without
the	DT	the
permission	NN	permission
of	IN	of
the	DT	the
company	NN	company
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
two	CD	two
weeks	NNS	week
old	JJ	old
.	SENT	.
There	RB	there
they	PP	they
are	VBP	be
,	,	,
folks	NNS	folk
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
picture	NN	picture
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
they	PP	they
'	''	'
re	IN	re
stacked	VBN	stack
up	RP	up
.	SENT	.
Those	DT	those
are	VBP	be
conveyor	NN	conveyor
belts	NNS	belt
that	WDT	that
go	VBP	go
around	RP	around
.	SENT	.
This	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
conveyor	NN	conveyor
belts	NNS	belt
with	IN	with
the	DT	the
thing	NN	thing
going	VBG	go
by	IN	by
,	,	,
but	CC	but
then	RB	then
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
the	DT	the
ones	NNS	one
up	RB	up
above	RB	above
.	SENT	.
What	WP	what
happens	VBZ	happen
is	VBZ	be
,	,	,
they	PP	they
burn	VBP	burn
into	IN	into
flash	JJ	flash
memory	NN	memory
the	DT	the
software	NN	software
,	,	,
and	CC	and
then	RB	then
test	VB	test
them	PP	them
for	IN	for
a	DT	a
few	JJ	few
hours	NNS	hour
.	SENT	.
But	CC	but
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
have	VB	have
the	DT	the
thing	NN	thing
moving	VBG	move
on	IN	on
the	DT	the
assembly	NN	assembly
line	NN	line
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
constant	JJ	constant
.	SENT	.
So	RB	so
they	PP	they
go	VBP	go
around	RB	around
in	IN	in
this	DT	this
loop	NN	loop
,	,	,
which	WDT	which
is	VBZ	be
why	WRB	why
you	PP	you
see	VBP	see
them	PP	them
up	RP	up
there	RB	there
.	SENT	.
So	RB	so
this	DT	this
was	VBD	be
great	JJ	great
for	IN	for
us	PP	us
because	IN	because
it	PP	it
was	VBD	be
a	DT	a
real	JJ	real
turning	VBG	turn
point	NN	point
.	SENT	.
But	CC	but
it	PP	it
goes	VBZ	go
back	RB	back
.	SENT	.
This	DT	this
picture	NN	picture
was	VBD	be
taken	VBN	take
in	IN	in
1982	CD	@card@
,	,	,
just	RB	just
before	IN	before
the	DT	the
IBM	NP	IBM
PC	NN	PC
was	VBD	be
even	RB	even
announced	VBN	announce
.	SENT	.
Seymour	NP	Seymour
Papert	NP	<unknown>
and	CC	and
I	PP	I
were	VBD	be
bringing	VBG	bring
computers	NNS	computer
to	TO	to
schools	NNS	school
and	CC	and
developing	VBG	develop
nations	NNS	nation
at	IN	at
a	DT	a
time	NN	time
when	WRB	when
it	PP	it
was	VBD	be
way	RB	way
ahead	RB	ahead
of	IN	of
itself	PP	itself
.	SENT	.
But	CC	but
one	CD	one
thing	NN	thing
we	PP	we
learned	VBD	learn
was	VBD	be
that	IN	that
these	DT	these
kids	NNS	kid
can	MD	can
absolutely	RB	absolutely
jump	VB	jump
into	IN	into
it	PP	it
just	RB	just
the	DT	the
same	JJ	same
way	NN	way
as	IN	as
our	PP$	our
kids	NNS	kid
do	VBP	do
here	RB	here
.	SENT	.
And	CC	and
when	WRB	when
people	NNS	people
tell	VBP	tell
me	PP	me
,	,	,
"	``	"
Who	WP	who
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
teach	VB	teach
the	DT	the
teachers	NNS	teacher
to	TO	to
teach	VB	teach
the	DT	the
kids	NNS	kid
?	SENT	?
"	``	"
I	PP	I
say	VBP	say
to	TO	to
myself	PP	myself
,	,	,
"	``	"
What	WP	what
planet	NN	planet
do	VBP	do
you	PP	you
come	VB	come
from	IN	from
?	SENT	?
"	''	"
Okay	RB	okay
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
not	RB	not
a	DT	a
person	NN	person
in	IN	in
this	DT	this
room	NN	room
â	NP	<unknown>
I	NP	I
don	NN	don
'	POS	'
t	NN	t
care	NN	care
how	WRB	how
techie	NN	techie
you	PP	you
are	VBP	be
â	NP	<unknown>
there	RB	there
'	POS	'
s	NN	S
not	RB	not
a	DT	a
person	NN	person
in	IN	in
this	DT	this
room	NN	room
that	IN	that
doesn	NP	<unknown>
'	POS	'
t	NN	t
give	VB	give
their	PP$	their
laptop	NN	laptop
or	CC	or
cell	NN	cell
phone	NN	phone
to	TO	to
a	DT	a
kid	NN	kid
to	TO	to
help	VB	help
them	PP	them
debug	VB	debug
it	PP	it
.	SENT	.
OK	UH	OK
?	SENT	?
We	PP	we
all	RB	all
need	VBP	need
help	NN	help
,	,	,
even	RB	even
those	DT	those
of	IN	of
us	PP	us
who	WP	who
are	VBP	be
very	RB	very
seasoned	JJ	seasoned
.	SENT	.
This	DT	this
picture	NN	picture
of	IN	of
Seymour	NP	Seymour
â	NP	<unknown>
25	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
Seymour	NP	Seymour
made	VBD	make
a	DT	a
very	RB	very
simple	JJ	simple
observation	NN	observation
in	IN	in
1968	CD	@card@
,	,	,
and	CC	and
then	RB	then
basically	RB	basically
presented	VBN	present
it	PP	it
in	IN	in
1970	CD	@card@
â	NP	<unknown>
April	NP	April
11	CD	@card@
to	TO	to
be	VB	be
precise	JJ	precise
â	NP	<unknown>
called	VBD	call
"	``	"
Teaching	NN	teaching
Children	NNS	child
Thinking	VBG	think
.	SENT	.
"	``	"
What	WP	what
he	PP	he
observed	VBD	observe
was	VBD	be
that	IN	that
kids	NNS	kid
who	WP	who
write	VBP	write
computer	NN	computer
programs	NNS	program
understand	VBP	understand
things	NNS	thing
differently	RB	differently
,	,	,
and	CC	and
when	WRB	when
they	PP	they
debug	VBP	debug
the	DT	the
programs	NNS	program
,	,	,
they	PP	they
come	VBP	come
the	DT	the
closest	JJS	close
to	TO	to
learning	VBG	learn
about	IN	about
learning	VBG	learn
.	SENT	.
That	DT	that
was	VBD	be
very	RB	very
important	JJ	important
,	,	,
and	CC	and
in	IN	in
some	DT	some
sense	NN	sense
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
lost	VBD	lose
that	RB	that
.	SENT	.
Kids	NNS	kid
don	NN	don
'	POS	'
t	NN	t
program	NN	program
enough	NN	enough
and	CC	and
boy	NN	boy
,	,	,
if	IN	if
there	EX	there
'	''	'
s	NN	S
anything	NN	anything
I	PP	I
hope	VBP	hope
this	DT	this
brings	VBZ	bring
back	RB	back
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
programming	NN	programming
to	TO	to
kids	NNS	kid
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
really	RB	really
important	JJ	important
.	SENT	.
Using	VBG	use
applications	NNS	application
is	VBZ	be
OK	JJ	OK
,	,	,
but	CC	but
programming	NN	programming
is	VBZ	be
absolutely	RB	absolutely
fundamental	JJ	fundamental
.	SENT	.
This	DT	this
is	VBZ	be
being	VBG	be
launched	VBN	launch
with	IN	with
three	CD	three
languages	NNS	language
in	IN	in
it	PP	it
:	:	:
Squeak	NN	squeak
,	,	,
Logo	NN	logo
,	,	,
and	CC	and
a	DT	a
third	JJ	third
,	,	,
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
never	RB	never
even	RB	even
seen	VBN	see
before	RB	before
.	SENT	.
The	DT	the
point	NN	point
being	VBG	be
,	,	,
this	DT	this
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
very	RB	very
,	,	,
very	RB	very
intensive	JJ	intensive
on	IN	on
the	DT	the
programming	NN	programming
side	NN	side
.	SENT	.
This	DT	this
photograph	NN	photograph
is	VBZ	be
very	RB	very
important	JJ	important
because	IN	because
it	PP	it
'	POS	'
s	NN	S
much	RB	much
later	RBR	later
.	SENT	.
This	DT	this
is	VBZ	be
in	IN	in
the	DT	the
early	RB	early
2000s	JJ	<unknown>
.	SENT	.
My	PP$	my
son	NN	son
,	,	,
Dimitri	NP	Dimitri
â	NP	<unknown>
who	WP	who
'	POS	'
s	NN	S
here	RB	here
,	,	,
many	JJ	many
of	IN	of
you	PP	you
know	VBP	know
Dimitri	NP	Dimitri
â	NP	<unknown>
went	VBD	go
to	TO	to
Cambodia	NP	Cambodia
,	,	,
set	VBD	set
up	RP	up
this	DT	this
school	NN	school
that	IN	that
we	PP	we
had	VBD	have
built	VBN	build
,	,	,
just	RB	just
as	IN	as
the	DT	the
school	NN	school
connected	VBD	connect
it	PP	it
to	TO	to
the	DT	the
Internet	NN	Internet
.	SENT	.
And	CC	and
these	DT	these
kids	NNS	kid
had	VBD	have
their	PP$	their
laptops	NNS	laptop
.	SENT	.
But	CC	but
it	PP	it
was	VBD	be
really	RB	really
what	WP	what
spirited	VBN	spirite
this	DT	this
,	,	,
plus	CC	plus
the	DT	the
influence	NN	influence
of	IN	of
Joe	NP	Joe
and	CC	and
others	NNS	other
.	SENT	.
We	PP	we
started	VBD	start
One	CD	one
Laptop	NN	laptop
per	IN	per
Child	NP	Child
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
same	JJ	same
village	NN	village
in	IN	in
Cambodia	NP	Cambodia
,	,	,
just	RB	just
a	DT	a
couple	NN	couple
of	IN	of
months	NNS	month
ago	RB	ago
.	SENT	.
These	DT	these
kids	NNS	kid
are	VBP	be
real	JJ	real
pros	NNS	pro
.	SENT	.
There	EX	there
were	VBD	be
just	RB	just
7	CD	@card@
,	,	,
000	CD	@card@
machines	NNS	machine
out	IN	out
there	RB	there
being	VBG	be
tested	VBN	test
by	IN	by
kids	NNS	kid
.	SENT	.
Being	VBG	be
a	DT	a
nonprofit	JJ	nonprofit
is	VBZ	be
absolutely	RB	absolutely
fundamental	JJ	fundamental
.	SENT	.
Everybody	NN	everybody
advised	VBD	advise
me	PP	me
not	RB	not
to	TO	to
be	VB	be
a	DT	a
nonprofit	JJ	nonprofit
,	,	,
but	CC	but
they	PP	they
were	VBD	be
all	RB	all
wrong	JJ	wrong
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
being	VBG	be
a	DT	a
nonprofit	JJ	nonprofit
is	VBZ	be
important	JJ	important
is	VBZ	be
actually	RB	actually
twofold	JJ	twofold
.	SENT	.
There	EX	there
are	VBP	be
many	JJ	many
reasons	NNS	reason
,	,	,
but	CC	but
the	DT	the
two	CD	two
that	WDT	that
merit	VBP	merit
the	DT	the
little	JJ	little
bit	NN	bit
of	IN	of
time	NN	time
is	VBZ	be
:	:	:
one	CD	one
,	,	,
the	DT	the
clarity	NN	clarity
of	IN	of
purpose	NN	purpose
is	VBZ	be
there	RB	there
.	SENT	.
The	DT	the
moral	JJ	moral
purpose	NN	purpose
is	VBZ	be
clear	JJ	clear
.	SENT	.
I	PP	I
can	MD	can
see	VB	see
any	DT	any
head	NN	head
of	IN	of
state	NN	state
,	,	,
any	DT	any
executive	NN	executive
I	PP	I
want	VBP	want
,	,	,
at	IN	at
any	DT	any
time	NN	time
,	,	,
because	IN	because
I	PP	I
'	POS	'
m	NN	m
not	RB	not
selling	VBG	sell
laptops	NNS	laptop
.	SENT	.
OK	UH	OK
?	SENT	?
I	PP	I
have	VBP	have
no	DT	no
shareholders	NNS	shareholder
.	SENT	.
Whether	IN	whether
we	PP	we
sell	VBP	sell
,	,	,
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
make	VB	make
any	DT	any
difference	NN	difference
whatsoever	RB	whatsoever
.	SENT	.
The	DT	the
clarity	NN	clarity
of	IN	of
purpose	NN	purpose
is	VBZ	be
absolutely	RB	absolutely
critical	JJ	critical
.	SENT	.
And	CC	and
the	DT	the
second	NN	second
is	VBZ	be
very	RB	very
counterintuitive	JJ	counterintuitive
â	NP	<unknown>
you	PP	you
can	MD	can
get	VB	get
the	DT	the
best	JJS	good
people	NNS	people
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
at	IN	at
our	PP$	our
professional	JJ	professional
services	NNS	service
,	,	,
including	VBG	include
search	NN	search
firms	NNS	firm
,	,	,
including	VBG	include
communications	NNS	communication
,	,	,
including	VBG	include
legal	JJ	legal
services	NNS	service
,	,	,
including	VBG	include
banking	NN	banking
,	,	,
they	PP	they
'	POS	'
re	NN	re
all	DT	all
pro	FW	pro
bono	FW	bono
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
to	TO	to
save	VB	save
money	NN	money
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
money	NN	money
in	IN	in
the	DT	the
bank	NN	bank
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
because	IN	because
you	PP	you
get	VBP	get
the	DT	the
best	JJS	good
people	NNS	people
.	SENT	.
You	PP	you
get	VBP	get
the	DT	the
people	NNS	people
who	WP	who
are	VBP	be
doing	VBG	do
it	PP	it
because	IN	because
they	PP	they
believe	VBP	believe
in	IN	in
the	DT	the
mission	NN	mission
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
the	DT	the
best	JJS	good
people	NNS	people
.	SENT	.
We	PP	we
couldn	NNS	<unknown>
'	POS	'
t	NN	t
afford	VB	afford
to	TO	to
hire	VB	hire
a	DT	a
CFO	NP	CFO
.	SENT	.
We	PP	we
put	VBD	put
out	RP	out
a	DT	a
job	NN	job
description	NN	description
for	IN	for
a	DT	a
CFO	NP	CFO
at	IN	at
zero	CD	zero
salary	NN	salary
,	,	,
and	CC	and
we	PP	we
had	VBD	have
a	DT	a
queue	NN	queue
of	IN	of
people	NNS	people
.	SENT	.
It	PP	it
allows	VBZ	allow
you	PP	you
to	TO	to
team	VB	team
up	RP	up
with	IN	with
people	NNS	people
.	SENT	.
The	DT	the
U	NP	U
.	SENT	.
N	NP	N
.	SENT	.
'	''	'
s	NNS	<unknown>
not	RB	not
going	VBG	go
to	TO	to
be	VB	be
our	PP$	our
partner	NN	partner
if	IN	if
we	PP	we
'	POS	'
re	NN	re
profit	NN	profit
making	NN	making
.	SENT	.
So	RB	so
announcing	VBG	announce
this	DT	this
with	IN	with
Kofi	NP	<unknown>
Annan	NP	Annan
was	VBD	be
very	RB	very
important	JJ	important
,	,	,
and	CC	and
the	DT	the
U	NP	U
.	SENT	.
N	NP	N
.	SENT	.
allowed	VBD	allow
us	PP	us
to	TO	to
basically	RB	basically
reach	VB	reach
all	PDT	all
the	DT	the
countries	NNS	country
.	SENT	.
And	CC	and
this	DT	this
was	VBD	be
the	DT	the
machine	NN	machine
we	PP	we
were	VBD	be
showing	VBG	show
before	IN	before
I	PP	I
met	VBD	meet
Yves	NP	Yves
Behar	NP	Behar
.	SENT	.
And	CC	and
while	IN	while
this	DT	this
machine	NN	machine
in	IN	in
some	DT	some
sense	NN	sense
is	VBZ	be
silly	JJ	silly
,	,	,
in	IN	in
retrospect	NN	retrospect
,	,	,
it	PP	it
actually	RB	actually
served	VBD	serve
a	DT	a
very	RB	very
important	JJ	important
purpose	NN	purpose
.	SENT	.
That	DT	that
pencil-yellow	NN	pencil-yellow
crank	NN	crank
was	VBD	be
remembered	VBN	remember
by	IN	by
everybody	NN	everybody
.	SENT	.
Everybody	NN	everybody
remembered	VBD	remember
the	DT	the
pencil-yellow	NN	pencil-yellow
crank	NN	crank
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
different	JJ	different
.	SENT	.
It	PP	it
was	VBD	be
getting	VBG	get
its	PP$	its
power	NN	power
in	IN	in
a	DT	a
different	JJ	different
way	NN	way
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
childlike	JJ	childlike
.	SENT	.
Even	RB	even
though	IN	though
this	DT	this
wasn	NN	<unknown>
'	POS	'
t	NN	t
the	DT	the
direction	NN	direction
we	PP	we
went	VBD	go
because	IN	because
the	DT	the
crank	JJ	crank
â	NP	<unknown>
it	PP	it
really	RB	really
is	VBZ	be
stupid	JJ	stupid
to	TO	to
have	VB	have
it	PP	it
on	IN	on
board	NN	board
,	,	,
by	IN	by
the	DT	the
way	NN	way
.	SENT	.
In	IN	in
spite	NN	spite
of	IN	of
what	WP	what
some	DT	some
people	NNS	people
in	IN	in
the	DT	the
press	NN	press
don	NN	don
'	POS	'
t	NN	t
get	VB	get
it	PP	it
,	,	,
didn	NP	<unknown>
'	POS	'
t	NN	t
understand	VB	understand
it	PP	it
,	,	,
we	PP	we
didn	NNS	<unknown>
'	POS	'
t	NN	t
take	VB	take
it	PP	it
off	RP	off
because	IN	because
we	PP	we
didn	NN	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
do	VB	do
â	NP	<unknown>
having	VBG	have
it	PP	it
on	IN	on
the	DT	the
laptop	NN	laptop
itself	PP	itself
is	VBZ	be
really	RB	really
not	RB	not
what	WP	what
you	PP	you
want	VBP	want
.	SENT	.
You	PP	you
want	VBP	want
a	DT	a
separate	JJ	separate
thing	NN	thing
,	,	,
like	IN	like
the	DT	the
AC	NP	AC
adaptor	NN	adaptor
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
bring	VB	bring
one	PP	one
with	IN	with
me	PP	me
,	,	,
