AIDS	NP	AIDS
world	NN	world
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
has	VBZ	have
happened	VBN	happen
?	SENT	?
Now	RB	now
you	PP	you
have	VBP	have
understood	VBN	understand
the	DT	the
graph	NN	graph
and	CC	and
now	RB	now
,	,	,
in	IN	in
the	DT	the
next	JJ	next
60	CD	@card@
seconds	NNS	second
,	,	,
we	PP	we
will	MD	will
play	VB	play
the	DT	the
HIV	NP	HIV
epidemic	NN	epidemic
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
But	CC	but
first	RB	first
,	,	,
I	PP	I
have	VBP	have
a	DT	a
new	JJ	new
invention	NN	invention
here	RB	here
.	SENT	.
I	PP	I
have	VBP	have
solidified	VBN	solidify
the	DT	the
beam	NN	beam
of	IN	of
the	DT	the
laser	NN	laser
pointer	NN	pointer
.	SENT	.
So	RB	so
,	,	,
ready	JJ	ready
,	,	,
steady	JJ	steady
,	,	,
go	VB	go
!	SENT	!
First	RB	first
,	,	,
we	PP	we
have	VBP	have
the	DT	the
fast	JJ	fast
rise	NN	rise
in	IN	in
Uganda	NP	Uganda
and	CC	and
Zimbabwe	NP	Zimbabwe
.	SENT	.
They	PP	they
went	VBD	go
upwards	RB	upwards
like	IN	like
this	DT	this
.	SENT	.
In	IN	in
Asia	NP	Asia
,	,	,
the	DT	the
first	JJ	first
country	NN	country
to	TO	to
be	VB	be
heavily	RB	heavily
infected	VBN	infect
was	VBD	be
Thailand	NP	Thailand
â	NP	<unknown>
they	PP	they
reached	VBD	reach
one	CD	one
to	TO	to
two	CD	two
percent	NN	percent
.	SENT	.
Then	RB	then
,	,	,
Uganda	NP	Uganda
started	VBD	start
to	TO	to
turn	VB	turn
back	RB	back
,	,	,
whereas	IN	whereas
Zimbabwe	NP	Zimbabwe
skyrocketed	VBD	skyrocket
,	,	,
and	CC	and
some	DT	some
years	NNS	year
later	RBR	later
South	JJ	South
Africa	NP	Africa
had	VBD	have
a	DT	a
terrible	JJ	terrible
rise	NN	rise
of	IN	of
HIV	NP	HIV
frequency	NN	frequency
.	SENT	.
Look	NN	look
,	,	,
India	NP	India
got	VBD	get
many	JJ	many
infected	JJ	infected
,	,	,
but	CC	but
had	VBD	have
a	DT	a
low	JJ	low
level	NN	level
.	SENT	.
And	CC	and
almost	RB	almost
the	DT	the
same	JJ	same
happens	VBZ	happen
here	RB	here
.	SENT	.
See	VB	see
,	,	,
Uganda	NP	Uganda
coming	VBG	come
down	RB	down
,	,	,
Zimbabwe	NP	Zimbabwe
coming	VBG	come
down	RB	down
,	,	,
Russia	NP	Russia
went	VBD	go
to	TO	to
one	CD	one
percent	NN	percent
.	SENT	.
In	IN	in
the	DT	the
last	JJ	last
two	CD	two
to	TO	to
three	CD	three
years	NNS	year
,	,	,
we	PP	we
have	VBP	have
reached	VBN	reach
a	DT	a
steady	JJ	steady
state	NN	state
of	IN	of
HIV	NP	HIV
epidemic	NN	epidemic
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
25	CD	@card@
years	NNS	year
it	PP	it
took	VBD	take
.	SENT	.
But	CC	but
,	,	,
steady	JJ	steady
state	NN	state
doesn	NN	<unknown>
'	POS	'
t	NN	t
mean	VBP	mean
that	IN	that
things	NNS	thing
are	VBP	be
getting	VBG	get
better	RBR	well
,	,	,
it	PP	it
'	POS	'
s	NN	S
just	RB	just
that	IN	that
they	PP	they
have	VBP	have
stopped	VBN	stop
getting	VBG	get
worse	JJR	bad
.	SENT	.
And	CC	and
it	PP	it
has	VBZ	have
â	NP	<unknown>
the	DT	the
steady	JJ	steady
state	NN	state
is	VBZ	be
,	,	,
more	RBR	more
or	CC	or
less	RBR	less
,	,	,
one	CD	one
percent	NN	percent
of	IN	of
the	DT	the
adult	JJ	adult
world	NN	world
population	NN	population
is	VBZ	be
HIV-infected	JJ	HIV-infected
.	SENT	.
It	PP	it
means	VBZ	mean
30	CD	@card@
to	TO	to
40	CD	@card@
million	CD	million
people	NNS	people
,	,	,
the	DT	the
whole	NN	whole
of	IN	of
California	NP	California
â	NP	<unknown>
every	DT	every
person	NN	person
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
more	RBR	more
or	CC	or
less	RBR	less
what	WP	what
we	PP	we
have	VBP	have
today	NN	today
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
Now	RB	now
,	,	,
let	VB	let
me	PP	me
make	VB	make
a	DT	a
fast	JJ	fast
replay	NN	replay
of	IN	of
Botswana	NP	Botswana
.	SENT	.
Botswana	NP	Botswana
â	NP	<unknown>
upper	JJ	upper
middle-income	JJ	middle-income
country	NN	country
in	IN	in
southern	JJ	southern
Africa	NP	Africa
,	,	,
democratic	JJ	democratic
government	NN	government
,	,	,
good	JJ	good
economy	NN	economy
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
happened	VBD	happen
there	RB	there
.	SENT	.
They	PP	they
started	VBD	start
low	RB	low
,	,	,
they	PP	they
skyrocketed	VBD	skyrocket
,	,	,
they	PP	they
peaked	VBD	peak
up	RP	up
there	RB	there
in	IN	in
2003	CD	@card@
,	,	,
and	CC	and
now	RB	now
they	PP	they
are	VBP	be
down	RB	down
.	SENT	.
But	CC	but
they	PP	they
are	VBP	be
falling	VBG	fall
only	RB	only
slowly	RB	slowly
,	,	,
because	IN	because
in	IN	in
Botswana	NP	Botswana
,	,	,
with	IN	with
good	JJ	good
economy	NN	economy
and	CC	and
governance	NN	governance
,	,	,
they	PP	they
can	MD	can
manage	VB	manage
to	TO	to
treat	VB	treat
people	NNS	people
.	SENT	.
And	CC	and
if	IN	if
people	NNS	people
who	WP	who
are	VBP	be
infected	VBN	infect
are	VBP	be
treated	VBN	treat
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
die	NN	die
of	IN	of
AIDS	NP	AIDS
.	SENT	.
These	DT	these
percentages	NNS	percentage
won	NN	won
'	POS	'
t	NN	t
come	VBN	come
down	RP	down
because	IN	because
people	NNS	people
can	MD	can
survive	VB	survive
10	CD	@card@
to	TO	to
20	CD	@card@
years	NNS	year
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
some	DT	some
problem	NN	problem
with	IN	with
these	DT	these
metrics	NNS	metric
now	RB	now
.	SENT	.
But	CC	but
the	DT	the
poorer	JJR	poor
countries	NNS	country
in	IN	in
Africa	NP	Africa
,	,	,
the	DT	the
low-income	JJ	low-income
countries	NNS	country
down	RB	down
here	RB	here
,	,	,
there	EX	there
the	DT	the
rates	NNS	rate
fall	VBP	fall
faster	RBR	faster
,	,	,
of	IN	of
the	DT	the
percentage	NN	percentage
infected	VBN	infect
,	,	,
because	IN	because
people	NNS	people
still	RB	still
die	VBP	die
.	SENT	.
In	IN	in
spite	NN	spite
of	IN	of
PEPFAR	NP	<unknown>
,	,	,
the	DT	the
generous	JJ	generous
PEPFAR	NP	<unknown>
,	,	,
all	DT	all
people	NNS	people
are	VBP	be
not	RB	not
reached	VBN	reach
by	IN	by
treatment	NN	treatment
,	,	,
and	CC	and
of	IN	of
those	DT	those
who	WP	who
are	VBP	be
reached	VBN	reach
by	IN	by
treatment	NN	treatment
in	IN	in
the	DT	the
poor	JJ	poor
countries	NNS	country
,	,	,
only	RB	only
60	CD	@card@
percent	NN	percent
are	VBP	be
left	VBN	leave
on	IN	on
treatment	NN	treatment
after	IN	after
two	CD	two
years	NNS	year
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
realistic	JJ	realistic
with	IN	with
lifelong	JJ	lifelong
treatment	NN	treatment
for	IN	for
everyone	NN	everyone
in	IN	in
the	DT	the
poorest	JJS	poor
countries	NNS	country
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
very	RB	very
good	JJ	good
that	IN	that
what	WP	what
is	VBZ	be
done	VBN	do
is	VBZ	be
being	VBG	be
done	VBN	do
.	SENT	.
But	CC	but
focus	NN	focus
now	RB	now
is	VBZ	be
back	RB	back
on	IN	on
prevention	NN	prevention
.	SENT	.
It	PP	it
is	VBZ	be
only	RB	only
by	IN	by
stopping	VBG	stop
the	DT	the
transmission	NN	transmission
that	IN	that
the	DT	the
world	NN	world
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
deal	VB	deal
with	IN	with
it	PP	it
.	SENT	.
Drugs	NP	Drugs
is	VBZ	be
too	RB	too
costly	JJ	costly
â	NP	<unknown>
had	VBD	have
we	PP	we
had	VBD	have
the	DT	the
vaccine	NN	vaccine
,	,	,
or	CC	or
when	WRB	when
we	PP	we
will	MD	will
get	VB	get
the	DT	the
vaccine	NN	vaccine
,	,	,
that	WDT	that
'	POS	'
s	NN	S
something	NN	something
more	RBR	more
effective	JJ	effective
â	NP	<unknown>
but	CC	but
the	DT	the
drugs	NNS	drug
are	VBP	be
very	RB	very
costly	JJ	costly
for	IN	for
the	DT	the
poor	JJ	poor
.	SENT	.
Not	RB	not
the	DT	the
drug	NN	drug
in	IN	in
itself	PP	itself
,	,	,
but	CC	but
the	DT	the
treatment	NN	treatment
and	CC	and
the	DT	the
care	NN	care
which	WDT	which
is	VBZ	be
needed	VBN	need
around	IN	around
it	PP	it
.	SENT	.
So	RB	so
,	,	,
when	WRB	when
we	PP	we
look	VBP	look
at	IN	at
the	DT	the
pattern	NN	pattern
,	,	,
one	CD	one
thing	NN	thing
comes	VBZ	come
out	RP	out
very	RB	very
clearly	RB	clearly
:	:	:
you	PP	you
see	VBP	see
the	DT	the
blue	JJ	blue
bubbles	NNS	bubble
and	CC	and
people	NNS	people
say	VBP	say
HIV	NP	HIV
is	VBZ	be
very	RB	very
high	JJ	high
in	IN	in
Africa	NP	Africa
.	SENT	.
I	PP	I
would	MD	would
say	VB	say
,	,	,
HIV	NP	HIV
is	VBZ	be
very	RB	very
different	JJ	different
in	IN	in
Africa	NP	Africa
.	SENT	.
You	PP	you
'	POS	'
ll	NNS	<unknown>
find	VBP	find
the	DT	the
highest	JJS	high
HIV	NP	HIV
rate	NN	rate
in	IN	in
the	DT	the
world	NN	world
in	IN	in
African	JJ	African
countries	NNS	country
,	,	,
and	CC	and
yet	RB	yet
you	PP	you
'	POS	'
ll	NNS	<unknown>
find	VBP	find
Senegal	NP	Senegal
,	,	,
down	RB	down
here	RB	here
â	NP	<unknown>
the	DT	the
same	JJ	same
rate	NN	rate
as	IN	as
United	NP	United
States	NPS	States
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
ll	NNS	<unknown>
find	VBP	find
Madagascar	NP	Madagascar
,	,	,
and	CC	and
you	PP	you
'	POS	'
ll	NNS	<unknown>
find	VBP	find
a	DT	a
lot	NN	lot
of	IN	of
African	JJ	African
countries	NNS	country
about	RB	about
as	RB	as
low	JJ	low
as	IN	as
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
this	DT	this
terrible	JJ	terrible
simplification	NN	simplification
that	IN	that
there	EX	there
'	''	'
s	VBZ	<unknown>
one	CD	one
Africa	NP	Africa
and	CC	and
things	NNS	thing
go	VBP	go
on	IN	on
in	IN	in
one	CD	one
way	NN	way
in	IN	in
Africa	NP	Africa
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
stop	VB	stop
that	DT	that
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
respectful	JJ	respectful
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
very	RB	very
clever	JJ	clever
to	TO	to
think	VB	think
that	DT	that
way	NN	way
.	SENT	.
I	PP	I
had	VBD	have
the	DT	the
fortune	NN	fortune
to	TO	to
live	VB	live
and	CC	and
work	VB	work
for	IN	for
a	DT	a
time	NN	time
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
I	PP	I
found	VBD	find
out	RP	out
that	IN	that
Salt	NP	Salt
Lake	NP	Lake
City	NP	City
and	CC	and
San	NP	San
Francisco	NP	Francisco
were	VBD	be
different	JJ	different
.	SENT	.
And	CC	and
so	RB	so
it	PP	it
is	VBZ	be
in	IN	in
Africa	NP	Africa
â	NP	<unknown>
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
difference	NN	difference
.	SENT	.
So	RB	so
,	,	,
why	WRB	why
is	VBZ	be
it	PP	it
so	RB	so
high	JJ	high
?	SENT	?
Is	VBZ	be
it	PP	it
war	VBP	war
?	SENT	?
No	UH	no
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
.	SENT	.
Look	VB	look
here	RB	here
.	SENT	.
War-torn	JJ	war-torn
Congo	NP	Congo
is	VBZ	be
down	RB	down
there	RB	there
â	NP	<unknown>
two	CD	two
,	,	,
three	CD	three
,	,	,
four	CD	four
percent	NN	percent
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
peaceful	JJ	peaceful
Zambia	NP	Zambia
,	,	,
neighboring	JJ	neighboring
country	NN	country
â	NP	<unknown>
15	CD	@card@
percent	NN	percent
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	JJ	<unknown>
good	JJ	good
studies	NNS	study
of	IN	of
the	DT	the
refugees	NNS	refugee
coming	VBG	come
out	RP	out
of	IN	of
Congo	NP	Congo
â	NP	<unknown>
they	PP	they
have	VBP	have
two	CD	two
,	,	,
three	CD	three
percent	NN	percent
infected	JJ	infected
,	,	,
and	CC	and
peaceful	JJ	peaceful
Zambia	NP	Zambia
â	NP	<unknown>
much	RB	much
higher	JJR	high
.	SENT	.
There	EX	there
are	VBP	be
now	RB	now
studies	NNS	study
clearly	RB	clearly
showing	VBG	show
that	IN	that
the	DT	the
wars	NNS	war
are	VBP	be
terrible	JJ	terrible
,	,	,
that	IN	that
rapes	NNS	rape
are	VBP	be
terrible	JJ	terrible
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
driving	VBG	drive
force	NN	force
for	IN	for
the	DT	the
high	JJ	high
levels	NNS	level
in	IN	in
Africa	NP	Africa
.	SENT	.
So	RB	so
,	,	,
is	VBZ	be
it	PP	it
poverty	NN	poverty
?	SENT	?
Well	RB	well
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
macro	NN	macro
level	NN	level
,	,	,
it	PP	it
seems	VBZ	seem
more	JJR	more
money	NN	money
,	,	,
more	JJR	more
HIV	NP	HIV
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
very	RB	very
simplistic	JJ	simplistic
,	,	,
so	RB	so
let	VBD	let
'	''	'
s	NNS	<unknown>
go	VBP	go
down	RP	down
and	CC	and
look	VB	look
at	IN	at
Tanzania	NP	Tanzania
.	SENT	.
I	PP	I
will	MD	will
split	VB	split
Tanzania	NP	Tanzania
in	IN	in
five	CD	five
income	NN	income
groups	NNS	group
,	,	,
from	IN	from
the	DT	the
highest	JJS	high
income	NN	income
to	TO	to
the	DT	the
lowest	JJS	low
income	NN	income
,	,	,
and	CC	and
here	RB	here
we	PP	we
go	VBP	go
.	SENT	.
The	DT	the
ones	NNS	one
with	IN	with
the	DT	the
highest	JJS	high
income	NN	income
,	,	,
the	DT	the
better	JJR	good
off	IN	off
â	NP	<unknown>
I	NP	I
wouldn	NP	<unknown>
'	POS	'
t	NN	t
say	VBP	say
rich	JJ	rich
â	NP	<unknown>
they	PP	they
have	VBP	have
higher	JJR	high
HIV	NP	HIV
.	SENT	.
The	DT	the
difference	NN	difference
goes	VBZ	go
from	IN	from
11	CD	@card@
percent	NN	percent
down	RB	down
to	TO	to
four	CD	four
percent	NN	percent
,	,	,
and	CC	and
it	PP	it
is	VBZ	be
even	RB	even
bigger	JJR	big
among	IN	among
women	NNS	woman
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
that	IN	that
we	PP	we
thought	VBD	think
,	,	,
that	IN	that
now	RB	now
,	,	,
good	JJ	good
research	NN	research
,	,	,
done	VBN	do
by	IN	by
African	JJ	African
institutions	NNS	institution
and	CC	and
researchers	NNS	researcher
together	RB	together
with	IN	with
the	DT	the
international	JJ	international
researchers	NNS	researcher
,	,	,
show	VBP	show
that	IN	that
that	DT	that
'	''	'
s	NNS	<unknown>
not	RB	not
the	DT	the
case	NN	case
.	SENT	.
So	RB	so
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
difference	NN	difference
within	IN	within
Tanzania	NP	Tanzania
.	SENT	.
And	CC	and
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
avoid	VB	avoid
showing	VBG	show
Kenya	NP	Kenya
.	SENT	.
Look	VB	look
here	RB	here
at	IN	at
Kenya	NP	Kenya
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
split	NN	split
Kenya	NP	Kenya
in	IN	in
its	PP$	its
provinces	NNS	province
.	SENT	.
Here	RB	here
it	PP	it
goes	VBZ	go
.	SENT	.
See	VB	see
the	DT	the
difference	NN	difference
within	IN	within
one	CD	one
African	JJ	African
country	NN	country
â	NP	<unknown>
it	PP	it
goes	VBZ	go
from	IN	from
very	RB	very
low	JJ	low
level	NN	level
to	TO	to
very	RB	very
high	JJ	high
level	NN	level
,	,	,
and	CC	and
most	JJS	most
of	IN	of
the	DT	the
provinces	NNS	province
in	IN	in
Kenya	NP	Kenya
is	VBZ	be
quite	RB	quite
modest	JJ	modest
.	SENT	.
So	RB	so
,	,	,
what	WP	what
is	VBZ	be
it	PP	it
then	RB	then
?	SENT	?
Why	WRB	why
do	VBP	do
we	PP	we
see	VBP	see
this	DT	this
extremely	RB	extremely
high	JJ	high
levels	NNS	level
in	IN	in
some	DT	some
countries	NNS	country
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
is	VBZ	be
more	RBR	more
common	JJ	common
with	IN	with
multiple	JJ	multiple
partners	NNS	partner
,	,	,
there	EX	there
is	VBZ	be
less	JJR	less
condom	NN	condom
use	NN	use
,	,	,
and	CC	and
there	EX	there
is	VBZ	be
age-disparate	NN	<unknown>
sex	NN	sex
â	NP	<unknown>
that	WDT	that
is	VBZ	be
,	,	,
older	JJR	old
men	NNS	man
tend	VBP	tend
to	TO	to
have	VB	have
sex	NN	sex
with	IN	with
younger	JJR	young
women	NNS	woman
.	SENT	.
We	PP	we
see	VBP	see
higher	JJR	high
rates	NNS	rate
in	IN	in
younger	JJR	young
women	NNS	woman
than	IN	than
younger	JJR	young
men	NNS	man
in	IN	in
many	JJ	many
of	IN	of
these	DT	these
highly	RB	highly
affected	VBN	affect
countries	NNS	country
.	SENT	.
But	CC	but
where	WRB	where
are	VBP	be
they	PP	they
situated	VBN	situate
?	SENT	?
I	PP	I
will	MD	will
swap	VB	swap
the	DT	the
bubbles	NNS	bubble
to	TO	to
a	DT	a
map	NN	map
.	SENT	.
Look	NN	look
,	,	,
the	DT	the
highly	RB	highly
infected	VBN	infect
are	VBP	be
four	CD	four
percent	NN	percent
of	IN	of
all	DT	all
population	NN	population
and	CC	and
they	PP	they
hold	VBP	hold
50	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
HIV-infected	JJ	HIV-infected
.	SENT	.
HIV	NP	HIV
exists	VBZ	exist
all	DT	all
over	IN	over
the	DT	the
world	NN	world
.	SENT	.
Look	VB	look
,	,	,
you	PP	you
have	VBP	have
bubbles	NNS	bubble
all	RB	all
over	IN	over
the	DT	the
world	NN	world
here	RB	here
.	SENT	.
Brazil	NP	Brazil
has	VBZ	have
many	JJ	many
HIV-infected	JJ	HIV-infected
.	SENT	.
Arab	JJ	Arab
countries	NNS	country
not	RB	not
so	RB	so
much	JJ	much
,	,	,
but	CC	but
Iran	NP	Iran
is	VBZ	be
quite	RB	quite
high	JJ	high
.	SENT	.
They	PP	they
have	VBP	have
heroin	NN	heroin
addiction	NN	addiction
and	CC	and
also	RB	also
prostitution	NN	prostitution
in	IN	in
Iran	NP	Iran
.	SENT	.
India	NP	India
has	VBZ	have
many	JJ	many
because	IN	because
they	PP	they
are	VBP	be
many	JJ	many
.	SENT	.
Southeast	NP	Southeast
Asia	NP	Asia
,	,	,
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
But	RB	but
,	,	,
there	EX	there
is	VBZ	be
one	CD	one
part	NN	part
of	IN	of
Africa	NP	Africa
â	NP	<unknown>
and	CC	and
the	DT	the
difficult	JJ	difficult
thing	NN	thing
is	VBZ	be
,	,	,
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
not	RB	not
to	TO	to
make	VB	make
a	DT	a
uniform	JJ	uniform
statement	NN	statement
about	IN	about
Africa	NP	Africa
,	,	,
not	RB	not
to	TO	to
come	VB	come
to	TO	to
simple	JJ	simple
ideas	NNS	idea
of	IN	of
why	WRB	why
it	PP	it
is	VBZ	be
like	IN	like
this	DT	this
,	,	,
on	IN	on
one	CD	one
hand	NN	hand
.	SENT	.
On	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
try	VBP	try
to	TO	to
say	VB	say
that	IN	that
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
case	NN	case
,	,	,
because	IN	because
there	EX	there
is	VBZ	be
a	DT	a
scientific	JJ	scientific
consensus	NN	consensus
about	IN	about
this	DT	this
pattern	NN	pattern
now	RB	now
.	SENT	.
UNAIDS	NNS	<unknown>
have	VBP	have
done	VBN	do
good	JJ	good
data	NNS	datum
available	JJ	available
,	,	,
finally	RB	finally
,	,	,
about	IN	about
the	DT	the
spread	NN	spread
of	IN	of
HIV	NP	HIV
.	SENT	.
It	PP	it
could	MD	could
be	VB	be
concurrency	NN	concurrency
.	SENT	.
It	PP	it
could	MD	could
be	VB	be
some	DT	some
virus	NN	virus
types	NNS	type
.	SENT	.
It	PP	it
could	MD	could
be	VB	be
that	IN	that
there	EX	there
is	VBZ	be
other	JJ	other
things	NNS	thing
which	WDT	which
makes	VBZ	make
transmission	NN	transmission
occur	VB	occur
in	IN	in
a	DT	a
higher	JJR	high
frequency	NN	frequency
.	SENT	.
After	IN	after
all	DT	all
,	,	,
if	IN	if
you	PP	you
are	VBP	be
completely	RB	completely
healthy	JJ	healthy
and	CC	and
you	PP	you
have	VBP	have
heterosexual	JJ	heterosexual
sex	NN	sex
,	,	,
the	DT	the
risk	NN	risk
of	IN	of
infection	NN	infection
in	IN	in
one	CD	one
intercourse	NN	intercourse
is	VBZ	be
one	CD	one
in	IN	in
1	CD	@card@
,	,	,
000	CD	@card@
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
jump	NN	jump
to	TO	to
conclusions	NNS	conclusion
now	RB	now
on	IN	on
how	WRB	how
to	TO	to
behave	VB	behave
tonight	RB	tonight
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
But	CC	but
â	NP	<unknown>
and	CC	and
if	IN	if
you	PP	you
are	VBP	be
in	IN	in
an	DT	an
unfavorable	JJ	unfavorable
situation	NN	situation
,	,	,
more	RBR	more
sexually	RB	sexually
transmitted	VBN	transmit
diseases	NNS	disease
,	,	,
it	PP	it
can	MD	can
be	VB	be
one	CD	one
in	IN	in
100	CD	@card@
.	SENT	.
But	CC	but
what	WP	what
we	PP	we
think	VBP	think
is	VBZ	be
that	IN	that
it	PP	it
could	MD	could
be	VB	be
concurrency	NN	concurrency
.	SENT	.
And	CC	and
what	WP	what
is	VBZ	be
concurrency	NN	concurrency
?	SENT	?
In	IN	in
Sweden	NP	Sweden
,	,	,
we	PP	we
have	VBP	have
no	DT	no
concurrency	NN	concurrency
.	SENT	.
We	PP	we
have	VBP	have
serial	JJ	serial
monogamy	NN	monogamy
.	SENT	.
Vodka	NN	vodka
,	,	,
New	NP	New
Year	NP	Year
'	POS	'
s	NN	S
Eve	NP	Eve
â	NP	<unknown>
new	JJ	new
partner	NN	partner
for	IN	for
the	DT	the
spring	NN	spring
.	SENT	.
Vodka	NN	vodka
,	,	,
Midsummer	NN	midsummer
'	POS	'
s	NN	S
Eve	NP	Eve
â	NP	<unknown>
new	JJ	new
partner	NN	partner
for	IN	for
the	DT	the
fall	NN	fall
.	SENT	.
Vodka	NN	vodka
â	NP	<unknown>
and	CC	and
it	PP	it
goes	VBZ	go
on	IN	on
like	IN	like
this	DT	this
,	,	,
you	PP	you
know	VBP	know
?	SENT	?
And	CC	and
you	PP	you
collect	VBP	collect
a	DT	a
big	JJ	big
number	NN	number
of	IN	of
exes	NNS	ex
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
a	DT	a
terrible	JJ	terrible
chlamydia	NP	chlamydia
epidemic	NN	epidemic
â	NP	<unknown>
terrible	JJ	terrible
chlamydia	NP	chlamydia
epidemic	NN	epidemic
which	WDT	which
sticks	VBZ	stick
around	RP	around
for	IN	for
many	JJ	many
years	NNS	year
.	SENT	.
HIV	NP	HIV
has	VBZ	have
a	DT	a
peak	NN	peak
three	CD	three
to	TO	to
six	CD	six
weeks	NNS	week
after	IN	after
infection	NN	infection
and	CC	and
therefore	RB	therefore
