[	SYM	[
Go	VB	go
underneath	IN	underneath
it	PP	it
.	SENT	.
Go	VB	go
above	IN	above
it	PP	it
.	SENT	.
Go	VB	go
around	IN	around
it	PP	it
.	SENT	.
Pull	VB	pull
its	PP$	its
tail	NN	tail
up	RB	up
;	:	;
take	VB	take
a	DT	a
look	NN	look
in	IN	in
there	RB	there
.	SENT	.
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
get	VB	get
as	RB	as
close	JJ	close
to	TO	to
that	DT	that
camel	NN	camel
as	IN	as
you	PP	you
possibly	RB	possibly
can	MD	can
.	SENT	.
"	''	"
So	RB	so
,	,	,
I	PP	I
got	VBD	get
a	DT	a
National	NP	National
Geographic	NP	Geographic
film	NN	film
crew	NN	crew
.	SENT	.
We	PP	we
went	VBD	go
down	RB	down
there	RB	there
,	,	,
and	CC	and
I	PP	I
took	VBD	take
one	CD	one
look	NN	look
at	IN	at
this	DT	this
camel	NN	camel
.	SENT	.
It	PP	it
is	VBZ	be
a	DT	a
2	CD	@card@
,	,	,
000	CD	@card@
pound	NN	pound
creature	NN	creature
who	WP	who
is	VBZ	be
in	IN	in
rut	NN	rut
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
you	PP	you
'	POS	'
ve	NN	ve
ever	RB	ever
seen	VBN	see
a	DT	a
2	CD	@card@
,	,	,
000	CD	@card@
pound	NN	pound
camel	NN	camel
in	IN	in
rut	NN	rut
,	,	,
it	PP	it
is	VBZ	be
a	DT	a
scary	JJ	scary
,	,	,
scary	JJ	scary
thing	NN	thing
to	TO	to
behold	VB	behold
.	SENT	.
And	CC	and
if	IN	if
Richard	NP	Richard
thought	VBD	think
I	PP	I
was	VBD	be
getting	VBG	get
in	IN	in
the	DT	the
ring	NN	ring
with	IN	with
that	DT	that
camel	NN	camel
,	,	,
someone	NN	someone
was	VBD	be
smoking	VBG	smoke
Bedouin	NNS	Bedouin
high	JJ	high
grade	NN	grade
.	SENT	.
So	RB	so
we	PP	we
got	VBD	get
as	RB	as
close	VB	close
to	TO	to
it	PP	it
as	IN	as
possible	JJ	possible
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
share	VB	share
this	DT	this
.	SENT	.
Chris	NP	Chris
,	,	,
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
roll	VB	roll
this	DT	this
film	NN	film
.	SENT	.
Then	RB	then
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
about	IN	about
the	DT	the
design	NN	design
of	IN	of
camels	NNS	camel
.	SENT	.
Do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
roll	VB	roll
the	DT	the
film	NN	film
?	SENT	?
Hello	UH	hello
.	SENT	.
This	DT	this
is	VBZ	be
Keith	NP	Keith
Bellows	NP	Bellows
with	IN	with
the	DT	the
TED	VBP	ted
National	NP	National
Geographic	NP	Geographic
Camel	NP	Camel
Investigation	NP	Investigation
Unit	NP	Unit
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
look	VB	look
at	IN	at
the	DT	the
ultimate	JJ	ultimate
desert	NN	desert
machine	NN	machine
.	SENT	.
Keith	NP	Keith
Bellows	NP	Bellows
:	:	:
And	CC	and
you	PP	you
'	POS	'
ll	NNS	<unknown>
note	VBP	note
I	PP	I
started	VBD	start
chewing	VBG	chew
gum	NN	gum
because	IN	because
I	PP	I
was	VBD	be
around	IN	around
this	DT	this
camel	NN	camel
all	DT	all
day	NN	day
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
it	PP	it
,	,	,
OK	UH	OK
.	SENT	.
No	UH	no
!	SENT	!
See	VB	see
,	,	,
now	RB	now
he	PP	he
'	POS	'
s	NN	S
getting	VBG	get
a	DT	a
little	RB	little
overexcited	JJ	overexcited
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ll	NNS	<unknown>
need	VBP	need
to	TO	to
be	VB	be
very	RB	very
careful	JJ	careful
around	IN	around
him	PP	him
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
let	VBD	let
him	PP	him
get	VB	get
you	PP	you
.	SENT	.
Now	RB	now
,	,	,
you	PP	you
can	MD	can
see	VB	see
copious	JJ	copious
amounts	NNS	amount
of	IN	of
saliva	NN	saliva
in	IN	in
there	RB	there
.	SENT	.
I	PP	I
always	RB	always
called	VBD	call
myself	PP	myself
the	DT	the
unstable	JJ	unstable
stable	JJ	stable
boy	NN	boy
.	SENT	.
Their	PP$	their
nose	NN	nose
,	,	,
you	PP	you
can	MD	can
see	VB	see
his	PP$	his
nose	NN	nose
is	VBZ	be
flared	VBN	flare
right	RB	right
now	RB	now
.	SENT	.
When	WRB	when
they	PP	they
'	POS	'
re	NN	re
in	IN	in
rut	NN	rut
,	,	,
they	PP	they
'	POS	'
re	NN	re
similar	JJ	similar
to	TO	to
seals	NNS	seal
in	IN	in
the	DT	the
way	NN	way
,	,	,
like	VB	like
,	,	,
a	DT	a
seal	NN	seal
has	VBZ	have
to	TO	to
open	VB	open
its	PP$	its
nose	NN	nose
to	TO	to
breathe	VB	breathe
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
similar	JJ	similar
.	SENT	.
They	PP	they
have	VBP	have
to	TO	to
consciously	RB	consciously
open	VB	open
their	PP$	their
nose	NN	nose
.	SENT	.
KB	NP	KB
:	:	:
Ears	NNS	ear
?	SENT	?
SK	NP	SK
:	:	:
They	PP	they
are	VBP	be
small	JJ	small
.	SENT	.
But	CC	but
they	PP	they
have	VBP	have
excellent	JJ	excellent
hearing	NN	hearing
.	SENT	.
But	CC	but
not	RB	not
big	JJ	big
;	:	;
for	IN	for
instance	NN	instance
,	,	,
in	IN	in
zebras	NNS	zebra
,	,	,
they	PP	they
have	VBP	have
a	DT	a
huge	JJ	huge
ear	NN	ear
that	RB	that
'	POS	'
s	NN	S
very	RB	very
mobile	JJ	mobile
,	,	,
so	RB	so
they	PP	they
can	MD	can
actually	RB	actually
turn	VB	turn
them	PP	them
both	DT	both
around	RP	around
.	SENT	.
And	CC	and
they	PP	they
use	VBP	use
them	PP	them
in	IN	in
the	DT	the
same	JJ	same
way	NN	way
we	PP	we
use	VBP	use
our	PP$	our
binocular	JJ	binocular
vision	NN	vision
.	SENT	.
They	PP	they
use	VBP	use
that	IN	that
to	TO	to
pinpoint	VB	pinpoint
sound	NN	sound
.	SENT	.
The	DT	the
desert	NN	desert
'	POS	'
s	NN	S
extremely	RB	extremely
windy	JJ	windy
as	RB	as
well	RB	well
as	IN	as
being	VBG	be
very	RB	very
cold	JJ	cold
.	SENT	.
So	RB	so
not	RB	not
only	RB	only
do	VBP	do
they	PP	they
have	VBP	have
the	DT	the
very	RB	very
long	JJ	long
eyelashes	NNS	eyelash
,	,	,
but	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
secondary	JJ	secondary
—	:	-
I	PP	I
guess	VBP	guess
you	PP	you
'	''	'
d	SYM	d
call	VB	call
it	PP	it
the	DT	the
[	SYM	[
unclear	JJ	unclear
]	SYM	]
or	CC	or
whatever	JJ	whatever
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
this	DT	this
hair	NN	hair
that	RB	that
'	POS	'
s	NN	S
above	IN	above
the	DT	the
eyes	NNS	eye
,	,	,
and	CC	and
below	IN	below
it	PP	it
,	,	,
it	PP	it
'	POS	'
s	NN	S
longer	RBR	longer
.	SENT	.
Most	JJS	most
people	NNS	people
think	VBP	think
that	IN	that
the	DT	the
humps	NNS	hump
store	NN	store
water	NN	water
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
.	SENT	.
They	PP	they
store	VBP	store
fat	JJ	fat
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
a	DT	a
chemist	NN	chemist
,	,	,
but	CC	but
basically	RB	basically
what	WP	what
happens	VBZ	happen
is	VBZ	be
the	DT	the
fat	NN	fat
is	VBZ	be
oxidized	VBN	oxidize
by	IN	by
their	PP$	their
breathing	NN	breathing
.	SENT	.
And	CC	and
that	WDT	that
will	MD	will
turn	VB	turn
it	PP	it
into	IN	into
actually	RB	actually
usable	JJ	usable
water	NN	water
.	SENT	.
Like	IN	like
a	DT	a
lot	NN	lot
of	IN	of
predators	NNS	predator
,	,	,
they	PP	they
walk	VBP	walk
on	IN	on
their	PP$	their
toes	NNS	toe
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
big	JJ	big
fat	JJ	fat
pad	NN	pad
in	IN	in
there	RB	there
that	WDT	that
squishes	VBZ	squish
out	RP	out
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
like	IN	like
sun	NN	sun
shoes	NNS	shoe
,	,	,
but	CC	but
,	,	,
you	PP	you
know	VBP	know
,	,	,
with	IN	with
sand	NN	sand
.	SENT	.
Hooves	NNS	hoof
?	SENT	?
They	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
traditional	JJ	traditional
hooves	NNS	hoof
,	,	,
but	CC	but
they	PP	they
do	VBP	do
have	VB	have
one	PP	one
,	,	,
like	VB	like
,	,	,
big	JJ	big
nail	NN	nail
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
really	RB	really
see	VBP	see
too	RB	too
clear	VB	clear
.	SENT	.
The	DT	the
fur	NN	fur
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
grown	VBN	grow
over	RP	over
.	SENT	.
But	CC	but
they	PP	they
use	VBP	use
their	PP$	their
tails	NNS	tail
a	DT	a
lot	NN	lot
,	,	,
especially	RB	especially
in	IN	in
rut	NN	rut
.	SENT	.
He	PP	he
will	MD	will
urinate	VB	urinate
and	CC	and
spin	VB	spin
his	PP$	his
tail	NN	tail
to	TO	to
spread	VB	spread
the	DT	the
urine	NN	urine
around	RB	around
and	CC	and
make	VB	make
him	PP	him
more	RBR	more
attractive	JJ	attractive
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VB	know
why	WRB	why
that	DT	that
would	MD	would
be	VB	be
,	,	,
but	CC	but
it	PP	it
works	VBZ	work
for	IN	for
them	PP	them
.	SENT	.
So	RB	so
,	,	,
what	WP	what
the	DT	the
hell	NN	hell
.	SENT	.
Now	RB	now
,	,	,
they	PP	they
will	MD	will
also	RB	also
defecate	VB	defecate
in	IN	in
certain	JJ	certain
areas	NNS	area
.	SENT	.
Generally	RB	generally
,	,	,
they	PP	they
poop	VBP	poop
wherever	WRB	wherever
they	PP	they
want	VBP	want
to	TO	to
,	,	,
but	CC	but
during	IN	during
their	PP$	their
rut	NN	rut
,	,	,
they	PP	they
will	MD	will
defecate	VB	defecate
in	IN	in
perimeter	NN	perimeter
areas	NNS	area
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
you	PP	you
'	POS	'
ve	NN	ve
read	VBD	read
or	CC	or
heard	VBD	hear
about	IN	about
the	DT	the
sub-sonic	JJ	sub-sonic
sounds	NNS	sound
from	IN	from
elephants	NNS	elephant
,	,	,
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
mean	VBP	mean
,	,	,
like	VBP	like
,	,	,
"	``	"
Br-r-r	NP	<unknown>
!	SENT	!
"	``	"
These	DT	these
big	JJ	big
,	,	,
big	JJ	big
rumbling	VBG	rumble
sounds	NNS	sound
.	SENT	.
He	PP	he
will	MD	will
do	VB	do
the	DT	the
same	JJ	same
thing	NN	thing
.	SENT	.
You	PP	you
can	MD	can
actually	RB	actually
see	VB	see
,	,	,
right	RB	right
here	RB	here
,	,	,
it	PP	it
will	MD	will
vibrate	VB	vibrate
.	SENT	.
We	PP	we
weigh	VBP	weigh
our	PP$	our
animals	NNS	animal
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
he	PP	he
'	POS	'
s	NN	S
a	DT	a
very	RB	very
aggressive	JJ	aggressive
animal	NN	animal
,	,	,
so	IN	so
he	PP	he
'	POS	'
s	NN	S
actually	RB	actually
destroyed	VBD	destroy
some	DT	some
of	IN	of
the	DT	the
scales	NNS	scale
