Cyndi	NP	Cyndi
wasn	NP	<unknown>
'	POS	'
t	NN	t
trying	VBG	try
to	TO	to
do	VB	do
anything	NN	anything
special	JJ	special
.	SENT	.
It	PP	it
never	RB	never
occurred	VBD	occur
to	TO	to
me	PP	me
that	IN	that
that	DT	that
was	VBD	be
new	JJ	new
,	,	,
different	JJ	different
or	CC	or
weird	JJ	weird
.	SENT	.
I	PP	I
just	RB	just
brought	VBD	bring
in	IN	in
actors	NNS	actor
because	IN	because
I	PP	I
thought	VBD	think
they	PP	they
were	VBD	be
interesting	JJ	interesting
and	CC	and
to	TO	to
me	PP	me
,	,	,
the	DT	the
idea	NN	idea
that	IN	that
it	PP	it
was	VBD	be
completely	RB	completely
surprising	JJ	surprising
to	TO	to
everybody	NN	everybody
—	:	-
I	PP	I
didn	NNS	<unknown>
'	POS	'
t	NN	t
know	VBP	know
that	IN	that
for	IN	for
a	DT	a
while	NN	while
.	SENT	.
I	PP	I
just	RB	just
thought	VBD	think
:	:	:
these	DT	these
are	VBP	be
the	DT	the
actors	NNS	actor
I	PP	I
want	VBP	want
to	TO	to
see	VB	see
play	VB	play
these	DT	these
parts	NNS	part
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
see	VB	see
what	WP	what
they	PP	they
look	VBP	look
like	IN	like
if	IN	if
they	PP	they
read	VBD	read
.	SENT	.
We	PP	we
'	POS	'
ll	NNS	<unknown>
see	VBP	see
what	WP	what
happens	VBZ	happen
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
the	DT	the
interesting	JJ	interesting
thing	NN	thing
that	WDT	that
happens	VBZ	happen
is	VBZ	be
that	IN	that
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
world	NN	world
through	IN	through
another	DT	another
lens	NN	lens
,	,	,
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
not	RB	not
the	DT	the
person	NN	person
normally	RB	normally
in	IN	in
charge	NN	charge
of	IN	of
things	NNS	thing
,	,	,
it	PP	it
just	RB	just
comes	VBZ	come
out	RP	out
a	DT	a
different	JJ	different
way	NN	way
.	SENT	.
CS	NP	CS
:	:	:
So	RB	so
you	PP	you
now	RB	now
have	VBP	have
this	DT	this
big	JJ	big
machine	NN	machine
that	IN	that
you	PP	you
run	VBP	run
,	,	,
as	IN	as
a	DT	a
titan	NN	titan
—	:	-
as	IN	as
you	PP	you
know	VBP	know
,	,	,
last	JJ	last
year	NN	year
when	WRB	when
she	PP	she
gave	VBD	give
her	PP$	her
talk	NN	talk
—	:	-
she	PP	she
'	POS	'
s	NNS	<unknown>
a	DT	a
titan	NN	titan
.	SENT	.
So	RB	so
what	WP	what
do	VBP	do
you	PP	you
think	VBP	think
is	VBZ	be
going	VBG	go
to	TO	to
happen	VB	happen
as	IN	as
we	PP	we
go	VBP	go
on	IN	on
?	SENT	?
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
huge	JJ	huge
amount	NN	amount
of	IN	of
money	NN	money
involved	VBN	involve
in	IN	in
producing	VBG	produce
these	DT	these
shows	NNS	show
.	SENT	.
While	IN	while
the	DT	the
tools	NNS	tool
of	IN	of
making	VBG	make
stories	NNS	story
have	VBP	have
gone	VBN	go
and	CC	and
gotten	VBN	get
greatly	RB	greatly
democratized	VBN	democratize
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
still	RB	still
this	DT	this
large	JJ	large
distribution	NN	distribution
:	:	:
people	NNS	people
who	WP	who
rent	VB	rent
networks	NNS	network
,	,	,
who	WP	who
rent	VBD	rend
the	DT	the
audience	NN	audience
to	TO	to
advertisers	NNS	advertiser
and	CC	and
make	VB	make
it	PP	it
all	DT	all
pay	NN	pay
.	SENT	.
How	WRB	how
do	VBP	do
you	PP	you
see	VBP	see
the	DT	the
business	NN	business
model	NN	model
changing	VBG	change
now	RB	now
that	IN	that
anyone	NN	anyone
can	MD	can
be	VB	be
a	DT	a
storyteller	NN	storyteller
?	SENT	?
SR	NN	SR
:	:	:
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NN	S
changing	VBG	change
every	DT	every
day	NN	day
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
rapid	JJ	rapid
,	,	,
rapid	JJ	rapid
change	NN	change
that	RB	that
'	POS	'
s	NN	S
happening	NN	happening
is	VBZ	be
amazing	JJ	amazing
.	SENT	.
And	CC	and
I	PP	I
feel	VBP	feel
—	:	-
the	DT	the
panic	NN	panic
is	VBZ	be
palpable	JJ	palpable
,	,	,
and	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
mean	VBP	mean
that	IN	that
in	IN	in
a	DT	a
bad	JJ	bad
way	NN	way
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NN	S
kind	NN	kind
of	IN	of
exciting	JJ	exciting
.	SENT	.
The	DT	the
idea	NN	idea
that	IN	that
there	EX	there
'	''	'
s	NN	S
sort	NN	sort
of	IN	of
an	DT	an
equalizer	NN	equalizer
happening	NN	happening
,	,	,
that	DT	that
sort	NN	sort
of	IN	of
means	NNS	mean
that	IN	that
anybody	NN	anybody
can	MD	can
make	VB	make
something	NN	something
,	,	,
is	VBZ	be
wonderful	JJ	wonderful
.	SENT	.
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	VBG	<unknown>
some	DT	some
scary	JJ	scary
in	IN	in
the	DT	the
idea	NN	idea
that	IN	that
you	PP	you
can	MD	can
'	''	'
t	NN	t
find	VB	find
the	DT	the
good	JJ	good
work	NN	work
now	RB	now
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
so	RB	so
much	RB	much
work	VB	work
out	RP	out
there	RB	there
.	SENT	.
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	NN	S
something	NN	something
like	IN	like
417	CD	@card@
dramas	NN	dramas
on	IN	on
television	NN	television
right	RB	right
now	RB	now
at	IN	at
any	DT	any
given	VBN	give
time	NN	time
in	IN	in
any	DT	any
given	VBN	give
place	NN	place
,	,	,
but	CC	but
you	PP	you
can	MD	can
'	''	'
t	NN	t
find	VB	find
them	PP	them
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
find	VB	find
the	DT	the
good	JJ	good
ones	NNS	one
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
bad	JJ	bad
stuff	NN	stuff
out	RB	out
there	RB	there
because	IN	because
everybody	NN	everybody
can	MD	can
make	VB	make
something	NN	something
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
if	IN	if
everybody	NN	everybody
painted	VBD	paint
a	DT	a
painting	NN	painting
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
not	RB	not
that	IN	that
many	JJ	many
good	JJ	good
painters	NNS	painter
.	SENT	.
But	CC	but
finding	VBG	find
the	DT	the
good	JJ	good
stories	NNS	story
,	,	,
the	DT	the
good	JJ	good
shows	NNS	show
,	,	,
is	VBZ	be
harder	JJR	hard
and	CC	and
harder	JJR	hard
and	CC	and
harder	JJR	hard
.	SENT	.
Because	IN	because
if	IN	if
you	PP	you
have	VBP	have
one	CD	one
tiny	JJ	tiny
show	NN	show
over	IN	over
here	RB	here
on	IN	on
AMC	NP	AMC
and	CC	and
one	CD	one
tiny	JJ	tiny
show	NN	show
over	IN	over
here	RB	here
over	IN	over
there	EX	there
,	,	,
finding	VBG	find
where	WRB	where
they	PP	they
are	VBP	be
becomes	VBZ	become
much	RB	much
harder	JJR	hard
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
that	IN	that
ferreting	VBG	ferret
out	RP	out
the	DT	the
gems	NNS	gem
and	CC	and
finding	VBG	find
out	RP	out
who	WP	who
made	VBD	make
the	DT	the
great	JJ	great
webisode	NN	<unknown>
and	CC	and
who	WP	who
made	VBD	make
this	DT	this
,	,	,
it	PP	it
'	POS	'
s	NN	S
—	:	-
I	PP	I
mean	VBP	mean
,	,	,
think	VBP	think
about	IN	about
the	DT	the
poor	JJ	poor
critics	NNS	critic
who	WP	who
now	RB	now
are	VBP	be
spending	NN	spending
24	CD	@card@
hours	NNS	hour
a	DT	a
day	NN	day
trapped	VBN	trap
in	IN	in
their	PP$	their
homes	NNS	home
watching	VBG	watch
everything	NN	everything
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
an	DT	an
easy	JJ	easy
job	NN	job
right	RB	right
now	RB	now
.	SENT	.
So	IN	so
the	DT	the
distribution	NN	distribution
engines	NNS	engine
are	VBP	be
getting	VBG	get
more	RBR	more
and	CC	and
more	RBR	more
vast	JJ	vast
,	,	,
but	CC	but
finding	VBG	find
the	DT	the
good	JJ	good
programming	NN	programming
for	IN	for
everybody	NN	everybody
in	IN	in
the	DT	the
audience	NN	audience
is	VBZ	be
getting	VBG	get
harder	RBR	harder
.	SENT	.
And	CC	and
unlike	IN	unlike
the	DT	the
news	NN	news
,	,	,
where	WRB	where
everything	NN	everything
'	POS	'
s	NNS	<unknown>
getting	VBG	get
winnowed	VBN	winnow
down	RP	down
to	TO	to
just	RB	just
who	WP	who
you	PP	you
are	VBP	be
,	,	,
television	NN	television
seems	VBZ	seem
to	TO	to
be	VB	be
getting	VBG	get
—	:	-
and	CC	and
by	IN	by
television	NN	television
I	PP	I
mean	VBP	mean
anything	NN	anything
you	PP	you
can	MD	can
watch	VB	watch
,	,	,
television	NN	television
shows	VBZ	show
on	RP	on
—	:	-
seems	VBZ	seem
to	TO	to
be	VB	be
getting	VBG	get
wider	JJR	wide
and	CC	and
wider	JJR	wide
and	CC	and
wider	JJR	wide
.	SENT	.
And	CC	and
so	IN	so
anybody	NN	anybody
'	POS	'
s	NNS	<unknown>
making	VBG	make
stories	NNS	story
,	,	,
and	CC	and
the	DT	the
geniuses	NNS	genius
are	VBP	be
sometimes	RB	sometimes
hidden	VBN	hide
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
harder	JJR	hard
to	TO	to
find	VB	find
,	,	,
and	CC	and
at	IN	at
some	DT	some
point	NN	point
that	WDT	that
will	MD	will
collapse	VB	collapse
.	SENT	.
People	NNS	people
keep	VBP	keep
talking	VBG	talk
about	IN	about
peak	NN	peak
TV	NN	TV
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VB	know
when	WRB	when
that	DT	that
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
happen	VB	happen
.	SENT	.
I	PP	I
think	VBP	think
at	IN	at
some	DT	some
point	NN	point
it	PP	it
'	POS	'
ll	JJ	<unknown>
collapse	NN	collapse
a	DT	a
little	JJ	little
bit	NN	bit
and	CC	and
we	PP	we
'	POS	'
ll	NN	ll
,	,	,
sort	NN	sort
of	IN	of
,	,	,
come	VB	come
back	RB	back
together	RB	together
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
it	PP	it
will	MD	will
be	VB	be
network	NN	network
television	NN	television
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
that	DT	that
model	NN	model
is	VBZ	be
sustainable	JJ	sustainable
.	SENT	.
CS	NP	CS
:	:	:
What	WP	what
about	IN	about
the	DT	the
model	NN	model
that	IN	that
Amazon	NP	Amazon
and	CC	and
Netflix	NP	<unknown>
are	VBP	be
throwing	VBG	throw
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
around	IN	around
right	NN	right
now	RB	now
.	SENT	.
SR	NN	SR
:	:	:
That	WDT	that
is	VBZ	be
true	JJ	true
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
an	DT	an
interesting	JJ	interesting
model	NN	model
.	SENT	.
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	NN	S
something	NN	something
exciting	JJ	exciting
about	IN	about
it	PP	it
.	SENT	.
For	IN	for
content	JJ	content
creators	NNS	creator
,	,	,
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	NN	S
something	NN	something
exciting	JJ	exciting
about	IN	about
it	PP	it
.	SENT	.
For	IN	for
the	DT	the
world	NN	world
,	,	,
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	NN	S
something	NN	something
exciting	JJ	exciting
about	IN	about
it	PP	it
.	SENT	.
The	DT	the
idea	NN	idea
that	IN	that
there	EX	there
are	VBP	be
programs	NNS	program
now	RB	now
that	WDT	that
can	MD	can
be	VB	be
in	IN	in
multiple	JJ	multiple
languages	NNS	language
with	IN	with
characters	NNS	character
from	IN	from
all	DT	all
over	IN	over
the	DT	the
world	NN	world
that	WDT	that
are	VBP	be
appealing	JJ	appealing
and	CC	and
come	VB	come
out	RP	out
for	IN	for
everybody	NN	everybody
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
is	VBZ	be
exciting	JJ	exciting
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
think	VBP	think
the	DT	the
international	JJ	international
sense	NN	sense
that	IN	that
television	NN	television
can	MD	can
now	RB	now
take	VB	take
on	IN	on
makes	VBZ	make
sense	NN	sense
to	TO	to
me	PP	me
,	,	,
that	DT	that
programming	NN	programming
can	MD	can
now	RB	now
take	VB	take
on	RP	on
.	SENT	.
Television	NN	television
so	RB	so
much	RB	much
is	VBZ	be
made	VBN	make
for	IN	for
,	,	,
like	VBP	like
—	:	-
here	RB	here
'	''	'
s	VBG	<unknown>
our	PP$	our
American	JJ	American
audience	NN	audience
.	SENT	.
We	PP	we
make	VBP	make
these	DT	these
shows	NNS	show
,	,	,
and	CC	and
then	RB	then
they	PP	they
shove	VB	shove
them	PP	them
out	RP	out
into	IN	into
the	DT	the
world	NN	world
and	CC	and
hope	NN	hope
for	IN	for
the	DT	the
best	JJS	good
,	,	,
as	RB	as
opposed	VBN	oppose
to	TO	to
really	RB	really
thinking	VBG	think
about	IN	about
the	DT	the
fact	NN	fact
that	IN	that
America	NP	America
is	VBZ	be
not	RB	not
it	PP	it
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
we	PP	we
love	VBP	love
ourselves	PP	ourselves
and	CC	and
everything	NN	everything
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
i	NP	i
.	SENT	.
And	CC	and
we	PP	we
should	MD	should
be	VB	be
taking	VBG	take
into	IN	into
account	NN	account
the	DT	the
fact	NN	fact
that	IN	that
there	EX	there
are	VBP	be
all	DT	all
of	IN	of
these	DT	these
other	JJ	other
places	NNS	place
in	IN	in
the	DT	the
world	NN	world
that	IN	that
we	PP	we
should	MD	should
be	VB	be
interested	JJ	interested
in	IN	in
while	IN	while
we	PP	we
'	''	'
re	IN	re
telling	VBG	tell
stories	NNS	story
.	SENT	.
It	PP	it
makes	VBZ	make
the	DT	the
world	NN	world
smaller	JJR	small
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
pushes	VBZ	push
forward	RB	forward
the	DT	the
idea	NN	idea
that	IN	that
the	DT	the
world	NN	world
is	VBZ	be
a	DT	a
universal	JJ	universal
place	NN	place
,	,	,
and	CC	and
our	PP$	our
stories	NNS	story
become	VBP	become
universal	JJ	universal
things	NNS	thing
.	SENT	.
We	PP	we
stop	VB	stop
being	VBG	be
other	JJ	other
.	SENT	.
CS	NP	CS
:	:	:
You	PP	you
'	POS	'
ve	NN	ve
pioneered	VBD	pioneer
,	,	,
as	RB	as
far	RB	far
as	IN	as
I	PP	I
can	MD	can
see	VB	see
,	,	,
interesting	JJ	interesting
ways	NNS	way
to	TO	to
launch	VB	launch
new	JJ	new
shows	NNS	show
,	,	,
too	RB	too
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
when	WRB	when
you	PP	you
launched	VBD	launch
"	``	"
Scandal	NN	scandal
"	''	"
in	IN	in
2012	CD	@card@
,	,	,
there	EX	there
was	VBD	be
this	DT	this
amazing	JJ	amazing
groundswell	NN	groundswell
of	IN	of
support	NN	support
on	IN	on
Twitter	NN	twitter
the	DT	the
likes	NNS	like
of	IN	of
which	WDT	which
nobody	NN	nobody
had	VBD	have
seen	VBN	see
before	RB	before
.	SENT	.
Do	VB	do
you	PP	you
have	VBP	have
any	DT	any
other	JJ	other
tricks	NNS	trick
up	IN	up
your	PP$	your
sleeve	NN	sleeve
when	WRB	when
you	PP	you
launch	VB	launch
your	PP$	your
next	JJ	next
one	CD	one
?	SENT	?
What	WP	what
do	VBP	do
you	PP	you
think	VBP	think
will	MD	will
happen	VB	happen
in	IN	in
that	DT	that
regard	NN	regard
?	SENT	?
SR	NN	SR
:	:	:
We	PP	we
do	VBP	do
have	VB	have
some	DT	some
interesting	JJ	interesting
ideas	NNS	idea
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
show	NN	show
called	VBN	call
"	``	"
Still	RB	still
Star-	NP	<unknown>
Crossed	VBD	cross
"	``	"
coming	VBG	come
out	RP	out
this	DT	this
summer	NN	summer
.	SENT	.
We	PP	we
have	VBP	have
some	DT	some
interesting	JJ	interesting
ideas	NNS	idea
for	IN	for
that	DT	that
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
sure	JJ	sure
if	IN	if
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
do	VB	do
them	PP	them
in	IN	in
time	NN	time
.	SENT	.
I	PP	I
thought	VBD	think
they	PP	they
were	VBD	be
fun	NN	fun
.	SENT	.
But	CC	but
the	DT	the
idea	NN	idea
that	IN	that
we	PP	we
would	MD	would
live-tweet	VB	live-tweet
our	PP$	our
show	NN	show
was	VBD	be
really	RB	really
just	RB	just
us	PP	us
thinking	VBG	think
that	IN	that
would	MD	would
be	VB	be
fun	NN	fun
.	SENT	.
We	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
realize	VBP	realize
that	IN	that
the	DT	the
critics	NNS	critic
would	MD	would
start	VB	start
to	TO	to
live-tweet	VB	live-tweet
along	RP	along
with	IN	with
us	PP	us
.	SENT	.
But	CC	but
the	DT	the
fans	NNS	fan
—	:	-
getting	VBG	get
people	NNS	people
to	TO	to
be	VB	be
a	DT	a
part	NN	part
of	IN	of
it	PP	it
,	,	,
making	VBG	make
it	PP	it
more	RBR	more
of	IN	of
a	DT	a
campfire	NN	campfire
—	:	-
you	PP	you
know	VBP	know
,	,	,
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
all	RB	all
on	IN	on
Twitter	NN	twitter
together	RB	together
and	CC	and
you	PP	you
'	POS	'
re	NN	re
all	RB	all
talking	VBG	talk
together	RB	together
,	,	,
it	PP	it
is	VBZ	be
more	JJR	more
of	IN	of
a	DT	a
shared	JJ	shared
experience	NN	experience
,	,	,
and	CC	and
finding	VBG	find
other	JJ	other
ways	NNS	way
to	TO	to
make	VB	make
that	IN	that
possible	JJ	possible
and	CC	and
finding	VBG	find
other	JJ	other
ways	NNS	way
to	TO	to
make	VB	make
people	NNS	people
feel	VB	feel
engaged	JJ	engaged
is	VBZ	be
important	JJ	important
.	SENT	.
CS	NP	CS
:	:	:
So	RB	so
when	WRB	when
you	PP	you
have	VBP	have
all	PDT	all
those	DT	those
different	JJ	different
people	NNS	people
making	VBG	make
stories	NNS	story
and	CC	and
only	RB	only
some	DT	some
of	IN	of
them	PP	them
are	VBP	be
going	VBG	go
to	TO	to
break	VB	break
through	RP	through
and	CC	and
get	VB	get
that	DT	that
audience	NN	audience
somehow	RB	somehow
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
think	VBP	think
storytellers	NNS	storyteller
will	MD	will
get	VB	get
paid	VBN	pay
?	SENT	?
SR	NN	SR
:	:	:
I	PP	I
actually	RB	actually
have	VBP	have
been	VBN	be
struggling	VBG	struggle
with	IN	with
this	DT	this
concept	NN	concept
as	IN	as
well	RB	well
.	SENT	.
Is	VBZ	be
it	PP	it
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
subscriber	NN	subscriber
model	NN	model
?	SENT	?
Are	VBP	be
people	NNS	people
going	VBG	go
to	TO	to
say	VB	say
,	,	,
like	VB	like
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
watch	VB	watch
this	DT	this
particular	JJ	particular
person	NN	person
'	POS	'
s	NN	S
shows	NNS	show
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
how	WRB	how
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
it	PP	it
?	SENT	?
CS	NP	CS
:	:	:
I	PP	I
think	VBP	think
we	PP	we
should	MD	should
buy	VB	buy
a	DT	a
passport	NN	passport
to	TO	to
Shondaland	NP	Shondaland
.	SENT	.
Right	RB	right
?	SENT	?
SR	NN	SR
:	:	:
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
about	RB	about
that	IN	that
,	,	,
but	CC	but
yeah	RB	yeah
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
lot	NN	lot
more	JJR	more
work	NN	work
for	IN	for
me	PP	me
.	SENT	.
I	PP	I
do	VBP	do
think	VB	think
that	IN	that
there	EX	there
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
different	JJ	different
ways	NNS	way
,	,	,
but	CC	but
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
necessarily	RB	necessarily
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
be	VB	be
honest	JJ	honest
and	CC	and
say	VBP	say
a	DT	a
lot	NN	lot
of	IN	of
content	JJ	content
creators	NNS	creator
are	VBP	be
not	RB	not
necessarily	RB	necessarily
interested	JJ	interested
in	IN	in
being	VBG	be
