My	PP$	my
people	NNS	people
.	SENT	.
Live	VB	live
with	IN	with
them	PP	them
;	:	;
love	VB	love
them	PP	them
.	SENT	.
Start	VB	start
from	IN	from
what	WP	what
they	PP	they
know	VBP	know
.	SENT	.
Build	VB	build
on	IN	on
what	WP	what
they	PP	they
have	VBP	have
.	SENT	.
"	``	"
This	DT	this
was	VBD	be
kind	NN	kind
of	IN	of
the	DT	the
defining	VBG	define
slogan	NN	slogan
.	SENT	.
Well	RB	well
I	PP	I
took	VBD	take
one	CD	one
year	NN	year
.	SENT	.
I	PP	I
joined	VBD	join
Telco	NP	Telco
,	,	,
made	VBD	make
TATA	NP	Tata
trucks	NNS	truck
,	,	,
pretty	RB	pretty
close	JJ	close
to	TO	to
Pune	NP	Pune
.	SENT	.
I	PP	I
worked	VBD	work
there	RB	there
for	IN	for
two	CD	two
years	NNS	year
,	,	,
and	CC	and
I	PP	I
realized	VBD	realize
that	IN	that
I	PP	I
was	VBD	be
not	RB	not
born	VBN	bear
to	TO	to
make	VB	make
trucks	NNS	truck
.	SENT	.
Often	RB	often
one	CD	one
doesn	NNS	<unknown>
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
one	PP	one
wants	VBZ	want
to	TO	to
do	VB	do
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
good	JJ	good
enough	RB	enough
to	TO	to
know	VB	know
what	WP	what
you	PP	you
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
do	VB	do
.	SENT	.
So	RB	so
I	PP	I
took	VBD	take
one	CD	one
year	NN	year
off	RP	off
,	,	,
and	CC	and
I	PP	I
went	VBD	go
to	TO	to
this	DT	this
village	NN	village
science	NN	science
program	NN	program
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
a	DT	a
turning	VBG	turn
point	NN	point
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
very	RB	very
small	JJ	small
village	NN	village
â	NP	<unknown>
a	DT	a
weekly	JJ	weekly
bazaar	NN	bazaar
where	WRB	where
people	NNS	people
,	,	,
just	RB	just
once	RB	once
in	IN	in
a	DT	a
week	NN	week
,	,	,
they	PP	they
put	VBP	put
in	IN	in
all	PDT	all
the	DT	the
vats	NNS	vat
.	SENT	.
So	RB	so
I	PP	I
said	VBD	say
,	,	,
"	``	"
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
spend	VB	spend
a	DT	a
year	NN	year
over	IN	over
here	RB	here
.	SENT	.
"	``	"
So	IN	so
I	PP	I
just	RB	just
bought	VBD	buy
one	CD	one
specimen	NN	specimen
of	IN	of
everything	NN	everything
which	WDT	which
was	VBD	be
sold	VBN	sell
on	IN	on
the	DT	the
roadside	NN	roadside
.	SENT	.
And	CC	and
one	CD	one
thing	NN	thing
which	WDT	which
I	PP	I
found	VBD	find
was	VBD	be
this	DT	this
black	JJ	black
rubber	NN	rubber
.	SENT	.
This	DT	this
is	VBZ	be
called	VBN	call
a	DT	a
cycle	NN	cycle
valve	NN	valve
tube	NN	tube
.	SENT	.
When	WRB	when
you	PP	you
pump	VBP	pump
in	IN	in
air	NN	air
in	IN	in
a	DT	a
bicycle	NN	bicycle
,	,	,
you	PP	you
use	VBP	use
a	DT	a
bit	NN	bit
of	IN	of
this	DT	this
.	SENT	.
And	CC	and
some	DT	some
of	IN	of
these	DT	these
models	NNS	model
â	NP	<unknown>
so	IN	so
you	PP	you
take	VBP	take
a	DT	a
bit	NN	bit
of	IN	of
this	DT	this
cycle	NN	cycle
valve	NN	valve
tube	NN	tube
,	,	,
you	PP	you
can	MD	can
put	VB	put
two	CD	two
matchsticks	NNS	matchstick
inside	IN	inside
this	DT	this
,	,	,
and	CC	and
you	PP	you
make	VBP	make
a	DT	a
flexible	JJ	flexible
joint	NN	joint
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
joint	NN	joint
of	IN	of
tubes	NNS	tube
.	SENT	.
You	PP	you
start	VBP	start
by	IN	by
teaching	NN	teaching
angles	VBZ	angle
â	NP	<unknown>
an	DT	an
acute	JJ	acute
angle	NN	angle
,	,	,
a	DT	a
right	JJ	right
angle	NN	angle
,	,	,
an	DT	an
obtuse	JJ	obtuse
angle	NN	angle
,	,	,
a	DT	a
straight	JJ	straight
angle	NN	angle
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
its	PP$	its
own	JJ	own
little	JJ	little
coupling	NN	coupling
.	SENT	.
If	IN	if
you	PP	you
have	VBP	have
three	CD	three
of	IN	of
them	PP	them
,	,	,
and	CC	and
you	PP	you
loop	VBP	loop
them	PP	them
together	RB	together
,	,	,
well	RB	well
you	PP	you
make	VBP	make
a	DT	a
triangle	NN	triangle
.	SENT	.
With	IN	with
four	CD	four
,	,	,
you	PP	you
make	VBP	make
a	DT	a
square	NN	square
,	,	,
you	PP	you
make	VBP	make
a	DT	a
pentagon	NN	pentagon
,	,	,
you	PP	you
make	VBP	make
a	DT	a
hexagon	NN	hexagon
,	,	,
you	PP	you
make	VBP	make
all	PDT	all
these	DT	these
kind	NN	kind
of	IN	of
polygons	NNS	polygon
.	SENT	.
And	CC	and
they	PP	they
have	VBP	have
some	DT	some
wonderful	JJ	wonderful
properties	NNS	property
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
hexagon	NN	hexagon
,	,	,
for	IN	for
instance	NN	instance
,	,	,
it	PP	it
'	POS	'
s	NN	S
like	IN	like
an	DT	an
amoeba	NN	amoeba
,	,	,
which	WDT	which
is	VBZ	be
constantly	RB	constantly
changing	VBG	change
its	PP$	its
own	JJ	own
profile	NN	profile
.	SENT	.
You	PP	you
can	MD	can
just	RB	just
pull	VB	pull
this	DT	this
out	NN	out
,	,	,
this	DT	this
becomes	VBZ	become
a	DT	a
rectangle	NN	rectangle
.	SENT	.
You	PP	you
give	VBP	give
it	PP	it
a	DT	a
push	NN	push
,	,	,
this	DT	this
becomes	VBZ	become
a	DT	a
parallelogram	NN	parallelogram
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
very	RB	very
shaky	JJ	shaky
.	SENT	.
Look	VB	look
at	IN	at
the	DT	the
pentagon	NN	pentagon
,	,	,
for	IN	for
instance	NN	instance
,	,	,
pull	VBP	pull
this	DT	this
out	IN	out
â	NP	<unknown>
it	PP	it
becomes	VBZ	become
a	DT	a
boat	NN	boat
shape	NN	shape
trapezium	NN	trapezium
.	SENT	.
Push	VB	push
it	PP	it
and	CC	and
it	PP	it
becomes	VBZ	become
house	NN	house
shaped	VBN	shape
.	SENT	.
This	DT	this
becomes	VBZ	become
an	DT	an
isosceles	JJ	isosceles
triangle	NN	triangle
â	NP	<unknown>
again	RB	again
,	,	,
very	RB	very
shaky	JJ	shaky
.	SENT	.
This	DT	this
square	NN	square
might	MD	might
look	VB	look
very	RB	very
square	JJ	square
and	CC	and
prim	JJ	prim
.	SENT	.
Give	VB	give
it	PP	it
a	DT	a
little	JJ	little
push	NN	push
â	NP	<unknown>
this	DT	this
becomes	VBZ	become
a	DT	a
rhombus	NN	rhombus
.	SENT	.
It	PP	it
becomes	VBZ	become
kite-shaped	JJ	kite-shaped
.	SENT	.
But	CC	but
give	VB	give
a	DT	a
child	NN	child
a	DT	a
triangle	NN	triangle
,	,	,
he	PP	he
can	MD	can
'	''	'
t	NN	t
do	VBP	do
a	DT	a
thing	NN	thing
to	TO	to
it	PP	it
.	SENT	.
Why	WRB	why
use	NN	use
triangles	NNS	triangle
?	SENT	?
Because	IN	because
triangles	NNS	triangle
are	VBP	be
the	DT	the
only	JJ	only
rigid	JJ	rigid
structures	NNS	structure
.	SENT	.
We	PP	we
can	MD	can
'	''	'
t	NN	t
make	VB	make
a	DT	a
bridge	NN	bridge
with	IN	with
squares	NNS	square
because	IN	because
the	DT	the
train	NN	train
would	MD	would
come	VB	come
,	,	,
it	PP	it
would	MD	would
start	VB	start
doing	VBG	do
a	DT	a
jig	NN	jig
.	SENT	.
Ordinary	JJ	ordinary
people	NNS	people
know	VBP	know
about	IN	about
this	DT	this
because	IN	because
if	IN	if
you	PP	you
go	VBP	go
to	TO	to
a	DT	a
village	NN	village
in	IN	in
India	NP	India
,	,	,
they	PP	they
might	MD	might
not	RB	not
have	VB	have
gone	VBN	go
to	TO	to
engineering	NN	engineering
college	NN	college
,	,	,
but	CC	but
no	DT	no
one	CD	one
makes	VBZ	make
a	DT	a
roof	NN	roof
placed	VBN	place
like	IN	like
this	DT	this
.	SENT	.
Because	IN	because
if	IN	if
they	PP	they
put	VBD	put
tiles	NNS	tile
on	IN	on
top	NN	top
,	,	,
it	PP	it
'	POS	'
s	NN	S
just	RB	just
going	VBG	go
to	TO	to
crash	NN	crash
.	SENT	.
They	PP	they
always	RB	always
make	VBP	make
a	DT	a
triangular	JJ	triangular
roof	NN	roof
.	SENT	.
Now	RB	now
this	DT	this
is	VBZ	be
people	NNS	people
science	NN	science
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
were	VBD	be
to	TO	to
just	RB	just
poke	VB	poke
a	DT	a
hole	NN	hole
over	IN	over
here	RB	here
and	CC	and
put	VB	put
a	DT	a
third	JJ	third
matchstick	NN	matchstick
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
get	VBP	get
a	DT	a
T	NN	T
joint	NN	joint
.	SENT	.
And	CC	and
if	IN	if
I	PP	I
were	VBD	be
to	TO	to
poke	VB	poke
all	PDT	all
the	DT	the
three	CD	three
legs	NNS	leg
of	IN	of
this	DT	this
in	IN	in
the	DT	the
three	CD	three
vertices	NN	vertices
of	IN	of
this	DT	this
triangle	NN	triangle
,	,	,
I	PP	I
would	MD	would
make	VB	make
a	DT	a
tetrahedron	NN	tetrahedron
.	SENT	.
So	RB	so
you	PP	you
make	VBP	make
all	PDT	all
these	DT	these
3D	JJ	3D
shapes	NNS	shape
.	SENT	.
You	PP	you
make	VBP	make
a	DT	a
tetrahedron	NN	tetrahedron
like	IN	like
this	DT	this
.	SENT	.
And	CC	and
once	RB	once
you	PP	you
make	VBP	make
these	DT	these
,	,	,
you	PP	you
make	VBP	make
a	DT	a
little	JJ	little
house	NN	house
.	SENT	.
Put	VB	put
this	DT	this
on	RB	on
top	JJ	top
.	SENT	.
You	PP	you
can	MD	can
make	VB	make
a	DT	a
joint	NN	joint
of	IN	of
four	CD	four
.	SENT	.
You	PP	you
can	MD	can
make	VB	make
a	DT	a
joint	NN	joint
of	IN	of
six	CD	six
.	SENT	.
You	PP	you
just	RB	just
need	VBP	need
a	DT	a
ton	NN	ton
.	SENT	.
Now	RB	now
this	DT	this
was	VBD	be
â	NP	<unknown>
you	PP	you
make	VBP	make
a	DT	a
joint	NN	joint
of	IN	of
six	CD	six
,	,	,
you	PP	you
make	VBP	make
an	DT	an
icosahedron	NN	icosahedron
.	SENT	.
You	PP	you
can	MD	can
play	VB	play
around	RP	around
with	IN	with
it	PP	it
.	SENT	.
This	DT	this
makes	VBZ	make
an	DT	an
igloo	NN	igloo
.	SENT	.
Now	RB	now
this	DT	this
is	VBZ	be
in	IN	in
1978	CD	@card@
.	SENT	.
I	PP	I
was	VBD	be
a	DT	a
24-year-old	JJ	24-year-old
young	JJ	young
engineer	NN	engineer
.	SENT	.
And	CC	and
I	PP	I
thought	VBD	think
this	DT	this
was	VBD	be
so	RB	so
much	RB	much
better	RBR	well
than	IN	than
making	VBG	make
trucks	NNS	truck
.	SENT	.
If	IN	if
you	PP	you
,	,	,
as	IN	as
a	DT	a
matter	NN	matter
of	IN	of
fact	NN	fact
,	,	,
put	VBD	put
four	CD	four
marbles	NNS	marble
inside	RB	inside
,	,	,
you	PP	you
simulate	VBP	simulate
the	DT	the
molecular	JJ	molecular
structure	NN	structure
of	IN	of
methane	NN	methane
,	,	,
CH4	NP	<unknown>
.	SENT	.
Four	CD	four
atoms	NNS	atom
of	IN	of
hydrogen	NN	hydrogen
,	,	,
the	DT	the
four	CD	four
points	NNS	point
of	IN	of
the	DT	the
tetrahedron	NN	tetrahedron
,	,	,
which	WDT	which
means	VBZ	mean
the	DT	the
little	JJ	little
carbon	NN	carbon
atom	NN	atom
.	SENT	.
Well	RB	well
since	IN	since
then	RB	then
,	,	,
I	PP	I
just	RB	just
thought	VBD	think
that	IN	that
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
really	RB	really
privileged	JJ	privileged
to	TO	to
go	VB	go
to	TO	to
over	IN	over
2	CD	@card@
,	,	,
000	CD	@card@
schools	NNS	school
in	IN	in
my	PP$	my
country	NN	country
â	NP	<unknown>
village	NN	village
schools	NNS	school
,	,	,
government	NN	government
schools	NNS	school
,	,	,
municipal	JJ	municipal
schools	NNS	school
,	,	,
Ivy	NP	Ivy
League	NP	League
schools	NNS	school
â	NP	<unknown>
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
invited	VBN	invite
by	IN	by
most	JJS	most
of	IN	of
them	PP	them
.	SENT	.
And	CC	and
every	DT	every
time	NN	time
I	PP	I
go	VBP	go
to	TO	to
a	DT	a
school	NN	school
,	,	,
I	PP	I
see	VBP	see
a	DT	a
gleam	NN	gleam
in	IN	in
the	DT	the
eyes	NNS	eye
of	IN	of
the	DT	the
children	NNS	child
.	SENT	.
I	PP	I
see	VBP	see
hope	NN	hope
.	SENT	.
I	PP	I
see	VBP	see
happiness	NN	happiness
in	IN	in
their	PP$	their
faces	NNS	face
.	SENT	.
Children	NNS	child
want	VBP	want
to	TO	to
make	VB	make
things	NNS	thing
.	SENT	.
Children	NNS	child
want	VBP	want
to	TO	to
do	VB	do
things	NNS	thing
.	SENT	.
Now	RB	now
this	DT	this
,	,	,
we	PP	we
make	VBP	make
lots	NNS	lot
and	CC	and
lots	NNS	lot
of	IN	of
pumps	NNS	pump
.	SENT	.
Now	RB	now
this	DT	this
is	VBZ	be
a	DT	a
little	JJ	little
pump	NN	pump
with	IN	with
which	WDT	which
you	PP	you
could	MD	could
inflate	VB	inflate
a	DT	a
balloon	NN	balloon
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
real	JJ	real
pump	NN	pump
.	SENT	.
You	PP	you
could	MD	could
actually	RB	actually
pop	VB	pop
the	DT	the
balloon	NN	balloon
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
a	DT	a
slogan	NN	slogan
that	IN	that
the	DT	the
best	JJS	good
thing	NN	thing
a	DT	a
child	NN	child
can	MD	can
do	VB	do
with	IN	with
a	DT	a
toy	NN	toy
is	VBZ	be
to	TO	to
break	VB	break
it	PP	it
.	SENT	.
So	RB	so
all	RB	all
you	PP	you
do	VBP	do
is	VBZ	be
â	NP	<unknown>
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	JJ	very
kind	NN	kind
of	IN	of
provocative	JJ	provocative
statement	NN	statement
â	NP	<unknown>
this	DT	this
old	JJ	old
bicycle	NN	bicycle
tube	NN	tube
and	CC	and
this	DT	this
old	JJ	old
plastic	NN	plastic
[	SYM	[
unclear	JJ	unclear
]	SYM	]
This	DT	this
filling	VBG	fill
cap	NN	cap
will	MD	will
go	VB	go
very	RB	very
snugly	RB	snugly
into	IN	into
an	DT	an
old	JJ	old
bicycle	NN	bicycle
tube	NN	tube
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
how	WRB	how
you	PP	you
make	VBP	make
a	DT	a
valve	NN	valve
.	SENT	.
You	PP	you
put	VBD	put
a	DT	a
little	JJ	little
sticky	JJ	sticky
tape	NN	tape
.	SENT	.
This	DT	this
is	VBZ	be
one-way	JJ	one-way
traffic	NN	traffic
.	SENT	.
Well	RB	well
we	PP	we
make	VBP	make
lots	NNS	lot
and	CC	and
lots	NNS	lot
of	IN	of
pumps	NNS	pump
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
other	JJ	other
one	CD	one
â	NP	<unknown>
that	IN	that
you	PP	you
just	RB	just
take	VBP	take
a	DT	a
straw	NN	straw
,	,	,
and	CC	and
you	PP	you
just	RB	just
put	VBD	put
a	DT	a
stick	NN	stick
inside	RB	inside
and	CC	and
you	PP	you
make	VBP	make
two	CD	two
half-cuts	NNS	<unknown>
.	SENT	.
Now	RB	now
this	DT	this
is	VBZ	be
what	WP	what
you	PP	you
do	VBP	do
,	,	,
is	VBZ	be
you	PP	you
bend	VBP	bend
both	CC	both
these	DT	these
legs	NNS	leg
into	IN	into
a	DT	a
triangle	NN	triangle
,	,	,
and	CC	and
you	PP	you
just	RB	just
wrap	VB	wrap
some	DT	some
tape	NN	tape
around	RB	around
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
pump	NN	pump
.	SENT	.
And	CC	and
now	RB	now
,	,	,
if	IN	if
you	PP	you
have	VBP	have
this	DT	this
pump	NN	pump
,	,	,
it	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
great	JJ	great
,	,	,
great	JJ	great
sprinkler	NN	sprinkler
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
centrifuge	NN	centrifuge
.	SENT	.
If	IN	if
you	PP	you
spin	VB	spin
something	NN	something
,	,	,
it	PP	it
tends	VBZ	tend
to	TO	to
fly	VB	fly
out	RP	out
.	SENT	.
Well	RB	well
in	IN	in
terms	NNS	term
of	IN	of
â	NP	<unknown>
if	IN	if
you	PP	you
were	VBD	be
in	IN	in
Andhra	NP	Andhra
Pradesh	NP	Pradesh
,	,	,
you	PP	you
would	MD	would
make	VB	make
this	DT	this
with	IN	with
the	DT	the
palmyra	NN	palmyra
leaf	NN	leaf
.	SENT	.
Many	JJ	many
of	IN	of
our	PP$	our
folk	NN	folk
toys	NNS	toy
have	VBP	have
great	JJ	great
science	NN	science
principles	NNS	principle
.	SENT	.
If	IN	if
you	PP	you
spin-top	JJ	<unknown>
something	NN	something
,	,	,
it	PP	it
tends	VBZ	tend
to	TO	to
fly	VB	fly
out	RP	out
.	SENT	.
If	IN	if
I	PP	I
do	VBP	do
it	PP	it
with	IN	with
both	DT	both
hands	NNS	hand
,	,	,
you	PP	you
can	MD	can
see	VB	see
this	DT	this
fun	NN	fun
Mr	NN	Mr
.	SENT	.
Flying	NP	Flying
Man	NP	Man
.	SENT	.
Right	RB	right
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
toy	NN	toy
which	WDT	which
is	VBZ	be
made	VBN	make
from	IN	from
paper	NN	paper
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
amazing	JJ	amazing
.	SENT	.
There	EX	there
are	VBP	be
four	CD	four
pictures	NNS	picture
.	SENT	.
You	PP	you
see	VBP	see
insects	NNS	insect
,	,	,
you	PP	you
see	VBP	see
frogs	NNS	frog
,	,	,
snakes	NNS	snake
,	,	,
eagles	NNS	eagle
,	,	,
butterflies	NNS	butterfly
,	,	,
frogs	NNS	frog
,	,	,
snakes	NNS	snake
,	,	,
eagles	NNS	eagle
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
paper	NN	paper
which	WDT	which
you	PP	you
could	MD	could
[	SYM	[
unclear	JJ	unclear
]	SYM	]
â	NP	<unknown>
designed	VBN	design
by	IN	by
a	DT	a
mathematician	NN	mathematician
at	IN	at
Harvard	NP	Harvard
in	IN	in
1928	CD	@card@
,	,	,
Arthur	NP	Arthur
Stone	NP	Stone
,	,	,
documented	VBN	document
by	IN	by
Martin	NP	Martin
Gardner	NP	Gardner
in	IN	in
many	JJ	many
of	IN	of
his	PP$	his
many	JJ	many
books	NNS	book
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
great	JJ	great
fun	NN	fun
for	IN	for
children	NNS	child
.	SENT	.
They	PP	they
all	DT	all
study	NN	study
about	IN	about
the	DT	the
food	NN	food
chain	NN	chain
.	SENT	.
The	DT	the
insects	NNS	insect
are	VBP	be
eaten	VBN	eat
by	IN	by
the	DT	the
frogs	NNS	frog
;	:	;
the	DT	the
frogs	NNS	frog
are	VBP	be
eaten	VBN	eat
by	IN	by
the	DT	the
snakes	NNS	snake
;	:	;
the	DT	the
snakes	NNS	snake
are	VBP	be
eaten	VBN	eat
by	IN	by
the	DT	the
eagles	NNS	eagle
.	SENT	.
And	CC	and
this	DT	this
can	MD	can
be	VB	be
,	,	,
if	IN	if
you	PP	you
had	VBD	have
a	DT	a
whole	JJ	whole
photocopy	NN	photocopy
paper	NN	paper
â	NP	<unknown>
A4	JJ	A4
size	NN	size
paper	NN	paper
â	NP	<unknown>
you	PP	you
could	MD	could
be	VB	be
in	IN	in
a	DT	a
municipal	JJ	municipal
school	NN	school
,	,	,
you	PP	you
could	MD	could
be	VB	be
in	IN	in
a	DT	a
government	NN	government
school	NN	school
â	NP	<unknown>
a	DT	a
paper	NN	paper
,	,	,
a	DT	a
scale	NN	scale
and	CC	and
a	DT	a
pencil	NN	pencil
â	NP	<unknown>
no	DT	no
glue	NN	glue
,	,	,
no	DT	no
scissors	NN	scissors
.	SENT	.
In	IN	in
three	CD	three
minutes	NNS	minute
,	,	,
you	PP	you
just	RB	just
fold	VBP	fold
this	DT	this
up	RB	up
.	SENT	.
And	CC	and
what	WP	what
you	PP	you
could	MD	could
use	VB	use
it	PP	it
for	IN	for
is	VBZ	be
just	RB	just
limited	JJ	limited
by	IN	by
your	PP$	your
imagination	NN	imagination
.	SENT	.
If	IN	if
you	PP	you
take	VBP	take
a	DT	a
smaller	JJR	small
paper	NN	paper
,	,	,
you	PP	you
make	VBP	make
a	DT	a
smaller	JJR	small
flexagon	NN	<unknown>
.	SENT	.
With	IN	with
a	DT	a
bigger	JJR	big
one	CD	one
,	,	,
you	PP	you
make	VBP	make
a	DT	a
bigger	JJR	big
one	CD	one
.	SENT	.
Now	RB	now
this	DT	this
is	VBZ	be
a	DT	a
pencil	NN	pencil
with	IN	with
a	DT	a
few	JJ	few
slots	NNS	slot
over	IN	over
here	RB	here
.	SENT	.
And	CC	and
you	PP	you
put	VBD	put
a	DT	a
little	JJ	little
fan	NN	fan
here	RB	here
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
hundred-year-old	JJ	hundred-year-old
toy	NN	toy
.	SENT	.
There	EX	there
have	VBP	have
been	VBN	be
six	CD	six
major	JJ	major
research	NN	research
papers	NNS	paper
on	IN	on
this	DT	this
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
some	DT	some
grooves	NNS	groove
over	IN	over
here	RB	here
,	,	,
you	PP	you
can	MD	can
see	VB	see
.	SENT	.
And	CC	and
if	IN	if
I	PP	I
take	VBP	take
a	DT	a
reed	NN	reed
â	NP	<unknown>
if	IN	if
I	PP	I
rub	VBP	rub
this	DT	this
,	,	,
something	RB	something
very	RB	very
amazing	JJ	amazing
happens	VBZ	happen
.	SENT	.
Six	CD	six
major	JJ	major
research	NN	research
papers	NNS	paper
on	IN	on
this	DT	this
.	SENT	.
As	IN	as
a	DT	a
matter	NN	matter
of	IN	of
fact	NN	fact
,	,	,
Feynman	NP	Feynman
,	,	,
as	IN	as
a	DT	a
child	NN	child
,	,	,
was	VBD	be
very	RB	very
fascinated	VBN	fascinate
by	IN	by
this	DT	this
.	SENT	.
He	PP	he
wrote	VBD	write
a	DT	a
paper	NN	paper
on	IN	on
this	DT	this
.	SENT	.
And	CC	and
you	PP	you
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
the	DT	the
three	CD	three
billion-dollar	JJ	billion-dollar
Hadron	NN	hadron
Collider	NN	Collider
for	IN	for
doing	VBG	do
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
there	RB	there
for	IN	for
every	DT	every
child	NN	child
,	,	,
and	CC	and
every	DT	every
child	NN	child
can	MD	can
