People	NNS	people
for	IN	for
Olivia	NP	Olivia
Benson	NP	Benson
.	SENT	.
I	PP	I
realized	VBD	realize
something	NN	something
.	SENT	.
I	PP	I
needed	VBD	need
to	TO	to
get	VB	get
the	DT	the
evidence	NN	evidence
of	IN	of
what	WP	what
was	VBD	be
happening	VBG	happen
to	TO	to
me	PP	me
.	SENT	.
So	RB	so
I	PP	I
took	VBD	take
a	DT	a
recorder	NN	recorder
and	CC	and
I	PP	I
took	VBD	take
some	DT	some
tape	NN	tape
and	CC	and
I	PP	I
taped	VBD	tape
that	DT	that
recorder	NN	recorder
to	TO	to
my	PP$	my
chest	NN	chest
and	CC	and
I	PP	I
got	VBD	get
the	DT	the
evidence	NN	evidence
that	IN	that
I	PP	I
needed	VBD	need
to	TO	to
get	VB	get
back	RB	back
into	IN	into
the	DT	the
foster	JJ	foster
care	NN	care
system	NN	system
.	SENT	.
Even	RB	even
without	IN	without
abuse	NN	abuse
,	,	,
foster	JJ	foster
care	NN	care
is	VBZ	be
a	DT	a
tough	JJ	tough
experience	NN	experience
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
'	POS	'
s	NN	S
actually	RB	actually
going	VBG	go
to	TO	to
happen	VB	happen
to	TO	to
you	PP	you
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
placed	VBD	place
with	IN	with
a	DT	a
stranger	NN	stranger
and	CC	and
you	PP	you
'	POS	'
re	NN	re
expected	VBD	expect
to	TO	to
become	VB	become
family	NN	family
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
fit	NN	fit
in	IN	in
,	,	,
if	IN	if
you	PP	you
act	VBP	act
up	RP	up
a	DT	a
little	JJ	little
bit	NN	bit
too	RB	too
much	RB	much
,	,	,
you	PP	you
will	MD	will
find	VB	find
yourself	PP	yourself
in	IN	in
a	DT	a
new	JJ	new
home	NN	home
with	IN	with
new	JJ	new
school	NN	school
,	,	,
new	JJ	new
rules	NNS	rule
,	,	,
new	JJ	new
everything	NN	everything
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
placed	VBN	place
back	RB	back
in	IN	in
foster	JJ	foster
care	NN	care
at	IN	at
15	CD	@card@
,	,	,
I	PP	I
thought	VBD	think
that	IN	that
that	DT	that
was	VBD	be
the	DT	the
end	NN	end
of	IN	of
my	PP$	my
storm	NN	storm
.	SENT	.
But	CC	but
it	PP	it
was	VBD	be
just	RB	just
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
next	JJ	next
storm	NN	storm
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
go	VBP	go
back	RB	back
home	NN	home
,	,	,
went	VBD	go
to	TO	to
a	DT	a
few	JJ	few
different	JJ	different
homes	NNS	home
,	,	,
but	CC	but
unlike	IN	unlike
many	JJ	many
,	,	,
I	PP	I
was	VBD	be
placed	VBN	place
in	IN	in
a	DT	a
non-profit	JJ	non-profit
program	NN	program
where	WRB	where
I	PP	I
got	VBD	get
ready	JJ	ready
to	TO	to
live	VB	live
on	IN	on
my	PP$	my
own	JJ	own
.	SENT	.
The	DT	the
foster	JJ	foster
care	NN	care
system	NN	system
is	VBZ	be
not	RB	not
doing	VBG	do
a	DT	a
good	JJ	good
job	NN	job
of	IN	of
raising	VBG	raise
children	NNS	child
.	SENT	.
Unsupported	JJ	unsupported
foster	JJ	foster
youth	NN	youth
are	VBP	be
two	CD	two
to	TO	to
three	CD	three
times	NNS	time
more	RBR	more
likely	JJ	likely
to	TO	to
have	VB	have
negative	JJ	negative
outcomes	NNS	outcome
related	VBN	relate
to	TO	to
homelessness	NN	homelessness
,	,	,
incarceration	NN	incarceration
,	,	,
being	VBG	be
sexually	RB	sexually
trafficked	VBN	traffic
.	SENT	.
The	DT	the
mental	JJ	mental
toll	NN	toll
is	VBZ	be
severe	JJ	severe
.	SENT	.
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
think	VB	think
about	IN	about
war	NN	war
veterans	NNS	veteran
.	SENT	.
Foster	JJ	foster
youth	NN	youth
are	VBP	be
two	CD	two
times	NNS	time
more	RBR	more
likely	JJ	likely
than	IN	than
war	NN	war
veterans	NNS	veteran
to	TO	to
experience	VB	experience
and	CC	and
suffer	VB	suffer
from	IN	from
PTSD	NN	<unknown>
.	SENT	.
This	DT	this
is	VBZ	be
why	WRB	why
I	PP	I
started	VBD	start
Think	VB	think
of	IN	of
Us	PP	us
,	,	,
because	IN	because
this	DT	this
is	VBZ	be
the	DT	the
current	JJ	current
result	NN	result
of	IN	of
the	DT	the
foster	JJ	foster
care	NN	care
system	NN	system
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
designed	VBD	design
wrong	JJ	wrong
.	SENT	.
So	RB	so
we	PP	we
approach	VBP	approach
problems	NNS	problem
differently	RB	differently
.	SENT	.
We	PP	we
actually	RB	actually
engage	VBP	engage
those	DT	those
who	WP	who
are	VBP	be
impacted	VBN	impact
.	SENT	.
We	PP	we
ask	VBP	ask
questions	NNS	question
,	,	,
we	PP	we
listen	VBP	listen
.	SENT	.
We	PP	we
take	VBP	take
the	DT	the
collective	JJ	collective
experience	NN	experience
of	IN	of
thousands	NNS	thousand
of	IN	of
people	NNS	people
who	WP	who
are	VBP	be
impacted	VBN	impact
and	CC	and
turn	VBP	turn
that	IN	that
into	IN	into
data	NNS	datum
and	CC	and
insights	NNS	insight
that	IN	that
then	RB	then
we	PP	we
know	VBP	know
what	WP	what
are	VBP	be
the	DT	the
most	RBS	most
broken	VBN	break
pieces	NNS	piece
of	IN	of
the	DT	the
system	NN	system
and	CC	and
where	WRB	where
we	PP	we
can	MD	can
start	VB	start
to	TO	to
redesign	VB	redesign
it	PP	it
.	SENT	.
We	PP	we
work	VBP	work
with	IN	with
leaders	NNS	leader
across	IN	across
the	DT	the
entire	JJ	entire
sector	NN	sector
,	,	,
people	NNS	people
with	IN	with
lived	VBN	live
experience	NN	experience
,	,	,
to	TO	to
co-design	JJ	<unknown>
new	JJ	new
solutions	NNS	solution
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
do	VBP	do
whatever	WDT	whatever
it	PP	it
takes	VBZ	take
to	TO	to
implement	VB	implement
those	DT	those
solutions	NNS	solution
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
give	VB	give
you	PP	you
an	DT	an
example	NN	example
.	SENT	.
We	PP	we
overwhelmingly	RB	overwhelmingly
heard	VBD	hear
from	IN	from
teenage	JJ	teenage
foster	JJ	foster
youth	NN	youth
that	IN	that
they	PP	they
were	VBD	be
being	VBG	be
misplaced	VBN	misplace
in	IN	in
group	NN	group
homes	NNS	home
.	SENT	.
The	DT	the
system	NN	system
was	VBD	be
acting	VBG	act
like	IN	like
they	PP	they
have	VBP	have
nowhere	RB	nowhere
to	TO	to
place	VB	place
these	DT	these
children	NNS	child
.	SENT	.
Turned	VBN	turn
around	RP	around
,	,	,
we	PP	we
sent	VBD	send
our	PP$	our
researchers	NNS	researcher
out	RP	out
.	SENT	.
And	CC	and
what	WP	what
they	PP	they
were	VBD	be
able	JJ	able
to	TO	to
reveal	VB	reveal
was	VBD	be
that	IN	that
the	DT	the
majority	NN	majority
of	IN	of
those	DT	those
children	NNS	child
actually	RB	actually
had	VBD	have
extended	VBN	extend
family	NN	family
members	NNS	member
that	IN	that
they	PP	they
could	MD	could
have	VB	have
lived	VBN	live
with	IN	with
.	SENT	.
On	IN	on
top	NN	top
of	IN	of
that	DT	that
,	,	,
that	IN	that
they	PP	they
were	VBD	be
having	VBG	have
these	DT	these
very	RB	very
traumatic	JJ	traumatic
experiences	NNS	experience
.	SENT	.
We	PP	we
collected	VBD	collect
those	DT	those
voices	NNS	voice
and	CC	and
lifted	VBD	lift
them	PP	them
up	RP	up
.	SENT	.
The	DT	the
vibration	NN	vibration
of	IN	of
the	DT	the
truth	NN	truth
of	IN	of
what	WP	what
they	PP	they
shared	VBD	share
with	IN	with
us	PP	us
was	VBD	be
so	RB	so
strong	JJ	strong
that	IN	that
it	PP	it
helped	VBD	help
inform	JJ	inform
litigation	NN	litigation
brought	VBN	bring
on	IN	on
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
Department	NP	Department
of	IN	of
Justice	NP	Justice
,	,	,
the	DT	the
Civil	NP	Civil
Rights	NPS	Rights
Division	NP	Division
.	SENT	.
It	PP	it
helped	VBD	help
inform	VB	inform
an	DT	an
investigation	NN	investigation
into	IN	into
institutional	JJ	institutional
abuse	NN	abuse
by	IN	by
these	DT	these
for-profit	JJ	for-profit
group	NN	group
homes	NNS	home
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
Senate	NP	Senate
.	SENT	.
It	PP	it
helped	VBD	help
inform	VB	inform
an	DT	an
amicus	NN	amicus
brief	NN	brief
that	WDT	that
went	VBD	go
to	TO	to
the	DT	the
United	NP	United
States	NPS	States
Supreme	NP	Supreme
Court	NP	Court
.	SENT	.
That	DT	that
is	VBZ	be
the	DT	the
power	NN	power
of	IN	of
lived	VBN	live
experience	NN	experience
.	SENT	.
The	DT	the
key	NN	key
to	TO	to
transformation	NN	transformation
is	VBZ	be
lived	VBN	live
experience	NN	experience
.	SENT	.
For	IN	for
the	DT	the
past	JJ	past
eight	CD	eight
years	NNS	year
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
listened	VBD	listen
to	TO	to
thousands	NNS	thousand
of	IN	of
young	JJ	young
people	NNS	people
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
become	VBP	become
so	RB	so
clear	VB	clear
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
one	CD	one
key	JJ	key
thing	NN	thing
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
transform	VB	transform
.	SENT	.
And	CC	and
that	DT	that
is	VBZ	be
who	WP	who
children	NNS	child
in	IN	in
foster	JJ	foster
care	NN	care
get	VB	get
to	TO	to
live	VB	live
with	IN	with
.	SENT	.
Kin	NP	Kin
.	SENT	.
We	PP	we
believe	VBP	believe
that	IN	that
kin	NN	kin
can	MD	can
transform	VB	transform
the	DT	the
foster	JJ	foster
care	NN	care
experience	NN	experience
.	SENT	.
Kinship	NN	kinship
care	NN	care
is	VBZ	be
when	WRB	when
a	DT	a
child	NN	child
goes	VBZ	go
ahead	RB	ahead
and	CC	and
is	VBZ	be
able	JJ	able
to	TO	to
live	VB	live
with	IN	with
an	DT	an
extended	JJ	extended
family	NN	family
member	NN	member
or	CC	or
an	DT	an
adult	NN	adult
that	IN	that
they	PP	they
have	VBP	have
already	RB	already
known	VBN	know
,	,	,
an	DT	an
adult	NN	adult
who	WP	who
loves	VBZ	love
them	PP	them
.	SENT	.
That	DT	that
adult	NN	adult
can	MD	can
be	VB	be
a	DT	a
church	NN	church
member	NN	member
,	,	,
a	DT	a
close	JJ	close
family	NN	family
friend	NN	friend
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
now	RB	now
know	VBP	know
is	VBZ	be
that	IN	that
research	NN	research
is	VBZ	be
showing	VBG	show
that	IN	that
when	WRB	when
children	NNS	child
are	VBP	be
placed	VBN	place
with	IN	with
kin	NN	kin
,	,	,
they	PP	they
fare	VBP	fare
way	NN	way
better	RBR	well
,	,	,
from	IN	from
mental	JJ	mental
health	NN	health
,	,	,
to	TO	to
stability	NN	stability
,	,	,
to	TO	to
graduating	VBG	graduate
high	JJ	high
school	NN	school
on	IN	on
time	NN	time
.	SENT	.
And	CC	and
yet	RB	yet
only	RB	only
35	CD	@card@
percent	NN	percent
of	IN	of
young	JJ	young
people	NNS	people
in	IN	in
the	DT	the
foster	JJ	foster
care	NN	care
system	NN	system
are	VBP	be
actually	RB	actually
placed	VBN	place
with	IN	with
kin	NN	kin
.	SENT	.
But	CC	but
it	PP	it
doesn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
be	VB	be
this	DT	this
way	NN	way
.	SENT	.
In	IN	in
one	CD	one
state	NN	state
,	,	,
in	IN	in
partnership	NN	partnership
,	,	,
right	RB	right
,	,	,
we	PP	we
went	VBD	go
in	IN	in
and	CC	and
we	PP	we
implemented	VBD	implement
some	DT	some
simple	JJ	simple
solutions	NNS	solution
,	,	,
like	VBP	like
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
ask	VBP	ask
young	JJ	young
people	NNS	people
which	WDT	which
adults	NNS	adult
in	IN	in
their	PP$	their
family	NN	family
they	PP	they
should	MD	should
live	VB	live
with	IN	with
.	SENT	.
I	PP	I
wish	VBP	wish
I	PP	I
told	VBD	tell
you	PP	you
something	NN	something
better	RBR	well
.	SENT	.
That	DT	that
is	VBZ	be
one	CD	one
solution	NN	solution
.	SENT	.
We	PP	we
ask	VBP	ask
,	,	,
we	PP	we
went	VBD	go
ahead	RB	ahead
and	CC	and
like	VB	like
,	,	,
require	VB	require
social	JJ	social
workers	NNS	worker
to	TO	to
get	VB	get
extra	JJ	extra
approvals	NNS	approval
if	IN	if
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
place	VB	place
you	PP	you
outside	IN	outside
of	IN	of
kin	NN	kin
.	SENT	.
The	DT	the
result	NN	result
?	SENT	?
The	DT	the
initial	JJ	initial
placement	NN	placement
with	IN	with
young	JJ	young
people	NNS	people
in	IN	in
the	DT	the
foster	JJ	foster
care	NN	care
system	NN	system
in	IN	in
a	DT	a
situation	NN	situation
where	WRB	where
they	PP	they
were	VBD	be
living	VBG	live
with	IN	with
kin	NN	kin
,	,	,
rose	VBD	rise
from	IN	from
three	CD	three
percent	NN	percent
to	TO	to
over	RB	over
40	CD	@card@
percent	NN	percent
in	IN	in
just	RB	just
two	CD	two
years	NNS	year
.	SENT	.
In	IN	in
another	DT	another
state	NN	state
,	,	,
we	PP	we
looked	VBD	look
at	IN	at
a	DT	a
county	NN	county
,	,	,
we	PP	we
looked	VBD	look
at	IN	at
that	DT	that
state	NN	state
,	,	,
and	CC	and
in	IN	in
one	CD	one
county	NN	county
they	PP	they
were	VBD	be
able	JJ	able
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
place	VB	place
over	IN	over
80	CD	@card@
percent	NN	percent
of	IN	of
those	DT	those
children	NNS	child
with	IN	with
kin	NN	kin
.	SENT	.
So	IN	so
the	DT	the
idea	NN	idea
that	IN	that
young	JJ	young
people	NNS	people
don	NN	don
'	POS	'
t	NN	t
have	VBP	have
adults	NNS	adult
in	IN	in
their	PP$	their
life	NN	life
who	WP	who
can	MD	can
step	VB	step
up	RP	up
,	,	,
is	VBZ	be
not	RB	not
true	JJ	true
.	SENT	.
Here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
this	DT	this
shows	NNS	show
.	SENT	.
That	IN	that
when	WRB	when
the	DT	the
system	NN	system
believes	VBZ	believe
that	IN	that
children	NNS	child
should	MD	should
be	VB	be
raised	VBN	raise
in	IN	in
family	NN	family
,	,	,
guess	VBP	guess
what	WP	what
?	SENT	?
That	IN	that
the	DT	the
children	NNS	child
are	VBP	be
actually	RB	actually
raised	VBN	raise
in	IN	in
family	NN	family
.	SENT	.
For	IN	for
me	PP	me
,	,	,
I	PP	I
was	VBD	be
almost	RB	almost
30	CD	@card@
years	NNS	year
old	JJ	old
when	WRB	when
my	PP$	my
sister	NN	sister
called	VBD	call
me	PP	me
while	IN	while
I	PP	I
was	VBD	be
visiting	VBG	visit
New	NP	New
York	NP	York
City	NP	City
.	SENT	.
She	PP	she
told	VBD	tell
me	PP	me
that	IN	that
in	IN	in
just	RB	just
three	CD	three
hours	NNS	hour
that	IN	that
my	PP$	my
father	NN	father
'	POS	'
s	JJ	<unknown>
side	NN	side
of	IN	of
the	DT	the
family	NN	family
was	VBD	be
going	VBG	go
to	TO	to
be	VB	be
having	VBG	have
a	DT	a
family	NN	family
reunion	NN	reunion
.	SENT	.
They	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
I	PP	I
existed	VBD	exist
.	SENT	.
And	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
that	IN	that
they	PP	they
existed	VBD	exist
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
raced	VBD	race
over	RP	over
to	TO	to
Harlem	NP	Harlem
,	,	,
walked	VBD	walk
through	IN	through
that	DT	that
park	NN	park
,	,	,
looking	VBG	look
at	IN	at
every	DT	every
single	JJ	single
family	NN	family
,	,	,
wondering	VBG	wonder
which	WDT	which
one	PP	one
was	VBD	be
mine	JJ	mine
.	SENT	.
When	WRB	when
I	PP	I
finally	RB	finally
arrived	VBD	arrive
,	,	,
words	NNS	word
can	MD	can
'	''	'
t	NN	t
describe	VB	describe
that	DT	that
moment	NN	moment
.	SENT	.
They	PP	they
were	VBD	be
kind	NN	kind
.	SENT	.
They	PP	they
were	VBD	be
accepting	VBG	accept
.	SENT	.
They	PP	they
were	VBD	be
curious	JJ	curious
about	IN	about
who	WP	who
I	PP	I
was	VBD	be
.	SENT	.
And	CC	and
then	RB	then
about	RB	about
90	CD	@card@
minutes	NNS	minute
in	IN	in
,	,	,
everything	NN	everything
changed	VBD	change
.	SENT	.
I	PP	I
discovered	VBD	discover
that	IN	that
I	PP	I
had	VBD	have
four	CD	four
aunts	NNS	aunt
and	CC	and
uncles	NNS	uncle
who	WP	who
had	VBD	have
been	VBN	be
fostering	VBG	foster
longer	RBR	longer
than	IN	than
I	PP	I
had	VBD	have
been	VBN	be
alive	JJ	alive
.	SENT	.
In	IN	in
that	DT	that
moment	NN	moment
,	,	,
all	RB	all
I	PP	I
can	MD	can
do	VB	do
was	VBD	be
go	VB	go
into	IN	into
my	PP$	my
pocket	NN	pocket
,	,	,
pull	VB	pull
out	RP	out
my	PP$	my
phone	NN	phone
,	,	,
open	JJ	open
Google	NP	<unknown>
Maps	NNS	map
and	CC	and
GPS	NNS	<unknown>
to	TO	to
my	PP$	my
last	JJ	last
foster	JJ	foster
home	NN	home
.	SENT	.
Fifty-eight	NN	Fifty-eight
miles	NNS	mile
away	RB	away
.	SENT	.
My	PP$	my
whole	JJ	whole
life	NN	life
,	,	,
I	PP	I
was	VBD	be
always	RB	always
58	CD	@card@
miles	NNS	mile
and	CC	and
a	DT	a
couple	NN	couple
questions	NNS	question
away	RB	away
from	IN	from
being	VBG	be
raised	VBN	raise
by	IN	by
people	NNS	people
who	WP	who
could	MD	could
have	VB	have
loved	VBN	love
me	PP	me
,	,	,
by	IN	by
people	NNS	people
who	WP	who
could	MD	could
have	VB	have
been	VBN	be
my	PP$	my
family	NN	family
.	SENT	.
The	DT	the
worst	JJS	bad
part	NN	part
about	IN	about
this	DT	this
is	VBZ	be
that	IN	that
my	PP$	my
story	NN	story
is	VBZ	be
actually	RB	actually
not	RB	not
unique	JJ	unique
.	SENT	.
That	IN	that
every	DT	every
single	JJ	single
year	NN	year
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
children	NNS	child
are	VBP	be
entering	VBG	enter
the	DT	the
foster	JJ	foster
care	NN	care
system	NN	system
and	CC	and
they	PP	they
'	POS	'
re	NN	re
not	RB	not
being	VBG	be
placed	VBN	place
with	IN	with
family	NN	family
.	SENT	.
And	CC	and
again	RB	again
,	,	,
it	PP	it
actually	RB	actually
doesn	JJ	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
be	VB	be
this	DT	this
way	NN	way
.	SENT	.
The	DT	the
system	NN	system
spends	VBZ	spend
over	IN	over
30	CD	@card@
billion	NN	billion
dollars	NNS	dollar
on	IN	on
less	JJR	less
than	IN	than
one	CD	one
million	CD	million
families	NNS	family
a	DT	a
year	NN	year
.	SENT	.
That	DT	that
is	VBZ	be
more	JJR	more
than	IN	than
enough	RB	enough
to	TO	to
make	VB	make
sure	JJ	sure
we	PP	we
find	VBP	find
family	NN	family
,	,	,
we	PP	we
support	VBP	support
them	PP	them
,	,	,
and	CC	and
that	IN	that
every	DT	every
child	NN	child
is	VBZ	be
living	VBG	live
in	IN	in
a	DT	a
loving	JJ	loving
family	NN	family
situation	NN	situation
.	SENT	.
Right	RB	right
now	RB	now
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
big	JJ	big
systems	NNS	system
change	NN	change
opportunity	NN	opportunity
,	,	,
a	DT	a
federal	JJ	federal
decision	NN	decision
that	WDT	that
would	MD	would
make	VB	make
it	PP	it
super	JJ	super
easy	RB	easy
to	TO	to
have	VB	have
people	NNS	people
who	WP	who
are	VBP	be
related	VBN	relate
to	TO	to
a	DT	a
child	NN	child
step	VB	step
up	RP	up
and	CC	and
say	VB	say
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
willing	JJ	willing
to	TO	to
do	VB	do
this	DT	this
"	''	"
and	CC	and
get	VB	get
that	DT	that
support	NN	support
.	SENT	.
If	IN	if
approved	VBN	approve
,	,	,
we	PP	we
would	MD	would
see	VB	see
three	CD	three
billion	NN	billion
dollars	NNS	dollar
shift	VBP	shift
from	IN	from
traditional	JJ	traditional
foster	JJ	foster
care	NN	care
to	TO	to
kinship	NN	kinship
care	NN	care
.	SENT	.
So	RB	so
when	WRB	when
we	PP	we
work	VBP	work
on	IN	on
these	DT	these
crazy	JJ	crazy
ideas	NNS	idea
like	IN	like
"	``	"
let	VB	let
'	''	'
s	NNS	<unknown>
make	VBP	make
kinship	NN	kinship
care	NN	care
the	DT	the
norm	NN	norm
,	,	,
"	``	"
it	PP	it
is	VBZ	be
actually	RB	actually
possible	JJ	possible
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
leave	VB	leave
you	PP	you
with	IN	with
three	CD	three
things	NNS	thing
to	TO	to
think	VB	think
about	RB	about
.	SENT	.
Number	NN	number
one	CD	one
,	,	,
I	PP	I
came	VBD	come
on	IN	on
this	DT	this
stage	NN	stage
with	IN	with
,	,	,
like	VB	like
,	,	,
a	DT	a
very	RB	very
simple	JJ	simple
idea	NN	idea
.	SENT	.
Children	NNS	child
should	MD	should
be	VB	be
raised	VBN	raise
in	IN	in
family	NN	family
.	SENT	.
How	WRB	how
can	MD	can
we	PP	we
replace	VB	replace
the	DT	the
majority	NN	majority
of	IN	of
foster	JJ	foster
care	NN	care
with	IN	with
kinship	NN	kinship
care	NN	care
?	SENT	?
Number	NN	number
two	CD	two
.	SENT	.
How	WRB	how
do	VBP	do
we	PP	we
center	VBP	center
those	DT	those
who	WP	who
have	VBP	have
been	VBN	be
impacted	VBN	impact
,	,	,
those	DT	those
who	WP	who
have	VBP	have
lived	VBN	live
experience	NN	experience
,	,	,
in	IN	in
making	VBG	make
kinship	NN	kinship
care	NN	care
the	DT	the
new	JJ	new
norm	NN	norm
as	IN	as
we	PP	we
design	VB	design
it	PP	it
and	CC	and
implement	VB	implement
it	PP	it
?	SENT	?
And	CC	and
the	DT	the
last	JJ	last
part	NN	part
,	,	,
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
,	,	,
we	PP	we
need	VBP	need
some	DT	some
help	NN	help
.	SENT	.
We	PP	we
need	VBP	need
some	DT	some
allies	NNS	ally
.	SENT	.
We	PP	we
need	VBP	need
you	PP	you
to	TO	to
become	VB	become
advocates	NNS	advocate
with	IN	with
us	PP	us
.	SENT	.
And	CC	and
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
be	VB	be
a	DT	a
foster	JJ	foster
care	NN	care
expert	NN	expert
to	TO	to
know	VB	know
the	DT	the
power	NN	power
of	IN	of
family	NN	family
and	CC	and
to	TO	to
know	VB	know
that	IN	that
every	DT	every
child	NN	child
should	MD	should
be	VB	be
being	VBG	be
raised	VBN	raise
by	IN	by
family	NN	family
or	CC	or
someone	NN	someone
that	IN	that
they	PP	they
know	VBP	know
when	WRB	when
it	PP	it
'	POS	'
s	NNS	<unknown>
possible	JJ	possible
.	SENT	.
I	PP	I
will	MD	will
say	VB	say
this	DT	this
.	SENT	.
I	PP	I
truly	RB	truly
believe	VBP	believe
we	PP	we
'	''	'
re	NN	re
at	IN	at
this	DT	this
pivot	NN	pivot
point	NN	point
.	SENT	.
And	CC	and
then	RB	then
if	IN	if
we	PP	we
push	VBP	push
just	RB	just
a	DT	a
little	JJ	little
bit	NN	bit
harder	RBR	harder
in	IN	in
this	DT	this
very	JJ	very
moment	NN	moment
,	,	,
that	WDT	that
we	PP	we
can	MD	can
actually	RB	actually
live	VB	live
in	IN	in
a	DT	a
new	JJ	new
reality	NN	reality
where	WRB	where
when	WRB	when
children	NNS	child
have	VBP	have
to	TO	to
come	VB	come
into	IN	into
the	DT	the
foster	JJ	foster
care	NN	care
system	NN	system
,	,	,
that	IN	that
the	DT	the
first	JJ	first
thing	NN	thing
that	WDT	that
is	VBZ	be
looked	VBN	look
at	IN	at
is	VBZ	be
extended	JJ	extended
family	NN	family
,	,	,
it	PP	it
'	POS	'
s	NN	S
people	NNS	people
that	WDT	that
they	PP	they
know	VBP	know
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
are	VBP	be
able	JJ	able
to	TO	to
achieve	VB	achieve
that	IN	that
,	,	,
we	PP	we
will	MD	will
literally	RB	literally
be	VB	be
able	JJ	able
to	TO	to
ensure	VB	ensure
that	IN	that
millions	NNS	million
of	IN	of
children	NNS	child
will	MD	will
come	VB	come
off	RP	off
of	IN	of
that	DT	that
school	NN	school
bus	NN	bus
,	,	,
go	VBP	go
into	IN	into
their	PP$	their
homes	NNS	home
,	,	,
look	VBP	look
at	IN	at
family	NN	family
members	NNS	member
,	,	,
people	NNS	people
that	WDT	that
they	PP	they
know	VBP	know
,	,	,
