Can	MD	can
.	SENT	.
We	PP	we
all	RB	all
know	VBP	know
how	WRB	how
hard	JJ	hard
it	PP	it
is	VBZ	be
to	TO	to
admit	VB	admit
weakness	NN	weakness
and	CC	and
failure	NN	failure
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
frightening	JJ	frightening
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
it	PP	it
?	SENT	?
But	CC	but
all	PDT	all
that	DT	that
belief	NN	belief
had	VBD	have
fueled	VBN	fuel
me	PP	me
so	RB	so
long	RB	long
.	SENT	.
And	CC	and
can	MD	can
I	PP	I
tell	VB	tell
you	PP	you
,	,	,
operating	VBG	operate
in	IN	in
the	DT	the
sighted	JJ	sighted
world	NN	world
when	WRB	when
you	PP	you
can	MD	can
'	''	'
t	NN	t
see	VBP	see
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
difficult	JJ	difficult
—	:	-
it	PP	it
really	RB	really
is	VBZ	be
.	SENT	.
Can	MD	can
I	PP	I
tell	VB	tell
you	PP	you
,	,	,
airports	NNS	airport
are	VBP	be
a	DT	a
disaster	NN	disaster
.	SENT	.
Oh	UH	oh
,	,	,
for	IN	for
the	DT	the
love	NN	love
of	IN	of
God	NP	God
.	SENT	.
And	CC	and
please	UH	please
,	,	,
any	DT	any
designers	NNS	designer
out	RP	out
there	RB	there
?	SENT	?
OK	UH	OK
,	,	,
designers	NNS	designer
,	,	,
please	VB	please
put	VB	put
up	RP	up
your	PP$	your
hands	NNS	hand
,	,	,
even	RB	even
though	IN	though
I	PP	I
can	MD	can
'	''	'
t	NN	t
even	RB	even
see	VB	see
you	PP	you
.	SENT	.
I	PP	I
always	RB	always
end	VB	end
up	RP	up
in	IN	in
the	DT	the
gents	NNS	gent
'	POS	'
toilets	NNS	toilet
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NN	S
nothing	NN	nothing
wrong	JJ	wrong
with	IN	with
my	PP$	my
sense	NN	sense
of	IN	of
smell	NN	smell
.	SENT	.
But	CC	but
can	MD	can
I	PP	I
just	RB	just
tell	VBP	tell
you	PP	you
,	,	,
the	DT	the
little	JJ	little
sign	NN	sign
for	IN	for
a	DT	a
gents	NN	gents
'	POS	'
toilet	NN	toilet
or	CC	or
a	DT	a
ladies	NNS	lady
'	POS	'
toilet	NN	toilet
is	VBZ	be
determined	VBN	determine
by	IN	by
a	DT	a
triangle	NN	triangle
.	SENT	.
Have	VBP	have
you	PP	you
ever	RB	ever
tried	VBD	try
to	TO	to
see	VB	see
that	IN	that
if	IN	if
you	PP	you
have	VBP	have
Vaseline	NN	vaseline
in	IN	in
front	NN	front
of	IN	of
your	PP$	your
eyes	NNS	eye
?	SENT	?
It	PP	it
'	POS	'
s	VBG	<unknown>
such	PDT	such
a	DT	a
small	JJ	small
thing	NN	thing
,	,	,
right	RB	right
?	SENT	?
And	CC	and
you	PP	you
know	VBP	know
how	WRB	how
exhausting	JJ	exhausting
it	PP	it
can	MD	can
be	VB	be
to	TO	to
try	VB	try
to	TO	to
be	VB	be
perfect	JJ	perfect
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
not	RB	not
,	,	,
or	CC	or
to	TO	to
be	VB	be
somebody	NN	somebody
that	IN	that
you	PP	you
aren	NNS	<unknown>
'	POS	'
t	NN	t
?	SENT	?
And	CC	and
so	RB	so
after	IN	after
admitting	VBG	admit
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
see	VB	see
to	TO	to
HR	NP	HR
,	,	,
they	PP	they
sent	VBD	send
me	PP	me
off	RP	off
to	TO	to
an	DT	an
eye	NN	eye
specialist	NN	specialist
.	SENT	.
And	CC	and
I	PP	I
had	VBD	have
no	DT	no
idea	NN	idea
that	IN	that
this	DT	this
man	NN	man
was	VBD	be
going	VBG	go
to	TO	to
change	VB	change
my	PP$	my
life	NN	life
.	SENT	.
But	CC	but
before	IN	before
I	PP	I
got	VBD	get
to	TO	to
him	PP	him
,	,	,
I	PP	I
was	VBD	be
so	RB	so
lost	VBN	lose
.	SENT	.
I	PP	I
had	VBD	have
no	DT	no
idea	NN	idea
who	WP	who
I	PP	I
was	VBD	be
anymore	RB	anymore
.	SENT	.
And	CC	and
that	DT	that
eye	NN	eye
specialist	NN	specialist
,	,	,
he	PP	he
didn	NNS	<unknown>
'	POS	'
t	NN	t
bother	NN	bother
testing	VBG	test
my	PP$	my
eyes	NNS	eye
.	SENT	.
God	NP	God
no	RB	no
,	,	,
it	PP	it
was	VBD	be
therapy	NN	therapy
.	SENT	.
And	CC	and
he	PP	he
asked	VBD	ask
me	PP	me
several	JJ	several
questions	NNS	question
,	,	,
of	IN	of
which	WDT	which
many	JJ	many
were	VBD	be
,	,	,
"	''	"
Why	WRB	why
?	SENT	?
Why	WRB	why
are	VBP	be
you	PP	you
fighting	VBG	fight
so	RB	so
hard	JJ	hard
not	RB	not
to	TO	to
be	VB	be
yourself	PP	yourself
?	SENT	?
And	CC	and
do	VBP	do
you	PP	you
love	VBP	love
what	WP	what
you	PP	you
do	VBP	do
,	,	,
Caroline	NP	Caroline
?	SENT	?
"	``	"
And	CC	and
you	PP	you
know	VBP	know
,	,	,
when	WRB	when
you	PP	you
go	VBP	go
to	TO	to
a	DT	a
global	JJ	global
consulting	NN	consulting
firm	NN	firm
,	,	,
they	PP	they
put	VBD	put
a	DT	a
chip	NN	chip
in	IN	in
your	PP$	your
head	NN	head
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
like	IN	like
,	,	,
"	``	"
I	PP	I
love	VBP	love
Accenture	NP	<unknown>
.	SENT	.
I	PP	I
love	VBP	love
Accenture	NP	<unknown>
.	SENT	.
I	PP	I
love	VBP	love
my	PP$	my
job	NN	job
.	SENT	.
I	PP	I
love	VBP	love
Accenture	NP	<unknown>
.	SENT	.
I	PP	I
love	VBP	love
Accenture	NP	<unknown>
.	SENT	.
I	PP	I
love	VBP	love
Accenture	NP	<unknown>
.	SENT	.
I	PP	I
love	VBP	love
my	PP$	my
job	NN	job
.	SENT	.
I	PP	I
love	VBP	love
Accenture	NP	<unknown>
.	SENT	.
"	``	"
To	TO	to
leave	VB	leave
would	MD	would
be	VB	be
failure	NN	failure
.	SENT	.
And	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
Do	VBP	do
you	PP	you
love	VBP	love
it	PP	it
?	SENT	?
"	``	"
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
even	RB	even
speak	VBP	speak
I	PP	I
was	VBD	be
so	RB	so
choked	VBN	choke
up	RP	up
.	SENT	.
I	PP	I
just	RB	just
was	VBD	be
so	RB	so
—	:	-
how	WRB	how
do	VBP	do
I	PP	I
tell	VB	tell
him	PP	him
?	SENT	?
And	CC	and
then	RB	then
he	PP	he
said	VBD	say
to	TO	to
me	PP	me
,	,	,
"	``	"
What	WP	what
did	VBD	do
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
when	WRB	when
you	PP	you
were	VBD	be
little	JJ	little
?	SENT	?
"	``	"
Now	RB	now
listen	VB	listen
,	,	,
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
going	VBG	go
to	TO	to
say	VB	say
to	TO	to
him	PP	him
,	,	,
"	``	"
Well	UH	well
,	,	,
I	PP	I
wanted	VBD	want
to	TO	to
race	NN	race
cars	NNS	car
and	CC	and
motorbikes	NNS	motorbike
.	SENT	.
"	``	"
Hardly	RB	hardly
appropriate	JJ	appropriate
at	IN	at
this	DT	this
moment	NN	moment
in	IN	in
time	NN	time
.	SENT	.
He	PP	he
thought	VBD	think
I	PP	I
was	VBD	be
mad	JJ	mad
enough	RB	enough
anyway	RB	anyway
.	SENT	.
