Human	JJ	human
in	IN	in
it	PP	it
by	IN	by
the	DT	the
successive	JJ	successive
application	NN	application
of	IN	of
very	RB	very
simple	JJ	simple
computational	JJ	computational
rules	NNS	rule
.	SENT	.
And	CC	and
remember	VB	remember
,	,	,
these	DT	these
dots	NNS	dot
are	VBP	be
not	RB	not
atoms	NNS	atom
in	IN	in
any	DT	any
existing	JJ	existing
space	NN	space
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
atoms	NNS	atom
of	IN	of
space	NN	space
that	WDT	that
get	VBP	get
put	VB	put
together	RB	together
to	TO	to
make	VB	make
space	NN	space
.	SENT	.
And	CC	and
yes	UH	yes
,	,	,
if	IN	if
we	PP	we
kept	VBD	keep
going	VBG	go
long	RB	long
enough	RB	enough
,	,	,
we	PP	we
could	MD	could
build	VB	build
our	PP$	our
whole	JJ	whole
universe	NN	universe
this	DT	this
way	NN	way
.	SENT	.
So	RB	so
eons	NNS	eon
later	RBR	later
,	,	,
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
chunk	NN	chunk
of	IN	of
space	NN	space
with	IN	with
two	CD	two
little	JJ	little
black	JJ	black
holes	NNS	hole
that	WDT	that
,	,	,
if	IN	if
we	PP	we
wait	VBP	wait
a	DT	a
little	JJ	little
while	NN	while
,	,	,
will	MD	will
eventually	RB	eventually
merge	VB	merge
,	,	,
generating	VBG	generate
little	JJ	little
ripples	NNS	ripple
of	IN	of
gravitational	JJ	gravitational
radiation	NN	radiation
.	SENT	.
And	CC	and
remember	VB	remember
,	,	,
all	RB	all
of	IN	of
this	DT	this
is	VBZ	be
built	VBN	build
from	IN	from
pure	JJ	pure
computation	NN	computation
.	SENT	.
But	CC	but
like	IN	like
fluid	JJ	fluid
mechanics	NNS	mechanic
emerging	VBG	emerge
from	IN	from
molecules	NNS	molecule
,	,	,
what	WP	what
emerges	VBZ	emerge
here	RB	here
is	VBZ	be
space-time	NN	space-time
and	CC	and
Einstein	NP	Einstein
'	POS	'
s	JJ	<unknown>
equations	NNS	equation
for	IN	for
gravity	NN	gravity
,	,	,
though	IN	though
there	EX	there
are	VBP	be
deviations	NNS	deviation
that	IN	that
we	PP	we
just	RB	just
might	MD	might
be	VB	be
able	JJ	able
to	TO	to
detect	VB	detect
,	,	,
like	IN	like
that	WDT	that
the	DT	the
dimensionality	NN	dimensionality
of	IN	of
space	NN	space
won	NN	won
'	POS	'
t	NN	t
always	RB	always
be	VB	be
precisely	RB	precisely
three	CD	three
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NN	S
something	NN	something
else	RB	else
.	SENT	.
Our	PP$	our
computational	JJ	computational
rules	NNS	rule
can	MD	can
inevitably	RB	inevitably
be	VB	be
applied	VBN	apply
in	IN	in
many	JJ	many
ways	NNS	way
,	,	,
each	DT	each
defining	VBG	define
a	DT	a
different	JJ	different
kind	NN	kind
of	IN	of
thread	NN	thread
of	IN	of
time	NN	time
,	,	,
a	DT	a
different	JJ	different
path	NN	path
of	IN	of
history	NN	history
that	WDT	that
can	MD	can
branch	VB	branch
and	CC	and
merge	VB	merge
.	SENT	.
But	CC	but
as	IN	as
observers	NNS	observer
embedded	VBN	embed
in	IN	in
this	DT	this
universe	NN	universe
,	,	,
we	PP	we
'	POS	'
re	NN	re
branching	VBG	branch
and	CC	and
merging	VBG	merge
,	,	,
too	RB	too
.	SENT	.
And	CC	and
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
quantum	NN	quantum
mechanics	NNS	mechanic
emerges	VBZ	emerge
as	IN	as
the	DT	the
story	NN	story
of	IN	of
how	WRB	how
branching	NN	branching
minds	NNS	mind
perceive	VBP	perceive
a	DT	a
branching	VBG	branch
universe	NN	universe
.	SENT	.
So	IN	so
the	DT	the
little	JJ	little
pink	JJ	pink
lines	NNS	line
you	PP	you
might	MD	might
be	VB	be
able	JJ	able
to	TO	to
see	VB	see
here	RB	here
show	VB	show
the	DT	the
structure	NN	structure
of	IN	of
what	WP	what
we	PP	we
call	VBP	call
branchial	JJ	branchial
space	NN	space
,	,	,
the	DT	the
space	NN	space
of	IN	of
quantum	NN	quantum
branches	NNS	branch
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
stunningly	RB	stunningly
beautiful	JJ	beautiful
things	NNS	thing
,	,	,
at	IN	at
least	JJS	least
for	IN	for
physicists	NNS	physicist
like	IN	like
me	PP	me
,	,	,
is	VBZ	be
that	IN	that
the	DT	the
same	JJ	same
phenomenon	NN	phenomenon
that	IN	that
in	IN	in
physical	JJ	physical
space	NN	space
gives	VBZ	give
us	PP	us
gravity	NN	gravity
,	,	,
in	IN	in
branchial	JJ	branchial
space	NN	space
gives	VBZ	give
us	PP	us
quantum	NN	quantum
mechanics	NNS	mechanic
.	SENT	.
So	RB	so
in	IN	in
the	DT	the
history	NN	history
of	IN	of
science	NN	science
so	RB	so
far	RB	far
,	,	,
I	PP	I
think	VBP	think
we	PP	we
can	MD	can
identify	VB	identify
sort	NN	sort
of	IN	of
four	CD	four
broad	JJ	broad
paradigms	NNS	paradigm
for	IN	for
making	VBG	make
models	NNS	model
of	IN	of
the	DT	the
world	NN	world
that	WDT	that
can	MD	can
be	VB	be
distinguished	VBN	distinguish
kind	RB	kind
of	IN	of
by	IN	by
how	WRB	how
they	PP	they
deal	VBP	deal
with	IN	with
time	NN	time
.	SENT	.
So	RB	so
in	IN	in
antiquity	NN	antiquity
and	CC	and
in	IN	in
plenty	NN	plenty
of	IN	of
areas	NNS	area
of	IN	of
science	NN	science
,	,	,
even	RB	even
today	NN	today
,	,	,
it	PP	it
'	POS	'
s	NN	S
all	RB	all
about	IN	about
kind	NN	kind
of	IN	of
,	,	,
what	WP	what
are	VBP	be
things	NNS	thing
made	VBN	make
of	IN	of
.	SENT	.
And	CC	and
time	NN	time
doesn	NN	<unknown>
'	POS	'
t	NN	t
really	RB	really
enter	VB	enter
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
1600s	NP	<unknown>
came	VBD	come
the	DT	the
idea	NN	idea
of	IN	of
modeling	VBG	model
things	NNS	thing
with	IN	with
mathematical	JJ	mathematical
formulas	NNS	formula
in	IN	in
which	WDT	which
time	NN	time
enters	VBZ	enter
,	,	,
but	CC	but
basically	RB	basically
just	RB	just
as	IN	as
a	DT	a
coordinate	JJ	coordinate
value	NN	value
.	SENT	.
Then	RB	then
in	IN	in
the	DT	the
1980s	NNS	1980s
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
something	NN	something
in	IN	in
which	WDT	which
I	PP	I
was	VBD	be
deeply	RB	deeply
involved	VBN	involve
,	,	,
came	VBD	come
the	DT	the
idea	NN	idea
of	IN	of
making	VBG	make
models	NNS	model
by	IN	by
starting	VBG	start
with	IN	with
simple	JJ	simple
computational	JJ	computational
rules	NNS	rule
and	CC	and
just	RB	just
letting	VBG	let
them	PP	them
run	VBP	run
.	SENT	.
So	RB	so
can	MD	can
one	PP	one
predict	VB	predict
what	WP	what
will	MD	will
happen	VB	happen
?	SENT	?
No	UH	no
.	SENT	.
There	EX	there
'	''	'
s	NNS	<unknown>
what	WP	what
I	PP	I
call	VBP	call
computational	JJ	computational
irreducibility	NN	irreducibility
,	,	,
in	IN	in
which	WDT	which
,	,	,
in	IN	in
effect	NN	effect
,	,	,
the	DT	the
passage	NN	passage
of	IN	of
time	NN	time
corresponds	VBZ	correspond
to	TO	to
an	DT	an
irreducible	JJ	irreducible
computation	NN	computation
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
run	VB	run
in	IN	in
order	NN	order
to	TO	to
work	VB	work
out	RP	out
how	WRB	how
it	PP	it
will	MD	will
turn	VB	turn
out	RP	out
.	SENT	.
But	CC	but
now	RB	now
there	EX	there
'	''	'
s	NN	S
kind	NN	kind
of	IN	of
something	NN	something
,	,	,
something	NN	something
even	RB	even
more	JJR	more
--	:	--
in	IN	in
our	PP$	our
physics	NN	physics
project	NN	project
,	,	,
there	EX	there
'	''	'
s	NN	S
things	NNS	thing
that	WDT	that
have	VBP	have
become	VBN	become
multi-computational	JJ	multi-computational
,	,	,
with	IN	with
many	JJ	many
threads	NNS	thread
of	IN	of
time	NN	time
that	WDT	that
can	MD	can
only	RB	only
be	VB	be
knitted	VBN	knit
together	RB	together
by	IN	by
an	DT	an
observer	NN	observer
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
a	DT	a
new	JJ	new
paradigm	NN	paradigm
that	WDT	that
actually	RB	actually
seems	VBZ	seem
to	TO	to
unlock	VB	unlock
things	NNS	thing
not	RB	not
only	RB	only
in	IN	in
fundamental	JJ	fundamental
physics	NNS	physic
,	,	,
but	CC	but
also	RB	also
in	IN	in
the	DT	the
foundations	NNS	foundation
of	IN	of
mathematics	NNS	mathematics
and	CC	and
computer	NN	computer
science	NN	science
,	,	,
and	CC	and
possibly	RB	possibly
in	IN	in
areas	NNS	area
like	IN	like
biology	NN	biology
and	CC	and
economics	NNS	economics
as	RB	as
well	RB	well
.	SENT	.
So	RB	so
I	PP	I
talked	VBD	talk
about	IN	about
building	VBG	build
up	RP	up
the	DT	the
universe	NN	universe
by	IN	by
repeatedly	RB	repeatedly
applying	VBG	apply
a	DT	a
computational	JJ	computational
rule	NN	rule
.	SENT	.
But	CC	but
how	WRB	how
is	VBZ	be
that	IN	that
rule	NN	rule
picked	VBD	pick
?	SENT	?
Well	RB	well
,	,	,
actually	RB	actually
it	PP	it
isn	NP	isn
'	POS	'
t	NN	t
,	,	,
because	IN	because
all	DT	all
possible	JJ	possible
rules	NNS	rule
are	VBP	be
used	VBN	use
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
building	VBG	build
up	RP	up
what	WP	what
I	PP	I
call	VBP	call
the	DT	the
ruliad	NN	<unknown>
,	,	,
the	DT	the
kind	NN	kind
of	IN	of
deeply	RB	deeply
abstract	JJ	abstract
but	CC	but
unique	JJ	unique
object	NN	object
that	WDT	that
is	VBZ	be
the	DT	the
entangled	JJ	entangled
limit	NN	limit
of	IN	of
all	DT	all
possible	JJ	possible
computational	JJ	computational
processes	NNS	process
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
tiny	JJ	tiny
fragment	NN	fragment
of	IN	of
it	PP	it
shown	VBN	show
in	IN	in
terms	NNS	term
of	IN	of
Turing	NP	Turing
machines	NNS	machine
.	SENT	.
So	IN	so
this	DT	this
ruliad	NN	<unknown>
is	VBZ	be
everything	NN	everything
.	SENT	.
And	CC	and
we	PP	we
as	RB	as
observers	NNS	observer
are	VBP	be
necessarily	RB	necessarily
part	NN	part
of	IN	of
it	PP	it
.	SENT	.
In	IN	in
the	DT	the
ruliad	NN	<unknown>
as	IN	as
a	DT	a
whole	NN	whole
,	,	,
in	IN	in
a	DT	a
sense	NN	sense
,	,	,
everything	NN	everything
computationally	RB	computationally
possible	JJ	possible
can	MD	can
happen	VB	happen
.	SENT	.
But	CC	but
observers	NNS	observer
like	VBP	like
us	PP	us
just	RB	just
sample	VBP	sample
specific	JJ	specific
slices	NNS	slice
of	IN	of
the	DT	the
ruliad	NN	<unknown>
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
two	CD	two
crucial	JJ	crucial
facts	NNS	fact
about	IN	about
us	PP	us
.	SENT	.
First	RB	first
,	,	,
we	PP	we
'	POS	'
re	NN	re
computationally	RB	computationally
bounded	VBD	bound
,	,	,
our	PP$	our
minds	NNS	mind
are	VBP	be
limited	VBN	limit
,	,	,
and	CC	and
second	JJ	second
,	,	,
we	PP	we
believe	VBP	believe
we	PP	we
'	''	'
re	IN	re
persistent	JJ	persistent
in	IN	in
time	NN	time
,	,	,
even	RB	even
though	IN	though
we	PP	we
'	POS	'
re	NN	re
made	VBD	make
of	IN	of
different	JJ	different
atoms	NNS	atom
of	IN	of
space	NN	space
at	IN	at
every	DT	every
moment	NN	moment
.	SENT	.
So	RB	so
then	RB	then
,	,	,
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
big	JJ	big
result	NN	result
.	SENT	.
What	WP	what
observers	NNS	observer
with	IN	with
those	DT	those
characteristics	NNS	characteristic
perceive	VBP	perceive
in	IN	in
the	DT	the
ruliad	NN	<unknown>
necessarily	RB	necessarily
follows	VBZ	follow
certain	JJ	certain
laws	NNS	law
.	SENT	.
And	CC	and
those	DT	those
laws	NNS	law
turn	VBP	turn
out	RP	out
to	TO	to
be	VB	be
precisely	RB	precisely
the	DT	the
three	CD	three
key	JJ	key
theories	NNS	theory
of	IN	of
20th	JJ	20th
century	NN	century
physics	NNS	physic
:	:	:
general	JJ	general
relativity	NN	relativity
,	,	,
quantum	NN	quantum
mechanics	NNS	mechanic
,	,	,
and	CC	and
statistical	JJ	statistical
mechanics	NNS	mechanic
in	IN	in
the	DT	the
second	JJ	second
law	NN	law
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
because	IN	because
we	PP	we
'	POS	'
re	NN	re
observers	NNS	observer
like	VBP	like
us	PP	us
that	IN	that
we	PP	we
perceive	VBP	perceive
the	DT	the
laws	NNS	law
of	IN	of
physics	NNS	physic
we	PP	we
do	VBP	do
.	SENT	.
We	PP	we
can	MD	can
think	VB	think
of	IN	of
sort	NN	sort
of	IN	of
different	JJ	different
minds	NNS	mind
as	IN	as
being	VBG	be
at	IN	at
different	JJ	different
places	NNS	place
in	IN	in
rulial	JJ	<unknown>
space	NN	space
.	SENT	.
Human	JJ	human
minds	NNS	mind
who	WP	who
think	VBP	think
alike	RB	alike
are	VBP	be
nearby	JJ	nearby
,	,	,
animals	NNS	animal
further	RBR	further
away	RB	away
,	,	,
and	CC	and
further	RBR	further
out	RB	out
,	,	,
we	PP	we
get	VBP	get
to	TO	to
kind	NN	kind
of	IN	of
alien	JJ	alien
minds	NNS	mind
where	WRB	where
it	PP	it
'	POS	'
s	NN	S
hard	JJ	hard
to	TO	to
make	VB	make
a	DT	a
translation	NN	translation
.	SENT	.
So	RB	so
how	WRB	how
can	MD	can
we	PP	we
get	VB	get
intuition	NN	intuition
for	IN	for
all	DT	all
of	IN	of
this	DT	this
?	SENT	?
Well	RB	well
,	,	,
one	CD	one
thing	NN	thing
we	PP	we
can	MD	can
do	VB	do
is	VBZ	be
use	VB	use
generative	JJ	generative
AI	VBP	ai
to	TO	to
take	VB	take
what	WP	what
amounts	VBZ	amount
to	TO	to
an	DT	an
incredibly	RB	incredibly
tiny	JJ	tiny
slice	NN	slice
of	IN	of
the	DT	the
ruliad	NN	<unknown>
aligned	VBN	align
with	IN	with
images	NNS	image
we	PP	we
humans	NNS	human
have	VBP	have
produced	VBN	produce
.	SENT	.
We	PP	we
can	MD	can
think	VB	think
of	IN	of
this	DT	this
as	IN	as
sort	NN	sort
of	IN	of
a	DT	a
place	NN	place
in	IN	in
the	DT	the
ruliad	NN	<unknown>
described	VBN	describe
by	IN	by
using	VBG	use
the	DT	the
concept	NN	concept
of	IN	of
a	DT	a
cat	NN	cat
in	IN	in
a	DT	a
party	NN	party
hat	NN	hat
.	SENT	.
So	RB	so
zooming	VBG	zoom
out	RP	out
,	,	,
we	PP	we
saw	VBD	see
there	RB	there
what	WP	what
we	PP	we
might	MD	might
call	VB	call
Cat	NP	Cat
Island	NP	Island
.	SENT	.
Pretty	RB	pretty
soon	RB	soon
we	PP	we
'	POS	'
re	NN	re
in	IN	in
a	DT	a
kind	NN	kind
of	IN	of
an	DT	an
inter-concept	JJ	<unknown>
space	NN	space
.	SENT	.
Occasionally	RB	occasionally
things	NNS	thing
will	MD	will
look	VB	look
familiar	JJ	familiar
,	,	,
but	CC	but
mostly	RB	mostly
,	,	,
what	WP	what
we	PP	we
'	POS	'
ll	NNS	<unknown>
see	VBP	see
is	VBZ	be
things	NNS	thing
we	PP	we
humans	NNS	human
don	VB	don
'	''	'
t	NN	t
have	VBP	have
words	NNS	word
for	IN	for
.	SENT	.
In	IN	in
physical	JJ	physical
space	NN	space
,	,	,
we	PP	we
explore	VBP	explore
the	DT	the
universe	NN	universe
by	IN	by
sending	VBG	send
out	RP	out
spacecraft	NN	spacecraft
.	SENT	.
In	IN	in
rulial	JJ	<unknown>
space	NN	space
,	,	,
we	PP	we
explore	VBP	explore
more	RBR	more
by	IN	by
expanding	VBG	expand
our	PP$	our
concepts	NNS	concept
and	CC	and
our	PP$	our
paradigms	NNS	paradigm
.	SENT	.
We	PP	we
can	MD	can
kind	RB	kind
of	IN	of
get	VB	get
a	DT	a
sense	NN	sense
of	IN	of
what	WP	what
'	POS	'
s	NNS	<unknown>
out	RP	out
there	RB	there
by	IN	by
sampling	VBG	sample
possible	JJ	possible
rules	NNS	rule
,	,	,
doing	VBG	do
what	WP	what
I	PP	I
call	VBP	call
ruliology	NN	ruliology
.	SENT	.
So	RB	so
even	RB	even
with	IN	with
incredibly	RB	incredibly
simple	JJ	simple
rules	NNS	rule
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
incredible	JJ	incredible
richness	NN	richness
.	SENT	.
But	CC	but
the	DT	the
issue	NN	issue
is	VBZ	be
that	IN	that
most	JJS	most
of	IN	of
it	PP	it
doesn	NN	<unknown>
'	POS	'
t	NN	t
yet	RB	yet
connect	VBP	connect
with	IN	with
things	NNS	thing
we	PP	we
humans	NNS	human
understand	VBP	understand
or	CC	or
care	VBP	care
about	RB	about
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
when	WRB	when
we	PP	we
look	VBP	look
at	IN	at
the	DT	the
natural	JJ	natural
world	NN	world
and	CC	and
only	RB	only
gradually	RB	gradually
realize	VB	realize
that	IN	that
we	PP	we
can	MD	can
use	VB	use
features	NNS	feature
of	IN	of
it	PP	it
for	IN	for
technology	NN	technology
.	SENT	.
So	RB	so
even	RB	even
after	IN	after
everything	NN	everything
our	PP$	our
civilization	NN	civilization
has	VBZ	have
achieved	VBN	achieve
,	,	,
we	PP	we
'	POS	'
re	NN	re
just	RB	just
at	IN	at
the	DT	the
very	JJ	very
,	,	,
very	RB	very
beginning	VBG	begin
of	IN	of
exploring	VBG	explore
rulial	JJ	<unknown>
space	NN	space
.	SENT	.
What	WP	what
about	IN	about
AIs	NNS	ai
?	SENT	?
Well	RB	well
,	,	,
just	RB	just
like	IN	like
we	PP	we
can	MD	can
do	VB	do
ruliology	NN	ruliology
,	,	,
AIs	NNS	ai
can	MD	can
in	IN	in
principle	NN	principle
go	VB	go
out	RP	out
and	CC	and
explore	VB	explore
rulial	JJ	<unknown>
space	NN	space
.	SENT	.
Left	VBN	leave
to	TO	to
their	PP$	their
own	JJ	own
devices	NNS	device
,	,	,
though	RB	though
,	,	,
they	PP	they
'	POS	'
ll	NN	ll
mostly	RB	mostly
just	RB	just
be	VB	be
doing	VBG	do
things	NNS	thing
we	PP	we
humans	NNS	human
don	NN	don
'	POS	'
t	NN	t
connect	VBP	connect
with	IN	with
or	CC	or
care	VB	care
about	RB	about
.	SENT	.
So	IN	so
the	DT	the
big	JJ	big
achievements	NNS	achievement
of	IN	of
AI	NN	ai
in	IN	in
recent	JJ	recent
times	NNS	time
have	VBP	have
been	VBN	be
about	RB	about
making	VBG	make
systems	NNS	system
that	WDT	that
are	VBP	be
closely	RB	closely
aligned	VBN	align
with	IN	with
us	PP	us
humans	NNS	human
.	SENT	.
We	PP	we
train	VBP	train
LLMs	NP	<unknown>
on	IN	on
billions	NNS	billion
of	IN	of
web	NN	web
pages	NNS	page
so	IN	so
they	PP	they
can	MD	can
produce	VB	produce
texts	NNS	text
that	RB	that
'	''	'
s	NNS	<unknown>
typical	JJ	typical
of	IN	of
what	WP	what
we	PP	we
humans	NNS	human
write	VBP	write
.	SENT	.
And	CC	and
yes	UH	yes
,	,	,
the	DT	the
fact	NN	fact
that	IN	that
this	DT	this
works	NNS	work
is	VBZ	be
undoubtedly	RB	undoubtedly
telling	VBG	tell
us	PP	us
some	DT	some
deep	JJ	deep
scientific	JJ	scientific
things	NNS	thing
about	IN	about
the	DT	the
semantic	JJ	semantic
grammar	NN	grammar
of	IN	of
language	NN	language
and	CC	and
generalizations	NNS	generalization
of	IN	of
things	NNS	thing
like	IN	like
logic	NN	logic
that	IN	that
perhaps	RB	perhaps
we	PP	we
should	MD	should
have	VB	have
known	VBN	know
centuries	NNS	century
ago	RB	ago
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
for	IN	for
much	RB	much
of	IN	of
human	JJ	human
history	NN	history
,	,	,
we	PP	we
were	VBD	be
kind	NN	kind
of	IN	of
like	IN	like
the	DT	the
LLMs	NP	<unknown>
,	,	,
figuring	VBG	figure
things	NNS	thing
out	RP	out
by	IN	by
kind	NN	kind
of	IN	of
matching	VBG	match
patterns	NNS	pattern
in	IN	in
our	PP$	our
minds	NNS	mind
.	SENT	.
But	CC	but
then	RB	then
came	VBD	come
more	JJR	more
systematic	JJ	systematic
formalization	NN	formalization
and	CC	and
eventually	RB	eventually
computation	NN	computation
.	SENT	.
And	CC	and
with	IN	with
that	DT	that
,	,	,
we	PP	we
got	VBD	get
a	DT	a
whole	JJ	whole
other	JJ	other
level	NN	level
of	IN	of
power	NN	power
to	TO	to
truly	RB	truly
create	VB	create
new	JJ	new
things	NNS	thing
and	CC	and
to	TO	to
,	,	,
in	IN	in
effect	NN	effect
,	,	,
go	VBP	go
wherever	WRB	wherever
we	PP	we
want	VBP	want
in	IN	in
the	DT	the
ruliad	NN	<unknown>
.	SENT	.
But	CC	but
the	DT	the
challenge	NN	challenge
is	VBZ	be
to	TO	to
do	VB	do
that	IN	that
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
connects	VBZ	connect
with	IN	with
what	WP	what
we	PP	we
humans	NNS	human
,	,	,
and	CC	and
our	PP$	our
AIs	NNS	ai
,	,	,
understand	VBP	understand
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
devoted	VBD	devote
a	DT	a
large	JJ	large
part	NN	part
of	IN	of
my	PP$	my
life	NN	life
to	TO	to
kind	NN	kind
of	IN	of
trying	VBG	try
to	TO	to
build	VB	build
that	DT	that
bridge	NN	bridge
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
all	RB	all
been	VBN	be
about	RB	about
creating	VBG	create
a	DT	a
language	NN	language
for	IN	for
expressing	VBG	express
ourselves	PP	ourselves
computationally	RB	computationally
,	,	,
a	DT	a
