My	PP$	my
,	,	,
is	VBZ	be
solemn	JJ	solemn
.	SENT	.
Poker	NN	poker
is	VBZ	be
serious	JJ	serious
.	SENT	.
Washington	NP	Washington
,	,	,
D	NP	D
.	SENT	.
C	LS	c
.	SENT	.
is	VBZ	be
solemn	JJ	solemn
.	SENT	.
New	NP	New
York	NP	York
is	VBZ	be
serious	JJ	serious
.	SENT	.
Going	VBG	go
to	TO	to
educational	JJ	educational
conferences	NNS	conference
to	TO	to
tell	VB	tell
you	PP	you
anything	NN	anything
about	IN	about
the	DT	the
future	NN	future
is	VBZ	be
solemn	JJ	solemn
.	SENT	.
Taking	VBG	take
a	DT	a
long	JJ	long
walk	NN	walk
by	IN	by
yourself	PP	yourself
,	,	,
during	IN	during
which	WDT	which
you	PP	you
devise	VBP	devise
a	DT	a
foolproof	JJ	foolproof
scheme	NN	scheme
for	IN	for
robbing	VBG	rob
Tiffany	NP	Tiffany
'	POS	'
s	NN	S
,	,	,
is	VBZ	be
serious	JJ	serious
.	SENT	.
Now	RB	now
,	,	,
when	WRB	when
I	PP	I
apply	VBP	apply
Russell	NP	Russell
Baker	NP	Baker
'	POS	'
s	JJ	<unknown>
definition	NN	definition
of	IN	of
solemnity	NN	solemnity
or	CC	or
seriousness	NN	seriousness
to	TO	to
design	VB	design
,	,	,
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
necessarily	RB	necessarily
make	VB	make
any	DT	any
particular	JJ	particular
point	NN	point
about	IN	about
quality	NN	quality
.	SENT	.
Solemn	JJ	solemn
design	NN	design
is	VBZ	be
often	RB	often
important	JJ	important
and	CC	and
very	RB	very
effective	JJ	effective
design	NN	design
.	SENT	.
Solemn	JJ	solemn
design	NN	design
is	VBZ	be
also	RB	also
socially	RB	socially
correct	JJ	correct
,	,	,
and	CC	and
is	VBZ	be
accepted	VBN	accept
by	IN	by
appropriate	JJ	appropriate
audiences	NNS	audience
.	SENT	.
It	PP	it
'	POS	'
s	VBG	<unknown>
what	WP	what
right-	NN	<unknown>
thinking	VBG	think
designers	NNS	designer
and	CC	and
all	PDT	all
the	DT	the
clients	NNS	client
are	VBP	be
striving	VBG	strive
for	IN	for
.	SENT	.
Serious	JJ	serious
design	NN	design
,	,	,
serious	JJ	serious
play	NN	play
,	,	,
is	VBZ	be
something	NN	something
else	RB	else
.	SENT	.
For	IN	for
one	CD	one
thing	NN	thing
,	,	,
it	PP	it
often	RB	often
happens	VBZ	happen
spontaneously	RB	spontaneously
,	,	,
intuitively	RB	intuitively
,	,	,
accidentally	RB	accidentally
or	CC	or
incidentally	RB	incidentally
.	SENT	.
It	PP	it
can	MD	can
be	VB	be
achieved	VBN	achieve
out	RP	out
of	IN	of
innocence	NN	innocence
,	,	,
or	CC	or
arrogance	NN	arrogance
,	,	,
or	CC	or
out	RB	out
of	IN	of
selfishness	NN	selfishness
,	,	,
sometimes	RB	sometimes
out	RB	out
of	IN	of
carelessness	NN	carelessness
.	SENT	.
But	CC	but
mostly	RB	mostly
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
achieved	VBN	achieve
through	IN	through
all	PDT	all
those	DT	those
kind	NN	kind
of	IN	of
crazy	JJ	crazy
parts	NNS	part
of	IN	of
human	JJ	human
behavior	NN	behavior
that	DT	that
don	NN	don
'	POS	'
t	NN	t
really	RB	really
make	VB	make
any	DT	any
sense	NN	sense
.	SENT	.
Serious	JJ	serious
design	NN	design
is	VBZ	be
imperfect	JJ	imperfect
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
filled	VBN	fill
with	IN	with
the	DT	the
kind	NN	kind
of	IN	of
craft	NN	craft
laws	NNS	law
that	WDT	that
come	VBP	come
from	IN	from
something	NN	something
being	VBG	be
the	DT	the
first	JJ	first
of	IN	of
its	PP$	its
kind	NN	kind
.	SENT	.
Serious	JJ	serious
design	NN	design
is	VBZ	be
also	RB	also
—	:	-
often	RB	often
—	:	-
quite	RB	quite
unsuccessful	JJ	unsuccessful
from	IN	from
the	DT	the
solemn	JJ	solemn
point	NN	point
of	IN	of
view	NN	view
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
because	IN	because
the	DT	the
art	NN	art
of	IN	of
serious	JJ	serious
play	NN	play
is	VBZ	be
about	RB	about
invention	NN	invention
,	,	,
change	NN	change
,	,	,
rebellion	NN	rebellion
—	:	-
not	RB	not
perfection	NN	perfection
.	SENT	.
Perfection	NN	perfection
happens	VBZ	happen
during	IN	during
solemn	JJ	solemn
play	NN	play
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
always	RB	always
saw	VBD	see
design	NN	design
careers	NNS	career
like	IN	like
surreal	JJ	surreal
staircases	NNS	staircase
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
staircase	NN	staircase
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
that	IN	that
in	IN	in
your	PP$	your
20s	NNS	20s
the	DT	the
risers	NNS	riser
are	VBP	be
very	RB	very
high	JJ	high
and	CC	and
the	DT	the
steps	NNS	step
are	VBP	be
very	RB	very
short	JJ	short
,	,	,
and	CC	and
you	PP	you
make	VBP	make
huge	JJ	huge
discoveries	NNS	discovery
.	SENT	.
You	PP	you
sort	RB	sort
of	IN	of
leap	VB	leap
up	RP	up
very	RB	very
quickly	RB	quickly
in	IN	in
your	PP$	your
youth	NN	youth
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
because	IN	because
you	PP	you
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
anything	NN	anything
and	CC	and
you	PP	you
have	VBP	have
a	DT	a
lot	NN	lot
to	TO	to
learn	VB	learn
,	,	,
and	CC	and
so	RB	so
that	WDT	that
anything	NN	anything
you	PP	you
do	VBP	do
is	VBZ	be
a	DT	a
learning	VBG	learn
experience	NN	experience
and	CC	and
you	PP	you
'	POS	'
re	NN	re
just	RB	just
jumping	VBG	jump
right	RB	right
up	RB	up
there	RB	there
.	SENT	.
As	IN	as
you	PP	you
get	VBP	get
older	JJR	old
,	,	,
the	DT	the
risers	NNS	riser
get	VBP	get
shallower	JJR	shallow
and	CC	and
the	DT	the
steps	NNS	step
get	VBP	get
wider	JJR	wide
,	,	,
and	CC	and
you	PP	you
start	VBP	start
moving	VBG	move
along	RP	along
at	IN	at
a	DT	a
slower	JJR	slow
pace	NN	pace
because	IN	because
you	PP	you
'	POS	'
re	NN	re
making	VBG	make
fewer	JJR	few
discoveries	NNS	discovery
.	SENT	.
And	CC	and
as	IN	as
you	PP	you
get	VBP	get
older	JJR	old
and	CC	and
more	RBR	more
decrepit	JJ	decrepit
,	,	,
you	PP	you
sort	VBP	sort
of	IN	of
inch	NN	inch
along	IN	along
on	IN	on
this	DT	this
sort	NN	sort
of	IN	of
depressing	JJ	depressing
,	,	,
long	JJ	long
staircase	NN	staircase
,	,	,
leading	VBG	lead
you	PP	you
into	IN	into
oblivion	NN	oblivion
.	SENT	.
I	PP	I
find	VBP	find
it	PP	it
'	''	'
s	NNS	<unknown>
actually	RB	actually
getting	VBG	get
really	RB	really
hard	JJ	hard
to	TO	to
be	VB	be
serious	JJ	serious
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
hired	VBD	hire
to	TO	to
be	VB	be
solemn	JJ	solemn
,	,	,
but	CC	but
I	PP	I
find	VBP	find
more	RBR	more
and	CC	and
more	RBR	more
that	IN	that
I	NP	I
'	POS	'
m	NN	m
solemn	JJ	solemn
when	WRB	when
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
be	VB	be
.	SENT	.
And	CC	and
in	IN	in
my	PP$	my
35	CD	@card@
years	NNS	year
of	IN	of
working	VBG	work
experience	NN	experience
,	,	,
I	PP	I
think	VBP	think
I	PP	I
was	VBD	be
really	RB	really
serious	JJ	serious
four	CD	four
times	NNS	time
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
them	PP	them
to	TO	to
you	PP	you
now	RB	now
,	,	,
because	IN	because
they	PP	they
came	VBD	come
out	RP	out
of	IN	of
very	RB	very
specific	JJ	specific
conditions	NNS	condition
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
great	JJ	great
to	TO	to
be	VB	be
a	DT	a
kid	NN	kid
.	SENT	.
Now	RB	now
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
in	IN	in
my	PP$	my
early	JJ	early
20s	NNS	20s
,	,	,
I	PP	I
worked	VBD	work
in	IN	in
the	DT	the
record	NN	record
business	NN	business
,	,	,
designing	VBG	design
record	NN	record
covers	VBZ	cover
for	IN	for
CBS	NP	CBS
Records	NPS	Records
,	,	,
and	CC	and
I	PP	I
had	VBD	have
no	DT	no
idea	NN	idea
what	WP	what
a	DT	a
great	JJ	great
job	NN	job
I	PP	I
had	VBD	have
.	SENT	.
I	PP	I
thought	VBD	think
everybody	NN	everybody
had	VBD	have
a	DT	a
job	NN	job
like	IN	like
that	DT	that
.	SENT	.
And	CC	and
what	WP	what
—	:	-
the	DT	the
way	NN	way
I	PP	I
looked	VBD	look
at	IN	at
design	NN	design
and	CC	and
the	DT	the
way	NN	way
I	PP	I
looked	VBD	look
at	IN	at
the	DT	the
world	NN	world
was	VBD	be
,	,	,
what	WP	what
was	VBD	be
going	VBG	go
on	IN	on
around	IN	around
me	PP	me
and	CC	and
the	DT	the
things	NNS	thing
that	WDT	that
came	VBD	come
at	IN	at
the	DT	the
time	NN	time
I	PP	I
walked	VBD	walk
into	IN	into
design	NN	design
were	VBD	be
the	DT	the
enemy	NN	enemy
.	SENT	.
I	PP	I
really	RB	really
,	,	,
really	RB	really
,	,	,
really	RB	really
hated	VBN	hate
the	DT	the
typeface	NN	typeface
Helvetica	NP	<unknown>
.	SENT	.
I	PP	I
thought	VBD	think
the	DT	the
typeface	NN	typeface
Helvetica	NP	<unknown>
was	VBD	be
the	DT	the
cleanest	JJS	clean
,	,	,
most	JJS	most
boring	VBG	bore
,	,	,
most	RBS	most
fascistic	JJ	fascistic
,	,	,
really	RB	really
repressive	JJ	repressive
typeface	NN	typeface
,	,	,
and	CC	and
I	PP	I
hated	VBD	hate
everything	NN	everything
that	WDT	that
was	VBD	be
designed	VBN	design
in	IN	in
Helvetica	NP	<unknown>
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
was	VBD	be
in	IN	in
my	PP$	my
college	NN	college
days	NNS	day
,	,	,
this	DT	this
was	VBD	be
the	DT	the
sort	NN	sort
of	IN	of
design	NN	design
that	WDT	that
was	VBD	be
fashionable	JJ	fashionable
and	CC	and
popular	JJ	popular
.	SENT	.
This	DT	this
is	VBZ	be
actually	RB	actually
quite	RB	quite
a	DT	a
lovely	JJ	lovely
book	NN	book
jacket	NN	jacket
by	IN	by
Rudy	NP	Rudy
de	NP	de
Harak	NP	<unknown>
,	,	,
but	CC	but
I	PP	I
just	RB	just
hated	VBD	hate
it	PP	it
,	,	,
because	IN	because
it	PP	it
was	VBD	be
designed	VBN	design
with	IN	with
Helvetica	NP	<unknown>
,	,	,
and	CC	and
I	PP	I
made	VBD	make
parodies	NNS	parody
about	IN	about
it	PP	it
.	SENT	.
I	PP	I
just	RB	just
thought	VBD	think
it	PP	it
was	VBD	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
completely	RB	completely
boring	JJ	boring
.	SENT	.
So	RB	so
—	:	-
so	RB	so
,	,	,
my	PP$	my
goal	NN	goal
in	IN	in
life	NN	life
was	VBD	be
to	TO	to
do	VB	do
stuff	NN	stuff
that	IN	that
wasn	NP	<unknown>
'	POS	'
t	NN	t
made	VBD	make
out	RP	out
of	IN	of
Helvetica	NP	<unknown>
.	SENT	.
And	CC	and
to	TO	to
do	VB	do
stuff	NN	stuff
that	IN	that
wasn	NP	<unknown>
'	POS	'
t	NN	t
made	VBD	make
out	RP	out
of	IN	of
Helvetica	NP	<unknown>
was	VBD	be
actually	RB	actually
kind	JJ	kind
of	IN	of
hard	JJ	hard
because	IN	because
you	PP	you
had	VBD	have
to	TO	to
find	VB	find
it	PP	it
.	SENT	.
And	CC	and
there	RB	there
weren	NNS	<unknown>
'	POS	'
t	NN	t
a	DT	a
lot	NN	lot
of	IN	of
books	NNS	book
about	IN	about
the	DT	the
history	NN	history
of	IN	of
design	NN	design
in	IN	in
the	DT	the
early	JJ	early
70s	NNS	<unknown>
.	SENT	.
There	RB	there
weren	NNS	<unknown>
'	POS	'
t	NN	t
—	:	-
there	RB	there
wasn	NP	<unknown>
'	POS	'
t	NN	t
a	DT	a
plethora	NN	plethora
of	IN	of
design	NN	design
publishing	NN	publishing
.	SENT	.
You	PP	you
actually	RB	actually
had	VBD	have
to	TO	to
go	VB	go
to	TO	to
antique	JJ	antique
stores	NNS	store
.	SENT	.
You	PP	you
had	VBD	have
to	TO	to
go	VB	go
to	TO	to
Europe	NP	Europe
.	SENT	.
You	PP	you
had	VBD	have
to	TO	to
go	VB	go
places	NNS	place
and	CC	and
find	VB	find
the	DT	the
stuff	NN	stuff
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
responded	VBD	respond
to	TO	to
was	VBD	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
Art	NP	Art
Nouveau	NN	Nouveau
,	,	,
or	CC	or
deco	NP	deco
,	,	,
or	CC	or
Victorian	JJ	Victorian
typography	NN	typography
,	,	,
or	CC	or
things	NNS	thing
that	WDT	that
were	VBD	be
just	RB	just
completely	RB	completely
not	RB	not
Helvetica	NP	<unknown>
.	SENT	.
And	CC	and
I	PP	I
taught	VBD	teach
myself	PP	myself
design	VB	design
this	DT	this
way	NN	way
,	,	,
and	CC	and
this	DT	this
was	VBD	be
sort	NN	sort
of	IN	of
my	PP$	my
early	JJ	early
years	NNS	year
,	,	,
and	CC	and
I	PP	I
used	VBD	use
these	DT	these
things	NNS	thing
in	IN	in
really	RB	really
goofy	JJ	goofy
ways	NNS	way
on	IN	on
record	NN	record
covers	NNS	cover
and	CC	and
in	IN	in
my	PP$	my
design	NN	design
.	SENT	.
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
educated	VBD	educate
.	SENT	.
I	PP	I
just	RB	just
sort	RB	sort
of	IN	of
put	VB	put
these	DT	these
things	NNS	thing
together	RB	together
.	SENT	.
I	PP	I
mixed	VBD	mix
up	RP	up
Victorian	JJ	Victorian
designs	NNS	design
with	IN	with
pop	NN	pop
,	,	,
and	CC	and
I	PP	I
mixed	VBD	mix
up	RP	up
Art	NP	Art
Nouveau	NN	Nouveau
with	IN	with
something	NN	something
else	RB	else
.	SENT	.
And	CC	and
I	PP	I
made	VBD	make
these	DT	these
very	RB	very
lush	JJ	lush
,	,	,
very	RB	very
elaborate	VB	elaborate
record	NN	record
covers	NNS	cover
,	,	,
not	RB	not
because	IN	because
I	PP	I
was	VBD	be
being	VBG	be
a	DT	a
post-modernist	NN	post-modernist
or	CC	or
a	DT	a
historicist	NN	historicist
—	:	-
because	IN	because
I	PP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
those	DT	those
things	NNS	thing
were	VBD	be
.	SENT	.
I	PP	I
just	RB	just
hated	VBD	hate
Helvetica	NP	<unknown>
.	SENT	.
And	CC	and
that	DT	that
kind	NN	kind
of	IN	of
passion	NN	passion
drove	VBD	drive
me	PP	me
into	IN	into
very	RB	very
serious	JJ	serious
play	NN	play
,	,	,
a	DT	a
kind	NN	kind
of	IN	of
play	NN	play
I	PP	I
could	MD	could
never	RB	never
do	VB	do
now	RB	now
because	IN	because
I	PP	I
'	POS	'
m	NN	m
too	RB	too
well-educated	JJ	well-educated
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NN	S
something	NN	something
wonderful	JJ	wonderful
about	IN	about
that	DT	that
form	NN	form
of	IN	of
youth	NN	youth
,	,	,
where	WRB	where
you	PP	you
can	MD	can
let	VB	let
yourself	PP	yourself
grow	VB	grow
and	CC	and
play	VB	play
,	,	,
and	CC	and
be	VB	be
really	RB	really
a	DT	a
brat	NN	brat
,	,	,
and	CC	and
then	RB	then
accomplish	VB	accomplish
things	NNS	thing
.	SENT	.
By	IN	by
the	DT	the
end	NN	end
of	IN	of
the	DT	the
'	''	'
70s	NNS	<unknown>
,	,	,
actually	RB	actually
,	,	,
the	DT	the
stuff	NN	stuff
became	VBD	become
known	VBN	know
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
these	DT	these
covers	NNS	cover
appeared	VBD	appear
all	RB	all
over	IN	over
the	DT	the
world	NN	world
,	,	,
and	CC	and
they	PP	they
started	VBD	start
winning	VBG	win
awards	NNS	award
,	,	,
and	CC	and
people	NNS	people
knew	VBD	know
them	PP	them
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
suddenly	RB	suddenly
a	DT	a
post-modernist	NN	post-modernist
,	,	,
and	CC	and
I	PP	I
began	VBD	begin
a	DT	a
career	NN	career
as	RB	as
—	:	-
in	IN	in
my	PP$	my
own	JJ	own
business	NN	business
.	SENT	.
And	CC	and
first	RB	first
I	PP	I
was	VBD	be
praised	VBN	praise
for	IN	for
it	PP	it
,	,	,
then	RB	then
criticized	VBN	criticize
for	IN	for
it	PP	it
,	,	,
but	CC	but
the	DT	the
fact	NN	fact
of	IN	of
the	DT	the
matter	NN	matter
was	VBD	be
,	,	,
I	PP	I
had	VBD	have
become	VBN	become
solemn	JJ	solemn
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
do	VBP	do
what	WP	what
I	PP	I
think	VBP	think
was	VBD	be
a	DT	a
piece	NN	piece
of	IN	of
serious	JJ	serious
work	NN	work
again	RB	again
for	IN	for
about	RB	about
14	CD	@card@
years	NNS	year
.	SENT	.
I	PP	I
spent	VBD	spend
most	JJS	most
of	IN	of
the	NP	the
'	POS	'
80s	NNS	<unknown>
being	VBG	be
quite	RB	quite
solemn	JJ	solemn
,	,	,
turning	VBG	turn
out	RP	out
these	DT	these
sorts	NNS	sort
of	IN	of
designs	NNS	design
that	IN	that
I	PP	I
was	VBD	be
expected	VBN	expect
to	TO	to
do	VB	do
because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
who	WP	who
I	PP	I
was	VBD	be
,	,	,
and	CC	and
I	PP	I
was	VBD	be
living	VBG	live
in	IN	in
this	DT	this
cycle	NN	cycle
of	IN	of
going	VBG	go
from	IN	from
serious	JJ	serious
to	TO	to
solemn	JJ	solemn
to	TO	to
hackneyed	VBN	hackney
to	TO	to
dead	JJ	dead
,	,	,
and	CC	and
getting	VBG	get
rediscovered	JJ	rediscovered
all	RB	all
over	IN	over
again	RB	again
.	SENT	.
So	RB	so
,	,	,
here	RB	here
was	VBD	be
the	DT	the
second	JJ	second
condition	NN	condition
for	IN	for
which	WDT	which
I	PP	I
think	VBP	think
I	PP	I
accomplished	VBD	accomplish
some	DT	some
serious	JJ	serious
play	NN	play
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
Paul	NP	Paul
Newman	NP	Newman
movie	NN	movie
that	IN	that
I	PP	I
love	VBP	love
called	VBN	call
"	``	"
The	DT	the
Verdict	NN	verdict
.	SENT	.
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
how	WRB	how
many	JJ	many
of	IN	of
you	PP	you
have	VBP	have
seen	VBN	see
it	PP	it
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
beaut	NN	beaut
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
movie	NN	movie
,	,	,
he	PP	he
plays	VBZ	play
a	DT	a
down-and-out	NN	down-and-out
lawyer	NN	lawyer
who	WP	who
'	POS	'
s	NNS	<unknown>
become	VBP	become
an	DT	an
ambulance	NN	ambulance
chaser	NN	chaser
.	SENT	.
And	CC	and
he	PP	he
'	POS	'
s	NNS	<unknown>
taken	VBN	take
on	IN	on
—	:	-
he	PP	he
'	POS	'
s	NNS	<unknown>
given	VBN	give
,	,	,
actually	RB	actually
—	:	-
a	DT	a
malpractice	NN	malpractice
suit	NN	suit
to	TO	to
handle	VB	handle
that	RB	that
'	''	'
s	NN	S
sort	NN	sort
of	IN	of
an	DT	an
easy	JJ	easy
deal	NN	deal
,	,	,
and	CC	and
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
trying	VBG	try
to	TO	to
connect	VB	connect
the	DT	the
deal	NN	deal
,	,	,
he	PP	he
starts	VBZ	start
to	TO	to
empathize	VB	empathize
and	CC	and
identify	VB	identify
with	IN	with
his	PP$	his
client	NN	client
,	,	,
and	CC	and
he	PP	he
regains	VBZ	regain
his	PP$	his
morality	NN	morality
and	CC	and
purpose	NN	purpose
,	,	,
and	CC	and
he	PP	he
goes	VBZ	go
on	RP	on
to	TO	to
win	VB	win
the	DT	the
case	NN	case
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
depth	NN	depth
of	IN	of
despair	NN	despair
,	,	,
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
the	DT	the
movie	NN	movie
,	,	,
when	WRB	when
it	PP	it
looks	VBZ	look
like	IN	like
he	PP	he
can	MD	can
'	''	'
t	NN	t
pull	VB	pull
this	DT	this
thing	NN	thing
off	RP	off
,	,	,
and	CC	and
he	PP	he
needs	VBZ	need
this	DT	this
case	NN	case
,	,	,
he	PP	he
needs	VBZ	need
to	TO	to
win	VB	win
this	DT	this
case	NN	case
so	RB	so
badly	RB	badly
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
shot	NN	shot
of	IN	of
Paul	NP	Paul
Newman	NP	Newman
alone	RB	alone
,	,	,
in	IN	in
his	PP$	his
office	NN	office
,	,	,
saying	VBG	say
,	,	,
"	``	"
This	DT	this
is	VBZ	be
the	DT	the
case	NN	case
.	SENT	.
There	EX	there
are	VBP	be
no	DT	no
other	JJ	other
cases	NNS	case
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
case	NN	case
.	SENT	.
There	EX	there
are	VBP	be
no	DT	no
other	JJ	other
cases	NNS	case
.	SENT	.
"	''	"
And	CC	and
in	IN	in
that	DT	that
moment	NN	moment
of	IN	of
desire	NN	desire
and	CC	and
focus	NN	focus
,	,	,
he	PP	he
can	MD	can
win	VB	win
.	SENT	.
And	CC	and
that	DT	that
