Earlier	RBR	earlier
to	TO	to
homophobia	NP	homophobia
isn	NP	isn
'	POS	'
t	NN	t
to	TO	to
make	VB	make
everyone	NN	everyone
straight	RB	straight
,	,	,
and	CC	and
the	DT	the
solution	NN	solution
to	TO	to
racism	NN	racism
isn	NN	isn
'	POS	'
t	NN	t
to	TO	to
make	VB	make
everyone	NN	everyone
white	NN	white
,	,	,
the	DT	the
solution	NN	solution
to	TO	to
lookism	NN	<unknown>
and	CC	and
fatphobia	NN	fatphobia
isn	NN	isn
'	POS	'
t	NN	t
to	TO	to
make	VB	make
everyone	NN	everyone
interchangeably	RB	interchangeably
skinny	JJ	skinny
and	CC	and
conventionally	RB	conventionally
pretty	RB	pretty
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
opposite	NN	opposite
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
to	TO	to
celebrate	VB	celebrate
diversity	NN	diversity
and	CC	and
the	DT	the
differences	NNS	difference
that	WDT	that
make	VB	make
us	PP	us
who	WP	who
we	PP	we
are	VBP	be
,	,	,
that	WDT	that
are	VBP	be
inherent	JJ	inherent
to	TO	to
the	DT	the
human	JJ	human
condition	NN	condition
.	SENT	.
And	CC	and
ultimately	RB	ultimately
,	,	,
we	PP	we
have	VBP	have
to	TO	to
disrupt	VB	disrupt
a	DT	a
system	NN	system
that	WDT	that
reduces	VBZ	reduce
our	PP$	our
worthiness	NN	worthiness
to	TO	to
our	PP$	our
looks	NNS	look
.	SENT	.
Even	RB	even
though	IN	though
my	PP$	my
face	NN	face
is	VBZ	be
rounder	JJR	round
and	CC	and
probably	RB	probably
darker	JJR	dark
than	IN	than
an	DT	an
algorithm	NN	algorithm
would	MD	would
like	VB	like
,	,	,
I	PP	I
have	VBP	have
come	VBN	come
here	RB	here
tonight	RB	tonight
wearing	VBG	wear
my	PP$	my
actual	JJ	actual
face	NN	face
.	SENT	.
And	CC	and
my	PP$	my
hope	NN	hope
for	IN	for
all	DT	all
of	IN	of
you	PP	you
is	VBZ	be
that	IN	that
you	PP	you
feel	VBP	feel
comfortable	JJ	comfortable
and	CC	and
will	MD	will
continue	VB	continue
to	TO	to
feel	VB	feel
comfortable	JJ	comfortable
doing	VBG	do
the	DT	the
same	JJ	same
.	SENT	.
Because	IN	because
I	PP	I
see	VBP	see
a	DT	a
wide	JJ	wide
variety	NN	variety
of	IN	of
jawlines	NNS	jawline
out	IN	out
here	RB	here
tonight	RB	tonight
,	,	,
and	CC	and
let	VB	let
me	PP	me
just	RB	just
say	VBP	say
they	PP	they
are	VBP	be
all	RB	all
worthy	JJ	worthy
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
