Today	NN	today
gene	NN	gene
from	IN	from
these	DT	these
salmon	NN	salmon
and	CC	and
from	IN	from
one	CD	one
other	JJ	other
fish	NN	fish
that	IN	that
we	PP	we
eat	VBP	eat
,	,	,
to	TO	to
make	VB	make
it	PP	it
grow	VB	grow
much	RB	much
faster	RBR	faster
using	VBG	use
a	DT	a
lot	NN	lot
less	JJR	less
feed	NN	feed
.	SENT	.
And	CC	and
right	RB	right
now	RB	now
the	DT	the
FDA	NP	FDA
is	VBZ	be
trying	VBG	try
to	TO	to
make	VB	make
a	DT	a
final	JJ	final
decision	NN	decision
on	IN	on
whether	IN	whether
,	,	,
pretty	RB	pretty
soon	RB	soon
,	,	,
you	PP	you
could	MD	could
be	VB	be
eating	VBG	eat
this	DT	this
fish	NN	fish
—	:	-
it	PP	it
'	POS	'
ll	NNS	<unknown>
be	VB	be
sold	VBN	sell
in	IN	in
the	DT	the
stores	NNS	store
.	SENT	.
And	CC	and
before	IN	before
you	PP	you
get	VBP	get
too	RB	too
worried	JJ	worried
about	IN	about
it	PP	it
,	,	,
here	RB	here
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
,	,	,
the	DT	the
majority	NN	majority
of	IN	of
food	NN	food
you	PP	you
buy	VBP	buy
in	IN	in
the	DT	the
supermarket	NN	supermarket
already	RB	already
has	VBZ	have
genetically-modified	VBN	genetically-modify
components	NNS	component
to	TO	to
it	PP	it
.	SENT	.
So	RB	so
even	RB	even
as	IN	as
we	PP	we
worry	VBP	worry
about	IN	about
it	PP	it
,	,	,
we	PP	we
have	VBP	have
allowed	VBN	allow
it	PP	it
to	TO	to
go	VB	go
on	IN	on
in	IN	in
this	DT	this
country	NN	country
—	:	-
much	RB	much
different	JJ	different
in	IN	in
Europe	NP	Europe
—	:	-
without	IN	without
any	DT	any
regulation	NN	regulation
,	,	,
and	CC	and
even	RB	even
without	IN	without
any	DT	any
identification	NN	identification
on	IN	on
the	DT	the
package	NN	package
.	SENT	.
These	DT	these
are	VBP	be
all	RB	all
the	DT	the
first	JJ	first
cloned	VBN	clon
animals	NNS	animal
of	IN	of
their	PP$	their
type	NN	type
.	SENT	.
So	RB	so
in	IN	in
the	DT	the
lower	JJR	low
right	NN	right
here	RB	here
,	,	,
you	PP	you
have	VBP	have
Dolly	NP	Dolly
,	,	,
the	DT	the
first	JJ	first
cloned	VBN	clon
sheep	NN	sheep
—	:	-
now	RB	now
happily	RB	happily
stuffed	VBN	stuff
in	IN	in
a	DT	a
museum	NN	museum
in	IN	in
Edinburgh	NP	Edinburgh
;	:	;
Ralph	NP	Ralph
the	DT	the
rat	NN	rat
,	,	,
the	DT	the
first	JJ	first
cloned	VBN	clon
rat	NN	rat
;	:	;
CC	NP	CC
the	DT	the
cat	NN	cat
,	,	,
for	IN	for
cloned	VBN	clon
cat	NN	cat
;	:	;
Snuppy	NP	<unknown>
,	,	,
the	DT	the
first	JJ	first
cloned	VBN	clon
dog	NN	dog
—	:	-
Snuppy	NP	<unknown>
for	IN	for
Seoul	NP	Seoul
National	NP	National
University	NP	University
puppy	NN	puppy
—	:	-
created	VBN	create
in	IN	in
South	NP	South
Korea	NP	Korea
by	IN	by
the	DT	the
very	RB	very
same	JJ	same
man	NN	man
that	IN	that
some	DT	some
of	IN	of
you	PP	you
may	MD	may
remember	VBP	remember
had	VBD	have
to	TO	to
end	VB	end
up	RP	up
resigning	VBG	resign
in	IN	in
disgrace	NN	disgrace
because	IN	because
he	PP	he
claimed	VBD	claim
he	PP	he
had	VBD	have
cloned	VBN	clon
a	DT	a
human	JJ	human
embryo	NN	embryo
,	,	,
which	WDT	which
he	PP	he
had	VBD	have
not	RB	not
.	SENT	.
He	PP	he
actually	RB	actually
was	VBD	be
the	DT	the
first	JJ	first
person	NN	person
to	TO	to
clone	NN	clone
a	DT	a
dog	NN	dog
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
very	RB	very
difficult	JJ	difficult
thing	NN	thing
to	TO	to
do	VB	do
,	,	,
because	IN	because
dog	NN	dog
genomes	NNS	genome
are	VBP	be
very	RB	very
plastic	JJ	plastic
.	SENT	.
This	DT	this
is	VBZ	be
Prometea	NP	<unknown>
,	,	,
the	DT	the
first	JJ	first
cloned	VBN	clon
horse	NN	horse
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
Haflinger	NP	Haflinger
horse	NN	horse
cloned	VBN	clon
in	IN	in
Italy	NP	Italy
,	,	,
a	DT	a
real	JJ	real
"	``	"
gold	JJ	gold
ring	NN	ring
"	''	"
of	IN	of
cloning	VBG	clon
,	,	,
because	IN	because
there	EX	there
are	VBP	be
many	JJ	many
horses	NNS	horse
that	WDT	that
win	VBP	win
important	JJ	important
races	NNS	race
who	WP	who
are	VBP	be
geldings	NNS	gelding
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
the	DT	the
equipment	NN	equipment
to	TO	to
put	VB	put
them	PP	them
out	RP	out
to	TO	to
stud	VB	stud
has	VBZ	have
been	VBN	be
removed	VBN	remove
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
can	MD	can
clone	NN	clone
that	DT	that
horse	NN	horse
,	,	,
you	PP	you
can	MD	can
have	VB	have
both	CC	both
the	DT	the
advantage	NN	advantage
of	IN	of
having	VBG	have
a	DT	a
gelding	NN	gelding
run	VBN	run
in	IN	in
the	DT	the
race	NN	race
and	CC	and
his	PP$	his
identical	JJ	identical
genetic	JJ	genetic
duplicate	NN	duplicate
can	MD	can
then	RB	then
be	VB	be
put	VBN	put
out	RP	out
to	TO	to
stud	VB	stud
.	SENT	.
These	DT	these
were	VBD	be
the	DT	the
first	JJ	first
cloned	VBN	clon
calves	NNS	calf
,	,	,
the	DT	the
first	RB	first
cloned	VBN	clon
grey	JJ	grey
wolves	NNS	wolf
,	,	,
and	CC	and
then	RB	then
,	,	,
finally	RB	finally
,	,	,
the	DT	the
first	JJ	first
cloned	VBN	clon
piglets	NNS	piglet
:	:	:
Alexis	NP	Alexis
,	,	,
Chista	NP	<unknown>
,	,	,
Carrel	NP	Carrel
,	,	,
Janie	NP	Janie
and	CC	and
Dotcom	NP	<unknown>
.	SENT	.
In	IN	in
addition	NN	addition
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
started	VBD	start
to	TO	to
use	VB	use
cloning	VBG	clon
technology	NN	technology
to	TO	to
try	VB	try
to	TO	to
save	VB	save
endangered	JJ	endangered
species	NNS	specie
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
use	NN	use
of	IN	of
animals	NNS	animal
now	RB	now
to	TO	to
create	VB	create
drugs	NNS	drug
and	CC	and
other	JJ	other
things	NNS	thing
in	IN	in
their	PP$	their
bodies	NNS	body
that	IN	that
we	PP	we
want	VBP	want
to	TO	to
create	VB	create
.	SENT	.
So	RB	so
with	IN	with
antithrombin	NN	antithrombin
in	IN	in
that	DT	that
goat	NN	goat
—	:	-
that	DT	that
goat	NN	goat
has	VBZ	have
been	VBN	be
genetically	RB	genetically
modified	VBN	modify
so	RB	so
that	IN	that
the	DT	the
molecules	NNS	molecule
of	IN	of
its	PP$	its
milk	NN	milk
actually	RB	actually
include	VBP	include
the	DT	the
molecule	NN	molecule
of	IN	of
antithrombin	NN	antithrombin
that	IN	that
GTC	NP	GTC
Genetics	NP	Genetics
wants	VBZ	want
to	TO	to
create	VB	create
.	SENT	.
And	CC	and
then	RB	then
in	IN	in
addition	NN	addition
,	,	,
transgenic	JJ	transgenic
pigs	NNS	pig
,	,	,
knockout	NN	knockout
pigs	NNS	pig
,	,	,
from	IN	from
the	DT	the
National	NP	National
Institute	NP	Institute
of	IN	of
Animal	JJ	animal
Science	NN	science
in	IN	in
South	NP	South
Korea	NP	Korea
,	,	,
are	VBP	be
pigs	NNS	pig
that	IN	that
they	PP	they
are	VBP	be
going	VBG	go
to	TO	to
use	VB	use
,	,	,
in	IN	in
fact	NN	fact
,	,	,
to	TO	to
try	VB	try
to	TO	to
create	VB	create
all	DT	all
kinds	NNS	kind
of	IN	of
drugs	NNS	drug
and	CC	and
other	JJ	other
industrial	JJ	industrial
types	NNS	type
of	IN	of
chemicals	NNS	chemical
that	IN	that
they	PP	they
want	VBP	want
the	DT	the
blood	NN	blood
and	CC	and
the	DT	the
milk	NN	milk
of	IN	of
these	DT	these
animals	NNS	animal
to	TO	to
produce	VB	produce
for	IN	for
them	PP	them
,	,	,
instead	RB	instead
of	IN	of
producing	VBG	produce
them	PP	them
in	IN	in
an	DT	an
industrial	JJ	industrial
way	NN	way
.	SENT	.
These	DT	these
are	VBP	be
two	CD	two
creatures	NNS	creature
that	WDT	that
were	VBD	be
created	VBN	create
in	IN	in
order	NN	order
to	TO	to
save	VB	save
endangered	JJ	endangered
species	NNS	specie
.	SENT	.
The	DT	the
guar	NN	<unknown>
is	VBZ	be
an	DT	an
endangered	JJ	endangered
Southeast	JJ	southeast
Asian	JJ	Asian
ungulate	NN	ungulate
.	SENT	.
A	DT	a
somatic	JJ	somatic
cell	NN	cell
,	,	,
a	DT	a
body	NN	body
cell	NN	cell
,	,	,
was	VBD	be
taken	VBN	take
from	IN	from
its	PP$	its
body	NN	body
,	,	,
gestated	VBN	gestate
in	IN	in
the	DT	the
ovum	NN	ovum
of	IN	of
a	DT	a
cow	NN	cow
,	,	,
and	CC	and
then	RB	then
that	DT	that
cow	NN	cow
gave	VBD	give
birth	NN	birth
to	TO	to
a	DT	a
guar	NN	<unknown>
.	SENT	.
Same	JJ	same
thing	NN	thing
happened	VBN	happen
with	IN	with
the	DT	the
mouflon	NN	mouflon
,	,	,
where	WRB	where
it	PP	it
'	POS	'
s	NN	S
an	DT	an
endangered	JJ	endangered
species	NN	species
of	IN	of
sheep	NN	sheep
.	SENT	.
It	PP	it
was	VBD	be
gestated	VBN	gestate
in	IN	in
a	DT	a
regular	JJ	regular
sheep	NN	sheep
body	NN	body
,	,	,
which	WDT	which
