As	IN	as
technology	NN	technology
when	WRB	when
we	PP	we
started	VBD	start
applying	VBG	apply
it	PP	it
in	IN	in
the	DT	the
iBOT	NN	<unknown>
for	IN	for
the	DT	the
disabled	JJ	disabled
community	NN	community
.	SENT	.
The	DT	the
big	JJ	big
idea	NN	idea
here	RB	here
is	VBZ	be
,	,	,
I	PP	I
think	VBP	think
,	,	,
a	DT	a
new	JJ	new
piece	NN	piece
of	IN	of
a	DT	a
solution	NN	solution
to	TO	to
a	DT	a
fairly	RB	fairly
big	JJ	big
problem	NN	problem
in	IN	in
transportation	NN	transportation
.	SENT	.
And	CC	and
maybe	RB	maybe
to	TO	to
put	VB	put
that	IN	that
in	IN	in
perspective	NN	perspective
:	:	:
there	EX	there
'	''	'
s	NN	S
so	IN	so
much	JJ	much
data	NNS	datum
on	IN	on
this	DT	this
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
be	VB	be
happy	JJ	happy
to	TO	to
give	VB	give
it	PP	it
to	TO	to
you	PP	you
in	IN	in
different	JJ	different
forms	NNS	form
.	SENT	.
You	PP	you
never	RB	never
know	VBP	know
what	WP	what
strikes	VBZ	strike
the	DT	the
fancy	NN	fancy
of	IN	of
whom	WP	whom
,	,	,
but	CC	but
everybody	NN	everybody
is	VBZ	be
perfectly	RB	perfectly
willing	JJ	willing
to	TO	to
believe	VB	believe
the	DT	the
car	NN	car
changed	VBD	change
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
Henry	NP	Henry
Ford	NP	Ford
,	,	,
just	RB	just
about	IN	about
100	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
started	VBD	start
cranking	VBG	crank
out	RP	out
Model	NP	Model
Ts	NNS	<unknown>
.	SENT	.
What	WP	what
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
most	JJS	most
people	NNS	people
think	VBP	think
about	RB	about
is	VBZ	be
the	DT	the
context	NN	context
of	IN	of
how	WRB	how
technology	NN	technology
is	VBZ	be
applied	VBN	apply
.	SENT	.
For	IN	for
instance	NN	instance
,	,	,
in	IN	in
that	DT	that
time	NN	time
,	,	,
91	CD	@card@
percent	NN	percent
of	IN	of
America	NP	America
lived	VBD	live
either	RB	either
on	IN	on
farms	NNS	farm
or	CC	or
in	IN	in
small	JJ	small
towns	NNS	town
.	SENT	.
So	RB	so
,	,	,
the	DT	the
car	NN	car
—	:	-
the	DT	the
horseless	JJ	horseless
carriage	NN	carriage
that	WDT	that
replaced	VBD	replace
the	DT	the
horse	NN	horse
and	CC	and
carriage	NN	carriage
—	:	-
was	VBD	be
a	DT	a
big	JJ	big
deal	NN	deal
;	:	;
it	PP	it
went	VBD	go
twice	RB	twice
as	RB	as
fast	RB	fast
as	IN	as
a	DT	a
horse	NN	horse
and	CC	and
carriage	NN	carriage
.	SENT	.
It	PP	it
was	VBD	be
half	DT	half
as	RB	as
long	JJ	long
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
an	DT	an
environmental	JJ	environmental
improvement	NN	improvement
,	,	,
because	RB	because
,	,	,
for	IN	for
instance	NN	instance
,	,	,
in	IN	in
1903	CD	@card@
they	PP	they
outlawed	VBD	outlaw
horses	NNS	horse
and	CC	and
buggies	NNS	buggy
in	IN	in
downtown	JJ	downtown
Manhattan	NP	Manhattan
,	,	,
because	IN	because
you	PP	you
can	MD	can
imagine	VB	imagine
what	WP	what
the	DT	the
roads	NNS	road
look	VBP	look
like	IN	like
when	WRB	when
you	PP	you
have	VBP	have
a	DT	a
million	CD	million
horses	NNS	horse
,	,	,
and	CC	and
a	DT	a
million	CD	million
of	IN	of
them	PP	them
urinating	VBG	urinate
and	CC	and
doing	VBG	do
other	JJ	other
things	NNS	thing
,	,	,
and	CC	and
the	DT	the
typhoid	JJ	typhoid
and	CC	and
other	JJ	other
problems	NNS	problem
created	VBN	create
were	VBD	be
almost	RB	almost
unimaginable	JJ	unimaginable
.	SENT	.
So	IN	so
the	DT	the
car	NN	car
was	VBD	be
the	DT	the
clean	JJ	clean
environmental	JJ	environmental
alternative	NN	alternative
to	TO	to
a	DT	a
horse	NN	horse
and	CC	and
buggy	NN	buggy
.	SENT	.
It	PP	it
also	RB	also
was	VBD	be
a	DT	a
way	NN	way
for	IN	for
people	NNS	people
to	TO	to
get	VB	get
from	IN	from
their	PP$	their
farm	NN	farm
to	TO	to
a	DT	a
farm	NN	farm
,	,	,
or	CC	or
their	PP$	their
farm	NN	farm
to	TO	to
a	DT	a
town	NN	town
,	,	,
or	CC	or
from	IN	from
a	DT	a
town	NN	town
to	TO	to
a	DT	a
city	NN	city
.	SENT	.
It	PP	it
all	RB	all
made	VBD	make
sense	NN	sense
,	,	,
with	IN	with
91	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
people	NNS	people
living	VBG	live
there	RB	there
.	SENT	.
By	IN	by
the	DT	the
1950s	NNS	1950s
,	,	,
we	PP	we
started	VBD	start
connecting	VBG	connect
all	PDT	all
the	DT	the
towns	NNS	town
together	RB	together
with	IN	with
what	WP	what
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
claim	VBP	claim
is	VBZ	be
the	DT	the
eighth	JJ	eighth
wonder	NN	wonder
of	IN	of
the	DT	the
world	NN	world
,	,	,
the	DT	the
highway	NN	highway
system	NN	system
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
certainly	RB	certainly
a	DT	a
wonder	NN	wonder
.	SENT	.
And	CC	and
by	IN	by
the	DT	the
way	NN	way
,	,	,
as	IN	as
I	PP	I
take	VBP	take
shots	NNS	shot
at	IN	at
old	JJ	old
technologies	NNS	technology
,	,	,
I	PP	I
want	VBP	want
to	TO	to
assure	VB	assure
everybody	NN	everybody
,	,	,
and	CC	and
particularly	RB	particularly
the	DT	the
automotive	JJ	automotive
industry	NN	industry
—	:	-
who	WP	who
'	POS	'
s	RB	<unknown>
been	VBN	be
very	RB	very
supportive	JJ	supportive
of	IN	of
us	PP	us
—	:	-
that	IN	that
I	PP	I
don	VB	don
'	''	'
t	NN	t
think	VBP	think
this	DT	this
in	IN	in
any	DT	any
way	NN	way
competes	VBZ	compete
with	IN	with
airplanes	NNS	airplane
,	,	,
or	CC	or
cars	NNS	car
.	SENT	.
But	CC	but
think	VBP	think
about	RB	about
where	WRB	where
the	DT	the
world	NN	world
is	VBZ	be
today	NN	today
.	SENT	.
50	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
global	JJ	global
population	NN	population
now	RB	now
lives	VBZ	live
in	IN	in
cities	NNS	city
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
3	CD	@card@
.	SENT	.
2	CD	@card@
billion	NN	billion
people	NNS	people
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
solved	VBD	solve
all	PDT	all
the	DT	the
transportation	NN	transportation
problems	NNS	problem
that	WDT	that
have	VBP	have
changed	VBN	change
the	DT	the
world	NN	world
to	TO	to
get	VB	get
it	PP	it
to	TO	to
where	WRB	where
we	PP	we
are	VBP	be
today	NN	today
.	SENT	.
500	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
sailing	NN	sailing
ships	NNS	ship
started	VBD	start
getting	VBG	get
reliable	JJ	reliable
enough	NN	enough
;	:	;
we	PP	we
found	VBD	find
a	DT	a
new	JJ	new
continent	NN	continent
.	SENT	.
150	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
locomotives	NNS	locomotive
got	VBD	get
efficient	JJ	efficient
enough	NN	enough
,	,	,
steam	NN	steam
power	NN	power
,	,	,
that	WDT	that
we	PP	we
turned	VBD	turn
the	DT	the
continent	NN	continent
into	IN	into
a	DT	a
country	NN	country
.	SENT	.
Over	IN	over
the	DT	the
last	JJ	last
hundred	CD	hundred
years	NNS	year
,	,	,
we	PP	we
started	VBD	start
building	NN	building
cars	NNS	car
,	,	,
and	CC	and
then	RB	then
over	IN	over
the	DT	the
50	CD	@card@
years	NNS	year
we	PP	we
'	POS	'
ve	NN	ve
connected	VBD	connect
every	DT	every
city	NN	city
to	TO	to
every	DT	every
other	JJ	other
city	NN	city
in	IN	in
an	DT	an
extraordinarily	RB	extraordinarily
efficient	JJ	efficient
way	NN	way
,	,	,
and	CC	and
we	PP	we
have	VBP	have
a	DT	a
very	RB	very
high	JJ	high
standard	NN	standard
of	IN	of
living	VBG	live
as	IN	as
a	DT	a
consequence	NN	consequence
of	IN	of
that	DT	that
.	SENT	.
But	CC	but
during	IN	during
that	DT	that
entire	JJ	entire
process	NN	process
,	,	,
more	JJR	more
and	CC	and
more	JJR	more
people	NNS	people
have	VBP	have
been	VBN	be
born	VBN	bear
,	,	,
and	CC	and
more	JJR	more
and	CC	and
more	JJR	more
people	NNS	people
are	VBP	be
moving	VBG	move
to	TO	to
cities	NNS	city
.	SENT	.
China	NP	China
alone	RB	alone
is	VBZ	be
going	VBG	go
to	TO	to
move	VB	move
four	CD	four
to	TO	to
six	CD	six
hundred	CD	hundred
million	CD	million
people	NNS	people
into	IN	into
cities	NNS	city
in	IN	in
the	DT	the
next	JJ	next
decade	NN	decade
and	CC	and
a	DT	a
half	NN	half
.	SENT	.
And	CC	and
so	RB	so
,	,	,
nobody	NN	nobody
,	,	,
I	PP	I
think	VBP	think
,	,	,
would	MD	would
argue	VB	argue
that	DT	that
airplanes	NNS	airplane
,	,	,
in	IN	in
the	DT	the
last	JJ	last
50	CD	@card@
years	NNS	year
,	,	,
have	VBP	have
turned	VBN	turn
the	DT	the
continent	NN	continent
and	CC	and
the	DT	the
country	NN	country
now	RB	now
into	IN	into
a	DT	a
neighborhood	NN	neighborhood
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
just	RB	just
look	VBP	look
at	IN	at
how	WRB	how
technology	NN	technology
has	VBZ	have
been	VBN	be
applied	VBN	apply
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
solved	VBD	solve
all	PDT	all
the	DT	the
long-range	JJ	long-range
,	,	,
high-speed	JJ	high-speed
,	,	,
high-volume	JJ	high-volume
,	,	,
large-	JJ	<unknown>
weight	NN	weight
problems	NNS	problem
of	IN	of
moving	VBG	move
things	NNS	thing
around	RB	around
.	SENT	.
Nobody	NN	nobody
would	MD	would
want	VB	want
to	TO	to
give	VB	give
them	PP	them
up	RP	up
.	SENT	.
And	CC	and
I	PP	I
certainly	RB	certainly
wouldn	NN	<unknown>
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
give	VB	give
up	RP	up
my	PP$	my
airplane	NN	airplane
,	,	,
or	CC	or
my	PP$	my
helicopter	NN	helicopter
,	,	,
or	CC	or
my	PP$	my
Humvee	NP	<unknown>
,	,	,
or	CC	or
my	PP$	my
Porsche	NP	Porsche
.	SENT	.
I	PP	I
love	VBP	love
them	PP	them
all	DT	all
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
keep	VB	keep
any	DT	any
of	IN	of
them	PP	them
in	IN	in
my	PP$	my
living	NN	living
room	NN	room
.	SENT	.
The	DT	the
fact	NN	fact
is	VBZ	be
,	,	,
the	DT	the
last	JJ	last
mile	NN	mile
is	VBZ	be
the	DT	the
problem	NN	problem
,	,	,
and	CC	and
half	PDT	half
the	DT	the
world	NN	world
now	RB	now
lives	VBZ	live
in	IN	in
dense	JJ	dense
cities	NNS	city
.	SENT	.
And	CC	and
people	NNS	people
spend	VBP	spend
,	,	,
depending	VBG	depend
on	IN	on
who	WP	who
they	PP	they
are	VBP	be
,	,	,
between	IN	between
90	CD	@card@
and	CC	and
95	CD	@card@
percent	NN	percent
of	IN	of
their	PP$	their
energy	NN	energy
getting	VBG	get
around	RP	around
on	IN	on
foot	NN	foot
.	SENT	.
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	NN	S
—	:	-
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
data	NNS	datum
would	MD	would
impress	VB	impress
you	PP	you
,	,	,
but	CC	but
how	WRB	how
about	RB	about
,	,	,
43	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
refined	JJ	refined
fuel	NN	fuel
produced	VBN	produce
in	IN	in
the	DT	the
world	NN	world
is	VBZ	be
consumed	VBN	consume
by	IN	by
cars	NNS	car
in	IN	in
metropolitan	JJ	metropolitan
areas	NNS	area
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
Three	CD	three
million	CD	million
people	NNS	people
die	VBP	die
every	DT	every
year	NN	year
in	IN	in
cities	NNS	city
due	JJ	due
to	TO	to
bad	JJ	bad
air	NN	air
,	,	,
and	CC	and
almost	RB	almost
all	DT	all
particulate	JJ	particulate
pollution	NN	pollution
on	IN	on
this	DT	this
planet	NN	planet
is	VBZ	be
produced	VBN	produce
by	IN	by
transportation	NN	transportation
devices	NNS	device
,	,	,
particularly	RB	particularly
sitting	VBG	sit
in	IN	in
cities	NNS	city
.	SENT	.
And	CC	and
again	RB	again
,	,	,
I	PP	I
say	VBP	say
that	IN	that
not	RB	not
to	TO	to
attack	VB	attack
any	DT	any
industry	NN	industry
,	,	,
I	PP	I
think	VBP	think
—	:	-
I	PP	I
really	RB	really
do	VBP	do
—	:	-
I	PP	I
love	VBP	love
my	PP$	my
airplane	NN	airplane
,	,	,
and	CC	and
cars	NNS	car
on	IN	on
highways	NNS	highway
moving	VBG	move
60	CD	@card@
miles	NNS	mile
an	DT	an
hour	NN	hour
are	VBP	be
extraordinarily	RB	extraordinarily
efficient	JJ	efficient
,	,	,
both	CC	both
from	IN	from
an	DT	an
engineering	NN	engineering
point	NN	point
of	IN	of
view	NN	view
,	,	,
an	DT	an
energy	NN	energy
consumption	NN	consumption
point	NN	point
of	IN	of
view	NN	view
,	,	,
and	CC	and
a	DT	a
utility	NN	utility
point	NN	point
of	IN	of
view	NN	view
.	SENT	.
And	CC	and
we	PP	we
all	RB	all
love	VBP	love
our	PP$	our
cars	NNS	car
,	,	,
and	CC	and
I	PP	I
do	VBP	do
.	SENT	.
The	DT	the
problem	NN	problem
is	VBZ	be
,	,	,
you	PP	you
get	VBP	get
into	IN	into
the	DT	the
city	NN	city
and	CC	and
you	PP	you
want	VBP	want
to	TO	to
go	VB	go
four	CD	four
blocks	NNS	block
,	,	,
it	PP	it
'	POS	'
s	NN	S
neither	CC	neither
fun	NN	fun
nor	CC	nor
efficient	JJ	efficient
nor	CC	nor
productive	JJ	productive
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
sustainable	JJ	sustainable
.	SENT	.
If	IN	if
—	:	-
in	IN	in
China	NP	China
,	,	,
in	IN	in
the	DT	the
year	NN	year
1998	CD	@card@
,	,	,
417	CD	@card@
million	CD	million
people	NNS	people
used	VBN	use
bicycles	NNS	bicycle
;	:	;
1	LS	1
.	SENT	.
7	CD	@card@
million	CD	million
people	NNS	people
used	VBN	use
cars	NNS	car
.	SENT	.
If	IN	if
five	CD	five
percent	NN	percent
of	IN	of
that	DT	that
population	NN	population
became	VBD	become
,	,	,
quote	NN	quote
,	,	,
middle	JJ	middle
class	NN	class
,	,	,
and	CC	and
wanted	VBD	want
to	TO	to
go	VB	go
the	DT	the
way	NN	way
we	PP	we
'	POS	'
ve	NNS	<unknown>
gone	VBN	go
in	IN	in
the	DT	the
last	JJ	last
hundred	CD	hundred
years	NNS	year
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
that	IN	that
50	CD	@card@
percent	NN	percent
of	IN	of
their	PP$	their
population	NN	population
are	VBP	be
moving	VBG	move
into	IN	into
cities	NNS	city
of	IN	of
the	DT	the
size	NN	size
and	CC	and
density	NN	density
of	IN	of
Manhattan	NP	Manhattan
,	,	,
every	DT	every
six	CD	six
weeks	NNS	week
—	:	-
it	PP	it
isn	NNS	<unknown>
'	POS	'
t	NN	t
sustainable	JJ	sustainable
environmentally	RB	environmentally
;	:	;
it	PP	it
isn	NNS	<unknown>
'	POS	'
t	NN	t
sustainable	JJ	sustainable
economically	RB	economically
—	:	-
there	RB	there
just	RB	just
ain	NN	ain
'	POS	'
t	NN	t
enough	JJ	enough
oil	NN	oil
—	:	-
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
sustainable	JJ	sustainable
politically	RB	politically
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
what	WP	what
are	VBP	be
we	PP	we
fighting	VBG	fight
over	RP	over
right	RB	right
now	RB	now
?	SENT	?
We	PP	we
can	MD	can
make	VB	make
it	PP	it
complicated	VBN	complicate
,	,	,
but	CC	but
what	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
world	NN	world
fighting	VBG	fight
over	RP	over
right	RB	right
now	RB	now
?	SENT	?
So	RB	so
it	PP	it
seemed	VBD	seem
to	TO	to
me	PP	me
that	IN	that
somebody	NN	somebody
had	VBD	have
to	TO	to
work	VB	work
on	IN	on
that	DT	that
last	JJ	last
mile	NN	mile
,	,	,
and	CC	and
it	PP	it
was	VBD	be
dumb	JJ	dumb
luck	NN	luck
.	SENT	.
We	PP	we
were	VBD	be
working	VBG	work
on	IN	on
iBOTs	NNS	<unknown>
,	,	,
but	CC	but
once	RB	once
we	PP	we
made	VBD	make
this	DT	this
,	,	,
we	PP	we
instantly	RB	instantly
decided	VBD	decide
it	PP	it
could	MD	could
be	VB	be
a	DT	a
great	JJ	great
alternative	NN	alternative
to	TO	to
jet	NN	jet
skis	NNS	ski
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
the	DT	the
water	NN	water
.	SENT	.
Or	CC	or
snowmobiles	NNS	snowmobile
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
the	DT	the
snow	NN	snow
.	SENT	.
Or	CC	or
skiing	NN	skiing
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
just	JJ	just
fun	NN	fun
,	,	,
and	CC	and
people	NNS	people
love	VBP	love
to	TO	to
move	VB	move
around	RP	around
doing	VBG	do
fun	NN	fun
things	NNS	thing
.	SENT	.
And	CC	and
every	DT	every
one	CD	one
of	IN	of
those	DT	those
industries	NNS	industry
,	,	,
by	IN	by
the	DT	the
way	NN	way
—	:	-
just	RB	just
golf	NN	golf
carts	NNS	cart
alone	RB	alone
is	VBZ	be
a	DT	a
multi-billion-dollar	NN	multi-billion-dollar
industry	NN	industry
.	SENT	.
But	CC	but
rather	RB	rather
than	IN	than
go	VB	go
license	VB	license
this	DT	this
off	JJ	off
,	,	,
which	WDT	which
is	VBZ	be
what	WP	what
we	PP	we
normally	RB	normally
do	VBP	do
,	,	,
it	PP	it
seemed	VBD	seem
to	TO	to
me	PP	me
that	IN	that
if	IN	if
we	PP	we
put	VBP	put
all	PDT	all
our	PP$	our
effort	NN	effort
not	RB	not
into	IN	into
the	DT	the
technology	NN	technology
,	,	,
but	CC	but
into	IN	into
an	DT	an
understanding	NN	understanding
of	IN	of
a	DT	a
world	NN	world
that	RB	that
'	POS	'
s	NN	S
solved	VBD	solve
all	PDT	all
its	PP$	its
other	JJ	other
problems	NNS	problem
,	,	,
but	CC	but
has	VBZ	have
somehow	RB	somehow
come	VBN	come
to	TO	to
accept	VB	accept
that	DT	that
cities	NNS	city
—	:	-
which	WDT	which
,	,	,
right	RB	right
back	RB	back
from	IN	from
ancient	JJ	ancient
Greece	NP	Greece
on	IN	on
,	,	,
were	VBD	be
meant	VBN	mean
to	TO	to
walk	VB	walk
around	RP	around
,	,	,
cities	NNS	city
that	WDT	that
were	VBD	be
architected	VBN	<unknown>
and	CC	and
built	VBN	build
for	IN	for
people	NNS	people
—	:	-
now	RB	now
have	VB	have
a	DT	a
footprint	NN	footprint
that	IN	that
,	,	,
while	IN	while
we	PP	we
'	POS	'
ve	NN	ve
solved	VBD	solve
every	DT	every
other	JJ	other
transportation	NN	transportation
problem	NN	problem
—	:	-
and	CC	and
it	PP	it
'	POS	'
s	NN	S
like	IN	like
Moore	NP	Moore
'	POS	'
s	NN	S
law	NN	law
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
look	VBP	look
at	IN	at
the	DT	the
time	NN	time
it	PP	it
took	VBD	take
to	TO	to
cross	VB	cross
a	DT	a
continent	NN	continent
in	IN	in
a	DT	a
Conestoga	NP	Conestoga
wagon	NN	wagon
,	,	,
then	RB	then
on	IN	on
a	DT	a
railroad	NN	railroad
,	,	,
then	RB	then
an	DT	an
airplane	NN	airplane
.	SENT	.
Every	DT	every
other	JJ	other
form	NN	form
of	IN	of
transportation	NN	transportation
'	POS	'
s	RB	<unknown>
been	VBN	be
improved	VBN	improve
.	SENT	.
In	IN	in
5	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
,	,	,
we	PP	we
'	POS	'
ve	NNS	<unknown>
gone	VBN	go
backwards	RB	backwards
in	IN	in
getting	VBG	get
around	RP	around
cities	NNS	city
.	SENT	.
They	PP	they
'	POS	'
ve	NNS	<unknown>
gotten	VBN	get
bigger	JJR	big
;	:	;
they	PP	they
'	POS	'
re	NN	re
spread	VBD	spread
out	RP	out
.	SENT	.
The	DT	the
most	RBS	most
expensive	JJ	expensive
real	JJ	real
estate	NN	estate
on	IN	on
this	DT	this
planet	NN	planet
in	IN	in
every	DT	every
city	NN	city
—	:	-
Wilshire	NP	Wilshire
Boulevard	NP	Boulevard
,	,	,
or	CC	or
Fifth	NP	Fifth
Avenue	NP	Avenue
,	,	,
or	CC	or
Tokyo	NP	Tokyo
,	,	,
or	CC	or
Paris	NP	Paris
—	:	-
the	DT	the
most	RBS	most
expensive	JJ	expensive
real	JJ	real
estate	NN	estate
is	VBZ	be
their	PP$	their
downtowns	NNS	downtown
.	SENT	.
65	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
landmass	NN	landmass
of	IN	of
our	PP$	our
cities	NNS	city
are	VBP	be
parked	VBN	park
cars	NNS	car
.	SENT	.
The	DT	the
20	CD	@card@
largest	JJS	large
cities	NNS	city
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
So	RB	so
you	PP	you
wonder	VBP	wonder
,	,	,
what	WP	what
if	IN	if
cities	NNS	city
could	MD	could
give	VB	give
to	TO	to
their	PP$	their
pedestrians	NNS	pedestrian
what	WP	what
we	PP	we
take	VBP	take
for	IN	for
granted	VBN	grant
as	IN	as
we	PP	we
now	RB	now
go	VBP	go
between	IN	between
cities	NNS	city
?	SENT	?
What	WP	what
if	IN	if
you	PP	you
could	MD	could
make	VB	make
them	PP	them
fun	NN	fun
,	,	,
attractive	JJ	attractive
,	,	,
clean	JJ	clean
,	,	,
environmentally	RB	environmentally
friendly	JJ	friendly
?	SENT	?
What	WP	what
if	IN	if
it	PP	it
would	MD	would
make	VB	make
it	PP	it
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
palatable	JJ	palatable
to	TO	to
have	VB	have
access	NN	access
via	IN	via
this	DT	this
,	,	,
as	IN	as
that	DT	that
last	JJ	last
link	NN	link
to	TO	to
mass	JJ	mass
transit	NN	transit
,	,	,
to	TO	to
get	VB	get
out	RP	out
to	TO	to
your	PP$	your
cars	NNS	car
so	IN	so
we	PP	we
can	MD	can
all	RB	all
live	VB	live
in	IN	in
the	DT	the
suburbs	NNS	suburb
and	CC	and
use	VB	use
our	PP$	our
cars	NNS	car
the	DT	the
way	NN	way
we	PP	we
want	VBP	want
,	,	,
and	CC	and
then	RB	then
have	VB	have
our	PP$	our
cities	NNS	city
energized	VBN	energize
again	RB	again
?	SENT	?
We	PP	we
thought	VBD	think
it	PP	it
would	MD	would
be	VB	be
really	RB	really
neat	JJ	neat
to	TO	to
do	VB	do
that	IN	that
,	,	,
and	CC	and
one	CD	one
of	IN	of
the	DT	the
problems	NNS	problem
we	PP	we
really	RB	really
were	VBD	be
worried	VBN	worry
about	RB	about
is	VBZ	be
:	:	:
how	WRB	how
do	VBP	do
we	PP	we
get	VB	get
legal	JJ	legal
on	IN	on
the	DT	the
sidewalk	NN	sidewalk
?	SENT	?
Because	IN	because
technically	RB	technically
I	NP	I
