Here	RB	here
great	JJ	great
city	NN	city
,	,	,
trying	VBG	try
to	TO	to
make	VB	make
sense	NN	sense
of	IN	of
what	WP	what
is	VBZ	be
going	VBG	go
on	RP	on
.	SENT	.
And	CC	and
what	WP	what
the	DT	the
chart	NN	chart
reveals	VBZ	reveal
is	VBZ	be
that	IN	that
there	EX	there
is	VBZ	be
a	DT	a
tragic	JJ	tragic
amount	NN	amount
of	IN	of
death	NN	death
among	IN	among
children	NNS	child
,	,	,
not	RB	not
just	RB	just
infants	NNS	infant
,	,	,
but	CC	but
five-year-olds	NNS	five-year-old
and	CC	and
10-year-olds	NNS	<unknown>
are	VBP	be
dying	VBG	die
at	IN	at
an	DT	an
alarming	JJ	alarming
rate	NN	rate
.	SENT	.
But	CC	but
almost	RB	almost
nobody	NN	nobody
makes	VBZ	make
it	PP	it
to	TO	to
85	CD	@card@
or	CC	or
90	CD	@card@
.	SENT	.
And	CC	and
more	RBR	more
than	IN	than
half	NN	half
of	IN	of
the	DT	the
population	NN	population
is	VBZ	be
dead	JJ	dead
by	IN	by
the	DT	the
age	NN	age
of	IN	of
45	CD	@card@
.	SENT	.
How	WRB	how
many	JJ	many
people	NNS	people
in	IN	in
this	DT	this
room	NN	room
are	VBP	be
older	JJR	old
than	IN	than
45	CD	@card@
?	SENT	?
Right	RB	right
?	SENT	?
And	CC	and
think	VBP	think
about	IN	about
that	DT	that
:	:	:
half	DT	half
of	IN	of
you	PP	you
would	MD	would
not	RB	not
be	VB	be
here	RB	here
.	SENT	.
We	PP	we
talk	VBP	talk
about	IN	about
optimism	NN	optimism
.	SENT	.
That	DT	that
is	VBZ	be
the	DT	the
most	RBS	most
fundamental	JJ	fundamental
form	NN	form
of	IN	of
good	JJ	good
news	NN	news
there	EX	there
is	VBZ	be
.	SENT	.
You	PP	you
are	VBP	be
not	RB	not
dead	JJ	dead
.	SENT	.
Right	RB	right
?	SENT	?
So	RB	so
I	PP	I
want	VBP	want
to	TO	to
stress	VB	stress
here	RB	here
that	IN	that
this	DT	this
good	JJ	good
news	NN	news
is	VBZ	be
not	RB	not
uncomplicated	JJ	uncomplicated
.	SENT	.
100	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
there	EX	there
were	VBD	be
less	JJR	less
than	IN	than
two	CD	two
billion	NN	billion
people	NNS	people
on	IN	on
earth	NN	earth
.	SENT	.
Today	NN	today
there	RB	there
'	POS	'
s	NN	S
almost	RB	almost
eight	CD	eight
billion	NNS	billion
and	CC	and
counting	VBG	count
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
that	DT	that
runaway	JJ	runaway
population	NN	population
growth	NN	growth
not	RB	not
because	IN	because
people	NNS	people
started	VBD	start
having	VBG	have
more	JJR	more
babies	NNS	baby
,	,	,
but	CC	but
rather	RB	rather
because	IN	because
people	NNS	people
stopped	VBD	stop
dying	VBG	die
and	CC	and
the	DT	the
generations	NNS	generation
stacked	VBN	stack
up	RP	up
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
problems	NNS	problem
like	IN	like
climate	NN	climate
change	NN	change
because	IN	because
of	IN	of
these	DT	these
underlying	VBG	underlie
trends	NNS	trend
as	IN	as
well	RB	well
.	SENT	.
If	IN	if
we	PP	we
had	VBD	have
kept	VBN	keep
mortality	NN	mortality
rates	NNS	rate
where	WRB	where
they	PP	they
were	VBD	be
in	IN	in
1920	CD	@card@
,	,	,
we	PP	we
wouldn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
anywhere	RB	anywhere
near	IN	near
the	DT	the
magnitude	NN	magnitude
of	IN	of
the	DT	the
climate	NN	climate
crisis	NN	crisis
we	PP	we
'	POS	'
re	NN	re
facing	VBG	face
now	RB	now
because	IN	because
there	EX	there
simply	RB	simply
wouldn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
been	VBN	be
enough	JJ	enough
people	NNS	people
on	IN	on
the	DT	the
planet	NN	planet
to	TO	to
emit	VB	emit
enough	JJ	enough
carbon	NN	carbon
into	IN	into
the	DT	the
atmosphere	NN	atmosphere
to	TO	to
make	VB	make
a	DT	a
meaningful	JJ	meaningful
difference	NN	difference
.	SENT	.
In	IN	in
a	DT	a
weird	JJ	weird
sense	NN	sense
,	,	,
climate	NN	climate
change	NN	change
is	VBZ	be
the	DT	the
unintended	JJ	unintended
consequence	NN	consequence
of	IN	of
industrialization	NN	industrialization
and	CC	and
increased	VBN	increase
longevity	NN	longevity
.	SENT	.
So	RB	so
all	PDT	all
this	DT	this
extra	JJ	extra
life	NN	life
is	VBZ	be
a	DT	a
mixed	JJ	mixed
blessing	NN	blessing
,	,	,
like	IN	like
any	DT	any
change	NN	change
this	DT	this
momentous	JJ	momentous
.	SENT	.
But	CC	but
I	PP	I
want	VBP	want
to	TO	to
stress	VB	stress
not	RB	not
just	RB	just
that	IN	that
we	PP	we
did	VBD	do
it	PP	it
,	,	,
but	CC	but
I	PP	I
think	VBP	think
the	DT	the
more	RBR	more
interesting	JJ	interesting
question	NN	question
is	VBZ	be
how	WRB	how
we	PP	we
did	VBD	do
it	PP	it
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
'	POS	'
s	RB	<unknown>
been	VBN	be
obsessing	VBG	obsess
me	PP	me
over	IN	over
the	DT	the
last	JJ	last
years	NNS	year
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
investigation	NN	investigation
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
on	IN	on
,	,	,
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
what	WP	what
are	VBP	be
the	DT	the
prime	JJ	prime
movers	NNS	mover
when	WRB	when
we	PP	we
see	VBP	see
change	VB	change
this	DT	this
momentous	JJ	momentous
.	SENT	.
What	WP	what
is	VBZ	be
really	RB	really
driving	VBG	drive
that	DT	that
change	NN	change
?	SENT	?
And	CC	and
I	PP	I
think	VBP	think
we	PP	we
should	MD	should
say	VB	say
,	,	,
given	VBN	give
everything	NN	everything
that	RB	that
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
in	IN	in
the	DT	the
world	NN	world
,	,	,
we	PP	we
should	MD	should
point	VB	point
out	RP	out
that	DT	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
one	CD	one
of	IN	of
those	DT	those
prime	JJ	prime
movers	NNS	mover
,	,	,
which	WDT	which
we	PP	we
should	MD	should
shout	VB	shout
from	IN	from
the	DT	the
rooftops	NNS	rooftop
,	,	,
is	VBZ	be
vaccines	NNS	vaccine
.	SENT	.
Right	RB	right
?	SENT	?
We	PP	we
doubled	VBD	double
--	:	--
Yes	UH	yes
,	,	,
right	RB	right
?	SENT	?
Thank	VB	thank
you	PP	you
.	SENT	.
I	PP	I
did	VBD	do
invent	VB	invent
vaccines	NNS	vaccine
,	,	,
so	RB	so
I	PP	I
appreciate	VBP	appreciate
that	RB	that
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
for	IN	for
smallpox	NN	smallpox
to	TO	to
polio	NN	polio
,	,	,
influenza	NN	influenza
,	,	,
TB	NN	TB
and	CC	and
measles	NN	measles
,	,	,
and	CC	and
covid	NN	<unknown>
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
if	IN	if
we	PP	we
celebrated	VBD	celebrate
the	DT	the
eradication	NN	eradication
of	IN	of
smallpox	NN	smallpox
the	DT	the
way	NN	way
we	PP	we
celebrate	VBP	celebrate
the	DT	the
moon	NN	moon
landing	NN	landing
,	,	,
we	PP	we
would	MD	would
have	VB	have
a	DT	a
lot	NN	lot
less	CC	less
vaccine	NN	vaccine
hesitancy	NN	hesitancy
in	IN	in
the	DT	the
world	NN	world
right	RB	right
now	RB	now
.	SENT	.
But	CC	but
I	PP	I
also	RB	also
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
mistake	NN	mistake
to	TO	to
focus	VB	focus
exclusively	RB	exclusively
on	IN	on
the	DT	the
march	NN	march
of	IN	of
science	NN	science
and	CC	and
the	DT	the
kind	NN	kind
of	IN	of
tangible	JJ	tangible
objects	NNS	object
,	,	,
like	IN	like
vaccines	NNS	vaccine
and	CC	and
antibiotics	NNS	antibiotic
or	CC	or
X-rays	NNS	X-ray
.	SENT	.
And	CC	and
to	TO	to
explain	VB	explain
what	WP	what
I	PP	I
mean	VBP	mean
by	IN	by
that	DT	that
,	,	,
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
useful	JJ	useful
to	TO	to
look	VB	look
at	IN	at
the	DT	the
story	NN	story
of	IN	of
how	WRB	how
we	PP	we
conquered	VBD	conquer
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
terrifying	JJ	terrifying
threats	NNS	threat
of	IN	of
the	DT	the
19th	JJ	19th
century	NN	century
.	SENT	.
Milk	NN	milk
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
think	VBP	think
of	IN	of
milk	NN	milk
as	IN	as
this	DT	this
kind	NN	kind
of	IN	of
emblem	NN	emblem
of	IN	of
health	NN	health
and	CC	and
vitality	NN	vitality
,	,	,
but	CC	but
in	IN	in
fact	NN	fact
,	,	,
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
19th	JJ	19th
century	NN	century
,	,	,
milk	NN	milk
was	VBD	be
a	DT	a
serious	JJ	serious
health	NN	health
threat	NN	threat
,	,	,
particularly	RB	particularly
to	TO	to
children	NNS	child
.	SENT	.
We	PP	we
had	VBD	have
no	DT	no
mechanical	JJ	mechanical
refrigeration	NN	refrigeration
and	CC	and
so	RB	so
there	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
spoilage	NN	spoilage
problems	NNS	problem
.	SENT	.
People	NNS	people
could	MD	could
get	VB	get
tuberculosis	NN	tuberculosis
from	IN	from
milk	NN	milk
.	SENT	.
They	PP	they
figured	VBD	figure
out	RP	out
this	DT	this
thing	NN	thing
for	IN	for
urban	JJ	urban
cattle	NNS	cattle
where	WRB	where
they	PP	they
couldn	NN	<unknown>
'	POS	'
t	NN	t
feed	NN	feed
them	PP	them
grass	VBP	grass
so	RB	so
they	PP	they
would	MD	would
feed	VB	feed
them	PP	them
slop	VB	slop
from	IN	from
whiskey	NN	whiskey
distilleries	NNS	distillery
--	:	--
instead	RB	instead
of	IN	of
grass	NN	grass
,	,	,
brilliant	JJ	brilliant
idea	NN	idea
--	:	--
which	WDT	which
produced	VBD	produce
this	DT	this
kind	NN	kind
of	IN	of
blue-tinted	JJ	<unknown>
milk	NN	milk
that	WDT	that
was	VBD	be
very	RB	very
dangerous	JJ	dangerous
,	,	,
called	VBD	call
swill	NN	swill
milk	NN	milk
.	SENT	.
In	IN	in
1850	CD	@card@
,	,	,
more	JJR	more
than	IN	than
half	NN	half
of	IN	of
all	PDT	all
the	DT	the
deaths	NNS	death
recorded	VBN	record
in	IN	in
New	NP	New
York	NP	York
City	NP	City
were	VBD	be
young	JJ	young
children	NNS	child
,	,	,
many	JJ	many
of	IN	of
them	PP	them
killed	VBD	kill
by	IN	by
contaminated	JJ	contaminated
milk	NN	milk
.	SENT	.
And	CC	and
look	VB	look
,	,	,
I	PP	I
know	VBP	know
what	WP	what
you	PP	you
'	POS	'
re	NN	re
thinking	NN	thinking
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
thinking	NN	thinking
,	,	,
"	``	"
I	PP	I
know	VBP	know
how	WRB	how
we	PP	we
solved	VBD	solve
this	DT	this
problem	NN	problem
.	SENT	.
We	PP	we
solved	VBD	solve
it	PP	it
with	IN	with
science	NN	science
.	SENT	.
We	PP	we
solved	VBD	solve
it	PP	it
with	IN	with
chemistry	NN	chemistry
.	SENT	.
"	''	"
Right	RB	right
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
solution	NN	solution
is	VBZ	be
so	RB	so
famous	JJ	famous
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
sitting	VBG	sit
there	RB	there
printed	VBN	print
on	IN	on
every	DT	every
carton	NN	carton
of	IN	of
milk	NN	milk
in	IN	in
every	DT	every
grocery	NN	grocery
store	NN	store
in	IN	in
the	DT	the
country	NN	country
,	,	,
right	RB	right
?	SENT	?
Pasteurization	NN	pasteurization
.	SENT	.
But	CC	but
actually	RB	actually
,	,	,
the	DT	the
story	NN	story
of	IN	of
pasteurization	NN	pasteurization
is	VBZ	be
a	DT	a
case	NN	case
study	NN	study
in	IN	in
the	DT	the
limits	NNS	limit
of	IN	of
science	NN	science
because	IN	because
Louis	NP	Louis
Pasteur	NP	Pasteur
came	VBD	come
up	RP	up
with	IN	with
his	PP$	his
technique	NN	technique
for	IN	for
sterilizing	VBG	sterilize
milk	NN	milk
in	IN	in
1865	CD	@card@
,	,	,
but	CC	but
we	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
actually	RB	actually
have	VBP	have
pasteurized	VBN	pasteurize
milk	NN	milk
as	IN	as
a	DT	a
standard	NN	standard
on	IN	on
American	JJ	American
grocery	NN	grocery
stores	NNS	store
'	POS	'
shelves	NNS	shelf
until	IN	until
1915	CD	@card@
,	,	,
a	DT	a
full	JJ	full
50	CD	@card@
years	NNS	year
later	RBR	later
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
because	IN	because
science	NN	science
and	CC	and
chemistry	NN	chemistry
on	IN	on
its	PP$	its
own	JJ	own
wasn	NN	<unknown>
'	POS	'
t	NN	t
enough	RB	enough
to	TO	to
make	VB	make
a	DT	a
meaningful	JJ	meaningful
change	NN	change
.	SENT	.
You	PP	you
also	RB	also
needed	VBD	need
persuasion	NN	persuasion
.	SENT	.
You	PP	you
had	VBD	have
to	TO	to
convince	VB	convince
people	NNS	people
to	TO	to
drink	VB	drink
pasteurized	VBN	pasteurize
milk	NN	milk
,	,	,
you	PP	you
had	VBD	have
to	TO	to
convince	VB	convince
the	DT	the
dairy	NN	dairy
industry	NN	industry
to	TO	to
make	VB	make
pasteurized	VBN	pasteurize
milk	NN	milk
,	,	,
and	CC	and
that	WDT	that
took	VBD	take
a	DT	a
whole	JJ	whole
other	JJ	other
cast	NN	cast
of	IN	of
characters	NNS	character
.	SENT	.
It	PP	it
took	VBD	take
muckraking	VBG	muckrake
journalists	NNS	journalist
.	SENT	.
It	PP	it
took	VBD	take
crusading	VBG	crusade
lawmakers	NNS	lawmaker
.	SENT	.
There	EX	there
was	VBD	be
a	DT	a
whole	JJ	whole
subculture	NN	subculture
of	IN	of
pasteurization	NN	pasteurization
activists	NNS	activist
back	RB	back
then	RB	then
.	SENT	.
Maybe	RB	maybe
the	DT	the
most	RBS	most
unlikely	JJ	unlikely
one	CD	one
was	VBD	be
a	DT	a
department	NN	department
store	NN	store
magnate	NN	magnate
named	VBN	name
Nathan	NP	Nathan
Straus	NP	Straus
,	,	,
who	WP	who
got	VBD	get
obsessed	VBN	obsess
with	IN	with
the	DT	the
pasteurization	NN	pasteurization
cause	NN	cause
and	CC	and
he	PP	he
funded	VBD	fund
all	PDT	all
these	DT	these
milk	NN	milk
depots	NNS	depot
all	RB	all
around	IN	around
New	NP	New
York	NP	York
City	NP	City
where	WRB	where
pasteurized	VBN	pasteurize
milk	NN	milk
was	VBD	be
sold	VBN	sell
at	IN	at
cost	NN	cost
to	TO	to
low-income	JJ	low-income
residents	NNS	resident
so	RB	so
that	IN	that
they	PP	they
would	MD	would
develop	VB	develop
a	DT	a
taste	NN	taste
for	IN	for
it	PP	it
.	SENT	.
So	RB	so
in	IN	in
a	DT	a
sense	NN	sense
,	,	,
the	DT	the
way	NN	way
to	TO	to
think	VB	think
about	IN	about
it	PP	it
is	VBZ	be
that	IN	that
Pasteur	NP	Pasteur
solved	VBD	solve
the	DT	the
problem	NN	problem
on	IN	on
the	DT	the
level	NN	level
of	IN	of
chemistry	NN	chemistry
,	,	,
but	CC	but
Straus	NP	Straus
and	CC	and
his	PP$	his
allies	NNS	ally
solved	VBD	solve
it	PP	it
on	IN	on
the	DT	the
level	NN	level
of	IN	of
society	NN	society
.	SENT	.
And	CC	and
you	PP	you
need	VBP	need
both	DT	both
fronts	NNS	front
to	TO	to
effect	VB	effect
change	NN	change
on	IN	on
that	DT	that
scale	NN	scale
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
prime	JJ	prime
mover	NN	mover
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
talk	NN	talk
about	IN	about
enough	NN	enough
,	,	,
which	WDT	which
seems	VBZ	seem
a	DT	a
little	JJ	little
bit	NN	bit
unlikely	JJ	unlikely
in	IN	in
the	DT	the
context	NN	context
of	IN	of
disruptive	JJ	disruptive
innovation	NN	innovation
,	,	,
and	CC	and
that	WDT	that
is	VBZ	be
large	JJ	large
bureaucratic	JJ	bureaucratic
institutions	NNS	institution
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
that	WDT	that
seems	VBZ	seem
contradictory	JJ	contradictory
to	TO	to
you	PP	you
,	,	,
I	PP	I
suggest	VBP	suggest
that	IN	that
you	PP	you
flip	VB	flip
through	IN	through
the	DT	the
pages	NNS	page
of	IN	of
any	DT	any
pharmaceutical	JJ	pharmaceutical
drug	NN	drug
catalog	NN	catalog
from	IN	from
the	DT	the
early	JJ	early
20th	JJ	20th
century	NN	century
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
these	DT	these
things	NNS	thing
are	VBP	be
just	RB	just
a	DT	a
laundry	NN	laundry
list	NN	list
of	IN	of
deadly	JJ	deadly
poisons	NNS	poison
,	,	,
one	CD	one
after	IN	after
another	DT	another
:	:	:
arsenic	NN	arsenic
,	,	,
mercury	NN	mercury
,	,	,
belladonna	NN	belladonna
,	,	,
not	RB	not
to	TO	to
mention	VB	mention
all	PDT	all
the	DT	the
heroin	NN	heroin
and	CC	and
cocaine	NN	cocaine
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
medical	JJ	medical
historians	NNS	historian
believe	VBP	believe
that	IN	that
all-in	JJ	all-in
pharmaceutical	JJ	pharmaceutical
drugs	NNS	drug
were	VBD	be
a	DT	a
net	JJ	net
negative	NN	negative
in	IN	in
terms	NNS	term
of	IN	of
human	JJ	human
health	NN	health
until	IN	until
the	DT	the
invention	NN	invention
of	IN	of
antibiotics	NNS	antibiotic
in	IN	in
the	DT	the
1940s	NNS	1940s
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
life	NN	life
was	VBD	be
like	JJ	like
.	SENT	.
And	CC	and
in	IN	in
1937	CD	@card@
,	,	,
there	EX	there
was	VBD	be
this	DT	this
Tennessee	NP	Tennessee
pharma	NN	<unknown>
startup	NN	startup
that	WDT	that
hit	VBD	hit
upon	IN	upon
this	DT	this
idea	NN	idea
for	IN	for
a	DT	a
new	JJ	new
cough	NN	cough
syrup	NN	syrup
,	,	,
a	DT	a
cure	NN	cure
for	IN	for
strep	NN	strep
throat	NN	throat
actually	RB	actually
,	,	,
targeted	VBN	target
at	IN	at
children	NNS	child
.	SENT	.
At	IN	at
the	DT	the
time	NN	time
,	,	,
there	EX	there
was	VBD	be
a	DT	a
new	JJ	new
drug	NN	drug
called	VBD	call
sulfa	JJ	sulfa
drugs	NNS	drug
that	WDT	that
were	VBD	be
kind	NN	kind
of	IN	of
a	DT	a
forerunner	NN	forerunner
of	IN	of
antibiotics	NNS	antibiotic
.	SENT	.
But	CC	but
they	PP	they
were	VBD	be
generally	RB	generally
packaged	VBN	package
in	IN	in
this	DT	this
bulky	JJ	bulky
pill	NN	pill
format	NN	format
,	,	,
very	RB	very
difficult	JJ	difficult
for	IN	for
kids	NNS	kid
to	TO	to
swallow	VB	swallow
.	SENT	.
