Beau	NP	Beau
grounded	VBN	ground
in	IN	in
our	PP$	our
history	NN	history
,	,	,
it	PP	it
means	VBZ	mean
we	PP	we
'	''	'
re	IN	re
only	RB	only
ever	RB	ever
responding	VBG	respond
according	VBG	accord
to	TO	to
what	WP	what
we	PP	we
'	POS	'
ve	NNS	<unknown>
done	VBN	do
before	IN	before
.	SENT	.
But	CC	but
actually	RB	actually
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
tremendous	JJ	tremendous
problem	NN	problem
,	,	,
because	IN	because
how	WRB	how
can	MD	can
we	PP	we
ever	RB	ever
see	VBP	see
differently	RB	differently
?	SENT	?
Now	RB	now
,	,	,
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
a	DT	a
story	NN	story
about	IN	about
seeing	VBG	see
differently	RB	differently
,	,	,
and	CC	and
all	DT	all
new	JJ	new
perceptions	NNS	perception
begin	VBP	begin
in	IN	in
the	DT	the
same	JJ	same
way	NN	way
.	SENT	.
They	PP	they
begin	VBP	begin
with	IN	with
a	DT	a
question	NN	question
.	SENT	.
The	DT	the
problem	NN	problem
with	IN	with
questions	NNS	question
is	VBZ	be
they	PP	they
create	VBP	create
uncertainty	NN	uncertainty
.	SENT	.
Now	RB	now
,	,	,
uncertainty	NN	uncertainty
is	VBZ	be
a	DT	a
very	RB	very
bad	JJ	bad
thing	NN	thing
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
evolutionarily	RB	<unknown>
a	DT	a
bad	JJ	bad
thing	NN	thing
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
re	NN	re
not	RB	not
sure	RB	sure
that	RB	that
'	''	'
s	VBG	<unknown>
a	DT	a
predator	NN	predator
,	,	,
it	PP	it
'	POS	'
s	NN	S
too	RB	too
late	RB	late
.	SENT	.
Okay	JJ	okay
?	SENT	?
Even	RB	even
seasickness	NN	seasickness
is	VBZ	be
a	DT	a
consequence	NN	consequence
of	IN	of
uncertainty	NN	uncertainty
.	SENT	.
Right	RB	right
?	SENT	?
If	IN	if
you	PP	you
go	VBP	go
down	RB	down
below	RB	below
on	IN	on
a	DT	a
boat	NN	boat
,	,	,
your	PP$	your
inner	JJ	inner
ears	NNS	ear
are	VBP	be
you	PP	you
telling	VBG	tell
you	PP	you
you	PP	you
'	''	'
re	IN	re
moving	VBG	move
.	SENT	.
Your	PP$	your
eyes	NNS	eye
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
moving	VBG	move
in	IN	in
register	NN	register
with	IN	with
the	DT	the
boat	NN	boat
,	,	,
say	VB	say
I	PP	I
'	POS	'
m	NN	m
standing	NN	standing
still	RB	still
.	SENT	.
Your	PP$	your
brain	NN	brain
cannot	MD	can
deal	VB	deal
with	IN	with
the	DT	the
uncertainty	NN	uncertainty
of	IN	of
that	DT	that
information	NN	information
,	,	,
and	CC	and
it	PP	it
gets	VBZ	get
ill	RB	ill
.	SENT	.
The	DT	the
question	NN	question
"	''	"
why	WRB	why
?	SENT	?
"	``	"
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
dangerous	JJ	dangerous
things	NNS	thing
you	PP	you
can	MD	can
do	VB	do
,	,	,
because	IN	because
it	PP	it
takes	VBZ	take
you	PP	you
into	IN	into
uncertainty	NN	uncertainty
.	SENT	.
And	CC	and
yet	RB	yet
,	,	,
the	DT	the
irony	NN	irony
is	VBZ	be
,	,	,
the	DT	the
only	JJ	only
way	NN	way
we	PP	we
can	MD	can
ever	RB	ever
do	VB	do
anything	NN	anything
new	JJ	new
is	VBZ	be
to	TO	to
step	VB	step
into	IN	into
that	DT	that
space	NN	space
.	SENT	.
So	RB	so
how	WRB	how
can	MD	can
we	PP	we
ever	RB	ever
do	VBP	do
anything	NN	anything
new	JJ	new
?	SENT	?
Well	RB	well
fortunately	RB	fortunately
,	,	,
evolution	NN	evolution
has	VBZ	have
given	VBN	give
us	PP	us
an	DT	an
answer	NN	answer
,	,	,
right	RB	right
?	SENT	?
And	CC	and
it	PP	it
enables	VBZ	enable
us	PP	us
to	TO	to
address	VB	address
even	RB	even
the	DT	the
most	RBS	most
difficult	JJ	difficult
of	IN	of
questions	NNS	question
.	SENT	.
The	DT	the
best	JJS	good
questions	NNS	question
are	VBP	be
the	DT	the
ones	NNS	one
that	WDT	that
create	VBP	create
the	DT	the
most	JJS	most
uncertainty	NN	uncertainty
.	SENT	.
They	PP	they
'	''	'
re	IN	re
the	DT	the
ones	NNS	one
that	WDT	that
question	VBP	question
the	DT	the
things	NNS	thing
we	PP	we
think	VBP	think
to	TO	to
be	VB	be
true	JJ	true
already	RB	already
.	SENT	.
Right	RB	right
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
easy	JJ	easy
to	TO	to
ask	VB	ask
questions	NNS	question
about	RB	about
how	WRB	how
did	VBD	do
life	NN	life
begin	VB	begin
,	,	,
or	CC	or
what	WP	what
extends	VBZ	extend
beyond	IN	beyond
the	DT	the
universe	NN	universe
,	,	,
but	CC	but
to	TO	to
question	VB	question
what	WP	what
you	PP	you
think	VBP	think
to	TO	to
be	VB	be
true	JJ	true
already	RB	already
is	VBZ	be
really	RB	really
stepping	VBG	step
into	IN	into
that	DT	that
space	NN	space
.	SENT	.
So	RB	so
what	WP	what
is	VBZ	be
evolution	NN	evolution
'	POS	'
s	JJ	<unknown>
answer	NN	answer
to	TO	to
the	DT	the
problem	NN	problem
of	IN	of
uncertainty	NN	uncertainty
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
play	NN	play
.	SENT	.
Now	RB	now
play	NN	play
is	VBZ	be
not	RB	not
simply	RB	simply
a	DT	a
process	NN	process
.	SENT	.
Experts	NNS	expert
in	IN	in
play	NN	play
will	MD	will
tell	VB	tell
you	PP	you
that	IN	that
actually	RB	actually
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
way	NN	way
of	IN	of
being	VBG	be
.	SENT	.
Play	NN	play
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
only	JJ	only
human	JJ	human
endeavors	NNS	endeavor
where	WRB	where
uncertainty	NN	uncertainty
is	VBZ	be
actually	RB	actually
celebrated	JJ	celebrated
.	SENT	.
Uncertainty	NN	uncertainty
is	VBZ	be
what	WP	what
makes	VBZ	make
play	NN	play
fun	NN	fun
.	SENT	.
Right	RB	right
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
adaptable	JJ	adaptable
to	TO	to
change	VB	change
.	SENT	.
Right	RB	right
?	SENT	?
It	PP	it
opens	VBZ	open
possibility	NN	possibility
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
cooperative	NN	cooperative
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
actually	RB	actually
how	WRB	how
we	PP	we
do	VBP	do
our	PP$	our
social	JJ	social
bonding	VBG	bond
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
intrinsically	RB	intrinsically
motivated	VBN	motivate
.	SENT	.
What	WP	what
that	WDT	that
means	VBZ	mean
is	VBZ	be
that	IN	that
we	PP	we
play	VBP	play
to	TO	to
play	VB	play
.	SENT	.
Play	NN	play
is	VBZ	be
its	PP$	its
own	JJ	own
reward	NN	reward
.	SENT	.
Now	RB	now
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
these	DT	these
five	CD	five
ways	NNS	way
of	IN	of
being	NN	being
,	,	,
these	DT	these
are	VBP	be
the	DT	the
exact	JJ	exact
same	JJ	same
ways	NNS	way
of	IN	of
being	VBG	be
you	PP	you
need	VBP	need
in	IN	in
order	NN	order
to	TO	to
be	VB	be
a	DT	a
good	JJ	good
scientist	NN	scientist
.	SENT	.
Science	NP	Science
is	VBZ	be
not	RB	not
defined	VBN	define
by	IN	by
the	DT	the
method	NN	method
section	NN	section
of	IN	of
a	DT	a
paper	NN	paper
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
a	DT	a
way	NN	way
of	IN	of
being	NN	being
,	,	,
which	WDT	which
is	VBZ	be
here	RB	here
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
true	JJ	true
for	IN	for
anything	NN	anything
that	WDT	that
is	VBZ	be
creative	JJ	creative
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
add	VBP	add
rules	NNS	rule
to	TO	to
play	VB	play
,	,	,
you	PP	you
have	VBP	have
a	DT	a
game	NN	game
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
actually	RB	actually
what	WP	what
an	DT	an
experiment	NN	experiment
is	VBZ	be
.	SENT	.
So	RB	so
armed	VBN	arm
with	IN	with
these	DT	these
two	CD	two
ideas	NNS	idea
,	,	,
that	DT	that
science	NN	science
is	VBZ	be
a	DT	a
way	NN	way
of	IN	of
being	NN	being
and	CC	and
experiments	NNS	experiment
are	VBP	be
play	NN	play
,	,	,
we	PP	we
asked	VBD	ask
,	,	,
can	MD	can
anyone	NN	anyone
become	VB	become
a	DT	a
scientist	NN	scientist
?	SENT	?
And	CC	and
who	WP	who
better	VBP	better
to	TO	to
ask	VB	ask
than	IN	than
25	CD	@card@
eight-	NN	eight-
to	TO	to
10-year-old	JJ	10-year-old
children	NNS	child
?	SENT	?
Because	IN	because
they	PP	they
'	POS	'
re	NN	re
experts	NNS	expert
in	IN	in
play	NN	play
.	SENT	.
So	RB	so
I	PP	I
took	VBD	take
my	PP$	my
bee	NN	bee
arena	NN	arena
down	RB	down
to	TO	to
a	DT	a
small	JJ	small
school	NN	school
in	IN	in
Devon	NP	Devon
,	,	,
and	CC	and
the	DT	the
aim	NN	aim
of	IN	of
this	DT	this
was	VBD	be
to	TO	to
not	RB	not
just	RB	just
get	VB	get
the	DT	the
kids	NNS	kid
to	TO	to
see	VB	see
science	NN	science
differently	RB	differently
,	,	,
but	CC	but
,	,	,
through	IN	through
the	DT	the
process	NN	process
of	IN	of
science	NN	science
,	,	,
to	TO	to
see	VB	see
themselves	PP	themselves
differently	RB	differently
.	SENT	.
Right	RB	right
?	SENT	?
The	DT	the
first	JJ	first
step	NN	step
was	VBD	be
to	TO	to
ask	VB	ask
a	DT	a
question	NN	question
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
should	MD	should
say	VB	say
that	IN	that
we	PP	we
didn	NNS	<unknown>
'	POS	'
t	NN	t
get	VB	get
funding	NN	funding
for	IN	for
this	DT	this
study	NN	study
because	IN	because
the	DT	the
scientists	NNS	scientist
said	VBD	say
small	JJ	small
children	NNS	child
couldn	NN	<unknown>
'	POS	'
t	NN	t
make	VB	make
a	DT	a
useful	JJ	useful
contribution	NN	contribution
to	TO	to
science	NN	science
,	,	,
and	CC	and
the	DT	the
teachers	NNS	teacher
said	VBD	say
kids	NNS	kid
couldn	NN	<unknown>
'	POS	'
t	NN	t
do	VBP	do
it	PP	it
.	SENT	.
So	RB	so
we	PP	we
did	VBD	do
it	PP	it
anyway	RB	anyway
.	SENT	.
Right	RB	right
?	SENT	?
Of	IN	of
course	NN	course
.	SENT	.
So	RB	so
,	,	,
here	RB	here
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
questions	NNS	question
.	SENT	.
I	PP	I
put	VBD	put
them	PP	them
in	IN	in
small	JJ	small
print	NN	print
so	IN	so
you	PP	you
wouldn	NN	<unknown>
'	POS	'
t	NN	t
bother	NN	bother
reading	VBG	read
it	PP	it
.	SENT	.
Point	NN	point
is	VBZ	be
that	IN	that
five	CD	five
of	IN	of
the	DT	the
questions	NNS	question
that	IN	that
the	DT	the
kids	NNS	kid
came	VBD	come
up	RP	up
with	IN	with
were	VBD	be
actually	RB	actually
the	DT	the
basis	NN	basis
of	IN	of
science	NN	science
publication	NN	publication
the	DT	the
last	JJ	last
five	CD	five
to	TO	to
15	CD	@card@
years	NNS	year
.	SENT	.
Right	RB	right
?	SENT	?
So	RB	so
they	PP	they
were	VBD	be
asking	VBG	ask
questions	NNS	question
that	WDT	that
were	VBD	be
significant	JJ	significant
to	TO	to
expert	NN	expert
scientists	NNS	scientist
.	SENT	.
Now	RB	now
here	RB	here
,	,	,
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
the	DT	the
stage	NN	stage
with	IN	with
someone	NN	someone
quite	RB	quite
special	JJ	special
.	SENT	.
Right	RB	right
?	SENT	?
She	PP	she
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
young	JJ	young
people	NNS	people
who	WP	who
was	VBD	be
involved	VBN	involve
in	IN	in
this	DT	this
study	NN	study
,	,	,
and	CC	and
she	PP	she
'	POS	'
s	NN	S
now	RB	now
one	CD	one
of	IN	of
the	DT	the
youngest	JJS	young
published	JJ	published
scientists	NNS	scientist
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
Right	RB	right
?	SENT	?
She	PP	she
will	MD	will
now	RB	now
,	,	,
once	IN	once
she	PP	she
comes	VBZ	come
onto	IN	onto
stage	NN	stage
,	,	,
will	MD	will
be	VB	be
the	DT	the
youngest	JJS	young
person	NN	person
to	TO	to
ever	RB	ever
speak	VB	speak
at	IN	at
TED	VB	ted
.	SENT	.
Right	RB	right
?	SENT	?
Now	RB	now
,	,	,
science	NN	science
and	CC	and
asking	VBG	ask
questions	NNS	question
is	VBZ	be
about	RB	about
courage	NN	courage
.	SENT	.
Now	RB	now
she	PP	she
is	VBZ	be
the	DT	the
personification	NN	personification
of	IN	of
courage	NN	courage
,	,	,
because	IN	because
she	PP	she
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
stand	VB	stand
up	RP	up
here	RB	here
and	CC	and
talk	VB	talk
to	TO	to
you	PP	you
all	DT	all
.	SENT	.
So	IN	so
Amy	NP	Amy
,	,	,
would	MD	would
you	PP	you
please	VB	please
come	VBN	come
up	RP	up
?	SENT	?
So	RB	so
Amy	NP	Amy
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
help	VB	help
me	PP	me
tell	VB	tell
the	DT	the
story	NN	story
of	IN	of
what	WP	what
we	PP	we
call	VBP	call
the	DT	the
Blackawton	NP	<unknown>
Bees	NP	Bees
Project	NP	Project
,	,	,
and	CC	and
first	JJ	first
she	PP	she
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
the	DT	the
question	VBP	question
that	IN	that
they	PP	they
came	VBD	come
up	RP	up
with	IN	with
.	SENT	.
So	RB	so
go	VB	go
ahead	RB	ahead
,	,	,
Amy	NP	Amy
.	SENT	.
Amy	NP	Amy
O	NP	O
'	POS	'
Toole	NP	Toole
:	:	:
Thank	VB	thank
you	PP	you
,	,	,
Beau	NP	Beau
.	SENT	.
We	PP	we
thought	VBD	think
that	IN	that
it	PP	it
was	VBD	be
easy	JJ	easy
to	TO	to
see	VB	see
the	DT	the
link	NN	link
between	IN	between
humans	NNS	human
and	CC	and
apes	NNS	ape
in	IN	in
the	DT	the
way	NN	way
that	IN	that
we	PP	we
think	VBP	think
,	,	,
because	IN	because
we	PP	we
look	VBP	look
alike	RB	alike
.	SENT	.
But	CC	but
we	PP	we
wondered	VBD	wonder
if	IN	if
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
possible	JJ	possible
link	NN	link
with	IN	with
other	JJ	other
animals	NNS	animal
.	SENT	.
It	PP	it
'	''	'
d	SYM	d
be	VB	be
amazing	JJ	amazing
if	IN	if
humans	NNS	human
and	CC	and
bees	NNS	bee
thought	VBD	think
similar	JJ	similar
,	,	,
since	IN	since
they	PP	they
seem	VBP	seem
so	RB	so
different	JJ	different
from	IN	from
us	PP	us
.	SENT	.
So	RB	so
we	PP	we
asked	VBD	ask
if	IN	if
humans	NNS	human
and	CC	and
bees	NNS	bee
might	MD	might
solve	VB	solve
complex	JJ	complex
problems	NNS	problem
in	IN	in
the	DT	the
same	JJ	same
way	NN	way
.	SENT	.
Really	RB	really
,	,	,
we	PP	we
wanted	VBD	want
to	TO	to
know	VB	know
if	IN	if
bees	NNS	bee
can	MD	can
also	RB	also
adapt	VB	adapt
themselves	PP	themselves
to	TO	to
new	JJ	new
situations	NNS	situation
using	VBG	use
previously	RB	previously
learned	VBN	learn
rules	NNS	rule
and	CC	and
conditions	NNS	condition
.	SENT	.
So	RB	so
what	WP	what
if	IN	if
bees	NNS	bee
can	MD	can
think	VB	think
like	IN	like
us	PP	us
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
'	POS	'
d	NN	d
be	VB	be
amazing	JJ	amazing
,	,	,
since	IN	since
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
an	DT	an
insect	NN	insect
with	IN	with
only	RB	only
one	CD	one
million	CD	million
brain	NN	brain
cells	NNS	cell
.	SENT	.
But	CC	but
it	PP	it
actually	RB	actually
makes	VBZ	make
a	DT	a
lot	NN	lot
of	IN	of
sense	NN	sense
they	PP	they
should	MD	should
,	,	,
because	IN	because
bees	NNS	bee
,	,	,
like	IN	like
us	PP	us
,	,	,
can	MD	can
recognize	VB	recognize
a	DT	a
good	JJ	good
flower	NN	flower
regardless	RB	regardless
of	IN	of
the	DT	the
time	NN	time
of	IN	of
day	NN	day
,	,	,
the	DT	the
light	NN	light
,	,	,
the	DT	the
weather	NN	weather
,	,	,
or	CC	or
from	IN	from
any	DT	any
angle	NN	angle
they	PP	they
approach	VBP	approach
it	PP	it
from	IN	from
.	SENT	.
BL	NP	BL
:	:	:
So	RB	so
the	DT	the
next	JJ	next
step	NN	step
was	VBD	be
to	TO	to
design	VB	design
an	DT	an
experiment	NN	experiment
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
game	NN	game
.	SENT	.
So	IN	so
the	DT	the
kids	NNS	kid
went	VBD	go
off	RP	off
and	CC	and
they	PP	they
designed	VBD	design
this	DT	this
experiment	NN	experiment
,	,	,
and	CC	and
so	RB	so
—	:	-
well	UH	well
,	,	,
game	NN	game
—	:	-
and	CC	and
so	RB	so
,	,	,
Amy	NP	Amy
,	,	,
can	MD	can
you	PP	you
tell	VB	tell
us	PP	us
what	WP	what
the	DT	the
game	NN	game
was	VBD	be
,	,	,
and	CC	and
the	DT	the
puzzle	NN	puzzle
that	IN	that
you	PP	you
set	VBD	set
the	DT	the
bees	NNS	bee
?	SENT	?
AO	NN	AO
:	:	:
The	DT	the
puzzle	NN	puzzle
we	PP	we
came	VBD	come
up	RP	up
with	IN	with
was	VBD	be
an	DT	an
if-then	RB	if-then
rule	NN	rule
.	SENT	.
We	PP	we
asked	VBD	ask
the	DT	the
bees	NNS	bee
to	TO	to
learn	VB	learn
not	RB	not
just	RB	just
to	TO	to
go	VB	go
to	TO	to
a	DT	a
certain	JJ	certain
color	NN	color
,	,	,
but	CC	but
to	TO	to
a	DT	a
certain	JJ	certain
color	NN	color
flower	NN	flower
only	RB	only
when	WRB	when
it	PP	it
'	POS	'
s	NN	S
in	IN	in
a	DT	a
certain	JJ	certain
pattern	NN	pattern
.	SENT	.
They	PP	they
were	VBD	be
only	RB	only
rewarded	VBN	reward
if	IN	if
they	PP	they
went	VBD	go
to	TO	to
the	DT	the
yellow	JJ	yellow
flowers	NNS	flower
if	IN	if
the	DT	the
yellow	JJ	yellow
flowers	NNS	flower
were	VBD	be
surrounded	VBN	surround
by	IN	by
the	DT	the
blue	JJ	blue
,	,	,
or	CC	or
if	IN	if
the	DT	the
blue	JJ	blue
flowers	NNS	flower
were	VBD	be
surrounded	VBN	surround
by	IN	by
the	DT	the
yellow	NN	yellow
.	SENT	.
Now	RB	now
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
number	NN	number
of	IN	of
different	JJ	different
rules	NNS	rule
the	DT	the
bees	NNS	bee
can	MD	can
learn	VB	learn
to	TO	to
solve	VB	solve
this	DT	this
puzzle	NN	puzzle
.	SENT	.
The	DT	the
interesting	JJ	interesting
question	NN	question
is	VBZ	be
,	,	,
which	WDT	which
?	SENT	?
What	WP	what
was	VBD	be
really	RB	really
exciting	JJ	exciting
about	IN	about
this	DT	this
project	NN	project
was	VBD	be
we	PP	we
,	,	,
and	CC	and
Beau	NP	Beau
,	,	,
had	VBD	have
no	DT	no
idea	NN	idea
whether	IN	whether
it	PP	it
would	MD	would
work	VB	work
.	SENT	.
It	PP	it
was	VBD	be
completely	RB	completely
new	JJ	new
,	,	,
and	CC	and
no	DT	no
one	CD	one
had	VBD	have
done	VBN	do
it	PP	it
before	IN	before
,	,	,
including	VBG	include
adults	NNS	adult
.	SENT	.
BL	NP	BL
:	:	:
Including	VBG	include
the	DT	the
teachers	NNS	teacher
,	,	,
and	CC	and
that	WDT	that
was	VBD	be
really	RB	really
hard	JJ	hard
for	IN	for
the	DT	the
teachers	NNS	teacher
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
easy	JJ	easy
for	IN	for
a	DT	a
scientist	NN	scientist
to	TO	to
go	VB	go
in	IN	in
and	CC	and
not	RB	not
have	VB	have
a	DT	a
clue	NN	clue
what	WP	what
he	PP	he
'	POS	'
s	NN	S
doing	VBG	do
,	,	,
because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
do	VBP	do
in	IN	in
the	DT	the
lab	NN	lab
,	,	,
but	CC	but
for	IN	for
a	DT	a
teacher	NN	teacher
not	RB	not
to	TO	to
know	VB	know
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
happen	VB	happen
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
—	:	-
so	RB	so
much	RB	much
of	IN	of
the	DT	the
credit	NN	credit
goes	VBZ	go
to	TO	to
Dave	NP	Dave
Strudwick	NP	Strudwick
,	,	,
who	WP	who
was	VBD	be
the	DT	the
collaborator	NN	collaborator
on	IN	on
this	DT	this
project	NN	project
.	SENT	.
Okay	JJ	okay
?	SENT	?
So	IN	so
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
go	VB	go
through	IN	through
the	DT	the
whole	JJ	whole
details	NNS	detail
of	IN	of
the	DT	the
study	NN	study
because	IN	because
actually	RB	actually
you	PP	you
can	MD	can
read	VB	read
about	IN	about
it	PP	it
,	,	,
but	CC	but
the	DT	the
next	JJ	next
step	NN	step
is	VBZ	be
observation	NN	observation
.	SENT	.
So	RB	so
here	RB	here
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
students	NNS	student
doing	VBG	do
the	DT	the
observations	NNS	observation
.	SENT	.
They	PP	they
'	''	'
re	IN	re
recording	VBG	record
the	DT	the
data	NNS	datum
of	IN	of
where	WRB	where
the	DT	the
bees	NNS	bee
fly	VBP	fly
.	SENT	.
Dave	NP	Dave
