Doc	NP	Doc
,	,	,
that	DT	that
bullet	NN	bullet
,	,	,
will	MD	will
travel	VB	travel
at	IN	at
the	DT	the
speed	NN	speed
of	IN	of
light	NN	light
,	,	,
and	CC	and
again	RB	again
,	,	,
a	DT	a
million	CD	million
times	NNS	time
faster	RBR	faster
than	IN	than
an	DT	an
ordinary	JJ	ordinary
bullet	NN	bullet
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
you	PP	you
take	VBP	take
that	IN	that
bullet	NN	bullet
and	CC	and
take	VB	take
this	DT	this
packet	NN	packet
of	IN	of
photons	NNS	photon
and	CC	and
fire	NN	fire
into	IN	into
this	DT	this
bottle	NN	bottle
,	,	,
how	WRB	how
will	MD	will
those	DT	those
photons	NNS	photon
shatter	VBP	shatter
into	IN	into
this	DT	this
bottle	NN	bottle
?	SENT	?
How	WRB	how
does	VBZ	do
light	JJ	light
look	NN	look
in	IN	in
slow	JJ	slow
motion	NN	motion
?	SENT	?
[	SYM	[
Light	NN	light
in	IN	in
Slow	JJ	slow
Motion	NP	Motion
.	SENT	.
.	SENT	.
.	SENT	.
10	CD	@card@
Billion	NNS	billion
x	SYM	x
Slow	RB	slow
]	SYM	]
Now	RB	now
,	,	,
the	DT	the
whole	JJ	whole
event	NN	event
—	:	-
Now	RB	now
remember	VB	remember
,	,	,
the	DT	the
whole	JJ	whole
event	NN	event
is	VBZ	be
effectively	RB	effectively
taking	VBG	take
place	NN	place
in	IN	in
less	JJR	less
than	IN	than
a	DT	a
nanosecond	NN	nanosecond
—	:	-
that	WDT	that
'	POS	'
s	NN	S
how	WRB	how
much	JJ	much
time	NN	time
it	PP	it
takes	VBZ	take
for	IN	for
light	NN	light
to	TO	to
travel	VB	travel
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
m	NN	m
slowing	VBG	slow
down	RP	down
in	IN	in
this	DT	this
video	NN	video
by	IN	by
a	DT	a
factor	NN	factor
of	IN	of
10	CD	@card@
billion	NNS	billion
,	,	,
so	RB	so
you	PP	you
can	MD	can
see	VB	see
the	DT	the
light	NN	light
in	IN	in
motion	NN	motion
.	SENT	.
But	CC	but
Coca-Cola	NP	Coca-Cola
did	VBD	do
not	RB	not
sponsor	VB	sponsor
this	DT	this
research	NN	research
.	SENT	.
Now	RB	now
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
going	VBG	go
on	IN	on
in	IN	in
this	DT	this
movie	NN	movie
,	,	,
so	RB	so
let	VB	let
me	PP	me
break	VB	break
this	DT	this
down	RB	down
and	CC	and
show	VB	show
you	PP	you
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
.	SENT	.
So	IN	so
the	DT	the
pulse	NN	pulse
enters	VBZ	enter
the	DT	the
bottle	NN	bottle
,	,	,
our	PP$	our
bullet	NN	bullet
,	,	,
with	IN	with
a	DT	a
packet	NN	packet
of	IN	of
photons	NNS	photon
that	WDT	that
start	VBP	start
traveling	VBG	travel
through	IN	through
and	CC	and
that	DT	that
start	NN	start
scattering	NN	scattering
inside	RB	inside
.	SENT	.
Some	DT	some
of	IN	of
the	DT	the
light	JJ	light
leaks	NNS	leak
,	,	,
goes	VBZ	go
on	IN	on
the	DT	the
table	NN	table
,	,	,
and	CC	and
you	PP	you
start	VBP	start
seeing	VBG	see
these	DT	these
ripples	NNS	ripple
of	IN	of
waves	NNS	wave
.	SENT	.
Many	JJ	many
of	IN	of
the	DT	the
photons	NNS	photon
eventually	RB	eventually
reach	VBP	reach
the	DT	the
cap	NN	cap
and	CC	and
then	RB	then
they	PP	they
explode	VB	explode
in	IN	in
various	JJ	various
directions	NNS	direction
.	SENT	.
As	IN	as
you	PP	you
can	MD	can
see	VB	see
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
bubble	NN	bubble
of	IN	of
air	NN	air
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
bouncing	VBG	bounce
around	RP	around
inside	RB	inside
.	SENT	.
Meanwhile	RB	meanwhile
,	,	,
the	DT	the
ripples	NNS	ripple
are	VBP	be
traveling	VBG	travel
on	IN	on
the	DT	the
table	NN	table
,	,	,
and	CC	and
because	IN	because
of	IN	of
the	DT	the
reflections	NNS	reflection
at	IN	at
the	DT	the
top	NN	top
,	,	,
you	PP	you
see	VBP	see
at	IN	at
the	DT	the
back	NN	back
of	IN	of
the	DT	the
bottle	NN	bottle
,	,	,
after	IN	after
several	JJ	several
frames	NNS	frame
,	,	,
the	DT	the
reflections	NNS	reflection
are	VBP	be
focused	VBN	focus
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
you	PP	you
take	VBP	take
an	DT	an
ordinary	JJ	ordinary
bullet	NN	bullet
and	CC	and
let	VB	let
it	PP	it
go	VB	go
the	DT	the
same	JJ	same
distance	NN	distance
and	CC	and
slow	VB	slow
down	RP	down
the	DT	the
video	NN	video
—	:	-
again	RB	again
,	,	,
by	IN	by
a	DT	a
factor	NN	factor
of	IN	of
10	CD	@card@
billion	NNS	billion
—	:	-
do	VBP	do
you	PP	you
know	VBP	know
how	WRB	how
long	JJ	long
you	PP	you
'	''	'
ll	NNS	<unknown>
have	VBP	have
to	TO	to
sit	VB	sit
here	RB	here
to	TO	to
watch	VB	watch
that	DT	that
movie	NN	movie
?	SENT	?
A	DT	a
day	NN	day
,	,	,
a	DT	a
week	NN	week
?	SENT	?
Actually	RB	actually
,	,	,
a	DT	a
whole	JJ	whole
year	NN	year
.	SENT	.
It	PP	it
'	''	'
ll	NN	ll
be	VB	be
a	DT	a
very	RB	very
boring	JJ	boring
movie	NN	movie
—	:	-
of	IN	of
a	DT	a
slow	JJ	slow
,	,	,
ordinary	JJ	ordinary
bullet	NN	bullet
in	IN	in
motion	NN	motion
.	SENT	.
And	CC	and
what	WP	what
about	IN	about
some	DT	some
still-life	NN	still-life
photography	NN	photography
?	SENT	?
You	PP	you
can	MD	can
watch	VB	watch
the	DT	the
ripples	NNS	ripple
,	,	,
again	RB	again
,	,	,
washing	VBG	wash
over	IN	over
the	DT	the
table	NN	table
,	,	,
the	DT	the
tomato	NN	tomato
and	CC	and
the	DT	the
wall	NN	wall
in	IN	in
the	DT	the
back	NN	back
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
throwing	VBG	throw
a	DT	a
stone	NN	stone
in	IN	in
a	DT	a
pond	NN	pond
of	IN	of
water	NN	water
.	SENT	.
I	PP	I
thought	VBD	think
:	:	:
this	DT	this
is	VBZ	be
how	WRB	how
nature	NN	nature
paints	VBZ	paint
a	DT	a
photo	NN	photo
,	,	,
one	CD	one
femto	NN	<unknown>
frame	NN	frame
at	IN	at
a	DT	a
time	NN	time
,	,	,
but	CC	but
of	IN	of
course	NN	course
our	PP$	our
eye	NN	eye
sees	VBZ	see
an	DT	an
integral	JJ	integral
composite	NN	composite
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
this	DT	this
tomato	NN	tomato
one	CD	one
more	JJR	more
time	NN	time
,	,	,
you	PP	you
will	MD	will
notice	VB	notice
,	,	,
as	IN	as
the	DT	the
light	NN	light
washes	VBZ	wash
over	IN	over
the	DT	the
tomato	NN	tomato
,	,	,
it	PP	it
continues	VBZ	continue
to	TO	to
glow	VB	glow
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
become	VB	become
dark	JJ	dark
.	SENT	.
Why	WRB	why
is	VBZ	be
that	RB	that
?	SENT	?
Because	IN	because
the	DT	the
tomato	NN	tomato
is	VBZ	be
actually	RB	actually
ripe	JJ	ripe
,	,	,
and	CC	and
the	DT	the
light	NN	light
is	VBZ	be
bouncing	VBG	bounce
around	RP	around
inside	IN	inside
the	DT	the
tomato	NN	tomato
,	,	,
and	CC	and
it	PP	it
comes	VBZ	come
out	RP	out
after	IN	after
several	JJ	several
trillionths	NNS	trillionth
of	IN	of
a	DT	a
second	NN	second
.	SENT	.
So	RB	so
in	IN	in
the	DT	the
future	NN	future
,	,	,
when	WRB	when
this	DT	this
femto-camera	NN	femto-camera
is	VBZ	be
in	IN	in
your	PP$	your
camera	NN	camera
phone	NN	phone
,	,	,
you	PP	you
might	MD	might
be	VB	be
able	JJ	able
to	TO	to
go	VB	go
to	TO	to
a	DT	a
supermarket	NN	supermarket
and	CC	and
check	NN	check
if	IN	if
the	DT	the
fruit	NN	fruit
is	VBZ	be
ripe	JJ	ripe
without	IN	without
actually	RB	actually
touching	VBG	touch
it	PP	it
.	SENT	.
So	RB	so
how	WRB	how
did	VBD	do
my	PP$	my
team	NN	team
at	IN	at
MIT	NP	MIT
create	VBP	create
this	DT	this
camera	NN	camera
?	SENT	?
Now	RB	now
,	,	,
as	IN	as
photographers	NNS	photographer
,	,	,
you	PP	you
know	VBP	know
,	,	,
if	IN	if
you	PP	you
take	VBP	take
a	DT	a
short	JJ	short
exposure	NN	exposure
photo	NN	photo
,	,	,
you	PP	you
get	VBP	get
very	RB	very
little	RB	little
light	JJ	light
.	SENT	.
But	CC	but
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
go	VB	go
a	DT	a
billion	NN	billion
times	NNS	time
faster	RBR	faster
than	IN	than
your	PP$	your
shortest	JJS	short
exposure	NN	exposure
,	,	,
so	IN	so
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
get	VB	get
hardly	RB	hardly
any	DT	any
light	NN	light
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
do	VBP	do
is	VBZ	be
we	PP	we
send	VBP	send
that	DT	that
bullet	NN	bullet
—	:	-
that	DT	that
packet	NN	packet
of	IN	of
photons	NNS	photon
—	:	-
millions	NNS	million
of	IN	of
times	NNS	time
,	,	,
and	CC	and
record	NN	record
again	RB	again
and	CC	and
again	RB	again
with	IN	with
very	RB	very
clever	JJ	clever
synchronization	NN	synchronization
,	,	,
and	CC	and
from	IN	from
the	DT	the
gigabytes	NNS	gigabyte
of	IN	of
data	NNS	datum
,	,	,
we	PP	we
computationally	RB	computationally
weave	VBP	weave
together	RB	together
to	TO	to
create	VB	create
those	DT	those
femto-videos	NNS	femto-video
I	PP	I
showed	VBD	show
you	PP	you
.	SENT	.
And	CC	and
we	PP	we
can	MD	can
take	VB	take
all	PDT	all
that	DT	that
raw	JJ	raw
data	NNS	datum
and	CC	and
treat	VB	treat
it	PP	it
in	IN	in
very	RB	very
interesting	JJ	interesting
ways	NNS	way
.	SENT	.
So	RB	so
,	,	,
Superman	NN	superman
can	MD	can
fly	VB	fly
.	SENT	.
Some	DT	some
other	JJ	other
heroes	NNS	hero
can	MD	can
become	VB	become
invisible	JJ	invisible
.	SENT	.
But	CC	but
what	WP	what
about	IN	about
a	DT	a
new	JJ	new
power	NN	power
for	IN	for
a	DT	a
future	JJ	future
superhero	NN	superhero
:	:	:
To	TO	to
see	VB	see
around	RP	around
corners	NNS	corner
.	SENT	.
The	DT	the
idea	NN	idea
is	VBZ	be
that	IN	that
we	PP	we
could	MD	could
shine	VB	shine
some	DT	some
light	NN	light
on	IN	on
the	DT	the
door	NN	door
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
bounce	VB	bounce
,	,	,
go	VB	go
inside	IN	inside
the	DT	the
room	NN	room
,	,	,
some	DT	some
of	IN	of
that	WDT	that
is	VBZ	be
going	VBG	go
to	TO	to
reflect	VB	reflect
back	RB	back
on	IN	on
the	DT	the
door	NN	door
,	,	,
and	CC	and
then	RB	then
back	RB	back
to	TO	to
the	DT	the
camera	NN	camera
.	SENT	.
And	CC	and
we	PP	we
could	MD	could
exploit	VB	exploit
these	DT	these
multiple	JJ	multiple
bounces	NNS	bounce
of	IN	of
light	NN	light
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
science	NN	science
fiction	NN	fiction
.	SENT	.
We	PP	we
have	VBP	have
actually	RB	actually
built	VBN	build
it	PP	it
.	SENT	.
On	IN	on
the	DT	the
left	NN	left
,	,	,
you	PP	you
see	VBP	see
our	PP$	our
femto-camera	NN	femto-camera
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
mannequin	NN	mannequin
hidden	VBN	hide
behind	IN	behind
a	DT	a
wall	NN	wall
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
bounce	VB	bounce
light	NN	light
off	IN	off
the	DT	the
door	NN	door
.	SENT	.
So	RB	so
after	IN	after
our	PP$	our
paper	NN	paper
was	VBD	be
published	VBN	publish
in	IN	in
Nature	NP	Nature
Communications	NPS	Communications
,	,	,
it	PP	it
was	VBD	be
highlighted	VBN	highlight
by	IN	by
Nature	NP	Nature
.	SENT	.
com	NN	com
,	,	,
and	CC	and
they	PP	they
created	VBD	create
this	DT	this
animation	NN	animation
.	SENT	.
[	SYM	[
A	DT	a
laser	NN	laser
pulse	NN	pulse
is	VBZ	be
fired	VBN	fire
]	SYM	]
Ramesh	NP	Ramesh
Raskar	NP	<unknown>
:	:	:
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
fire	VB	fire
those	DT	those
bullets	NNS	bullet
of	IN	of
light	NN	light
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
hit	VB	hit
this	DT	this
wall	NN	wall
,	,	,
and	CC	and
because	IN	because
of	IN	of
the	DT	the
packet	NN	packet
of	IN	of
the	DT	the
photons	NNS	photon
,	,	,
they	PP	they
will	MD	will
scatter	VB	scatter
in	IN	in
all	PDT	all
the	DT	the
directions	NNS	direction
,	,	,
and	CC	and
some	DT	some
of	IN	of
them	PP	them
will	MD	will
reach	VB	reach
our	PP$	our
hidden	JJ	hidden
mannequin	NN	mannequin
,	,	,
which	WDT	which
in	IN	in
turn	NN	turn
will	MD	will
again	RB	again
scatter	VB	scatter
that	DT	that
light	NN	light
,	,	,
and	CC	and
again	RB	again
in	IN	in
turn	NN	turn
,	,	,
the	DT	the
door	NN	door
will	MD	will
reflect	VB	reflect
some	DT	some
of	IN	of
that	DT	that
scattered	JJ	scattered
light	NN	light
.	SENT	.
And	CC	and
a	DT	a
tiny	JJ	tiny
fraction	NN	fraction
of	IN	of
the	DT	the
photons	NNS	photon
will	MD	will
actually	RB	actually
come	VB	come
back	RB	back
to	TO	to
the	DT	the
camera	NN	camera
,	,	,
but	CC	but
most	RBS	most
interestingly	RB	interestingly
,	,	,
they	PP	they
will	MD	will
all	RB	all
arrive	VB	arrive
at	IN	at
a	DT	a
slightly	RB	slightly
different	JJ	different
time	NN	time
slot	NN	slot
.	SENT	.
And	CC	and
because	IN	because
we	PP	we
have	VBP	have
a	DT	a
camera	NN	camera
that	WDT	that
can	MD	can
run	VB	run
so	RB	so
fast	RB	fast
—	:	-
our	PP$	our
femto-camera	NN	femto-camera
—	:	-
it	PP	it
has	VBZ	have
some	DT	some
unique	JJ	unique
abilities	NNS	ability
.	SENT	.
It	PP	it
has	VBZ	have
very	RB	very
good	JJ	good
time	NN	time
resolution	NN	resolution
,	,	,
and	CC	and
it	PP	it
can	MD	can
look	VB	look
at	IN	at
the	DT	the
world	NN	world
at	IN	at
the	DT	the
speed	NN	speed
of	IN	of
light	NN	light
.	SENT	.
And	CC	and
this	DT	this
way	NN	way
,	,	,
we	PP	we
know	VBP	know
the	DT	the
distances	NNS	distance
,	,	,
of	IN	of
course	NN	course
to	TO	to
the	DT	the
door	NN	door
,	,	,
but	CC	but
also	RB	also
to	TO	to
the	DT	the
hidden	JJ	hidden
objects	NNS	object
,	,	,
but	CC	but
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VB	know
which	WDT	which
point	NN	point
corresponds	VBZ	correspond
to	TO	to
which	WDT	which
distance	NN	distance
.	SENT	.
By	IN	by
shining	VBG	shine
one	CD	one
laser	NN	laser
,	,	,
we	PP	we
can	MD	can
record	VB	record
one	CD	one
raw	JJ	raw
photo	NN	photo
,	,	,
which	WDT	which
,	,	,
if	IN	if
you	PP	you
look	VBP	look
on	IN	on
the	DT	the
screen	NN	screen
,	,	,
doesn	NP	<unknown>
'	POS	'
t	NN	t
really	RB	really
make	VB	make
any	DT	any
sense	NN	sense
.	SENT	.
But	CC	but
then	RB	then
we	PP	we
will	MD	will
take	VB	take
a	DT	a
lot	NN	lot
of	IN	of
such	JJ	such
pictures	NNS	picture
,	,	,
dozens	NNS	dozen
of	IN	of
such	JJ	such
pictures	NNS	picture
,	,	,
put	VBD	put
them	PP	them
together	RB	together
,	,	,
and	CC	and
try	VBP	try
to	TO	to
analyze	VB	analyze
the	DT	the
multiple	JJ	multiple
bounces	NNS	bounce
of	IN	of
light	NN	light
,	,	,
and	CC	and
from	IN	from
that	DT	that
,	,	,
can	MD	can
we	PP	we
see	VB	see
the	DT	the
hidden	JJ	hidden
object	NN	object
?	SENT	?
Can	MD	can
we	PP	we
see	VB	see
it	PP	it
in	IN	in
full	JJ	full
3D	JJ	3D
?	SENT	?
So	RB	so
this	DT	this
is	VBZ	be
our	PP$	our
reconstruction	NN	reconstruction
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
have	VBP	have
some	DT	some
ways	NNS	way
to	TO	to
go	VB	go
before	IN	before
we	PP	we
take	VBP	take
this	DT	this
outside	IN	outside
the	DT	the
lab	NN	lab
on	IN	on
the	DT	the
road	NN	road
,	,	,
but	CC	but
in	IN	in
the	DT	the
future	NN	future
,	,	,
we	PP	we
could	MD	could
create	VB	create
cars	NNS	car
that	WDT	that
avoid	VBP	avoid
collisions	NNS	collision
with	IN	with
what	WP	what
'	POS	'
s	NN	S
around	IN	around
the	DT	the
bend	NN	bend
.	SENT	.
Or	CC	or
we	PP	we
can	MD	can
look	VB	look
for	IN	for
survivors	NNS	survivor
in	IN	in
hazardous	JJ	hazardous
conditions	NNS	condition
by	IN	by
looking	VBG	look
at	IN	at
light	NN	light
reflected	VBN	reflect
through	IN	through
open	JJ	open
windows	NNS	window
.	SENT	.
Or	CC	or
we	PP	we
can	MD	can
build	VB	build
endoscopes	NNS	endoscope
that	WDT	that
can	MD	can
see	VB	see
deep	RB	deep
inside	IN	inside
the	DT	the
body	NN	body
around	IN	around
occluders	NNS	<unknown>
,	,	,
and	CC	and
also	RB	also
for	IN	for
cardioscopes	NNS	cardioscope
.	SENT	.
But	CC	but
of	IN	of
course	NN	course
,	,	,
because	IN	because
of	IN	of
tissue	NN	tissue
and	CC	and
blood	NN	blood
,	,	,
this	DT	this
is	VBZ	be
quite	RB	quite
challenging	JJ	challenging
,	,	,
so	RB	so
this	DT	this
is	VBZ	be
really	RB	really
a	DT	a
call	NN	call
for	IN	for
scientists	NNS	scientist
to	TO	to
start	VB	start
thinking	VBG	think
about	IN	about
femto-photography	NN	femto-photography
as	IN	as
really	RB	really
a	DT	a
new	JJ	new
imaging	NN	imaging
modality	NN	modality
to	TO	to
solve	VB	solve
the	DT	the
next	JJ	next
generation	NN	generation
of	IN	of
health-imaging	NN	health-imaging
problems	NNS	problem
.	SENT	.
Now	RB	now
,	,	,
like	IN	like
Doc	NP	Doc
Edgerton	NP	Edgerton
,	,	,
a	DT	a
scientist	NN	scientist
himself	PP	himself
,	,	,
science	NN	science
became	VBD	become
art	NN	art
—	:	-
an	DT	an
art	NN	art
of	IN	of
ultra-fast	NN	<unknown>
photography	NN	photography
.	SENT	.
And	CC	and
I	PP	I
realized	VBD	realize
that	IN	that
all	PDT	all
the	DT	the
gigabytes	NNS	gigabyte
of	IN	of
data	NNS	datum
that	IN	that
we	PP	we
'	''	'
re	IN	re
collecting	VBG	collect
every	DT	every
time	NN	time
,	,	,
are	VBP	be
not	RB	not
just	RB	just
for	IN	for
scientific	JJ	scientific
imaging	NN	imaging
.	SENT	.
But	CC	but
we	PP	we
can	MD	can
also	RB	also
do	VB	do
a	DT	a
new	JJ	new
form	NN	form
of	IN	of
computational	JJ	computational
photography	NN	photography
,	,	,
with	IN	with
time-lapse	NN	time-lapse
and	CC	and
color	JJ	color
coding	VBG	code
.	SENT	.
And	CC	and
we	PP	we
look	VBP	look
at	IN	at
those	DT	those
ripples	NNS	ripple
.	SENT	.
Remember	VB	remember
:	:	:
The	DT	the
time	NN	time
between	IN	between
each	DT	each
of	IN	of
those	DT	those
ripples	NNS	ripple
is	VBZ	be
only	RB	only
a	DT	a
few	JJ	few
trillionths	NNS	trillionth
of	IN	of
a	DT	a
second	NN	second
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	NNS	<unknown>
also	RB	also
something	RB	something
funny	JJ	funny
going	VBG	go
on	IN	on
here	RB	here
.	SENT	.
When	WRB	when
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
ripples	NNS	ripple
under	IN	under
the	DT	the
cap	NN	cap
,	,	,
the	DT	the
ripples	NNS	ripple
are	VBP	be
moving	VBG	move
away	RB	away
from	IN	from
us	PP	us
.	SENT	.
The	DT	the
ripples	NNS	ripple
should	MD	should
be	VB	be
moving	VBG	move
towards	IN	towards
us	PP	us
.	SENT	.
What	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
here	RB	here
?	SENT	?
It	PP	it
turns	VBZ	turn
out	RP	out
,	,	,
because	IN	because
we	PP	we
'	POS	'
re	NN	re
recording	NN	recording
nearly	RB	nearly
at	IN	at
the	DT	the
speed	NN	speed
of	IN	of
light	NN	light
,	,	,
we	PP	we
have	VBP	have
strange	JJ	strange
effects	NNS	effect
,	,	,
and	CC	and
Einstein	NP	Einstein
would	MD	would
have	VB	have
loved	VBN	love
to	TO	to
see	VB	see
this	DT	this
picture	NN	picture
.	SENT	.
The	DT	the
order	NN	order
at	IN	at
which	WDT	which
events	NNS	event
take	VBP	take
place	NN	place
in	IN	in
the	DT	the
world	NN	world
appears	VBZ	appear
in	IN	in
the	DT	the
camera	NN	camera
sometimes	RB	sometimes
in	IN	in
reversed	JJ	reversed
order	NN	order
.	SENT	.
So	RB	so
by	IN	by
applying	VBG	apply
the	DT	the
corresponding	JJ	corresponding
space	NN	space
and	CC	and
time	NN	time
warp	NN	warp
,	,	,
we	PP	we
can	MD	can
correct	VB	correct
for	IN	for
this	DT	this
distortion	NN	distortion
.	SENT	.
So	RB	so
whether	IN	whether
it	PP	it
'	POS	'
s	NN	S
for	IN	for
photography	NN	photography
around	IN	around
corners	NNS	corner
,	,	,
or	CC	or
creating	VBG	create
the	DT	the
next	JJ	next
generation	NN	generation
of	IN	of
health	NN	health
imaging	NN	imaging
,	,	,
or	CC	or
creating	VBG	create
new	JJ	new
visualizations	NNS	visualization
,	,	,
since	IN	since
our	PP$	our
invention	NN	invention
,	,	,
we	PP	we
have	VBP	have
open-sourced	VBN	<unknown>
all	PDT	all
the	DT	the
data	NNS	datum
and	CC	and
details	NNS	detail
on	IN	on
our	PP$	our
website	NN	website
,	,	,
and	CC	and
our	PP$	our
hope	NN	hope
is	VBZ	be
that	IN	that
the	DT	the
DIY	NN	DIY
,	,	,
the	DT	the
creative	JJ	creative
and	CC	and
the	DT	the
research	NN	research
communities	NNS	community
will	MD	will
show	VB	show
us	PP	us
that	IN	that
we	PP	we
should	MD	should
stop	VB	stop
obsessing	VBG	obsess
about	IN	about
the	DT	the
megapixels	NNS	megapixel
in	IN	in
cameras	NNS	camera
—	:	-
and	CC	and
start	VB	start
focusing	VBG	focus
on	IN	on
the	DT	the
next	JJ	next
dimension	NN	dimension
in	IN	in
imaging	NN	imaging
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
time	NN	time
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
