I	NP	I
,	,	,
which	WDT	which
means	VBZ	mean
,	,	,
in	IN	in
Sanskrit	NN	Sanskrit
,	,	,
spiritual	JJ	spiritual
worship	NN	worship
.	SENT	.
But	CC	but
there	EX	there
have	VBP	have
always	RB	always
been	VBN	be
,	,	,
in	IN	in
Islam	NP	Islam
,	,	,
a	DT	a
small	JJ	small
group	NN	group
,	,	,
a	DT	a
minority	NN	minority
,	,	,
who	WP	who
believe	VBP	believe
that	IN	that
jihad	NN	jihad
is	VBZ	be
not	RB	not
only	RB	only
an	DT	an
internal	JJ	internal
struggle	NN	struggle
but	CC	but
also	RB	also
an	DT	an
external	JJ	external
struggle	NN	struggle
against	IN	against
forces	NNS	force
that	WDT	that
would	MD	would
threaten	VB	threaten
the	DT	the
faith	NN	faith
,	,	,
or	CC	or
the	DT	the
faithul	NP	<unknown>
.	SENT	.
And	CC	and
some	DT	some
of	IN	of
these	DT	these
people	NNS	people
believe	VBP	believe
that	IN	that
in	IN	in
that	DT	that
struggle	NN	struggle
,	,	,
it	PP	it
is	VBZ	be
sometimes	RB	sometimes
okay	JJ	okay
to	TO	to
take	VB	take
up	RP	up
arms	NNS	arm
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
thousands	NNS	thousand
of	IN	of
young	JJ	young
Muslim	JJ	Muslim
men	NNS	man
who	WP	who
flocked	VBD	flock
to	TO	to
Afghanistan	NP	Afghanistan
in	IN	in
the	DT	the
1980s	NNS	1980s
to	TO	to
fight	VB	fight
against	IN	against
the	DT	the
Soviet	JJ	Soviet
occupation	NN	occupation
of	IN	of
a	DT	a
Muslim	JJ	Muslim
country	NN	country
,	,	,
in	IN	in
their	PP$	their
minds	NNS	mind
they	PP	they
were	VBD	be
fighting	VBG	fight
a	DT	a
jihad	NN	jihad
,	,	,
they	PP	they
were	VBD	be
doing	VBG	do
jihad	NN	jihad
,	,	,
and	CC	and
they	PP	they
named	VBD	name
themselves	PP	themselves
the	DT	the
Mujahideen	NP	Mujahideen
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
word	NN	word
that	WDT	that
comes	VBZ	come
from	IN	from
the	DT	the
same	JJ	same
root	NN	root
as	IN	as
jihad	NN	jihad
.	SENT	.
And	CC	and
we	PP	we
forget	VBP	forget
this	DT	this
now	RB	now
,	,	,
but	CC	but
back	RB	back
then	RB	then
the	DT	the
Mujahideen	NP	Mujahideen
were	VBD	be
celebrated	VBN	celebrate
in	IN	in
this	DT	this
country	NN	country
,	,	,
in	IN	in
America	NP	America
.	SENT	.
We	PP	we
thought	VBD	think
of	IN	of
them	PP	them
as	IN	as
holy	JJ	holy
warriors	NNS	warrior
who	WP	who
were	VBD	be
taking	VBG	take
the	DT	the
good	JJ	good
fight	NN	fight
to	TO	to
the	DT	the
ungodly	JJ	ungodly
communists	NNS	communist
.	SENT	.
America	NP	America
gave	VBD	give
them	PP	them
weapons	NNS	weapon
,	,	,
gave	VBD	give
them	PP	them
money	NN	money
,	,	,
gave	VBD	give
them	PP	them
support	VBP	support
,	,	,
encouragement	NN	encouragement
.	SENT	.
But	CC	but
within	IN	within
that	DT	that
group	NN	group
,	,	,
a	DT	a
tiny	JJ	tiny
,	,	,
smaller	JJR	small
group	NN	group
,	,	,
a	DT	a
minority	NN	minority
within	IN	within
a	DT	a
minority	NN	minority
within	IN	within
a	DT	a
minority	NN	minority
,	,	,
were	VBD	be
coming	VBG	come
up	RP	up
with	IN	with
a	DT	a
new	JJ	new
and	CC	and
dangerous	JJ	dangerous
conception	NN	conception
of	IN	of
jihad	NN	jihad
,	,	,
and	CC	and
in	IN	in
time	NN	time
this	DT	this
group	NN	group
would	MD	would
come	VB	come
to	TO	to
be	VB	be
led	VBN	lead
by	IN	by
Osama	NP	Osama
bin	NN	bin
Laden	JJ	laden
,	,	,
and	CC	and
he	PP	he
refined	VBD	refine
the	DT	the
idea	NN	idea
.	SENT	.
His	PP$	his
idea	NN	idea
of	IN	of
jihad	NN	jihad
was	VBD	be
a	DT	a
global	JJ	global
war	NN	war
of	IN	of
terror	NN	terror
,	,	,
primarily	RB	primarily
targeted	VBN	target
at	IN	at
the	DT	the
far	JJ	far
enemy	NN	enemy
,	,	,
at	IN	at
the	DT	the
crusaders	NNS	crusader
from	IN	from
the	DT	the
West	NP	West
,	,	,
against	IN	against
America	NP	America
.	SENT	.
And	CC	and
the	DT	the
things	NNS	thing
he	PP	he
did	VBD	do
in	IN	in
the	DT	the
pursuit	NN	pursuit
of	IN	of
this	DT	this
jihad	NN	jihad
were	VBD	be
so	RB	so
horrendous	JJ	horrendous
,	,	,
so	RB	so
monstrous	JJ	monstrous
,	,	,
and	CC	and
had	VBD	have
such	JJ	such
great	JJ	great
impact	NN	impact
,	,	,
that	IN	that
his	PP$	his
definition	NN	definition
was	VBD	be
the	DT	the
one	CD	one
that	WDT	that
stuck	VBD	stick
,	,	,
not	RB	not
just	RB	just
here	RB	here
in	IN	in
the	DT	the
West	NP	West
.	SENT	.
We	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
any	DT	any
better	RBR	well
.	SENT	.
We	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
pause	NN	pause
to	TO	to
ask	VB	ask
.	SENT	.
We	PP	we
just	RB	just
assumed	VBD	assume
that	IN	that
if	IN	if
this	DT	this
insane	JJ	insane
man	NN	man
and	CC	and
his	PP$	his
psychopathic	JJ	psychopathic
followers	NNS	follower
were	VBD	be
calling	VBG	call
what	WP	what
they	PP	they
did	VBD	do
jihad	NN	jihad
,	,	,
then	RB	then
that	RB	that
'	''	'
s	NNS	<unknown>
what	WDT	what
jihad	NN	jihad
must	MD	must
mean	VB	mean
.	SENT	.
But	CC	but
it	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
just	RB	just
us	PP	us
.	SENT	.
Even	RB	even
in	IN	in
the	DT	the
Muslim	JJ	Muslim
world	NN	world
,	,	,
his	PP$	his
definition	NN	definition
of	IN	of
jihad	NN	jihad
began	VBD	begin
to	TO	to
gain	VB	gain
acceptance	NN	acceptance
.	SENT	.
A	DT	a
year	NN	year
ago	RB	ago
I	PP	I
was	VBD	be
in	IN	in
Tunis	NP	Tunis
,	,	,
and	CC	and
I	PP	I
met	VBD	meet
the	DT	the
imam	NN	imam
of	IN	of
a	DT	a
very	RB	very
small	JJ	small
mosque	NN	mosque
,	,	,
an	DT	an
old	JJ	old
man	NN	man
.	SENT	.
Fifteen	CD	fifteen
years	NNS	year
ago	RB	ago
,	,	,
he	PP	he
named	VBD	name
his	PP$	his
granddaughter	NN	granddaughter
Jihad	NP	Jihad
,	,	,
after	IN	after
the	DT	the
old	JJ	old
meaning	NN	meaning
.	SENT	.
He	PP	he
hoped	VBD	hope
that	IN	that
a	DT	a
name	NN	name
like	IN	like
that	WDT	that
would	MD	would
inspire	VB	inspire
her	PP	her
to	TO	to
live	VB	live
a	DT	a
spiritual	JJ	spiritual
life	NN	life
.	SENT	.
But	CC	but
he	PP	he
told	VBD	tell
me	PP	me
that	IN	that
after	IN	after
9	CD	@card@
/	SYM	/
11	CD	@card@
,	,	,
he	PP	he
began	VBD	begin
to	TO	to
have	VB	have
second	JJ	second
thoughts	NNS	thought
.	SENT	.
He	PP	he
worried	VBD	worry
that	IN	that
if	IN	if
he	PP	he
called	VBD	call
her	PP	her
by	IN	by
that	DT	that
name	NN	name
,	,	,
especially	RB	especially
outdoors	RB	outdoors
,	,	,
outside	JJ	outside
in	IN	in
public	NN	public
,	,	,
he	PP	he
might	MD	might
be	VB	be
seen	VBN	see
as	IN	as
endorsing	VBG	endorse
bin	NN	bin
Laden	JJ	laden
'	''	'
s	NN	S
idea	NN	idea
of	IN	of
jihad	NN	jihad
.	SENT	.
On	IN	on
Fridays	NNS	Friday
in	IN	in
his	PP$	his
mosque	NN	mosque
,	,	,
he	PP	he
gave	VBD	give
sermons	NNS	sermon
trying	VBG	try
to	TO	to
reclaim	VB	reclaim
the	DT	the
meaning	NN	meaning
of	IN	of
the	DT	the
word	NN	word
,	,	,
but	CC	but
his	PP$	his
congregants	NNS	congregant
,	,	,
the	DT	the
people	NNS	people
who	WP	who
came	VBD	come
to	TO	to
his	PP$	his
mosque	NN	mosque
,	,	,
they	PP	they
had	VBD	have
seen	VBN	see
the	DT	the
videos	NNS	video
.	SENT	.
They	PP	they
had	VBD	have
seen	VBN	see
pictures	NNS	picture
of	IN	of
the	DT	the
planes	NNS	plane
going	VBG	go
into	IN	into
the	DT	the
towers	NNS	tower
,	,	,
the	DT	the
towers	NNS	tower
coming	VBG	come
down	RP	down
.	SENT	.
They	PP	they
had	VBD	have
heard	VBN	hear
bin	NN	bin
Laden	JJ	laden
say	VBP	say
that	IN	that
that	DT	that
was	VBD	be
jihad	NN	jihad
,	,	,
and	CC	and
claimed	VBD	claim
victory	NN	victory
for	IN	for
it	PP	it
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
old	JJ	old
imam	NN	imam
worried	VBD	worry
that	IN	that
his	PP$	his
words	NNS	word
were	VBD	be
falling	VBG	fall
on	IN	on
deaf	JJ	deaf
ears	NNS	ear
.	SENT	.
No	DT	no
one	CD	one
was	VBD	be
paying	VBG	pay
attention	NN	attention
.	SENT	.
He	PP	he
was	VBD	be
wrong	JJ	wrong
.	SENT	.
Some	DT	some
people	NNS	people
were	VBD	be
paying	VBG	pay
attention	NN	attention
,	,	,
but	CC	but
for	IN	for
the	DT	the
wrong	JJ	wrong
reasons	NNS	reason
.	SENT	.
The	DT	the
United	NP	United
States	NPS	States
,	,	,
at	IN	at
this	DT	this
point	NN	point
,	,	,
was	VBD	be
putting	VBG	put
pressure	NN	pressure
on	IN	on
all	PDT	all
its	PP$	its
Arab	JJ	Arab
allies	NNS	ally
,	,	,
including	VBG	include
Tunisia	NP	Tunisia
,	,	,
to	TO	to
stamp	VB	stamp
out	RP	out
extremism	NN	extremism
in	IN	in
their	PP$	their
societies	NNS	society
,	,	,
and	CC	and
this	DT	this
imam	NN	imam
found	VBD	find
himself	PP	himself
suddenly	RB	suddenly
in	IN	in
the	DT	the
crosshairs	NNS	crosshair
of	IN	of
the	DT	the
Tunisian	JJ	Tunisian
intelligence	NN	intelligence
service	NN	service
.	SENT	.
They	PP	they
had	VBD	have
never	RB	never
paid	VBN	pay
him	PP	him
any	DT	any
attention	NN	attention
before	RB	before
—	:	-
old	JJ	old
man	NN	man
,	,	,
small	JJ	small
mosque	NN	mosque
—	:	-
but	CC	but
now	RB	now
they	PP	they
began	VBD	begin
to	TO	to
pay	VB	pay
visits	NNS	visit
,	,	,
and	CC	and
sometimes	RB	sometimes
they	PP	they
would	MD	would
drag	VB	drag
him	PP	him
in	IN	in
for	IN	for
questions	NNS	question
,	,	,
and	CC	and
always	RB	always
the	DT	the
same	JJ	same
question	NN	question
:	:	:
"	``	"
Why	WRB	why
did	VBD	do
you	PP	you
name	VB	name
your	PP$	your
granddaughter	NN	granddaughter
Jihad	NP	Jihad
?	SENT	?
Why	WRB	why
do	VBP	do
you	PP	you
keep	VB	keep
using	VBG	use
the	DT	the
word	NN	word
jihad	NN	jihad
in	IN	in
your	PP$	your
Friday	NP	Friday
sermons	NNS	sermon
?	SENT	?
Do	VBP	do
you	PP	you
hate	VBP	hate
Americans	NPS	Americans
?	SENT	?
What	WP	what
is	VBZ	be
your	PP$	your
connection	NN	connection
to	TO	to
Osama	NP	Osama
bin	NN	bin
Laden	JJ	laden
?	SENT	?
"	''	"
So	RB	so
to	TO	to
the	DT	the
Tunisian	JJ	Tunisian
intelligence	NN	intelligence
agency	NN	agency
,	,	,
and	CC	and
organizations	NNS	organization
like	VBP	like
it	PP	it
all	DT	all
over	RP	over
the	DT	the
Arab	JJ	Arab
world	NN	world
,	,	,
jihad	NN	jihad
equaled	VBD	equal
extremism	NN	extremism
,	,	,
Bin	NP	Bin
Laden	JJ	laden
'	''	'
s	NN	S
definition	NN	definition
had	VBD	have
become	VBN	become
institutionalized	VBN	institutionalize
.	SENT	.
That	DT	that
was	VBD	be
the	DT	the
power	NN	power
of	IN	of
that	DT	that
word	NN	word
that	IN	that
he	PP	he
was	VBD	be
able	JJ	able
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
it	PP	it
filled	VBD	fill
this	DT	this
old	JJ	old
imam	NN	imam
,	,	,
it	PP	it
filled	VBD	fill
him	PP	him
with	IN	with
great	JJ	great
sadness	NN	sadness
.	SENT	.
He	PP	he
told	VBD	tell
me	PP	me
that	IN	that
,	,	,
of	IN	of
bin	NN	bin
Laden	JJ	laden
'	''	'
s	JJ	<unknown>
many	JJ	many
crimes	NNS	crime
,	,	,
this	DT	this
was	VBD	be
,	,	,
in	IN	in
his	PP$	his
mind	NN	mind
,	,	,
one	CD	one
that	DT	that
didn	NN	<unknown>
'	POS	'
t	NN	t
get	VB	get
enough	JJ	enough
attention	NN	attention
,	,	,
that	WDT	that
he	PP	he
took	VBD	take
this	DT	this
word	NN	word
,	,	,
this	DT	this
beautiful	JJ	beautiful
idea	NN	idea
.	SENT	.
He	PP	he
didn	NP	<unknown>
'	POS	'
t	NN	t
so	RB	so
much	RB	much
appropriate	JJ	appropriate
it	PP	it
as	RB	as
kidnapped	VBD	kidnap
it	PP	it
and	CC	and
debased	VBD	debase
it	PP	it
and	CC	and
corrupted	VBD	corrupt
it	PP	it
and	CC	and
turned	VBD	turn
it	PP	it
into	IN	into
something	NN	something
it	PP	it
was	VBD	be
never	RB	never
meant	VBN	mean
to	TO	to
be	VB	be
,	,	,
and	CC	and
then	RB	then
persuaded	VBD	persuade
all	DT	all
of	IN	of
us	PP	us
that	IN	that
it	PP	it
always	RB	always
was	VBD	be
a	DT	a
global	JJ	global
jihad	NN	jihad
.	SENT	.
But	CC	but
the	DT	the
good	JJ	good
news	NN	news
is	VBZ	be
that	IN	that
the	DT	the
global	JJ	global
jihad	NN	jihad
is	VBZ	be
almost	RB	almost
over	RB	over
,	,	,
as	IN	as
bin	NN	bin
Laden	JJ	laden
defined	VBD	define
it	PP	it
.	SENT	.
It	PP	it
was	VBD	be
dying	VBG	die
well	RB	well
before	IN	before
he	PP	he
did	VBD	do
,	,	,
and	CC	and
now	RB	now
it	PP	it
'	POS	'
s	NN	S
on	IN	on
its	PP$	its
last	JJ	last
legs	NNS	leg
.	SENT	.
Opinion	NN	opinion
polls	NNS	poll
from	IN	from
all	DT	all
over	IN	over
the	DT	the
Muslim	JJ	Muslim
world	NN	world
show	VBP	show
that	IN	that
there	EX	there
is	VBZ	be
very	RB	very
little	JJ	little
interest	NN	interest
among	IN	among
Muslims	NNS	Muslim
in	IN	in
a	DT	a
global	JJ	global
holy	JJ	holy
war	NN	war
against	IN	against
the	DT	the
West	NP	West
,	,	,
against	IN	against
the	DT	the
far	JJ	far
enemy	NN	enemy
.	SENT	.
The	DT	the
supply	NN	supply
of	IN	of
young	JJ	young
men	NNS	man
willing	JJ	willing
to	TO	to
fight	VB	fight
and	CC	and
die	VB	die
for	IN	for
this	DT	this
cause	NN	cause
is	VBZ	be
dwindling	VBG	dwindle
.	SENT	.
The	DT	the
supply	NN	supply
of	IN	of
money	NN	money
—	:	-
just	RB	just
as	RB	as
important	JJ	important
,	,	,
more	RBR	more
important	JJ	important
perhaps	RB	perhaps
—	:	-
the	DT	the
supply	NN	supply
of	IN	of
money	NN	money
to	TO	to
this	DT	this
activity	NN	activity
is	VBZ	be
also	RB	also
dwindling	VBG	dwindle
.	SENT	.
The	DT	the
wealthy	JJ	wealthy
fanatics	NNS	fanatic
who	WP	who
were	VBD	be
previously	RB	previously
sponsoring	VBG	sponsor
this	DT	this
kind	NN	kind
of	IN	of
activity	NN	activity
are	VBP	be
now	RB	now
less	RBR	less
generous	JJ	generous
.	SENT	.
What	WP	what
does	VBZ	do
that	IN	that
mean	JJ	mean
for	IN	for
us	PP	us
in	IN	in
the	DT	the
West	NP	West
?	SENT	?
Does	VBZ	do
it	PP	it
mean	VBP	mean
we	PP	we
can	MD	can
break	VB	break
out	RP	out
the	DT	the
champagne	NN	champagne
,	,	,
wash	VB	wash
our	PP$	our
hands	NNS	hand
of	IN	of
it	PP	it
,	,	,
disengage	VB	disengage
,	,	,
sleep	VB	sleep
easy	JJ	easy
at	IN	at
night	NN	night
?	SENT	?
No	UH	no
.	SENT	.
Disengagement	NN	disengagement
is	VBZ	be
not	RB	not
an	DT	an
option	NN	option
,	,	,
because	IN	because
if	IN	if
you	PP	you
let	VBP	let
local	JJ	local
jihad	NN	jihad
survive	VB	survive
,	,	,
it	PP	it
becomes	VBZ	become
international	JJ	international
jihad	NN	jihad
.	SENT	.
And	CC	and
so	RB	so
there	EX	there
'	''	'
s	NNS	<unknown>
now	RB	now
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
violent	JJ	violent
jihads	NNS	jihad
all	RB	all
over	IN	over
the	DT	the
world	NN	world
.	SENT	.
In	IN	in
Somalia	NP	Somalia
,	,	,
in	IN	in
Mali	NP	Mali
,	,	,
in	IN	in
Nigeria	NP	Nigeria
,	,	,
in	IN	in
Iraq	NP	Iraq
,	,	,
in	IN	in
Afghanistan	NP	Afghanistan
,	,	,
Pakistan	NP	Pakistan
,	,	,
there	EX	there
are	VBP	be
groups	NNS	group
that	WDT	that
claim	VBP	claim
to	TO	to
be	VB	be
the	DT	the
inheritors	NNS	inheritor
of	IN	of
the	DT	the
legacy	NN	legacy
of	IN	of
Osama	NP	Osama
bin	NN	bin
Laden	JJ	laden
.	SENT	.
They	PP	they
use	VBP	use
his	PP$	his
rhetoric	NN	rhetoric
.	SENT	.
They	PP	they
even	RB	even
use	VBP	use
the	DT	the
brand	NN	brand
name	NN	name
he	PP	he
created	VBD	create
for	IN	for
his	PP$	his
jihad	NN	jihad
.	SENT	.
So	RB	so
there	EX	there
is	VBZ	be
now	RB	now
an	DT	an
al	NP	al
Qaeda	NP	<unknown>
in	IN	in
the	DT	the
Islamic	NP	Islamic
Maghreb	NP	Maghreb
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
al	NP	al
Qaeda	NP	<unknown>
in	IN	in
the	DT	the
Arabian	NP	Arabian
Peninsula	NP	Peninsula
,	,	,
there	EX	there
is	VBZ	be
an	DT	an
al	NP	al
Qaeda	NP	<unknown>
in	IN	in
Mesopotamia	NP	Mesopotamia
.	SENT	.
There	EX	there
are	VBP	be
other	JJ	other
groups	NNS	group
—	:	-
in	IN	in
Nigeria	NP	Nigeria
,	,	,
Boko	NP	<unknown>
Haram	NP	<unknown>
,	,	,
in	IN	in
Somalia	NP	Somalia
,	,	,
al	NP	al
Shabaab	NP	<unknown>
—	:	-
and	CC	and
they	PP	they
all	RB	all
pay	VBP	pay
homage	NN	homage
to	TO	to
Osama	NP	Osama
bin	NN	bin
Laden	JJ	laden
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
look	VBP	look
closely	RB	closely
,	,	,
they	PP	they
'	POS	'
re	NN	re
not	RB	not
fighting	VBG	fight
a	DT	a
global	JJ	global
jihad	NN	jihad
.	SENT	.
They	PP	they
'	''	'
re	IN	re
fighting	VBG	fight
battles	NNS	battle
over	IN	over
much	RB	much
narrower	JJR	narrow
issues	NNS	issue
.	SENT	.
Usually	RB	usually
it	PP	it
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
ethnicity	NN	ethnicity
or	CC	or
race	NN	race
or	CC	or
sectarianism	NN	sectarianism
,	,	,
or	CC	or
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
power	NN	power
struggle	NN	struggle
.	SENT	.
More	RBR	more
often	RB	often
than	IN	than
not	RB	not
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
power	NN	power
struggle	NN	struggle
in	IN	in
one	CD	one
country	NN	country
,	,	,
or	CC	or
even	RB	even
a	DT	a
small	JJ	small
region	NN	region
within	IN	within
one	CD	one
country	NN	country
.	SENT	.
Occasionally	RB	occasionally
they	PP	they
will	MD	will
go	VB	go
across	IN	across
a	DT	a
border	NN	border
,	,	,
from	IN	from
Iraq	NP	Iraq
to	TO	to
Syria	NP	Syria
,	,	,
from	IN	from
Mali	NP	Mali
to	TO	to
Algeria	NP	Algeria
,	,	,
from	IN	from
Somalia	NP	Somalia
to	TO	to
Kenya	NP	Kenya
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
not	RB	not
fighting	VBG	fight
a	DT	a
global	JJ	global
jihad	NN	jihad
against	IN	against
some	DT	some
far	JJ	far
enemy	NN	enemy
.	SENT	.
But	CC	but
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
mean	VBP	mean
that	IN	that
we	PP	we
can	MD	can
relax	VB	relax
.	SENT	.
I	PP	I
was	VBD	be
in	IN	in
Yemen	NP	Yemen
recently	RB	recently
,	,	,
where	WRB	where
—	:	-
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
home	NN	home
of	IN	of
the	DT	the
last	JJ	last
al	NP	al
Qaeda	NP	<unknown>
franchise	NN	franchise
that	WDT	that
still	RB	still
aspires	VBZ	aspire
to	TO	to
attack	VB	attack
America	NP	America
,	,	,
attack	VBP	attack
the	DT	the
West	NP	West
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
old	JJ	old
school	NN	school
al	NP	al
Qaeda	NP	<unknown>
.	SENT	.
You	PP	you
may	MD	may
remember	VB	remember
these	DT	these
guys	NNS	guy
.	SENT	.
They	PP	they
are	VBP	be
the	DT	the
ones	NNS	one
who	WP	who
tried	VBD	try
to	TO	to
send	VB	send
the	DT	the
underwear	NN	underwear
bomber	NN	bomber
here	RB	here
,	,	,
and	CC	and
they	PP	they
were	VBD	be
using	VBG	use
the	DT	the
Internet	NN	Internet
to	TO	to
try	VB	try
and	CC	and
instigate	VB	instigate
violence	NN	violence
among	IN	among
American	NP	American
Muslims	NPS	Muslims
.	SENT	.
But	CC	but
they	PP	they
have	VBP	have
been	VBN	be
distracted	VBN	distract
recently	RB	recently
.	SENT	.
Last	JJ	last
year	NN	year
,	,	,
they	PP	they
took	VBD	take
control	NN	control
over	IN	over
a	DT	a
portion	NN	portion
of	IN	of
southern	JJ	southern
Yemen	NP	Yemen
,	,	,
and	CC	and
ran	VBD	run
it	PP	it
,	,	,
Taliban-style	NP	Taliban-style
.	SENT	.
And	CC	and
then	RB	then
the	DT	the
Yemeni	JJ	Yemeni
military	NN	military
got	VBD	get
its	PP$	its
act	NN	act
together	RB	together
,	,	,
and	CC	and
ordinary	JJ	ordinary
people	NNS	people
rose	VBD	rise
up	RP	up
against	IN	against
these	DT	these
guys	NNS	guy
and	CC	and
drove	VBD	drive
them	PP	them
out	RP	out
,	,	,
and	CC	and
since	IN	since
then	RB	then
,	,	,
most	JJS	most
of	IN	of
their	PP$	their
activities	NNS	activity
,	,	,
most	JJS	most
of	IN	of
their	PP$	their
attacks	NNS	attack
have	VBP	have
been	VBN	be
directed	VBN	direct
at	IN	at
Yemenis	NNS	Yemeni
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
we	PP	we
'	''	'
ve	NNS	<unknown>
come	VBP	come
to	TO	to
a	DT	a
point	NN	point
now	RB	now
where	WRB	where
we	PP	we
can	MD	can
say	VB	say
that	IN	that
,	,	,
just	RB	just
like	IN	like
all	DT	all
politics	NNS	politics
,	,	,
all	DT	all
jihad	NN	jihad
is	VBZ	be
local	JJ	local
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
still	RB	still
not	RB	not
reason	NN	reason
for	IN	for
us	PP	us
to	TO	to
disengage	VB	disengage
,	,	,
because	IN	because
we	PP	we
'	POS	'
ve	NN	ve
seen	VBN	see
that	DT	that
movie	NN	movie
before	RB	before
,	,	,
in	IN	in
Afghanistan	NP	Afghanistan
.	SENT	.
When	WRB	when
those	DT	those
Mujahideen	NP	Mujahideen
defeated	VBD	defeat
the	DT	the
Soviet	NP	Soviet
Union	NP	Union
,	,	,
we	PP	we
disengaged	VBD	disengage
.	SENT	.
And	CC	and
even	RB	even
before	IN	before
the	DT	the
fizz	NN	fizz
had	VBD	have
gone	VBN	go
out	RP	out
of	IN	of
our	PP$	our
celebratory	NN	celebratory
champagne	NN	champagne
,	,	,
the	DT	the
Taliban	NP	<unknown>
had	VBD	have
taken	VBN	take
over	RP	over
in	IN	in
Kabul	NP	Kabul
,	,	,
and	CC	and
we	PP	we
said	VBD	say
,	,	,
"	``	"
Local	JJ	local
jihad	NN	jihad
,	,	,
not	RB	not
our	PP$	our
problem	NN	problem
.	SENT	.
"	''	"
And	CC	and
then	RB	then
the	DT	the
Taliban	NP	<unknown>
gave	VBD	give
the	DT	the
keys	NNS	key
of	IN	of
Kandahar	NP	Kandahar
to	TO	to
Osama	NP	Osama
bin	NN	bin
Laden	JJ	laden
.	SENT	.
He	PP	he
made	VBD	make
it	PP	it
our	PP$	our
problem	NN	problem
.	SENT	.
