Before before
myself myself
, ,
and and
newborn newborn
daughter daughter
, ,
hangs hang
on on
our our
wall wall
. .
Across across
the the
globe globe
, ,
throughout throughout
the the
ages age
, ,
our our
basic basic
needs need
are be
just just
the the
same same
, ,
aren aren
' '
t t
they they
? ?
" "
Thank thank
you you
. .
