Helen helen
I i
think think
what what
will will
come come
out out
of of
this this
is be
that that
both both
sides side
will will
realize realize
that that
this this
is be
a a
fight fight
that that
the the
entire entire
human human
race race
has have
to to
do do
together together
and and
not not
apart apart
. .
Despite despite
the the
rhetoric rhetoric
, ,
the the
global global
economy economy
has have
grown grow
to to
such such
an an
integration integration
that that
decoupling decoupling
will will
be be
extremely extremely
costly costly
and and
painful painful
for for
both both
the the
United united
States states
and and
China china
. .
HW hw
: :
It it
' '
s s
also also
been be
interesting interesting
to to
me me
to to
see see
the the
criticism criticism
that that
China china
has have
received receive
quite quite
vocally vocally
. .
For for
instance instance
, ,
they they
' '
ve ve
been be
criticized criticize
for for
downplaying downplay
the the
death death
toll toll
, ,
arguably arguably
, ,
also also
for for
trying try
to to
demonize demonize
Dr dr
. .
Li li
, ,
the the
Wuhan wuhan
doctor doctor
who who
first first
raised raise
the the
alarm alarm
about about
the the
coronavirus coronavirus
. .
I i
just just
saw see
a a
report report
in in
" "
The the
New new
York york
Times times
" "
that that
Weibo weibo
users user
have have
been be
posting post
repeatedly repeatedly
on on
the the
last last
post post
of of
Dr dr
. .
Li li
and and
using use
this this
as as
kind kind
of of
a a
living live
memorial memorial
to to
him him
, ,
chatting chat
to to
him him
. .
There there
' '
s s
something something
like like
870 @card@
, ,
000 @card@
comments comment
and and
growing grow
on on
that that
last last
post post
. .
Do do
you you
see see
a a
change change
in in
the the
media medium
? ?
Do do
you you
see see
a a
change change
in in
the the
approach approach
to to
Chinese chinese
leadership leadership
that that
actually actually
could could
lead lead
to to
China china
swinging swing
perhaps perhaps
more more
to to
the the
center center
, ,
just just
as as
perhaps perhaps
America america
needs need
to to
swing swing
more more
towards towards
a a
Chinese chinese
model model
? ?
HH hh
: :
Unfortunately unfortunately
, ,
not not
really really
, ,
because because
I i
think think
there there
is be
a a
way way
between between
authoritarian authoritarian
governments government
and and
its its
people people
to to
communicate communicate
. .
The the
night night
that that
Dr dr
. .
Li li
died die
, ,
when when
it it
was be
announced announce
that that
he he
died die
, ,
the the
Chinese chinese
social social
media medium
just just
blew blow
up up
. .
Even even
though though
he he
was be
unjustly unjustly
treated treat
as as
a a
whistleblower whistleblower
, ,
he he
still still
went go
to to
work work
in in
the the
hospital hospital
and and
tried try
to to
save save
lives life
as as
a a
doctor doctor
, ,
and and
then then
he he
died die
because because
he he
contracted contract
the the
disease disease
. .
So so
there there
was be
anger anger
, ,
frustration frustration
, ,
and and
all all
of of
that that
came come
out out
in in
kind kind
of of
commemorating commemorate
a a
figure figure
that that
they they
feel feel
that that
the the
government government
had have
wronged wrong
. .
The the
verdict verdict
and and
sort sort
of of
the the
official official
voice voice
on on
: :
" "
Who who
is be
Dr dr
. .
Li li
? ?
Is be
he he
a a
good good
guy guy
or or
a a
bad bad
guy guy
? ?
" "
completely completely
changed change
180 @card@
degrees degree
. .
He he
went go
from from
a a
doctor doctor
who who
misbehaved misbehave
to to
the the
hero hero
who who
warned warn
the the
people people
. .
So so
under under
authoritarian authoritarian
government government
, ,
they they
still still
are be
very very
aware aware
of of
public public
opinion opinion
, ,
but but
, ,
on on
the the
other other
hand hand
, ,
when when
people people
complain complain
and and
when when
they they
commemorate commemorate
Dr dr
. .
Li li
, ,
do do
they they
really really
want want
to to
change change
the the
system system
? ?
And and
my my
answer answer
is be
no no
, ,
because because
they they
don don
' '
t t
like like
that that
particular particular
decision decision
, ,
but but
they they
don don
' '
t t
want want
to to
change change
the the
system system
. .
And and
one one
of of
the the
reasons reason
is be
because because
they they
have have
never never
, ,
ever ever
known know
another another
system system
. .
This this
is be
the the
system system
they they
know know
how how
to to
work work
. .
HW hw
: :
What what
is be
wok-throwing wok-throw
, ,
Huang huang
? ?
HH hh
: :
Oh oh
, ,
wok-throwing wok-throwing
is be
when when
you you
blame blame
somebody somebody
else else
. .
Basically basically
, ,
someone someone
who who
is be
responsible responsible
in in
a a
slang slang
Chinese chinese
is be
someone someone
who who
carries carry
a a
black black
wok wok
. .
You you
are be
made make
to to
be be
the the
scapegoat scapegoat
for for
something something
that that
is be
bad bad
. .
So so
basically basically
, ,
Trump trump
started start
calling call
it it
the the
" "
Chinese chinese
virus virus
, ,
" "
the the
" "
Wuhan wuhan
virus virus
, ,
" "
and and
trying try
to to
blame blame
the the
entire entire
coronavirus coronavirus
pandemic pandemic
on on
the the
Chinese chinese
. .
And and
then then
the the
Chinese chinese
, ,
I i
think think
, ,
threw throw
the the
wok wok
back back
at at
the the
Americans americans
. .
So so
it it
was be
a a
very very
funny funny
joke joke
on on
Chinese chinese
social social
media medium
, ,
that that
wok-throwing wok-throwing
. .
There there
' '
s s
a a
wok-throwing wok-throwing
gymnastics gymnastics
aerobics aerobics
exercise exercise
video video
that that
went go
viral viral
. .
HW hw
: :
But but
tell tell
us us
, ,
Huang huang
: :
You you
' '
re re
also also
doing do
dances dance
on on
TikTok tiktok
, ,
right right
? ?
HH hh
: :
Oh oh
, ,
of of
course course
. .
I i
' '
m m
doing do
a a
lot lot
of of
wok-throwing wok-throw
aerobics aerobic
on on
TikTok tiktok
. .
HW hw
: :
I i
mean mean
, ,
a a
potential potential
silver silver
lining lining
of of
all all
of of
this this
is be
that that
it it
has have
laid lay
bare bare
some some
of of
the the
inequities inequity
, ,
inequalities inequality
in in
the the
system system
, ,
some some
of of
the the
broken break
structures structure
that that
we we
have have
, ,
and and
if if
we we
' '
re re
smart smart
, ,
we we
can can
rebuild rebuild
better well
. .
HH hh
: :
Yes yes
. .
I i
think think
one one
of of
the the
silver silver
linings lining
of of
this this
pandemic pandemic
is be
that that
we we
do do
realize realize
that that
the the
human human
race race
has have
to to
do do
something something
together together
rather rather
than than
to to
be be
distinguished distinguish
by by
our our
race race
, ,
by by
the the
color color
of of
our our
skin skin
or or
by by
our our
nationality nationality
; ;
that that
this this
virus virus
obviously obviously
is be
not not
discriminating discriminate
against against
anyone anyone
, ,
whether whether
you you
are be
rich rich
or or
poor poor
, ,
important important
or or
not not
important important
or or
whatever whatever
skin skin
color color
or or
nationality nationality
you you
are be
. .
So so
it it
is be
a a
time time
to to
be be
together together
, ,
rather rather
than than
to to
try try
to to
pull pull
the the
world world
apart apart
and and
crawl crawl
back back
to to
our our
own own
nationalistic nationalistic
shells shell
. .
HW hw
: :
It it
' '
s s
a a
beautiful beautiful
sentiment sentiment
. .
Huang huang
Hung hung
, ,
thank thank
you you
so so
much much
for for
joining join
us us
from from
Beijing beijing
. .
Stay stay
well well
, ,
please please
. .
HH hh
: :
Thank thank
you you
, ,
Helen helen
, ,
and and
you you
stay stay
well well
as as
well well
. .
