Hello hello
solar solar
technology technology
. .
So so
let let
' '
s s
break break
it it
down down
a a
little little
bit bit
. .
To to
the the
right right
of of
the the
slide slide
, ,
you you
' '
ll ll
see see
figures figure
in in
gigatons gigatons
, ,
or or
billions billion
of of
tons ton
. .
That that
represents represent
the the
total total
equivalent equivalent
carbon carbon
dioxide dioxide
reduced reduce
from from
the the
atmosphere atmosphere
when when
the the
solution solution
is be
implemented implement
globally globally
over over
a a
30-year 30-year
period period
. .
Now now
, ,
when when
we we
think think
about about
climate climate
solutions solution
, ,
we we
often often
think think
about about
electricity electricity
generation generation
. .
We we
think think
of of
renewable renewable
energy energy
as as
the the
most most
important important
set set
of of
solutions solution
, ,
and and
they they
are be
incredibly incredibly
important important
. .
But but
the the
first first
thing thing
to to
notice notice
about about
this this
list list
is be
that that
only only
five five
of of
the the
top top
20 @card@
solutions solution
relate relate
to to
electricity electricity
. .
What what
surprised surprise
us us
, ,
honestly honestly
, ,
was be
that that
eight eight
of of
the the
top top
20 @card@
relate relate
to to
the the
food food
system system
. .
The the
climate climate
impact impact
of of
food food
may may
come come
as as
a a
surprise surprise
to to
many many
people people
, ,
but but
what what
these these
results result
show show
is be
that that
the the
decisions decision
we we
make make
every every
day day
about about
the the
food food
we we
produce produce
, ,
purchase purchase
and and
consume consume
are be
perhaps perhaps
the the
most most
important important
contributions contribution
every every
individual individual
can can
make make
to to
reversing reverse
global global
warming warming
. .
And and
how how
we we
manage manage
land land
is be
also also
very very
important important
. .
Protecting protect
forests forest
and and
wetlands wetland
safeguards safeguard
, ,
expands expand
and and
creates create
new new
carbon carbon
sinks sink
that that
directly directly
draw draw
down down
carbon carbon
. .
This this
is be
how how
drawdown drawdown
can can
happen happen
. .
And and
when when
we we
take take
food food
and and
land land
management management
together together
, ,
12 @card@
of of
the the
top top
20 @card@
solutions solution
relate relate
to to
how how
and and
why why
we we
use use
land land
. .
This this
fundamentally fundamentally
shifts shift
traditional traditional
thinking thinking
on on
climate climate
solutions solution
. .
But but
let let
' '
s s
go go
to to
the the
top top
of of
the the
list list
, ,
because because
I i
think think
what what
' '
s s
there there
may may
also also
surprise surprise
you you
. .
The the
single single
most most
impactful impactful
solution solution
, ,
according accord
to to
this this
analysis analysis
, ,
would would
be be
refrigeration refrigeration
management management
, ,
or or
properly properly
managing manage
and and
disposing dispose
of of
hydrofluorocarbons hydrofluorocarbon
, ,
also also
known know
as as
HFCs hfcs
, ,
which which
are be
used use
by by
refrigerators refrigerator
and and
air air
conditioners conditioner
to to
cool cool
the the
air air
. .
We we
did do
a a
great great
job job
with with
the the
Montreal montreal
Protocol protocol
to to
limit limit
the the
production production
of of
chlorofluorocarbons chlorofluorocarbon
, ,
CFCs cfc
, ,
because because
of of
their their
effect effect
on on
the the
ozone ozone
layer layer
. .
But but
they they
were be
replaced replace
by by
HFCs hfcs
, ,
which which
are be
hundreds hundred
to to
thousands thousand
of of
times time
more more
potent potent
a a
greenhouse greenhouse
gas gas
than than
carbon carbon
dioxide dioxide
. .
And and
that that
90 @card@
gigatons gigatons
reduced reduce
is be
a a
conservative conservative
figure figure
. .
If if
we we
were be
to to
account account
for for
the the
impact impact
of of
the the
Kigali kigali
agreement agreement
of of
2016 @card@
, ,
which which
calls call
for for
the the
phaseout phaseout
of of
hydrofluorocarbons hydrofluorocarbon
and and
replace replace
them them
with with
natural natural
refrigerants refrigerant
, ,
which which
exist exist
today today
, ,
this this
number number
could could
increase increase
to to
120 @card@
, ,
to to
nearly nearly
200 @card@
gigatons gigatons
of of
avoided avoid
greenhouse greenhouse
gases gas
. .
Maybe maybe
you you
' '
re re
surprised surprise
, ,
as as
we we
were be
. .
Now now
, ,
before before
going go
into into
some some
details detail
of of
specific specific
solutions solution
, ,
you you
may may
be be
wondering wonder
how how
we we
came come
to to
these these
calculations calculation
. .
Well well
, ,
first first
of of
all all
, ,
we we
collected collect
a a
lot lot
of of
data datum
, ,
and and
we we
used use
statistical statistical
analysis analysis
to to
create create
ranges range
that that
allow allow
us us
to to
choose choose
reasonable reasonable
choices choice
for for
every every
input input
used use
throughout throughout
the the
models model
. .
And and
we we
chose choose
a a
conservative conservative
approach approach
, ,
which which
underlies underlie
the the
entire entire
project project
. .
All all
that that
data data
is be
entered enter
in in
the the
model model
, ,
ambitiously ambitiously
but but
plausibly plausibly
projected project
into into
the the
future future
, ,
and and
compared compare
against against
what what
we we
would would
have have
to to
do do
anyway anyway
. .
The the
84 @card@
gigatons gigatons
reduced reduce
from from
onshore onshore
wind wind
turbines turbine
, ,
for for
example example
, ,
results result
from from
the the
electricity electricity
generated generate
from from
wind wind
farms farm
that that
would would
otherwise otherwise
be be
produced produce
from from
coal coal
or or
gas-fired gas-fired
plants plant
. .
We we
calculate calculate
all all
the the
costs cost
to to
build build
and and
to to
operate operate
the the
plants plant
and and
all all
the the
emissions emission
generated generate
. .
The the
same same
process process
is be
used use
to to
compare compare
recycling recycle
versus versus
landfilling landfil
, ,
regenerative regenerative
versus versus
industrial industrial
agriculture agriculture
, ,
protecting protect
versus versus
cutting cut
down down
our our
forests forest
. .
The the
results result
are be
then then
integrated integrate
within within
and and
across across
systems system
to to
avoid avoid
double-counting double-count
and and
add add
it it
up up
to to
see see
if if
we we
actually actually
get get
to to
drawdown drawdown
. .
OK ok
, ,
let let
' '
s s
go go
into into
some some
specific specific
solutions solution
. .
Rooftop rooftop
solar solar
comes come
in in
ranked rank
number number
10 @card@
. .
When when
we we
picture picture
rooftop rooftop
solar solar
in in
our our
minds mind
we we
often often
envision envision
a a
warehouse warehouse
in in
Miami miami
covered cover
in in
solar solar
panels panel
. .
But but
these these
are be
solutions solution
that that
are be
relevant relevant
in in
urban urban
and and
rural rural
settings setting
, ,
high high
and and
low-income low-income
countries country
, ,
and and
they they
have have
cascading cascading
benefits benefit
. .
This this
is be
a a
family family
on on
a a
straw straw
island island
in in
Lake lake
Titicaca titicaca
receiving receive
their their
first first
solar solar
panel panel
. .
Before before
, ,
kerosene kerosene
was be
used use
for for
cooking cooking
and and
lighting lighting
, ,
kerosene kerosene
on on
a a
straw straw
island island
. .
So so
by by
installing install
solar solar
, ,
this this
family family
is be
not not
only only
helping help
to to
reduce reduce
emissions emission
, ,
but but
providing provide
safety safety
and and
security security
for for
their their
household household
. .
And and
tropical tropical
forests forest
tell tell
their their
own own
story story
. .
Protecting protect
currently currently
degraded degrade
land land
in in
the the
tropics tropic
and and
allowing allow
natural natural
regeneration regeneration
to to
occur occur
is be
the the
number number
five five
solution solution
to to
reversing reverse
global global
warming warming
. .
We we
can can
think think
of of
trees tree
as as
giant giant
sticks stick
of of
carbon carbon
. .
This this
is be
drawdown drawdown
in in
action action
every every
year year
, ,
as as
carbon carbon
is be
removed remove
from from
the the
atmosphere atmosphere
through through
photosynthesis photosynthesis
, ,
which which
converts convert
carbon carbon
dioxide dioxide
to to
plants plant
' '
biomass biomass
and and
soil soil
organic organic
carbon carbon
. .
And and
we we
need need
to to
rethink rethink
how how
we we
produce produce
our our
food food
to to
make make
it it
more more
regenerative regenerative
. .
There there
are be
many many
ways way
to to
do do
this this
, ,
and and
we we
researched research
over over
13 @card@
of of
them them
, ,
but but
these these
aren aren
' '
t t
new new
ways way
of of
producing produce
food food
. .
They they
have have
been be
practiced practice
for for
centuries century
, ,
for for
generations generation
. .
But but
they they
are be
increasingly increasingly
displaced displace
by by
modern modern
agriculture agriculture
, ,
which which
promotes promote
tillage tillage
, ,
monocropping monocropping
and and
the the
use use
of of
synthetic synthetic
fertilizers fertilizer
and and
pesticides pesticide
which which
degrade degrade
the the
land land
and and
turn turn
it it
into into
a a
net net
emitter emitter
of of
greenhouse greenhouse
gases gas
. .
Regenerative regenerative
agriculture agriculture
, ,
on on
the the
other other
hand hand
, ,
restores restore
soil soil
health health
and and
productivity productivity
, ,
increases increase
yield yield
, ,
improves improve
water water
retention retention
, ,
benefits benefit
smallholder smallholder
farmers farmer
and and
large large
farming farm
operations operation
alike alike
and and
brings bring
carbon carbon
back back
to to
the the
land land
. .
It it
' '
s s
a a
win-win-win-win-win win-win-win-win-win
. .
And and
it it
' '
s s
not not
just just
how how
we we
produce produce
food food
, ,
but but
what what
we we
consume consume
that that
has have
a a
massive massive
impact impact
on on
global global
warming warming
. .
A a
plant-rich plant-rich
diet diet
is be
not not
a a
vegan vegan
or or
a a
vegetarian vegetarian
diet diet
, ,
though though
I i
applaud applaud
any any
who who
make make
those those
choices choice
. .
It it
' '
s s
a a
healthy healthy
diet diet
in in
terms term
of of
how how
much much
we we
consume consume
, ,
and and
particularly particularly
how how
much much
meat meat
is be
consumed consume
. .
In in
the the
richer rich
parts part
of of
the the
world world
, ,
we we
overconsume overconsume
. .
However however
, ,
low-income low-income
countries country
show show
an an
insufficient insufficient
caloric caloric
and and
protein protein
intake intake
. .
That that
needs need
rebalancing rebalance
, ,
and and
it it
' '
s s
in in
the the
rebalancing rebalance
that that
a a
plant-rich plant-rich
diet diet
becomes become
the the
number number
four four
solution solution
to to
reversing reverse
global global
warming warming
. .
Moreover moreover
, ,
approximately approximately
a a
third third
of of
all all
food food
produced produce
is be
not not
eaten eat
, ,
and and
wasted waste
food food
emits emit
an an
astounding astound
eight eight
percent percent
of of
global global
greenhouse greenhouse
gases gas
. .
We we
need need
to to
look look
where where
across across
the the
supply supply
chain chain
these these
losses loss
and and
wastage wastage
occurs occur
. .
In in
low- low-
income income
countries country
, ,
after after
food food
leaves leave
the the
farm farm
, ,
most most
food food
is be
wasted waste
early early
in in
the the
supply supply
chain chain
due due
to to
infrastructure infrastructure
and and
storage storage
challenges challenge
. .
Food food
is be
not not
wasted waste
by by
consumers consumer
in in
low-income low-income
countries country
which which
struggle struggle
to to
feed feed
their their
population population
. .
In in
the the
developed develop
world world
, ,
instead instead
, ,
after after
food food
leaves leave
the the
farm farm
, ,
most most
food food
is be
wasted waste
at at
the the
end end
of of
the the
supply supply
chain chain
by by
markets market
and and
consumers consumer
, ,
and and
wasted waste
food food
ends end
up up
in in
the the
landfill landfill
where where
it it
emits emit
methane methane
as as
it it
decomposes decompose
. .
This this
is be
a a
consumer consumer
choice choice
problem problem
. .
It it
' '
s s
not not
a a
technology technology
issue issue
. .
Preventing prevent
food food
waste waste
from from
the the
beginning beginning
is be
the the
number number
three three
solution solution
. .
But but
here here
' '
s s
the the
interesting interesting
thing thing
. .
When when
we we
look look
at at
the the
food food
system system
as as
a a
whole whole
and and
we we
implement implement
all all
the the
production production
solutions solution
like like
regenerative regenerative
agriculture agriculture
, ,
and and
we we
adopt adopt
a a
plant-rich plant-rich
diet diet
, ,
and and
we we
reduce reduce
food food
waste waste
, ,
our our
research research
shows show
that that
we we
would would
produce produce
enough enough
food food
on on
current current
farmland farmland
to to
feed feed
the the
world world
' '
s s
growing grow
population population
a a
healthy healthy
, ,
nutrient-rich nutrient-rich
diet diet
now now
until until
2050 @card@
and and
beyond beyond
. .
That that
means mean
we we
don don
' '
t t
need need
to to
cut cut
down down
forests forest
for for
food food
production production
. .
The the
solutions solution
to to
reversing reverse
global global
warming warming
are be
the the
same same
solutions solution
to to
food food
insecurity insecurity
. .
Now now
, ,
a a
solution solution
that that
often often
does do
not not
get get
talked talk
enough enough
about about
, ,
family family
planning planning
. .
By by
providing provide
men man
and and
women woman
the the
right right
to to
choose choose
when when
, ,
how how
and and
if if
to to
raise raise
a a
family family
through through
reproductive reproductive
health health
clinics clinic
and and
education education
, ,
access access
to to
contraception contraception
and and
freedom freedom
devoid devoid
of of
persecution persecution
can can
reduce reduce
the the
estimated estimated
global global
population population
by by
2050 @card@
. .
That that
reduced reduce
population population
means mean
reduced reduce
demand demand
for for
electricity electricity
, ,
food food
, ,
travel travel
, ,
buildings building
and and
all all
other other
resources resource
. .
All all
the the
energy energy
and and
emissions emission
that that
are be
used use
to to
produce produce
that that
higher high
demand demand
is be
reduced reduce
by by
providing provide
the the
basic basic
human human
right right
to to
choose choose
when when
, ,
how how
and and
if if
to to
raise raise
a a
family family
. .
But but
family family
planning planning
cannot can
happen happen
without without
equal equal
quality quality
of of
education education
to to
girls girl
currently currently
being be
denied deny
access access
. .
Now now
, ,
we we
' '
ve ve
taken take
a a
small small
liberty liberty
here here
, ,
because because
the the
impact impact
of of
universal universal
education education
and and
family family
planning planning
resources resource
are be
so so
inextricably inextricably
intertwined intertwine
that that
we we
chose choose
to to
cut cut
it it
right right
down down
the the
middle middle
. .
But but
taken take
together together
, ,
educating educate
girls girl
and and
family family
planning planning
is be
the the
number number
one one
solution solution
to to
reversing reverse
global global
warming warming
, ,
reducing reduce
approximately approximately
120 @card@
billion billion
tons ton
of of
greenhouse greenhouse
gases gas
. .
So so
is be
drawdown drawdown
possible possible
? ?
The the
answer answer
is be
yes yes
, ,
it it
is be
possible possible
, ,
but but
we we
need need
all all
80 @card@
solutions solution
. .
There there
are be
no no
silver silver
bullets bullet
or or
a a
subset subset
of of
solutions solution
that that
are be
going go
to to
get get
us us
there there
. .
The the
top top
solutions solution
would would
take take
us us
far far
along along
the the
pathway pathway
, ,
but but
there there
' '
s s
no no
such such
thing thing
as as
a a
small small
solution solution
. .
We we
need need
all all
80 @card@
. .
But but
here here
' '
s s
the the
great great
thing thing
. .
We we
would would
want want
to to
implement implement
these these
solutions solution
whether whether
or or
not not
global global
warming warming
was be
even even
a a
problem problem
, ,
because because
they they
have have
cascading cascading
benefits benefit
to to
human human
and and
planetary planetary
well-being well-being
. .
Renewable renewable
electricity electricity
results result
in in
clean clean
, ,
abundant abundant
access access
to to
energy energy
for for
all all
. .
A a
plant-rich plant-rich
diet diet
, ,
reduced reduce
food food
waste waste
results result
in in
a a
healthy healthy
global global
population population
with with
enough enough
food food
and and
sustenance sustenance
. .
Family family
planning planning
and and
educating educate
girls girl
? ?
This this
is be
about about
human human
rights right
, ,
about about
gender gender
equality equality
. .
This this
is be
about about
economic economic
improvement improvement
and and
the the
freedom freedom
of of
choice choice
. .
It it
' '
s s
about about
justice justice
. .
Regenerative regenerative
agriculture agriculture
, ,
managed manage
grazing grazing
, ,
agroforestry agroforestry
, ,
silvopasture silvopasture
restores restore
soil soil
health health
, ,
benefits benefit
farmers farmer
and and
brings bring
carbon carbon
back back
to to
the the
land land
. .
Protecting protect
our our
ecosystems ecosystem
also also
protects protect
biodiversity biodiversity
and and
safeguards safeguard
planetary planetary
health health
and and
the the
oxygen oxygen
that that
we we
breathe breathe
. .
Its its
tangible tangible
benefits benefit
to to
all all
species specie
are be
incalculable incalculable
. .
But but
one one
last last
point point
, ,
because because
I i
know know
it it
' '
s s
probably probably
on on
everybody everybody
' '
s s
mind mind
; ;
how how
much much
is be
this this
going go
to to
cost cost
? ?
Well well
, ,
we we
estimate estimate
that that
to to
implement implement
all all
80 @card@
solutions solution
would would
cost cost
about about
29 @card@
trillion trillion
dollars dollar
over over
30 @card@
years year
. .
That that
' '
s s
just just
about about
a a
trillion trillion
a a
year year
. .
Now now
, ,
I i
know know
that that
sounds sound
like like
a a
lot lot
, ,
but but
we we
have have
to to
remember remember
that that
global global
GDP gdp
is be
over over
80 @card@
trillion trillion
every every
year year
, ,
and and
the the
estimated estimated
savings saving
from from
implementing implement
these these
solutions solution
is be
74 @card@
trillion trillion
dollars dollar
, ,
over over
double double
the the
costs cost
. .
That that
' '
s s
a a
net net
savings saving
of of
44 @card@
trillion trillion
dollars dollar
. .
So so
drawdown drawdown
is be
possible possible
. .
We we
can can
do do
it it
if if
we we
want want
to to
. .
It it
' '
s s
not not
going go
to to
cost cost
that that
much much
, ,
and and
the the
return return
on on
that that
investment investment
is be
huge huge
. .
Here here
' '
s s
the the
welcome welcome
surprise surprise
. .
When when
we we
implement implement
these these
solutions solution
, ,
we we
shift shift
the the
way way
we we
do do
business business
from from
a a
system system
that that
is be
inherently inherently
exploitative exploitative
and and
extractive extractive
to to
a a
new new
normal normal
that that
is be
by by
nature nature
restorative restorative
and and
regenerative regenerative
. .
We we
need need
to to
rethink rethink
our our
global global
goals goal
, ,
to to
move move
beyond beyond
sustainability sustainability
towards towards
regeneration regeneration
, ,
and and
along along
the the
way way
reverse reverse
global global
warming warming
. .
Thank thank
you you
. .
