My my
go go
to to
a a
school school
, ,
I i
see see
a a
gleam gleam
in in
the the
eyes eye
of of
the the
children child
. .
I i
see see
hope hope
. .
I i
see see
happiness happiness
in in
their their
faces face
. .
Children child
want want
to to
make make
things thing
. .
Children child
want want
to to
do do
things thing
. .
Now now
this this
, ,
we we
make make
lots lot
and and
lots lot
of of
pumps pump
. .
Now now
this this
is be
a a
little little
pump pump
with with
which which
you you
could could
inflate inflate
a a
balloon balloon
. .
It it
' '
s s
a a
real real
pump pump
. .
You you
could could
actually actually
pop pop
the the
balloon balloon
. .
And and
we we
have have
a a
slogan slogan
that that
the the
best good
thing thing
a a
child child
can can
do do
with with
a a
toy toy
is be
to to
break break
it it
. .
So so
all all
you you
do do
is be
â â
it it
' '
s s
a a
very very
kind kind
of of
provocative provocative
statement statement
â â
this this
old old
bicycle bicycle
tube tube
and and
this this
old old
plastic plastic
[ [
unclear unclear
] ]
This this
filling fill
cap cap
will will
go go
very very
snugly snugly
into into
an an
old old
bicycle bicycle
tube tube
. .
And and
this this
is be
how how
you you
make make
a a
valve valve
. .
You you
put put
a a
little little
sticky sticky
tape tape
. .
This this
is be
one-way one-way
traffic traffic
. .
Well well
we we
make make
lots lot
and and
lots lot
of of
pumps pump
. .
And and
this this
is be
the the
other other
one one
â â
that that
you you
just just
take take
a a
straw straw
, ,
and and
you you
just just
put put
a a
stick stick
inside inside
and and
you you
make make
two two
half-cuts half-cuts
. .
Now now
this this
is be
what what
you you
do do
, ,
is be
you you
bend bend
both both
these these
legs leg
into into
a a
triangle triangle
, ,
and and
you you
just just
wrap wrap
some some
tape tape
around around
. .
And and
this this
is be
the the
pump pump
. .
And and
now now
, ,
if if
you you
have have
this this
pump pump
, ,
it it
' '
s s
like like
a a
great great
, ,
great great
sprinkler sprinkler
. .
It it
' '
s s
like like
a a
centrifuge centrifuge
. .
If if
you you
spin spin
something something
, ,
it it
tends tend
to to
fly fly
out out
. .
Well well
in in
terms term
of of
â â
if if
you you
were be
in in
Andhra andhra
Pradesh pradesh
, ,
you you
would would
make make
this this
with with
the the
palmyra palmyra
leaf leaf
. .
Many many
of of
our our
folk folk
toys toy
have have
great great
science science
principles principle
. .
If if
you you
spin-top spin-top
something something
, ,
it it
tends tend
to to
fly fly
out out
. .
If if
I i
do do
it it
with with
both both
hands hand
, ,
you you
can can
see see
this this
fun fun
Mr mr
. .
Flying flying
Man man
. .
Right right
. .
This this
is be
a a
toy toy
which which
is be
made make
from from
paper paper
. .
It it
' '
s s
amazing amazing
. .
There there
are be
four four
pictures picture
. .
You you
see see
insects insect
, ,
you you
see see
frogs frog
, ,
snakes snake
, ,
eagles eagle
, ,
butterflies butterfly
, ,
frogs frog
, ,
snakes snake
, ,
eagles eagle
. .
Here here
' '
s s
a a
paper paper
which which
you you
could could
[ [
unclear unclear
] ]
â â
designed design
by by
a a
mathematician mathematician
at at
Harvard harvard
in in
1928 @card@
, ,
Arthur arthur
Stone stone
, ,
documented document
by by
Martin martin
Gardner gardner
in in
many many
of of
his his
many many
books book
. .
But but
this this
is be
great great
fun fun
for for
children child
. .
They they
all all
study study
about about
the the
food food
chain chain
. .
The the
insects insect
are be
eaten eat
by by
the the
frogs frog
; ;
the the
frogs frog
are be
eaten eat
by by
the the
snakes snake
; ;
the the
snakes snake
are be
eaten eat
by by
the the
eagles eagle
. .
And and
this this
can can
be be
, ,
if if
you you
had have
a a
whole whole
photocopy photocopy
paper paper
â â
A4 a4
size size
paper paper
â â
you you
could could
be be
in in
a a
municipal municipal
school school
, ,
you you
could could
be be
in in
a a
government government
school school
â â
a a
paper paper
, ,
a a
scale scale
and and
a a
pencil pencil
â â
no no
glue glue
, ,
no no
scissors scissors
. .
In in
three three
minutes minute
, ,
you you
just just
fold fold
this this
up up
. .
And and
what what
you you
could could
use use
it it
for for
is be
just just
limited limited
by by
your your
imagination imagination
. .
If if
you you
take take
a a
smaller small
paper paper
, ,
you you
make make
a a
smaller small
flexagon flexagon
. .
With with
a a
bigger big
one one
, ,
you you
make make
a a
bigger big
one one
. .
Now now
this this
is be
a a
pencil pencil
with with
a a
few few
slots slot
over over
here here
. .
And and
you you
put put
a a
little little
fan fan
here here
. .
And and
this this
is be
a a
hundred-year-old hundred-year-old
toy toy
. .
There there
have have
been be
six six
major major
research research
papers paper
on on
this this
. .
There there
' '
s s
some some
grooves groove
over over
here here
, ,
you you
can can
see see
. .
And and
if if
I i
take take
a a
reed reed
â â
if if
I i
rub rub
this this
, ,
something something
very very
amazing amazing
happens happen
. .
Six six
major major
research research
papers paper
on on
this this
. .
As as
a a
matter matter
of of
fact fact
, ,
Feynman feynman
, ,
as as
a a
child child
, ,
was be
very very
fascinated fascinate
by by
this this
. .
He he
wrote write
a a
paper paper
on on
this this
. .
And and
you you
don don
' '
t t
need need
the the
three three
billion-dollar billion-dollar
Hadron hadron
Collider collider
for for
doing do
this this
. .
This this
is be
there there
for for
every every
child child
, ,
and and
every every
child child
can can
enjoy enjoy
this this
. .
If if
you you
want want
to to
put put
a a
colored color
disk disk
, ,
well well
all all
these these
seven seven
colors color
coalesce coalesce
. .
And and
this this
is be
what what
Newton newton
talked talk
about about
400 @card@
years year
back back
, ,
that that
white white
light light
' '
s s
made make
of of
seven seven
colors color
, ,
just just
by by
spinning spin
this this
around around
. .
This this
is be
a a
straw straw
. .
What what
we we
' '
ve ve
done do
, ,
we we
' '
ve ve
just just
sealed seal
both both
the the
ends end
with with
tape tape
, ,
nipped nip
the the
right right
corner corner
and and
the the
bottom bottom
left left
corner corner
, ,
so so
there there
' '
s s
holes hole
in in
the the
opposite opposite
corners corner
, ,
there there
' '
s s
a a
little little
hole hole
over over
here here
. .
This this
is be
a a
kind kind
of of
a a
blowing blow
straw straw
. .
I i
just just
put put
this this
inside inside
this this
. .
There there
' '
s s
a a
hole hole
here here
, ,
and and
I i
shut shut
this this
. .
And and
this this
costs cost
very very
little little
money money
to to
make make
â â
great great
fun fun
for for
children child
to to
do do
. .
What what
we we
do do
is be
make make
a a
very very
simple simple
electric electric
motor motor
. .
Now now
this this
is be
the the
simplest simple
motor motor
on on
Earth earth
. .
The the
most most
expensive expensive
thing thing
is be
the the
battery battery
inside inside
this this
. .
If if
you you
have have
a a
battery battery
, ,
it it
costs cost
five five
cents cent
to to
make make
it it
. .
This this
is be
an an
old old
bicycle bicycle
tube tube
, ,
which which
gives give
you you
a a
broad broad
rubber rubber
band band
, ,
two two
safety safety
pins pin
. .
This this
is be
a a
permanent permanent
magnet magnet
. .
Whenever whenever
current current
flows flow
through through
the the
coil coil
, ,
this this
becomes become
an an
electromagnet electromagnet
. .
It it
' '
s s
the the
interaction interaction
of of
both both
these these
magnets magnet
which which
makes make
this this
motor motor
spin spin
. .
We we
made make
30 @card@
, ,
000 @card@
. .
Teachers teacher
who who
have have
been be
teaching teach
science science
for for
donkey donkey
years year
, ,
they they
just just
muck muck
up up
the the
definition definition
and and
they they
spit spit
it it
out out
. .
When when
teachers teacher
make make
it it
, ,
children child
make make
it it
. .
You you
can can
see see
a a
gleam gleam
in in
their their
eye eye
. .
They they
get get
a a
thrill thrill
of of
what what
science science
is be
all all
about about
. .
And and
this this
science science
is be
not not
a a
rich rich
man man
' '
s s
game game
. .
In in
a a
democratic democratic
country country
, ,
science science
must must
reach reach
to to
our our
most most
oppressed oppress
, ,
to to
the the
most most
marginalized marginalize
children child
. .
This this
program program
started start
with with
16 @card@
schools school
and and
spread spread
to to
1 @card@
, ,
500 @card@
government government
schools school
. .
Over over
100 @card@
, ,
000 @card@
children child
learn learn
science science
this this
way way
. .
And and
we we
' '
re re
just just
trying try
to to
see see
possibilities possibility
. .
Look look
, ,
this this
is be
the the
tetrapak tetrapak
â â
awful awful
materials material
from from
the the
point point
of of
view view
of of
the the
environment environment
. .
There there
are be
six six
layers layer
â â
three three
layers layer
of of
plastic plastic
, ,
aluminum aluminum
â â
which which
are be
are be
sealed seal
together together
. .
They they
are be
fused fuse
together together
, ,
so so
you you
can can
' '
t t
separate separate
them them
. .
Now now
you you
can can
just just
make make
a a
little little
network network
like like
this this
and and
fold fold
them them
and and
stick stick
them them
together together
and and
make make
an an
icosahedron icosahedron
. .
So so
something something
which which
is be
trash trash
, ,
which which
is be
choking choke
all all
the the
seabirds seabird
, ,
you you
could could
just just
recycle recycle
this this
into into
a a
very very
, ,
very very
joyous joyous
â â
all all
the the
platonic platonic
solids solid
can can
be be
made make
with with
things thing
like like
this this
. .
This this
is be
a a
little little
straw straw
, ,
and and
what what
you you
do do
is be
you you
just just
nip nip
two two
corners corner
here here
, ,
and and
this this
becomes become
like like
a a
baby baby
crocodile crocodile
' '
s s
mouth mouth
. .
You you
put put
this this
in in
your your
mouth mouth
, ,
and and
you you
blow blow
. .
It it
' '
s s
children child
' '
s s
delight delight
, ,
a a
teacher teacher
' '
s s
envy envy
, ,
as as
they they
say say
. .
You you
' '
re re
not not
able able
to to
see see
how how
the the
sound sound
is be
produced produce
, ,
because because
the the
thing thing
which which
is be
vibrating vibrate
goes go
inside inside
my my
mouth mouth
. .
I i
' '
m m
going go
to to
keep keep
this this
outside outside
, ,
to to
blow blow
out out
. .
I i
' '
m m
going go
to to
suck suck
in in
air air
. .
So so
no no
one one
actually actually
needs need
to to
muck muck
up up
the the
production production
of of
sound sound
with with
wire wire
vibrations vibration
. .
The the
other other
is be
that that
you you
keep keep
blowing blow
at at
it it
, ,
keep keep
making make
the the
sound sound
, ,
and and
you you
keep keep
cutting cut
it it
. .
And and
something something
very very
, ,
very very
nice nice
happens happen
. .
And and
when when
you you
get get
a a
very very
small small
one one
â â
This this
is be
what what
the the
kids kid
teach teach
you you
. .
You you
can can
also also
do do
this this
. .
Well well
before before
I i
go go
any any
further further
, ,
this this
is be
something something
worth worth
sharing sharing
. .
This this
is be
a a
touching touching
slate slate
meant mean
for for
blind blind
children child
. .
This this
is be
strips strip
of of
Velcro velcro
, ,
this this
is be
my my
drawing drawing
slate slate
, ,
and and
this this
is be
my my
drawing drawing
pen pen
, ,
which which
is be
basically basically
a a
film film
box box
. .
It it
' '
s s
basically basically
like like
a a
fisherman fisherman
' '
s s
line line
, ,
a a
fishing fishing
line line
. .
And and
this this
is be
wool wool
over over
here here
. .
If if
I i
crank crank
the the
handle handle
, ,
all all
the the
wool wool
goes go
inside inside
. .
And and
what what
a a
blind blind
child child
can can
do do
is be
to to
just just
draw draw
this this
. .
Wool wool
sticks stick
on on
Velcro velcro
. .
There there
are be
12 @card@
million million
blind blind
children child
in in
our our
country country
â â
who who
live live
in in
a a
world world
of of
darkness darkness
. .
And and
this this
has have
come come
as as
a a
great great
boon boon
to to
them them
. .
There there
' '
s s
a a
factory factory
out out
there there
making make
our our
children child
blind blind
, ,
not not
able able
to to
provide provide
them them
with with
food food
, ,
not not
able able
to to
provide provide
them them
with with
vitamin vitamin
A a
. .
But but
this this
has have
come come
as as
a a
great great
boon boon
for for
them them
. .
There there
are be
no no
patents patent
. .
Anyone anyone
can can
make make
it it
. .
This this
is be
very very
, ,
very very
simple simple
. .
You you
can can
see see
, ,
this this
is be
the the
generator generator
. .
It it
' '
s s
a a
crank crank
generator generator
. .
These these
are be
two two
magnets magnet
. .
This this
is be
a a
large large
pulley pulley
made make
by by
sandwiching sandwich
rubber rubber
between between
two two
old old
CDs cd
. .
Small small
pulley pulley
and and
two two
strong strong
magnets magnet
. .
And and
this this
fiber fiber
turns turn
a a
wire wire
attached attach
to to
an an
LED lead
. .
If if
I i
spin spin
this this
pulley pulley
, ,
the the
small small
one one
' '
s s
going go
to to
spin spin
much much
faster faster
. .
There there
will will
be be
a a
spinning spinning
magnetic magnetic
field field
. .
Lines line
, ,
of of
course course
, ,
would would
be be
cut cut
, ,
the the
force force
will will
be be
generated generate
. .
And and
you you
can can
see see
, ,
this this
LED lead
is be
going go
to to
glow glow
. .
So so
this this
is be
a a
small small
crank crank
generator generator
. .
Well well
, ,
this this
is be
, ,
again again
, ,
it it
' '
s s
just just
a a
ring ring
, ,
a a
steel steel
ring ring
with with
steel steel
nuts nut
. .
And and
what what
you you
can can
do do
is be
just just
, ,
if if
you you
give give
it it
a a
twirl twirl
, ,
well well
they they
just just
keep keep
going go
on on
. .
And and
imagine imagine
a a
bunch bunch
of of
kids kid
standing stand
in in
a a
circle circle
and and
just just
waiting wait
for for
the the
steel steel
ring ring
to to
be be
passed pass
on on
. .
And and
they they
' '
d d
be be
absolutely absolutely
joyous joyous
playing playing
with with
this this
. .
Well well
in in
the the
end end
, ,
what what
we we
can can
also also
do do
: :
we we
use use
a a
lot lot
of of
old old
newspapers newspaper
to to
make make
caps cap
. .
This this
is be
worthy worthy
of of
Sachin sachin
Tendulkar tendulkar
. .
It it
' '
s s
a a
great great
cricket cricket
cap cap
. .
When when
first first
you you
see see
Nehru nehru
and and
Gandhi gandhi
, ,
this this
is be
the the
Nehru nehru
cap cap
â â
just just
half half
a a
newspaper newspaper
. .
We we
make make
lots lot
of of
toys toy
with with
newspapers newspaper
, ,
and and
this this
is be
one one
of of
them them
. .
And and
this this
is be
â â
you you
can can
see see
â â
this this
is be
a a
flapping flap
bird bird
. .
All all
of of
our our
old old
newspapers newspaper
, ,
we we
cut cut
them them
into into
little little
squares square
. .
And and
if if
you you
have have
one one
of of
these these
birds bird
â â
children child
in in
Japan japan
have have
been be
making make
this this
bird bird
for for
many many
, ,
many many
years year
. .
And and
you you
can can
see see
, ,
this this
is be
a a
little little
fantail fantail
bird bird
. .
Well well
in in
the the
end end
, ,
I i
' '
ll ll
just just
end end
with with
a a
story story
. .
This this
is be
called call
" "
The the
Captain captain
' '
s s
Hat hat
Story story
. .
" "
The the
captain captain
was be
a a
captain captain
of of
a a
sea-going sea-going
ship ship
. .
It it
goes go
very very
slowly slowly
. .
And and
there there
were be
lots lot
of of
passengers passenger
on on
the the
ship ship
, ,
and and
they they
were be
getting get
bored bored
, ,
so so
the the
captain captain
invited invite
them them
on on
the the
deck deck
. .
" "
Wear wear
all all
your your
colorful colorful
clothes clothes
and and
sing sing
and and
dance dance
, ,
and and
I i
' '
ll ll
provide provide
you you
with with
good good
food food
and and
drinks drink
. .
" "
And and
the the
captain captain
would would
wear wear
a a
cap cap
everyday everyday
and and
join join
in in
the the
regalia regalia
. .
The the
first first
day day
, ,
it it
was be
a a
huge huge
umbrella umbrella
cap cap
, ,
like like
a a
captain captain
' '
s s
cap cap
. .
That that
night night
, ,
when when
the the
passengers passenger
would would
be be
sleeping sleep
, ,
he he
would would
give give
it it
one one
more more
fold fold
, ,
and and
the the
second second
day day
, ,
he he
would would
be be
wearing wear
a a
fireman fireman
' '
s s
cap cap
â â
with with
a a
little little
shoot shoot
just just
like like
a a
designer designer
cap cap
, ,
because because
it it
protects protect
the the
spinal spinal
cord cord
. .
And and
the the
second second
night night
, ,
he he
would would
take take
the the
same same
cap cap
and and
give give
it it
another another
fold fold
. .
And and
the the
third third
day day
, ,
it it
would would
be be
a a
Shikari shikari
cap cap
â â
just just
like like
an an
adventurer adventurer
' '
s s
cap cap
. .
And and
the the
third third
night night
, ,
he he
would would
give give
it it
two two
more more
folds fold
â â
and and
this this
is be
a a
very very
, ,
very very
famous famous
cap cap
. .
If if
you you
' '
ve ve
seen see
any any
of of
our our
Bollywood bollywood
films film
, ,
this this
is be
what what
the the
policeman policeman
wears wear
, ,
it it
' '
s s
called call
a a
zapalu zapalu
cap cap
. .
It it
' '
s s
been be
catapulted catapult
to to
international international
glory glory
. .
And and
we we
must must
not not
forget forget
that that
he he
was be
the the
captain captain
of of
the the
ship ship
. .
So so
that that
' '
s s
a a
ship ship
. .
And and
now now
the the
end end
: :
everyone everyone
was be
enjoying enjoy
the the
journey journey
very very
much much
. .
They they
were be
singing sing
and and
dancing dance
. .
Suddenly suddenly
there there
was be
a a
storm storm
and and
huge huge
waves wave
. .
And and
all all
the the
ship ship
can can
do do
is be
to to
dance dance
and and
pitch pitch
along along
with with
the the
waves wave
. .
A a
huge huge
wave wave
comes come
and and
slaps slap
the the
front front
and and
knocks knock
it it
down down
. .
And and
another another
one one
comes come
and and
slaps slap
the the
aft aft
and and
knocks knock
it it
down down
. .
And and
there there
' '
s s
a a
third third
one one
over over
here here
. .
This this
swallows swallow
the the
bridge bridge
and and
knocks knock
it it
down down
. .
And and
the the
ship ship
sinks sink
, ,
and and
the the
captain captain
has have
lost lose
everything everything
, ,
but but
for for
a a
life life
jacket jacket
. .
Thank thank
you you
so so
much much
. .
