Philosophers philosopher
what what
you you
see see
is be
a a
world world
full full
of of
angels angel
. .
But but
let let
' '
s s
look look
more more
deeply deeply
, ,
and and
as as
we we
do do
, ,
what what
appears appear
is be
the the
demons demon
, ,
the the
devils devil
in in
the the
world world
. .
That that
tells tell
us us
several several
things thing
. .
One one
, ,
the the
world world
is be
, ,
was be
, ,
will will
always always
be be
filled fill
with with
good good
and and
evil evil
, ,
because because
good good
and and
evil evil
is be
the the
yin yin
and and
yang yang
of of
the the
human human
condition condition
. .
It it
tells tell
me me
something something
else else
. .
If if
you you
remember remember
, ,
God god
' '
s s
favorite favorite
angel angel
was be
Lucifer lucifer
. .
Apparently apparently
, ,
Lucifer lucifer
means mean
" "
the the
light light
. .
" "
It it
also also
means mean
" "
the the
morning morning
star star
, ,
" "
in in
some some
scripture scripture
. .
And and
apparently apparently
, ,
he he
disobeyed disobey
God god
, ,
and and
that that
' '
s s
the the
ultimate ultimate
disobedience disobedience
to to
authority authority
. .
And and
when when
he he
did do
, ,
Michael michael
, ,
the the
archangel archangel
, ,
was be
sent send
to to
kick kick
him him
out out
of of
heaven heaven
along along
with with
the the
other other
fallen fallen
angels angel
. .
And and
so so
Lucifer lucifer
descends descend
into into
hell hell
, ,
becomes become
Satan satan
, ,
becomes become
the the
devil devil
, ,
and and
the the
force force
of of
evil evil
in in
the the
universe universe
begins begin
. .
Paradoxically paradoxically
, ,
it it
was be
God god
who who
created create
hell hell
as as
a a
place place
to to
store store
evil evil
. .
He he
didn didn
' '
t t
do do
a a
good good
job job
of of
keeping keep
it it
there there
though though
. .
So so
, ,
this this
arc arc
of of
the the
cosmic cosmic
transformation transformation
of of
God god
' '
s s
favorite favorite
angel angel
into into
the the
Devil devil
, ,
for for
me me
, ,
sets set
the the
context context
for for
understanding understand
human human
beings being
who who
are be
transformed transform
from from
good good
, ,
ordinary ordinary
people people
into into
perpetrators perpetrator
of of
evil evil
. .
So so
the the
Lucifer lucifer
effect effect
, ,
although although
it it
focuses focus
on on
the the
negatives negative
— -
the the
negatives negative
that that
people people
can can
become become
, ,
not not
the the
negatives negative
that that
people people
are be
— -
leads lead
me me
to to
a a
psychological psychological
definition definition
. .
Evil evil
is be
the the
exercise exercise
of of
power power
. .
And and
that that
' '
s s
the the
key key
: :
it it
' '
s s
about about
power power
. .
To to
intentionally intentionally
harm harm
people people
psychologically psychologically
, ,
to to
hurt hurt
people people
physically physically
, ,
to to
destroy destroy
people people
mortally mortally
, ,
or or
ideas idea
, ,
and and
to to
commit commit
crimes crime
against against
humanity humanity
. .
If if
you you
Google google
" "
evil evil
, ,
" "
a a
word word
that that
should should
surely surely
have have
withered wither
by by
now now
, ,
you you
come come
up up
with with
136 @card@
million million
hits hit
in in
a a
third third
of of
a a
second second
. .
A a
few few
years year
ago ago
— -
I i
am be
sure sure
all all
of of
you you
were be
shocked shock
, ,
as as
I i
was be
, ,
with with
the the
revelation revelation
of of
American american
soldiers soldier
abusing abuse
prisoners prisoner
in in
a a
strange strange
place place
in in
a a
controversial controversial
war war
, ,
Abu abu
Ghraib ghraib
in in
Iraq iraq
. .
And and
these these
were be
men man
and and
women woman
who who
were be
putting put
prisoners prisoner
through through
unbelievable unbelievable
humiliation humiliation
. .
I i
was be
shocked shock
, ,
but but
I i
wasn wasn
' '
t t
surprised surprise
, ,
because because
I i
had have
seen see
those those
same same
visual visual
parallels parallel
when when
I i
was be
the the
prison prison
superintendent superintendent
of of
the the
Stanford stanford
Prison prison
Study study
. .
Immediately immediately
the the
Bush bush
administration administration
military military
said say
what what
? ?
What what
all all
administrations administration
say say
when when
there there
' '
s s
a a
scandal scandal
: :
" "
Don don
' '
t t
blame blame
us us
. .
It it
' '
s s
not not
the the
system system
. .
It it
' '
s s
the the
few few
bad bad
apples apple
, ,
the the
few few
rogue rogue
soldiers soldier
. .
" "
My my
hypothesis hypothesis
is be
, ,
American american
soldiers soldier
are be
good good
, ,
usually usually
. .
Maybe maybe
it it
was be
the the
barrel barrel
that that
was be
bad bad
. .
But but
how how
am be
I i
going go
to to
deal deal
with with
that that
hypothesis hypothesis
? ?
I i
became become
an an
expert expert
witness witness
for for
one one
of of
the the
guards guard
, ,
Sergeant sergeant
Chip chip
Frederick frederick
, ,
and and
in in
that that
position position
, ,
I i
had have
access access
to to
the the
dozen dozen
investigative investigative
reports report
. .
I i
had have
access access
to to
him him
. .
I i
could could
study study
him him
, ,
have have
him him
come come
to to
my my
home home
, ,
get get
to to
know know
him him
, ,
do do
psychological psychological
analysis analysis
to to
see see
, ,
was be
he he
a a
good good
apple apple
or or
bad bad
apple apple
. .
And and
thirdly thirdly
, ,
I i
had have
access access
to to
all all
of of
the the
1 @card@
, ,
000 @card@
pictures picture
that that
these these
soldiers soldier
took take
. .
These these
pictures picture
are be
of of
a a
violent violent
or or
sexual sexual
nature nature
. .
All all
of of
them them
come come
from from
the the
cameras camera
of of
American american
soldiers soldier
. .
Because because
everybody everybody
has have
a a
digital digital
camera camera
or or
cell cell
phone phone
camera camera
, ,
they they
took take
pictures picture
of of
everything everything
, ,
more more
than than
1 @card@
, ,
000 @card@
. .
And and
what what
I i
' '
ve ve
done do
is be
I i
organized organize
them them
into into
various various
categories category
. .
But but
these these
are be
by by
United united
States states
military military
police police
, ,
army army
reservists reservist
. .
They they
are be
not not
soldiers soldier
prepared prepare
for for
this this
mission mission
at at
all all
. .
And and
it it
all all
happened happen
in in
a a
single single
place place
, ,
Tier tier
1-A 1-a
, ,
on on
the the
night night
shift shift
. .
Why why
? ?
Tier tier
1-A 1-a
was be
the the
center center
for for
military military
intelligence intelligence
. .
It it
was be
the the
interrogation interrogation
hold hold
. .
The the
CIA cia
was be
there there
. .
Interrogators interrogator
from from
Titan titan
Corporation corporation
, ,
all all
there there
, ,
and and
they they
' '
re re
getting get
no no
information information
about about
the the
insurgency insurgency
. .
So so
they they
' '
re re
going go
to to
put put
pressure pressure
on on
these these
soldiers soldier
, ,
military military
police police
, ,
to to
cross cross
the the
line line
, ,
give give
them them
permission permission
to to
break break
the the
will will
of of
the the
enemy enemy
, ,
to to
prepare prepare
them them
for for
interrogation interrogation
, ,
to to
soften soften
them them
up up
, ,
to to
take take
the the
gloves glove
off off
. .
Those those
are be
the the
euphemisms euphemism
, ,
and and
this this
is be
how how
it it
was be
interpreted interpret
. .
Let let
' '
s s
go go
down down
to to
that that
dungeon dungeon
. .
[ [
Abu abu
Ghraib ghraib
Iraq iraq
Prison prison
Abuses abuse
2008 @card@
Military military
Police police
Guards guard
' '
Photos photo
] ]
[ [
The the
following follow
images image
include include
nudity nudity
and and
graphic graphic
depictions depiction
of of
violence violence
] ]
So so
, ,
pretty pretty
horrific horrific
. .
That that
' '
s s
one one
of of
the the
visual visual
illustrations illustration
of of
evil evil
. .
And and
it it
should should
not not
have have
escaped escape
you you
that that
the the
reason reason
I i
paired pair
the the
prisoner prisoner
with with
his his
arms arm
out out
with with
Leonardo leonardo
da da
Vinci vinci
' '
s s
ode ode
to to
humanity humanity
is be
that that
that that
prisoner prisoner
was be
mentally mentally
ill ill
. .
That that
prisoner prisoner
covered cover
himself himself
with with
shit shit
every every
day day
, ,
they they
had have
to to
roll roll
him him
in in
dirt dirt
so so
he he
wouldn wouldn
' '
t t
stink stink
. .
But but
the the
guards guard
ended end
up up
calling call
him him
" "
Shit shit
Boy boy
. .
" "
What what
was be
he he
doing do
in in
that that
prison prison
rather rather
than than
in in
some some
mental mental
institution institution
? ?
In in
any any
event event
, ,
here here
' '
s s
former former
Secretary secretary
of of
Defense defense
Rumsfeld rumsfeld
. .
He he
comes come
down down
and and
says say
, ,
" "
I i
want want
to to
know know
, ,
who who
is be
responsible responsible
? ?
Who who
are be
the the
bad bad
apples apple
? ?
" "
Well well
, ,
that that
' '
s s
a a
bad bad
question question
. .
You you
have have
to to
reframe reframe
it it
and and
ask ask
, ,
" "
What what
is be
responsible responsible
? ?
" "
" "
What what
" "
could could
be be
the the
who who
of of
people people
, ,
but but
it it
could could
also also
be be
the the
what what
of of
the the
situation situation
, ,
and and
obviously obviously
that that
' '
s s
wrongheaded wrongheaded
. .
How how
do do
psychologists psychologist
try try
to to
understand understand
such such
transformations transformation
of of
human human
character character
, ,
if if
you you
believe believe
that that
they they
were be
good good
soldiers soldier
before before
they they
went go
down down
to to
that that
dungeon dungeon
? ?
There there
are be
three three
ways way
. .
The the
main main
way way
is be
called call
dispositional dispositional
. .
We we
look look
at at
what what
' '
s s
inside inside
of of
the the
person person
, ,
the the
bad bad
apples apple
. .
This this
is be
the the
foundation foundation
of of
all all
of of
social social
science science
, ,
the the
foundation foundation
of of
religion religion
, ,
the the
foundation foundation
of of
war war
. .
Social social
psychologists psychologist
like like
me me
come come
along along
and and
say say
, ,
" "
Yeah yeah
, ,
people people
are be
the the
actors actor
on on
the the
stage stage
, ,
but but
you you
' '
ll ll
have have
to to
be be
aware aware
of of
the the
situation situation
. .
Who who
are be
the the
cast cast
of of
characters character
? ?
What what
' '
s s
the the
costume costume
? ?
Is be
there there
a a
stage stage
director director
? ?
" "
And and
so so
we we
' '
re re
interested interested
in in
what what
are be
the the
external external
factors factor
around around
the the
individual individual
— -
the the
bad bad
barrel barrel
? ?
Social social
scientists scientist
stop stop
there there
and and
they they
miss miss
the the
big big
point point
that that
I i
discovered discover
when when
I i
became become
an an
expert expert
witness witness
for for
Abu abu
Ghraib ghraib
. .
The the
power power
is be
in in
the the
system system
. .
The the
system system
creates create
the the
situation situation
that that
corrupts corrupt
the the
individuals individual
, ,
and and
the the
system system
is be
the the
legal legal
, ,
political political
, ,
economic economic
, ,
cultural cultural
background background
. .
And and
this this
is be
where where
the the
power power
is be
of of
the the
bad-barrel bad-barrel
makers maker
. .
If if
you you
want want
to to
change change
a a
person person
, ,
change change
the the
situation situation
. .
And and
to to
change change
it it
, ,
you you
' '
ve ve
got get
to to
know know
where where
the the
power power
is be
, ,
in in
the the
system system
. .
So so
the the
Lucifer lucifer
effect effect
involves involve
understanding understand
human human
character character
transformations transformation
with with
these these
three three
factors factor
. .
And and
it it
' '
s s
a a
dynamic dynamic
interplay interplay
. .
What what
do do
the the
people people
bring bring
into into
the the
situation situation
? ?
What what
does do
the the
situation situation
bring bring
out out
of of
them them
? ?
And and
what what
is be
the the
system system
that that
creates create
and and
maintains maintain
that that
situation situation
? ?
My my
recent recent
book book
, ,
" "
The the
Lucifer lucifer
Effect effect
, ,
" "
is be
about about
, ,
how how
do do
you you
understand understand
how how
good good
people people
turn turn
evil evil
? ?
And and
it it
has have
a a
lot lot
of of
detail detail
about about
what what
I i
' '
m m
going go
to to
talk talk
about about
today today
. .
So so
Dr dr
. .
Z z
' '
s s
" "
Lucifer lucifer
Effect effect
, ,
" "
although although
it it
focuses focus
on on
evil evil
, ,
really really
is be
a a
celebration celebration
of of
the the
human human
mind mind
' '
s s
infinite infinite
capacity capacity
to to
make make
any any
of of
us us
kind kind
or or
cruel cruel
, ,
caring caring
or or
indifferent indifferent
, ,
creative creative
or or
destructive destructive
, ,
and and
it it
makes make
some some
of of
us us
villains villain
. .
And and
the the
good good
news news
that that
I i
' '
m m
going go
to to
hopefully hopefully
come come
to to
at at
the the
end end
is be
that that
it it
makes make
some some
of of
us us
heroes hero
. .
This this
wonderful wonderful
cartoon cartoon
in in
the the
New new
Yorker yorker
summarizes summarize
my my
whole whole
talk talk
: :
" "
I i
' '
m m
neither neither
a a
good good
cop cop
nor nor
a a
bad bad
cop cop
, ,
Jerome jerome
. .
Like like
yourself yourself
, ,
I i
' '
m m
a a
complex complex
amalgam amalgam
of of
positive positive
and and
negative negative
personality personality
traits trait
that that
emerge emerge
or or
not not
, ,
depending depend
on on
the the
circumstances circumstance
. .
" "
There there
' '
s s
a a
study study
some some
of of
you you
think think
you you
know know
about about
, ,
but but
very very
few few
people people
have have
ever ever
read read
the the
story story
. .
You you
watched watch
the the
movie movie
. .
This this
is be
Stanley stanley
Milgram milgram
, ,
little little
Jewish jewish
kid kid
from from
the the
Bronx bronx
, ,
and and
he he
asked ask
the the
question question
, ,
" "
Could could
the the
Holocaust holocaust
happen happen
here here
, ,
now now
? ?
" "
People people
say say
, ,
" "
No no
, ,
that that
' '
s s
Nazi nazi
Germany germany
, ,
Hitler hitler
, ,
you you
know know
, ,
that that
' '
s s
1939 @card@
. .
" "
He he
said say
, ,
" "
Yeah yeah
, ,
but but
suppose suppose
Hitler hitler
asked ask
you you
, ,
' '
Would would
you you
electrocute electrocute
a a
stranger stranger
? ?
' '
' '
No no
way way
, ,
I i
' '
m m
a a
good good
person person
. .
' '
" "
He he
said say
, ,
" "
Why why
don don
' '
t t
we we
put put
you you
in in
a a
situation situation
and and
give give
you you
a a
chance chance
to to
see see
what what
you you
would would
do do
? ?
" "
And and
so so
what what
he he
did do
was be
he he
tested test
1 @card@
, ,
000 @card@
ordinary ordinary
people people
. .
500 @card@
New new
Haven haven
, ,
Connecticut connecticut
, ,
500 @card@
Bridgeport bridgeport
. .
And and
the the
ad ad
said say
, ,
" "
Psychologists psychologist
want want
to to
understand understand
memory memory
. .
We we
want want
to to
improve improve
people people
' '
s s
memory memory
, ,
because because
it it
is be
the the
key key
to to
success success
. .
" "
OK ok
? ?
" "
We we
' '
re re
going go
to to
give give
you you
five five
bucks buck
— -
four four
dollars dollar
for for
your your
time time
. .
We we
don don
' '
t t
want want
college college
students student
. .
We we
want want
men man
between between
20 @card@
and and
50 @card@
. .
" "
In in
the the
later late
studies study
, ,
they they
ran run
women woman
. .
Ordinary ordinary
people people
: :
barbers barber
, ,
clerks clerk
, ,
white-collar white-collar
people people
. .
So so
, ,
you you
go go
down down
, ,
one one
of of
you you
will will
be be
a a
learner learner
, ,
one one
will will
be be
a a
teacher teacher
. .
The the
learner learner
' '
s s
a a
genial genial
, ,
middle-aged middle-aged
guy guy
. .
He he
gets get
tied tie
up up
to to
the the
shock shock
apparatus apparatus
in in
another another
room room
. .
The the
learner learner
could could
be be
middle-aged middle-aged
, ,
could could
be be
as as
young young
as as
20 @card@
. .
And and
one one
of of
you you
is be
told tell
by by
the the
authority authority
, ,
the the
guy guy
in in
the the
lab lab
coat coat
, ,
" "
Your your
job job
as as
teacher teacher
is be
to to
give give
him him
material material
to to
learn learn
. .
Gets get
it it
right right
, ,
reward reward
. .
Gets get
it it
wrong wrong
, ,
you you
press press
a a
button button
on on
the the
shock shock
box box
. .
The the
first first
button button
is be
15 @card@
volts volt
. .
He he
doesn doesn
' '
t t
even even
feel feel
it it
. .
" "
That that
' '
s s
the the
key key
. .
All all
evil evil
starts start
with with
15 @card@
volts volt
. .
And and
then then
the the
next next
step step
is be
another another
15 @card@
volts volt
. .
The the
problem problem
is be
, ,
at at
the the
end end
of of
the the
line line
, ,
it it
' '
s s
450 @card@
volts volt
. .
And and
as as
you you
go go
along along
, ,
the the
guy guy
is be
screaming scream
, ,
" "
I i
' '
ve ve
got get
a a
heart heart
condition condition
! !
I i
' '
m m
out out
of of
here here
! !
" "
You you
' '
re re
a a
good good
person person
. .
You you
complain complain
. .
" "
Sir sir
, ,
who who
will will
be be
responsible responsible
if if
something something
happens happen
to to
him him
? ?
" "
The the
experimenter experimenter
says say
, ,
" "
Don don
' '
t t
worry worry
, ,
I i
will will
be be
responsible responsible
. .
Continue continue
, ,
teacher teacher
. .
" "
And and
the the
question question
is be
, ,
who who
would would
go go
all all
the the
way way
to to
450 @card@
volts volt
? ?
You you
should should
notice notice
here here
, ,
when when
it it
gets get
up up
to to
375 @card@
, ,
it it
says say
, ,
" "
Danger danger
. .
Severe severe
Shock shock
. .
" "
When when
it it
gets get
up up
to to
here here
, ,
there there
' '
s s
" "
XXX xxx
" "
— -
the the
pornography pornography
of of
power power
. .
So so
Milgram milgram
asks ask
40 @card@
psychiatrists psychiatrist
, ,
" "
What what
percent percent
of of
American american
citizens citizen
would would
go go
to to
the the
end end
? ?
" "
They they
said say
only only
one one
percent percent
. .
Because because
that that
' '
s s
sadistic sadistic
behavior behavior
, ,
and and
we we
know know
, ,
psychiatry psychiatry
knows know
, ,
only only
one one
percent percent
of of
Americans americans
are be
sadistic sadistic
. .
OK ok
. .
Here here
' '
s s
the the
data datum
. .
They they
could could
not not
be be
more more
wrong wrong
. .
Two two
thirds third
go go
all all
the the
way way
to to
450 @card@
volts volt
. .
This this
was be
just just
one one
study study
. .
Milgram milgram
did do
more more
than than
16 @card@
studies study
. .
And and
look look
at at
this this
. .
In in
study study
16 @card@
, ,
where where
you you
see see
somebody somebody
like like
you you
go go
all all
the the
way way
, ,
90 @card@
percent percent
go go
all all
the the
way way
. .
In in
study study
five five
, ,
if if
you you
see see
people people
rebel rebel
, ,
90 @card@
percent percent
rebel rebel
. .
What what
about about
women woman
? ?
Study study
13 @card@
— -
no no
different different
than than
men man
. .
So so
Milgram milgram
is be
quantifying quantify
evil evil
as as
the the
willingness willingness
of of
people people
to to
blindly blindly
obey obey
authority authority
, ,
to to
go go
all all
the the
way way
to to
450 @card@
volts volt
. .
And and
it it
' '
s s
like like
a a
dial dial
on on
human human
nature nature
. .
A a
dial dial
in in
a a
sense sense
that that
you you
can can
make make
almost almost
everybody everybody
totally totally
obedient obedient
, ,
down down
to to
the the
majority majority
, ,
down down
to to
none none
. .
What what
are be
the the
external external
parallels parallel
? ?
For for
all all
research research
is be
artificial artificial
. .
What what
' '
s s
the the
validity validity
in in
the the
real real
world world
? ?
912 @card@
American american
citizens citizen
committed committed
suicide suicide
or or
were be
murdered murder
by by
family family
and and
friends friend
in in
Guyana guyana
jungle jungle
in in
1978 @card@
, ,
because because
they they
were be
blindly blindly
obedient obedient
to to
this this
guy guy
, ,
their their
pastor pastor
— -
not not
their their
priest priest
— -
their their
pastor pastor
, ,
Reverend reverend
Jim jim
Jones jones
. .
He he
persuaded persuade
them them
to to
commit commit
mass mass
suicide suicide
. .
And and
so so
, ,
he he
' '
s s
the the
modern modern
Lucifer lucifer
effect effect
, ,
a a
man man
of of
God god
who who
becomes become
the the
Angel angel
of of
Death death
. .
Milgram milgram
' '
s s
study study
is be
all all
about about
individual individual
authority authority
to to
control control
people people
. .
Most most
of of
the the
time time
, ,
we we
are be
in in
institutions institution
, ,
so so
the the
Stanford stanford
Prison prison
Study study
is be
a a
study study
of of
the the
power power
of of
institutions institution
to to
influence influence
individual individual
behavior behavior
. .
Interestingly interestingly
, ,
Stanley stanley
Milgram milgram
and and
I i
were be
in in
the the
same same
high high
school school
class class
in in
James james
Monroe monroe
in in
the the
Bronx bronx
, ,
1954 @card@
. .
I i
did do
this this
study study
with with
my my
graduate graduate
students student
, ,
especially especially
Craig craig
Haney haney
— -
and and
it it
also also
began begin
work work
with with
an an
ad ad
. .
We we
had have
a a
cheap cheap
, ,
little little
ad ad
, ,
but but
we we
wanted want
college college
students student
for for
a a
study study
of of
prison prison
life life
. .
75 @card@
people people
volunteered volunteer
, ,
took take
personality personality
tests test
. .
We we
did do
interviews interview
. .
Picked pick
two two
dozen dozen
: :
the the
most most
normal normal
, ,
the the
most most
healthy healthy
. .
Randomly randomly
assigned assign
them them
to to
be be
prisoner prisoner
and and
guard guard
. .
So so
on on
day day
one one
, ,
we we
knew know
we we
had have
good good
apples apple
. .
I i
' '
m m
going go
to to
put put
them them
in in
a a
bad bad
situation situation
. .
And and
secondly secondly
, ,
we we
know know
there there
' '
s s
no no
difference difference
between between
the the
boys boy
who who
will will
be be
guards guard
and and
those those
who who
will will
be be
prisoners prisoner
. .
To to
the the
prisoners prisoner
, ,
we we
said say
, ,
" "
Wait wait
at at
home home
. .
The the
study study
will will
begin begin
Sunday sunday
. .
" "
We we
didn didn
' '
t t
tell tell
them them
that that
the the
city city
police police
were be
going go
to to
come come
and and
do do
realistic realistic
arrests arrest
. .
[ [
Day day
1 @card@
] ]
Student student
: :
A a
police police
car car
pulls pull
up up
in in
front front
, ,
and and
a a
cop cop
comes come
to to
the the
front front
door door
, ,
and and
knocks knock
, ,
and and
says say
he he
' '
s s
looking look
for for
me me
. .
So so
they they
, ,
right right
there there
, ,
you you
know know
, ,
they they
took take
me me
out out
the the
door door
, ,
they they
put put
my my
hands hand
against against
the the
car car
. .
It it
was be
a a
real real
cop cop
car car
, ,
it it
was be
a a
real real
policeman policeman
, ,
and and
there there
were be
real real
neighbors neighbor
in in
the the
street street
, ,
who who
didn didn
' '
t t
know know
that that
this this
was be
an an
experiment experiment
. .
And and
there there
was be
cameras camera
all all
around around
and and
neighbors neighbor
all all
around around
. .
They they
put put
me me
in in
the the
car car
, ,
then then
they they
drove drive
me me
around around
Palo palo
Alto alto
. .
They they
took take
me me
to to
the the
basement basement
of of
the the
police police
station station
. .
Then then
they they
put put
me me
in in
a a
cell cell
. .
I i
was be
the the
first first
one one
to to
be be
picked pick
up up
, ,
so so
they they
put put
me me
in in
a a
cell cell
, ,
which which
was be
just just
like like
a a
room room
with with
a a
door door
with with
bars bar
on on
it it
. .
You you
could could
tell tell
it it
wasn wasn
' '
t t
a a
real real
jail jail
. .
They they
locked lock
me me
in in
there there
, ,
in in
this this
degrading degrading
little little
outfit outfit
. .
They they
were be
taking take
this this
experiment experiment
too too
seriously seriously
. .
Here here
are be
the the
prisoners prisoner
, ,
who who
are be
going go
to to
be be
dehumanized dehumanize
, ,
they they
' '
ll ll
become become
numbers number
. .
Here here
are be
the the
guards guard
with with
the the
symbols symbol
of of
power power
and and
anonymity anonymity
. .
Guards guard
get get
prisoners prisoner
to to
clean clean
the the
toilet toilet
bowls bowl
out out
with with
their their
bare bare
hands hand
, ,
to to
do do
other other
humiliating humiliate
tasks task
. .
They they
strip strip
them them
naked naked
. .
They they
sexually sexually
taunt taunt
them them
. .
They they
begin begin
to to
do do
degrading degrading
activities activity
, ,
like like
having have
them them
simulate simulate
sodomy sodomy
. .
You you
saw see
simulating simulate
fellatio fellatio
in in
soldiers soldier
in in
Abu abu
Ghraib ghraib
. .
My my
guards guard
did do
it it
in in
five five
days day
. .
The the
stress stress
reaction reaction
was be
so so
extreme extreme
that that
normal normal
kids kid
we we
picked pick
because because
they they
were be
healthy healthy
had have
breakdowns breakdown
within within
36 @card@
hours hour
. .
The the
study study
ended end
after after
six six
days day
, ,
because because
it it
was be
out out
of of
control control
. .
Five five
kids kid
had have
emotional emotional
breakdowns breakdown
. .
Does do
it it
make make
a a
difference difference
if if
warriors warrior
go go
to to
battle battle
changing change
their their
appearance appearance
or or
not not
? ?
If if
they they
' '
re re
anonymous anonymous
, ,
how how
do do
they they
treat treat
their their
victims victim
? ?
In in
some some
cultures culture
, ,
they they
go go
to to
war war
without without
changing change
their their
appearance appearance
. .
In in
others other
, ,
they they
paint paint
themselves themselves
like like
" "
Lord lord
of of
the the
Flies flies
. .
" "
In in
some some
, ,
they they
wear wear
masks mask
. .
In in
many many
, ,
soldiers soldier
are be
anonymous anonymous
in in
uniform uniform
. .
So so
this this
anthropologist anthropologist
, ,
John john
Watson watson
, ,
found find
23 @card@
cultures culture
that that
had have
two two
bits bit
of of
data datum
. .
Do do
they they
change change
their their
appearance appearance
? ?
15 @card@
. .
Do do
they they
kill kill
, ,
torture torture
, ,
mutilate mutilate
? ?
13 @card@
. .
If if
they they
don don
' '
t t
change change
their their
appearance appearance
, ,
only only
one one
of of
eight eight
kills kill
, ,
tortures torture
or or
mutilates mutilate
. .
The the
key key
is be
in in
the the
red red
zone zone
. .
If if
they they
change change
their their
appearance appearance
, ,
12 @card@
of of
13 @card@
— -
that that
' '
s s
90 @card@
percent percent
— -
kill kill
, ,
torture torture
, ,
mutilate mutilate
. .
And and
that that
' '
s s
the the
power power
of of
anonymity anonymity
. .
So so
what what
are be
the the
seven seven
social social
processes process
that that
grease grease
the the
slippery slippery
slope slope
of of
evil evil
? ?
Mindlessly mindlessly
taking take
the the
first first
small small
step step
. .
Dehumanization dehumanization
of of
others other
. .
De- de-
individuation individuation
of of
self self
. .
Diffusion diffusion
of of
personal personal
responsibility responsibility
. .
Blind blind
obedience obedience
to to
authority authority
. .
Uncritical uncritical
conformity conformity
to to
group group
norms norm
. .
Passive passive
tolerance tolerance
of of
evil evil
through through
inaction inaction
, ,
or or
indifference indifference
. .
And and
it it
happens happen
when when
you you
' '
re re
in in
a a
new new
or or
unfamiliar unfamiliar
situation situation
. .
Your your
habitual habitual
response response
patterns pattern
don don
' '
t t
work work
. .
Your your
personality personality
and and
morality morality
are be
disengaged disengage
. .
" "
Nothing nothing
is be
easier easy
than than
to to
denounce denounce
the the
evildoer evildoer
; ;
nothing nothing
more more
difficult difficult
than than
understanding understand
him him
, ,
" "
Dostoyevsky dostoyevsky
. .
Understanding understanding
is be
not not
excusing excuse
. .
Psychology psychology
is be
not not
excuse-ology excuse-ology
. .
So so
social social
and and
psychological psychological
research research
reveals reveal
how how
ordinary ordinary
, ,
good good
people people
can can
be be
transformed transform
without without
the the
drugs drug
. .
You you
don don
' '
t t
need need
it it
. .
You you
just just
need need
the the
social- social-
psychological psychological
processes process
. .
Real real
world world
parallels parallel
? ?
Compare compare
this this
with with
this this
. .
James james
Schlesinger schlesinger
— -
I i
' '
m m
going go
to to
end end
with with
this this
— -
says say
, ,
" "
Psychologists psychologist
have have
attempted attempt
to to
understand understand
how how
and and
why why
individuals individual
and and
groups group
who who
usually usually
act act
humanely humanely
can can
sometimes sometimes
act act
otherwise otherwise
in in
certain certain
circumstances circumstance
. .
" "
That that
' '
s s
the the
Lucifer lucifer
effect effect
. .
And and
he he
goes go
on on
to to
say say
, ,
" "
The the
landmark landmark
Stanford stanford
study study
provides provide
a a
cautionary cautionary
tale tale
for for
all all
military military
operations operation
. .
" "
If if
you you
give give
people people
power power
without without
oversight oversight
, ,
it it
' '
s s
a a
prescription prescription
for for
abuse abuse
. .
They they
knew know
that that
, ,
and and
let let
that that
happen happen
. .
So so
another another
report report
, ,
