Greg greg
fixation fixation
. .
But but
there there
' '
s s
one one
more more
story story
to to
this this
process process
. .
We we
saw see
how how
the the
neurons neuron
respond respond
to to
movements movement
, ,
but but
how how
does do
the the
dragonfly dragonfly
know know
that that
something something
really really
is be
prey prey
? ?
This this
is be
where where
size size
matters matter
. .
Let let
' '
s s
show show
the the
dragonfly dragonfly
a a
series series
of of
dots dot
. .
Oh oh
, ,
yeah yeah
! !
JS js
: :
Yeah yeah
, ,
it it
prefers prefer
that that
one one
. .
GG gg
: :
Out out
of of
all all
the the
sizes size
, ,
we we
found find
that that
the the
dragonfly dragonfly
responded respond
to to
smaller small
targets target
over over
larger large
ones one
. .
In in
other other
words word
, ,
the the
dragonfly dragonfly
was be
programmed programme
to to
go go
after after
smaller small
flies fly
versus versus
something something
much much
larger large
, ,
like like
a a
bird bird
. .
And and
as as
soon soon
as as
it it
recognizes recognize
something something
as as
prey prey
, ,
that that
poor poor
little little
fly fly
only only
has have
seconds second
to to
live live
. .
Today today
we we
got get
to to
see see
how how
the the
dragonfly dragonfly
' '
s s
brain brain
works work
to to
make make
it it
a a
very very
efficient efficient
killer killer
. .
And and
let let
' '
s s
be be
thankful thankful
that that
we we
didn didn
' '
t t
live live
300 @card@
million million
years year
ago ago
when when
dragonflies dragonfly
were be
the the
size size
of of
cats cat
. .
