Twelve twelve
nonviolence nonviolence
or or
violence violence
is be
not not
whether whether
that that
group group
is be
more more
left-wing left-wing
or or
right-wing right-wing
, ,
not not
whether whether
the the
group group
is be
more more
or or
less less
influenced influence
by by
religious religious
beliefs belief
, ,
not not
whether whether
it it
' '
s s
up up
against against
a a
democracy democracy
or or
a a
dictatorship dictatorship
, ,
and and
not not
even even
the the
levels level
of of
repression repression
that that
that that
group group
is be
facing face
. .
The the
greatest great
predictor predictor
of of
a a
movement movement
' '
s s
decision decision
to to
adopt adopt
nonviolence nonviolence
is be
its its
ideology ideology
regarding regard
the the
role role
of of
women woman
in in
public public
life life
. .
When when
a a
movement movement
includes include
in in
its its
discourse discourse
language language
around around
gender gender
equality equality
, ,
it it
increases increase
dramatically dramatically
the the
chances chance
it it
will will
adopt adopt
nonviolence nonviolence
, ,
and and
thus thus
, ,
the the
likelihood likelihood
it it
will will
succeed succeed
. .
The the
research research
squared square
up up
with with
my my
own own
documentation documentation
of of
political political
organizing organizing
in in
Israel israel
and and
Palestine palestine
. .
I i
' '
ve ve
noticed notice
that that
movements movement
which which
welcome welcome
women woman
into into
leadership leadership
positions position
, ,
such such
as as
the the
one one
I i
documented document
in in
a a
village village
called call
Budrus budrus
, ,
were be
much much
more more
likely likely
to to
achieve achieve
their their
goals goal
. .
This this
village village
was be
under under
a a
real real
threat threat
of of
being be
wiped wipe
off off
the the
map map
when when
Israel israel
started start
building build
the the
separation separation
barrier barrier
. .
The the
proposed propose
route route
would would
require require
the the
destruction destruction
of of
this this
community community
' '
s s
olive olive
groves grove
, ,
their their
cemeteries cemetery
and and
would would
ultimately ultimately
enclose enclose
the the
village village
from from
all all
sides side
. .
Through through
inspired inspired
local local
leadership leadership
, ,
they they
launched launch
a a
nonviolent nonviolent
resistance resistance
campaign campaign
to to
stop stop
that that
from from
happening happen
. .
The the
odds odd
were be
massively massively
stacked stack
against against
them them
. .
But but
they they
had have
a a
secret secret
weapon weapon
: :
a a
15-year-old 15-year-old
girl girl
who who
courageously courageously
jumped jump
in in
front front
of of
a a
bulldozer bulldozer
which which
was be
about about
to to
uproot uproot
an an
olive olive
tree tree
, ,
stopping stop
it it
. .
In in
that that
moment moment
, ,
the the
community community
of of
Budrus budrus
realized realize
what what
was be
possible possible
if if
they they
welcomed welcome
and and
encouraged encourage
women woman
to to
participate participate
in in
public public
life life
. .
And and
so so
it it
was be
that that
the the
women woman
of of
Budrus budrus
went go
to to
the the
front front
lines line
day day
after after
day day
, ,
using use
their their
creativity creativity
and and
acumen acumen
to to
overcome overcome
multiple multiple
obstacles obstacle
they they
faced face
in in
a a
10-month 10-month
unarmed unarmed
struggle struggle
. .
And and
as as
you you
can can
probably probably
tell tell
at at
this this
point point
, ,
they they
win win
at at
the the
end end
. .
The the
separation separation
barrier barrier
was be
changed change
completely completely
to to
the the
internationally internationally
recognized recognize
green green
line line
, ,
and and
the the
women woman
of of
Budrus budrus
came come
to to
be be
known know
across across
the the
West west
Bank bank
for for
their their
indomitable indomitable
energy energy
. .
Thank thank
you you
. .
I i
want want
to to
pause pause
for for
a a
second second
, ,
which which
you you
helped help
me me
do do
, ,
because because
I i
do do
want want
to to
tackle tackle
two two
very very
serious serious
misunderstandings misunderstanding
that that
could could
happen happen
at at
this this
point point
. .
The the
first first
one one
is be
that that
I i
don don
' '
t t
believe believe
women woman
are be
inherently inherently
or or
essentially essentially
more more
peaceful peaceful
than than
men man
. .
But but
I i
do do
believe believe
that that
in in
today today
' '
s s
world world
, ,
women woman
experience experience
power power
differently differently
. .
Having have
had have
to to
navigate navigate
being be
in in
the the
less less
powerful powerful
position position
in in
multiple multiple
aspects aspect
of of
their their
lives life
, ,
women woman
are be
often often
more more
adept adept
at at
how how
to to
surreptitiously surreptitiously
pressure pressure
for for
change change
against against
large large
, ,
powerful powerful
actors actor
. .
The the
term term
" "
manipulative manipulative
, ,
" "
often often
charged charge
against against
women woman
in in
a a
derogatory derogatory
way way
, ,
reflects reflect
a a
reality reality
in in
which which
women woman
have have
often often
had have
to to
find find
ways way
other other
than than
direct direct
confrontation confrontation
to to
achieve achieve
their their
goals goal
. .
And and
finding find
alternatives alternative
to to
direct direct
confrontation confrontation
is be
at at
the the
core core
of of
nonviolent nonviolent
resistance resistance
. .
Now now
to to
the the
second second
potential potential
misunderstanding misunderstanding
. .
I i
' '
ve ve
been be
talking talk
a a
lot lot
about about
my my
experiences experience
in in
the the
Middle middle
East east
, ,
and and
some some
of of
you you
might might
be be
thinking think
now now
that that
the the
solution solution
then then
is be
for for
us us
to to
educate educate
Muslim muslim
and and
Arab arab
societies society
to to
be be
more more
inclusive inclusive
of of
their their
women woman
. .
If if
we we
were be
to to
do do
that that
, ,
they they
would would
be be
more more
successful successful
. .
They they
do do
not not
need need
this this
kind kind
of of
help help
. .
Women woman
have have
been be
part part
of of
the the
most most
influential influential
movements movement
coming come
out out
of of
the the
Middle middle
East east
, ,
but but
they they
tend tend
to to
be be
invisible invisible
to to
the the
international international
community community
. .
Our our
cameras camera
are be
largely largely
focused focus
on on
the the
men man
who who
often often
end end
up up
involved involve
in in
the the
more more
confrontational confrontational
scenes scene
that that
we we
find find
so so
irresistible irresistible
in in
our our
news news
cycle cycle
. .
And and
we we
end end
up up
with with
a a
narrative narrative
that that
not not
only only
erases erase
women woman
from from
the the
struggles struggle
in in
the the
region region
but but
often often
misrepresents misrepresent
the the
struggles struggle
themselves themselves
. .
In in
the the
late late
1980s 1980s
, ,
an an
uprising uprising
started start
in in
Gaza gaza
, ,
and and
quickly quickly
spread spread
to to
the the
West west
Bank bank
and and
East east
Jerusalem jerusalem
. .
It it
came come
to to
be be
known know
as as
the the
First first
Intifada intifada
, ,
and and
people people
who who
have have
any any
visual visual
memory memory
of of
it it
generally generally
conjure conjure
up up
something something
like like
this this
: :
Palestinian palestinian
men man
throwing throw
rocks rock
at at
Israeli israeli
tanks tank
. .
The the
news news
coverage coverage
at at
the the
time time
made make
it it
seem seem
like like
stones stone
, ,
Molotov molotov
cocktails cocktail
and and
burning burning
tires tire
were be
the the
only only
activities activity
taking take
place place
in in
the the
Intifada intifada
. .
This this
period period
, ,
though though
, ,
was be
also also
marked mark
by by
widespread widespread
nonviolent nonviolent
organizing organizing
in in
the the
forms form
of of
strikes strike
, ,
sit-ins sit-in
and and
the the
creation creation
of of
parallel parallel
institutions institution
. .
During during
the the
First first
Intifada intifada
, ,
whole whole
sectors sector
of of
the the
Palestinian palestinian
civilian civilian
population population
mobilized mobilize
, ,
cutting cut
across across
generations generation
, ,
factions faction
and and
class class
lines line
. .
They they
did do
this this
through through
networks network
of of
popular popular
committees committee
, ,
and and
their their
use use
of of
direct direct
action action
and and
communal communal
self-help self-help
projects project
challenged challenge
Israel israel
' '
s s
very very
ability ability
to to
continue continue
ruling rule
the the
West west
Bank bank
and and
Gaza gaza
. .
According accord
to to
the the
Israeli israeli
Army army
itself itself
, ,
97 @card@
percent percent
of of
activities activity
during during
the the
First first
Intifada intifada
were be
unarmed unarm
. .
And and
here here
' '
s s
another another
thing thing
that that
is be
not not
part part
of of
our our
narrative narrative
about about
that that
time time
. .
For for
18 @card@
months month
in in
the the
Intifada intifada
, ,
women woman
were be
the the
ones one
calling call
the the
shots shot
behind behind
the the
scenes scene
: :
Palestinian palestinian
women woman
from from
all all
walks walk
of of
life life
in in
charge charge
of of
mobilizing mobilize
hundreds hundred
of of
thousands thousand
of of
people people
in in
a a
concerted concerted
effort effort
to to
withdraw withdraw
consent consent
from from
the the
occupation occupation
. .
Naela naela
Ayesh ayesh
, ,
who who
strived strive
to to
build build
a a
self-sufficient self-sufficient
Palestinian palestinian
economy economy
by by
encouraging encouraging
women woman
in in
Gaza gaza
to to
grow grow
vegetables vegetable
in in
their their
backyards backyard
, ,
an an
activity activity
deemed deem
illegal illegal
by by
the the
Israeli israeli
authorities authority
at at
that that
time time
; ;
Rabeha rabeha
Diab diab
, ,
who who
took take
over over
decision-making decision-making
authority authority
for for
the the
entire entire
uprising uprising
when when
the the
men man
who who
had have
been be
running run
it it
were be
deported deport
; ;
Fatima fatima
Al al
Jaafari jaafari
, ,
who who
swallowed swallow
leaflets leaflet
containing contain
the the
uprising uprising
' '
s s
directives directive
in in
order order
to to
spread spread
them them
across across
the the
territories territory
without without
getting get
caught catch
; ;
and and
Zahira zahira
Kamal kamal
, ,
who who
ensured ensure
the the
longevity longevity
of of
the the
uprising uprising
by by
leading lead
an an
organization organization
that that
went go
from from
25 @card@
women woman
to to
3 @card@
, ,
000 @card@
in in
a a
single single
year year
. .
Despite despite
their their
extraordinary extraordinary
achievements achievement
, ,
none none
of of
these these
women woman
have have
made make
it it
into into
our our
narrative narrative
of of
the the
First first
Intifada intifada
. .
We we
do do
this this
in in
other other
parts part
of of
the the
globe globe
, ,
too too
. .
In in
our our
history history
books book
, ,
for for
instance instance
, ,
and and
in in
our our
collective collective
consciousness consciousness
, ,
men man
are be
the the
public public
faces face
and and
spokespersons spokesperson
for for
the the
1960s 1960s
struggle struggle
for for
racial racial
justice justice
in in
the the
United united
States states
. .
But but
women woman
were be
also also
a a
critical critical
driving driving
force force
, ,
mobilizing mobilize
, ,
organizing organize
, ,
taking take
to to
the the
streets street
. .
How how
many many
of of
us us
think think
of of
Septima septima
Clark clark
when when
we we
think think
of of
the the
United united
States states
Civil civil
Rights rights
era era
? ?
Remarkably remarkably
few few
. .
But but
she she
played play
a a
crucial crucial
role role
in in
every every
phase phase
of of
the the
struggle struggle
, ,
particularly particularly
by by
emphasizing emphasize
literacy literacy
and and
education education
. .
She she
' '
s s
been be
omitted omit
, ,
ignored ignore
, ,
like like
so so
many many
other other
women woman
who who
played play
critical critical
roles role
in in
the the
United united
States states
Civil civil
Rights rights
Movement movement
. .
This this
is be
not not
about about
getting get
credit credit
. .
It it
' '
s s
more more
profound profound
than than
that that
. .
The the
stories story
we we
tell tell
matter matter
deeply deeply
to to
how how
we we
see see
ourselves ourselves
, ,
and and
to to
how how
we we
believe believe
movements movement
are be
run run
and and
how how
movements movement
are be
won win
. .
The the
stories story
we we
tell tell
about about
a a
movement movement
like like
the the
First first
Intifada intifada
or or
the the
United united
States states
Civil civil
Rights rights
era era
matter matter
deeply deeply
and and
have have
a a
critical critical
influence influence
in in
the the
choices choice
Palestinians palestinians
, ,
Americans americans
and and
people people
around around
the the
world world
will will
make make
next next
time time
they they
encounter encounter
an an
injustice injustice
and and
develop develop
the the
courage courage
to to
confront confront
it it
. .
If if
we we
do do
not not
lift lift
up up
the the
women woman
who who
played play
critical critical
roles role
in in
these these
struggles struggle
, ,
we we
fail fail
to to
offer offer
up up
role role
models model
to to
future future
generations generation
. .
Without without
role role
models model
, ,
it it
becomes become
harder hard
for for
women woman
to to
take take
up up
their their
rightful rightful
space space
in in
public public
life life
. .
And and
as as
we we
saw see
earlier earlier
, ,
one one
of of
the the
most most
critical critical
variables variable
in in
determining determine
whether whether
a a
movement movement
will will
be be
successful successful
or or
not not
is be
a a
movement movement
' '
s s
ideology ideology
regarding regard
the the
role role
of of
women woman
in in
public public
life life
. .
This this
is be
a a
question question
of of
whether whether
we we
' '
re re
moving move
towards towards
more more
democratic democratic
and and
peaceful peaceful
societies society
. .
In in
a a
world world
where where
so so
much much
change change
is be
happening happen
, ,
and and
where where
change change
is be
bound bind
to to
continue continue
at at
an an
increasingly increasingly
faster fast
pace pace
, ,
it it
is be
not not
a a
question question
of of
whether whether
we we
will will
face face
conflict conflict
, ,
but but
rather rather
a a
question question
of of
which which
stories story
will will
shape shape
how how
we we
choose choose
to to
wage wage
conflict conflict
. .
Thank thank
you you
. .
