Well well
, ,
we we
neglected neglect
the the
informal informal
and and
the the
traditional traditional
sectors sector
. .
Now now
, ,
traditional traditional
sector sector
is be
where where
Africa africa
produces produce
its its
agriculture agriculture
, ,
which which
is be
one one
of of
the the
reasons reason
why why
Africa africa
can can
' '
t t
feed feed
itself itself
, ,
and and
that that
' '
s s
why why
it it
must must
import import
food food
. .
All all
right right
, ,
you you
cannot can
develop develop
Africa africa
by by
ignoring ignore
the the
informal informal
and and
the the
traditional traditional
sectors sector
. .
And and
you you
can can
' '
t t
develop develop
the the
informal informal
and and
the the
traditional traditional
sectors sector
without without
an an
operational operational
understanding understanding
of of
how how
these these
two two
sectors sector
work work
. .
These these
two two
sectors sector
, ,
let let
me me
describe describe
to to
you you
, ,
have have
their their
own own
indigenous indigenous
institutions institution
. .
First first
one one
is be
the the
political political
system system
. .
Traditionally traditionally
, ,
Africans african
hate hate
governments government
. .
They they
hate hate
tyranny tyranny
. .
If if
you you
look look
into into
their their
traditional traditional
systems system
, ,
Africans african
organize organize
their their
states state
in in
two two
types type
. .
The the
first first
one one
belongs belong
to to
those those
ethnic ethnic
societies society
who who
believe believe
that that
the the
state state
was be
necessarily necessarily
tyrannous tyrannous
, ,
so so
they they
didn didn
' '
t t
want want
to to
have have
anything anything
to to
do do
with with
any any
centralized centralized
authority authority
. .
These these
societies society
are be
the the
Ibo ibo
, ,
the the
Somali somali
, ,
the the
Kikuyus kikuyus
, ,
for for
example example
. .
They they
have have
no no
chiefs chief
. .
The the
other other
ethnic ethnic
groups group
, ,
which which
did do
have have
chiefs chief
, ,
made make
sure sure
that that
they they
surrounded surround
the the
chiefs chief
with with
councils council
upon upon
councils council
upon upon
councils council
to to
prevent prevent
them them
from from
abusing abuse
their their
power power
. .
In in
Ashanti ashanti
tradition tradition
, ,
for for
example example
, ,
the the
chief chief
cannot can
make make
any any
decision decision
without without
the the
concurrence concurrence
of of
the the
council council
of of
elders elder
. .
Without without
the the
council council
the the
chief chief
can can
' '
t t
pass pass
any any
law law
, ,
and and
if if
the the
chief chief
doesn doesn
' '
t t
govern govern
according accord
to to
the the
will will
of of
the the
people people
he he
will will
be be
removed remove
. .
If if
not not
, ,
the the
people people
will will
abandon abandon
the the
chief chief
, ,
go go
somewhere somewhere
else else
and and
set set
up up
a a
new new
settlement settlement
. .
And and
even even
if if
you you
look look
in in
ancient ancient
African african
empires empire
, ,
they they
were be
all all
organized organize
around around
one one
particular particular
principle principle
â â
the the
confederacy confederacy
principle principle
, ,
which which
is be
characterized characterize
by by
a a
great great
deal deal
of of
devolution devolution
of of
authority authority
, ,
decentralization decentralization
of of
power power
. .
Now now
, ,
this this
is be
what what
I i
have have
described describe
to to
you you
. .
This this
is be
part part
of of
Africa africa
' '
s s
indigenous indigenous
political political
heritage heritage
. .
Now now
, ,
compare compare
that that
to to
the the
modern modern
systems system
the the
ruling ruling
elites elite
established establish
on on
Africa africa
. .
It it
is be
a a
total total
far far
cry cry
. .
In in
the the
economic economic
system system
in in
traditional traditional
Africa africa
, ,
the the
means means
of of
production production
is be
privately privately
owned own
. .
It it
' '
s s
owned own
by by
extended extended
families family
. .
You you
see see
, ,
in in
the the
West west
, ,
the the
basic basic
economic economic
and and
social social
unit unit
is be
the the
individual individual
. .
The the
American american
will will
say say
, ,
" "
I i
am be
because because
I i
am be
, ,
and and
I i
can can
damn damn
well well
do do
anything anything
I i
want want
, ,
anytime anytime
. .
" "
The the
accent accent
is be
on on
the the
" "
I i
. .
" "
In in
Africa africa
, ,
the the
Africans african
say say
, ,
" "
I i
am be
, ,
because because
we we
are be
. .
" "
The the
" "
we we
" "
connotes connote
community community
â â
the the
extended extended
family family
system system
. .
The the
extended extended
family family
system system
pools pool
its its
resources resource
together together
. .
They they
own own
farms farm
. .
They they
decide decide
what what
to to
do do
, ,
what what
to to
produce produce
. .
They they
don don
' '
t t
take take
any any
orders order
from from
their their
chiefs chief
. .
They they
decide decide
what what
to to
do do
. .
And and
when when
they they
produce produce
their their
crops crop
, ,
they they
sell sell
the the
surplus surplus
on on
marketplaces marketplace
. .
When when
they they
make make
a a
profit profit
it it
is be
theirs theirs
to to
keep keep
, ,
not not
for for
the the
chief chief
to to
sequester sequester
it it
from from
them them
. .
So so
, ,
in in
a a
nutshell nutshell
, ,
what what
we we
had have
in in
traditional traditional
Africa africa
was be
a a
free-market free-market
system system
. .
There there
were be
markets market
in in
Africa africa
before before
the the
colonialists colonialist
stepped step
foot foot
on on
the the
continent continent
. .
Timbuktu timbuktu
was be
one one
great great
big big
market market
town town
. .
Kano kano
, ,
Salaga salaga
â â
they they
were be
all all
there there
. .
Even even
if if
you you
go go
to to
West west
Africa africa
, ,
you you
notice notice
that that
market market
activity activity
in in
West west
Africa africa
has have
always always
been be
dominated dominate
by by
women woman
. .
So so
, ,
it it
' '
s s
quite quite
appropriate appropriate
that that
this this
section section
is be
called call
a a
marketplace marketplace
. .
The the
market market
is be
not not
alien alien
to to
Africa africa
. .
What what
Africans african
practiced practice
was be
a a
different different
form form
of of
capitalism capitalism
, ,
but but
then then
after after
independence independence
, ,
all all
of of
a a
sudden sudden
, ,
markets market
, ,
capitalism capitalism
became become
a a
western western
institution institution
, ,
and and
the the
leaders leader
said say
Africans african
were be
ready ready
for for
socialism socialism
. .
Nonsense nonsense
. .
And and
even even
then then
, ,
what what
kind kind
of of
socialism socialism
did do
they they
practice practice
? ?
The the
socialism socialism
that that
they they
practiced practice
was be
a a
peculiar peculiar
form form
of of
Swiss-bank swiss-bank
socialism socialism
, ,
which which
allowed allow
the the
heads head
of of
states state
and and
the the
ministers minister
to to
rape rape
and and
plunder plunder
Africa africa
' '
s s
treasuries treasury
for for
deposit deposit
in in
Switzerland switzerland
. .
That that
is be
not not
the the
kind kind
of of
system system
Africans african
had have
known know
for for
centuries century
. .
What what
do do
we we
do do
now now
? ?
Go go
back back
to to
Africa africa
' '
s s
indigenous indigenous
institutions institution
, ,
and and
this this
is be
where where
we we
charge charge
the the
Cheetahs cheetah
to to
go go
into into
the the
informal informal
sectors sector
, ,
the the
traditional traditional
sectors sector
. .
That that
' '
s s
where where
you you
find find
the the
African african
people people
. .
And and
I i
' '
d d
like like
to to
show show
you you
a a
quick quick
little little
video video
about about
the the
informal informal
sector sector
, ,
about about
the the
boat-building boat-building
that that
I i
, ,
myself myself
, ,
tried try
to to
mobilize mobilize
Africans african
in in
the the
Diaspora diaspora
to to
invest invest
in in
. .
Could could
you you
please please
show show
that that
? ?
The the
men man
are be
going go
fishing fishing
in in
these these
small small
boats boat
. .
Yes yes
, ,
it it
' '
s s
an an
enterprise enterprise
. .
This this
is be
by by
a a
local local
Ghanaian ghanaian
entrepreneur entrepreneur
, ,
using use
his his
own own
capital capital
. .
He he
' '
s s
getting get
no no
assistance assistance
from from
the the
government government
, ,
and and
he he
' '
s s
building build
a a
second second
, ,
bigger big
boat boat
. .
A a
bigger big
boat boat
will will
mean mean
more more
fish fish
will will
be be
caught catch
and and
landed land
. .
It it
means mean
that that
he he
will will
be be
able able
to to
employ employ
more more
Ghanaians ghanaian
. .
It it
also also
means mean
that that
he he
will will
be be
able able
to to
generate generate
wealth wealth
. .
And and
then then
it it
will will
have have
what what
economists economist
call call
external external
effects effect
on on
a a
local local
economy economy
. .
All all
that that
you you
need need
to to
do do
, ,
all all
that that
the the
elites elite
need need
to to
do do
, ,
is be
to to
move move
this this
operation operation
into into
something something
that that
is be
enclosed enclose
so so
that that
the the
operation operation
can can
be be
made make
more more
efficient efficient
. .
Now now
, ,
it it
is be
not not
just just
this this
informal informal
sector sector
. .
There there
is be
also also
traditional traditional
medicine medicine
. .
80 @card@
percent percent
of of
Africans african
still still
rely rely
on on
traditional traditional
medicine medicine
. .
The the
modern modern
healthcare healthcare
sector sector
has have
totally totally
collapsed collapse
. .
Now now
, ,
this this
is be
an an
area area
â â
I i
mean mean
, ,
there there
is be
a a
treasure treasure
trove trove
of of
wealth wealth
in in
the the
traditional traditional
medicine medicine
area area
. .
This this
is be
where where
we we
need need
to to
mobilize mobilize
Africans african
, ,
in in
the the
Diaspora diaspora
especially especially
, ,
to to
invest invest
in in
this this
. .
We we
also also
need need
to to
mobilize mobilize
Africans african
in in
the the
Diaspora diaspora
, ,
not not
only only
to to
go go
into into
the the
traditional traditional
sectors sector
, ,
but but
to to
go go
into into
agriculture agriculture
and and
also also
to to
instigate instigate
change change
from from
within within
. .
We we
were be
able able
to to
mobilize mobilize
Ghanaians ghanaian
in in
the the
Diaspora diaspora
to to
instigate instigate
change change
in in
Ghana ghana
and and
bring bring
about about
democracy democracy
in in
Ghana ghana
. .
And and
I i
know know
that that
with with
the the
Cheetahs cheetah
, ,
we we
can can
take take
Africa africa
back back
one one
village village
at at
a a
time time
. .
Thank thank
you you
very very
much much
. .
