Thousands thousand
talking talk
about about
today today
. .
We we
are be
already already
seeing see
car car
companies company
like like
Volvo volvo
designing design
cars car
differently differently
with with
HoloLens hololens
; ;
universities university
like like
Case case
Western western
redefining redefin
the the
way way
medical medical
students student
learn learn
; ;
and and
my my
personal personal
favorite favorite
, ,
NASA nasa
is be
using use
HoloLens hololens
to to
let let
scientists scientist
explore explore
planets planet
holographically holographically
. .
Now now
, ,
this this
is be
important important
. .
By by
bringing bring
holograms hologram
into into
our our
world world
, ,
I i
' '
m m
not not
just just
talking talk
about about
a a
new new
device device
or or
a a
better good
computer computer
. .
I i
' '
m m
talking talk
about about
freeing free
ourselves ourselves
from from
the the
2D 2d
confines confine
of of
traditional traditional
computing computing
. .
Put put
it it
this this
way way
: :
temporally temporally
adjusted adjust
, ,
we we
' '
re re
like like
cave cave
people people
in in
computer computer
terms term
. .
We we
' '
ve ve
barely barely
discovered discover
charcoal charcoal
and and
started start
drawing draw
the the
first first
stick stick
figures figure
in in
our our
cave cave
. .
Now now
, ,
this this
is be
the the
perspective perspective
I i
apply apply
to to
my my
work work
every every
single single
day day
. .
And and
now now
for for
the the
next next
few few
minutes minute
, ,
I i
invite invite
all all
of of
you you
to to
apply apply
the the
same same
perspective perspective
to to
the the
journey journey
ahead ahead
of of
us us
. .
Now now
, ,
as as
I i
put put
this this
HoloLens hololens
on on
, ,
let let
me me
explain explain
the the
setup setup
a a
little little
bit bit
. .
It it
' '
s s
probably probably
the the
most most
risky risky
demo demo
we we
have have
ever ever
done do
on on
any any
stage stage
with with
HoloLens hololens
, ,
and and
I i
can can
' '
t t
think think
of of
a a
better good
place place
to to
do do
it it
than than
here here
at at
TED ted
. .
Momentarily momentarily
, ,
I i
am be
going go
to to
be be
seeing see
holograms hologram
right right
on on
this this
stage stage
, ,
just just
as as
clearly clearly
as as
I i
can can
see see
all all
of of
you you
. .
Now now
at at
the the
same same
time time
, ,
we we
have have
also also
this this
special special
camera camera
that that
just just
walked walk
in in
onstage onstage
so so
that that
all all
of of
you you
can can
share share
in in
this this
experience experience
with with
me me
up up
on on
all all
the the
monitors monitor
. .
So so
let let
' '
s s
start start
our our
journey journey
. .
And and
what what
better good
place place
to to
begin begin
our our
journey journey
, ,
than than
in in
the the
computer computer
cave cave
of of
2D 2d
. .
Let let
' '
s s
explore explore
the the
world world
all all
around around
us us
with with
this this
new new
lens lens
, ,
and and
understand understand
the the
computer computer
world world
from from
a a
brand brand
new new
perspective perspective
. .
The the
computer computer
universe universe
is be
both both
marvelous marvelous
and and
primitive primitive
. .
It it
' '
s s
a a
universe universe
based base
on on
causality causality
. .
As as
developers developer
, ,
we we
dream dream
the the
different different
causes cause
and and
then then
we we
program program
the the
different different
effects effect
. .
Double double
click click
on on
an an
icon icon
, ,
that that
' '
s s
a a
cause cause
. .
Open open
an an
application application
, ,
that that
' '
s s
an an
effect effect
. .
Now now
when when
we we
compare compare
this this
to to
our our
physical physical
universe universe
, ,
it it
is be
overly overly
constraining constrain
, ,
because because
our our
universe universe
is be
not not
digital digital
. .
Our our
universe universe
is be
analog analog
. .
Our our
universe universe
doesn doesn
' '
t t
think think
in in
terms term
of of
zero zero
or or
one one
, ,
true true
or or
false false
, ,
or or
black black
or or
white white
. .
We we
exist exist
in in
a a
world world
governed govern
by by
quantum quantum
physics physic
, ,
a a
universe universe
of of
zero zero
and and
one one
both both
at at
the the
same same
time time
, ,
a a
reality reality
based base
on on
infinite infinite
probabilities probability
and and
shades shade
of of
gray gray
. .
You you
can can
see see
how how
these these
two two
worlds world
collide collide
. .
So so
why why
are be
screens screen
so so
pervasive pervasive
in in
our our
analog analog
life life
? ?
We we
see see
screens screen
from from
the the
moment moment
we we
wake wake
up up
, ,
to to
the the
moment moment
we we
fall fall
asleep asleep
. .
Why why
? ?
I i
think think
it it
' '
s s
because because
computers computer
give give
us us
superpowers superpower
. .
Within within
the the
digital digital
universe universe
, ,
we we
have have
the the
power power
to to
displace displace
space space
and and
the the
power power
to to
displace displace
time time
. .
It it
doesn doesn
' '
t t
matter matter
if if
you you
' '
re re
using use
technology technology
for for
entertainment entertainment
, ,
productivity productivity
or or
communication communication
. .
Think think
of of
it it
this this
way way
: :
let let
' '
s s
all all
go go
home home
tonight tonight
and and
watch watch
our our
favorite favorite
show show
on on
television television
. .
This this
is be
theater theater
â â
time time
and and
space space
displaced displace
. .
As as
soon soon
as as
I i
' '
m m
done do
with with
this this
TED ted
Talk talk
, ,
I i
' '
m m
going go
to to
immediately immediately
call call
my my
lovely lovely
family family
in in
Seattle seattle
. .
That that
' '
s s
displacement displacement
of of
space space
. .
Now now
, ,
these these
are be
such such
great great
superpowers superpower
that that
we we
put put
up up
with with
the the
two-dimensional two-dimensional
limitations limitation
of of
our our
current current
digital digital
world world
. .
But but
what what
if if
we we
didn didn
' '
t t
have have
to to
? ?
What what
if if
we we
could could
have have
these these
same same
digital digital
powers power
in in
our our
world world
? ?
You you
can can
already already
see see
glimmers glimmer
of of
this this
, ,
but but
I i
believe believe
our our
children child
' '
s s
children child
will will
grow grow
up up
in in
a a
world world
devoid devoid
of of
2D 2d
technology technology
. .
It it
' '
s s
remarkable remarkable
to to
dream dream
of of
this this
world world
, ,
a a
world world
where where
technology technology
truly truly
understands understand
us us
â â
where where
we we
live live
, ,
work work
and and
communicate communicate
â â
with with
tools tool
that that
enhance enhance
the the
human human
experience experience
, ,
not not
machines machine
that that
limit limit
our our
humanity humanity
. .
So so
how how
do do
we we
get get
there there
? ?
For for
me me
, ,
the the
answer answer
required require
looking look
at at
the the
problem problem
from from
a a
different different
perspective perspective
. .
It it
required require
sensing sense
the the
world world
from from
the the
perspective perspective
of of
a a
machine machine
. .
If if
you you
' '
re re
a a
machine machine
trying try
to to
sense sense
our our
world world
, ,
how how
would would
you you
actually actually
break break
the the
problem problem
down down
? ?
You you
' '
d d
probably probably
try try
to to
classify classify
things thing
as as
a a
human human
, ,
an an
environment environment
or or
an an
object object
. .
But but
how how
would would
that that
machine machine
then then
interact interact
with with
reality reality
? ?
And and
I i
can can
think think
of of
three three
ways way
. .
First first
, ,
as as
a a
machine machine
, ,
I i
would would
observe observe
or or
I i
would would
input input
reality reality
. .
Speech speech
recognition recognition
and and
biometric biometric
authentication authentication
are be
great great
examples example
of of
a a
machine machine
interacting interact
with with
humans human
from from
an an
input input
perspective perspective
. .
Secondly secondly
, ,
as as
a a
machine machine
, ,
I i
could could
place place
digital digital
information information
, ,
or or
output output
information information
, ,
into into
reality reality
. .
Holograms hologram
are be
examples example
of of
a a
machine machine
interacting interact
with with
an an
environment environment
from from
an an
output output
perspective perspective
. .
Finally finally
, ,
as as
a a
machine machine
, ,
I i
could could
exchange exchange
energy energy
with with
the the
world world
via via
haptics haptics
. .
Now now
, ,
imagine imagine
being be
able able
to to
feel feel
the the
temperature temperature
of of
a a
virtual virtual
object object
, ,
or or
better well
yet yet
, ,
imagine imagine
pushing push
a a
hologram hologram
and and
having have
it it
push push
you you
back back
with with
equal equal
force force
. .
With with
this this
perspective perspective
, ,
we we
are be
able able
to to
collapse collapse
reality reality
into into
a a
simple simple
matrix matrix
. .
Now now
here here
' '
s s
a a
secret secret
: :
as as
an an
engineer engineer
, ,
I i
get get
really really
excited excite
anytime anytime
I i
can can
reduce reduce
something something
to to
the the
matrix matrix
. .
From from
self-driving self-driving
cars car
to to
smartphones smartphone
to to
this this
holographic holographic
computer computer
on on
my my
head head
, ,
machines machine
are be
becoming become
capable capable
of of
understanding understand
our our
world world
. .
And and
they they
are be
starting start
to to
interact interact
with with
us us
in in
significantly significantly
more more
personal personal
ways way
. .
Now now
, ,
imagine imagine
having have
granular granular
control control
over over
everything everything
in in
the the
world world
. .
Move move
the the
dial dial
one one
way way
, ,
and and
you you
get get
reality reality
. .
Move move
the the
dial dial
the the
other other
way way
, ,
and and
you you
get get
virtual virtual
reality reality
. .
Now now
, ,
imagine imagine
dialing dial
your your
entire entire
environment environment
between between
virtual virtual
and and
real real
worlds world
. .
I i
love love
it it
down down
here here
. .
Now now
, ,
imagine imagine
if if
I i
could could
look look
at at
all all
of of
you you
and and
dial dial
from from
real real
humans human
into into
elves elf
. .
When when
technology technology
truly truly
understands understand
our our
world world
, ,
it it
will will
again again
transform transform
the the
ways way
we we
interact interact
, ,
the the
ways way
we we
work work
and and
the the
ways way
we we
play play
. .
Less less
than than
half half
a a
century century
ago ago
, ,
two two
courageous courageous
men man
landed land
on on
the the
moon moon
, ,
using use
computers computer
that that
were be
less less
powerful powerful
than than
the the
phones phone
in in
your your
pockets pocket
. .
Six six
hundred hundred
million million
humans human
watched watch
them them
on on
grainy grainy
, ,
black-and-white black-and-white
televisions television
. .
And and
the the
world world
? ?
The the
world world
was be
mesmerized mesmerize
. .
Now now
imagine imagine
how how
our our
children child
and and
their their
children child
will will
experience experience
the the
continued continued
exploration exploration
of of
space space
with with
technology technology
that that
understands understand
this this
world world
. .
We we
already already
live live
in in
a a
world world
where where
real-time real-time
universal universal
translators translator
exist exist
. .
And and
I i
can can
squint squint
, ,
and and
I i
can can
already already
see see
holographic holographic
telepresence telepresence
in in
our our
near near
future future
. .
In in
fact fact
, ,
since since
we we
' '
ve ve
been be
lucky lucky
with with
our our
demo demo
so so
far far
, ,
let let
' '
s s
try try
doing do
something something
else else
even even
more more
crazy crazy
. .
I i
invite invite
you you
to to
experience experience
, ,
for for
the the
first first
time time
anywhere anywhere
in in
the the
world world
, ,
here here
on on
the the
TED ted
stage stage
, ,
a a
real-life real-life
holographic holographic
teleportation teleportation
, ,
between between
me me
and and
my my
friend friend
, ,
Dr dr
. .
Jeffrey jeffrey
Norris norris
, ,
from from
NASA nasa
' '
s s
Jet jet
Propulsion propulsion
Laboratory laboratory
. .
Finger finger
crossed cross
. .
Hi hi
, ,
Jeff jeff
. .
Jeff jeff
Norris norris
: :
Hey hey
, ,
Alex alex
. .
Alex alex
Kipman kipman
: :
Phew phew
! !
That that
worked work
. .
How how
are be
you you
doing do
today today
, ,
Jeff jeff
? ?
JN jn
: :
Doing do
great great
. .
I i
had have
an an
awesome awesome
week week
. .
AK ak
: :
So so
, ,
can can
you you
tell tell
us us
a a
little little
bit bit
, ,
Jeff jeff
, ,
about about
where where
you you
are be
? ?
JN jn
: :
Well well
, ,
I i
' '
m m
actually actually
in in
three three
places place
. .
I i
' '
m m
standing standing
in in
a a
room room
across across
the the
street street
, ,
while while
I i
' '
m m
standing standing
on on
this this
stage stage
with with
you you
, ,
while while
I i
' '
m m
standing standing
on on
Mars mars
, ,
a a
hundred hundred
million million
miles mile
away away
. .
AK ak
: :
Wow wow
, ,
a a
hundred hundred
million million
miles mile
away away
. .
This this
is be
crazy crazy
! !
Can can
you you
tell tell
us us
a a
little little
bit bit
more more
about about
where where
all all
this this
data datum
from from
Mars mars
is be
coming come
from from
? ?
JN jn
: :
Absolutely absolutely
. .
This this
is be
a a
precise precise
holographic holographic
replica replica
of of
Mars mars
, ,
built build
from from
data datum
captured capture
by by
the the
Curiosity curiosity
Mars mars
Rover rover
, ,
that that
I i
can can
explore explore
as as
easily easily
as as
a a
place place
on on
Earth earth
. .
Humans human
are be
natural natural
explorers explorer
. .
We we
can can
instantly instantly
understand understand
an an
environment environment
, ,
just just
by by
being be
present present
in in
it it
. .
We we
' '
ve ve
built build
tools tool
like like
our our
Mars mars
Rover rover
to to
extend extend
our our
vision vision
and and
lengthen lengthen
our our
reach reach
. .
But but
for for
decades decade
, ,
we we
' '
ve ve
explored explore
from from
a a
seat seat
behind behind
screens screen
and and
keyboards keyboard
. .
Now now
, ,
we we
' '
re re
leaping leap
over over
all all
of of
that that
, ,
over over
the the
giant giant
antennas antenna
and and
the the
relay relay
satellites satellite
and and
the the
vastness vastness
between between
worlds world
to to
take take
our our
first first
steps step
on on
this this
landscape landscape
as as
if if
we we
were be
truly truly
there there
. .
Today today
, ,
a a
group group
of of
scientists scientist
on on
our our
mission mission
are be
seeing see
Mars mars
as as
never never
before before
â â
an an
alien alien
world world
made make
a a
little little
more more
familiar familiar
, ,
because because
they they
' '
re re
finally finally
exploring explore
it it
as as
humans human
should should
. .
But but
our our
dreams dream
don don
' '
t t
have have
to to
end end
with with
making make
it it
just just
like like
being be
there there
. .
When when
we we
dial dial
this this
real real
world world
to to
the the
virtual virtual
, ,
we we
can can
do do
magical magical
things thing
. .
We we
can can
see see
in in
invisible invisible
wavelengths wavelength
or or
teleport teleport
to to
the the
top top
of of
a a
mountain mountain
. .
Perhaps perhaps
someday someday
, ,
we we
' '
ll ll
feel feel
the the
minerals mineral
in in
a a
rock rock
just just
by by
touching touch
it it
. .
We we
' '
re re
taking take
the the
first first
steps step
. .
But but
we we
want want
the the
whole whole
world world
to to
join join
us us
in in
taking take
the the
next next
, ,
because because
this this
is be
not not
a a
journey journey
for for
a a
few few
, ,
but but
for for
all all
of of
us us
. .
AK ak
: :
Thank thank
you you
Jeff jeff
, ,
this this
was be
amazing amazing
. .
Thank thank
you you
so so
much much
for for
joining join
us us
on on
the the
TED ted
stage stage
today today
. .
JN jn
: :
Thank thank
you you
Alex alex
, ,
bye bye
bye bye
. .
AK ak
: :
Bye bye
, ,
Jeff jeff
. .
I i
dream dream
about about
this this
future future
every every
single single
day day
. .
I i
take take
inspiration inspiration
from from
our our
ancestors ancestor
. .
We we
used use
to to
live live
in in
tribes tribe
where where
we we
interacted interact
, ,
communicated communicate
and and
worked work
together together
. .
We we
are be
all all
beginning begin
to to
build build
technology technology
that that
will will
enable enable
us us
to to
return return
to to
the the
humanity humanity
that that
brought bring
us us
where where
we we
are be
today today
â â
technology technology
that that
will will
let let
us us
stop stop
living live
inside inside
this this
2D 2d
world world
of of
monitors monitor
and and
pixels pixel
, ,
and and
let let
us us
start start
remembering remember
what what
it it
feels feel
like like
to to
live live
in in
our our
3D 3d
world world
. .
It it
' '
s s
a a
phenomenal phenomenal
time time
to to
be be
human human
. .
Thank thank
you you
. .
Helen helen
Walters walters
: :
Thanks thanks
so so
much much
. .
I i
have have
some some
questions question
. .
AK ak
: :
OK ok
. .
HW hw
: :
So so
there there
' '
s s
been be
some some
talk talk
in in
the the
press press
. .
And and
I i
' '
ll ll
just just
ask ask
you you
straight straight
, ,
then then
we we
have have
a a
straight straight
answer answer
. .
There there
' '
s s
been be
talk talk
about about
the the
difference difference
between between
the the
demos demo
and and
the the
reality reality
of of
the the
commercial commercial
product product
. .
Talk talk
about about
this this
field field
of of
view view
issue issue
. .
Is be
this this
type type
of of
experience experience
what what
someone someone
who who
buys buy
the the
product product
will will
get get
? ?
AK ak
: :
It it
' '
s s
a a
great great
question question
, ,
Or or
, ,
said say
better well
, ,
this this
is be
a a
question question
we we
' '
ve ve
been be
receiving receive
in in
the the
media medium
for for
possibly possibly
the the
last last
year year
. .
If if
you you
do do
your your
research research
, ,
I i
haven haven
' '
t t
answered answer
that that
question question
. .
I i
' '
ve ve
purposely purposely
ignored ignore
it it
, ,
because because
ultimately ultimately
, ,
it it
' '
s s
the the
wrong wrong
question question
to to
ask ask
. .
That that
' '
s s
the the
equivalent equivalent
of of
me me
showing show
holograms hologram
to to
someone someone
for for
the the
first first
time time
, ,
and and
you you
then then
saying say
, ,
" "
What what
' '
s s
the the
size size
of of
your your
television television
? ?
" "
The the
field field
of of
view view
for for
the the
product product
is be
almost almost
irrelevant irrelevant
. .
What what
we we
should should
be be
talking talk
about about
is be
the the
density density
of of
lights light
, ,
or or
radiance radiance
, ,
that that
shows show
up up
. .
Better well
said say
, ,
what what
the the
angular angular
resolution resolution
is be
of of
the the
things thing
that that
you you
see see
. .
So so
from from
that that
perspective perspective
, ,
what what
you you
saw see
â â
you you
know know
, ,
the the
camera camera
is be
wearing wear
a a
HoloLens hololens
. .
So so
even even
if if
I i
wanted want
to to
cheat cheat
, ,
I i
can can
' '
t t
. .
HW hw
: :
But but
the the
camera camera
has have
a a
different different
lens lens
on on
it it
than than
our our
eye eye
. .
Right right
? ?
AK ak
: :
The the
camera camera
has have
a a
fish-eye fish-eye
lens lens
on on
it it
. .
It it
' '
s s
seeing see
a a
much much
wider wide
view view
than than
the the
human human
eye eye
is be
. .
So so
if if
you you
think think
about about
the the
points point
of of
light light
that that
show show
up up
radially radially
from from
the the
vision vision
of of
the the
camera camera
, ,
which which
is be
the the
thing thing
that that
matters matter
: :
how how
many many
points point
of of
light light
can can
I i
get get
in in
a a
given give
volume volume
? ?
That that
' '
s s
the the
same same
as as
I i
get get
on on
this this
HoloLens hololens
as as
I i
will will
on on
that that
one one
. .
Now now
, ,
this this
camera camera
sees see
a a
much much
wider wide
view view
of of
the the
world world
, ,
right right
? ?
HW hw
: :
Jesus jesus
Christ christ
! !
AK ak
: :
He he
did do
show show
up up
! !
I i
told tell
you you
he he
' '
d d
show show
up up
. .
Come come
this this
way way
. .
HW hw
: :
Oh oh
, ,
shit shit
. .
AK ak
: :
And and
there there
' '
s s
holographic holographic
Jeff jeff
Norris norris
. .
HW hw
: :
I i
knew know
something something
was be
happening happen
, ,
but but
I i
really really
wasn wasn
' '
t t
sure sure
what what
. .
AK ak
: :
So so
in in
short short
: :
to to
be be
super super
crisp crisp
, ,
the the
camera camera
that that
you you
see see
on on
the the
screen screen
has have
a a
wider wide
field field
of of
view view
than than
the the
human human
eye eye
. .
But but
the the
angular angular
resolution resolution
of of
the the
holograms hologram
that that
you you
see see
, ,
the the
points point
of of
light light
per per
unit unit
of of
area area
, ,
are be
actually actually
the the
same same
. .
HW hw
: :
So so
you you
spent spend
â â
Jeff jeff
, ,
I i
' '
ll ll
get get
to to
you you
in in
a a
minute minute
â â
so so
you you
spent spend
a a
lot lot
of of
time time
mapping map
the the
stage stage
â â
AK ak
: :
That that
' '
s s
right right
. .
HW hw
: :
So so
help help
me me
out out
here here
: :
if if
I i
buy buy
a a
HoloLens hololens
and and
have have
it it
at at
home home
, ,
I i
don don
' '
t t
need need
to to
map map
my my
apartment apartment
, ,
right right
? ?
AK ak
: :
The the
HoloLens hololens
maps map
in in
real real
time time
at at
about about
five five
frames frame
per per
second second
, ,
with with
this this
technology technology
that that
we we
call call
spatial spatial
mapping mapping
. .
So so
in in
your your
home home
, ,
as as
soon soon
as as
you you
put put
it it
on on
, ,
holograms hologram
will will
start start
showing show
up up
, ,
and and
you you
' '
ll ll
start start
placing place
them them
and and
they they
' '
ll ll
start start
learning learn
your your
home home
. .
In in
a a
stage stage
environment environment
where where
we we
' '
re re
trying try
to to
get get
something something
on on
my my
head head
to to
communicate communicate
with with
something something
over over
there there
with with
all all
of of
the the
wireless wireless
connectivity connectivity
that that
usually usually
brings bring
all all
conferences conference
down down
, ,
we we
don don
' '
t t
take take
the the
risk risk
of of
trying try
to to
do do
this this
live live
. .
So so
what what
we we
do do
is be
pre-map pre-map
the the
stage stage
at at
five five
frames frame
per per
second second
with with
the the
same same
spatial-mapping spatial-mapping
technology technology
that that
you you
' '
ll ll
use use
with with
the the
product product
at at
home home
, ,
and and
then then
we we
store store
it it
, ,
so so
that that
when when
there there
' '
s s
shenanigans shenanigan
of of
wireless wireless
in in
an an
environment environment
like like
this this
, ,
between between
the the
camera camera
' '
s s
HoloLens hololens
and and
the the
one one
on on
my my
head head
, ,
we we
don don
' '
t t
have have
things thing
disappear disappear
. .
Because because
ultimately ultimately
, ,
the the
holograms hologram
are be
coming come
from from
this this
HoloLens hololens
, ,
and and
that that
one one
is be
just just
viewing view
the the
HoloLens hololens
. .
So so
if if
I i
lose lose
connectivity connectivity
, ,
you you
would would
stop stop
seeing see
beautiful beautiful
things thing
on on
the the
screen screen
. .
HW hw
: :
And and
it it
was be
beautiful beautiful
. .
Um um
. .
. .
. .
Jeff jeff
? ?
JN jn
: :
Yes yes
? ?
HW hw
: :
Hi hi
. .
AK ak
: :
I i
' '
ll ll
take take
a a
step step
back back
. .
HW hw
: :
So so
Jeff jeff
, ,
you you
were be
on on
Mars mars
, ,
you you
were be
here here
, ,
you you
were be
in in
a a
room room
across across
the the
street street
. .
Tell tell
me me
more more
about about
the the
fact fact
that that
, ,
with with
holograms hologram
, ,
you you
have have
sight sight
but but
you you
don don
' '
t t
have have
touch touch
, ,
you you
don don
' '
t t
have have
smell smell
. .
Is be
this this
scientifically scientifically
useful useful
now now
? ?
That that
' '
s s
my my
question question
for for
a a
hologram hologram
. .
JN jn
: :
Thanks thanks
for for
the the
question question
. .
Absolutely absolutely
, ,
I i
believe believe
that that
these these
technologies technology
are be
scientifically scientifically
useful useful
right right
now now
, ,
and and
that that
' '
s s
why why
we we
' '
re re
using use
them them
in in
multiple multiple
parts part
of of
our our
work work
at at
NASA nasa
. .
So so
we we
' '
re re
using use
it it
to to
improve improve
the the
ways way
that that
we we
explore explore
Mars mars
. .
We we
' '
re re
also also
using use
it it
for for
our our
astronauts astronaut
on on
the the
space space
station station
. .
We we
' '
re re
even even
using use
it it
now now
to to
design design
the the
next next
generation generation
of of
our our
spacecraft spacecraft
. .
HW hw
: :
Amazing amazing
. .
OK ok
, ,
Jeff jeff
, ,
please please
go go
away away
. .
Thank thank
you you
very very
much much
. .
Alex alex
, ,
really really
, ,
that that
was be
amazing amazing
. .
Thank thank
you you
so so
much much
. .
AK ak
: :
Thank thank
you you
. .
HW hw
: :
Thank thank
you you
. .
Thank thank
you you
. .
