Welcome welcome
itself itself
beautifully beautifully
. .
So so
, ,
you you
can can
put put
those those
properties property
in in
. .
It it
inspired inspire
them them
to to
show show
off off
this this
design design
by by
producing produce
a a
little little
robot robot
they they
named name
Sprawl sprawl
. .
Our our
work work
has have
also also
inspired inspire
another another
robot robot
, ,
a a
biologically biologically
inspired inspire
bouncing bouncing
robot robot
, ,
from from
the the
University university
of of
Michigan michigan
and and
McGill mcgill
named name
RHex rhex
, ,
for for
robot robot
hexapod hexapod
, ,
and and
this this
one one
' '
s s
autonomous autonomous
. .
Let let
' '
s s
go go
to to
the the
video video
, ,
and and
let let
me me
show show
you you
some some
of of
these these
animals animal
moving move
and and
then then
some some
of of
the the
simple simple
robots robot
that that
have have
been be
inspired inspire
by by
our our
discoveries discovery
. .
Here here
' '
s s
what what
some some
of of
you you
did do
this this
morning morning
, ,
although although
you you
did do
it it
outside outside
, ,
not not
on on
a a
treadmill treadmill
. .
Here here
' '
s s
what what
we we
do do
. .
This this
is be
a a
death death
' '
s s
head head
cockroach cockroach
. .
This this
is be
an an
American american
cockroach cockroach
you you
think think
you you
don don
' '
t t
have have
in in
your your
kitchen kitchen
. .
This this
is be
an an
eight-legged eight-legged
scorpion scorpion
, ,
six-legged six-legged
ant ant
, ,
forty-four-legged forty-four-legged
centipede centipede
. .
Now now
, ,
I i
said say
all all
these these
animals animal
are be
sort sort
of of
working work
like like
pogo pogo
sticks stick
— -
they they
' '
re re
bouncing bounce
along along
as as
they they
move move
. .
And and
you you
can can
see see
that that
in in
this this
ghost ghost
crab crab
, ,
from from
the the
beaches beach
of of
Panama panama
and and
North north
Carolina carolina
. .
It it
goes go
up up
to to
four four
meters meter
per per
second second
when when
it it
runs run
. .
It it
actually actually
leaps leap
into into
the the
air air
, ,
and and
has have
aerial aerial
phases phase
when when
it it
does do
it it
, ,
like like
a a
horse horse
, ,
and and
you you
' '
ll ll
see see
it it
' '
s s
bouncing bounce
here here
. .
What what
we we
discovered discover
is be
whether whether
you you
look look
at at
the the
leg leg
of of
a a
human human
like like
Richard richard
, ,
or or
a a
cockroach cockroach
, ,
or or
a a
crab crab
, ,
or or
a a
kangaroo kangaroo
, ,
the the
relative relative
leg leg
stiffness stiffness
of of
that that
spring spring
is be
the the
same same
for for
everything everything
we we
' '
ve ve
seen see
so so
far far
. .
Now now
, ,
what what
good good
are be
springy springy
legs leg
then then
? ?
What what
can can
they they
do do
? ?
Well well
, ,
we we
wanted want
to to
see see
if if
they they
allowed allow
the the
animals animal
to to
have have
greater great
stability stability
and and
maneuverability maneuverability
. .
So so
, ,
we we
built build
a a
terrain terrain
that that
had have
obstacles obstacle
three three
times time
the the
hip hip
height height
of of
the the
animals animal
that that
we we
' '
re re
looking look
at at
. .
And and
we we
were be
certain certain
they they
couldn couldn
' '
t t
do do
this this
. .
And and
here here
' '
s s
what what
they they
did do
. .
The the
animal animal
ran run
over over
it it
and and
it it
didn didn
' '
t t
even even
slow slow
down down
! !
It it
didn didn
' '
t t
decrease decrease
its its
preferred preferred
speed speed
at at
all all
. .
We we
couldn couldn
' '
t t
believe believe
that that
it it
could could
do do
this this
. .
It it
said say
to to
us us
that that
if if
you you
could could
build build
a a
robot robot
with with
very very
simple simple
, ,
springy springy
legs leg
, ,
you you
could could
make make
it it
as as
maneuverable maneuverable
as as
any any
that that
' '
s s
ever ever
been be
built build
. .
Here here
' '
s s
the the
first first
example example
of of
that that
. .
This this
is be
the the
Stanford stanford
Shape shape
Deposition deposition
Manufactured manufacture
robot robot
, ,
named name
Sprawl sprawl
. .
It it
has have
six six
legs leg
— -
there there
are be
the the
tuned tune
, ,
springy springy
legs leg
. .
It it
moves move
in in
a a
gait gait
that that
an an
insect insect
uses use
, ,
and and
here here
it it
is be
going go
on on
the the
treadmill treadmill
. .
Now now
, ,
what what
' '
s s
important important
about about
this this
robot robot
, ,
compared compare
to to
other other
robots robot
, ,
is be
that that
it it
can can
' '
t t
see see
anything anything
, ,
it it
can can
' '
t t
feel feel
anything anything
, ,
it it
doesn doesn
' '
t t
have have
a a
brain brain
, ,
yet yet
it it
can can
maneuver maneuver
over over
these these
obstacles obstacle
without without
any any
difficulty difficulty
whatsoever whatsoever
. .
It it
' '
s s
this this
technique technique
of of
building build
the the
properties property
into into
the the
form form
. .
This this
is be
a a
graduate graduate
student student
. .
This this
is be
what what
he he
' '
s s
doing do
to to
his his
thesis thesis
project project
— -
very very
robust robust
, ,
if if
a a
graduate graduate
student student
does do
that that
to to
his his
thesis thesis
project project
. .
This this
is be
from from
McGill mcgill
and and
University university
of of
Michigan michigan
. .
This this
is be
the the
RHex rhex
, ,
making make
its its
first first
outing outing
in in
a a
demo demo
. .
Same same
principle principle
: :
it it
only only
has have
six six
moving moving
parts part
, ,
six six
motors motor
, ,
but but
it it
has have
springy springy
, ,
tuned tune
legs leg
. .
It it
moves move
in in
the the
gait gait
of of
the the
insect insect
. .
It it
has have
the the
middle middle
leg leg
moving move
in in
synchrony synchrony
with with
the the
front front
, ,
and and
the the
hind hind
leg leg
on on
the the
other other
side side
. .
Sort sort
of of
an an
alternating alternate
tripod tripod
, ,
and and
they they
can can
negotiate negotiate
obstacles obstacle
just just
like like
the the
animal animal
. .
Robert robert
Full full
: :
It it
' '
ll ll
go go
on on
different different
surfaces surface
— -
here here
' '
s s
sand sand
— -
although although
we we
haven haven
' '
t t
perfected perfect
the the
feet foot
yet yet
, ,
but but
I i
' '
ll ll
talk talk
about about
that that
later later
. .
Here here
' '
s s
RHex rhex
entering enter
the the
woods wood
. .
Again again
, ,
this this
robot robot
can can
' '
t t
see see
anything anything
, ,
it it
can can
' '
t t
feel feel
anything anything
, ,
it it
has have
no no
brain brain
. .
It it
' '
s s
just just
working work
with with
a a
tuned tune
mechanical mechanical
system system
, ,
with with
very very
simple simple
parts part
, ,
but but
inspired inspire
from from
the the
fundamental fundamental
dynamics dynamics
of of
the the
animal animal
. .
RF rf
: :
Here here
' '
s s
it it
going go
down down
a a
pathway pathway
. .
I i
presented present
this this
to to
the the
jet jet
propulsion propulsion
lab lab
at at
NASA nasa
, ,
and and
they they
said say
that that
they they
had have
no no
ability ability
to to
go go
down down
craters crater
to to
look look
for for
ice ice
, ,
and and
life life
, ,
ultimately ultimately
, ,
on on
Mars mars
. .
And and
he he
said say
— -
especially especially
with with
legged-robots legged-robot
, ,
because because
they they
' '
re re
way way
too too
complicated complicate
. .
Nothing nothing
can can
do do
that that
. .
And and
I i
talk talk
next next
. .
I i
showed show
them them
this this
video video
with with
the the
simple simple
design design
of of
RHex rhex
here here
. .
And and
just just
to to
convince convince
them them
we we
should should
go go
to to
Mars mars
in in
2011 @card@
, ,
I i
tinted tint
the the
video video
orange orange
just just
to to
give give
them them
the the
sense sense
of of
being be
on on
Mars mars
. .
Another another
reason reason
why why
animals animal
have have
extraordinary extraordinary
performance performance
, ,
and and
can can
go go
anywhere anywhere
, ,
is be
because because
they they
have have
an an
effective effective
interaction interaction
with with
the the
environment environment
. .
The the
animal animal
I i
' '
m m
going go
to to
show show
you you
, ,
that that
we we
studied study
to to
look look
at at
this this
, ,
is be
the the
gecko gecko
. .
We we
have have
one one
here here
and and
notice notice
its its
position position
. .
It it
' '
s s
holding hold
on on
. .
Now now
I i
' '
m m
going go
to to
challenge challenge
you you
. .
I i
' '
m m
going go
show show
you you
a a
video video
. .
One one
of of
the the
animals animal
is be
going go
to to
be be
running run
on on
the the
level level
, ,
and and
the the
other other
one one
' '
s s
going go
to to
be be
running run
up up
a a
wall wall
. .
Which which
one one
' '
s s
which which
? ?
They they
' '
re re
going go
at at
a a
meter meter
a a
second second
. .
How how
many many
think think
the the
one one
on on
the the
left left
is be
running run
up up
the the
wall wall
? ?
Okay okay
. .
The the
point point
is be
it it
' '
s s
really really
hard hard
to to
tell tell
, ,
isn isn
' '
t t
it it
? ?
It it
' '
s s
incredible incredible
, ,
we we
looked look
at at
students student
do do
this this
and and
they they
couldn couldn
' '
t t
tell tell
. .
They they
can can
run run
up up
a a
wall wall
at at
a a
meter meter
a a
second second
, ,
15 @card@
steps step
per per
second second
, ,
and and
they they
look look
like like
they they
' '
re re
running run
on on
the the
level level
. .
How how
do do
they they
do do
this this
? ?
It it
' '
s s
just just
phenomenal phenomenal
. .
The the
one one
on on
the the
right right
was be
going go
up up
the the
hill hill
. .
How how
do do
they they
do do
this this
? ?
They they
have have
bizarre bizarre
toes toe
. .
They they
have have
toes toe
that that
uncurl uncurl
like like
party party
favors favor
when when
you you
blow blow
them them
out out
, ,
and and
then then
peel peel
off off
the the
surface surface
, ,
like like
tape tape
. .
Like like
if if
we we
had have
a a
piece piece
of of
tape tape
now now
, ,
we we
' '
d d
peel peel
it it
this this
way way
. .
They they
do do
this this
with with
their their
toes toe
. .
It it
' '
s s
bizarre bizarre
! !
This this
peeling peeling
inspired inspire
iRobot irobot
— -
that that
we we
work work
with with
— -
to to
build build
Mecho-Geckos mecho-geckos
. .
Here here
' '
s s
a a
legged legged
version version
and and
a a
tractor tractor
version version
, ,
or or
a a
bulldozer bulldozer
version version
. .
Let let
' '
s s
see see
some some
of of
the the
geckos gecko
move move
with with
some some
video video
, ,
and and
then then
I i
' '
ll ll
show show
you you
a a
little little
bit bit
of of
a a
clip clip
of of
the the
robots robot
. .
Here here
' '
s s
the the
gecko gecko
running run
up up
a a
vertical vertical
surface surface
. .
There there
it it
goes go
, ,
in in
real real
time time
. .
There there
it it
goes go
again again
. .
Obviously obviously
, ,
we we
have have
to to
slow slow
this this
down down
a a
little little
bit bit
. .
You you
can can
' '
t t
use use
regular regular
cameras camera
. .
You you
have have
to to
take take
1 @card@
, ,
000 @card@
pictures picture
per per
second second
to to
see see
this this
. .
And and
here here
' '
s s
some some
video video
at at
1 @card@
, ,
000 @card@
frames frame
per per
second second
. .
Now now
, ,
I i
want want
you you
to to
look look
at at
the the
animal animal
' '
s s
back back
. .
Do do
you you
see see
how how
much much
it it
' '
s s
bending bend
like like
that that
? ?
We we
can can
' '
t t
figure figure
that that
out out
— -
that that
' '
s s
an an
unsolved unsolved
mystery mystery
. .
We we
don don
' '
t t
know know
how how
it it
works work
. .
If if
you you
have have
a a
son son
or or
a a
daughter daughter
that that
wants want
to to
come come
to to
Berkeley berkeley
, ,
come come
to to
my my
lab lab
and and
we we
' '
ll ll
figure figure
this this
out out
. .
Okay okay
, ,
send send
them them
to to
Berkeley berkeley
because because
that that
' '
s s
the the
next next
thing thing
I i
want want
to to
do do
. .
Here here
' '
s s
the the
gecko gecko
mill mill
. .
It it
' '
s s
a a
see-through see-through
treadmill treadmill
with with
a a
see-through see-through
treadmill treadmill
belt belt
, ,
so so
we we
can can
watch watch
the the
animal animal
' '
s s
feet foot
, ,
and and
videotape videotape
them them
through through
the the
treadmill treadmill
belt belt
, ,
to to
see see
how how
they they
move move
. .
Here here
' '
s s
the the
animal animal
that that
we we
have have
here here
, ,
running run
on on
a a
vertical vertical
surface surface
. .
Pick pick
a a
foot foot
and and
try try
to to
watch watch
a a
toe toe
, ,
and and
see see
if if
you you
can can
see see
what what
the the
animal animal
' '
s s
doing do
. .
See see
it it
uncurl uncurl
and and
then then
peel peel
these these
toes toe
. .
It it
can can
do do
this this
in in
14 @card@
milliseconds millisecond
. .
It it
' '
s s
unbelievable unbelievable
. .
Here here
are be
the the
robots robot
that that
they they
inspire inspire
, ,
the the
Mecho-Geckos mecho-geckos
from from
iRobot irobot
. .
First first
we we
' '
ll ll
see see
the the
animals animal
toes toe
peeling peeling
— -
look look
at at
that that
. .
And and
here here
' '
s s
the the
peeling peel
action action
of of
the the
Mecho-Gecko mecho-gecko
. .
It it
uses use
a a
pressure- pressure-
sensitive sensitive
adhesive adhesive
to to
do do
it it
. .
Peeling peel
in in
the the
animal animal
. .
Peeling peel
in in
the the
Mecho-Gecko mecho-gecko
— -
that that
allows allow
them them
climb climb
autonomously autonomously
. .
Can can
go go
on on
the the
flat flat
surface surface
, ,
transition transition
to to
a a
wall wall
, ,
and and
then then
go go
onto onto
a a
ceiling ceiling
. .
There there
' '
s s
the the
bulldozer bulldozer
version version
. .
Now now
, ,
it it
doesn doesn
' '
t t
use use
pressure-sensitive pressure-sensitive
glue glue
. .
The the
animal animal
does do
not not
use use
that that
. .
But but
that that
' '
s s
what what
we we
' '
re re
limited limited
to to
, ,
at at
the the
moment moment
. .
What what
does do
the the
animal animal
do do
? ?
The the
animal animal
has have
weird weird
toes toe
. .
And and
if if
you you
look look
at at
the the
toes toe
, ,
they they
have have
these these
little little
leaves leaf
there there
, ,
and and
if if
you you
blow blow
them them
up up
and and
zoom zoom
in in
, ,
you you
' '
ll ll
see see
that that
' '
s s
there there
' '
s s
little little
striations striation
in in
these these
leaves leaf
. .
And and
if if
you you
zoom zoom
in in
270 @card@
times time
, ,
you you
' '
ll ll
see see
it it
looks look
like like
a a
rug rug
. .
And and
if if
you you
blow blow
that that
up up
, ,
and and
zoom zoom
in in
900 @card@
times time
, ,
you you
see see
there there
are be
hairs hair
there there
, ,
tiny tiny
hairs hair
. .
And and
if if
you you
look look
carefully carefully
, ,
those those
tiny tiny
hairs hair
have have
striations striation
. .
And and
if if
you you
zoom zoom
in in
on on
those those
30 @card@
, ,
000 @card@
times time
, ,
you you
' '
ll ll
see see
each each
hair hair
has have
split split
ends end
. .
And and
if if
you you
blow blow
those those
up up
, ,
they they
have have
these these
little little
structures structure
on on
the the
end end
. .
The the
smallest small
branch branch
of of
the the
hairs hair
looks look
like like
spatulae spatulae
, ,
and and
an an
animal animal
like like
that that
has have
one one
billion billion
of of
these these
nano-size nano-size
split split
ends end
, ,
to to
get get
very very
close close
to to
the the
surface surface
. .
In in
fact fact
, ,
there there
' '
s s
the the
diameter diameter
of of
your your
hair hair
— -
a a
gecko gecko
has have
two two
million million
of of
these these
, ,
and and
each each
hair hair
has have
100 @card@
to to
1 @card@
, ,
000 @card@
split split
ends end
. .
Think think
of of
the the
contact contact
of of
that that
that that
' '
s s
possible possible
. .
We we
were be
fortunate fortunate
to to
work work
with with
another another
group group
at at
Stanford stanford
that that
built build
us us
a a
special special
manned manned
sensor sensor
, ,
that that
we we
were be
able able
to to
measure measure
the the
force force
of of
an an
individual individual
hair hair
. .
Here here
' '
s s
an an
individual individual
hair hair
with with
a a
little little
split split
end end
there there
. .
When when
we we
measured measure
the the
forces force
, ,
they they
were be
enormous enormous
. .
They they
were be
so so
large large
that that
a a
patch patch
of of
hairs hair
about about
this this
size size
— -
the the
gecko gecko
' '
s s
foot foot
could could
support support
the the
weight weight
of of
a a
small small
child child
, ,
about about
40 @card@
pounds pound
, ,
easily easily
. .
Now now
, ,
how how
do do
they they
do do
it it
? ?
We we
' '
ve ve
recently recently
discovered discover
this this
. .
Do do
they they
do do
it it
by by
friction friction
? ?
No no
, ,
force force
is be
too too
low low
. .
Do do
they they
do do
it it
by by
electrostatics electrostatics
? ?
No no
, ,
you you
can can
change change
the the
charge charge
— -
they they
still still
hold hold
on on
. .
Do do
they they
do do
it it
by by
interlocking interlock
? ?
That that
' '
s s
kind kind
of of
a a
like like
a a
Velcro-like velcro-like
thing thing
. .
No no
, ,
you you
can can
put put
them them
on on
molecular molecular
smooth smooth
surfaces surface
— -
they they
don don
' '
t t
do do
it it
. .
How how
about about
suction suction
? ?
They they
stick stick
on on
in in
a a
vacuum vacuum
. .
How how
about about
wet wet
adhesion adhesion
? ?
Or or
capillary capillary
adhesion adhesion
? ?
They they
don don
' '
t t
have have
any any
glue glue
, ,
and and
they they
even even
stick stick
under under
water water
just just
fine fine
. .
If if
you you
put put
their their
foot foot
under under
water water
, ,
they they
grab grab
on on
. .
How how
do do
they they
do do
it it
then then
? ?
Believe believe
it it
or or
not not
, ,
they they
grab grab
on on
by by
intermolecular intermolecular
forces force
, ,
by by
Van van
der der
Waals waals
forces force
. .
You you
know know
, ,
you you
probably probably
had have
this this
a a
long long
time time
ago ago
in in
chemistry chemistry
, ,
where where
you you
had have
these these
two two
atoms atom
, ,
they they
' '
re re
close close
together together
, ,
and and
the the
electrons electron
are be
moving move
around around
. .
That that
tiny tiny
force force
is be
sufficient sufficient
to to
allow allow
them them
to to
do do
that that
because because
it it
' '
s s
added add
up up
so so
many many
times time
with with
these these
small small
structures structure
. .
What what
we we
' '
re re
doing do
is be
, ,
we we
' '
re re
taking take
that that
inspiration inspiration
of of
the the
hairs hair
, ,
and and
with with
another another
colleague colleague
at at
Berkeley berkeley
, ,
we we
' '
re re
manufacturing manufacturing
them them
. .
And and
just just
recently recently
we we
' '
ve ve
made make
a a
breakthrough breakthrough
, ,
where where
we we
now now
believe believe
we we
' '
re re
going go
to to
be be
able able
to to
create create
the the
first first
synthetic synthetic
, ,
self-cleaning self-cleaning
, ,
dry dry
adhesive adhesive
. .
Many many
companies company
are be
interested interested
in in
this this
. .
We we
also also
presented present
to to
Nike nike
even even
. .
We we
' '
ll ll
see see
where where
this this
goes go
. .
We we
were be
so so
excited excite
about about
this this
that that
we we
realized realize
that that
that that
small-size small-size
scale scale
— -
and and
where where
everything everything
gets get
sticky sticky
, ,
and and
gravity gravity
doesn doesn
' '
t t
matter matter
anymore anymore
— -
we we
needed need
to to
look look
