Imagine imagine
horizons horizon
. .
Eventually eventually
, ,
grandpa grandpa
and and
I i
rescued rescue
the the
poor poor
dog dog
, ,
but but
it it
was be
at at
that that
moment moment
that that
I i
realized realize
that that
that that
palette palette
of of
roots root
and and
soil soil
was be
really really
the the
foundation foundation
of of
the the
forest forest
. .
And and
I i
wanted want
to to
know know
more more
. .
So so
I i
studied study
forestry forestry
. .
But but
soon soon
I i
found find
myself myself
working work
alongside alongside
the the
powerful powerful
people people
in in
charge charge
of of
the the
commercial commercial
harvest harvest
. .
The the
extent extent
of of
the the
clear-cutting clear-cutting
was be
alarming alarming
, ,
and and
I i
soon soon
found find
myself myself
conflicted conflict
by by
my my
part part
in in
it it
. .
Not not
only only
that that
, ,
the the
spraying spray
and and
hacking hack
of of
the the
aspens aspen
and and
birches birch
to to
make make
way way
for for
the the
more more
commercially commercially
valuable valuable
planted plant
pines pine
and and
firs fir
was be
astounding astound
. .
It it
seemed seem
that that
nothing nothing
could could
stop stop
this this
relentless relentless
industrial industrial
machine machine
. .
So so
I i
went go
back back
to to
school school
, ,
and and
I i
studied study
my my
other other
world world
. .
You you
see see
, ,
scientists scientist
had have
just just
discovered discover
in in
the the
laboratory laboratory
in in
vitro vitro
that that
one one
pine pine
seedling seedling
root root
could could
transmit transmit
carbon carbon
to to
another another
pine pine
seedling seedling
root root
. .
But but
this this
was be
in in
the the
laboratory laboratory
, ,
and and
I i
wondered wonder
, ,
could could
this this
happen happen
in in
real real
forests forest
? ?
I i
thought think
yes yes
. .
Trees tree
in in
real real
forests forest
might might
also also
share share
information information
below below
ground ground
. .
But but
this this
was be
really really
controversial controversial
, ,
and and
some some
people people
thought think
I i
was be
crazy crazy
, ,
and and
I i
had have
a a
really really
hard hard
time time
getting get
research research
funding funding
. .
But but
I i
persevered persevere
, ,
and and
I i
eventually eventually
conducted conduct
some some
experiments experiment
deep deep
in in
the the
forest forest
, ,
25 @card@
years year
ago ago
. .
I i
grew grow
80 @card@
replicates replicate
of of
three three
species specie
: :
paper paper
birch birch
, ,
Douglas douglas
fir fir
, ,
and and
western western
red red
cedar cedar
. .
I i
figured figure
the the
birch birch
and and
the the
fir fir
would would
be be
connected connect
in in
a a
belowground belowground
web web
, ,
but but
not not
the the
cedar cedar
. .
It it
was be
in in
its its
own own
other other
world world
. .
And and
I i
gathered gather
my my
apparatus apparatus
, ,
and and
I i
had have
no no
money money
, ,
so so
I i
had have
to to
do do
it it
on on
the the
cheap cheap
. .
So so
I i
went go
to to
Canadian canadian
Tire tire
— -
and and
I i
bought buy
some some
plastic plastic
bags bag
and and
duct duct
tape tape
and and
shade shade
cloth cloth
, ,
a a
timer timer
, ,
a a
paper paper
suit suit
, ,
a a
respirator respirator
. .
And and
then then
I i
borrowed borrow
some some
high-tech high-tech
stuff stuff
from from
my my
university university
: :
a a
Geiger geiger
counter counter
, ,
a a
scintillation scintillation
counter counter
, ,
a a
mass mass
spectrometer spectrometer
, ,
microscopes microscope
. .
And and
then then
I i
got get
some some
really really
dangerous dangerous
stuff stuff
: :
syringes syringe
full full
of of
radioactive radioactive
carbon-14 carbon-14
carbon carbon
dioxide dioxide
gas gas
and and
some some
high high
pressure pressure
bottles bottle
of of
the the
stable stable
isotope isotope
carbon-13 carbon-13
carbon carbon
dioxide dioxide
gas gas
. .
But but
I i
was be
legally legally
permitted permit
. .
Oh oh
, ,
and and
I i
forgot forget
some some
stuff stuff
, ,
important important
stuff stuff
: :
the the
bug bug
spray spray
, ,
the the
bear bear
spray spray
, ,
the the
filters filter
for for
my my
respirator respirator
. .
Oh oh
well well
. .
The the
first first
day day
of of
the the
experiment experiment
, ,
we we
got get
out out
to to
our our
plot plot
and and
a a
grizzly grizzly
bear bear
and and
her her
cub cub
chased chase
us us
off off
. .
And and
I i
had have
no no
bear bear
spray spray
. .
But but
you you
know know
, ,
this this
is be
how how
forest forest
research research
in in
Canada canada
goes go
. .
So so
I i
came come
back back
the the
next next
day day
, ,
and and
mama mama
grizzly grizzly
and and
her her
cub cub
were be
gone go
. .
So so
this this
time time
, ,
we we
really really
got get
started start
, ,
and and
I i
pulled pull
on on
my my
white white
paper paper
suit suit
, ,
I i
put put
on on
my my
respirator respirator
, ,
and and
then then
I i
put put
the the
plastic plastic
bags bag
over over
my my
trees tree
. .
I i
got get
my my
giant giant
syringes syringe
, ,
and and
I i
injected inject
the the
bags bag
with with
my my
tracer tracer
isotope isotope
carbon carbon
dioxide dioxide
gases gas
, ,
first first
the the
birch birch
. .
I i
injected inject
carbon-14 carbon-14
, ,
the the
radioactive radioactive
gas gas
, ,
into into
the the
bag bag
of of
birch birch
. .
And and
then then
for for
fir fir
, ,
I i
injected inject
the the
stable stable
isotope isotope
carbon-13 carbon-13
carbon carbon
dioxide dioxide
gas gas
. .
I i
used use
two two
isotopes isotope
, ,
because because
I i
was be
wondering wonder
whether whether
there there
was be
two-way two-way
communication communication
going go
on on
between between
these these
species species
. .
I i
got get
to to
the the
final final
bag bag
, ,
the the
80th 80th
replicate replicate
, ,
and and
all all
of of
a a
sudden sudden
mama mama
grizzly grizzly
showed show
up up
again again
. .
And and
she she
started start
to to
chase chase
me me
, ,
and and
I i
had have
my my
syringes syringe
above above
my my
head head
, ,
and and
I i
was be
swatting swat
the the
mosquitos mosquito
, ,
and and
I i
jumped jump
into into
the the
truck truck
, ,
and and
I i
thought think
, ,
" "
This this
is be
why why
people people
do do
lab lab
studies study
. .
" "
I i
waited wait
an an
hour hour
. .
I i
figured figure
it it
would would
take take
this this
long long
for for
the the
trees tree
to to
suck suck
up up
the the
CO2 co2
through through
photosynthesis photosynthesis
, ,
turn turn
it it
into into
sugars sugar
, ,
send send
it it
down down
into into
their their
roots root
, ,
and and
maybe maybe
, ,
I i
hypothesized hypothesize
, ,
shuttle shuttle
that that
carbon carbon
belowground belowground
to to
their their
neighbors neighbor
. .
After after
the the
hour hour
was be
up up
, ,
I i
rolled roll
down down
my my
window window
, ,
and and
I i
checked check
for for
mama mama
grizzly grizzly
. .
Oh oh
good good
, ,
she she
' '
s s
over over
there there
eating eat
her her
huckleberries huckleberry
. .
So so
I i
got get
out out
of of
the the
truck truck
and and
I i
got get
to to
work work
. .
I i
went go
to to
my my
first first
bag bag
with with
the the
birch birch
. .
I i
pulled pull
the the
bag bag
off off
. .
I i
ran run
my my
Geiger geiger
counter counter
over over
its its
leaves leaf
. .
Kkhh kkhh
! !
Perfect perfect
. .
The the
birch birch
had have
taken take
up up
the the
radioactive radioactive
gas gas
. .
Then then
the the
moment moment
of of
truth truth
. .
I i
went go
over over
to to
the the
fir fir
tree tree
. .
I i
pulled pull
off off
its its
bag bag
. .
I i
ran run
the the
Geiger geiger
counter counter
up up
its its
needles needle
, ,
and and
I i
heard hear
the the
most most
beautiful beautiful
sound sound
. .
Kkhh kkhh
! !
It it
was be
the the
sound sound
of of
birch birch
talking talk
to to
fir fir
, ,
and and
birch birch
was be
saying say
, ,
" "
Hey hey
, ,
can can
I i
help help
you you
? ?
" "
And and
fir fir
was be
saying say
, ,
" "
Yeah yeah
, ,
can can
you you
send send
me me
some some
of of
your your
carbon carbon
? ?
Because because
somebody somebody
threw throw
a a
shade shade
cloth cloth
over over
me me
. .
" "
I i
went go
up up
to to
cedar cedar
, ,
and and
I i
ran run
the the
Geiger geiger
counter counter
over over
its its
leaves leaf
, ,
and and
as as
I i
suspected suspect
, ,
silence silence
. .
Cedar cedar
was be
in in
its its
own own
world world
. .
It it
was be
not not
connected connect
into into
the the
web web
interlinking interlink
birch birch
and and
fir fir
. .
I i
was be
so so
excited excite
, ,
I i
ran run
from from
plot plot
to to
plot plot
and and
I i
checked check
all all
80 @card@
replicates replicate
. .
The the
evidence evidence
was be
clear clear
. .
The the
C-13 c-13
and and
C-14 c-14
was be
showing show
me me
that that
paper paper
birch birch
and and
Douglas douglas
fir fir
were be
in in
a a
lively lively
two-way two-way
conversation conversation
. .
It it
turns turn
out out
at at
that that
time time
of of
the the
year year
, ,
in in
the the
summer summer
, ,
that that
birch birch
was be
sending send
more more
carbon carbon
to to
fir fir
than than
fir fir
was be
sending send
back back
to to
birch birch
, ,
especially especially
when when
the the
fir fir
was be
shaded shade
. .
And and
then then
in in
later late
experiments experiment
, ,
we we
found find
the the
opposite opposite
, ,
that that
fir fir
was be
sending send
more more
carbon carbon
to to
birch birch
than than
birch birch
was be
sending send
to to
fir fir
, ,
and and
this this
was be
because because
the the
fir fir
was be
still still
growing grow
while while
the the
birch birch
was be
leafless leafless
. .
So so
it it
turns turn
out out
the the
two two
species specie
were be
interdependent interdependent
, ,
like like
yin yin
and and
yang yang
. .
And and
at at
that that
moment moment
, ,
everything everything
came come
into into
focus focus
for for
me me
. .
I i
knew know
I i
had have
found find
something something
big big
, ,
something something
that that
would would
change change
the the
way way
we we
look look
at at
how how
trees tree
interact interact
in in
forests forest
, ,
from from
not not
just just
competitors competitor
but but
to to
cooperators cooperator
. .
And and
I i
had have
found find
solid solid
evidence evidence
of of
this this
massive massive
belowground belowground
communications communication
network network
, ,
the the
other other
world world
. .
Now now
, ,
I i
truly truly
hoped hope
and and
believed believe
that that
my my
discovery discovery
would would
change change
how how
we we
practice practice
forestry forestry
, ,
from from
clear-cutting clear-cutting
and and
herbiciding herbiciding
to to
more more
holistic holistic
and and
sustainable sustainable
methods method
, ,
methods method
that that
were be
less less
expensive expensive
and and
more more
practical practical
. .
What what
was be
I i
thinking thinking
? ?
I i
' '
ll ll
come come
back back
to to
that that
. .
So so
how how
do do
we we
do do
science science
in in
complex complex
systems system
like like
forests forest
? ?
Well well
, ,
as as
forest forest
scientists scientist
, ,
we we
have have
to to
do do
our our
research research
in in
the the
forests forest
, ,
and and
that that
' '
s s
really really
tough tough
, ,
as as
I i
' '
ve ve
shown show
you you
. .
And and
we we
have have
to to
be be
really really
good good
at at
running run
from from
bears bear
. .
But but
mostly mostly
, ,
we we
have have
to to
persevere persevere
in in
spite spite
of of
all all
the the
stuff stuff
stacked stack
against against
us us
. .
And and
we we
have have
to to
follow follow
our our
intuition intuition
and and
our our
experiences experience
and and
ask ask
really really
good good
questions question
. .
And and
then then
we we
' '
ve ve
got get
to to
gather gather
our our
data datum
and and
then then
go go
verify verify
. .
For for
me me
, ,
I i
' '
ve ve
conducted conduct
and and
published publish
hundreds hundred
of of
experiments experiment
in in
the the
forest forest
. .
Some some
of of
my my
oldest old
experimental experimental
plantations plantation
are be
now now
over over
30 @card@
years year
old old
. .
You you
can can
check check
them them
out out
. .
That that
' '
s s
how how
forest forest
science science
works work
. .
So so
now now
I i
want want
to to
talk talk
about about
the the
science science
. .
How how
were be
paper paper
birch birch
and and
Douglas douglas
fir fir
communicating communicate
? ?
Well well
, ,
it it
turns turn
out out
they they
were be
conversing converse
not not
only only
in in
the the
language language
of of
carbon carbon
but but
also also
nitrogen nitrogen
and and
phosphorus phosphorus
and and
water water
and and
defense defense
signals signal
and and
allele allele
chemicals chemical
and and
hormones hormone
— -
information information
. .
And and
you you
know know
, ,
I i
have have
to to
tell tell
you you
, ,
before before
me me
, ,
scientists scientist
had have
thought think
that that
this this
belowground belowground
mutualistic mutualistic
symbiosis symbiosis
called call
a a
mycorrhiza mycorrhiza
was be
involved involve
. .
Mycorrhiza mycorrhiza
literally literally
means mean
" "
fungus fungus
root root
. .
" "
You you
see see
their their
reproductive reproductive
organs organ
when when
you you
walk walk
through through
the the
forest forest
. .
They they
' '
re re
the the
mushrooms mushroom
. .
The the
mushrooms mushroom
, ,
though though
, ,
are be
just just
the the
tip tip
of of
the the
iceberg iceberg
, ,
because because
coming come
out out
of of
those those
stems stem
are be
fungal fungal
threads thread
that that
form form
a a
mycelium mycelium
, ,
and and
that that
mycelium mycelium
infects infect
and and
colonizes colonize
the the
roots root
of of
all all
the the
trees tree
and and
plants plant
. .
And and
where where
the the
fungal fungal
cells cell
interact interact
with with
the the
root root
cells cell
, ,
there there
' '
s s
a a
trade trade
of of
carbon carbon
for for
nutrients nutrient
, ,
and and
that that
fungus fungus
gets get
those those
nutrients nutrient
by by
growing grow
through through
the the
soil soil
and and
coating coat
every every
soil soil
particle particle
. .
The the
web web
is be
so so
dense dense
that that
there there
can can
be be
hundreds hundred
of of
kilometers kilometer
of of
mycelium mycelium
under under
a a
single single
footstep footstep
. .
And and
not not
only only
that that
, ,
that that
mycelium mycelium
connects connect
different different
individuals individual
in in
the the
forest forest
, ,
individuals individual
not not
only only
of of
the the
same same
species species
but but
between between
species specie
, ,
like like
birch birch
and and
fir fir
, ,
and and
it it
works work
kind kind
of of
like like
the the
Internet internet
. .
You you
see see
, ,
like like
all all
networks network
, ,
mycorrhizal mycorrhizal
networks network
have have
nodes node
and and
links link
. .
We we
made make
this this
map map
by by
examining examine
the the
short short
sequences sequence
of of
DNA dna
of of
every every
tree tree
and and
every every
fungal fungal
individual individual
in in
a a
patch patch
of of
Douglas douglas
fir fir
forest forest
. .
In in
this this
picture picture
, ,
the the
circles circle
represent represent
the the
Douglas douglas
fir fir
, ,
or or
the the
nodes node
, ,
and and
the the
lines line
represent represent
the the
interlinking interlink
fungal fungal
highways highway
, ,
or or
the the
links link
. .
The the
biggest big
, ,
darkest dark
nodes node
are be
the the
busiest busy
nodes node
. .
We we
call call
those those
hub hub
trees tree
, ,
or or
more more
fondly fondly
, ,
mother mother
trees tree
, ,
because because
it it
turns turn
out out
that that
those those
hub hub
trees tree
nurture nurture
their their
young young
, ,
the the
ones one
growing grow
in in
the the
understory understory
. .
And and
if if
you you
can can
see see
those those
yellow yellow
dots dot
, ,
those those
are be
the the
young young
seedlings seedling
that that
have have
established establish
within within
the the
network network
of of
the the
old old
mother mother
trees tree
. .
In in
a a
single single
forest forest
, ,
a a
mother mother
tree tree
can can
be be
connected connect
to to
hundreds hundred
of of
other other
trees tree
. .
And and
using use
our our
isotope isotope
tracers tracer
, ,
we we
have have
found find
that that
mother mother
trees tree
will will
send send
their their
excess excess
carbon carbon
through through
the the
mycorrhizal mycorrhizal
network network
to to
the the
understory understory
seedlings seedling
, ,
and and
we we
' '
ve ve
associated associate
this this
with with
increased increase
seedling seedling
survival survival
by by
four four
times time
. .
Now now
, ,
we we
know know
we we
all all
favor favor
our our
own own
children child
, ,
and and
I i
wondered wonder
, ,
could could
Douglas douglas
fir fir
recognize recognize
its its
own own
kin kin
, ,
like like
mama mama
grizzly grizzly
and and
her her
cub cub
? ?
So so
we we
set set
about about
an an
experiment experiment
, ,
and and
we we
grew grow
mother mother
trees tree
with with
kin kin
and and
stranger stranger
' '
s s
seedlings seedling
. .
And and
it it
turns turn
out out
they they
do do
recognize recognize
their their
kin kin
. .
Mother mother
trees tree
colonize colonize
their their
kin kin
with with
bigger big
mycorrhizal mycorrhizal
networks network
. .
They they
send send
them them
more more
carbon carbon
below below
ground ground
. .
They they
even even
reduce reduce
their their
own own
root root
competition competition
to to
make make
elbow elbow
room room
for for
their their
kids kid
. .
When when
mother mother
trees tree
are be
injured injure
or or
dying die
, ,
they they
also also
send send
messages message
of of
wisdom wisdom
on on
to to
the the
next next
generation generation
of of
seedlings seedling
. .
So so
we we
' '
ve ve
used use
isotope isotope
tracing trace
to to
trace trace
carbon carbon
moving move
from from
an an
injured injured
mother mother
tree tree
down down
her her
trunk trunk
into into
the the
mycorrhizal mycorrhizal
network network
and and
into into
her her
neighboring neighboring
seedlings seedling
, ,
not not
only only
carbon carbon
but but
also also
defense defense
signals signal
. .
And and
these these
two two
compounds compound
have have
increased increase
the the
resistance resistance
of of
those those
seedlings seedling
to to
future future
stresses stress
. .
So so
trees tree
talk talk
. .
Thank thank
you you
. .
Through through
back back
and and
forth forth
conversations conversation
, ,
they they
increase increase
the the
resilience resilience
of of
the the
whole whole
community community
. .
It it
probably probably
reminds remind
you you
of of
our our
own own
social social
communities community
, ,
and and
our our
families family
, ,
well well
, ,
at at
least least
some some
families family
. .
So so
let let
' '
s s
come come
back back
to to
the the
initial initial
point point
. .
Forests forest
aren aren
' '
t t
simply simply
collections collection
of of
trees tree
, ,
they they
' '
re re
complex complex
systems system
with with
hubs hub
and and
networks network
that that
overlap overlap
and and
connect connect
trees tree
and and
allow allow
them them
to to
communicate communicate
, ,
and and
they they
provide provide
avenues avenue
for for
feedbacks feedback
and and
adaptation adaptation
, ,
and and
this this
makes make
the the
forest forest
resilient resilient
. .
That that
' '
s s
because because
there there
are be
many many
hub hub
trees tree
and and
many many
overlapping overlapping
networks network
. .
But but
they they
' '
re re
also also
vulnerable vulnerable
, ,
vulnerable vulnerable
not not
only only
to to
natural natural
disturbances disturbance
like like
bark bark
beetles beetle
that that
preferentially preferentially
attack attack
big big
old old
trees tree
but but
high-grade high-grade
logging logging
and and
clear-cut clear-cut
logging logging
. .
You you
see see
, ,
you you
can can
take take
out out
one one
or or
two two
hub hub
trees tree
, ,
but but
there there
comes come
a a
tipping tip
point point
, ,
because because
hub hub
trees tree
are be
not not
unlike unlike
rivets rivet
in in
an an
airplane airplane
. .
You you
can can
take take
out out
one one
or or
two two
and and
the the
plane plane
still still
flies fly
, ,
but but
you you
take take
out out
one one
too too
many many
, ,
or or
maybe maybe
that that
one one
holding holding
on on
the the
wings wing
, ,
and and
the the
whole whole
system system
collapses collapse
. .
So so
now now
how how
are be
you you
thinking think
about about
forests forest
? ?
Differently differently
? ?
Yes yes
. .
Cool cool
. .
I i
' '
m m
glad glad
. .
So so
, ,
remember remember
I i
said say
earlier earlier
that that
I i
hoped hope
that that
my my
research research
, ,
my my
discoveries discovery
would would
change change
the the
way way
we we
practice practice
forestry forestry
. .
Well well
, ,
I i
want want
to to
take take
a a
check check
on on
that that
30 @card@
years year
later later
here here
in in
western western
Canada canada
. .
This this
is be
about about
100 @card@
kilometers kilometer
to to
the the
west west
of of
us us
, ,
just just
on on
the the
border border
of of
Banff banff
National national
Park park
. .
That that
' '
s s
a a
lot lot
of of
clear-cuts clear-cuts
. .
It it
' '
s s
not not
so so
pristine pristine
. .
In in
2014 @card@
, ,
the the
World world
Resources resources
Institute institute
reported report
that that
Canada canada
in in
the the
past past
decade decade
has have
had have
the the
highest high
forest forest
disturbance disturbance
rate rate
of of
any any
country country
worldwide worldwide
, ,
and and
I i
bet bet
you you
thought think
it it
was be
Brazil brazil
. .
In in
Canada canada
, ,
it it
' '
s s
3 @card@
. .
6 @card@
percent percent
per per
year year
. .
Now now
, ,
by by
my my
estimation estimation
, ,
that that
' '
s s
about about
four four
times time
the the
rate rate
that that
is be
sustainable sustainable
. .
Now now
, ,
massive massive
disturbance disturbance
at at
this this
scale scale
is be
known know
to to
affect affect
hydrological hydrological
cycles cycle
, ,
degrade degrade
wildlife wildlife
habitat habitat
, ,
and and
emit emit
greenhouse greenhouse
gases gas
back back
into into
the the
atmosphere atmosphere
, ,
which which
creates create
more more
disturbance disturbance
and and
more more
tree tree
diebacks dieback
. .
Not not
only only
that that
, ,
we we
' '
re re
continuing continue
to to
plant plant
one one
or or
two two
species specie
and and
weed weed
out out
the the
aspens aspen
and and
birches birch
. .
These these
simplified simplify
forests forest
lack lack
complexity complexity
, ,
and and
they they
' '
re re
really really
vulnerable vulnerable
to to
infections infection
and and
bugs bug
. .
And and
as as
climate climate
changes change
, ,
this this
is be
creating create
a a
perfect perfect
storm storm
for for
extreme extreme
events event
, ,
like like
the the
massive massive
mountain mountain
pine pine
beetle beetle
outbreak outbreak
that that
just just
swept sweep
across across
North north
America america
, ,
or or
that that
megafire megafire
in in
the the
last last
couple couple
months month
in in
Alberta alberta
. .
So so
I i
want want
to to
come come
back back
to to
my my
final final
question question
: :
instead instead
of of
weakening weaken
our our
forests forest
, ,
how how
can can
we we
reinforce reinforce
them them
and and
help help
them them
deal deal
with with
climate climate
change change
? ?
Well well
, ,
you you
know know
, ,
the the
great great
thing thing
about about
forests forest
as as
complex complex
systems system
is be
they they
have have
enormous enormous
capacity capacity
to to
self-heal self-heal
. .
In in
our our
recent recent
experiments experiment
, ,
we we
found find
with with
patch-cutting patch-cutting
and and
retention retention
of of
hub hub
trees tree
and and
regeneration regeneration
to to
a a
diversity diversity
of of
species specie
and and
genes gene
and and
genotypes genotype
that that
these these
mycorrhizal mycorrhizal
networks network
, ,
they they
recover recover
really really
rapidly rapidly
. .
So so
with with
this this
in in
mind mind
, ,
I i
want want
to to
leave leave
you you
with with
four four
simple simple
solutions solution
. .
And and
we we
can can
' '
t t
kid kid
ourselves ourselves
that that
these these
are be
too too
complicated complicate
to to
act act
on on
. .
First first
, ,
we we
all all
need need
to to
get get
out out
in in
the the
forest forest
. .
We we
need need
to to
reestablish reestablish
local local
involvement involvement
in in
our our
own own
forests forest
. .
You you
see see
, ,
most most
of of
our our
forests forest
now now
are be
managed manage
using use
a a
one-size-fits-all one-size-fits-all
approach approach
, ,
but but
good good
forest forest
stewardship stewardship
requires require
knowledge knowledge
of of
local local
conditions condition
. .
Second second
, ,
we we
need need
to to
save save
our our
old-growth old-growth
forests forest
. .
These these
are be
the the
repositories repository
of of
genes gene
and and
mother mother
trees tree
and and
mycorrhizal mycorrhizal
networks network
. .
So so
this this
means mean
less less
cutting cutting
. .
I i
don don
' '
t t
mean mean
no no
cutting cutting
, ,
but but
less less
cutting cut
. .
And and
third third
, ,
when when
we we
do do
cut cut
, ,
we we
need need
to to
save save
the the
legacies legacy
, ,
the the
mother mother
trees tree
and and
networks network
, ,
and and
the the
wood wood
, ,
the the
genes gene
, ,
so so
they they
can can
pass pass
their their
wisdom wisdom
onto onto
the the
next next
generation generation
of of
trees tree
so so
they they
can can
withstand withstand
the the
future future
stresses stress
coming come
down down
the the
road road
. .
We we
need need
to to
be be
conservationists conservationist
. .
And and
finally finally
, ,
fourthly fourthly
and and
finally finally
, ,
we we
need need
to to
regenerate regenerate
our our
forests forest
with with
a a
diversity diversity
of of
species specie
and and
genotypes genotype
and and
structures structure
by by
planting plant
and and
allowing allow
natural natural
regeneration regeneration
. .
We we
have have
to to
give give
Mother mother
Nature nature
the the
tools tool
she she
needs need
to to
use use
her her
intelligence intelligence
to to
self-heal self-heal
. .
And and
we we
need need
to to
remember remember
that that
forests forest
aren aren
' '
t t
just just
a a
bunch bunch
of of
trees tree
competing compete
with with
each each
other other
, ,
they they
' '
re re
supercooperators supercooperator
. .
So so
back back
to to
Jigs jig
. .
Jigs jig
' '
s s
fall fall
into into
the the
outhouse outhouse
showed show
me me
this this
other other
world world
, ,
and and
it it
changed change
my my
view view
of of
forests forest
. .
I i
hope hope
today today
to to
have have
changed change
how how
you you
think think
about about
forests forest
. .
Thank thank
you you
. .
