Most most
In in
2000 @card@
, ,
if if
you you
had have
said say
that that
high-quality high-quality
cellular cellular
networks network
were be
about about
to to
roll roll
out out
across across
all all
of of
Africa africa
, ,
people people
would would
have have
told tell
you you
that that
you you
were be
crazy crazy
. .
And and
yet yet
, ,
no no
one one
anticipated anticipated
how how
fast fast
those those
networks network
were be
going go
to to
connect connect
and and
empower empower
people people
. .
Today today
, ,
44 @card@
percent percent
of of
the the
GDP gdp
of of
Kenya kenya
flows flow
through through
M-Pesa m-pesa
, ,
their their
mobile mobile
payment payment
platform platform
. .
And and
not not
only only
that that
, ,
but but
our our
autonomous autonomous
fleet fleet
of of
vehicles vehicle
relies rely
on on
that that
cellular cellular
network network
. .
Over over
the the
next next
few few
years year
as as
we we
start start
serving serve
private private
health health
care care
facilities facility
, ,
we we
' '
ll ll
also also
use use
that that
mobile mobile
payment payment
platform platform
to to
collect collect
fees fee
for for
deliveries delivery
. .
So so
innovation innovation
leads lead
to to
more more
innovation innovation
leads lead
to to
more more
innovation innovation
. .
And and
meanwhile meanwhile
, ,
most most
people people
who who
live live
in in
developed developed
economies economy
think think
that that
drone drone
delivery delivery
is be
technologically technologically
impossible impossible
, ,
let let
alone alone
happening happen
at at
national national
scale scale
in in
East east
Africa africa
. .
And and
I i
do do
mean mean
East east
Africa africa
, ,
not not
just just
Rwanda rwanda
. .
On on
Thursday thursday
, ,
just just
a a
couple couple
days day
ago ago
, ,
the the
Tanzanian tanzanian
Ministry ministry
of of
Health health
announced announce
that that
they they
are be
going go
to to
use use
this this
same same
technology technology
to to
provide provide
instant instant
delivery delivery
of of
a a
wide wide
range range
of of
medical medical
products product
to to
10 @card@
million million
of of
the the
hardest hard
to to
reach reach
people people
in in
the the
country country
. .
It it
' '
s s
actually actually
going go
to to
be be
the the
largest large
autonomous autonomous
system system
anywhere anywhere
in in
the the
world world
. .
To to
give give
you you
a a
sense sense
of of
what what
this this
looks look
like like
, ,
this this
is be
one one
of of
the the
first first
distribution distribution
centers center
. .
You you
can can
see see
a a
75-kilometer 75-kilometer
service service
radius radius
around around
the the
distribution distribution
center center
, ,
and and
that that
allows allow
us us
to to
serve serve
hundreds hundred
of of
health health
facilities facility
and and
hospitals hospital
, ,
all all
of of
which which
are be
rural rural
, ,
from from
that that
single single
distribution distribution
center center
. .
But but
to to
serve serve
over over
20 @card@
percent percent
of of
the the
population population
of of
Tanzania tanzania
, ,
we we
' '
re re
going go
to to
need need
multiple multiple
distribution distribution
centers center
. .
We we
' '
ll ll
actually actually
need need
four four
. .
And and
from from
these these
distribution distribution
centers center
, ,
we we
expect expect
to to
be be
doing do
several several
hundred hundred
lifesaving lifesaving
deliveries delivery
every every
day day
, ,
and and
this this
system system
will will
ultimately ultimately
serve serve
over over
1 @card@
, ,
000 @card@
health health
facilities facility
and and
hospitals hospital
in in
the the
country country
. .
So so
yeah yeah
, ,
East east
Africa africa
is be
moving move
really really
fast fast
. .
One one
thing thing
that that
people people
, ,
I i
think think
, ,
often often
miss miss
is be
that that
these these
kinds kind
of of
leaps leap
generate generate
compounding compounding
gains gain
. .
For for
example example
, ,
Rwanda rwanda
, ,
by by
investing invest
in in
this this
infrastructure infrastructure
for for
health health
care care
, ,
now now
has have
an an
aerial aerial
logistics logistic
network network
that that
they they
can can
use use
to to
catalyze catalyze
other other
parts part
of of
their their
economy economy
, ,
like like
agriculture agriculture
or or
e- e-
commerce commerce
. .
Even even
more more
importantly importantly
, ,
100 @card@
percent percent
of of
the the
teams team
we we
hire hire
at at
these these
distribution distribution
centers center
are be
local local
. .
So so
here here
' '
s s
our our
Rwandan rwandan
team team
, ,
which which
is be
a a
group group
of of
extraordinary extraordinary
engineers engineer
and and
operators operator
. .
They they
run run
the the
world world
' '
s s
only only
automated automate
delivery delivery
system system
operating operate
at at
national national
scale scale
. .
They they
have have
been be
able able
to to
master master
something something
that that
the the
largest large
technology technology
companies company
in in
the the
world world
have have
not not
yet yet
been be
able able
to to
figure figure
out out
. .
So so
they they
are be
total total
heroes hero
. .
They they
' '
re re
total total
heroes hero
. .
Our our
team team
' '
s s
mission mission
is be
to to
deliver deliver
basic basic
access access
to to
medicine medicine
to to
all all
seven seven
billion billion
people people
on on
the the
planet planet
, ,
no no
matter matter
how how
hard hard
it it
is be
to to
reach reach
them them
. .
We we
often often
tell tell
people people
about about
that that
mission mission
, ,
and and
they they
say say
, ,
" "
That that
' '
s s
so so
generous generous
of of
you you
, ,
it it
' '
s s
so so
philanthropic philanthropic
. .
" "
No no
! !
Philanthropy philanthropy
has have
nothing nothing
to to
do do
with with
it it
. .
Because because
of of
the the
commercial commercial
contracts contract
that that
we we
sign sign
with with
ministries ministry
of of
health health
, ,
these these
networks network
are be
100 @card@
percent percent
sustainable sustainable
and and
scalable scalable
. .
And and
the the
reason reason
we we
feel feel
so so
strongly strongly
about about
correcting correct
that that
misperception misperception
is be
that that
entrepreneurship entrepreneurship
is be
the the
only only
force force
in in
human human
history history
that that
has have
lifted lift
millions million
of of
people people
out out
of of
poverty poverty
. .
No no
amount amount
of of
foreign foreign
aid aid
is be
going go
to to
sustainably sustainably
employ employ
250 @card@
million million
African african
youth youth
. .
And and
the the
jobs job
that that
these these
kids kid
may may
have have
gotten get
10 @card@
years year
ago ago
are be
largely largely
being be
automated automate
or or
are be
being be
changed change
dramatically dramatically
by by
technology technology
. .
So so
they they
are be
looking look
for for
new new
skill skill
sets set
, ,
new new
competitive competitive
advantages advantage
. .
They they
' '
re re
looking look
for for
start-ups start-up
. .
So so
why why
aren aren
' '
t t
there there
more more
start-ups start-up
that that
are be
tackling tackle
these these
global global
problems problem
that that
are be
faced face
by by
billions billion
of of
people people
in in
developing develop
economies economy
? ?
The the
reason reason
is be
that that
investors investor
and and
entrepreneurs entrepreneur
are be
totally totally
blind blind
to to
the the
opportunity opportunity
. .
We we
think think
these these
problems problem
are be
the the
domain domain
of of
NGOs ngo
or or
governments government
, ,
not not
private private
companies company
. .
That that
' '
s s
what what
we we
have have
to to
change change
. .
You you
may may
have have
noticed notice
I i
left leave
something something
out out
of of
the the
video video
that that
I i
showed show
you you
. .
I i
didn didn
' '
t t
show show
you you
how how
the the
planes plane
land land
when when
they they
get get
back back
to to
the the
distribution distribution
center center
. .
So so
, ,
it it
might might
be be
obvious obvious
to to
you you
: :
none none
of of
our our
planes plane
have have
landing landing
gear gear
. .
We we
also also
don don
' '
t t
have have
runways runway
where where
we we
operate operate
. .
So so
we we
have have
to to
be be
able able
to to
decelerate decelerate
the the
plane plane
from from
about about
100 @card@
kilometers kilometer
an an
hour hour
to to
zero zero
in in
half half
of of
a a
second second
. .
And and
the the
way way
we we
do do
that that
is be
we we
actually actually
use use
a a
wire wire
that that
tracks track
that that
plane plane
as as
it it
comes come
in in
, ,
with with
centimeter-level centimeter-level
accuracy accuracy
. .
We we
snag snag
the the
plane plane
out out
of of
the the
sky sky
, ,
and and
then then
we we
gently gently
plop plop
it it
onto onto
an an
actively actively
inflated inflated
cushion cushion
. .
This this
is be
basically basically
a a
combination combination
of of
an an
aircraft aircraft
carrier carrier
and and
a a
bouncy bouncy
castle castle
. .
So so
let let
me me
show show
you you
. .
And and
it it
might might
be be
obvious obvious
to to
you you
why why
I i
wanted want
to to
end end
with with
this this
video video
. .
I i
wanted want
to to
show show
you you
the the
kids kid
and and
the the
teenagers teenager
who who
line line
up up
on on
the the
fence fence
every every
day day
. .
They they
cheer cheer
every every
launch launch
and and
every every
landing landing
. .
Sometimes sometimes
I i
actually actually
show show
up up
at at
the the
distribution distribution
center center
early early
because because
I i
' '
m m
jet- jet-
lagged lag
. .
I i
' '
ll ll
show show
up up
an an
hour hour
before before
we we
begin begin
operation operation
. .
And and
there there
will will
be be
kids kid
on on
the the
fence fence
getting get
good good
seats seat
. .
And and
you you
go go
up up
and and
you you
ask ask
them them
, ,
" "
What what
do do
you you
think think
about about
the the
planes plane
? ?
" "
And and
they they
' '
ll ll
say say
, ,
" "
Oh oh
, ,
it it
' '
s s
a a
sky sky
ambulance ambulance
. .
" "
So so
they they
get get
it it
. .
I i
mean mean
, ,
they they
get get
it it
more more
than than
most most
adults adult
. .
So so
I i
was be
asking ask
earlier earlier
: :
Who who
is be
going go
to to
be be
creating create
the the
disruptive disruptive
technology technology
companies company
of of
Africa africa
over over
the the
next next
decade decade
? ?
Ultimately ultimately
, ,
it it
' '
s s
going go
to to
be be
up up
to to
these these
kids kid
. .
They they
are be
the the
engineers engineer
of of
Rwanda rwanda
and and
Africa africa
. .
They they
are be
the the
engineers engineer
of of
our our
shared shared
future future
. .
But but
the the
only only
way way
they they
can can
build build
that that
future future
is be
if if
we we
realize realize
that that
world-changing world-changing
companies company
can can
scale scale
in in
Africa africa
, ,
and and
that that
disruptive disruptive
technology technology
can can
start start
here here
first first
. .
Thanks thanks
. .
