Good	JJ	good
And	CC	and
hold	VB	hold
onto	IN	onto
your	PP$	your
seats	NNS	seat
,	,	,
because	IN	because
if	IN	if
we	PP	we
zoom	VBP	zoom
in	IN	in
on	IN	on
those	DT	those
faces	NNS	face
,	,	,
remark	VBP	remark
how	WRB	how
they	PP	they
have	VBP	have
the	DT	the
same	JJ	same
broad	JJ	broad
forehead	NN	forehead
,	,	,
the	DT	the
horizontal	JJ	horizontal
eyebrows	NNS	eyebrow
,	,	,
the	DT	the
long	JJ	long
nose	NN	nose
,	,	,
the	DT	the
curved	VBN	curve
lips	NNS	lip
and	CC	and
the	DT	the
small	JJ	small
,	,	,
well-developed	VBN	well-develop
chin	NN	chin
.	SENT	.
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
believe	VBP	believe
my	PP$	my
eyes	NNS	eye
when	WRB	when
I	PP	I
first	RB	first
saw	VBD	see
that	DT	that
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
reason	NN	reason
why	WRB	why
these	DT	these
portraits	NNS	portrait
should	MD	should
look	VB	look
alike	RB	alike
.	SENT	.
All	RB	all
we	PP	we
did	VBD	do
was	VBD	be
look	NN	look
for	IN	for
portraits	NNS	portrait
that	WDT	that
had	VBD	have
the	DT	the
characteristics	NNS	characteristic
of	IN	of
a	DT	a
self-portrait	NN	self-portrait
,	,	,
and	CC	and
look	VB	look
,	,	,
they	PP	they
are	VBP	be
very	RB	very
similar	JJ	similar
.	SENT	.
Now	RB	now
,	,	,
are	VBP	be
they	PP	they
made	VBN	make
in	IN	in
the	DT	the
right	JJ	right
order	NN	order
?	SENT	?
The	DT	the
young	JJ	young
man	NN	man
should	MD	should
be	VB	be
made	VBN	make
first	RB	first
.	SENT	.
And	CC	and
as	IN	as
you	PP	you
see	VBP	see
here	RB	here
from	IN	from
the	DT	the
years	NNS	year
that	IN	that
they	PP	they
were	VBD	be
created	VBN	create
,	,	,
it	PP	it
is	VBZ	be
indeed	RB	indeed
the	DT	the
case	NN	case
.	SENT	.
They	PP	they
are	VBP	be
made	VBN	make
in	IN	in
the	DT	the
right	JJ	right
order	NN	order
.	SENT	.
What	WP	what
was	VBD	be
the	DT	the
age	NN	age
of	IN	of
Leonardo	NP	Leonardo
at	IN	at
the	DT	the
time	NN	time
?	SENT	?
Does	VBZ	do
that	DT	that
fit	NN	fit
?	SENT	?
Yes	UH	yes
,	,	,
it	PP	it
does	VBZ	do
.	SENT	.
He	PP	he
was	VBD	be
33	CD	@card@
,	,	,
38	CD	@card@
and	CC	and
63	CD	@card@
when	WRB	when
these	DT	these
were	VBD	be
made	VBN	make
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
three	CD	three
pictures	NNS	picture
,	,	,
potentially	RB	potentially
of	IN	of
the	DT	the
same	JJ	same
person	NN	person
of	IN	of
the	DT	the
same	JJ	same
age	NN	age
as	IN	as
Leonardo	NP	Leonardo
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
But	CC	but
how	WRB	how
do	VBP	do
we	PP	we
know	VBP	know
it	PP	it
'	''	'
s	VBG	<unknown>
him	PP	him
,	,	,
and	CC	and
not	RB	not
someone	NN	someone
else	RB	else
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
need	VBP	need
a	DT	a
reference	NN	reference
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
only	JJ	only
picture	NN	picture
of	IN	of
Leonardo	NP	Leonardo
that	WDT	that
'	POS	'
s	NN	S
widely	RB	widely
accepted	VBN	accept
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
statue	NN	statue
made	VBN	make
by	IN	by
Verrocchio	NP	Verrocchio
,	,	,
of	IN	of
David	NP	David
,	,	,
for	IN	for
which	WDT	which
Leonardo	NP	Leonardo
posed	VBD	pose
as	IN	as
a	DT	a
boy	NN	boy
of	IN	of
15	CD	@card@
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
now	RB	now
compare	VBP	compare
the	DT	the
face	NN	face
of	IN	of
the	DT	the
statue	NN	statue
,	,	,
with	IN	with
the	DT	the
face	NN	face
of	IN	of
the	DT	the
musician	NN	musician
,	,	,
you	PP	you
see	VBP	see
the	DT	the
very	RB	very
same	JJ	same
features	NNS	feature
again	RB	again
.	SENT	.
The	DT	the
statue	NN	statue
is	VBZ	be
the	DT	the
reference	NN	reference
,	,	,
and	CC	and
it	PP	it
connects	VBZ	connect
the	DT	the
identity	NN	identity
of	IN	of
Leonardo	NP	Leonardo
to	TO	to
those	DT	those
three	CD	three
faces	NNS	face
.	SENT	.
Ladies	NNS	lady
and	CC	and
gentlemen	NNS	gentleman
,	,	,
this	DT	this
story	NN	story
has	VBZ	have
not	RB	not
yet	RB	yet
been	VBN	be
published	VBN	publish
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
only	RB	only
proper	JJ	proper
that	IN	that
you	PP	you
here	RB	here
at	IN	at
TED	VB	ted
hear	VB	hear
and	CC	and
see	VB	see
it	PP	it
first	JJ	first
.	SENT	.
The	DT	the
icon	NN	icon
of	IN	of
icons	NNS	icon
finally	RB	finally
has	VBZ	have
a	DT	a
face	NN	face
.	SENT	.
Here	RB	here
he	PP	he
is	VBZ	be
:	:	:
Leonardo	NP	Leonardo
da	NP	da
Vinci	NP	Vinci
.	SENT	.
