Interestingly	RB	interestingly
with	IN	with
corresponding	JJ	corresponding
differences	NNS	difference
in	IN	in
climate	NN	climate
.	SENT	.
"	``	"
So	RB	so
he	PP	he
had	VBD	have
traveled	VBN	travel
all	RB	all
around	RB	around
.	SENT	.
He	PP	he
had	VBD	have
seen	VBN	see
people	NNS	people
of	IN	of
different	JJ	different
colors	NNS	color
living	VBG	live
in	IN	in
different	JJ	different
places	NNS	place
.	SENT	.
And	CC	and
yet	RB	yet
he	PP	he
rejected	VBD	reject
the	DT	the
idea	NN	idea
that	IN	that
human	JJ	human
skin	NN	skin
pigmentation	NN	pigmentation
was	VBD	be
related	VBN	relate
to	TO	to
the	DT	the
climate	NN	climate
.	SENT	.
If	IN	if
only	JJ	only
Darwin	NP	Darwin
lived	VBD	live
today	NN	today
.	SENT	.
If	IN	if
only	JJ	only
Darwin	NP	Darwin
had	VBD	have
NASA	NP	NASA
.	SENT	.
Now	RB	now
,	,	,
one	CD	one
of	IN	of
the	DT	the
wonderful	JJ	wonderful
things	NNS	thing
that	WDT	that
NASA	NP	NASA
does	VBZ	do
is	VBZ	be
it	PP	it
puts	VBZ	put
up	RP	up
a	DT	a
variety	NN	variety
of	IN	of
satellites	NNS	satellite
that	WDT	that
detect	VBP	detect
all	DT	all
sort	NN	sort
of	IN	of
interesting	JJ	interesting
things	NNS	thing
about	IN	about
our	PP$	our
environment	NN	environment
.	SENT	.
And	CC	and
for	IN	for
many	JJ	many
decades	NNS	decade
now	RB	now
there	EX	there
have	VBP	have
been	VBN	be
a	DT	a
series	NN	series
of	IN	of
TOMS	NNS	tom
satellites	NNS	satellite
that	WDT	that
have	VBP	have
collected	VBN	collect
data	NNS	datum
about	IN	about
the	DT	the
radiation	NN	radiation
of	IN	of
the	DT	the
Earth	NN	earth
'	POS	'
s	NN	S
surface	NN	surface
.	SENT	.
The	DT	the
TOMS	NNS	tom
7	CD	@card@
satellite	NN	satellite
data	NNS	datum
,	,	,
shown	VBN	show
here	RB	here
,	,	,
show	VBP	show
the	DT	the
annual	JJ	annual
average	JJ	average
ultraviolet	NN	ultraviolet
radiation	NN	radiation
at	IN	at
the	DT	the
Earth	NN	earth
'	POS	'
s	NN	S
surface	NN	surface
.	SENT	.
Now	RB	now
the	DT	the
really	RB	really
hot	JJ	hot
pink	JJ	pink
and	CC	and
red	JJ	red
areas	NNS	area
are	VBP	be
those	DT	those
parts	NNS	part
of	IN	of
the	DT	the
world	NN	world
that	WDT	that
receive	VBP	receive
the	DT	the
highest	JJS	high
amounts	NNS	amount
of	IN	of
UV	NP	UV
during	IN	during
the	DT	the
year	NN	year
.	SENT	.
The	DT	the
incrementally	RB	incrementally
cooler	JJR	cool
colors	NNS	color
—	:	-
blues	NNS	blue
,	,	,
greens	NNS	green
,	,	,
yellows	NNS	yellow
,	,	,
and	CC	and
finally	RB	finally
grays	NNS	gray
—	:	-
indicate	VBP	indicate
areas	NNS	area
of	IN	of
much	RB	much
lower	JJR	low
ultraviolet	NN	ultraviolet
radiation	NN	radiation
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
significant	JJ	significant
to	TO	to
the	DT	the
story	NN	story
of	IN	of
human	JJ	human
skin	NN	skin
pigmentation	NN	pigmentation
is	VBZ	be
just	RB	just
how	WRB	how
much	JJ	much
of	IN	of
the	DT	the
Northern	NP	Northern
Hemisphere	NP	Hemisphere
is	VBZ	be
in	IN	in
these	DT	these
cool	JJ	cool
gray	JJ	gray
zones	NNS	zone
.	SENT	.
This	DT	this
has	VBZ	have
tremendous	JJ	tremendous
implications	NNS	implication
for	IN	for
our	PP$	our
understanding	NN	understanding
of	IN	of
the	DT	the
evolution	NN	evolution
of	IN	of
human	JJ	human
skin	NN	skin
pigmentation	NN	pigmentation
.	SENT	.
And	CC	and
what	WP	what
Darwin	NP	Darwin
could	MD	could
not	RB	not
appreciate	VB	appreciate
,	,	,
or	CC	or
didn	NP	<unknown>
'	POS	'
t	NN	t
perhaps	RB	perhaps
want	VBP	want
to	TO	to
appreciate	VB	appreciate
at	IN	at
the	DT	the
time	NN	time
,	,	,
is	VBZ	be
that	IN	that
there	EX	there
was	VBD	be
a	DT	a
fundamental	JJ	fundamental
relationship	NN	relationship
between	IN	between
the	DT	the
intensity	NN	intensity
of	IN	of
ultraviolet	JJ	ultraviolet
radiation	NN	radiation
and	CC	and
skin	NN	skin
pigmentation	NN	pigmentation
.	SENT	.
And	CC	and
that	DT	that
skin	NN	skin
pigmentation	NN	pigmentation
itself	PP	itself
was	VBD	be
a	DT	a
product	NN	product
of	IN	of
evolution	NN	evolution
.	SENT	.
And	CC	and
so	RB	so
when	WRB	when
we	PP	we
look	VBP	look
at	IN	at
a	DT	a
map	NN	map
of	IN	of
skin	NN	skin
color	NN	color
,	,	,
and	CC	and
predicted	VBD	predict
skin	NN	skin
color	NN	color
,	,	,
as	IN	as
we	PP	we
know	VBP	know
it	PP	it
today	NN	today
,	,	,
what	WP	what
we	PP	we
see	VBP	see
is	VBZ	be
a	DT	a
beautiful	JJ	beautiful
gradient	NN	gradient
from	IN	from
the	DT	the
darkest	JJS	dark
skin	NN	skin
pigmentations	NNS	pigmentation
toward	IN	toward
the	DT	the
equator	NN	equator
,	,	,
and	CC	and
the	DT	the
lightest	JJS	light
ones	NNS	one
toward	IN	toward
the	DT	the
poles	NNS	pole
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
very	RB	very
,	,	,
very	RB	very
important	JJ	important
here	RB	here
is	VBZ	be
that	IN	that
the	DT	the
earliest	JJS	early
humans	NNS	human
evolved	VBN	evolve
in	IN	in
high-UV	NN	<unknown>
environments	NNS	environment
,	,	,
in	IN	in
equatorial	JJ	equatorial
Africa	NP	Africa
.	SENT	.
The	DT	the
earliest	JJS	early
members	NNS	member
of	IN	of
our	PP$	our
lineage	NN	lineage
,	,	,
the	DT	the
genus	NN	genus
Homo	NN	homo
,	,	,
were	VBD	be
darkly	RB	darkly
pigmented	VBN	<unknown>
.	SENT	.
And	CC	and
we	PP	we
all	RB	all
share	VBP	share
this	DT	this
incredible	JJ	incredible
heritage	NN	heritage
of	IN	of
having	VBG	have
originally	RB	originally
been	VBN	be
darkly	RB	darkly
pigmented	JJ	<unknown>
,	,	,
two	CD	two
million	CD	million
to	TO	to
one	CD	one
and	CC	and
half	DT	half
million	CD	million
years	NNS	year
ago	RB	ago
.	SENT	.
Now	RB	now
what	WP	what
happened	VBD	happen
in	IN	in
our	PP$	our
history	NN	history
?	SENT	?
Let	NP	Let
'	POS	'
s	JJ	<unknown>
first	JJ	first
look	NN	look
at	IN	at
the	DT	the
relationship	NN	relationship
of	IN	of
ultraviolet	JJ	ultraviolet
radiation	NN	radiation
to	TO	to
the	DT	the
Earth	NN	earth
'	POS	'
s	NN	S
surface	NN	surface
.	SENT	.
In	IN	in
those	DT	those
early	JJ	early
days	NNS	day
of	IN	of
our	PP$	our
evolution	NN	evolution
,	,	,
looking	VBG	look
at	IN	at
the	DT	the
equator	NN	equator
,	,	,
we	PP	we
were	VBD	be
bombarded	VBN	bombard
by	IN	by
high	JJ	high
levels	NNS	level
of	IN	of
ultraviolet	JJ	ultraviolet
radiation	NN	radiation
.	SENT	.
The	DT	the
UVC	NP	UVC
,	,	,
the	DT	the
most	RBS	most
energetic	JJ	energetic
type	NN	type
,	,	,
was	VBD	be
occluded	VBN	occlude
by	IN	by
the	DT	the
Earth	NN	earth
'	POS	'
s	NN	S
atmosphere	NN	atmosphere
.	SENT	.
But	CC	but
UVB	NP	UVB
and	CC	and
UVA	NP	Uva
especially	RB	especially
,	,	,
came	VBD	come
in	IN	in
unimpeded	JJ	unimpeded
.	SENT	.
UVB	NP	UVB
turns	VBZ	turn
out	RP	out
to	TO	to
be	VB	be
incredibly	RB	incredibly
important	JJ	important
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
destructive	JJ	destructive
,	,	,
but	CC	but
it	PP	it
also	RB	also
catalyzes	VBZ	catalyze
the	DT	the
production	NN	production
of	IN	of
vitamin	NN	vitamin
D	NN	D
in	IN	in
the	DT	the
skin	NN	skin
,	,	,
vitamin	NN	vitamin
D	NN	D
being	VBG	be
a	DT	a
molecule	NN	molecule
that	IN	that
we	PP	we
very	RB	very
much	JJ	much
need	NN	need
for	IN	for
our	PP$	our
strong	JJ	strong
bones	NNS	bone
,	,	,
the	DT	the
health	NN	health
of	IN	of
our	PP$	our
immune	JJ	immune
system	NN	system
,	,	,
and	CC	and
myriad	JJ	myriad
other	JJ	other
important	JJ	important
functions	NNS	function
in	IN	in
our	PP$	our
bodies	NNS	body
.	SENT	.
So	RB	so
,	,	,
living	VBG	live
at	IN	at
the	DT	the
equator	NN	equator
,	,	,
we	PP	we
got	VBD	get
lots	NNS	lot
and	CC	and
lots	NNS	lot
of	IN	of
ultraviolet	JJ	ultraviolet
radiation	NN	radiation
and	CC	and
the	DT	the
melanin	NN	melanin
—	:	-
this	DT	this
wonderful	JJ	wonderful
,	,	,
complex	JJ	complex
,	,	,
ancient	JJ	ancient
polymer	NN	polymer
compound	NN	compound
in	IN	in
our	PP$	our
skin	NN	skin
—	:	-
served	VBN	serve
as	IN	as
a	DT	a
superb	JJ	superb
natural	JJ	natural
sunscreen	NN	sunscreen
.	SENT	.
This	DT	this
polymer	NN	polymer
is	VBZ	be
amazing	JJ	amazing
because	IN	because
it	PP	it
'	POS	'
s	JJ	<unknown>
present	NN	present
in	IN	in
so	RB	so
many	JJ	many
different	JJ	different
organisms	NNS	organism
.	SENT	.
Melanin	NN	melanin
,	,	,
in	IN	in
various	JJ	various
forms	NNS	form
,	,	,
has	VBZ	have
probably	RB	probably
been	VBN	be
on	IN	on
the	DT	the
Earth	NN	earth
a	DT	a
billion	NN	billion
years	NNS	year
,	,	,
and	CC	and
has	VBZ	have
been	VBN	be
recruited	VBN	recruit
over	RP	over
and	CC	and
over	RP	over
again	RB	again
by	IN	by
evolution	NN	evolution
,	,	,
as	RB	as
often	RB	often
happens	VBZ	happen
.	SENT	.
Why	WRB	why
change	VB	change
it	PP	it
if	IN	if
it	PP	it
works	VBZ	work
?	SENT	?
So	IN	so
melanin	NN	melanin
was	VBD	be
recruited	VBN	recruit
,	,	,
in	IN	in
our	PP$	our
lineage	NN	lineage
,	,	,
and	CC	and
specifically	RB	specifically
in	IN	in
our	PP$	our
earliest	JJS	early
ancestors	NNS	ancestor
evolving	VBG	evolve
in	IN	in
Africa	NP	Africa
,	,	,
to	TO	to
be	VB	be
a	DT	a
natural	JJ	natural
sunscreen	NN	sunscreen
.	SENT	.
Where	WRB	where
it	PP	it
protected	VBD	protect
the	DT	the
body	NN	body
against	IN	against
the	DT	the
degradations	NNS	degradation
of	IN	of
ultraviolet	JJ	ultraviolet
radiation	NN	radiation
,	,	,
the	DT	the
destruction	NN	destruction
,	,	,
or	CC	or
damage	NN	damage
to	TO	to
DNA	NP	DNA
,	,	,
and	CC	and
the	DT	the
breakdown	NN	breakdown
of	IN	of
a	DT	a
very	RB	very
important	JJ	important
molecule	NN	molecule
called	VBD	call
folate	NN	<unknown>
,	,	,
which	WDT	which
helps	VBZ	help
to	TO	to
fuel	VB	fuel
cell	NN	cell
production	NN	production
,	,	,
and	CC	and
reproduction	NN	reproduction
in	IN	in
the	DT	the
body	NN	body
.	SENT	.
So	RB	so
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
wonderful	JJ	wonderful
.	SENT	.
We	PP	we
evolved	VBD	evolve
this	DT	this
very	RB	very
protective	JJ	protective
,	,	,
wonderful	JJ	wonderful
covering	NN	covering
of	IN	of
melanin	NN	melanin
.	SENT	.
But	CC	but
then	RB	then
we	PP	we
moved	VBD	move
.	SENT	.
And	CC	and
humans	NNS	human
dispersed	VBD	disperse
—	:	-
not	RB	not
once	RB	once
,	,	,
but	CC	but
twice	RB	twice
.	SENT	.
Major	JJ	major
moves	NNS	move
,	,	,
outside	JJ	outside
of	IN	of
our	PP$	our
equatorial	JJ	equatorial
homeland	NN	homeland
,	,	,
from	IN	from
Africa	NP	Africa
into	IN	into
other	JJ	other
parts	NNS	part
of	IN	of
the	DT	the
Old	NP	Old
World	NP	World
,	,	,
and	CC	and
most	RBS	most
recently	RB	recently
,	,	,
into	IN	into
the	DT	the
New	NP	New
World	NP	World
.	SENT	.
When	WRB	when
humans	NNS	human
dispersed	VBD	disperse
into	IN	into
these	DT	these
latitudes	NNS	latitude
,	,	,
what	WP	what
did	VBD	do
they	PP	they
face	VBP	face
?	SENT	?
Conditions	NNS	condition
were	VBD	be
significantly	RB	significantly
colder	JJR	cold
,	,	,
but	CC	but
they	PP	they
were	VBD	be
also	RB	also
less	RBR	less
intense	JJ	intense
with	IN	with
respect	NN	respect
to	TO	to
the	DT	the
ultraviolet	JJ	ultraviolet
regime	NN	regime
.	SENT	.
So	RB	so
if	IN	if
we	PP	we
'	POS	'
re	NN	re
somewhere	RB	somewhere
in	IN	in
the	DT	the
Northern	NP	Northern
Hemisphere	NP	Hemisphere
,	,	,
look	NN	look
at	IN	at
what	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
to	TO	to
the	DT	the
ultraviolet	JJ	ultraviolet
radiation	NN	radiation
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
still	RB	still
getting	VBG	get
a	DT	a
dose	NN	dose
of	IN	of
UVA	NP	Uva
.	SENT	.
But	CC	but
all	DT	all
of	IN	of
the	DT	the
UVB	NP	UVB
,	,	,
or	CC	or
nearly	RB	nearly
all	RB	all
of	IN	of
it	PP	it
,	,	,
is	VBZ	be
dissipated	VBN	dissipate
through	IN	through
the	DT	the
thickness	NN	thickness
of	IN	of
the	DT	the
atmosphere	NN	atmosphere
.	SENT	.
In	IN	in
the	DT	the
winter	NN	winter
,	,	,
when	WRB	when
you	PP	you
are	VBP	be
skiing	VBG	ski
in	IN	in
the	DT	the
Alps	NNS	alp
,	,	,
you	PP	you
may	MD	may
experience	VB	experience
ultraviolet	JJ	ultraviolet
radiation	NN	radiation
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
all	DT	all
UVA	NP	Uva
,	,	,
and	CC	and
,	,	,
significantly	RB	significantly
,	,	,
that	IN	that
UVA	NP	Uva
has	VBZ	have
no	DT	no
ability	NN	ability
to	TO	to
make	VB	make
vitamin	NN	vitamin
D	NN	D
in	IN	in
your	PP$	your
skin	NN	skin
.	SENT	.
So	IN	so
people	NNS	people
inhabiting	VBG	inhabit
northern	JJ	northern
hemispheric	JJ	hemispheric
environments	NNS	environment
were	VBD	be
bereft	VBN	bereave
of	IN	of
the	DT	the
potential	NN	potential
to	TO	to
make	VB	make
vitamin	NN	vitamin
D	NN	D
in	IN	in
their	PP$	their
skin	NN	skin
for	IN	for
most	JJS	most
of	IN	of
the	DT	the
year	NN	year
.	SENT	.
This	DT	this
had	VBD	have
tremendous	JJ	tremendous
consequences	NNS	consequence
for	IN	for
the	DT	the
evolution	NN	evolution
of	IN	of
human	JJ	human
skin	NN	skin
pigmentation	NN	pigmentation
.	SENT	.
Because	IN	because
what	WP	what
happened	VBD	happen
,	,	,
in	IN	in
order	NN	order
to	TO	to
ensure	VB	ensure
health	NN	health
and	CC	and
well-being	NN	well-being
,	,	,
these	DT	these
lineages	NNS	lineage
of	IN	of
people	NNS	people
dispersing	VBG	disperse
into	IN	into
the	DT	the
Northern	NP	Northern
Hemisphere	NP	Hemisphere
lost	VBD	lose
their	PP$	their
pigmentation	NN	pigmentation
.	SENT	.
There	EX	there
was	VBD	be
natural	JJ	natural
selection	NN	selection
for	IN	for
the	DT	the
evolution	NN	evolution
of	IN	of
lightly	RB	lightly
pigmented	JJ	<unknown>
skin	NN	skin
.	SENT	.
Here	RB	here
we	PP	we
begin	VBP	begin
to	TO	to
see	VB	see
the	DT	the
evolution	NN	evolution
of	IN	of
the	DT	the
beautiful	JJ	beautiful
sepia	JJ	sepia
rainbow	NN	rainbow
that	WDT	that
now	RB	now
characterizes	VBZ	characterize
all	RB	all
of	IN	of
humanity	NN	humanity
.	SENT	.
Lightly	RB	lightly
pigmented	JJ	<unknown>
skin	NN	skin
evolved	VBD	evolve
not	RB	not
just	RB	just
once	RB	once
,	,	,
not	RB	not
just	RB	just
twice	RB	twice
,	,	,
but	CC	but
probably	RB	probably
three	CD	three
times	NNS	time
.	SENT	.
Not	RB	not
just	RB	just
in	IN	in
modern	JJ	modern
humans	NNS	human
,	,	,
but	CC	but
in	IN	in
one	CD	one
of	IN	of
our	PP$	our
distant	JJ	distant
unrelated	JJ	unrelated
ancestors	NNS	ancestor
,	,	,
the	DT	the
Neanderthals	NNS	Neanderthal
.	SENT	.
A	DT	a
remarkable	JJ	remarkable
,	,	,
remarkable	JJ	remarkable
testament	NN	testament
to	TO	to
the	DT	the
power	NN	power
of	IN	of
evolution	NN	evolution
.	SENT	.
Humans	NNS	human
have	VBP	have
been	VBN	be
on	IN	on
the	DT	the
move	NN	move
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
.	SENT	.
And	CC	and
just	RB	just
in	IN	in
the	DT	the
last	JJ	last
5	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
,	,	,
in	IN	in
increasing	VBG	increase
rates	NNS	rate
,	,	,
over	IN	over
increasing	VBG	increase
distances	NNS	distance
.	SENT	.
Here	RB	here
are	VBP	be
just	RB	just
some	DT	some
of	IN	of
the	DT	the
biggest	JJS	big
movements	NNS	movement
of	IN	of
people	NNS	people
,	,	,
voluntary	JJ	voluntary
movements	NNS	movement
,	,	,
in	IN	in
the	DT	the
last	JJ	last
5	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
.	SENT	.
Look	VB	look
at	IN	at
some	DT	some
of	IN	of
the	DT	the
major	JJ	major
latitudinal	JJ	latitudinal
transgressions	NNS	transgression
:	:	:
people	NNS	people
from	IN	from
high	JJ	high
UV	NP	UV
areas	NNS	area
going	VBG	go
to	TO	to
low	JJ	low
UV	NP	UV
and	CC	and
vice	JJ	vice
versa	RB	versa
.	SENT	.
And	CC	and
not	RB	not
all	PDT	all
these	DT	these
moves	NNS	move
were	VBD	be
voluntary	JJ	voluntary
.	SENT	.
Between	IN	between
1520	CD	@card@
and	CC	and
1867	CD	@card@
,	,	,
12	CD	@card@
million	CD	million
,	,	,
500	CD	@card@
people	NNS	people
were	VBD	be
moved	VBN	move
from	IN	from
high	JJ	high
UV	NP	UV
to	TO	to
low	JJ	low
UV	NP	UV
areas	NNS	area
in	IN	in
the	DT	the
transatlantic	JJ	transatlantic
slave	NN	slave
trade	NN	trade
.	SENT	.
Now	RB	now
this	DT	this
had	VBD	have
all	DT	all
sorts	NNS	sort
of	IN	of
invidious	JJ	invidious
social	JJ	social
consequences	NNS	consequence
.	SENT	.
But	CC	but
it	PP	it
also	RB	also
had	VBD	have
deleterious	JJ	deleterious
health	NN	health
consequences	NNS	consequence
to	TO	to
people	NNS	people
.	SENT	.
So	RB	so
what	WP	what
?	SENT	?
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
on	IN	on
the	DT	the
move	NN	move
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
so	RB	so
clever	JJ	clever
we	PP	we
can	MD	can
overcome	VB	overcome
all	DT	all
of	IN	of
these	DT	these
seeming	JJ	seeming
biological	JJ	biological
impediments	NNS	impediment
.	SENT	.
Well	RB	well
,	,	,
often	RB	often
we	PP	we
'	POS	'
re	NN	re
unaware	JJ	unaware
of	IN	of
the	DT	the
fact	NN	fact
that	IN	that
we	PP	we
'	POS	'
re	NN	re
living	NN	living
in	IN	in
environments	NNS	environment
in	IN	in
which	WDT	which
our	PP$	our
skin	NN	skin
is	VBZ	be
inherently	RB	inherently
poorly	RB	poorly
adapted	VBN	adapt
.	SENT	.
Some	DT	some
of	IN	of
us	PP	us
with	IN	with
lightly	RB	lightly
pigmented	JJ	<unknown>
skin	NN	skin
live	VBP	live
in	IN	in
high-UV	NN	<unknown>
areas	NNS	area
.	SENT	.
Some	DT	some
of	IN	of
us	PP	us
with	IN	with
darkly	RB	darkly
pigmented	JJ	<unknown>
skin	NN	skin
live	VBP	live
in	IN	in
low-UV	NN	<unknown>
areas	NNS	area
.	SENT	.
These	DT	these
have	VBP	have
tremendous	JJ	tremendous
consequences	NNS	consequence
for	IN	for
our	PP$	our
health	NN	health
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
,	,	,
if	IN	if
we	PP	we
'	POS	'
re	NN	re
lightly	RB	lightly
pigmented	VBN	<unknown>
,	,	,
be	VB	be
careful	JJ	careful
about	IN	about
the	DT	the
problems	NNS	problem
of	IN	of
skin	NN	skin
cancer	NN	cancer
,	,	,
and	CC	and
destruction	NN	destruction
of	IN	of
folate	NN	<unknown>
in	IN	in
our	PP$	our
bodies	NNS	body
,	,	,
by	IN	by
lots	NNS	lot
of	IN	of
sun	NN	sun
.	SENT	.
Epidemiologists	NNS	epidemiologist
and	CC	and
doctors	NNS	doctor
have	VBP	have
been	VBN	be
very	RB	very
good	JJ	good
about	IN	about
telling	VBG	tell
us	PP	us
about	IN	about
protecting	VBG	protect
our	PP$	our
skin	NN	skin
.	SENT	.
What	WP	what
they	PP	they
haven	NN	haven
'	POS	'
t	NN	t
been	VBN	be
so	RB	so
good	JJ	good
about	IN	about
instructing	VBG	instruct
people	NNS	people
is	VBZ	be
the	DT	the
problem	NN	problem
of	IN	of
darkly	RB	darkly
pigmented	JJ	<unknown>
people	NNS	people
living	VBG	live
in	IN	in
high	JJ	high
latitude	NN	latitude
areas	NNS	area
,	,	,
or	CC	or
working	VBG	work
inside	IN	inside
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
Because	IN	because
the	DT	the
problem	NN	problem
there	EX	there
is	VBZ	be
just	RB	just
as	RB	as
severe	JJ	severe
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
more	RBR	more
sinister	JJ	sinister
,	,	,
because	IN	because
