Please	UH	please
The	DT	the
reason	NN	reason
is	VBZ	be
because	IN	because
in	IN	in
the	DT	the
first	JJ	first
month	NN	month
of	IN	of
a	DT	a
baby	NN	baby
'	POS	'
s	NN	S
life	NN	life
,	,	,
its	PP$	its
only	JJ	only
job	NN	job
is	VBZ	be
to	TO	to
grow	VB	grow
.	SENT	.
If	IN	if
it	PP	it
'	POS	'
s	JJ	<unknown>
battling	VBG	battle
hypothermia	NN	hypothermia
,	,	,
its	PP$	its
organs	NNS	organ
can	MD	can
'	''	'
t	NN	t
develop	VB	develop
normally	RB	normally
,	,	,
resulting	VBG	result
in	IN	in
a	DT	a
range	NN	range
of	IN	of
health	NN	health
problems	NNS	problem
from	IN	from
diabetes	NN	diabetes
,	,	,
to	TO	to
heart	NN	heart
disease	NN	disease
,	,	,
to	TO	to
low	VB	low
I	PP	I
.	SENT	.
Q	NP	Q
.	SENT	.
Imagine	VB	imagine
:	:	:
Many	JJ	many
of	IN	of
these	DT	these
problems	NNS	problem
could	MD	could
be	VB	be
prevented	VBN	prevent
if	IN	if
these	DT	these
babies	NNS	baby
were	VBD	be
just	RB	just
kept	VBN	keep
warm	JJ	warm
.	SENT	.
That	DT	that
is	VBZ	be
the	DT	the
primary	JJ	primary
function	NN	function
of	IN	of
an	DT	an
incubator	NN	incubator
.	SENT	.
But	CC	but
traditional	JJ	traditional
incubators	NNS	incubator
require	VBP	require
electricity	NN	electricity
and	CC	and
cost	VB	cost
up	RP	up
to	TO	to
20	CD	@card@
thousand	CD	thousand
dollars	NNS	dollar
.	SENT	.
So	RB	so
,	,	,
you	PP	you
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
find	VB	find
them	PP	them
in	IN	in
rural	JJ	rural
areas	NNS	area
of	IN	of
developing	VBG	develop
countries	NNS	country
.	SENT	.
As	IN	as
a	DT	a
result	NN	result
,	,	,
parents	NNS	parent
resort	VBP	resort
to	TO	to
local	JJ	local
solutions	NNS	solution
like	IN	like
tying	VBG	tie
hot	JJ	hot
water	NN	water
bottles	NNS	bottle
around	IN	around
their	PP$	their
babies	NNS	baby
'	POS	'
bodies	NNS	body
,	,	,
or	CC	or
placing	VBG	place
them	PP	them
under	IN	under
light	JJ	light
bulbs	NNS	bulb
like	IN	like
the	DT	the
ones	NNS	one
you	PP	you
see	VBP	see
here	RB	here
—	:	-
methods	NNS	method
that	WDT	that
are	VBP	be
both	CC	both
ineffective	JJ	ineffective
and	CC	and
unsafe	JJ	unsafe
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
seen	VBN	see
this	DT	this
firsthand	JJ	firsthand
over	RP	over
and	CC	and
over	RP	over
again	RB	again
.	SENT	.
On	IN	on
one	CD	one
of	IN	of
my	PP$	my
first	JJ	first
trips	NNS	trip
to	TO	to
India	NP	India
,	,	,
I	PP	I
met	VBD	meet
this	DT	this
young	JJ	young
woman	NN	woman
,	,	,
Sevitha	NP	<unknown>
,	,	,
who	WP	who
had	VBD	have
just	RB	just
given	VBN	give
birth	NN	birth
to	TO	to
a	DT	a
tiny	JJ	tiny
premature	JJ	premature
baby	NN	baby
,	,	,
Rani	NP	Rani
.	SENT	.
She	PP	she
took	VBD	take
her	PP$	her
baby	NN	baby
to	TO	to
the	DT	the
nearest	JJS	near
village	NN	village
clinic	NN	clinic
,	,	,
and	CC	and
the	DT	the
doctor	NN	doctor
advised	VBD	advise
her	PP	her
to	TO	to
take	VB	take
Rani	NP	Rani
to	TO	to
a	DT	a
city	NN	city
hospital	NN	hospital
so	IN	so
she	PP	she
could	MD	could
be	VB	be
placed	VBN	place
in	IN	in
an	DT	an
incubator	NN	incubator
.	SENT	.
But	CC	but
that	DT	that
hospital	NN	hospital
was	VBD	be
over	RB	over
four	CD	four
hours	NNS	hour
away	RB	away
,	,	,
and	CC	and
Sevitha	NP	<unknown>
didn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
the	DT	the
means	VBZ	mean
to	TO	to
get	VB	get
there	RB	there
,	,	,
so	IN	so
her	PP$	her
baby	NN	baby
died	VBD	die
.	SENT	.
Inspired	VBN	inspire
by	IN	by
this	DT	this
story	NN	story
,	,	,
and	CC	and
dozens	NNS	dozen
of	IN	of
other	JJ	other
similar	JJ	similar
stories	NNS	story
like	IN	like
this	DT	this
,	,	,
my	PP$	my
team	NN	team
and	CC	and
I	PP	I
realized	VBD	realize
what	WP	what
was	VBD	be
needed	VBN	need
was	VBD	be
a	DT	a
local	JJ	local
solution	NN	solution
,	,	,
something	NN	something
that	WDT	that
could	MD	could
work	VB	work
without	IN	without
electricity	NN	electricity
,	,	,
that	WDT	that
was	VBD	be
simple	JJ	simple
enough	RB	enough
for	IN	for
a	DT	a
mother	NN	mother
or	CC	or
a	DT	a
midwife	NN	midwife
to	TO	to
use	VB	use
,	,	,
given	VBN	give
that	IN	that
the	DT	the
majority	NN	majority
of	IN	of
births	NNS	birth
still	RB	still
take	VBP	take
place	NN	place
in	IN	in
the	DT	the
home	NN	home
.	SENT	.
We	PP	we
needed	VBD	need
something	NN	something
that	WDT	that
was	VBD	be
portable	JJ	portable
,	,	,
something	NN	something
that	WDT	that
could	MD	could
be	VB	be
sterilized	VBN	sterilize
and	CC	and
reused	VBN	reuse
across	IN	across
multiple	JJ	multiple
babies	NNS	baby
and	CC	and
something	NN	something
ultra-low-cost	NN	ultra-low-cost
,	,	,
compared	VBN	compare
to	TO	to
the	DT	the
20	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
that	IN	that
an	DT	an
incubator	NN	incubator
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
costs	NNS	cost
.	SENT	.
So	RB	so
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
came	VBD	come
up	RP	up
with	IN	with
.	SENT	.
What	WP	what
you	PP	you
see	VBP	see
here	RB	here
looks	VBZ	look
nothing	NN	nothing
like	IN	like
an	DT	an
incubator	NN	incubator
.	SENT	.
It	PP	it
looks	VBZ	look
like	IN	like
a	DT	a
small	JJ	small
sleeping	NN	sleeping
bag	NN	bag
for	IN	for
a	DT	a
baby	NN	baby
.	SENT	.
You	PP	you
can	MD	can
open	VB	open
it	PP	it
up	RP	up
completely	RB	completely
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
waterproof	NN	waterproof
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
no	RB	no
seams	VBZ	seam
inside	RB	inside
so	RB	so
you	PP	you
can	MD	can
sterilize	VB	sterilize
it	PP	it
very	RB	very
easily	RB	easily
.	SENT	.
But	CC	but
the	DT	the
magic	NN	magic
is	VBZ	be
in	IN	in
this	DT	this
pouch	NN	pouch
of	IN	of
wax	NN	wax
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
phase-change	NN	phase-change
material	NN	material
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
wax-like	JJ	<unknown>
substance	NN	substance
with	IN	with
a	DT	a
melting	VBG	melt
point	NN	point
of	IN	of
human	JJ	human
body	NN	body
temperature	NN	temperature
,	,	,
37	CD	@card@
degrees	NNS	degree
Celsius	JJ	Celsius
.	SENT	.
You	PP	you
can	MD	can
melt	VB	melt
this	DT	this
simply	RB	simply
using	VBG	use
hot	JJ	hot
water	NN	water
and	CC	and
then	RB	then
when	WRB	when
it	PP	it
melts	VBZ	melt
it	PP	it
'	''	'
s	NNS	<unknown>
able	JJ	able
to	TO	to
maintain	VB	maintain
one	CD	one
constant	JJ	constant
temperature	NN	temperature
for	IN	for
four	CD	four
to	TO	to
six	CD	six
hours	NNS	hour
at	IN	at
a	DT	a
time	NN	time
,	,	,
after	IN	after
which	WDT	which
you	PP	you
simply	RB	simply
reheat	VBP	reheat
the	DT	the
pouch	NN	pouch
.	SENT	.
So	RB	so
,	,	,
you	PP	you
then	RB	then
place	VBP	place
it	PP	it
into	IN	into
this	DT	this
little	JJ	little
pocket	NN	pocket
back	RB	back
here	RB	here
,	,	,
and	CC	and
it	PP	it
creates	VBZ	create
a	DT	a
warm	JJ	warm
micro-	NN	<unknown>
environment	NN	environment
for	IN	for
the	DT	the
baby	NN	baby
.	SENT	.
Looks	NNS	look
simple	JJ	simple
,	,	,
but	CC	but
we	PP	we
'	POS	'
ve	NN	ve
reiterated	VBD	reiterate
this	DT	this
dozens	NNS	dozen
of	IN	of
times	NNS	time
by	IN	by
going	VBG	go
into	IN	into
the	DT	the
field	NN	field
to	TO	to
talk	VB	talk
to	TO	to
doctors	NNS	doctor
,	,	,
moms	NNS	mom
and	CC	and
clinicians	NNS	clinician
to	TO	to
ensure	VB	ensure
that	IN	that
this	DT	this
really	RB	really
meets	VBZ	meet
the	DT	the
needs	NNS	need
of	IN	of
the	DT	the
local	JJ	local
communities	NNS	community
.	SENT	.
We	PP	we
plan	VBP	plan
to	TO	to
launch	VB	launch
this	DT	this
product	NN	product
in	IN	in
India	NP	India
in	IN	in
2010	CD	@card@
,	,	,
and	CC	and
the	DT	the
target	NN	target
price	NN	price
point	NN	point
will	MD	will
be	VB	be
25	CD	@card@
dollars	NNS	dollar
,	,	,
less	JJR	less
than	IN	than
0	CD	@card@
.	SENT	.
1	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
cost	NN	cost
of	IN	of
a	DT	a
traditional	JJ	traditional
incubator	NN	incubator
.	SENT	.
Over	IN	over
the	DT	the
next	JJ	next
five	CD	five
years	NNS	year
we	PP	we
hope	VBP	hope
to	TO	to
save	VB	save
the	DT	the
lives	NNS	life
of	IN	of
almost	RB	almost
a	DT	a
million	CD	million
babies	NNS	baby
.	SENT	.
But	CC	but
the	DT	the
longer-term	JJ	longer-term
social	JJ	social
impact	NN	impact
is	VBZ	be
a	DT	a
reduction	NN	reduction
in	IN	in
population	NN	population
growth	NN	growth
.	SENT	.
This	DT	this
seems	VBZ	seem
counterintuitive	JJ	counterintuitive
,	,	,
but	CC	but
turns	VBZ	turn
out	RP	out
that	IN	that
as	IN	as
infant	JJ	infant
mortality	NN	mortality
is	VBZ	be
reduced	VBN	reduce
,	,	,
population	NN	population
sizes	VBZ	size
also	RB	also
decrease	VB	decrease
,	,	,
because	IN	because
parents	NNS	parent
don	NN	don
'	POS	'
t	NN	t
need	NN	need
to	TO	to
anticipate	VB	anticipate
that	IN	that
their	PP$	their
babies	NNS	baby
are	VBP	be
going	VBG	go
to	TO	to
die	VB	die
.	SENT	.
We	PP	we
hope	VBP	hope
that	IN	that
the	DT	the
Embrace	NN	embrace
infant	NN	infant
warmer	NN	warmer
and	CC	and
other	JJ	other
simple	JJ	simple
innovations	NNS	innovation
like	IN	like
this	DT	this
represent	VBP	represent
a	DT	a
new	JJ	new
trend	NN	trend
for	IN	for
the	DT	the
future	NN	future
of	IN	of
technology	NN	technology
:	:	:
simple	JJ	simple
,	,	,
localized	JJ	localized
,	,	,
affordable	JJ	affordable
solutions	NNS	solution
that	WDT	that
have	VBP	have
the	DT	the
potential	NN	potential
to	TO	to
make	VB	make
huge	JJ	huge
social	JJ	social
impact	NN	impact
.	SENT	.
In	IN	in
designing	VBG	design
this	DT	this
we	PP	we
followed	VBD	follow
a	DT	a
few	JJ	few
basic	JJ	basic
principles	NNS	principle
.	SENT	.
We	PP	we
really	RB	really
tried	VBD	try
to	TO	to
understand	VB	understand
the	DT	the
end	NN	end
user	NN	user
,	,	,
in	IN	in
this	DT	this
case	NN	case
,	,	,
people	NNS	people
like	IN	like
Sevitha	NP	<unknown>
.	SENT	.
We	PP	we
tried	VBD	try
to	TO	to
understand	VB	understand
the	DT	the
root	NN	root
of	IN	of
the	DT	the
problem	NN	problem
rather	RB	rather
than	IN	than
being	VBG	be
biased	VBN	bias
by	IN	by
what	WP	what
already	RB	already
exists	VBZ	exist
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
thought	VBD	think
of	IN	of
the	DT	the
most	RBS	most
simple	JJ	simple
solution	NN	solution
we	PP	we
could	MD	could
to	TO	to
address	VB	address
this	DT	this
problem	NN	problem
.	SENT	.
In	IN	in
doing	VBG	do
this	DT	this
,	,	,
I	PP	I
believe	VBP	believe
we	PP	we
can	MD	can
truly	RB	truly
bring	VB	bring
technology	NN	technology
to	TO	to
the	DT	the
masses	NNS	mass
.	SENT	.
And	CC	and
we	PP	we
can	MD	can
save	VB	save
millions	NNS	million
of	IN	of
lives	NNS	life
through	IN	through
the	DT	the
simple	JJ	simple
warmth	NN	warmth
of	IN	of
an	DT	an
Embrace	NN	embrace
.	SENT	.
