I	NP	I
,	,	,
beginning	VBG	begin
with	IN	with
Adam	NP	Adam
,	,	,
including	VBG	include
Noah	NP	Noah
,	,	,
including	VBG	include
Moses	NP	Moses
,	,	,
including	VBG	include
Abraham	NP	Abraham
,	,	,
including	VBG	include
Jesus	NP	Jesus
Christ	NP	Christ
,	,	,
and	CC	and
ending	VBG	end
with	IN	with
Muhammad	NP	Muhammad
—	:	-
that	IN	that
,	,	,
"	``	"
We	PP	we
have	VBP	have
not	RB	not
sent	VBN	send
you	PP	you
,	,	,
O	NP	O
Muhammad	NP	Muhammad
,	,	,
except	IN	except
as	IN	as
a	DT	a
'	''	'
rahmah	NN	<unknown>
,	,	,
'	''	'
except	IN	except
as	IN	as
a	DT	a
source	NN	source
of	IN	of
compassion	NN	compassion
to	TO	to
humanity	NN	humanity
.	SENT	.
"	``	"
For	IN	for
us	PP	us
human	JJ	human
beings	NNS	being
,	,	,
and	CC	and
certainly	RB	certainly
for	IN	for
us	PP	us
as	IN	as
Muslims	NPS	Muslims
,	,	,
whose	WP$	whose
mission	NN	mission
,	,	,
and	CC	and
whose	WP$	whose
purpose	NN	purpose
in	IN	in
following	VBG	follow
the	DT	the
path	NN	path
of	IN	of
the	DT	the
prophet	NN	prophet
is	VBZ	be
to	TO	to
make	VB	make
ourselves	PP	ourselves
as	RB	as
much	RB	much
like	IN	like
the	DT	the
prophet	NN	prophet
.	SENT	.
And	CC	and
the	DT	the
prophet	NN	prophet
,	,	,
in	IN	in
one	CD	one
of	IN	of
his	PP$	his
sayings	NNS	saying
,	,	,
said	VBD	say
,	,	,
"	``	"
Adorn	VB	adorn
yourselves	PP	yourselves
with	IN	with
the	DT	the
attributes	NNS	attribute
of	IN	of
God	NP	God
.	SENT	.
"	``	"
And	CC	and
because	IN	because
God	NP	God
Himself	PP	himself
said	VBD	say
that	IN	that
the	DT	the
primary	JJ	primary
attribute	NN	attribute
of	IN	of
his	PP$	his
is	VBZ	be
compassion	NN	compassion
—	:	-
in	IN	in
fact	NN	fact
,	,	,
the	DT	the
Koran	NP	Koran
says	VBZ	say
that	IN	that
"	``	"
God	NP	God
decreed	VBN	decree
upon	IN	upon
himself	PP	himself
compassion	NN	compassion
,	,	,
"	''	"
or	CC	or
,	,	,
"	''	"
reigned	VBD	reign
himself	PP	himself
in	IN	in
by	IN	by
compassion	NN	compassion
"	''	"
—	:	-
therefore	RB	therefore
,	,	,
our	PP$	our
objective	NN	objective
and	CC	and
our	PP$	our
mission	NN	mission
must	MD	must
be	VB	be
to	TO	to
be	VB	be
sources	NNS	source
of	IN	of
compassion	NN	compassion
,	,	,
activators	NNS	activator
of	IN	of
compassion	NN	compassion
,	,	,
actors	NNS	actor
of	IN	of
compassion	NN	compassion
and	CC	and
speakers	NNS	speaker
of	IN	of
compassion	NN	compassion
and	CC	and
doers	NNS	doer
of	IN	of
compassion	NN	compassion
.	SENT	.
That	DT	that
is	VBZ	be
all	DT	all
well	NN	well
and	CC	and
good	JJ	good
,	,	,
but	CC	but
where	WRB	where
do	VBP	do
we	PP	we
go	VB	go
wrong	JJ	wrong
,	,	,
and	CC	and
what	WP	what
is	VBZ	be
the	DT	the
source	NN	source
of	IN	of
the	DT	the
lack	NN	lack
of	IN	of
compassion	NN	compassion
in	IN	in
the	DT	the
world	NN	world
?	SENT	?
For	IN	for
the	DT	the
answer	NN	answer
to	TO	to
this	DT	this
,	,	,
we	PP	we
turn	VBP	turn
to	TO	to
our	PP$	our
spiritual	JJ	spiritual
path	NN	path
.	SENT	.
In	IN	in
every	DT	every
religious	JJ	religious
tradition	NN	tradition
,	,	,
there	EX	there
is	VBZ	be
the	DT	the
outer	JJ	outer
path	NN	path
and	CC	and
the	DT	the
inner	JJ	inner
path	NN	path
,	,	,
or	CC	or
the	DT	the
exoteric	JJ	exoteric
path	NN	path
and	CC	and
the	DT	the
esoteric	JJ	esoteric
path	NN	path
.	SENT	.
The	DT	the
esoteric	JJ	esoteric
path	NN	path
of	IN	of
Islam	NP	Islam
is	VBZ	be
more	RBR	more
popularly	RB	popularly
known	VBN	know
as	IN	as
Sufism	NN	<unknown>
,	,	,
or	CC	or
"	``	"
tasawwuf	NN	<unknown>
"	''	"
in	IN	in
Arabic	NP	Arabic
.	SENT	.
And	CC	and
these	DT	these
doctors	NNS	doctor
or	CC	or
these	DT	these
masters	NNS	master
,	,	,
these	DT	these
spiritual	JJ	spiritual
masters	NNS	master
of	IN	of
the	DT	the
Sufi	NP	Sufi
tradition	NN	tradition
,	,	,
refer	VBP	refer
to	TO	to
teachings	NNS	teaching
and	CC	and
examples	NNS	example
of	IN	of
our	PP$	our
prophet	NN	prophet
that	WDT	that
teach	VBP	teach
us	PP	us
where	WRB	where
the	DT	the
source	NN	source
of	IN	of
our	PP$	our
problems	NNS	problem
lies	VBZ	lie
.	SENT	.
In	IN	in
one	CD	one
of	IN	of
the	DT	the
battles	NNS	battle
that	IN	that
the	DT	the
prophet	NN	prophet
waged	VBD	wage
,	,	,
he	PP	he
told	VBD	tell
his	PP$	his
followers	NNS	follower
,	,	,
"	``	"
We	PP	we
are	VBP	be
returning	VBG	return
from	IN	from
the	DT	the
lesser	JJR	lesser
war	NN	war
to	TO	to
the	DT	the
greater	JJR	great
war	NN	war
,	,	,
to	TO	to
the	DT	the
greater	JJR	great
battle	NN	battle
.	SENT	.
"	``	"
And	CC	and
they	PP	they
said	VBD	say
,	,	,
"	``	"
Messenger	NP	Messenger
of	IN	of
God	NP	God
,	,	,
we	PP	we
are	VBP	be
battle-weary	JJ	battle-weary
.	SENT	.
How	WRB	how
can	MD	can
we	PP	we
go	VB	go
to	TO	to
a	DT	a
greater	JJR	great
battle	NN	battle
?	SENT	?
"	''	"
He	PP	he
said	VBD	say
,	,	,
"	``	"
That	DT	that
is	VBZ	be
the	DT	the
battle	NN	battle
of	IN	of
the	DT	the
self	NN	self
,	,	,
the	DT	the
battle	NN	battle
of	IN	of
the	DT	the
ego	NN	ego
.	SENT	.
"	``	"
The	DT	the
sources	NNS	source
of	IN	of
human	JJ	human
problems	NNS	problem
have	VBP	have
to	TO	to
do	VB	do
with	IN	with
egotism	NN	egotism
,	,	,
"	''	"
I	PP	I
.	SENT	.
"	``	"
The	DT	the
famous	JJ	famous
Sufi	NP	Sufi
master	NN	master
Rumi	NP	<unknown>
,	,	,
who	WP	who
is	VBZ	be
very	RB	very
well	RB	well
known	VBN	know
to	TO	to
most	JJS	most
of	IN	of
you	PP	you
,	,	,
has	VBZ	have
a	DT	a
story	NN	story
in	IN	in
which	WDT	which
he	PP	he
talks	VBZ	talk
of	IN	of
a	DT	a
man	NN	man
who	WP	who
goes	VBZ	go
to	TO	to
the	DT	the
house	NN	house
of	IN	of
a	DT	a
friend	NN	friend
,	,	,
and	CC	and
he	PP	he
knocks	VBZ	knock
on	IN	on
the	DT	the
door	NN	door
,	,	,
and	CC	and
a	DT	a
voice	NN	voice
answers	VBZ	answer
,	,	,
"	``	"
Who	WP	who
'	POS	'
s	NN	S
there	RB	there
?	SENT	?
"	''	"
"	``	"
It	PP	it
'	POS	'
s	NN	S
me	PP	me
,	,	,
"	''	"
or	CC	or
,	,	,
more	RBR	more
grammatically	RB	grammatically
correctly	RB	correctly
,	,	,
"	``	"
It	PP	it
is	VBZ	be
I	PP	I
,	,	,
"	``	"
as	IN	as
we	PP	we
might	MD	might
say	VB	say
in	IN	in
English	NP	English
.	SENT	.
The	DT	the
voice	NN	voice
says	VBZ	say
,	,	,
"	``	"
Go	VB	go
away	RB	away
.	SENT	.
"	''	"
After	IN	after
many	JJ	many
years	NNS	year
of	IN	of
training	NN	training
,	,	,
of	IN	of
disciplining	VBG	discipline
,	,	,
of	IN	of
search	NN	search
and	CC	and
struggle	NN	struggle
,	,	,
he	PP	he
comes	VBZ	come
back	RB	back
.	SENT	.
With	IN	with
much	RB	much
greater	JJR	great
humility	NN	humility
,	,	,
he	PP	he
knocks	VBZ	knock
again	RB	again
on	IN	on
the	DT	the
door	NN	door
.	SENT	.
The	DT	the
voice	NN	voice
asks	VBZ	ask
,	,	,
"	``	"
Who	WP	who
is	VBZ	be
there	RB	there
?	SENT	?
"	''	"
He	PP	he
said	VBD	say
,	,	,
"	``	"
It	PP	it
is	VBZ	be
you	PP	you
,	,	,
O	NN	O
heartbreaker	NN	heartbreaker
.	SENT	.
"	''	"
The	DT	the
door	NN	door
swings	NNS	swing
open	JJ	open
,	,	,
and	CC	and
the	DT	the
voice	NN	voice
says	VBZ	say
,	,	,
"	``	"
Come	VB	come
in	IN	in
,	,	,
for	IN	for
there	EX	there
is	VBZ	be
no	DT	no
room	NN	room
in	IN	in
this	DT	this
house	NN	house
for	IN	for
two	CD	two
I	NP	I
'	POS	'
s	NN	S
,	,	,
"	``	"
—	:	-
two	CD	two
capital	NN	capital
I	NP	I
'	POS	'
s	NN	S
,	,	,
not	RB	not
these	DT	these
eyes	NNS	eye
—	:	-
"	``	"
for	IN	for
two	CD	two
egos	NNS	ego
.	SENT	.
"	''	"
And	CC	and
Rumi	NP	<unknown>
'	POS	'
s	NN	S
stories	NNS	story
are	VBP	be
metaphors	NNS	metaphor
for	IN	for
the	DT	the
spiritual	JJ	spiritual
path	NN	path
.	SENT	.
In	IN	in
the	DT	the
presence	NN	presence
of	IN	of
God	NP	God
,	,	,
there	EX	there
is	VBZ	be
no	DT	no
room	NN	room
for	IN	for
more	JJR	more
than	IN	than
one	CD	one
"	``	"
I	PP	I
,	,	,
"	''	"
and	CC	and
that	DT	that
is	VBZ	be
the	DT	the
"	``	"
I	NP	I
"	''	"
of	IN	of
divinity	NN	divinity
.	SENT	.
In	IN	in
a	DT	a
teaching	NN	teaching
—	:	-
called	VBD	call
a	DT	a
"	``	"
hadith	NN	<unknown>
qudsi	NN	<unknown>
"	''	"
in	IN	in
our	PP$	our
tradition	NN	tradition
—	:	-
God	NP	God
says	VBZ	say
that	IN	that
,	,	,
"	``	"
My	PP$	my
servant	NN	servant
,	,	,
"	''	"
or	CC	or
"	``	"
My	PP$	my
creature	NN	creature
,	,	,
my	PP$	my
human	JJ	human
creature	NN	creature
,	,	,
does	VBZ	do
not	RB	not
approach	VB	approach
me	PP	me
by	IN	by
anything	NN	anything
that	WDT	that
is	VBZ	be
dearer	JJR	dear
to	TO	to
me	PP	me
than	IN	than
what	WP	what
I	PP	I
have	VBP	have
asked	VBN	ask
them	PP	them
to	TO	to
do	VB	do
.	SENT	.
"	''	"
And	CC	and
those	DT	those
of	IN	of
you	PP	you
who	WP	who
are	VBP	be
employers	NNS	employer
know	VBP	know
exactly	RB	exactly
what	WP	what
I	PP	I
mean	VBP	mean
.	SENT	.
You	PP	you
want	VBP	want
your	PP$	your
employees	NNS	employee
to	TO	to
do	VB	do
what	WP	what
you	PP	you
ask	VBP	ask
them	PP	them
to	TO	to
do	VB	do
,	,	,
and	CC	and
if	IN	if
they	PP	they
'	POS	'
ve	JJ	<unknown>
done	VBN	do
that	IN	that
,	,	,
then	RB	then
they	PP	they
can	MD	can
do	VB	do
extra	JJ	extra
.	SENT	.
But	CC	but
don	NN	don
'	POS	'
t	NN	t
ignore	VB	ignore
what	WP	what
you	PP	you
'	POS	'
ve	NN	ve
asked	VBD	ask
them	PP	them
to	TO	to
do	VB	do
.	SENT	.
"	''	"
And	CC	and
,	,	,
"	''	"
God	NP	God
says	VBZ	say
,	,	,
"	``	"
my	PP$	my
servant	NN	servant
continues	VBZ	continue
to	TO	to
get	VB	get
nearer	JJR	near
to	TO	to
me	PP	me
,	,	,
by	IN	by
doing	VBG	do
more	JJR	more
of	IN	of
what	WP	what
I	PP	I
'	POS	'
ve	NN	ve
asked	VBD	ask
them	PP	them
to	TO	to
do	VB	do
"	''	"
—	:	-
extra	JJ	extra
credit	NN	credit
,	,	,
we	PP	we
might	MD	might
call	VB	call
it	PP	it
—	:	-
"	``	"
until	IN	until
I	PP	I
love	VBP	love
him	PP	him
or	CC	or
love	VB	love
her	PP	her
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
love	VBP	love
my	PP$	my
servant	NN	servant
,	,	,
"	''	"
God	NP	God
says	VBZ	say
,	,	,
"	``	"
I	PP	I
become	VBP	become
the	DT	the
eyes	NNS	eye
by	IN	by
which	WDT	which
he	PP	he
or	CC	or
she	PP	she
sees	VBZ	see
,	,	,
the	DT	the
ears	NNS	ear
by	IN	by
which	WDT	which
he	PP	he
or	CC	or
she	PP	she
listens	VBZ	listen
,	,	,
the	DT	the
hand	NN	hand
by	IN	by
which	WDT	which
he	PP	he
or	CC	or
she	PP	she
grasps	VBZ	grasp
,	,	,
and	CC	and
the	DT	the
foot	NN	foot
by	IN	by
which	WDT	which
he	PP	he
or	CC	or
she	PP	she
walks	VBZ	walk
,	,	,
and	CC	and
the	DT	the
heart	NN	heart
by	IN	by
which	WDT	which
he	PP	he
or	CC	or
she	PP	she
understands	VBZ	understand
.	SENT	.
"	``	"
It	PP	it
is	VBZ	be
this	DT	this
merging	VBG	merge
of	IN	of
our	PP$	our
self	NN	self
with	IN	with
divinity	NN	divinity
that	WDT	that
is	VBZ	be
the	DT	the
lesson	NN	lesson
and	CC	and
purpose	NN	purpose
of	IN	of
our	PP$	our
spiritual	JJ	spiritual
path	NN	path
and	CC	and
all	DT	all
of	IN	of
our	PP$	our
faith	NN	faith
traditions	NNS	tradition
.	SENT	.
Muslims	NPS	Muslims
regard	VBP	regard
Jesus	NP	Jesus
as	IN	as
the	DT	the
master	NN	master
of	IN	of
Sufism	NP	<unknown>
,	,	,
the	DT	the
greatest	JJS	great
prophet	NN	prophet
and	CC	and
messenger	NN	messenger
who	WP	who
came	VBD	come
to	TO	to
emphasize	VB	emphasize
the	DT	the
spiritual	JJ	spiritual
path	NN	path
.	SENT	.
When	WRB	when
he	PP	he
says	VBZ	say
,	,	,
"	``	"
I	PP	I
am	VBP	be
the	DT	the
spirit	NN	spirit
,	,	,
and	CC	and
I	PP	I
am	VBP	be
the	DT	the
way	NN	way
,	,	,
"	''	"
and	CC	and
when	WRB	when
the	DT	the
prophet	NN	prophet
Muhammad	NP	Muhammad
said	VBD	say
,	,	,
"	``	"
Whoever	WP	whoever
has	VBZ	have
seen	VBN	see
me	PP	me
has	VBZ	have
seen	VBN	see
God	NP	God
,	,	,
"	``	"
it	PP	it
is	VBZ	be
because	IN	because
they	PP	they
became	VBD	become
so	RB	so
much	RB	much
an	DT	an
instrument	NN	instrument
of	IN	of
God	NP	God
,	,	,
they	PP	they
became	VBD	become
part	NN	part
of	IN	of
God	NP	God
'	POS	'
s	NN	S
team	NN	team
—	:	-
so	RB	so
that	DT	that
God	NP	God
'	POS	'
s	NN	S
will	NN	will
was	VBD	be
manifest	JJ	manifest
through	IN	through
them	PP	them
,	,	,
and	CC	and
they	PP	they
were	VBD	be
not	RB	not
acting	VBG	act
from	IN	from
their	PP$	their
own	JJ	own
selves	NNS	self
and	CC	and
their	PP$	their
own	JJ	own
egos	NNS	ego
.	SENT	.
Compassion	NN	compassion
on	IN	on
earth	NN	earth
is	VBZ	be
given	VBN	give
,	,	,
it	PP	it
is	VBZ	be
in	IN	in
us	PP	us
.	SENT	.
All	RB	all
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
is	VBZ	be
to	TO	to
get	VB	get
our	PP$	our
egos	NNS	ego
out	RP	out
of	IN	of
the	DT	the
way	NN	way
,	,	,
get	VB	get
our	PP$	our
egotism	NN	egotism
out	RP	out
of	IN	of
the	DT	the
way	NN	way
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
sure	JJ	sure
,	,	,
probably	RB	probably
all	RB	all
of	IN	of
you	PP	you
here	RB	here
,	,	,
or	CC	or
certainly	RB	certainly
the	DT	the
very	RB	very
vast	JJ	vast
majority	NN	majority
of	IN	of
you	PP	you
,	,	,
have	VBP	have
had	VBN	have
what	WP	what
you	PP	you
might	MD	might
call	VB	call
a	DT	a
spiritual	JJ	spiritual
experience	NN	experience
,	,	,
a	DT	a
moment	NN	moment
in	IN	in
your	PP$	your
lives	NNS	life
when	WRB	when
,	,	,
for	IN	for
a	DT	a
few	JJ	few
seconds	NNS	second
,	,	,
a	DT	a
minute	NN	minute
perhaps	RB	perhaps
,	,	,
the	DT	the
boundaries	NNS	boundary
of	IN	of
your	PP$	your
ego	NN	ego
dissolved	VBD	dissolve
.	SENT	.
And	CC	and
at	IN	at
that	DT	that
minute	NN	minute
,	,	,
you	PP	you
felt	VBD	feel
at	IN	at
one	CD	one
with	IN	with
the	DT	the
universe	NN	universe
—	:	-
one	CD	one
with	IN	with
that	DT	that
jug	NN	jug
of	IN	of
water	NN	water
,	,	,
one	CD	one
with	IN	with
every	DT	every
human	JJ	human
being	NN	being
,	,	,
one	CD	one
with	IN	with
the	DT	the
Creator	NN	creator
—	:	-
and	CC	and
you	PP	you
felt	VBD	feel
you	PP	you
were	VBD	be
in	IN	in
the	DT	the
presence	NN	presence
of	IN	of
power	NN	power
,	,	,
of	IN	of
awe	NN	awe
,	,	,
of	IN	of
the	DT	the
deepest	JJS	deep
love	NN	love
,	,	,
the	DT	the
deepest	JJS	deep
sense	NN	sense
of	IN	of
compassion	NN	compassion
and	CC	and
mercy	NN	mercy
that	IN	that
you	PP	you
have	VBP	have
ever	RB	ever
experienced	VBN	experience
in	IN	in
your	PP$	your
lives	NNS	life
.	SENT	.
That	DT	that
is	VBZ	be
a	DT	a
moment	NN	moment
which	WDT	which
is	VBZ	be
a	DT	a
gift	NN	gift
of	IN	of
God	NP	God
to	TO	to
us	PP	us
—	:	-
a	DT	a
gift	NN	gift
when	WRB	when
,	,	,
for	IN	for
a	DT	a
moment	NN	moment
,	,	,
he	PP	he
lifts	VBZ	lift
that	IN	that
boundary	NN	boundary
which	WDT	which
makes	VBZ	make
us	PP	us
insist	VBP	insist
on	IN	on
"	``	"
I	PP	I
,	,	,
I	PP	I
,	,	,
I	PP	I
,	,	,
me	PP	me
,	,	,
me	PP	me
,	,	,
me	PP	me
,	,	,
"	''	"
and	CC	and
instead	RB	instead
,	,	,
like	IN	like
the	DT	the
person	NN	person
in	IN	in
Rumi	NP	<unknown>
'	POS	'
s	NN	S
story	NN	story
,	,	,
we	PP	we
say	VBP	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
this	DT	this
is	VBZ	be
all	DT	all
you	PP	you
.	SENT	.
This	DT	this
is	VBZ	be
all	DT	all
you	PP	you
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
all	DT	all
us	PP	us
.	SENT	.
And	CC	and
us	PP	us
,	,	,
and	CC	and
I	PP	I
,	,	,
and	CC	and
us	PP	us
are	VBP	be
all	DT	all
part	NN	part
of	IN	of
you	PP	you
.	SENT	.
O	NP	O
,	,	,
Creator	NN	creator
!	SENT	!
O	NP	O
,	,	,
the	DT	the
Objective	NN	objective
!	SENT	!
The	DT	the
source	NN	source
of	IN	of
our	PP$	our
being	NN	being
and	CC	and
the	DT	the
end	NN	end
of	IN	of
our	PP$	our
journey	NN	journey
,	,	,
you	PP	you
are	VBP	be
also	RB	also
the	DT	the
breaker	NN	breaker
of	IN	of
our	PP$	our
hearts	NNS	heart
.	SENT	.
You	PP	you
are	VBP	be
the	DT	the
one	CD	one
whom	WP	whom
we	PP	we
should	MD	should
all	RB	all
be	VB	be
towards	IN	towards
,	,	,
for	IN	for
whose	WP$	whose
purpose	NN	purpose
we	PP	we
live	VBP	live
,	,	,
and	CC	and
for	IN	for
whose	WP$	whose
purpose	NN	purpose
we	PP	we
shall	MD	shall
die	VB	die
,	,	,
and	CC	and
for	IN	for
whose	WP$	whose
purpose	NN	purpose
we	PP	we
shall	MD	shall
be	VB	be
resurrected	VBN	resurrect
again	RB	again
to	TO	to
account	VB	account
to	TO	to
God	NP	God
to	TO	to
what	WDT	what
extent	NN	extent
we	PP	we
have	VBP	have
been	VBN	be
compassionate	JJ	compassionate
beings	NNS	being
.	SENT	.
"	``	"
Our	PP$	our
message	NN	message
today	NN	today
,	,	,
and	CC	and
our	PP$	our
purpose	NN	purpose
today	NN	today
,	,	,
and	CC	and
those	DT	those
of	IN	of
you	PP	you
who	WP	who
are	VBP	be
here	RB	here
today	NN	today
,	,	,
and	CC	and
the	DT	the
purpose	NN	purpose
of	IN	of
this	DT	this
charter	NN	charter
of	IN	of
compassion	NN	compassion
,	,	,
is	VBZ	be
to	TO	to
remind	VB	remind
.	SENT	.
For	IN	for
the	DT	the
Koran	NN	Koran
always	RB	always
urges	VBZ	urge
us	PP	us
to	TO	to
remember	VB	remember
,	,	,
to	TO	to
remind	VB	remind
each	DT	each
other	JJ	other
,	,	,
because	IN	because
the	DT	the
knowledge	NN	knowledge
of	IN	of
truth	NN	truth
is	VBZ	be
within	IN	within
every	DT	every
human	NN	human
being	VBG	be
.	SENT	.
We	PP	we
know	VBP	know
it	PP	it
all	DT	all
.	SENT	.
We	PP	we
have	VBP	have
access	NN	access
to	TO	to
it	PP	it
all	DT	all
.	SENT	.
Jung	NP	Jung
may	MD	may
have	VB	have
called	VBN	call
it	PP	it
"	``	"
the	DT	the
subconscious	NN	subconscious
.	SENT	.
"	''	"
Through	IN	through
our	PP$	our
subconscious	NN	subconscious
,	,	,
in	IN	in
your	PP$	your
dreams	NNS	dream
—	:	-
the	DT	the
Koran	NN	Koran
calls	VBZ	call
our	PP$	our
state	NN	state
of	IN	of
sleep	NN	sleep
"	''	"
the	DT	the
lesser	JJR	lesser
death	NN	death
,	,	,
"	''	"
"	''	"
the	DT	the
temporary	JJ	temporary
death	NN	death
"	''	"
—	:	-
in	IN	in
our	PP$	our
state	NN	state
of	IN	of
sleep	NN	sleep
we	PP	we
have	VBP	have
dreams	NNS	dream
,	,	,
we	PP	we
have	VBP	have
visions	NNS	vision
,	,	,
we	PP	we
travel	VBP	travel
even	RB	even
outside	JJ	outside
of	IN	of
our	PP$	our
bodies	NNS	body
,	,	,
for	IN	for
many	JJ	many
of	IN	of
us	PP	us
,	,	,
and	CC	and
we	PP	we
see	VBP	see
wonderful	JJ	wonderful
things	NNS	thing
.	SENT	.
We	PP	we
travel	VBP	travel
beyond	IN	beyond
the	DT	the
limitations	NNS	limitation
of	IN	of
space	NN	space
as	IN	as
we	PP	we
know	VBP	know
it	PP	it
,	,	,
and	CC	and
beyond	IN	beyond
the	DT	the
limitations	NNS	limitation
of	IN	of
time	NN	time
as	IN	as
we	PP	we
know	VBP	know
it	PP	it
.	SENT	.
But	CC	but
all	PDT	all
this	DT	this
is	VBZ	be
for	IN	for
us	PP	us
to	TO	to
glorify	VB	glorify
the	DT	the
name	NN	name
of	IN	of
the	DT	the
creator	NN	creator
whose	WP$	whose
primary	JJ	primary
name	NN	name
is	VBZ	be
the	DT	the
compassionating	NN	<unknown>
,	,	,
the	DT	the
compassionate	JJ	compassionate
.	SENT	.
God	NP	God
,	,	,
Bokh	NP	<unknown>
,	,	,
whatever	WDT	whatever
name	NN	name
you	PP	you
want	VBP	want
to	TO	to
call	VB	call
him	PP	him
with	IN	with
,	,	,
Allah	NP	Allah
,	,	,
Ram	NP	Ram
,	,	,
Om	NP	Om
,	,	,
whatever	WDT	whatever
the	DT	the
name	NN	name
might	MD	might
be	VB	be
through	IN	through
which	WDT	which
you	PP	you
name	VBP	name
or	CC	or
access	VBP	access
the	DT	the
presence	NN	presence
of	IN	of
divinity	NN	divinity
,	,	,
it	PP	it
is	VBZ	be
the	DT	the
locus	NN	locus
of	IN	of
absolute	JJ	absolute
being	NN	being
,	,	,
absolute	JJ	absolute
love	NN	love
and	CC	and
mercy	NN	mercy
and	CC	and
compassion	NN	compassion
,	,	,
and	CC	and
absolute	JJ	absolute
knowledge	NN	knowledge
and	CC	and
wisdom	NN	wisdom
,	,	,
what	WDT	what
Hindus	NNS	Hindu
call	VBP	call
"	``	"
satchidananda	NN	<unknown>
.	SENT	.
"	''	"
The	DT	the
language	NN	language
differs	VBZ	differ
,	,	,
but	CC	but
the	DT	the
objective	NN	objective
is	VBZ	be
the	DT	the
same	JJ	same
.	SENT	.
Rumi	NP	<unknown>
has	VBZ	have
another	DT	another
story	NN	story
about	IN	about
three	CD	three
men	NNS	man
,	,	,
a	DT	a
Turk	NP	Turk
,	,	,
an	DT	an
Arab	NN	Arab
and	CC	and
—	:	-
and	CC	and
I	PP	I
forget	VBP	forget
the	DT	the
third	JJ	third
person	NN	person
,	,	,
but	CC	but
for	IN	for
my	PP$	my
sake	NN	sake
,	,	,
it	PP	it
could	MD	could
be	VB	be
a	DT	a
Malay	NN	Malay
.	SENT	.
One	PP	one
is	VBZ	be
asking	VBG	ask
for	IN	for
angur	NN	<unknown>
—	:	-
one	PP	one
is	VBZ	be
,	,	,
say	VB	say
,	,	,
an	DT	an
Englishman	NN	Englishman
—	:	-
one	PP	one
is	VBZ	be
asking	VBG	ask
for	IN	for
eneb	NN	<unknown>
,	,	,
and	CC	and
one	PP	one
is	VBZ	be
