Tyler	NP	Tyler
ones	NNS	one
—	:	-
and	CC	and
,	,	,
of	IN	of
course	NN	course
,	,	,
now	RB	now
I	NP	I
'	POS	'
m	NN	m
even	RB	even
further	RBR	further
away	RB	away
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
14	CD	@card@
,	,	,
I	PP	I
escaped	VBD	escape
from	IN	from
Tibet	NP	Tibet
and	CC	and
became	VBD	become
even	RB	even
further	RBR	further
removed	VBN	remove
from	IN	from
my	PP$	my
mother	NN	mother
and	CC	and
father	NN	father
,	,	,
my	PP$	my
relatives	NNS	relative
,	,	,
my	PP$	my
friends	NNS	friend
and	CC	and
my	PP$	my
homeland	NN	homeland
.	SENT	.
But	CC	but
nevertheless	RB	nevertheless
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
real	JJ	real
sense	NN	sense
of	IN	of
separation	NN	separation
from	IN	from
me	PP	me
in	IN	in
my	PP$	my
heart	NN	heart
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
love	NN	love
that	IN	that
I	PP	I
feel	VBP	feel
for	IN	for
these	DT	these
people	NNS	people
.	SENT	.
I	PP	I
feel	VBP	feel
,	,	,
still	RB	still
,	,	,
a	DT	a
very	RB	very
strong	JJ	strong
connection	NN	connection
of	IN	of
love	NN	love
for	IN	for
all	DT	all
of	IN	of
these	DT	these
people	NNS	people
and	CC	and
for	IN	for
the	DT	the
land	NN	land
.	SENT	.
TD	NP	TD
:	:	:
And	CC	and
I	PP	I
still	RB	still
do	VBP	do
get	VB	get
to	TO	to
keep	VB	keep
in	IN	in
touch	NN	touch
with	IN	with
my	PP$	my
mother	NN	mother
and	CC	and
father	NN	father
,	,	,
albeit	IN	albeit
infrequently	RB	infrequently
.	SENT	.
I	PP	I
talk	VBP	talk
to	TO	to
my	PP$	my
mother	NN	mother
once	RB	once
in	IN	in
a	DT	a
blue	JJ	blue
moon	NN	moon
on	IN	on
the	DT	the
telephone	NN	telephone
.	SENT	.
And	CC	and
my	PP$	my
experience	NN	experience
is	VBZ	be
that	IN	that
,	,	,
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
to	TO	to
her	PP	her
,	,	,
with	IN	with
every	DT	every
second	NN	second
that	WDT	that
passes	VBZ	pass
during	IN	during
our	PP$	our
conversation	NN	conversation
,	,	,
the	DT	the
feeling	NN	feeling
of	IN	of
love	NN	love
that	WDT	that
binds	VBZ	bind
us	PP	us
is	VBZ	be
bringing	VBG	bring
us	PP	us
closer	RBR	closer
and	CC	and
closer	RBR	closer
together	RB	together
.	SENT	.
TD	NP	TD
:	:	:
So	RB	so
those	DT	those
were	VBD	be
just	RB	just
a	DT	a
few	JJ	few
remarks	NNS	remark
about	IN	about
my	PP$	my
personal	JJ	personal
background	NN	background
.	SENT	.
And	CC	and
in	IN	in
terms	NNS	term
of	IN	of
other	JJ	other
things	NNS	thing
that	IN	that
I	PP	I
wanted	VBD	want
to	TO	to
share	VB	share
with	IN	with
you	PP	you
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
ideas	NNS	idea
,	,	,
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
wonderful	JJ	wonderful
to	TO	to
have	VB	have
a	DT	a
situation	NN	situation
like	IN	like
this	DT	this
,	,	,
where	WRB	where
so	RB	so
many	JJ	many
people	NNS	people
from	IN	from
different	JJ	different
backgrounds	NNS	background
and	CC	and
places	NNS	place
can	MD	can
come	VB	come
together	RB	together
,	,	,
exchange	VB	exchange
their	PP$	their
ideas	NNS	idea
and	CC	and
form	NN	form
relationships	NNS	relationship
of	IN	of
friendship	NN	friendship
with	IN	with
each	DT	each
other	JJ	other
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	NNS	<unknown>
symbolic	JJ	symbolic
of	IN	of
what	WP	what
we	PP	we
'	POS	'
re	NN	re
seeing	VBG	see
in	IN	in
the	DT	the
world	NN	world
in	IN	in
general	JJ	general
,	,	,
that	IN	that
the	DT	the
world	NN	world
is	VBZ	be
becoming	VBG	become
smaller	JJR	small
and	CC	and
smaller	JJR	small
,	,	,
and	CC	and
that	IN	that
all	DT	all
of	IN	of
the	DT	the
peoples	NNS	people
in	IN	in
the	DT	the
world	NN	world
are	VBP	be
enjoying	VBG	enjoy
more	JJR	more
opportunities	NNS	opportunity
for	IN	for
connection	NN	connection
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
wonderful	JJ	wonderful
,	,	,
but	CC	but
we	PP	we
should	MD	should
also	RB	also
remember	VB	remember
that	IN	that
we	PP	we
should	MD	should
have	VB	have
a	DT	a
similar	JJ	similar
process	NN	process
happening	VBG	happen
on	IN	on
the	DT	the
inside	NN	inside
.	SENT	.
Along	IN	along
with	IN	with
outward	JJ	outward
development	NN	development
and	CC	and
increase	NN	increase
of	IN	of
opportunity	NN	opportunity
,	,	,
there	EX	there
should	MD	should
be	VB	be
inward	JJ	inward
development	NN	development
and	CC	and
deepening	VBG	deepen
of	IN	of
our	PP$	our
heart	NN	heart
connections	NNS	connection
as	RB	as
well	RB	well
as	IN	as
our	PP$	our
outward	JJ	outward
connections	NNS	connection
.	SENT	.
So	RB	so
we	PP	we
spoke	VBD	speak
and	CC	and
we	PP	we
heard	VBD	hear
some	RB	some
about	RB	about
design	VB	design
this	DT	this
week	NN	week
.	SENT	.
I	PP	I
think	VBP	think
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
important	JJ	important
for	IN	for
us	PP	us
to	TO	to
remember	VB	remember
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
keep	VB	keep
pushing	VBG	push
forward	RB	forward
on	IN	on
the	DT	the
endeavor	NN	endeavor
of	IN	of
the	DT	the
design	NN	design
of	IN	of
the	DT	the
heart	NN	heart
.	SENT	.
We	PP	we
heard	VBD	hear
a	DT	a
lot	NN	lot
about	IN	about
technology	NN	technology
this	DT	this
week	NN	week
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
important	JJ	important
for	IN	for
us	PP	us
to	TO	to
remember	VB	remember
to	TO	to
invest	VB	invest
a	DT	a
lot	NN	lot
of	IN	of
our	PP$	our
energy	NN	energy
in	IN	in
improving	VBG	improve
the	DT	the
technology	NN	technology
of	IN	of
the	DT	the
heart	NN	heart
.	SENT	.
TD	NP	TD
:	:	:
So	RB	so
,	,	,
even	RB	even
though	IN	though
I	PP	I
'	POS	'
m	NN	m
somewhat	RB	somewhat
happy	JJ	happy
about	IN	about
the	DT	the
wonderful	JJ	wonderful
developments	NNS	development
that	WDT	that
are	VBP	be
happening	VBG	happen
in	IN	in
the	DT	the
world	NN	world
,	,	,
still	RB	still
,	,	,
I	PP	I
feel	VBP	feel
a	DT	a
sense	NN	sense
of	IN	of
impediment	NN	impediment
,	,	,
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
the	DT	the
ability	NN	ability
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
connect	VB	connect
with	IN	with
each	DT	each
other	JJ	other
on	IN	on
a	DT	a
heart-to-heart	NN	heart-to-heart
,	,	,
or	CC	or
a	DT	a
mind-to-mind	NN	<unknown>
,	,	,
level	NN	level
.	SENT	.
I	PP	I
feel	VBP	feel
that	IN	that
there	EX	there
are	VBP	be
some	DT	some
things	NNS	thing
that	WDT	that
are	VBP	be
getting	VBG	get
in	IN	in
the	DT	the
way	NN	way
.	SENT	.
TC	NP	TC
:	:	:
My	PP$	my
relationship	NN	relationship
to	TO	to
this	DT	this
concept	NN	concept
of	IN	of
heart-to-heart	JJ	heart-to-heart
connection	NN	connection
,	,	,
or	CC	or
mind-to-	NN	<unknown>
mind	NN	mind
connection	NN	connection
,	,	,
is	VBZ	be
an	DT	an
interesting	JJ	interesting
one	CD	one
,	,	,
because	RB	because
,	,	,
as	IN	as
a	DT	a
spiritual	JJ	spiritual
leader	NN	leader
,	,	,
I	PP	I
'	POS	'
m	NN	m
always	RB	always
attempting	VBG	attempt
to	TO	to
open	VB	open
my	PP$	my
heart	NN	heart
to	TO	to
others	NNS	other
and	CC	and
offer	VB	offer
myself	PP	myself
up	RP	up
for	IN	for
heart-to-	NN	<unknown>
heart	NN	heart
and	CC	and
mind-to-mind	NN	<unknown>
connections	NNS	connection
in	IN	in
a	DT	a
genuine	JJ	genuine
way	NN	way
with	IN	with
other	JJ	other
people	NNS	people
,	,	,
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
always	RB	always
been	VBN	be
advised	VBN	advise
that	IN	that
I	PP	I
need	VBP	need
to	TO	to
emphasize	VB	emphasize
intelligence	NN	intelligence
over	IN	over
the	DT	the
heart-to-heart	JJ	heart-to-heart
connections	NNS	connection
,	,	,
because	RB	because
,	,	,
being	JJ	being
someone	NN	someone
in	IN	in
a	DT	a
position	NN	position
like	IN	like
mine	NN	mine
,	,	,
if	IN	if
I	PP	I
don	NN	don
'	POS	'
t	NN	t
rely	VBP	rely
primarily	RB	primarily
on	IN	on
intelligence	NN	intelligence
,	,	,
then	RB	then
something	NN	something
dangerous	JJ	dangerous
may	MD	may
happen	VB	happen
to	TO	to
me	PP	me
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
an	DT	an
interesting	JJ	interesting
paradox	NN	paradox
at	IN	at
play	NN	play
there	RB	there
.	SENT	.
But	CC	but
I	PP	I
had	VBD	have
a	DT	a
really	RB	really
striking	JJ	striking
experience	NN	experience
once	RB	once
,	,	,
when	WRB	when
a	DT	a
group	NN	group
from	IN	from
Afghanistan	NP	Afghanistan
came	VBD	come
to	TO	to
visit	VB	visit
me	PP	me
,	,	,
and	CC	and
we	PP	we
had	VBD	have
a	DT	a
really	RB	really
interesting	JJ	interesting
conversation	NN	conversation
.	SENT	.
TD	NP	TD
:	:	:
So	RB	so
we	PP	we
ended	VBD	end
up	RP	up
talking	VBG	talk
about	IN	about
the	DT	the
Bamiyan	NP	<unknown>
Buddhas	NNS	buddha
,	,	,
which	WDT	which
,	,	,
as	IN	as
you	PP	you
know	VBP	know
,	,	,
were	VBD	be
destroyed	VBN	destroy
some	DT	some
years	NNS	year
ago	RB	ago
in	IN	in
Afghanistan	NP	Afghanistan
.	SENT	.
But	CC	but
the	DT	the
basis	NN	basis
of	IN	of
our	PP$	our
conversation	NN	conversation
was	VBD	be
the	DT	the
different	JJ	different
approach	NN	approach
to	TO	to
spirituality	NN	spirituality
on	IN	on
the	DT	the
part	NN	part
of	IN	of
the	DT	the
Muslim	NN	Muslim
and	CC	and
Buddhist	NN	Buddhist
traditions	NNS	tradition
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
in	IN	in
Muslim	NP	Muslim
,	,	,
because	IN	because
of	IN	of
the	DT	the
teachings	NNS	teaching
around	IN	around
the	DT	the
concept	NN	concept
of	IN	of
idolatry	NN	idolatry
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
find	VB	find
as	IN	as
many	JJ	many
physical	JJ	physical
representations	NNS	representation
of	IN	of
divinity	NN	divinity
or	CC	or
of	IN	of
spiritual	JJ	spiritual
liberation	NN	liberation
as	IN	as
you	PP	you
do	VBP	do
in	IN	in
the	DT	the
Buddhist	NN	Buddhist
tradition	NN	tradition
,	,	,
where	WRB	where
,	,	,
of	IN	of
course	NN	course
,	,	,
there	EX	there
are	VBP	be
many	JJ	many
statues	NNS	statue
of	IN	of
the	DT	the
Buddha	NN	buddha
that	WDT	that
are	VBP	be
highly	RB	highly
revered	VBN	revere
.	SENT	.
So	RB	so
,	,	,
we	PP	we
were	VBD	be
talking	VBG	talk
about	IN	about
the	DT	the
differences	NNS	difference
between	IN	between
the	DT	the
traditions	NNS	tradition
and	CC	and
what	WP	what
many	JJ	many
people	NNS	people
perceived	VBN	perceive
as	IN	as
the	DT	the
tragedy	NN	tragedy
of	IN	of
the	DT	the
destruction	NN	destruction
of	IN	of
the	DT	the
Bamiyan	NP	<unknown>
Buddhas	NNS	buddha
,	,	,
but	CC	but
I	PP	I
offered	VBD	offer
the	DT	the
suggestion	NN	suggestion
that	IN	that
perhaps	RB	perhaps
we	PP	we
could	MD	could
look	VB	look
at	IN	at
this	DT	this
in	IN	in
a	DT	a
positive	JJ	positive
way	NN	way
.	SENT	.
What	WP	what
we	PP	we
saw	VBD	see
in	IN	in
the	DT	the
destruction	NN	destruction
of	IN	of
the	DT	the
Bamiyan	NP	<unknown>
Buddhas	NNS	buddha
was	VBD	be
the	DT	the
depletion	NN	depletion
of	IN	of
matter	NN	matter
,	,	,
some	DT	some
solid	JJ	solid
substance	NN	substance
falling	VBG	fall
down	RP	down
and	CC	and
disintegrating	VBG	disintegrate
.	SENT	.
Maybe	RB	maybe
we	PP	we
could	MD	could
look	VB	look
at	IN	at
that	WDT	that
to	TO	to
be	VB	be
more	RBR	more
similar	JJ	similar
to	TO	to
the	DT	the
falling	VBG	fall
of	IN	of
the	DT	the
Berlin	NP	Berlin
Wall	NP	Wall
,	,	,
where	WRB	where
a	DT	a
divide	NN	divide
that	WDT	that
had	VBD	have
kept	VBN	keep
two	CD	two
types	NNS	type
of	IN	of
people	NNS	people
apart	RB	apart
had	VBD	have
collapsed	VBN	collapse
and	CC	and
opened	VBN	open
up	RP	up
a	DT	a
door	NN	door
for	IN	for
further	JJR	further
communication	NN	communication
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
that	IN	that
,	,	,
in	IN	in
this	DT	this
way	NN	way
,	,	,
it	PP	it
'	POS	'
s	NN	S
always	RB	always
possible	JJ	possible
for	IN	for
us	PP	us
to	TO	to
derive	VB	derive
something	NN	something
positive	NN	positive
that	WDT	that
can	MD	can
help	VB	help
us	PP	us
understand	VB	understand
one	PP	one
another	DT	another
better	RBR	well
.	SENT	.
TD	NP	TD
:	:	:
So	RB	so
,	,	,
with	IN	with
regard	NN	regard
to	TO	to
the	DT	the
development	NN	development
that	IN	that
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
talking	VBG	talk
about	RB	about
here	RB	here
at	IN	at
this	DT	this
conference	NN	conference
,	,	,
I	PP	I
really	RB	really
feel	VBP	feel
that	IN	that
the	DT	the
development	NN	development
that	IN	that
we	PP	we
make	VBP	make
shouldn	NP	<unknown>
'	POS	'
t	NN	t
create	VB	create
a	DT	a
further	JJR	further
burden	NN	burden
for	IN	for
us	PP	us
as	IN	as
human	JJ	human
beings	NNS	being
,	,	,
but	CC	but
should	MD	should
be	VB	be
used	VBN	use
to	TO	to
improve	VB	improve
our	PP$	our
fundamental	JJ	fundamental
lifestyle	NN	lifestyle
of	IN	of
how	WRB	how
we	PP	we
live	VBP	live
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
TD	NP	TD
:	:	:
Of	IN	of
course	NN	course
,	,	,
I	PP	I
rejoice	VBP	rejoice
in	IN	in
the	DT	the
development	NN	development
and	CC	and
the	DT	the
growth	NN	growth
and	CC	and
the	DT	the
rise	NN	rise
of	IN	of
the	DT	the
noble	JJ	noble
land	NN	land
of	IN	of
India	NP	India
,	,	,
the	DT	the
great	JJ	great
country	NN	country
of	IN	of
India	NP	India
,	,	,
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
I	PP	I
think	VBP	think
,	,	,
as	IN	as
some	DT	some
of	IN	of
us	PP	us
have	VBP	have
acknowledged	VBN	acknowledge
,	,	,
we	PP	we
need	VBP	need
to	TO	to
be	VB	be
aware	JJ	aware
that	IN	that
some	DT	some
aspects	NNS	aspect
of	IN	of
this	DT	this
rise	NN	rise
are	VBP	be
coming	VBG	come
at	IN	at
the	DT	the
cost	NN	cost
of	IN	of
the	DT	the
very	JJ	very
ground	NN	ground
on	IN	on
which	WDT	which
we	PP	we
stand	VBP	stand
.	SENT	.
So	RB	so
,	,	,
as	IN	as
we	PP	we
are	VBP	be
climbing	VBG	climb
the	DT	the
tree	NN	tree
,	,	,
some	DT	some
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
in	IN	in
order	NN	order
to	TO	to
climb	VB	climb
the	DT	the
tree	NN	tree
are	VBP	be
actually	RB	actually
undermining	VBG	undermine
the	DT	the
tree	NN	tree
'	POS	'
s	NNS	<unknown>
very	RB	very
root	VBP	root
.	SENT	.
And	CC	and
so	RB	so
,	,	,
what	WP	what
I	PP	I
think	VBP	think
it	PP	it
comes	VBZ	come
down	RP	down
to	TO	to
is	VBZ	be
a	DT	a
question	NN	question
of	IN	of
,	,	,
not	RB	not
only	RB	only
having	VBG	have
information	NN	information
of	IN	of
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
,	,	,
but	CC	but
paying	VBG	pay
attention	NN	attention
to	TO	to
that	DT	that
and	CC	and
letting	VBG	let
that	DT	that
shift	NN	shift
our	PP$	our
motivation	NN	motivation
to	TO	to
become	VB	become
more	RBR	more
sincere	JJ	sincere
and	CC	and
genuinely	RB	genuinely
positive	JJ	positive
.	SENT	.
We	PP	we
have	VBP	have
hear	VB	hear
,	,	,
this	DT	this
week	NN	week
,	,	,
about	IN	about
the	DT	the
horrible	JJ	horrible
sufferings	NNS	suffering
,	,	,
for	IN	for
example	NN	example
,	,	,
that	WDT	that
so	IN	so
many	JJ	many
women	NNS	woman
of	IN	of
the	DT	the
world	NN	world
are	VBP	be
enduring	VBG	endure
day-to-day	JJ	day-to-day
.	SENT	.
We	PP	we
have	VBP	have
that	DT	that
information	NN	information
,	,	,
but	CC	but
what	WP	what
often	RB	often
happens	VBZ	happen
to	TO	to
us	PP	us
is	VBZ	be
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
really	RB	really
choose	VBP	choose
to	TO	to
pay	VB	pay
attention	NN	attention
to	TO	to
it	PP	it
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
really	RB	really
choose	VBP	choose
to	TO	to
allow	VB	allow
that	IN	that
to	TO	to
cause	VB	cause
there	RB	there
to	TO	to
be	VB	be
a	DT	a
shift	NN	shift
in	IN	in
our	PP$	our
hearts	NNS	heart
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
the	DT	the
way	NN	way
forward	RB	forward
for	IN	for
the	DT	the
world	NN	world
—	:	-
one	CD	one
that	WDT	that
will	MD	will
bring	VB	bring
the	DT	the
path	NN	path
of	IN	of
outer	JJ	outer
development	NN	development
in	IN	in
harmony	NN	harmony
with	IN	with
the	DT	the
real	JJ	real
root	NN	root
of	IN	of
happiness	NN	happiness
—	:	-
is	VBZ	be
that	IN	that
we	PP	we
allow	VBP	allow
the	DT	the
information	NN	information
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
really	RB	really
make	VB	make
a	DT	a
change	NN	change
in	IN	in
our	PP$	our
heart	NN	heart
.	SENT	.
TD	NP	TD
:	:	:
So	RB	so
I	PP	I
think	VBP	think
that	IN	that
sincere	JJ	sincere
motivation	NN	motivation
is	VBZ	be
very	RB	very
important	JJ	important
for	IN	for
our	PP$	our
future	JJ	future
well-	NN	<unknown>
being	VBG	be
,	,	,
or	CC	or
deep	JJ	deep
sense	NN	sense
of	IN	of
well-being	NN	well-being
as	IN	as
humans	NNS	human
,	,	,
and	CC	and
I	PP	I
think	VBP	think
that	IN	that
means	NNS	mean
sinking	VBG	sink
in	IN	in
to	TO	to
whatever	WDT	whatever
it	PP	it
is	VBZ	be
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
now	RB	now
.	SENT	.
Whatever	WDT	whatever
work	VBP	work
you	PP	you
'	''	'
re	IN	re
trying	VBG	try
to	TO	to
do	VB	do
now	RB	now
to	TO	to
benefit	VB	benefit
the	DT	the
world	NN	world
,	,	,
sink	NN	sink
into	IN	into
that	DT	that
,	,	,
get	VB	get
a	DT	a
full	JJ	full
taste	NN	taste
of	IN	of
that	DT	that
.	SENT	.
TD	NP	TD
:	:	:
So	RB	so
,	,	,
since	IN	since
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
here	RB	here
this	DT	this
week	NN	week
,	,	,
we	PP	we
