Some	DT	some
in	IN	in
vermi	NN	<unknown>
manure	NN	manure
,	,	,
which	WDT	which
is	VBZ	be
sterile	JJ	sterile
,	,	,
or	CC	or
hydroponics	NNS	hydroponics
,	,	,
and	CC	and
take	VB	take
them	PP	them
outdoors	RB	outdoors
every	DT	every
three	CD	three
to	TO	to
four	CD	four
months	NNS	month
.	SENT	.
The	DT	the
second	JJ	second
plant	NN	plant
is	VBZ	be
Mother-in-law	NN	mother-in-law
'	POS	'
s	JJ	<unknown>
Tongue	NP	Tongue
,	,	,
which	WDT	which
is	VBZ	be
again	RB	again
a	DT	a
very	RB	very
common	JJ	common
plant	NN	plant
,	,	,
and	CC	and
we	PP	we
call	VBP	call
it	PP	it
a	DT	a
bedroom	NN	bedroom
plant	NN	plant
,	,	,
because	IN	because
it	PP	it
converts	VBZ	convert
CO2	NN	<unknown>
into	IN	into
oxygen	NN	oxygen
at	IN	at
night	NN	night
.	SENT	.
And	CC	and
we	PP	we
need	VBP	need
six	CD	six
to	TO	to
eight	CD	eight
waist-high	JJ	waist-high
plants	NNS	plant
per	IN	per
person	NN	person
.	SENT	.
The	DT	the
third	JJ	third
plant	NN	plant
is	VBZ	be
money	NN	money
plant	NN	plant
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
again	RB	again
a	DT	a
very	RB	very
common	JJ	common
plant	NN	plant
;	:	;
preferably	RB	preferably
grows	VBZ	grow
in	IN	in
hydroponics	NNS	hydroponics
.	SENT	.
And	CC	and
this	DT	this
particular	JJ	particular
plant	NN	plant
removes	VBZ	remove
formaldehydes	NNS	formaldehyde
and	CC	and
other	JJ	other
volatile	JJ	volatile
chemicals	NNS	chemical
.	SENT	.
With	IN	with
these	DT	these
three	CD	three
plants	NNS	plant
,	,	,
you	PP	you
can	MD	can
grow	VB	grow
all	PDT	all
the	DT	the
fresh	JJ	fresh
air	NN	air
you	PP	you
need	VBP	need
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
you	PP	you
could	MD	could
be	VB	be
in	IN	in
a	DT	a
bottle	NN	bottle
with	IN	with
a	DT	a
cap	NN	cap
on	IN	on
top	NN	top
,	,	,
and	CC	and
you	PP	you
would	MD	would
not	RB	not
die	VB	die
at	IN	at
all	DT	all
,	,	,
and	CC	and
you	PP	you
would	MD	would
not	RB	not
need	VB	need
any	DT	any
fresh	JJ	fresh
air	NN	air
.	SENT	.
We	PP	we
have	VBP	have
tried	VBN	try
these	DT	these
plants	NNS	plant
at	IN	at
our	PP$	our
own	JJ	own
building	NN	building
in	IN	in
Delhi	NP	Delhi
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
50	CD	@card@
,	,	,
000-square-feet	NN	000-square-feet
,	,	,
20-year-old	JJ	20-year-old
building	NN	building
.	SENT	.
And	CC	and
it	PP	it
has	VBZ	have
close	RB	close
to	TO	to
1	CD	@card@
,	,	,
200	CD	@card@
such	JJ	such
plants	NNS	plant
for	IN	for
300	CD	@card@
occupants	NNS	occupant
.	SENT	.
Our	PP$	our
studies	NNS	study
have	VBP	have
found	VBN	find
that	IN	that
there	EX	there
is	VBZ	be
a	DT	a
42	CD	@card@
percent	NN	percent
probability	NN	probability
of	IN	of
one	CD	one
'	POS	'
s	JJ	<unknown>
blood	NN	blood
oxygen	NN	oxygen
going	VBG	go
up	RP	up
by	IN	by
one	CD	one
percent	NN	percent
if	IN	if
one	CD	one
stays	NNS	stays
indoors	RB	indoors
in	IN	in
this	DT	this
building	NN	building
for	IN	for
10	CD	@card@
hours	NNS	hour
.	SENT	.
The	DT	the
government	NN	government
of	IN	of
India	NP	India
has	VBZ	have
discovered	VBN	discover
or	CC	or
published	VBN	publish
a	DT	a
study	NN	study
to	TO	to
show	VB	show
that	IN	that
this	DT	this
is	VBZ	be
the	DT	the
healthiest	JJS	healthy
building	NN	building
in	IN	in
New	NP	New
Delhi	NP	Delhi
.	SENT	.
And	CC	and
the	DT	the
study	NN	study
showed	VBD	show
that	IN	that
,	,	,
compared	VBN	compare
to	TO	to
other	JJ	other
buildings	NNS	building
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
reduced	VBN	reduce
incidence	NN	incidence
of	IN	of
eye	NN	eye
irritation	NN	irritation
by	IN	by
52	CD	@card@
percent	NN	percent
,	,	,
respiratory	JJ	respiratory
systems	NNS	system
by	IN	by
34	CD	@card@
percent	NN	percent
,	,	,
headaches	NNS	headache
by	IN	by
24	CD	@card@
percent	NN	percent
,	,	,
lung	NN	lung
impairment	NN	impairment
by	IN	by
12	CD	@card@
percent	NN	percent
and	CC	and
asthma	NN	asthma
by	IN	by
nine	CD	nine
percent	NN	percent
.	SENT	.
And	CC	and
this	DT	this
study	NN	study
has	VBZ	have
been	VBN	be
published	VBN	publish
on	IN	on
September	NP	September
8	CD	@card@
,	,	,
2008	CD	@card@
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
available	JJ	available
on	IN	on
the	DT	the
government	NN	government
of	IN	of
India	NP	India
website	NN	website
.	SENT	.
Our	PP$	our
experience	NN	experience
points	NNS	point
to	TO	to
an	DT	an
amazing	JJ	amazing
increase	NN	increase
in	IN	in
human	JJ	human
productivity	NN	productivity
by	IN	by
over	RB	over
20	CD	@card@
percent	NN	percent
by	IN	by
using	VBG	use
these	DT	these
plants	NNS	plant
.	SENT	.
And	CC	and
also	RB	also
a	DT	a
reduction	NN	reduction
in	IN	in
energy	NN	energy
requirements	NNS	requirement
in	IN	in
buildings	NNS	building
by	IN	by
an	DT	an
outstanding	JJ	outstanding
15	CD	@card@
percent	NN	percent
,	,	,
because	IN	because
you	PP	you
need	VBP	need
less	RBR	less
fresh	JJ	fresh
air	NN	air
.	SENT	.
We	PP	we
are	VBP	be
now	RB	now
replicating	VBG	replicate
this	DT	this
in	IN	in
a	DT	a
1	CD	@card@
.	SENT	.
75-million-square-feet	JJ	<unknown>
building	NN	building
,	,	,
which	WDT	which
will	MD	will
have	VB	have
60	CD	@card@
,	,	,
000	CD	@card@
indoor	JJ	indoor
plants	NNS	plant
.	SENT	.
Why	WRB	why
is	VBZ	be
this	DT	this
important	JJ	important
?	SENT	?
It	PP	it
is	VBZ	be
also	RB	also
important	JJ	important
for	IN	for
the	DT	the
environment	NN	environment
,	,	,
because	IN	because
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
energy	NN	energy
requirements	NNS	requirement
are	VBP	be
expected	VBN	expect
to	TO	to
grow	VB	grow
by	IN	by
30	CD	@card@
percent	NN	percent
in	IN	in
the	DT	the
next	JJ	next
decade	NN	decade
.	SENT	.
40	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
world	NN	world
'	POS	'
s	NN	S
energy	NN	energy
is	VBZ	be
taken	VBN	take
up	RP	up
by	IN	by
buildings	NNS	building
currently	RB	currently
,	,	,
and	CC	and
60	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
world	NN	world
'	POS	'
s	NN	S
population	NN	population
will	MD	will
be	VB	be
living	VBG	live
in	IN	in
buildings	NNS	building
in	IN	in
cities	NNS	city
with	IN	with
a	DT	a
population	NN	population
of	IN	of
over	IN	over
one	CD	one
million	CD	million
in	IN	in
the	DT	the
next	JJ	next
15	CD	@card@
years	NNS	year
.	SENT	.
And	CC	and
there	EX	there
is	VBZ	be
a	DT	a
growing	VBG	grow
preference	NN	preference
for	IN	for
living	VBG	live
and	CC	and
working	VBG	work
in	IN	in
air-conditioned	JJ	air-conditioned
places	NNS	place
.	SENT	.
"	``	"
Be	VB	be
the	DT	the
change	NN	change
you	PP	you
want	VBP	want
to	TO	to
see	VB	see
in	IN	in
the	DT	the
world	NN	world
,	,	,
"	''	"
said	VBD	say
Mahatma	NN	Mahatma
Gandhi	NP	Gandhi
.	SENT	.
And	CC	and
thank	VB	thank
you	PP	you
for	IN	for
listening	VBG	listen
.	SENT	.
