So so
one-on-one one-on-one
. .
Or or
Henry henry
, ,
recently recently
retired retire
, ,
who who
cherishes cherish
time time
with with
his his
spouse spouse
and and
yet yet
feels feel
untethered untethered
without without
his his
team team
anymore anymore
and and
wishes wish
he he
could could
see see
his his
kids kid
and and
grandkids grandkid
more more
often often
. .
These these
stories story
show show
that that
social social
health health
is be
relevant relevant
to to
each each
of of
us us
at at
every every
life life
stage stage
. .
So so
if if
you you
' '
re re
not not
sure sure
where where
to to
start start
, ,
try try
the the
5-3-1 @card@
guideline guideline
from from
my my
book book
. .
It it
goes go
like like
this this
. .
Aim aim
to to
interact interact
with with
five five
different different
people people
each each
week week
, ,
to to
strengthen strengthen
at at
least least
three three
close close
relationships relationship
overall overall
, ,
and and
to to
spend spend
one one
hour hour
a a
day day
connecting connect
. .
Let let
' '
s s
dig dig
into into
these these
. .
So so
first first
, ,
interact interact
with with
five five
different different
people people
each each
week week
. .
Just just
like like
eating eat
a a
variety variety
of of
vegetables vegetable
and and
other other
food food
groups group
is be
more more
nutritious nutritious
, ,
research research
has have
shown show
that that
interacting interact
with with
a a
variety variety
of of
people people
is be
more more
rewarding rewarding
. .
So so
your your
five five
could could
include include
close close
loved love
ones one
, ,
casual casual
acquaintances acquaintance
, ,
even even
complete complete
strangers stranger
. .
In in
fact fact
, ,
in in
one one
study study
that that
I i
love love
, ,
people people
who who
just just
smiled smile
, ,
made make
eye eye
contact contact
and and
chit-chatted chit-chatted
with with
a a
barista barista
, ,
felt feel
happier happy
and and
a a
greater great
sense sense
of of
belonging belong
than than
people people
who who
just just
rushed rush
to to
get get
their their
coffee coffee
and and
go go
. .
Next next
, ,
strengthen strengthen
at at
least least
three three
close close
relationships relationship
. .
OK ok
, ,
we we
' '
ve ve
all all
heard hear
of of
a a
to-do to-do
list list
, ,
but but
I i
would would
like like
to to
invite invite
you you
to to
write write
a a
to-love to-love
list list
. .
Who who
matters matter
most most
to to
you you
? ?
Who who
can can
you you
be be
yourself yourself
with with
? ?
Make make
sure sure
that that
you you
invest invest
in in
the the
names name
of of
at at
least least
three three
of of
the the
people people
that that
you you
write write
down down
. .
By by
scheduling schedule
regular regular
time time
together together
, ,
by by
showing show
a a
genuine genuine
interest interest
in in
their their
lives life
, ,
and and
also also
by by
opening open
up up
about about
the the
experiences experience
that that
you you
' '
re re
going go
through through
. .
And and
I i
' '
m m
often often
asked ask
, ,
does do
it it
have have
to to
be be
in in
person person
? ?
Does do
texting texting
count count
? ?
Studies study
have have
shown show
that that
face-to-face face-to-face
is be
ideal ideal
, ,
so so
do do
that that
whenever whenever
possible possible
. .
But but
there there
are be
absolutely absolutely
still still
benefits benefit
to to
staying stay
connected connect
virtually virtually
. .
And and
last last
, ,
spend spend
one one
hour hour
a a
day day
on on
meaningful meaningful
connection connection
. .
OK ok
, ,
if if
you you
' '
re re
an an
introvert introvert
, ,
right right
now now
you you
' '
re re
probably probably
thinking think
one one
hour hour
sounds sound
like like
a a
lot lot
. .
I i
get get
it it
. .
It it
might might
be be
surprising surprising
, ,
but but
I i
' '
m m
actually actually
also also
an an
introvert introvert
. .
However however
, ,
keep keep
in in
mind mind
that that
just just
like like
getting get
eight eight
hours hour
of of
sleep sleep
at at
night night
, ,
the the
exact exact
amount amount
that that
' '
s s
right right
for for
you you
personally personally
might might
be be
higher high
or or
lower low
. .
But but
if if
you you
are be
thinking think
that that
one one
hour hour
a a
day day
sounds sound
like like
way way
too too
much much
because because
you you
' '
re re
just just
way way
too too
busy busy
, ,
I i
challenge challenge
you you
. .
Adults adult
in in
the the
US us
spend spend
an an
average average
of of
4 @card@
. .
5 @card@
hours hour
each each
day day
on on
their their
smartphones smartphone
. .
So so
instead instead
of of
scrolling scroll
on on
social social
media medium
, ,
text text
a a
friend friend
. .
Instead instead
of of
reading read
news news
headlines headline
, ,
write write
a a
thank-you thank-you
card card
. .
Instead instead
of of
listening listen
to to
a a
podcast podcast
, ,
call call
a a
family family
member member
. .
Maya maya
put put
this this
into into
practice practice
by by
scheduling schedule
recurring recur
hangouts hangout
with with
a a
new new
local local
friend friend
that that
she she
made make
, ,
by by
attending attend
community community
events event
and and
dropping drop
cards card
off off
in in
her her
neighbors neighbor
mailboxes mailbox
, ,
by by
planning plan
trips trip
to to
see see
family family
and and
inviting invite
friends friend
in in
other other
cities city
to to
come come
visit visit
. .
And and
bolstering bolster
her her
social social
health health
made make
more more
of of
a a
difference difference
than than
focusing focus
solely solely
on on
her her
physical physical
and and
mental mental
health health
ever ever
could could
. .
And and
I i
know know
this this
because because
Maya maya
is be
actually actually
me me
. .
I i
am be
so so
passionate passionate
about about
sharing share
tools tool
to to
be be
socially socially
healthy healthy
because because
honestly honestly
, ,
I i
need need
them them
too too
. .
And and
the the
5-3-1 @card@
guideline guideline
is be
one one
way way
that that
we we
can can
be be
proactive proactive
and and
intentional intentional
about about
our our
relationships relationship
. .
And and
that that
is be
really really
the the
point point
. .
Be be
proactive proactive
and and
intentional intentional
about about
your your
social social
health health
. .
So so
zooming zoom
out out
beyond beyond
the the
steps step
that that
you you
and and
I i
take take
individually individually
, ,
together together
, ,
we we
need need
to to
shape shape
a a
society society
that that
thrives thrive
through through
social social
health health
. .
Over over
the the
next next
decade decade
, ,
I i
envision envision
educators educator
championing champion
social social
health health
in in
schools school
. .
And and
just just
like like
kids kid
build build
their their
physical physical
muscles muscle
in in
gym gym
class class
, ,
they they
' '
ll ll
exercise exercise
their their
social social
muscles muscle
in in
connection connection
class class
. .
Over over
the the
next next
decade decade
, ,
I i
see see
our our
cities city
and and
neighborhoods neighborhood
being be
designed design
with with
social social
health health
in in
mind mind
, ,
where where
vibrant vibrant
gathering gathering
places place
foster foster
unity unity
and and
community community
builders builder
are be
empowered empower
to to
bring bring
them them
to to
life life
. .
Over over
the the
next next
decade decade
, ,
I i
believe believe
that that
social social
health health
will will
become become
as as
ingrained ingrained
in in
our our
collective collective
consciousness consciousness
as as
mental mental
health health
is be
today today
. .
Because because
not not
that that
long long
ago ago
, ,
mental mental
health health
was be
a a
taboo taboo
topic topic
shrouded shroud
in in
stigma stigma
. .
And and
now now
public public
figures figure
talk talk
openly openly
about about
it it
, ,
there there
' '
s s
an an
entire entire
industry industry
to to
support support
it it
, ,
and and
more more
and and
more more
people people
think think
of of
going go
to to
therapy therapy
like like
going go
to to
the the
gym gym
. .
In in
this this
future future
, ,
loneliness loneliness
will will
subside subside
, ,
just just
like like
smoking smoking
subsided subside
when when
we we
recognized recognize
and and
treated treat
it it
as as
a a
public public
health health
issue issue
. .
In in
this this
future future
, ,
I i
hope hope
that that
social social
health health
will will
become become
so so
deeply deeply
woven weave
into into
the the
fabric fabric
of of
our our
culture culture
that that
no no
one one
needs need
the the
5-3-1 @card@
guideline guideline
anymore anymore
. .
So so
to to
get get
there there
, ,
make make
relationships relationship
your your
priority priority
not not
only only
for for
you you
, ,
but but
also also
for for
the the
people people
you you
love love
. .
Because because
the the
beauty beauty
of of
nurturing nurture
your your
own own
social social
health health
is be
that that
it it
naturally naturally
enriches enrich
the the
social social
health health
of of
everyone everyone
you you
connect connect
with with
. .
Thank thank
you you
. .
