Hello hello
to to
understand understand
is be
that that
any any
number number
above above
one one
means mean
that that
this this
thing thing
is be
going go
to to
grow grow
. .
Any any
number number
below below
one one
means mean
it it
' '
s s
going go
to to
diminish diminish
. .
AK ak
: :
Exactly exactly
-- --
if if
you you
have have
it it
above above
one one
, ,
then then
each each
group group
of of
people people
infected infect
are be
going go
to to
be be
generating generate
more more
infection infection
than than
there there
was be
before before
. .
And and
you you
will will
see see
the the
exponential exponential
effect effect
, ,
so so
if if
it it
' '
s s
two two
, ,
you you
will will
be be
doubling double
every every
round round
of of
infection infection
, ,
and and
if if
it it
' '
s s
below below
one one
, ,
you you
' '
re re
going go
to to
get get
something something
that that
' '
s s
going go
to to
decline decline
, ,
on on
average average
. .
CA ca
: :
So so
that that
number number
two two
or or
higher high
, ,
I i
think think
everyone everyone
here here
is be
maybe maybe
familiar familiar
with with
the the
famous famous
story story
of of
the the
chessboard chessboard
and and
the the
grains grain
of of
rice rice
, ,
and and
if if
you you
double double
the the
number number
of of
grains grain
for for
every every
square square
of of
the the
chessboard chessboard
, ,
for for
the the
first first
10 @card@
or or
15 @card@
squares square
nothing nothing
much much
happens happen
, ,
but but
by by
the the
time time
you you
' '
ve ve
got get
to to
the the
64th 64th
square square
, ,
you you
suddenly suddenly
have have
tons ton
of of
rice rice
for for
every every
individual individual
on on
the the
planet planet
. .
Exponential exponential
growth growth
is be
an an
incredible incredible
thing thing
. .
And and
the the
small small
numbers number
now now
are be
really really
not not
what what
you you
should should
be be
paying pay
attention attention
to to
-- --
you you
should should
be be
paying pay
attention attention
to to
the the
models model
of of
what what
could could
be be
to to
come come
. .
AK ak
: :
Exactly exactly
. .
Obviously obviously
, ,
if if
you you
continue continue
the the
exponential exponential
growth growth
, ,
you you
do do
sometimes sometimes
get get
these these
incredibly incredibly
large large
, ,
maybe maybe
implausibly implausibly
large large
numbers number
. .
But but
even even
looking look
at at
a a
timescale timescale
of of
say say
, ,
a a
month month
, ,
if if
the the
reproduction reproduction
number number
is be
three three
, ,
each each
person person
is be
infecting infect
three three
on on
average average
. .
The the
gap gap
between between
these these
rounds round
of of
infection infection
is be
about about
five five
days day
. .
So so
if if
you you
imagine imagine
that that
you you
' '
ve ve
got get
one one
case case
now now
, ,
that that
' '
s s
, ,
kind kind
of of
, ,
six six
of of
these these
five-day five-day
steps step
in in
a a
month month
. .
So so
by by
the the
end end
of of
that that
month month
, ,
that that
one one
person person
could could
have have
generated generate
, ,
I i
think think
it it
works work
out out
at at
about about
729 @card@
cases case
. .
So so
even even
in in
a a
month month
, ,
just just
the the
scale scale
of of
this this
thing thing
can can
really really
shoot shoot
up up
if if
it it
' '
s s
not not
controlled control
. .
CA ca
: :
And and
so so
certainly certainly
, ,
that that
seems seem
to to
be be
happening happen
on on
most most
numbers number
that that
you you
look look
at at
now now
, ,
certainly certainly
where where
the the
virus virus
is be
in in
the the
early early
stages stage
of of
entering enter
a a
country country
. .
You you
' '
ve ve
given give
a a
model model
whereby whereby
we we
can can
much much
more more
clearly clearly
understand understand
this this
reproduction reproduction
number number
, ,
because because
it it
seems seem
to to
me me
this this
is be
almost almost
like like
the the
core core
to to
how how
we we
think think
of of
the the
virus virus
and and
how how
we we
respond respond
to to
it it
and and
how how
much much
we we
should should
fear fear
it it
, ,
almost almost
. .
And and
in in
your your
thinking thinking
, ,
you you
sort sort
of of
break break
it it
down down
into into
four four
components component
, ,
which which
you you
call call
DOTS dot
: :
Duration duration
, ,
Opportunities opportunity
, ,
Transmission transmission
probability probability
and and
Susceptibility susceptibility
. .
And and
I i
think think
it it
would would
be be
really really
helpful helpful
, ,
Adam adam
, ,
for for
you you
to to
just just
explain explain
each each
of of
these these
, ,
because because
it it
' '
s s
quite quite
a a
simple simple
equation equation
that that
links link
those those
four four
things thing
to to
the the
actual actual
reproduction reproduction
number number
. .
So so
talk talk
about about
them them
in in
turn turn
. .
Duration duration
, ,
what what
does do
that that
mean mean
? ?
AK ak
: :
Duration duration
measures measure
how how
long long
someone someone
is be
infectious infectious
for for
. .
If if
, ,
for for
example example
, ,
intuitively intuitively
, ,
if if
someone someone
is be
infectious infectious
for for
a a
longer long
period period
of of
time time
, ,
say say
, ,
twice twice
as as
long long
as as
someone someone
else else
, ,
then then
that that
' '
s s
twice twice
the the
length length
that that
they they
' '
ve ve
got get
to to
be be
spreading spread
infection infection
. .
CA ca
: :
And and
what what
is be
the the
duration duration
number number
for for
this this
virus virus
, ,
compared compare
with with
, ,
say say
, ,
flu flu
or or
with with
other other
pathogens pathogen
? ?
AK ak
: :
It it
depends depend
a a
little little
bit bit
on on
what what
happens happen
when when
people people
are be
infectious infectious
, ,
if if
they they
' '
re re
being be
isolated isolate
very very
quickly quickly
, ,
that that
shortens shorten
that that
period period
of of
time time
, ,
but but
potentially potentially
, ,
we we
' '
re re
looking look
at at
around around
a a
week week
people people
are be
effectively effectively
infectious infectious
before before
they they
might might
be be
isolated isolate
in in
hospital hospital
. .
CA ca
: :
And and
during during
that that
week week
, ,
they they
may may
not not
even even
be be
showing show
symptoms symptom
for for
that that
full full
week week
either either
, ,
right right
? ?
So so
someone someone
gets get
infected infect
, ,
there there
' '
s s
an an
incubation incubation
period period
. .
There there
' '
s s
a a
period period
some some
way way
into into
that that
incubation incubation
period period
where where
they they
start start
being be
infectious infectious
, ,
and and
there there
may may
be be
a a
period period
after after
that that
, ,
where where
they they
start start
to to
show show
symptoms symptom
, ,
and and
it it
' '
s s
not not
clear clear
, ,
quite quite
, ,
how how
those those
dates date
align align
. .
Is be
that that
right right
? ?
AK ak
: :
No no
, ,
we we
' '
re re
getting get
more more
information information
. .
One one
of of
the the
signals signal
we we
see see
in in
data datum
that that
suggest suggest
that that
you you
may may
have have
that that
early early
transmission transmission
going go
on on
is be
when when
you you
have have
this this
delay delay
from from
one one
infection infection
to to
the the
next next
. .
So so
that that
seems seem
to to
be be
around around
five five
days day
. .
That that
incubation incubation
period period
, ,
the the
time time
for for
symptoms symptom
to to
appear appear
, ,
is be
also also
about about
five five
days day
. .
So so
if if
you you
imagine imagine
that that
most most
people people
are be
only only
infecting infect
others other
when when
they they
' '
re re
symptomatic symptomatic
, ,
you you
' '
d d
have have
that that
incubation incubation
period period
and and
then then
you you
' '
d d
have have
some some
more more
time time
when when
they they
' '
re re
infecting infect
others other
. .
So so
the the
fact fact
that that
those those
values value
seem seem
to to
be be
similar similar
, ,
suggesting suggest
that that
some some
people people
are be
transmitting transmit
either either
very very
early early
on on
or or
potentially potentially
before before
they they
' '
re re
showing show
clear clear
symptoms symptom
. .
CA ca
: :
So so
almost almost
implies imply
that that
on on
average average
, ,
people people
are be
infecting infect
others other
as as
much much
before before
they they
show show
symptoms symptom
as as
after after
. .
AK ak
: :
Potentially potentially
. .
Obviously obviously
these these
are be
early early
data datum
sets set
, ,
but but
I i
think think
there there
' '
s s
good good
evidence evidence
that that
a a
fair fair
number number
of of
people people
, ,
either either
before before
they they
' '
re re
showing show
clear clear
symptoms symptom
or or
maybe maybe
they they
' '
re re
not not
showing show
the the
kind kind
of of
very very
distinctive distinctive
fever fever
and and
cough cough
but but
they they
' '
re re
feeling feel
unwell unwell
and and
they they
' '
re re
shedding shed
virus virus
during during
that that
period period
. .
CA ca
: :
And and
does do
that that
make make
it it
quite quite
different different
from from
the the
flu flu
, ,
for for
example example
? ?
AK ak
: :
It it
makes make
it it
actually actually
similar similar
to to
flu flu
in in
that that
regard regard
. .
One one
of of
the the
reasons reason
pandemic pandemic
flu flu
is be
so so
hard hard
to to
control control
and and
so so
feared fear
as as
a a
threat threat
is be
because because
so so
much much
transmission transmission
happens happen
before before
people people
are be
severely severely
ill ill
. .
And and
that that
means mean
that that
by by
the the
time time
you you
identify identify
these these
cases case
, ,
they they
' '
ve ve
probably probably
actually actually
spread spread
it it
to to
a a
number number
of of
other other
people people
. .
CA ca
: :
Yeah yeah
, ,
so so
this this
is be
the the
trickery trickery
of of
the the
thing thing
, ,
and and
why why
it it
' '
s s
so so
hard hard
to to
do do
anything anything
about about
it it
. .
It it
is be
ahead ahead
of of
us us
all all
the the
time time
, ,
and and
you you
can can
' '
t t
just just
pay pay
attention attention
to to
how how
someone someone
feels feel
or or
what what
they they
' '
re re
doing do
. .
I i
mean mean
, ,
how how
does do
that that
happen happen
, ,
by by
the the
way way
? ?
How how
does do
someone someone
infect infect
someone someone
else else
before before
they they
' '
re re
even even
showing show
symptoms symptom
themselves themselves
, ,
because because
classically classically
, ,
we we
think think
of of
, ,
you you
know know
, ,
the the
person person
sneezing sneeze
and and
droplets droplet
go go
through through
the the
air air
and and
someone someone
else else
breathes breathe
them them
in in
and and
that that
' '
s s
how how
infection infection
happens happen
. .
What what
is be
actually actually
going go
on on
for for
infection infection
pre-symptoms pre-symptom
? ?
AK ak
: :
So so
the the
level level
of of
transmission transmission
we we
see see
with with
this this
virus virus
isn isn
' '
t t
what what
we we
see see
, ,
for for
example example
, ,
with with
measles measles
, ,
where where
someone someone
sneezes sneeze
and and
a a
lot lot
of of
virus virus
gets get
out out
and and
potentially potentially
lots lot
of of
susceptible susceptible
people people
can can
get get
exposed expose
. .
So so
potentially potentially
, ,
it it
could could
be be
quite quite
early early
on on
that that
even even
if if
someone someone
has have
quite quite
mild mild
symptoms symptom
, ,
maybe maybe
a a
bit bit
of of
a a
cough cough
, ,
that that
' '
s s
enough enough
for for
some some
virus virus
to to
be be
getting get
out out
and and
particularly particularly
, ,
some some
of of
the the
work work
that that
we we
' '
ve ve
done do
trying try
to to
look look
at at
sort sort
of of
close close
gatherings gathering
, ,
so so
very very
tight-knit tight-knit
meals meal
, ,
there there
was be
an an
example example
in in
a a
ski ski
chalet chalet
-- --
and and
even even
in in
those those
situations situation
, ,
you you
might might
have have
someone someone
mildly mildly
ill ill
, ,
but but
enough enough
virus virus
is be
getting get
out out
and and
somehow somehow
exposing expose
others other
, ,
we we
' '
re re
still still
trying try
to to
work work
out out
exactly exactly
how how
, ,
but but
there there
' '
s s
enough enough
there there
to to
cause cause
some some
infection infection
. .
CA ca
: :
But but
if if
someone someone
' '
s s
mildly mildly
ill ill
, ,
don don
' '
t t
they they
still still
have have
symptoms symptom
? ?
Isn isn
' '
t t
there there
evidence evidence
that that
even even
before before
they they
know know
that that
they they
' '
re re
ill ill
, ,
something something
is be
going go
on on
? ?
There there
was be
a a
German german
paper paper
published publish
this this
week week
that that
seemed seem
to to
suggest suggest
that that
even even
really really
early early
on on
, ,
you you
take take
a a
swab swab
from from
the the
back back
of of
someone someone
' '
s s
throat throat
and and
they they
have have
hundreds hundred
of of
thousands thousand
of of
these these
viruses virus
already already
reproducing reproduce
there there
. .
Like like
, ,
can can
someone someone
just just
literally literally
just just
be be
breathing breathe
normally normally
and and
there there
is be
some some
transmission transmission
of of
virus virus
out out
into into
the the
air air
that that
they they
don don
' '
t t
even even
know know
about about
and and
is be
either either
infecting infect
people people
directly directly
or or
settling settle
on on
surfaces surface
, ,
is be
that that
possible possible
? ?
AK ak
: :
I i
think think
that that
' '
s s
what what
we we
' '
re re
trying try
to to
pin pin
down down
, ,
how how
much much
that that
[ [
unclear unclear
] ]
. .
As as
you you
said say
, ,
there there
' '
s s
evidence evidence
that that
you you
can can
have have
people people
without without
symptoms symptom
and and
you you
can can
get get
virus virus
out out
their their
throats throat
. .
And and
so so
certainly certainly
there there
' '
s s
potential potential
that that
it it
can can
be be
breathed breathe
out out
, ,
but but
is be
that that
a a
fairly fairly
rare rare
event event
for for
that that
actual actual
transmission transmission
to to
happen happen
, ,
or or
are be
we we
potentially potentially
seeing see
more more
infections infection
occur occur
through through
that that
route route
? ?
So so
it it
' '
s s
really really
early early
data datum
, ,
and and
I i
think think
it it
' '
s s
a a
piece piece
of of
the the
puzzle puzzle
, ,
but but
we we
' '
re re
trying try
to to
work work
out out
where where
that that
fits fit
in in
with with
what what
we we
know know
about about
the the
kind kind
of of
other other
transmission transmission
events event
we we
' '
ve ve
seen see
. .
CA ca
: :
Alright alright
, ,
so so
, ,
duration duration
is be
the the
duration duration
of of
the the
period period
of of
infectiousness infectiousness
. .
We we
think think
is be
five five
to to
six six
days day
, ,
is be
that that
what what
I i
heard hear
you you
say say
? ?
AK ak
: :
Potentially potentially
around around
a a
week week
, ,
depending depend
on on
exactly exactly
what what
happens happen
to to
people people
when when
they they
' '
re re
infectious infectious
. .
CA ca
: :
And and
there there
are be
cases case
of of
people people
testing test
positive positive
way way
, ,
way way
later later
, ,
after after
they they
' '
ve ve
got get
infected infected
. .
That that
may may
be be
true true
, ,
but but
they they
are be
probably probably
not not
as as
infectious infectious
then then
. .
Is be
that that
basically basically
right right
, ,
that that
' '
s s
the the
way way
to to
think think
of of
this this
? ?
AK ak
: :
I i
think think
that that
' '
s s
our our
working work
theory theory
, ,
that that
a a
lot lot
of of
that that
infection infection
is be
happening happen
early early
on on
. .
And and
we we
see see
that that
for for
a a
number number
of of
respiratory respiratory
infections infection
, ,
that that
when when
people people
obviously obviously
become become
severely severely
ill ill
, ,
their their
behavior behavior
is be
very very
different different
to to
when when
they they
may may
be be
walking walk
around around
and and
going go
about about
their their
normal normal
day day
. .
CA ca
: :
And and
so so
again again
, ,
comparing compare
that that
D d
number number
to to
other other
cases case
, ,
like like
the the
flu flu
, ,
is be
flu flu
similar similar
? ?
What what
' '
s s
the the
D d
number number
for for
flu flu
? ?
AK ak
: :
So so
for for
flu flu
, ,
it it
' '
s s
probably probably
slightly slightly
shorter short
in in
terms term
of of
the the
period period
that that
people people
are be
actively actively
infectious infectious
. .
I i
mean mean
, ,
for for
flu flu
, ,
it it
' '
s s
a a
very very
quick quick
turnover turnover
from from
one one
case case
to to
the the
next next
, ,
actually actually
. .
Even even
a a
matter matter
of of
about about
three three
days day
, ,
potentially potentially
, ,
from from
one one
infection infection
to to
the the
person person
that that
they they
infect infect
. .
And and
then then
at at
the the
other other
end end
of of
the the
scale scale
, ,
you you
get get
things thing
like like
STDs stds
, ,
where where
that that
duration duration
could could
be be
several several
months month
, ,
potentially potentially
. .
CA ca
: :
Right right
. .
OK ok
, ,
really really
nothing nothing
that that
unusual unusual
so so
far far
, ,
in in
terms term
of of
this this
particular particular
virus virus
. .
Let let
' '
s s
look look
at at
the the
O o
, ,
opportunity opportunity
. .
What what
is be
that that
? ?
AK ak
: :
So so
opportunity opportunity
is be
a a
measure measure
of of
how how
many many
chances chance
the the
virus virus
has have
to to
spread spread
through through
interactions interaction
while while
someone someone
is be
infectious infectious
. .
So so
typically typically
, ,
it it
' '
s s
a a
measure measure
of of
social social
behavior behavior
. .
On on
average average
, ,
how how
many many
social social
contacts contact
do do
people people
make make
that that
create create
opportunities opportunity
for for
transmission transmission
while while
they they
' '
re re
infectious infectious
. .
CA ca
: :
So so
it it
' '
s s
how how
many many
people people
have have
you you
got get
close close
enough enough
to to
during during
a a
day day
, ,
during during
a a
given give
day day
, ,
to to
have have
a a
chance chance
of of
infecting infect
them them
. .
And and
that that
number number
could could
be be
, ,
if if
people people
aren aren
' '
t t
taking take
precautions precaution
in in
a a
normal normal
, ,
sort sort
of of
, ,
urban urban
setting setting
, ,
I i
mean mean
, ,
that that
could could
run run
into into
the the
hundreds hundred
, ,
presumably presumably
? ?
AK ak
: :
Potentially potentially
, ,
for for
some some
people people
. .
We we
' '
ve ve
done do
a a
number number
of of
studies study
looking look
at at
that that
in in
recent recent
years year
, ,
and and
the the
average average
, ,
in in
terms term
of of
physical physical
contacts contact
, ,
is be
about about
five five
people people
per per
day day
. .
Most most
people people
will will
have have
conversation conversation
or or
contacts contact
generally generally
with with
about about
10 @card@
, ,
15 @card@
, ,
but but
obviously obviously
, ,
between between
cultures culture
, ,
we we
see see
quite quite
a a
lot lot
of of
variation variation
in in
the the
level level
of of
physical physical
greetings greeting
that that
might might
happen happen
. .
CA ca
: :
And and
presumably presumably
, ,
that that
number number
again again
is be
no no
different different
for for
this this
virus virus
than than
for for
any any
other other
. .
I i
mean mean
, ,
that that
' '
s s
just just
a a
feature feature
of of
the the
lives life
that that
we we
live live
. .
AK ak
: :
I i
think think
for for
this this
one one
, ,
if if
it it
' '
s s
driven drive
through through
these these
kind kind
of of
interactions interaction
, ,
and and
we we
' '
ve ve
seen see
for for
flu flu
, ,
for for
other other
respiratory respiratory
infections infection
, ,
those those
kinds kind
of of
fairly fairly
close close
contacts contact
and and
everyday everyday
physical physical
interactions interaction
seem seem
to to
be be
the the
ones one
that that
are be
important important
for for
transmission transmission
. .
CA ca
: :
Perhaps perhaps
there there
is be
one one
difference difference
. .
The the
fact fact
that that
if if
you you
' '
re re
infectious infectious
pre-symptoms pre-symptom
, ,
perhaps perhaps
that that
means mean
that that
actually actually
, ,
there there
are be
more more
opportunities opportunity
here here
. .
This this
is be
part part
of of
the the
virus virus
' '
s s
genius genius
, ,
as as
it it
were be
, ,
that that
by by
not not
letting let
on on
that that
it it
' '
s s
inside inside
someone someone
, ,
people people
continue continue
to to
interact interact
and and
go go
to to
work work
and and
take take
the the
subway subway
and and
so so
forth forth
, ,
not not
even even
knowing know
that that
they they
' '
re re
sick sick
. .
AK ak
: :
Exactly exactly
. .
And and
for for
something something
like like
flu flu
, ,
you you
see see
when when
people people
get get
ill ill
, ,
clearly clearly
, ,
their their
social social
contacts contact
drop drop
off off
. .
So so
to to
have have
a a
virus virus
that that
can can
be be
infectious infectious
while while
people people
are be
going go
around around
their their
everyday everyday
lives life
, ,
really really
gives give
it it
an an
advantage advantage
in in
terms term
of of
transmission transmission
. .
CA ca
: :
In in
your your
modeling modeling
, ,
do do
you you
actually actually
have have
this this
opportunities opportunity
number number
higher high
than than
for for
flu flu
? ?
AK ak
: :
So so
for for
the the
moment moment
, ,
we we
' '
re re
kind kind
of of
using use
similar similar
values value
, ,
so so
we we
' '
re re
trying try
to to
look look
at at
, ,
for for
example example
, ,
physical physical
contacts contact
within within
different different
populations population
. .
But but
what what
we we
are be
doing do
is be
scaling scale
the the
risk risk
. .
So so
that that
' '
s s
coming come
on on
to to
the the
T t
term term
. .
So so
that that
between between
each each
contact contact
, ,
what what
' '
s s
the the
risk risk
that that
a a
transmission transmission
event event
will will
occur occur
. .
CA ca
: :
Alright alright
, ,
so so
let let
' '
s s
go go
on on
to to
this this
next next
number number
, ,
the the
T t
, ,
transmission transmission
probability probability
. .
How how
do do
you you
define define
that that
? ?
AK ak
: :
So so
this this
measures measure
the the
chance chance
that that
, ,
essentially essentially
, ,
the the
virus virus
will will
get get
across across
during during
a a
particular particular
opportunity opportunity
or or
a a
particular particular
interaction interaction
. .
So so
you you
may may
well well
have have
a a
conversation conversation
with with
somebody somebody
, ,
but but
actually actually
, ,
you you
don don
' '
t t
cough cough
or or
you you
don don
' '
t t
sneeze sneeze
or or
for for
some some
reason reason
, ,
the the
virus virus
doesn doesn
' '
t t
actually actually
get get
across across
and and
expose expose
the the
other other
person person
. .
And and
so so
, ,
for for
this this
virus virus
, ,
as as
I i
mentioned mention
, ,
say say
people people
are be
having have
10 @card@
conversations conversation
a a
day day
, ,
but but
we we
' '
re re
not not
seeing see
infected infected
people people
infect infect
10 @card@
others other
a a
day day
. .
So so
it it
suggests suggest
that that
not not
all all
of of
those those
opportunities opportunity
are be
actually actually
resulting result
in in
the the
virus virus
getting get
across across
. .
CA ca
: :
But but
people people
say say
that that
this this
is be
an an
infectious infectious
virus virus
. .
Like like
, ,
what what
is be
that that
transmission transmission
probability probability
number number
, ,
again again
, ,
compared compare
with with
, ,
say say
, ,
the the
flu flu
? ?
AK ak
: :
So so
, ,
we we
did do
some some
analysis analysis
looking look
at at
these these
very very
close close
gatherings gathering
. .
We we
looked look
at at
about about
10 @card@
different different
case case
studies study
, ,
and and
we we
found find
that that
about about
a a
third third
of of
the the
contacts contact
in in
those those
settings setting
subsequently subsequently
got get
infected infect
in in
these these
early early
stages stage
, ,
when when
people people
weren weren
' '
t t
aware aware
. .
So so
if if
you you
had have
these these
, ,
kind kind
of of
, ,
big big
group group
meals meal
, ,
potentially potentially
, ,
each each
contact contact
had have
about about
, ,
a a
kind kind
of of
, ,
one one
in in
three three
chance chance
of of
getting get
exposed expose
. .
For for
seasonal seasonal
flu flu
, ,
that that
tends tend
to to
be be
slightly slightly
lower low
, ,
even even
within within
households household
and and
close close
settings setting
, ,
you you
don don
' '
t t
necessarily necessarily
get get
values value
that that
high high
. .
And and
even even
for for
something something
like like
SARS sars
, ,
those those
values value
have have
, ,
kind kind
of of
-- --
the the
risk risk
per per
interaction interaction
you you
had have
was be
lower low
than than
what what
we we
seem seem
to to
be be
getting get
for for
coronavirus coronavirus
. .
Which which
intuitively intuitively
makes make
sense sense
, ,
there there
must must
be be
a a
higher high
risk risk
per per
interaction interaction
if if
this this
thing thing
is be
spreading spread
so so
easily easily
. .
CA ca
: :
Hm hm
. .
OK ok
, ,
and and
then then
the the
fourth fourth
letter letter
of of
DOTS dot
is be
S s
for for
susceptibility susceptibility
. .
What what
' '
s s
that that
? ?
AK ak
: :
So so
that that
is be
a a
measure measure
of of
the the
proportion proportion
of of
the the
population population
who who
are be
susceptible susceptible
. .
If if
you you
imagine imagine
you you
have have
this this
interaction interaction
with with
someone someone
, ,
the the
virus virus
gets get
across across
, ,
it it
exposes expose
them them
, ,
but but
some some
people people
may may
have have
been be
vaccinated vaccinate
or or
otherwise otherwise
have have
some some
immunity immunity
and and
not not
develop develop
infection infection
themselves themselves
and and
not not
be be
infectious infectious
to to
others other
. .
So so
we we
' '
ve ve
got get
to to
account account
for for
this this
potential potential
proportion proportion
of of
people people
who who
are be
not not
actually actually
going go
to to
turn turn
into into
cases case
themselves themselves
. .
CA ca
: :
And and
obviously obviously
, ,
there there
' '
s s
no no
vaccine vaccine
yet yet
for for
this this
coronavirus coronavirus
, ,
nor nor
is be
anyone anyone
, ,
at at
least least
initially initially
, ,
immune immune
, ,
as as
far far
as as
we we
know know
. .
So so
are be
you you
modeling model
that that
susceptibility susceptibility
number number
pretty pretty
high high
, ,
is be
that that
part part
of of
the the
issue issue
here here
? ?
AK ak
: :
Yeah yeah
, ,
I i
think think
the the
evidence evidence
is be
that that
this this
is be
going go
to to
fully fully
susceptible susceptible
populations population
, ,
and and
even even
in in
areas area
, ,
for for
example example
, ,
like like
China china
, ,
where where
there there
' '
s s
been be
a a
lot lot
of of
transmission transmission
but but
there there
' '
s s
been be
very very
strong strong
control control
measures measure
, ,
we we
estimated estimate
that that
up up
to to
the the
end end
of of
January january
, ,
probably probably
about about
95 @card@
percent percent
of of
Wuhan wuhan
are be
still still
susceptible susceptible
. .
So so
there there
' '
s s
been be
a a
lot lot
of of
infection infection
, ,
but but
it it
hasn hasn
' '
t t
really really
taken take
much much
of of
that that
component component
, ,
of of
the the
DOTS dot
, ,
of of
those those
four four
things thing
that that
drive drive
transmission transmission
. .
CA ca
: :
And and
so so
the the
way way
the the
mathematics mathematics
works work
, ,
I i
have have
to to
confess confess
, ,
amidst amidst
the the
stress stress
of of
this this
whole whole
situation situation
, ,
the the
nerd nerd
in in
me me
kind kind
of of
loves love
the the
elegance elegance
of of
the the
mathematics mathematics
here here
, ,
because because
I i
' '
d d
never never
really really
thought think
about about
it it
this this
way way
, ,
but but
you you
basically basically
just just
multiply multiply
those those
numbers number
together together
to to
get get
the the
reproduction reproduction
number number
. .
Is be
that that
right right
? ?
AK ak
: :
Exactly exactly
, ,
yeah yeah
, ,
you you
almost almost
take take
the the
path path
of of
the the
infection infection
during during
transmission transmission
as as
you you
multiply multiply
those those
together together
, ,
and and
that that
gives give
