Meet meet
capital capital
cities city
and and
boardrooms boardroom
, ,
we we
' '
d d
spend spend
our our
time time
in in
villages village
learning learn
local local
languages language
, ,
traveling travel
on on
public public
transports transport
. .
And and
what what
this this
allowed allow
us us
to to
do do
was be
to to
get get
a a
really really
deep deep
understanding understanding
of of
what what
was be
going go
on on
at at
the the
field field
level level
. .
Combined combine
with with
this this
experience experience
and and
hundreds hundred
of of
other other
Engineers engineer
Without without
Borders borders
experiences experience
, ,
we we
got get
a a
really really
interesting interesting
perspective perspective
of of
what what
' '
s s
going go
on on
in in
this this
aid aid
industry industry
. .
The the
aid aid
industry industry
has have
gotten get
a a
lot lot
of of
attention attention
lately lately
. .
A a
lot lot
of of
economists economist
have have
become become
authors author
and and
have have
written write
about about
it it
. .
There there
' '
s s
a a
lot lot
of of
controversy controversy
about about
its its
effectiveness effectiveness
, ,
some some
even even
asking ask
the the
question question
, ,
" "
Has have
aid aid
failed fail
? ?
" "
It it
' '
s s
a a
very very
interesting interesting
question question
. .
Now now
, ,
I i
can can
confidently confidently
say say
on on
behalf behalf
of of
Engineers engineer
Without without
Borders borders
staff staff
members member
that that
, ,
failed fail
or or
not not
, ,
we we
definitely definitely
feel feel
that that
the the
aid aid
system system
is be
broken break
. .
And and
when when
I i
say say
broken break
, ,
I i
' '
m m
not not
talking talk
about about
what what
the the
media media
usually usually
talks talk
about about
. .
It it
' '
s s
not not
about about
corrupt corrupt
dictators dictator
or or
about about
corruption corruption
. .
Those those
issues issue
still still
happen happen
in in
Africa africa
, ,
but but
they they
' '
re re
much much
more more
the the
minority minority
than than
they they
are be
the the
mainstream mainstream
today today
. .
I i
' '
m m
talking talk
about about
aid aid
being be
broken break
in in
democratically democratically
elected elect
, ,
stable stable
governments government
with with
no no
civil civil
unrest unrest
, ,
countries country
like like
Ghana ghana
, ,
Malawi malawi
and and
Zambia zambia
. .
So so
, ,
I i
talked talk
about about
Malawi malawi
. .
The the
World world
Bank bank
has have
stated state
that that
80 @card@
% %
of of
the the
people people
in in
Malawi malawi
have have
access access
to to
fresh fresh
water water
sources source
. .
So so
one one
of of
our our
staff staff
members member
in in
Malawi malawi
, ,
this this
is be
Owen owen
, ,
was be
visiting visit
one one
of of
those those
water water
points point
. .
It it
was be
a a
gravity- gravity-
fed fed
system system
that that
was be
commissioned commission
by by
the the
Canadian canadian
government government
and and
finished finish
about about
a a
year year
and and
a a
half half
ago ago
. .
A a
gravity-fed gravity-fed
system system
basically basically
is be
a a
bunch bunch
of of
pipes pipe
that that
pipe pipe
water water
down down
from from
an an
elevated elevated
region region
down down
into into
a a
number number
of of
communities community
where where
there there
are be
taps tap
, ,
and and
people people
can can
access access
that that
water water
. .
And and
he he
was be
going go
around around
turning turn
on on
some some
of of
those those
taps tap
, ,
and and
some some
weren weren
' '
t t
working working
. .
So so
he he
asked ask
the the
community community
, ,
" "
How how
many many
of of
these these
aren aren
' '
t t
working working
? ?
" "
And and
they they
said say
, ,
" "
Well well
, ,
out out
of of
113 @card@
, ,
81 @card@
. .
" "
81 @card@
? ?
What what
' '
s s
the the
problem problem
? ?
What what
' '
s s
going go
on on
? ?
He he
found find
out out
that that
a a
lot lot
of of
the the
pipes pipe
had have
sprung spring
leaks leak
and and
broken break
down down
. .
All all
right right
, ,
not not
a a
big big
deal deal
, ,
pipes pipe
break break
down down
everywhere everywhere
. .
But but
the the
problem problem
with with
this this
project project
was be
that that
, ,
even even
though though
the the
infrastructure infrastructure
was be
built build
, ,
there there
was be
no no
thinking thinking
about about
who who
was be
going go
to to
maintain maintain
the the
system system
. .
Some some
people people
really really
took take
initiative initiative
and and
tried try
to to
fix fix
the the
pipes pipe
themselves themselves
, ,
but but
there there
was be
a a
lack lack
of of
affordable affordable
spare spare
parts part
available available
. .
This this
situation situation
is be
typical typical
. .
This this
is be
a a
graphic graphic
showing showing
one one
area area
of of
Malawi malawi
, ,
I i
think think
it it
' '
s s
an an
urban urban
area area
, ,
where where
the the
green green
dots dot
are be
functional functional
water water
points point
, ,
yellow yellow
, ,
are be
ones one
that that
are be
working work
but but
breaking break
down down
, ,
and and
red red
are be
not not
functional functional
. .
Hardly hardly
eighty eighty
percent percent
. .
Actually actually
, ,
Engineers engineer
Without without
Borders borders
has have
done do
some some
work work
and and
found find
out out
that that
even even
though though
there there
' '
s s
80 @card@
% %
coverage coverage
of of
water water
points point
, ,
40 @card@
% %
are be
not not
working work
. .
See see
, ,
this this
issue issue
is be
. .
. .
. .
A a
lot lot
of of
donors donor
and and
projects project
end end
up up
focusing focus
on on
the the
hardware hardware
side side
of of
the the
issue issue
and and
not not
really really
realizing realize
the the
importance importance
of of
the the
software software
side side
of of
things thing
. .
At at
first first
it it
' '
s s
like like
, ,
software software
— -
of of
course course
you you
have have
to to
do do
maintenance maintenance
. .
But but
when when
you you
think think
about about
it it
as as
people people
donating donate
to to
charities charity
, ,
it it
makes make
you you
feel feel
a a
lot lot
better well
if if
you you
know know
that that
your your
money money
went go
to to
something something
tangible tangible
, ,
something something
like like
a a
well well
, ,
something something
like like
a a
school school
, ,
something something
like like
giving give
a a
family family
a a
goat goat
. .
It it
' '
s s
not not
as as
sexy sexy
and and
easy easy
to to
tell tell
your your
friends friend
about about
how how
you you
helped help
fund fund
a a
water water
committee committee
or or
paid pay
for for
teacher teacher
salaries salary
. .
So so
when when
I i
say say
that that
this this
picture picture
of of
Inook inook
is be
a a
lie lie
, ,
it it
' '
s s
not not
a a
lie lie
when when
the the
picture picture
is be
taken take
. .
It it
only only
becomes become
a a
lie lie
a a
year year
or or
two two
afterwards afterwards
. .
When when
looking look
at at
these these
pictures picture
, ,
one one
of of
my my
great great
colleagues colleague
said say
, ,
" "
Everything everything
people people
see see
from from
Africa africa
doesn doesn
' '
t t
matter matter
. .
And and
everything everything
that that
matters matter
from from
Africa africa
, ,
people people
don don
' '
t t
get get
to to
see see
. .
" "
And and
this this
problem problem
goes go
a a
lot lot
further further
that that
just just
broken break
down down
water water
points point
. .
Owen owen
, ,
after after
seeing see
this this
water water
point point
, ,
discovered discover
not not
more more
than than
30 @card@
feet foot
away away
: :
" "
Hey hey
there there
' '
s s
another another
set set
of of
taps tap
that that
look look
really really
broken break
down down
, ,
too too
, ,
but but
they they
' '
re re
not not
attached attach
to to
the the
system system
. .
" "
And and
he he
asked ask
the the
community community
, ,
" "
What what
' '
s s
that that
? ?
" "
They they
said say
: :
" "
Oh oh
, ,
that that
' '
s s
the the
American american
government government
gravity-fed gravity-fed
water water
system system
. .
" "
It it
was be
built build
over over
ten ten
years year
ago ago
. .
He he
said say
, ,
" "
What what
happened happen
to to
that that
? ?
" "
They they
said say
, ,
" "
Oh oh
, ,
it it
also also
broke break
down down
about about
a a
year year
and and
a a
half half
later later
. .
" "
How how
is be
it it
that that
a a
project project
that that
failed fail
ten ten
years year
ago ago
was be
rebuilt rebuild
with with
almost almost
the the
same same
technology technology
, ,
same same
process process
, ,
and and
had have
exactly exactly
the the
same same
failure failure
ten ten
years year
later later
? ?
I i
' '
ve ve
recently recently
joined join
a a
start-up start-up
company company
that that
sells sell
goods good
online online
, ,
a a
lot lot
of of
them them
from from
Africa africa
, ,
fair-trade fair-trade
goods good
— -
it it
' '
s s
sort sort
of of
like like
the the
ethical ethical
eBay ebay
or or
Amazon amazon
. .
And and
what what
we we
' '
ve ve
learned learned
being be
a a
private private
sector sector
start-up start-up
is be
, ,
if if
we we
don don
' '
t t
serve serve
our our
customers customer
and and
we we
don don
' '
t t
provide provide
them them
the the
product product
they they
need need
, ,
they they
won win
' '
t t
buy buy
it it
. .
And and
then then
if if
we we
don don
' '
t t
innovate innovate
, ,
change change
and and
adapt adapt
to to
their their
needs need
, ,
we we
go go
out out
of of
business business
. .
They they
have have
a a
power power
to to
hold hold
us us
accountable accountable
. .
If if
we we
look look
to to
the the
public public
sector sector
, ,
it it
doesn doesn
' '
t t
adapt adapt
and and
change change
quite quite
as as
fast fast
as as
the the
private private
sector sector
, ,
but but
at at
the the
end end
of of
the the
day day
, ,
if if
the the
elected elect
government government
doesn doesn
' '
t t
meet meet
the the
needs need
of of
its its
constituents constituent
, ,
they they
have have
a a
chance chance
to to
vote vote
them them
out out
of of
power power
, ,
therefore therefore
holding hold
them them
accountable accountable
. .
But but
in in
the the
development development
sector sector
, ,
if if
they they
don don
' '
t t
serve serve
the the
needs need
of of
their their
beneficiaries beneficiary
— -
and and
they they
' '
re re
not not
just just
NGOs ngo
, ,
but but
governments government
and and
businesses business
as as
well well
— -
the the
beneficiaries beneficiary
have have
no no
power power
to to
vote vote
them them
out out
or or
to to
fire fire
them them
. .
The the
people people
who who
have have
that that
power power
are be
the the
donors donor
. .
And and
when when
you you
look look
at at
the the
system system
, ,
you you
can can
see see
some some
of of
the the
challenges challenge
. .
Development development
is be
the the
sector sector
that that
focuses focus
more more
on on
pleasing please
the the
donors donor
and and
making make
them them
happy happy
and and
communicating communicate
to to
them them
, ,
as as
opposed oppose
to to
understanding understand
the the
needs need
of of
the the
beneficiaries beneficiary
. .
Because because
of of
that that
, ,
systematic systematic
challenge challenge
is be
very very
slow slow
to to
innovate innovate
, ,
there there
' '
s s
very very
little little
change change
, ,
and and
you you
get get
exactly exactly
the the
same same
project project
built build
ten ten
years year
later later
that that
fails fail
in in
exactly exactly
the the
same same
way way
. .
So so
what what
we we
do do
about about
this this
? ?
First first
answer answer
is be
easy easy
: :
we we
invest invest
in in
the the
private private
and and
public public
sectors sector
in in
the the
developing develop
world world
. .
They they
' '
re re
inherently inherently
structurally structurally
built build
to to
be be
more more
sustainable sustainable
and and
to to
allow allow
beneficiaries beneficiary
to to
hold hold
them them
accountable accountable
. .
However however
, ,
70 @card@
% %
of of
people people
in in
sub-Saharan sub-saharan
Africa africa
still still
make make
less less
than than
two two
dollars dollar
a a
day day
and and
are be
still still
in in
poverty poverty
. .
And and
a a
lot lot
of of
that that
reason reason
is be
because because
the the
private private
and and
the the
public public
sector sector
are be
not not
serving serve
them them
appropriately appropriately
. .
So so
we we
do do
need need
to to
invest invest
in in
businesses business
and and
governments government
in in
Africa africa
, ,
but but
it it
' '
s s
still still
going go
to to
take take
a a
long long
time time
for for
the the
problems problem
to to
be be
fixed fix
. .
Therefore therefore
, ,
that that
leaves leave
us us
with with
one one
option option
and and
we we
need need
to to
work work
with with
this this
system system
. .
Therefore therefore
, ,
we we
have have
to to
fix fix
it it
. .
We we
need need
to to
make make
it it
more more
accountable accountable
, ,
more more
creative creative
and and
more more
transparent transparent
. .
We we
need need
to to
start start
innovating innovate
, ,
coming come
up up
with with
really really
neat neat
ideas idea
— -
ideas idea
like like
giving give
beneficiaries beneficiary
a a
chance chance
to to
rate rate
their their
projects project
using use
their their
mobile mobile
phones phone
— -
that that
donors donor
and and
NGOs ngo
can can
understand understand
. .
Or or
moving move
our our
donors donor
closer close
to to
our our
beneficiaries beneficiary
. .
Currently currently
, ,
only only
20 @card@
% %
of of
the the
Canadian canadian
International international
Development development
Agency agency
' '
s s
African african
staff staff
are be
based base
in in
Africa africa
. .
Ideas idea
like like
funding fund
development development
sectors sector
like like
VCs vc
fund fund
businesses business
: :
What what
would would
it it
be be
like like
if if
a a
donor donor
funded fund
ten ten
projects project
and and
expected expect
four four
of of
them them
to to
do do
OK ok
, ,
one one
of of
them them
to to
do do
fantastic fantastic
and and
five five
of of
them them
to to
fail fail
? ?
And and
not not
all all
of of
the the
solutions solution
need need
to to
be be
that that
complex complex
. .
Engineers engineer
Without without
Borders borders
is be
working work
on on
one one
that that
' '
s s
actually actually
quite quite
simple simple
; ;
it it
' '
s s
admitting admit
failure failure
. .
My my
first first
project project
with with
Engineers engineer
Without without
Borders borders
was be
in in
India india
. .
I i
worked work
with with
a a
bunch bunch
of of
schools school
, ,
the the
poorest poor
schools school
in in
India india
, ,
the the
untouchable untouchable
caste caste
. .
This this
is be
Bani bani
, ,
she she
was be
a a
girl girl
who who
was be
in in
one one
of of
those those
schools school
and and
she she
and and
her her
classmates classmate
had have
to to
spend spend
two two
to to
three three
hours hour
a a
day day
walking walk
to to
collect collect
water water
to to
bring bring
it it
back back
to to
the the
school school
so so
they they
could could
have have
fresh fresh
water water
to to
drink drink
and and
for for
cooking cooking
and and
for for
going go
to to
the the
bathroom bathroom
. .
My my
job job
in in
Engineers engineer
Without without
Borders borders
was be
to to
help help
solve solve
the the
problem problem
. .
I i
worked work
with with
the the
communities community
; ;
we we
came come
up up
with with
rainwater rainwater
harvesting harvesting
solutions solution
to to
collect collect
water water
from from
the the
rooftops rooftop
during during
the the
monsoons monsoon
, ,
bring bring
it it
through through
gutters gutter
, ,
filter filter
and and
store store
it it
for for
the the
dry dry
season season
. .
I i
worked work
there there
for for
a a
number number
of of
months month
, ,
and and
by by
the the
time time
I i
left leave
, ,
we we
had have
the the
project project
funded fund
and and
being be
implemented implement
. .
I i
returned return
back back
home home
to to
Canada canada
almost almost
a a
hero hero
. .
My my
friends friend
and and
family family
were be
like like
, ,
" "
Wow wow
, ,
that that
' '
s s
fantastic fantastic
! !
You you
gave give
up up
your your
job job
in in
the the
oil oil
and and
gas gas
sector sector
to to
go go
volunteer volunteer
in in
India india
. .
That that
' '
s s
really really
inspiring inspiring
. .
" "
A a
year year
later later
, ,
I i
contacted contact
my my
NGO ngo
to to
see see
how how
everything everything
was be
going go
with with
the the
rainwater rainwater
harvesting harvesting
systems system
. .
And and
they they
told tell
me me
that that
not not
a a
single single
one one
was be
still still
operating operate
. .
The the
reason reason
was be
because because
a a
lot lot
of of
them them
had have
been be
built build
, ,
but but
some some
of of
them them
had have
broken break
down down
because because
there there
was be
no no
maintenance maintenance
schedule schedule
put put
in in
place place
. .
I i
had have
made make
the the
exact exact
same same
mistake mistake
that that
I i
criticized criticize
earlier earlier
. .
When when
I i
thought think
of of
my my
friends friend
and and
family family
back back
home home
who who
thought think
I i
was be
such such
a a
hero hero
, ,
I i
felt feel
like like
an an
impostor impostor
. .
I i
thought think
of of
Bani bani
, ,
I i
didn didn
' '
t t
help help
her her
at at
all all
. .
Admitting admit
failure failure
is be
actually actually
quite quite
hard hard
, ,
and and
I i
didn didn
' '
t t
tell tell
many many
people people
about about
this this
. .
And and
one one
of of
the the
only only
things thing
that that
helped help
me me
feel feel
better good
about about
this this
— -
and and
it it
' '
s s
a a
bit bit
of of
a a
shame shame
to to
say say
this this
— -
was be
that that
I i
started start
to to
learn learn
that that
other other
people people
in in
Engineers engineer
Without without
Borders borders
had have
failed fail
, ,
too too
. .
But but
Engineers engineer
Without without
Borders borders
has have
this this
culture culture
of of
embracing embrace
failure failure
openly openly
and and
letting let
us us
talk talk
about about
it it
. .
And and
it it
was be
only only
through through
a a
bunch bunch
of of
us us
talking talk
about about
failure failure
that that
we we
really really
got get
to to
see see
we we
' '
re re
making make
a a
lot lot
of of
mistakes mistake
, ,
and and
we we
' '
re re
making make
the the
same same
mistakes mistake
and and
can can
learn learn
from from
them them
. .
And and
we we
started start
to to
innovate innovate
and and
change change
. .
Engineers engineer
Without without
Borders borders
is be
drastically drastically
different different
now now
, ,
10 @card@
years year
later late
than than
what what
we we
thought think
Engineers engineer
should should
be be
doing do
in in
development development
. .
We we
don don
' '
t t
build build
water water
points point
anymore anymore
; ;
in in
fact fact
, ,
we we
don don
' '
t t
build build
anything anything
other other
than than
spreadsheets spreadsheet
. .
We we
now now
have have
this this
innovative innovative
marketing marketing
campaign campaign
, ,
" "
Sponsor sponsor
an an
African african
spreadsheet spreadsheet
, ,
" "
because because
we we
understand understand
that that
the the
problems problem
are be
not not
hardware hardware
problems problem
; ;
it it
' '
s s
all all
about about
that that
software software
side side
of of
things thing
. .
But but
it it
' '
s s
a a
hard hard
concept concept
to to
get get
across across
to to
people people
; ;
they they
want want
to to
fund fund
wells well
and and
schools school
. .
But but
it it
' '
s s
really really
about about
the the
software software
side side
of of
things thing
, ,
and and
it it
' '
s s
a a
lot lot
longer longer
a a
process process
to to
fund fund
those those
things thing
. .
And and
it it
' '
s s
not not
sexy sexy
, ,
but but
it it
works work
. .
Our our
staff staff
members member
were be
really really
exited exit
to to
share share
this this
failure failure
internally internally
, ,
but but
we we
still still
were be
not not
doing do
a a
good good
job job
of of
letting let
other other
people people
know know
. .
And and
some some
very very
courageous courageous
field field
staff staff
were be
getting get
upset upset
at at
the the
management management
because because
other other
projects project
were be
going go
to to
make make
the the
same same
failures failure
; ;
they they
weren weren
' '
t t
learning learning
. .
So so
they they
pushed push
our our
management management
staff staff
. .
And and
we we
were be
nervous nervous
publishing publish
our our
failures failure
, ,
but but
for for
the the
last last
three three
years year
, ,
Engineers engineer
Without without
Borders borders
has have
published publish
an an
annual annual
failure failure
report report
citing cite
our our
biggest big
failures failure
. .
At at
first first
, ,
I i
was be
asked ask
, ,
" "
What what
do do
your your
donors donor
think think
? ?
" "
and and
I i
think think
, ,
" "
How how
would would
my my
donors donor
feel feel
if if
they they
knew know
the the
money money
they they
had have
spent spend
and and
saved save
up up
and and
generously generously
donated donate
had have
had have
no no
impact impact
? ?
" "
And and
you you
know know
, ,
that that
' '
s s
tough tough
. .
And and
our our
donors donor
felt feel
that that
, ,
too too
. .
But but
once once
they they
started start
reading read
the the
failures failure
, ,
they they
understood understand
the the
power power
of of
those those
lessons lesson
learned learn
and and
realized realize
it it
' '
s s
an an
injustice injustice
not not
to to
be be
sharing share
these these
. .
Then then
we we
realized realize
that that
not not
everyone everyone
reads read
reports report
, ,
so so
we we
built build
a a
website website
, ,
admittingfailure admittingfailure
. .
com com
. .
This this
is be
for for
all all
organizations organization
to to
come come
and and
start start
admitting admit
their their
failures failure
, ,
and and
to to
start start
having have
a a
discussion discussion
about about
failure failure
. .
The the
concept concept
is be
catching catch
on on
. .
The the
Harvard harvard
Business business
Review review
, ,
just just
last last
month month
, ,
published publish
their their
first first
review review
focused focus
on on
failure failure
. .
Two two
big big
companies company
lately lately
have have
also also
dealt deal
with with
failure failure
. .
I i
talk talk
to to
my my
friends friend
in in
other other
sectors sector
and and
they they
' '
re re
like like
, ,
" "
It it
' '
s s
not not
just just
the the
development development
sector sector
that that
has have
this this
challenge challenge
, ,
it it
crosses cross
into into
a a
lot lot
of of
other other
sectors sector
. .
" "
Two two
companies company
had have
big big
failures failure
lately lately
. .
What what
' '
s s
interesting interesting
about about
them them
is be
, ,
one one
of of
them them
publicly publicly
admitted admit
the the
failure failure
and and
talked talk
about about
what what
they they
learned learn
from from
it it
and and
what what
they they
' '
ll ll
do do
next next
time time
. .
The the
other other
one one
kind kind
of of
tried try
to to
not not
talk talk
about about
it it
at at
all all
. .
It it
will will
be be
interesting interesting
looking look
forward forward
to to
see see
which which
of of
those those
strategies strategy
works work
. .
I i
' '
d d
like like
to to
ask ask
people people
to to
, ,
first first
of of
all all
, ,
think think
about about
: :
How how
does do
your your
organization organization
think think
about about
and and
share share
failure failure
? ?
Maybe maybe
ask ask
the the
person person
next next
to to
you you
, ,
because because
I i
think think
it it
can can
generate generate
some some
really really
interesting interesting
conversations conversation
. .
And and
lastly lastly
, ,
I i
' '
d d
like like
to to
turn turn
back back
to to
this this
question question
, ,
" "
Has have
aid aid
failed fail
? ?
" "
I i
think think
I i
' '
ll ll
say say
that that
, ,
for for
me me
, ,
the the
answer answer
is be
" "
Yes yes
, ,
" "
but but
only only
because because
it it
hasn hasn
' '
t t
failed fail
enough enough
. .
Thank thank
you you
. .
