Diners diner
brewing brewing
equipment equipment
and and
can can
be be
just just
as as
big big
as as
well well
. .
And and
the the
bioreactor bioreactor
really really
just just
provides provide
that that
constant constant
stable stable
environment environment
that that
those those
cells cell
need need
to to
flourish flourish
in in
-- --
stable stable
temperature temperature
, ,
pressure pressure
, ,
inflows inflow
, ,
outflows outflow
, ,
etc etc
. .
And and
after after
those those
cells cell
get get
a a
chance chance
to to
proliferate proliferate
and and
differentiate differentiate
, ,
mature mature
into into
muscle muscle
fibers fiber
, ,
we we
might might
harvest harvest
the the
cells cell
and and
the the
tissues tissue
and and
then then
turn turn
them them
into into
a a
nugget nugget
, ,
a a
nugget nugget
that that
was be
boneless boneless
and and
skinless skinless
and and
all all
white white
meat meat
to to
begin begin
with with
. .
Now now
, ,
this this
wouldn wouldn
' '
t t
just just
be be
better good
for for
chickens chicken
and and
cows cow
and and
pigs pig
and and
the the
people people
who who
have have
to to
farm farm
them them
and and
slaughter slaughter
them them
and and
process process
their their
meat meat
. .
This this
could could
be be
better good
for for
the the
whole whole
world world
. .
Think think
of of
this this
: :
early early
estimates estimate
of of
cell-cultured cell-cultured
meat meat
' '
s s
potential potential
show show
that that
cultured cultured
meat meat
would would
require require
99 @card@
percent percent
less less
land land
, ,
96 @card@
percent percent
less less
water water
and and
produce produce
96 @card@
percent percent
fewer few
greenhouse greenhouse
gas gas
emissions emission
. .
Now now
, ,
those those
are be
still still
speculative speculative
early early
estimates estimate
. .
But but
think think
about about
the the
incredible incredible
potential potential
that that
this this
technology technology
holds hold
. .
I i
mean mean
, ,
if if
this this
all all
works work
, ,
this this
would would
be be
a a
new new
subsistence subsistence
strategy strategy
, ,
a a
new new
tool tool
set set
for for
producing produce
food food
. .
It it
wouldn wouldn
' '
t t
just just
be be
a a
new new
product product
category category
. .
And and
I i
think think
it it
' '
s s
our our
once-in-a-lifetime once-in-a-lifetime
opportunity opportunity
to to
get get
a a
second second
chance chance
at at
agriculture agriculture
, ,
to to
do do
things thing
better well
and and
to to
learn learn
from from
our our
mistakes mistake
. .
What what
do do
I i
mean mean
by by
mistakes mistake
? ?
After after
all all
, ,
this this
is be
a a
food food
system system
that that
keeps keep
billions billion
of of
people people
alive alive
, ,
yes yes
. .
But but
look look
at at
what what
has have
happened happen
to to
chickens chicken
in in
just just
50 @card@
years year
. .
By by
simply simply
picking pick
which which
two two
chickens chicken
to to
breed breed
with with
one one
another another
, ,
chickens chicken
went go
from from
this this
on on
the the
left left
, ,
a a
bird bird
that that
' '
s s
from from
1957 @card@
, ,
to to
this this
on on
the the
right right
, ,
a a
broiler broiler
. .
These these
chickens chicken
are be
the the
same same
age age
. .
Broilers broiler
have have
been be
optimized optimize
so so
much much
for for
meat meat
production production
that that
they they
must must
be be
slaughtered slaughter
at at
six six
to to
eight eight
weeks week
, ,
because because
if if
they they
live live
beyond beyond
that that
, ,
their their
legs leg
will will
not not
be be
able able
to to
hold hold
up up
their their
bodies body
. .
That that
is be
real real
suffering suffering
. .
What what
about about
farms farm
? ?
Today today
, ,
animals animal
are be
packed pack
together together
so so
closely closely
that that
the the
risk risk
of of
antibiotic antibiotic
resistance resistance
and and
epidemic epidemic
viruses virus
are be
at at
all-time all-time
highs high
. .
Did do
you you
know know
that that
2018 @card@
was be
the the
beginning beginning
of of
the the
largest large
farmed farm
animal animal
pandemic pandemic
ever ever
? ?
African african
swine swine
fever fever
has have
already already
killed kill
an an
estimated estimated
one one
in in
four four
pigs pig
on on
Earth earth
. .
One one
in in
four four
pigs pig
, ,
that that
is be
hundreds hundred
of of
millions million
of of
pigs pig
lost lose
from from
our our
food food
supply supply
. .
Animal animal
agriculture agriculture
is be
simply simply
too too
big big
to to
not not
fail fail
. .
What what
about about
our our
changing change
climate climate
? ?
Did do
you you
know know
that that
our our
global global
herd herd
of of
farmed farm
animals animal
is be
one one
of of
the the
biggest big
drivers driver
and and
victims victim
of of
climate climate
change change
? ?
On on
one one
hand hand
, ,
cows cow
alone alone
produce produce
nine nine
percent percent
of of
all all
greenhouse greenhouse
gas gas
emissions emission
. .
On on
the the
other other
hand hand
, ,
climate climate
chaos chaos
is be
seeing see
more more
and and
more more
incidences incidence
of of
thousands thousand
, ,
sometimes sometimes
tens ten
of of
thousands thousand
of of
cattle cattle
being be
lost lose
overnight overnight
in in
rogue rogue
storms storm
, ,
floods flood
and and
fires fire
. .
Farming farming
is be
always always
going go
to to
be be
at at
the the
mercy mercy
of of
Mother mother
Nature nature
, ,
but but
climate climate
change change
is be
rewriting rewrite
the the
rules rule
of of
farming farm
as as
we we
speak speak
. .
We we
need need
another another
way way
. .
Lastly lastly
, ,
our our
planet planet
. .
We we
dedicate dedicate
more more
of of
this this
Earth earth
to to
feeding feeding
cows cow
, ,
pigs pig
and and
chickens chicken
than than
we we
do do
to to
anything anything
else else
. .
About about
a a
third third
of of
this this
planet planet
, ,
27 @card@
percent percent
, ,
roughly roughly
equivalent equivalent
to to
all all
of of
North north
and and
South south
America america
combined combine
, ,
is be
dedicated dedicate
to to
raising raise
livestock livestock
. .
Now now
, ,
this this
could could
all all
change change
with with
cellular cellular
agriculture agriculture
. .
Remember remember
how how
I i
said say
it it
would would
require require
99 @card@
percent percent
less less
land land
to to
produce produce
cultured cultured
meat meat
versus versus
beef beef
? ?
Well well
, ,
think think
about about
it it
: :
ranching ranch
can can
' '
t t
go go
vertical vertical
, ,
but but
cell cell
culture culture
can can
. .
And and
if if
we we
can can
alleviate alleviate
half half
, ,
even even
a a
quarter quarter
, ,
of of
this this
land land
and and
meet meet
the the
global global
demand demand
for for
protein protein
, ,
well well
, ,
imagine imagine
what what
we we
can can
do do
with with
the the
rest rest
. .
Suddenly suddenly
, ,
it it
becomes become
possible possible
to to
choose choose
to to
do do
things thing
like like
restore restore
the the
Amazon amazon
rainforest rainforest
, ,
which which
we we
continue continue
to to
clear-cut clear-cut
for for
cattle cattle
, ,
or or
revive revive
other other
ecosystems ecosystem
that that
have have
been be
colonized colonize
by by
cows cow
, ,
corn corn
and and
soy soy
. .
Or or
return return
stolen steal
lands land
to to
Indigenous indigenous
peoples people
, ,
who who
can can
finally finally
reclaim reclaim
their their
ancestral ancestral
foodways foodway
. .
The the
United united
Nations nations
says say
that that
we we
will will
have have
to to
restore restore
nature nature
on on
land land
the the
size size
of of
China china
if if
we we
are be
to to
achieve achieve
climate climate
resilience resilience
. .
Cellular cellular
agriculture agriculture
actually actually
puts put
this this
on on
the the
table table
. .
Not not
only only
could could
we we
alleviate alleviate
land land
for for
restoration restoration
, ,
we we
can can
also also
create create
the the
products product
we we
know know
and and
love love
at at
a a
fraction fraction
of of
the the
emissions emission
. .
By by
farming farming
cells cell
, ,
we we
could could
actually actually
proactively proactively
envision envision
agriculture agriculture
for for
a a
climate-changed climate-changed
world world
. .
And and
it it
' '
s s
not not
just just
meat meat
. .
Actually actually
, ,
by by
engineering engineering
biology biology
, ,
we we
could could
theoretically theoretically
grow grow
anything anything
that that
might might
come come
from from
plants plant
or or
animals animal
from from
cells cell
instead instead
. .
Vanilla vanilla
doesn doesn
' '
t t
have have
to to
be be
rainforest rainforest
farmed farm
. .
Egg egg
whites white
don don
' '
t t
have have
to to
come come
with with
a a
yolk yolk
. .
Foie foie
gras gras
can can
be be
completely completely
cruelty-free cruelty-free
, ,
and and
leather leather
and and
silk silk
don don
' '
t t
have have
to to
come come
off off
the the
back back
of of
an an
animal animal
or or
the the
home home
of of
a a
silkworm silkworm
. .
In in
fact fact
, ,
we we
already already
consume consume
cellular cellular
agriculture agriculture
products product
in in
our our
everyday everyday
lives life
, ,
just just
in in
supersmall supersmall
quantities quantity
. .
Several several
vitamins vitamin
, ,
flavors flavor
and and
enzymes enzyme
are be
already already
made make
in in
cell cell
cultures culture
. .
In in
fact fact
, ,
rennet rennet
, ,
which which
is be
the the
set set
of of
enzymes enzyme
used use
to to
turn turn
milk milk
into into
curds curd
and and
whey whey
for for
cheese-making cheese-making
, ,
used use
to to
come come
from from
the the
stomach stomach
lining lining
of of
the the
fourth fourth
stomach stomach
of of
calves calf
, ,
baby baby
cows cow
. .
And and
in in
1990 @card@
, ,
a a
cell-cultured cell-cultured
version version
hit hit
the the
market market
. .
A a
version version
of of
the the
key key
enzyme enzyme
, ,
chymosin chymosin
. .
And and
today today
, ,
only only
30-ish 30-ish
years year
later later
, ,
90 @card@
percent percent
of of
rennet rennet
used use
for for
cheese-making cheese-making
came come
from from
a a
bioreactor bioreactor
instead instead
of of
a a
calf calf
. .
Now now
, ,
imagine imagine
what what
might might
happen happen
if if
we we
expand expand
beyond beyond
these these
small-volume small-volume
, ,
high-value high-value
products product
like like
rennet rennet
into into
commodity-level commodity-level
products product
like like
milk milk
. .
Well well
, ,
it it
' '
s s
getting get
started start
. .
Today today
, ,
you you
can can
buy buy
ice ice
cream cream
-- --
real real
dairy dairy
ice ice
cream cream
-- --
that that
was be
produced produce
by by
cellular cellular
agriculture agriculture
. .
This this
is be
cows cow
milk milk
that that
never never
came come
from from
a a
cow cow
. .
It it
came come
from from
a a
computer computer
. .
The the
gene gene
for for
whey whey
protein protein
was be
looked look
up up
in in
an an
open-source open-source
database database
, ,
printed print
and and
then then
inserted insert
into into
the the
DNA dna
of of
an an
organism organism
called call
trichoderma trichoderma
. .
Now now
, ,
just just
like like
in in
brewing brewing
, ,
where where
we we
feed feed
sugar sugar
to to
yeast yeast
to to
brew brew
alcohol alcohol
in in
a a
big big
stainless stainless
steel steel
fermenter fermenter
, ,
we we
feed feed
sugar sugar
to to
this this
modified modified
trichoderma trichoderma
and and
out out
comes come
whey whey
proteins protein
that that
we we
can can
put put
in in
yogurt yogurt
, ,
cream cream
cheese cheese
and and
ice ice
cream cream
. .
Now now
, ,
I i
have have
to to
admit admit
that that
maybe maybe
this this
is be
the the
easy easy
stuff stuff
, ,
relatively relatively
speaking speak
. .
I i
mean mean
, ,
we we
have have
been be
modifying modify
microorganisms microorganism
to to
make make
proteins protein
for for
us us
for for
decades decade
now now
. .
And and
tissue tissue
engineering engineering
, ,
which which
is be
what what
would would
be be
needed need
for for
meat meat
production production
, ,
is be
a a
lot lot
newer new
science science
. .
I i
mean mean
, ,
animal animal
cells cell
are be
just just
a a
lot lot
more more
finicky finicky
than than
microbes microbe
in in
cell cell
culture culture
, ,
and and
growing grow
a a
lot lot
of of
animal animal
cells cell
and and
achieving achieve
three three
dimensionality dimensionality
is be
just just
no no
easy easy
feat feat
. .
But but
we we
' '
re re
getting get
there there
. .
Back back
in in
2013 @card@
, ,
it it
cost cost
250 @card@
, ,
00 @card@
euros euros
to to
produce produce
this this
hamburger hamburger
, ,
and and
today today
, ,
I i
' '
ve ve
seen see
estimates estimate
of of
cell-cultured cell-cultured
meats meat
cost cost
as as
low low
as as
$50 $50
per per
pound pound
. .
That that
' '
s s
one one
twenty-seven-thousandth twenty-seven-thousandth
of of
what what
it it
was be
less less
than than
a a
decade decade
ago ago
. .
And and
I i
can can
really really
only only
see see
the the
price price
of of
cultured cultured
meat meat
coming come
down down
, ,
and and
I i
can can
only only
see see
the the
price price
of of
meat meat
from from
animals animal
going go
up up
. .
I i
mean mean
, ,
think think
about about
it it
-- --
we we
' '
re re
still still
in in
the the
early early
days day
of of
R r
and and
D d
. .
As as
scientific scientific
breakthroughs breakthrough
are be
made make
, ,
like like
recycling recycle
growth growth
medium medium
, ,
reducing reduce
the the
cost cost
of of
growth growth
factors factor
and and
achieving achieve
higher high
cell cell
density density
in in
vitro vitro
, ,
this this
curve curve
is be
still still
going go
to to
go go
down down
. .
Meanwhile meanwhile
, ,
the the
price price
of of
meat meat
from from
animals animal
is be
already already
artificially artificially
low low
due due
to to
heavy heavy
subsidization subsidization
. .
It it
does do
not not
reflect reflect
the the
cost cost
to to
the the
public public
health health
or or
to to
the the
environment environment
. .
And and
, ,
in in
a a
world world
changed change
by by
COVID covid
, ,
African african
swine swine
fever fever
and and
a a
changing change
climate climate
, ,
the the
price price
of of
meat meat
from from
animals animal
can can
only only
go go
up up
. .
In in
fact fact
, ,
I i
think think
that that
price price
parity parity
would would
be be
well well
within within
reach reach
if if
it it
were be
an an
even even
playing play
field field
. .
On on
one one
hand hand
, ,
we we
have have
animal animal
agriculture agriculture
, ,
which which
is be
so so
heavily heavily
supported support
by by
public public
funding funding
and and
government government
support support
. .
On on
the the
other other
hand hand
, ,
we we
have have
this this
very very
promising promising
technology technology
, ,
which which
requires require
very very
intensive intensive
R r
and and
D d
and and
needs need
a a
lot lot
of of
infrastructure infrastructure
and and
training training
support support
but but
is be
left leave
entirely entirely
in in
the the
hands hand
of of
the the
private private
sector sector
and and
market market
forces force
. .
In in
fact fact
, ,
I i
don don
' '
t t
think think
any any
of of
the the
wonderful wonderful
things thing
I i
just just
described describe
about about
rewilding rewilding
the the
Amazon amazon
and and
so so
on on
will will
happen happen
if if
we we
leave leave
this this
technology technology
solely solely
in in
the the
hands hand
of of
technology technology
and and
market market
forces force
. .
There there
' '
s s
a a
real real
chance chance
that that
cellular cellular
agriculture agriculture
could could
fail fail
, ,
and and
it it
won win
' '
t t
be be
because because
the the
science science
doesn doesn
' '
t t
add add
up up
. .
It it
' '
ll ll
be be
because because
we we
didn didn
' '
t t
think think
about about
what what
ownership ownership
should should
look look
like like
or or
IP ip
protection protection
or or
governance governance
or or
policy policy
-- --
you you
know know
, ,
the the
business business
side side
of of
mission-driven mission-driven
businesses business
. .
And and
we we
' '
re re
going go
to to
have have
to to
be be
very very
careful careful
and and
thoughtful thoughtful
about about
what what
this this
technology technology
needs need
around around
it it
so so
we we
can can
maximize maximize
the the
positive positive
impact impact
that that
it it
will will
have have
on on
this this
world world
. .
Look look
, ,
I i
' '
m m
here here
today today
because because
animal animal
products product
are be
just just
amazing amazing
, ,
and and
you you
would would
be be
hard-pressed hard-pressed
to to
find find
proteins protein
in in
the the
plant plant
world world
that that
can can
do do
what what
animal animal
proteins protein
can can
do do
: :
long long
, ,
stretchy stretchy
cheeses cheese
, ,
creamy creamy
custards custard
, ,
fluffy fluffy
meringues meringue
, ,
the the
incredibly incredibly
rich rich
umami umami
flavors flavor
that that
you you
can can
find find
in in
meat meat
and and
seafood seafood
. .
. .
. .
But but
despite despite
how how
amazing amazing
animal animal
proteins protein
are be
, ,
they they
just just
don don
' '
t t
need need
to to
come come
from from
animals animal
anymore anymore
. .
And and
yes yes
, ,
we we
' '
ve ve
got get
a a
long long
way way
to to
go go
to to
realize realize
the the
potential potential
of of
this this
technology technology
, ,
and and
it it
' '
s s
going go
to to
take take
ingenuity ingenuity
both both
inside inside
of of
the the
lab lab
and and
outside outside
of of
it it
, ,
too too
. .
But but
think think
about about
what what
we we
get get
in in
return return
. .
We we
get get
a a
chance chance
to to
usher usher
in in
a a
transformation transformation
as as
big big
for for
humanity humanity
as as
our our
transformation transformation
from from
hunting hunting
to to
agriculture agriculture
some some
12 @card@
, ,
000 @card@
years year
ago ago
. .
This this
could could
be be
a a
new new
era era
of of
abundance abundance
in in
so so
many many
different different
ways way
. .
I i
' '
m m
personally personally
most most
selfishly selfishly
excited excite
for for
the the
food food
products product
that that
I i
can can
' '
t t
even even
fathom fathom
today today
, ,
because because
this this
is be
really really
a a
new new
tool tool
for for
culinary culinary
creativity creativity
as as
well well
. .
I i
mean mean
, ,
we we
haven haven
' '
t t
really really
seen see
this this
since since
our our
ancestors ancestor
discovered discover
fermentation fermentation
a a
while while
back back
. .
What what
I i
mean mean
by by
that that
is be
, ,
we we
could could
have have
never never
looked look
at at
a a
glass glass
of of
milk milk
before before
we we
fermented ferment
foods food
and and
wanted want
it it
to to
be be
hard hard
and and
stinky stinky
and and
moldy moldy
. .
You you
know know
, ,
we we
could could
have have
never never
envisioned envision
cheese cheese
or or
the the
hundreds hundred
of of
varieties variety
of of
cheese cheese
that that
we we
have have
today today
. .
Similarly similarly
, ,
meat meat
is be
still still
defined define
by by
the the
body body
of of
an an
animal animal
. .
We we
still still
describe describe
it it
as as
cuts cut
of of
meat meat
. .
But but
if if
we we
can can
grow grow
meat meat
from from
cells cell
, ,
suddenly suddenly
the the
boundaries boundary
for for
what what
meat meat
can can
be be
will will
totally totally
change change
. .
Meat meat
could could
be be
thin thin
and and
translucent translucent
. .
It it
could could
be be
liquid liquid
. .
It it
could could
be be
crunchy crunchy
, ,
it it
could could
be be
bubbly bubbly
. .
Burgers burger
are be
the the
baseline baseline
and and
sausages sausage
are be
just just
a a
starting start
point point
, ,
and and
nuggets nugget
are be
nowhere nowhere
near near
what what
' '
s s
possible possible
with with
cellular cellular
agriculture agriculture
. .
Let let
' '
s s
dream dream
up up
a a
bigger big
, ,
bolder bold
future future
of of
food food
. .
Thank thank
you you
. .
