Can can
And and
a a
quick quick
shout shout
out out
to to
my my
son son
on on
the the
left-hand left-hand
side side
. .
Round round
of of
applause applause
for for
my my
son son
. .
He he
said say
to to
me me
this this
morning morning
, ,
" "
Daddy daddy
, ,
make make
sure sure
you you
mention mention
me me
. .
" "
So so
I i
was be
like like
, ,
" "
OK ok
, ,
son son
. .
Alright alright
. .
" "
So so
there there
you you
go go
for for
the the
recording recording
, ,
son son
. .
And and
the the
rest rest
are be
my my
other other
family family
, ,
that that
' '
s s
up up
there there
as as
well well
. .
Across across
queer queer
cultures culture
and and
the the
broader broad
community community
, ,
we we
have have
learned learn
to to
embrace embrace
our our
gender gender
and and
sexual sexual
differences difference
. .
We we
encourage encourage
individuals individual
to to
be be
allies ally
for for
each each
other other
and and
to to
support support
safe safe
spaces space
for for
those those
that that
are be
seen see
to to
not not
fit fit
in in
. .
We we
empower empower
and and
really really
encourage encourage
individuals individual
to to
really really
develop develop
and and
express express
their their
self-agency self-agency
, ,
their their
self-determination self-determination
, ,
their their
self self
love love
, ,
their their
self-worth self-worth
. .
We we
boldly boldly
go go
into into
spaces space
striving strive
to to
bring bring
others other
with with
us us
to to
ensure ensure
that that
we we
can can
create create
inclusive inclusive
societies society
for for
everyone everyone
. .
However however
, ,
the the
dominant dominant
Western western
view view
in in
queer queer
cultures culture
is be
still still
based base
on on
the the
individual individual
. .
Me me
, ,
myself myself
and and
I i
. .
And and
my my
individual individual
pursuits pursuit
towards towards
happiness happiness
. .
As as
a a
queer queer
Indigenous indigenous
Pacific pacific
person person
, ,
I i
feel feel
that that
there there
are be
parts part
of of
queer queer
culture culture
that that
is be
white white
, ,
feels feel
very very
white white
. .
We we
may may
fail fail
to to
see see
the the
importance importance
of of
bringing bring
our our
families family
and and
our our
cultural cultural
communities community
along along
our our
journey journey
as as
queer queer
people people
. .
It it
' '
s s
either either
the the
queer queer
way way
or or
the the
highway highway
. .
It it
' '
s s
one one
or or
the the
other other
. .
Young young
or or
old old
. .
Rich rich
or or
poor poor
. .
Smart smart
or or
stupid stupid
. .
Masculine masculine
or or
feminine feminine
. .
Fit fit
or or
fat fat
. .
These these
binaries binary
create create
a a
sense sense
of of
us us
and and
them them
, ,
those those
people people
. .
A a
binary binary
approach approach
and and
position position
that that
we we
generally generally
in in
Western western
white white
societies society
use use
to to
determine determine
the the
norm norm
. .
We we
create create
, ,
conflate conflate
, ,
perpetuate perpetuate
binaries binary
that that
create create
divisions division
in in
our our
society society
. .
Saints saint
or or
sinner sinner
, ,
straight straight
or or
gay gay
. .
I i
see see
it it
like like
this this
. .
Binaries binary
are be
a a
very very
white white
and and
Western western
way way
of of
thinking thinking
, ,
feeling feel
and and
behaving behave
. .
As as
individuals individual
today today
, ,
we we
live live
within within
these these
binaries binary
and and
create create
identities identity
that that
then then
create create
these these
labels label
. .
We we
use use
these these
labels label
to to
then then
define define
and and
confine confine
people people
and and
places place
. .
We we
are be
one one
or or
the the
other other
. .
But but
what what
we we
fail fail
to to
see see
is be
that that
our our
identities identity
are be
more more
than than
a a
set set
of of
binaries binary
. .
Our our
own own
identities identity
are be
comprised comprise
of of
intersecting intersect
identifiers identifier
that that
contributes contribute
to to
who who
you you
are be
, ,
including include
our our
age age
, ,
class class
, ,
color color
, ,
education education
, ,
gender gender
, ,
size size
, ,
spirituality spirituality
, ,
sexuality sexuality
, ,
and and
so so
, ,
so so
much much
more more
. .
We we
need need
to to
decolonize decolonize
queerness queerness
, ,
to to
live live
beyond beyond
" "
white white
is be
right right
, ,
West west
is be
best good
. .
" "
Because because
if if
we we
don don
' '
t t
, ,
we we
' '
re re
going go
to to
continue continue
to to
create create
silos silo
and and
divisions division
in in
our our
societies society
that that
don don
' '
t t
create create
inclusive inclusive
and and
safe safe
spaces space
for for
everyone everyone
. .
For for
Indigenous indigenous
queer queer
people people
, ,
they they
shape shape
our our
connection connection
to to
community community
and and
culture culture
, ,
our our
families family
. .
If if
we we
don don
' '
t t
include include
that that
within within
our our
understanding understanding
of of
who who
we we
are be
, ,
even even
as as
queer queer
people people
, ,
then then
we we
' '
re re
not not
able able
to to
be be
, ,
again again
, ,
our our
true true
and and
authentic authentic
selves self
. .
We we
' '
re re
not not
able able
to to
then then
be be
our our
fabulous fabulous
selves self
as as
part part
of of
the the
queer queer
community community
. .
And and
it it
' '
s s
really really
, ,
really really
interesting interesting
because because
I i
believe believe
that that
we we
can can
learn learn
so so
much much
from from
pre-colonial pre-colonial
cultures culture
like like
those those
that that
were be
practiced practice
in in
the the
Pacific pacific
, ,
that that
provide provide
a a
different different
way way
of of
looking look
at at
a a
society society
. .
A a
queer queer
way way
that that
pre-dates pre-date
all all
the the
privileges privilege
that that
go go
into into
binary binary
ways way
of of
thinking thinking
, ,
feeling feel
and and
behaving behave
. .
Across across
many many
of of
our our
Pacifica pacifica
languages language
we we
have have
a a
lot lot
of of
key key
concepts concept
that that
help help
solidify solidify
and and
support support
a a
shared share
understanding understanding
of of
the the
collective collective
. .
For for
example example
, ,
in in
Fijian fijian
, ,
" "
solesolevaki solesolevaki
" "
is be
all all
about about
reciprocal reciprocal
living living
, ,
where where
my my
wellbeing wellbeing
is be
your your
wellbeing wellbeing
. .
I i
will will
actively actively
seek seek
to to
ensure ensure
that that
your your
well-being well-being
and and
every every
part part
of of
your your
life life
is be
catered cater
for for
, ,
knowing know
that that
you you
will will
do do
the the
same same
for for
me me
. .
We we
strive strive
to to
enact enact
" "
veiqaravi veiqaravi
, ,
" "
as as
tatted tat
here here
on on
my my
hand hand
, ,
to to
serve serve
others other
. .
We we
strive strive
to to
also also
embed embed
and and
embold embold
and and
empower empower
people people
to to
practice practice
" "
veirokovi veirokovi
, ,
" "
respect respect
for for
self self
and and
others other
where where
we we
are be
relationally relationally
driven drive
, ,
where where
that that
is be
so so
important important
to to
our our
spaces space
and and
places place
. .
My my
sense sense
of of
ability ability
to to
actually actually
put put
this this
into into
practice practice
, ,
my my
ability ability
to to
actually actually
understand understand
these these
Indigenous indigenous
perspectives perspective
has have
greatly greatly
helped help
shape shape
and and
reconcile reconcile
my my
queer queer
identity identity
today today
. .
But but
what what
' '
s s
really really
interesting interesting
is be
that that
it it
' '
s s
not not
just just
queer queer
communities community
that that
need need
to to
decolonize decolonize
itself itself
. .
It it
' '
s s
all all
of of
us us
as as
a a
broader broad
society society
that that
needs need
to to
be be
part part
of of
a a
shared share
conversation conversation
to to
decolonize decolonize
, ,
deconstruct deconstruct
and and
disrupt disrupt
binary binary
ways way
of of
thinking thinking
, ,
feeling feel
and and
behaving behave
. .
So so
how how
can can
we we
practically practically
do do
that that
? ?
Practice practice
cultural cultural
humility humility
, ,
where where
you you
are be
constantly constantly
learning learn
and and
embracing embrace
differences difference
, ,
where where
you you
get get
over over
yourselves yourselves
and and
strive strive
to to
learn learn
about about
other other
people people
' '
s s
differences difference
and and
how how
that that
can can
be be
meaningfully meaningfully
included include
in in
the the
way way
in in
which which
you you
create create
safe safe
spaces space
for for
everyone everyone
. .
I i
also also
believe believe
it it
' '
s s
possible possible
to to
bring bring
Indigenous indigenous
perspectives perspective
into into
Western western
and and
white white
workplaces workplace
. .
For for
example example
, ,
I i
' '
ve ve
introduced introduce
the the
concept concept
of of
" "
talanoa talanoa
" "
in in
all all
of of
my my
work work
meetings meeting
. .
Talanoa talanoa
is be
all all
about about
being be
able able
to to
create create
a a
safe safe
space space
where where
everyone everyone
is be
able able
to to
contribute contribute
to to
a a
collective collective
, ,
collegial collegial
and and
collaborative collaborative
conversation conversation
. .
Where where
people people
are be
able able
to to
bring bring
their their
authentic authentic
selves self
into into
these these
spaces space
. .
Literally literally
, ,
I i
will will
chair chair
meetings meeting
where where
I i
have have
no no
firm firm
set set
agenda agenda
items item
and and
I i
literally literally
would would
just just
hold hold
space space
for for
participants participant
just just
to to
bring bring
themselves themselves
. .
So so
you you
can can
tell tell
I i
' '
m m
a a
social social
worker worker
, ,
right right
? ?
Safe safe
space space
, ,
safe safe
space space
, ,
safe safe
space space
. .
It it
' '
s s
OK ok
, ,
it it
' '
s s
OK ok
. .
But but
it it
' '
s s
through through
these these
safe safe
spaces space
that that
people people
can can
bring bring
their their
multiple multiple
, ,
intersecting intersect
identifiers identifier
, ,
including include
their their
age age
, ,
their their
class class
, ,
color color
, ,
education education
, ,
gender gender
, ,
size size
, ,
spirituality spirituality
, ,
sexuality sexuality
and and
so so
, ,
so so
much much
more more
. .
I i
invite invite
queer queer
communities community
to to
come come
talanoa talanoa
with with
Pacific pacific
Indigenous indigenous
Communities community
to to
create create
robust robust
and and
resilient resilient
queer queer
cultures culture
. .
I i
have have
been be
able able
to to
greatly greatly
reconcile reconcile
my my
queer queer
and and
Pacifica pacifica
identities identity
, ,
which which
has have
now now
really really
been be
embraced embrace
to to
help help
shape shape
how how
I i
see see
the the
world world
around around
me me
today today
. .
And and
it it
' '
s s
through through
these these
shared share
perspectives perspective
and and
approaches approach
that that
we we
can can
truly truly
embrace embrace
cultural cultural
diversity diversity
and and
its its
differences difference
. .
And and
to to
know know
that that
people people
can can
live live
beyond beyond
those those
binaries binary
and and
those those
labels label
we we
continue continue
to to
perpetuate perpetuate
and and
perpetrate perpetrate
against against
others other
. .
It it
is be
a a
commitment commitment
from from
queer queer
communities community
to to
decolonize decolonize
queerness queerness
. .
It it
' '
s s
a a
commitment commitment
from from
me me
, ,
from from
you you
and and
all all
of of
us us
to to
decolonize decolonize
Western western
and and
white white
societies society
and and
to to
live live
beyond beyond
the the
binary binary
way way
of of
thinking thinking
, ,
feeling feel
and and
behaving behave
. .
I i
genuinely genuinely
believe believe
that that
it it
' '
s s
through through
this this
common common
goal goal
that that
we we
can can
truly truly
learn learn
how how
to to
paint paint
with with
all all
the the
colors color
of of
the the
wind wind
. .
" "
Vinaka vinaka
vakalevu vakalevu
" "
and and
thank thank
you you
. .
