Mia mia
And and
I i
have have
to to
acknowledge acknowledge
that that
, ,
and and
I i
have have
to to
see see
that that
, ,
and and
so so
my my
new new
mantra mantra
is be
, ,
" "
Keep keep
calm calm
and and
trust trust
the the
team team
. .
" "
And and
also also
, ,
" "
Keep keep
calm calm
and and
thank thank
the the
team team
. .
" "
MB mb
: :
You you
know know
, ,
one one
of of
the the
things thing
I i
feel feel
like like
I i
' '
ve ve
heard hear
in in
the the
context context
of of
the the
Black black
Lives lives
Matter matter
movement movement
more more
than than
anywhere anywhere
else else
is be
about about
being be
a a
leaderful leaderful
movement movement
, ,
and and
that that
' '
s s
such such
a a
beautiful beautiful
concept concept
, ,
and and
I i
think think
that that
something something
that that
women woman
often often
bring bring
to to
the the
conversation conversation
about about
leadership leadership
is be
really really
the the
collective collective
piece piece
. .
What what
about about
you you
, ,
Alicia alicia
? ?
AG ag
: :
Yeah yeah
. .
. .
. .
How how
many many
of of
you you
heard hear
that that
saying say
that that
leadership leadership
is be
lonely lonely
? ?
I i
think think
that that
there there
is be
an an
element element
where where
leadership leadership
is be
lonely lonely
, ,
but but
I i
also also
believe believe
that that
it it
doesn doesn
' '
t t
have have
to to
be be
like like
that that
. .
And and
in in
order order
for for
us us
to to
get get
to to
that that
point point
, ,
I i
think think
there there
' '
s s
a a
few few
things thing
that that
we we
need need
to to
be be
doing do
. .
So so
one one
is be
we we
have have
to to
stop stop
treating treat
leaders leader
like like
superheroes superhero
. .
We we
are be
ordinary ordinary
people people
attempting attempt
to to
do do
extraordinary extraordinary
things thing
, ,
and and
so so
we we
need need
to to
be be
supported support
in in
that that
way way
. .
The the
other other
thing thing
that that
I i
' '
ve ve
learned learn
about about
leadership leadership
is be
that that
there there
' '
s s
a a
difference difference
between between
leadership leadership
and and
celebrities celebrity
, ,
right right
? ?
And and
there there
' '
s s
a a
way way
in in
which which
we we
' '
ve ve
been be
kind kind
of of
transformed transform
into into
celebrities celebrity
rather rather
than than
people people
who who
are be
trying try
to to
solve solve
a a
problem problem
. .
And and
the the
way way
that that
we we
treat treat
celebrities celebrity
is be
very very
fickle fickle
, ,
right right
? ?
We we
like like
them them
one one
day day
, ,
we we
don don
' '
t t
like like
what what
they they
' '
re re
wearing wear
the the
next next
day day
, ,
and and
all all
of of
a a
sudden sudden
we we
have have
issues issue
, ,
right right
? ?
So so
we we
need need
to to
stop stop
deifying deify
leaders leader
so so
that that
more more
people people
will will
step step
into into
leadership leadership
. .
Lots lot
of of
people people
are be
terrified terrify
to to
step step
into into
leadership leadership
because because
of of
how how
much much
scrutiny scrutiny
they they
receive receive
and and
how how
brutal brutal
we we
are be
with with
leaders leader
. .
And and
then then
the the
last last
thing thing
that that
I i
' '
ve ve
learned learn
about about
leadership leadership
is be
that that
it it
' '
s s
really really
easy easy
to to
be be
a a
leader leader
when when
everybody everybody
likes like
you you
. .
But but
it it
' '
s s
hard hard
to to
be be
a a
leader leader
when when
you you
have have
to to
make make
hard hard
choices choice
and and
when when
you you
have have
to to
do do
what what
' '
s s
right right
, ,
even even
though though
people people
are be
not not
going go
to to
like like
you you
for for
it it
. .
And and
so so
in in
that that
way way
, ,
I i
think think
another another
way way
that that
we we
can can
support support
leaders leader
is be
to to
struggle struggle
with with
us us
, ,
but but
struggle struggle
with with
us us
politically politically
, ,
not not
personally personally
. .
We we
can can
have have
disagreements disagreement
without without
being be
disagreeable disagreeable
, ,
but but
it it
' '
s s
important important
for for
us us
to to
sharpen sharpen
each each
other other
, ,
so so
that that
we we
all all
can can
rise rise
. .
MB mb
: :
That that
' '
s s
beautiful beautiful
, ,
thank thank
you you
. .
So so
you you
all all
are be
doing do
work work
that that
forces force
you you
to to
face face
some some
brutal brutal
, ,
painful painful
realities reality
on on
a a
daily daily
basis basis
. .
What what
gives give
you you
hope hope
and and
inspires inspire
you you
in in
that that
context context
? ?
PC pc
: :
I i
am be
hopeful hopeful
for for
black black
futures future
. .
And and
I i
say say
that that
because because
we we
live live
in in
a a
society society
that that
' '
s s
so so
obsessed obsess
with with
black black
death death
. .
We we
have have
images image
of of
our our
death death
on on
the the
TV tv
screen screen
, ,
on on
our our
Twitter twitter
timelines timeline
, ,
on on
our our
Facebook facebook
timelines timeline
, ,
but but
what what
if if
instead instead
we we
imagine imagine
black black
life life
? ?
We we
imagine imagine
black black
people people
living live
and and
thriving thrive
. .
And and
that that
— -
that that
inspires inspire
me me
. .
OT ot
: :
What what
inspires inspire
me me
these these
days day
are be
immigrants immigrant
. .
Immigrants immigrant
all all
over over
the the
world world
who who
are be
doing do
the the
best good
that that
they they
can can
to to
make make
a a
living living
, ,
to to
survive survive
and and
also also
to to
thrive thrive
. .
Right right
now now
there there
are be
over over
244 @card@
million million
people people
who who
aren aren
' '
t t
living living
in in
their their
country country
of of
origin origin
. .
This this
is be
a a
40 @card@
percent percent
increase increase
since since
the the
year year
2000 @card@
. .
So so
what what
this this
tells tell
me me
is be
that that
the the
disparities disparity
across across
the the
globe globe
are be
only only
getting get
worse bad
. .
Yet yet
there there
are be
people people
who who
are be
finding find
the the
strength strength
and and
wherewithal wherewithal
to to
travel travel
, ,
to to
move move
, ,
to to
eke eke
out out
a a
better good
living living
for for
themselves themselves
and and
to to
provide provide
for for
their their
families family
and and
their their
loved love
ones one
. .
And and
some some
of of
these these
people people
who who
are be
immigrants immigrant
are be
also also
undocumented undocumented
. .
They they
' '
re re
unauthorized unauthorized
. .
And and
they they
inspire inspire
me me
even even
more more
because because
although although
our our
society society
is be
telling tell
them them
, ,
you you
' '
re re
not not
wanted want
, ,
you you
' '
re re
not not
needed need
here here
, ,
and and
they they
' '
re re
highly highly
vulnerable vulnerable
and and
subject subject
to to
abuse abuse
, ,
to to
wage wage
theft theft
, ,
to to
exploitation exploitation
and and
xenophobic xenophobic
attacks attack
, ,
many many
of of
them them
are be
also also
beginning begin
to to
organize organize
in in
their their
communities community
. .
And and
what what
I i
' '
m m
seeing see
is be
that that
there there
' '
s s
also also
an an
emerging emerge
network network
of of
black black
, ,
undocumented undocumented
people people
who who
are be
resisting resist
the the
framework framework
, ,
and and
resisting resist
the the
criminalization criminalization
of of
their their
existence existence
. .
And and
that that
to to
me me
is be
incredibly incredibly
powerful powerful
and and
inspires inspire
me me
every every
singe singe
day day
. .
MB mb
: :
Thank thank
you you
. .
Alicia alicia
? ?
AG ag
: :
So so
we we
know know
that that
young young
people people
are be
the the
present present
and and
the the
future future
, ,
but but
what what
inspires inspire
me me
are be
older old
people people
who who
are be
becoming become
transformed transform
in in
the the
service service
of of
this this
movement movement
. .
We we
all all
know know
that that
as as
you you
get get
older old
, ,
you you
get get
a a
little little
more more
entrenched entrenched
in in
your your
ways way
. .
It it
' '
s s
happening happen
to to
me me
, ,
I i
know know
that that
' '
s s
right right
. .
But but
I i
' '
m m
so so
inspired inspire
when when
I i
see see
people people
who who
have have
a a
way way
that that
they they
do do
things thing
, ,
have have
a a
way way
that that
they they
think think
about about
the the
world world
, ,
and and
they they
' '
re re
courageous courageous
enough enough
to to
be be
open open
to to
listening listen
to to
what what
the the
experiences experience
are be
of of
so so
many many
of of
us us
who who
want want
to to
live live
in in
world world
that that
' '
s s
just just
and and
want want
to to
live live
in in
a a
world world
that that
' '
s s
equitable equitable
. .
And and
I i
' '
m m
also also
inspired inspire
by by
the the
actions action
that that
I i
' '
m m
seeing see
older old
people people
taking take
in in
service service
of of
this this
movement movement
. .
I i
' '
m m
inspired inspire
by by
seeing see
older old
people people
step step
into into
their their
own own
power power
and and
leadership leadership
and and
say say
, ,
" "
I i
' '
m m
not not
passing pass
a a
torch torch
, ,
I i
' '
m m
helping help
you you
light light
the the
fire fire
. .
" "
MB mb
: :
I i
love love
that that
— -
yes yes
. .
So so
in in
terms term
of of
action action
, ,
I i
think think
that that
it it
is be
awesome awesome
to to
sit sit
here here
and and
be be
able able
to to
listen listen
to to
you you
all all
, ,
and and
to to
have have
our our
minds mind
open open
and and
shift shift
, ,
but but
that that
' '
s s
not not
going go
to to
get get
black black
people people
free free
. .
So so
if if
you you
had have
one one
thing thing
you you
would would
like like
this this
audience audience
and and
the the
folks folk
who who
are be
watching watch
around around
the the
world world
to to
actually actually
do do
, ,
what what
would would
that that
be be
? ?
AG ag
: :
OK ok
, ,
two two
quick quick
ones one
. .
One one
, ,
call call
the the
White white
House house
. .
The the
water water
protectors protector
are be
being be
forcibly forcibly
removed remove
from from
the the
camp camp
that that
they they
have have
set set
up up
to to
defend defend
what what
keeps keep
us us
alive alive
. .
And and
that that
is be
intricately intricately
related relate
to to
black black
lives life
. .
So so
definitely definitely
call call
the the
White white
House house
and and
demand demand
that that
they they
stop stop
doing do
that that
. .
There there
are be
tanks tank
and and
police police
officers officer
arresting arrest
every every
single single
person person
there there
as as
we we
speak speak
. .
The the
second second
thing thing
that that
you you
can can
do do
is be
to to
join join
something something
. .
Be be
a a
part part
of of
something something
. .
There there
are be
groups group
, ,
collectives collective
— -
doesn doesn
' '
t t
have have
to to
be be
a a
non-profit non-profit
, ,
you you
know know
what what
I i
mean mean
? ?
But but
there there
are be
groups group
that that
are be
doing do
work work
in in
our our
communities community
right right
now now
to to
make make
sure sure
that that
black black
lives life
matter matter
so so
all all
lives life
matter matter
. .
Get get
involved involved
; ;
don don
' '
t t
sit sit
on on
your your
couch couch
and and
tell tell
people people
what what
you you
think think
they they
should should
be be
doing do
. .
Go go
do do
it it
with with
us us
. .
MB mb
: :
Do do
you you
guys guy
want want
to to
add add
anything anything
? ?
That that
' '
s s
good good
? ?
All all
right right
. .
So so
— -
And and
I i
think think
that that
the the
joining join
something something
, ,
like like
if if
you you
feel feel
like like
there there
' '
s s
not not
something something
where where
you you
are be
, ,
start start
it it
. .
AG ag
: :
Start start
it it
. .
MB mb
: :
These these
conversations conversation
that that
we we
' '
re re
having have
, ,
have have
those those
conversations conversation
with with
somebody somebody
else else
. .
And and
then then
instead instead
of of
just just
letting let
it it
be be
a a
talk talk
that that
you you
had have
, ,
actually actually
decide decide
to to
start start
something something
. .
OT ot
: :
That that
' '
s s
right right
. .
MB mb
: :
I i
mean mean
, ,
that that
' '
s s
what what
you you
all all
did do
. .
You you
started start
something something
, ,
and and
look look
what what
' '
s s
happened happen
. .
Thank thank
you you
all all
so so
much much
for for
being be
here here
with with
us us
today today
. .
OT ot
: :
Thank thank
you you
. .
