My my
ever ever
having have
the the
same same
color color
meeting meeting
. .
The the
directions direction
of of
the the
folds fold
at at
any any
vertex vertex
— -
the the
number number
of of
mountain mountain
folds fold
, ,
the the
number number
of of
valley valley
folds fold
— -
always always
differs differ
by by
two two
. .
Two two
more more
or or
two two
less less
. .
Nothing nothing
else else
. .
If if
you you
look look
at at
the the
angles angle
around around
the the
fold fold
, ,
you you
find find
that that
if if
you you
number number
the the
angles angle
in in
a a
circle circle
, ,
all all
the the
even-numbered even-numbered
angles angle
add add
up up
to to
a a
straight straight
line line
, ,
all all
the the
odd-numbered odd-numbered
angles angle
add add
up up
to to
a a
straight straight
line line
. .
And and
if if
you you
look look
at at
how how
the the
layers layer
stack stack
, ,
you you
' '
ll ll
find find
that that
no no
matter matter
how how
you you
stack stack
folds fold
and and
sheets sheet
, ,
a a
sheet sheet
can can
never never
penetrate penetrate
a a
fold fold
. .
So so
that that
' '
s s
four four
simple simple
laws law
. .
That that
' '
s s
all all
you you
need need
in in
origami origami
. .
All all
of of
origami origami
comes come
from from
that that
. .
And and
you you
' '
d d
think think
, ,
" "
Can can
four four
simple simple
laws law
give give
rise rise
to to
that that
kind kind
of of
complexity complexity
? ?
" "
But but
indeed indeed
, ,
the the
laws law
of of
quantum quantum
mechanics mechanic
can can
be be
written write
down down
on on
a a
napkin napkin
, ,
and and
yet yet
they they
govern govern
all all
of of
chemistry chemistry
, ,
all all
of of
life life
, ,
all all
of of
history history
. .
If if
we we
obey obey
these these
laws law
, ,
we we
can can
do do
amazing amazing
things thing
. .
So so
in in
origami origami
, ,
to to
obey obey
these these
laws law
, ,
we we
can can
take take
simple simple
patterns pattern
— -
like like
this this
repeating repeating
pattern pattern
of of
folds fold
, ,
called call
textures texture
— -
and and
by by
itself itself
it it
' '
s s
nothing nothing
. .
But but
if if
we we
follow follow
the the
laws law
of of
origami origami
, ,
we we
can can
put put
these these
patterns pattern
into into
another another
fold fold
that that
itself itself
might might
be be
something something
very very
, ,
very very
simple simple
, ,
but but
when when
we we
put put
it it
together together
, ,
we we
get get
something something
a a
little little
different different
. .
This this
fish fish
, ,
400 @card@
scales scale
— -
again again
, ,
it it
is be
one one
uncut uncut
square square
, ,
only only
folding fold
. .
And and
if if
you you
don don
' '
t t
want want
to to
fold fold
400 @card@
scales scale
, ,
you you
can can
back back
off off
and and
just just
do do
a a
few few
things thing
, ,
and and
add add
plates plate
to to
the the
back back
of of
a a
turtle turtle
, ,
or or
toes toe
. .
Or or
you you
can can
ramp ramp
up up
and and
go go
up up
to to
50 @card@
stars star
on on
a a
flag flag
, ,
with with
13 @card@
stripes stripe
. .
And and
if if
you you
want want
to to
go go
really really
crazy crazy
, ,
1 @card@
, ,
000 @card@
scales scale
on on
a a
rattlesnake rattlesnake
. .
And and
this this
guy guy
' '
s s
on on
display display
downstairs downstairs
, ,
so so
take take
a a
look look
if if
you you
get get
a a
chance chance
. .
The the
most most
powerful powerful
tools tool
in in
origami origami
have have
related relate
to to
how how
we we
get get
parts part
of of
creatures creature
. .
And and
I i
can can
put put
it it
in in
this this
simple simple
equation equation
. .
We we
take take
an an
idea idea
, ,
combine combine
it it
with with
a a
square square
, ,
and and
you you
get get
an an
origami origami
figure figure
. .
What what
matters matter
is be
what what
we we
mean mean
by by
those those
symbols symbol
. .
And and
you you
might might
say say
, ,
" "
Can can
you you
really really
be be
that that
specific specific
? ?
I i
mean mean
, ,
a a
stag stag
beetle beetle
— -
it it
' '
s s
got get
two two
points point
for for
jaws jaw
, ,
it it
' '
s s
got get
antennae antenna
. .
Can can
you you
be be
that that
specific specific
in in
the the
detail detail
? ?
" "
And and
yeah yeah
, ,
you you
really really
can can
. .
So so
how how
do do
we we
do do
that that
? ?
Well well
, ,
we we
break break
it it
down down
into into
a a
few few
smaller small
steps step
. .
So so
let let
me me
stretch stretch
out out
that that
equation equation
. .
I i
start start
with with
my my
idea idea
. .
I i
abstract abstract
it it
. .
What what
' '
s s
the the
most most
abstract abstract
form form
? ?
It it
' '
s s
a a
stick stick
figure figure
. .
And and
from from
that that
stick stick
figure figure
, ,
I i
somehow somehow
have have
to to
get get
to to
a a
folded fold
shape shape
that that
has have
a a
part part
for for
every every
bit bit
of of
the the
subject subject
, ,
a a
flap flap
for for
every every
leg leg
. .
And and
then then
once once
I i
have have
that that
folded fold
shape shape
that that
we we
call call
the the
base base
, ,
you you
can can
make make
the the
legs leg
narrower narrow
, ,
you you
can can
bend bend
them them
, ,
you you
can can
turn turn
it it
into into
the the
finished finished
shape shape
. .
Now now
the the
first first
step step
, ,
pretty pretty
easy easy
. .
Take take
an an
idea idea
, ,
draw draw
a a
stick stick
figure figure
. .
The the
last last
step step
is be
not not
so so
hard hard
, ,
but but
that that
middle middle
step step
— -
going go
from from
the the
abstract abstract
description description
to to
the the
folded fold
shape shape
— -
that that
' '
s s
hard hard
. .
But but
that that
' '
s s
the the
place place
where where
the the
mathematical mathematical
ideas idea
can can
get get
us us
over over
the the
hump hump
. .
And and
I i
' '
m m
going go
to to
show show
you you
all all
how how
to to
do do
that that
so so
you you
can can
go go
out out
of of
here here
and and
fold fold
something something
. .
But but
we we
' '
re re
going go
to to
start start
small small
. .
This this
base base
has have
a a
lot lot
of of
flaps flap
in in
it it
. .
We we
' '
re re
going go
to to
learn learn
how how
to to
make make
one one
flap flap
. .
How how
would would
you you
make make
a a
single single
flap flap
? ?
Take take
a a
square square
. .
Fold fold
it it
in in
half half
, ,
fold fold
it it
in in
half half
, ,
fold fold
it it
again again
, ,
until until
it it
gets get
long long
and and
narrow narrow
, ,
and and
then then
we we
' '
ll ll
say say
at at
the the
end end
of of
that that
, ,
that that
' '
s s
a a
flap flap
. .
I i
could could
use use
that that
for for
a a
leg leg
, ,
an an
arm arm
, ,
anything anything
like like
that that
. .
What what
paper paper
went go
into into
that that
flap flap
? ?
Well well
, ,
if if
I i
unfold unfold
it it
and and
go go
back back
to to
the the
crease crease
pattern pattern
, ,
you you
can can
see see
that that
the the
upper upper
left left
corner corner
of of
that that
shape shape
is be
the the
paper paper
that that
went go
into into
the the
flap flap
. .
So so
that that
' '
s s
the the
flap flap
, ,
and and
all all
the the
rest rest
of of
the the
paper paper
' '
s s
left leave
over over
. .
I i
can can
use use
it it
for for
something something
else else
. .
Well well
, ,
there there
are be
other other
ways way
of of
making make
a a
flap flap
. .
There there
are be
other other
dimensions dimension
for for
flaps flap
. .
If if
I i
make make
the the
flaps flap
skinnier skinny
, ,
I i
can can
use use
a a
bit bit
less less
paper paper
. .
If if
I i
make make
the the
flap flap
as as
skinny skinny
as as
possible possible
, ,
I i
get get
to to
the the
limit limit
of of
the the
minimum minimum
amount amount
of of
paper paper
needed need
. .
And and
you you
can can
see see
there there
, ,
it it
needs need
a a
quarter-circle quarter-circle
of of
paper paper
to to
make make
a a
flap flap
. .
There there
' '
s s
other other
ways way
of of
making make
flaps flap
. .
If if
I i
put put
the the
flap flap
on on
the the
edge edge
, ,
it it
uses use
a a
half half
circle circle
of of
paper paper
. .
And and
if if
I i
make make
the the
flap flap
from from
the the
middle middle
, ,
it it
uses use
a a
full full
circle circle
. .
So so
, ,
no no
matter matter
how how
I i
make make
a a
flap flap
, ,
it it
needs need
some some
part part
of of
a a
circular circular
region region
of of
paper paper
. .
So so
now now
we we
' '
re re
ready ready
to to
scale scale
up up
. .
What what
if if
I i
want want
to to
make make
something something
that that
has have
a a
lot lot
of of
flaps flap
? ?
What what
do do
I i
need need
? ?
I i
need need
a a
lot lot
of of
circles circle
. .
And and
in in
the the
1990s 1990s
, ,
origami origami
artists artist
discovered discover
these these
principles principle
and and
realized realize
we we
could could
make make
arbitrarily arbitrarily
complicated complicated
figures figure
just just
by by
packing pack
circles circle
. .
And and
here here
' '
s s
where where
the the
dead dead
people people
start start
to to
help help
us us
out out
, ,
because because
lots lot
of of
people people
have have
studied study
the the
problem problem
of of
packing pack
circles circle
. .
I i
can can
rely rely
on on
that that
vast vast
history history
of of
mathematicians mathematician
and and
artists artist
looking look
at at
disc disc
packings packing
and and
arrangements arrangement
. .
And and
I i
can can
use use
those those
patterns pattern
now now
to to
create create
origami origami
shapes shape
. .
So so
we we
figured figure
out out
these these
rules rule
whereby whereby
you you
pack pack
circles circle
, ,
you you
decorate decorate
the the
patterns pattern
of of
circles circle
with with
lines line
according accord
to to
more more
rules rule
. .
That that
gives give
you you
the the
folds fold
. .
Those those
folds fold
fold fold
into into
a a
base base
. .
You you
shape shape
the the
base base
. .
You you
get get
a a
folded fold
shape shape
— -
in in
this this
case case
, ,
a a
cockroach cockroach
. .
And and
it it
' '
s s
so so
simple simple
. .
It it
' '
s s
so so
simple simple
that that
a a
computer computer
could could
do do
it it
. .
And and
you you
say say
, ,
" "
Well well
, ,
you you
know know
, ,
how how
simple simple
is be
that that
? ?
" "
But but
computers computer
— -
you you
need need
to to
be be
able able
to to
describe describe
things thing
in in
very very
basic basic
terms term
, ,
and and
with with
this this
, ,
we we
could could
. .
So so
I i
wrote write
a a
computer computer
program program
a a
bunch bunch
of of
years year
ago ago
called call
TreeMaker treemaker
, ,
and and
you you
can can
download download
it it
from from
my my
website website
. .
It it
' '
s s
free free
. .
It it
runs run
on on
all all
the the
major major
platforms platform
— -
even even
Windows window
. .
And and
you you
just just
draw draw
a a
stick stick
figure figure
, ,
and and
it it
calculates calculate
the the
crease crease
pattern pattern
. .
It it
does do
the the
circle circle
packing packing
, ,
calculates calculate
the the
crease crease
pattern pattern
, ,
and and
if if
you you
use use
that that
stick stick
figure figure
that that
I i
just just
showed show
— -
which which
you you
can can
kind kind
of of
tell tell
, ,
it it
' '
s s
a a
deer deer
, ,
it it
' '
s s
got get
antlers antler
— -
you you
' '
ll ll
get get
this this
crease crease
pattern pattern
. .
And and
if if
you you
take take
this this
crease crease
pattern pattern
, ,
you you
fold fold
on on
the the
dotted dotted
lines line
, ,
you you
' '
ll ll
get get
a a
base base
that that
you you
can can
then then
shape shape
into into
a a
deer deer
, ,
with with
exactly exactly
the the
crease crease
pattern pattern
that that
you you
wanted want
. .
And and
if if
you you
want want
a a
different different
deer deer
, ,
not not
a a
white-tailed white-tailed
deer deer
, ,
but but
you you
want want
a a
mule mule
deer deer
, ,
or or
an an
elk elk
, ,
you you
change change
the the
packing packing
, ,
and and
you you
can can
do do
an an
elk elk
. .
Or or
you you
could could
do do
a a
moose moose
. .
Or or
, ,
really really
, ,
any any
other other
kind kind
of of
deer deer
. .
These these
techniques technique
revolutionized revolutionize
this this
art art
. .
We we
found find
we we
could could
do do
insects insect
, ,
spiders spider
, ,
which which
are be
close close
, ,
things thing
with with
legs leg
, ,
things thing
with with
legs leg
and and
wings wing
, ,
things thing
with with
legs leg
and and
antennae antenna
. .
And and
if if
folding fold
a a
single single
praying pray
mantis mantis
from from
a a
single single
uncut uncut
square square
wasn wasn
' '
t t
interesting interesting
enough enough
, ,
then then
you you
could could
do do
two two
praying pray
mantises mantis
from from
a a
single single
uncut uncut
square square
. .
She she
' '
s s
eating eat
him him
. .
I i
call call
it it
" "
Snack snack
Time time
. .
" "
And and
you you
can can
do do
more more
than than
just just
insects insect
. .
This this
— -
you you
can can
put put
details detail
, ,
toes toe
and and
claws claw
. .
A a
grizzly grizzly
bear bear
has have
claws claw
. .
This this
tree tree
frog frog
has have
toes toe
. .
Actually actually
, ,
lots lot
of of
people people
in in
origami origami
now now
put put
toes toe
into into
their their
models model
. .
Toes toe
have have
become become
an an
origami origami
meme meme
, ,
because because
everyone everyone
' '
s s
doing do
it it
. .
You you
can can
make make
multiple multiple
subjects subject
. .
So so
these these
are be
a a
couple couple
of of
instrumentalists instrumentalist
. .
The the
guitar guitar
player player
from from
a a
single single
square square
, ,
the the
bass bass
player player
from from
a a
single single
square square
. .
And and
if if
you you
say say
, ,
" "
Well well
, ,
but but
the the
guitar guitar
, ,
bass bass
— -
that that
' '
s s
not not
so so
hot hot
. .
Do do
a a
little little
more more
complicated complicated
instrument instrument
. .
" "
Well well
, ,
then then
you you
could could
do do
an an
organ organ
. .
And and
what what
this this
has have
allowed allow
is be
the the
creation creation
of of
origami-on-demand origami-on-demand
. .
So so
now now
people people
can can
say say
, ,
" "
I i
want want
exactly exactly
this this
and and
this this
and and
this this
, ,
" "
and and
you you
can can
go go
out out
and and
fold fold
it it
. .
And and
sometimes sometimes
you you
create create
high high
art art
, ,
and and
sometimes sometimes
you you
pay pay
the the
bills bill
by by
doing do
some some
commercial commercial
work work
. .
But but
I i
want want
to to
show show
you you
some some
examples example
. .
Everything everything
you you
' '
ll ll
see see
here here
, ,
except except
the the
car car
, ,
is be
origami origami
. .
Just just
to to
show show
you you
, ,
this this
really really
was be
folded fold
paper paper
. .
Computers computer
made make
things thing
move move
, ,
but but
these these
were be
all all
real real
, ,
folded fold
objects object
that that
we we
made make
. .
And and
we we
can can
use use
this this
not not
just just
for for
visuals visual
, ,
but but
it it
turns turn
out out
to to
be be
useful useful
even even
in in
the the
real real
world world
. .
Surprisingly surprisingly
, ,
origami origami
and and
the the
structures structure
that that
we we
' '
ve ve
developed develop
in in
origami origami
turn turn
out out
to to
have have
applications application
in in
medicine medicine
, ,
in in
science science
, ,
in in
space space
, ,
in in
the the
body body
, ,
consumer consumer
electronics electronics
and and
more more
. .
And and
I i
want want
to to
show show
you you
some some
of of
these these
examples example
. .
One one
of of
the the
earliest early
was be
this this
pattern pattern
, ,
this this
folded fold
pattern pattern
, ,
studied study
by by
Koryo koryo
Miura miura
, ,
a a
Japanese japanese
engineer engineer
. .
He he
studied study
a a
folding folding
pattern pattern
, ,
and and
realized realize
this this
could could
fold fold
down down
into into
an an
extremely extremely
compact compact
package package
that that
had have
a a
very very
simple simple
opening opening
and and
closing closing
structure structure
. .
And and
he he
used use
it it
to to
design design
this this
solar solar
array array
. .
It it
' '
s s
an an
artist artist
' '
s s
rendition rendition
, ,
but but
it it
flew fly
in in
a a
Japanese japanese
telescope telescope
in in
1995 @card@
. .
Now now
, ,
there there
is be
actually actually
a a
little little
origami origami
in in
the the
James james
Webb webb
Space space
Telescope telescope
, ,
but but
it it
' '
s s
very very
simple simple
. .
The the
telescope telescope
, ,
going go
up up
in in
space space
, ,
it it
unfolds unfold
in in
two two
places place
. .
It it
folds fold
in in
thirds third
. .
It it
' '
s s
a a
very very
simple simple
pattern pattern
— -
you you
wouldn wouldn
' '
t t
even even
call call
that that
origami origami
. .
They they
certainly certainly
didn didn
' '
t t
need need
to to
talk talk
to to
origami origami
artists artist
. .
But but
if if
you you
want want
to to
go go
higher high
and and
go go
larger large
than than
this this
, ,
then then
you you
might might
need need
some some
origami origami
. .
Engineers engineer
at at
Lawrence lawrence
Livermore livermore
National national
Lab lab
had have
an an
idea idea
for for
a a
telescope telescope
much much
larger large
. .
They they
called call
it it
the the
Eyeglass eyeglass
. .
The the
design design
called call
for for
geosynchronous geosynchronous
orbit orbit
25 @card@
, ,
000 @card@
miles mile
up up
, ,
100-meter 100-meter
diameter diameter
lens lens
. .
So so
, ,
imagine imagine
a a
lens lens
the the
size size
of of
a a
football football
field field
. .
There there
were be
two two
groups group
of of
people people
who who
were be
interested interested
in in
this this
: :
planetary planetary
scientists scientist
, ,
who who
want want
to to
look look
up up
, ,
and and
then then
other other
people people
, ,
who who
wanted want
to to
look look
down down
. .
Whether whether
you you
look look
up up
or or
look look
down down
, ,
how how
do do
you you
get get
it it
up up
in in
space space
? ?
You you
' '
ve ve
got get
to to
get get
it it
up up
there there
in in
a a
rocket rocket
. .
And and
rockets rocket
are be
small small
. .
So so
you you
have have
to to
make make
it it
smaller small
. .
How how
do do
you you
make make
a a
large large
sheet sheet
of of
glass glass
smaller small
? ?
Well well
, ,
about about
the the
only only
way way
is be
to to
fold fold
it it
up up
somehow somehow
. .
So so
you you
have have
to to
do do
something something
like like
this this
. .
This this
was be
a a
small small
model model
. .
Folded fold
lens lens
, ,
you you
divide divide
up up
the the
panels panel
, ,
you you
add add
flexures flexure
. .
But but
this this
pattern pattern
' '
s s
not not
going go
to to
work work
to to
get get
something something
100 @card@
meters meter
down down
to to
a a
few few
meters meter
. .
So so
the the
Livermore livermore
engineers engineer
, ,
wanting want
to to
make make
use use
of of
the the
work work
of of
dead dead
people people
, ,
or or
perhaps perhaps
live live
origamists origamist
, ,
said say
, ,
" "
Let let
' '
s s
see see
if if
someone someone
else else
is be
doing do
this this
sort sort
of of
thing thing
. .
" "
So so
they they
looked look
into into
the the
origami origami
community community
, ,
we we
got get
in in
touch touch
with with
them them
, ,
and and
I i
started start
working work
with with
them them
. .
And and
we we
developed develop
a a
pattern pattern
together together
that that
scales scale
to to
arbitrarily arbitrarily
large large
size size
, ,
but but
that that
allows allow
any any
flat flat
ring ring
or or
disc disc
to to
fold fold
down down
into into
a a
very very
neat neat
, ,
compact compact
cylinder cylinder
. .
And and
they they
adopted adopt
that that
for for
their their
first first
generation generation
, ,
which which
was be
not not
100 @card@
meters meter
— -
it it
was be
a a
five-meter five-meter
. .
But but
this this
is be
a a
five-meter five-meter
telescope telescope
— -
has have
about about
a a
quarter-mile quarter-mile
focal focal
length length
. .
And and
it it
works work
perfectly perfectly
on on
its its
test test
range range
, ,
and and
it it
indeed indeed
folds fold
up up
into into
a a
neat neat
little little
bundle bundle
. .
Now now
, ,
there there
is be
other other
origami origami
in in
space space
. .
Japan japan
Aerospace aerospace
[ [
Exploration exploration
] ]
Agency agency
flew fly
a a
solar solar
sail sail
, ,
and and
you you
can can
see see
here here
that that
the the
sail sail
expands expand
out out
, ,
and and
you you
can can
still still
see see
the the
fold fold
lines line
. .
The the
problem problem
that that
' '
s s
being be
solved solve
here here
is be
something something
that that
needs need
to to
be be
big big
and and
sheet-like sheet-like
at at
its its
destination destination
, ,
but but
needs need
to to
be be
small small
for for
the the
journey journey
. .
And and
that that
works work
whether whether
you you
' '
re re
going go
into into
space space
, ,
or or
whether whether
you you
' '
re re
just just
going go
into into
a a
body body
. .
And and
this this
example example
is be
the the
latter latter
. .
This this
is be
a a
heart heart
stent stent
developed develop
by by
Zhong zhong
You you
at at
Oxford oxford
University university
. .
It it
holds hold
open open
a a
blocked block
artery artery
when when
it it
gets get
to to
its its
destination destination
, ,
but but
it it
needs need
to to
be be
much much
smaller small
for for
the the
trip trip
there there
, ,
through through
your your
blood blood
vessels vessel
. .
And and
this this
stent stent
folds fold
down down
using use
an an
origami origami
pattern pattern
, ,
based base
on on
a a
model model
called call
the the
water water
bomb bomb
base base
. .
Airbag airbag
designers designer
also also
have have
the the
problem problem
of of
getting get
flat flat
sheets sheet
into into
a a
small small
space space
. .
And and
they they
want want
to to
do do
their their
design design
by by
simulation simulation
. .
So so
they they
need need
to to
figure figure
out out
how how
, ,
in in
a a
computer computer
, ,
to to
flatten flatten
an an
airbag airbag
. .
And and
the the
algorithms algorithm
that that
we we
developed develop
to to
do do
insects insect
turned turn
out out
to to
be be
the the
solution solution
for for
airbags airbag
to to
do do
their their
simulation simulation
. .
And and
so so
they they
can can
do do
a a
simulation simulation
like like
this this
. .
Those those
are be
the the
origami origami
creases crease
forming form
, ,
and and
now now
you you
can can
see see
the the
airbag airbag
inflate inflate
and and
find find
out out
, ,
does do
it it
work work
? ?
And and
that that
leads lead
to to
a a
really really
interesting interesting
idea idea
. .
You you
know know
, ,
where where
did do
these these
things thing
come come
from from
? ?
Well well
, ,
the the
heart heart
stent stent
came come
from from
that that
little little
blow-up blow-up
box box
that that
you you
might might
have have
learned learn
in in
elementary elementary
school school
. .
It it
' '
s s
the the
same same
pattern pattern
, ,
called call
the the
water water
bomb bomb
base base
. .
The the
airbag-flattening airbag-flattening
algorithm algorithm
came come
from from
all all
the the
developments development
of of
circle circle
packing packing
and and
the the
mathematical mathematical
theory theory
that that
was be
really really
developed develop
just just
to to
create create
insects insect
— -
things thing
with with
legs leg
. .
The the
thing thing
is be
, ,
that that
this this
often often
happens happen
in in
math math
and and
science science
. .
When when
you you
get get
math math
involved involve
, ,
problems problem
that that
you you
solve solve
for for
aesthetic aesthetic
value value
only only
, ,
or or
to to
create create
something something
beautiful beautiful
, ,
turn turn
around around
and and
turn turn
out out
to to
have have
an an
application application
in in
the the
real real
world world
. .
And and
as as
weird weird
and and
surprising surprising
as as
it it
may may
sound sound
, ,
origami origami
may may
someday someday
even even
save save
a a
life life
. .
Thanks thanks
. .
