Thirty thirty
connection connection
doesn doesn
' '
t t
take take
a a
pill pill
. .
It it
takes take
reaching reach
out out
. .
It it
takes take
listening listen
. .
And and
it it
takes take
a a
dose dose
of of
wonder wonder
. .
That that
really really
has have
become become
my my
unending unending
quest quest
, ,
set set
in in
motion motion
by by
Alice alice
and and
then then
later later
on on
by by
really really
countless countless
elders elder
in in
nursing nursing
homes home
and and
day day
centers center
and and
those those
struggling struggle
to to
stay stay
at at
home home
. .
And and
it it
comes come
down down
to to
the the
question question
of of
how how
. .
How how
do do
you you
meaningfully meaningfully
connect connect
? ?
I i
got get
a a
big big
part part
of of
that that
answer answer
from from
a a
long-married long-married
couple couple
in in
Milwaukee milwaukee
, ,
Wisconsin wisconsin
, ,
where where
I i
' '
m m
from from
, ,
Fran fran
and and
Jim jim
, ,
whom whom
I i
met meet
on on
a a
rather rather
dreary dreary
winter winter
day day
in in
their their
tiny tiny
, ,
little little
kitchen kitchen
in in
a a
humble humble
duplex duplex
over over
by by
Lake lake
Michigan michigan
. .
And and
when when
I i
walked walk
in in
, ,
Fran fran
and and
a a
caregiver caregiver
and and
a a
care care
manager manager
greeted greet
me me
really really
warmly warmly
, ,
and and
Jim jim
stood stand
staring stare
straight straight
ahead ahead
, ,
silent silent
. .
He he
was be
on on
a a
long long
, ,
slow slow
journey journey
into into
dementia dementia
and and
was be
now now
beyond beyond
words word
. .
I i
was be
there there
as as
part part
of of
a a
project project
team team
. .
We we
were be
doing do
what what
we we
called call
" "
artistic artistic
house house
calls call
, ,
" "
with with
a a
really really
simple simple
goal goal
of of
inviting invite
Jim jim
into into
creative creative
expression expression
, ,
and and
hopeful hopeful
in in
modeling model
for for
Fran fran
and and
the the
caregivers caregiver
how how
they they
could could
meaningfully meaningfully
connect connect
using use
imagination imagination
and and
wonder wonder
. .
Now now
, ,
this this
was be
going go
to to
be be
no no
small small
task task
, ,
because because
it it
turns turn
out out
Jim jim
had have
not not
spoken speak
in in
months month
. .
Could could
he he
even even
respond respond
if if
I i
invited invite
him him
into into
expression expression
? ?
I i
didn didn
' '
t t
know know
. .
Family family
members member
, ,
when when
they they
try try
to to
connect connect
, ,
most most
commonly commonly
will will
invoke invoke
a a
shared shared
past past
. .
We we
say say
things thing
like like
, ,
" "
Do do
you you
remember remember
that that
time time
? ?
" "
But but
nine nine
times time
out out
of of
10 @card@
, ,
the the
pathway pathway
for for
that that
one one
answer answer
to to
travel travel
in in
the the
brain brain
is be
broken break
, ,
and and
we we
' '
re re
left leave
alone alone
with with
a a
loved love
one one
in in
the the
fog fog
. .
But but
there there
is be
another another
way way
in in
. .
I i
call call
them them
beautiful beautiful
questions question
. .
A a
beautiful beautiful
question question
is be
one one
that that
opens open
a a
shared share
path path
of of
discovery discovery
. .
With with
no no
right right
or or
wrong wrong
answer answer
, ,
a a
beautiful beautiful
question question
helps help
us us
shift shift
away away
from from
the the
expectation expectation
of of
memory memory
into into
the the
freedom freedom
of of
imagination imagination
, ,
a a
thousand thousand
possible possible
responses response
for for
people people
with with
cognitive cognitive
challenges challenge
. .
Now now
, ,
back back
in in
the the
kitchen kitchen
, ,
I i
did do
know know
one one
thing thing
about about
Jim jim
. .
I i
knew know
that that
he he
liked like
to to
walk walk
along along
Lake lake
Michigan michigan
, ,
and and
when when
I i
looked look
around around
that that
kitchen kitchen
, ,
I i
saw see
, ,
over over
by by
the the
stove stove
, ,
this this
trunk trunk
that that
was be
just just
covered cover
in in
little little
pieces piece
of of
driftwood driftwood
. .
And and
I i
thought think
, ,
" "
I i
' '
ll ll
try try
a a
question question
that that
he he
could could
answer answer
without without
words word
. .
" "
So so
I i
tried try
, ,
" "
Jim jim
, ,
can can
you you
show show
me me
how how
water water
moves move
? ?
" "
It it
was be
silent silent
for for
a a
while while
, ,
but but
then then
really really
slowly slowly
he he
took take
a a
step step
over over
to to
that that
trunk trunk
and and
he he
picked pick
up up
a a
piece piece
of of
the the
driftwood driftwood
and and
he he
held hold
it it
out out
, ,
and and
then then
very very
slowly slowly
he he
began begin
to to
move move
his his
arm arm
, ,
leading lead
with with
that that
driftwood driftwood
. .
In in
his his
hand hand
, ,
it it
became become
buoyant buoyant
, ,
in in
sync sync
with with
the the
motion motion
of of
the the
waves wave
that that
he he
made make
with with
his his
arms arm
. .
It it
began begin
this this
slow slow
journey journey
across across
calm calm
waters water
, ,
this this
gentle gentle
rolling rolling
to to
the the
shore shore
. .
Transferring transfer
his his
weight weight
from from
left leave
to to
right right
and and
back back
again again
, ,
Jim jim
became become
the the
waves wave
. .
His his
grace grace
and and
his his
strength strength
just just
took take
our our
breath breath
away away
. .
For for
20 @card@
minutes minute
, ,
he he
animated animate
one one
piece piece
of of
driftwood driftwood
after after
the the
other other
. .
Suddenly suddenly
, ,
he he
was be
not not
disabled disable
. .
We we
were be
not not
gathered gather
in in
this this
kitchen kitchen
for for
a a
care care
crisis crisis
. .
Jim jim
was be
a a
master master
puppeteer puppeteer
, ,
an an
artist artist
, ,
a a
dancer dancer
. .
Fran fran
later later
told tell
me me
that that
that that
moment moment
had have
been be
a a
turning turn
point point
for for
her her
, ,
that that
she she
learned learn
how how
to to
connect connect
with with
him him
even even
as as
he he
progressed progress
through through
the the
dementia dementia
. .
And and
it it
really really
became become
a a
turning turn
point point
for for
me me
, ,
too too
. .
I i
learned learn
that that
this this
creative creative
, ,
open-ended open-ended
approach approach
could could
help help
families family
shift shift
, ,
expand expand
their their
understanding understanding
of of
dementia dementia
as as
more more
than than
just just
tragic tragic
emptiness emptiness
and and
loss loss
into into
also also
meaningful meaningful
connection connection
and and
hope hope
and and
love love
. .
Because because
, ,
creative creative
expression expression
in in
any any
form form
is be
generative generative
. .
It it
helps help
make make
beauty beauty
and and
meaning meaning
and and
value value
where where
there there
might might
have have
been be
absolutely absolutely
nothing nothing
before before
. .
If if
we we
can can
infuse infuse
that that
creativity creativity
into into
care care
, ,
caregivers caregiver
can can
invite invite
a a
partner partner
into into
meaning-making meaning-making
, ,
and and
in in
that that
moment moment
, ,
care care
, ,
which which
is be
so so
often often
associated associate
with with
loss loss
, ,
can can
become become
generative generative
. .
But but
so so
many many
settings setting
of of
care care
offer offer
bingo bingo
and and
balloon balloon
toss toss
. .
Activities activity
are be
passive passive
and and
entertainment-oriented entertainment-oriented
. .
Elders elders
sit sit
and and
watch watch
and and
applaud applaud
, ,
really really
just just
distracted distract
until until
the the
next next
meal meal
. .
Loved love
ones one
trying try
to to
keep keep
their their
partners partner
at at
home home
sometimes sometimes
don don
' '
t t
have have
anything anything
to to
do do
, ,
and and
so so
they they
resort resort
to to
watching watch
television television
alone alone
, ,
which which
compounds compound
the the
symptoms symptom
of of
dementia dementia
with with
what what
researchers researcher
now now
tell tell
us us
really really
are be
the the
devastating devastating
impacts impact
of of
social social
isolation isolation
and and
loneliness loneliness
. .
But but
what what
if if
meaning-making meaning-making
could could
be be
accessible accessible
to to
elders elder
and and
their their
care care
partners partner
wherever wherever
they they
lived live
? ?
I i
' '
ve ve
really really
been be
totally totally
transformed transform
and and
captivated captivate
by by
bringing bring
these these
creative creative
tools tool
to to
caregivers caregiver
and and
watching watch
that that
spark spark
of of
joy joy
and and
connection connection
, ,
discovering discover
that that
creative creative
play play
can can
remind remind
them them
of of
why why
they they
do do
what what
they they
do do
. .
Bringing bring
this this
creative creative
care care
to to
scale scale
could could
truly truly
shift shift
the the
field field
. .
But but
could could
we we
do do
it it
? ?
Could could
we we
infuse infuse
it it
into into
a a
whole whole
care care
organization organization
or or
an an
entire entire
care care
system system
? ?
The the
first first
step step
towards towards
that that
goal goal
for for
me me
was be
to to
assemble assemble
a a
giant giant
team team
of of
artists artist
and and
elders elder
and and
caregivers caregiver
in in
one one
care care
facility facility
in in
Milwaukee milwaukee
. .
Together together
, ,
over over
two two
years year
, ,
we we
tackled tackle
reimagining reimagine
the the
story story
of of
Homer homer
' '
s s
" "
Odyssey odyssey
. .
" "
We we
explored explore
themes theme
. .
We we
wrote write
poems poem
. .
Together together
, ,
we we
created create
a a
mile-long mile-long
weaving weave
. .
We we
choreographed choreograph
original original
dances dance
. .
We we
even even
explored explore
and and
learned learn
Ancient ancient
Greek greek
with with
the the
help help
of of
a a
classics classic
scholar scholar
. .
Hundreds hundred
of of
creative creative
workshops workshop
we we
embedded embed
into into
the the
daily daily
activities activity
calendar calendar
and and
invited invite
the the
family family
members member
to to
join join
right right
along along
with with
us us
, ,
and and
had have
caregivers caregiver
and and
staff staff
from from
every every
single single
area area
of of
care care
collaborating collaborate
on on
programming programming
for for
the the
first first
time time
. .
The the
culminating culminate
moment moment
was be
an an
original original
, ,
professionally professionally
produced produce
play play
that that
blended blend
the the
professional professional
performers performer
right right
alongside alongside
the the
elders elder
and and
the the
caregivers caregiver
, ,
and and
we we
invited invite
a a
paying pay
audience audience
to to
follow follow
us us
from from
scene scene
to to
scene scene
, ,
one one
in in
the the
nursing nursing
home home
, ,
in in
the the
assisted assist
living living
dining dining
room room
, ,
and and
finally finally
in in
the the
chapel chapel
for for
the the
final final
scene scene
where where
a a
chorus chorus
of of
elders elder
all all
playing play
Penelope penelope
lovingly lovingly
welcomed welcome
Odysseus odysseus
and and
the the
audience audience
home home
. .
Together together
, ,
we we
had have
dared dare
to to
make make
something something
beautiful beautiful
, ,
to to
invite invite
elders elder
, ,
some some
with with
dementia dementia
, ,
some some
on on
hospice hospice
, ,
into into
making make
meaning meaning
over over
time time
, ,
to to
learn learn
and and
grow grow
as as
artists artist
. .
All all
this this
in in
a a
place place
where where
people people
were be
dying die
every every
day day
. .
I i
find find
myself myself
now now
in in
a a
place place
where where
I i
' '
m m
having have
to to
tackle tackle
this this
challenge challenge
of of
meeting meet
a a
person person
with with
dementia dementia
across across
that that
gap gap
in in
a a
more more
personal personal
way way
. .
At at
a a
family family
dinner dinner
over over
the the
holidays holiday
, ,
my my
mother mother
, ,
who who
was be
seated seat
next next
to to
me me
, ,
turned turn
to to
me me
and and
said say
, ,
" "
Where where
' '
s s
Annie annie
? ?
" "
My my
funny funny
and and
beautiful beautiful
and and
feisty feisty
mother mother
had have
been be
diagnosed diagnose
with with
Alzheimer alzheimer
' '
s s
. .
And and
I i
found find
myself myself
in in
that that
place place
that that
everyone everyone
dreads dread
. .
She she
didn didn
' '
t t
recognize recognize
me me
. .
And and
I i
had have
to to
figure figure
out out
fast fast
if if
I i
could could
do do
what what
I i
' '
d d
been be
coaching coach
thousands thousand
of of
other other
people people
to to
do do
, ,
to to
connect connect
across across
that that
gap gap
. .
" "
Do do
you you
mean mean
Ellen ellen
? ?
" "
I i
said say
, ,
because because
my my
sister sister
' '
s s
empty empty
chair chair
was be
just just
right right
across across
the the
table table
from from
us us
. .
" "
She she
just just
went go
to to
the the
bathroom bathroom
. .
" "
And and
my my
mother mother
looked look
at at
me me
, ,
and and
then then
something something
deep deep
inside inside
sparked spark
, ,
and and
she she
reached reach
out out
and and
smiled smile
and and
touched touch
my my
shoulder shoulder
and and
she she
said say
, ,
" "
You you
' '
re re
right right
there there
. .
" "
And and
I i
said say
, ,
" "
Yes yes
, ,
I i
am be
right right
here here
. .
" "
I i
know know
that that
that that
moment moment
is be
going go
to to
happen happen
again again
and and
again again
, ,
not not
just just
for for
me me
and and
my my
mom mom
but but
for for
all all
47 @card@
million million
people people
across across
the the
world world
and and
the the
hundreds hundred
of of
millions million
more more
who who
love love
them them
. .
How how
will will
we we
answer answer
this this
challenge challenge
that that
is be
going go
to to
touch touch
the the
lives life
of of
every every
family family
? ?
How how
are be
our our
care care
systems system
going go
to to
answer answer
that that
challenge challenge
? ?
I i
hope hope
it it
is be
with with
a a
beautiful beautiful
question question
, ,
one one
that that
invites invite
us us
to to
find find
each each
other other
and and
connect connect
. .
I i
hope hope
our our
answer answer
is be
that that
we we
value value
care care
and and
that that
care care
can can
be be
generative generative
and and
beautiful beautiful
. .
And and
that that
care care
can can
put put
us us
in in
touch touch
with with
the the
deepest deep
parts part
of of
our our
humanity humanity
, ,
our our
yearning yearning
to to
connect connect
and and
make make
meaning mean
together together
all all
the the
way way
to to
the the
end end
. .
Thank thank
you you
. .
