June june
exploded explode
. .
But but
the the
word word
spread spread
faster faster
than than
the the
virus virus
, ,
and and
panic panic
spread spread
across across
the the
hospital hospital
. .
All all
the the
patients patient
ran run
away away
. .
Then then
, ,
all all
the the
nurses nurse
and and
doctors doctor
ran run
away away
. .
This this
was be
the the
beginning beginning
of of
our our
medical medical
tsunami tsunami
— -
the the
devastating devastating
Ebola ebola
virus virus
that that
left leave
an an
indelible indelible
scar scar
in in
our our
country country
' '
s s
history history
. .
I i
was be
not not
trained train
for for
this this
. .
I i
had have
just just
graduated graduate
from from
medical medical
school school
two two
years year
before before
. .
At at
this this
time time
, ,
my my
total total
knowledge knowledge
about about
Ebola ebola
came come
from from
a a
one-page one-page
article article
I i
had have
read read
in in
medical medical
school school
. .
I i
perceived perceive
the the
disease disease
as as
so so
dangerous dangerous
, ,
this this
one one
page page
in in
essence essence
had have
convinced convince
me me
to to
run run
out out
of of
the the
hospital hospital
, ,
too too
, ,
the the
moment moment
I i
heard hear
of of
a a
case case
of of
Ebola ebola
. .
But but
when when
it it
finally finally
happened happen
, ,
I i
stayed stay
on on
and and
decided decide
to to
help help
. .
And and
so so
did do
several several
other other
brave brave
health health
care care
professionals professional
. .
But but
we we
would would
pay pay
a a
heavy heavy
price price
. .
Many many
persons person
and and
health health
professionals professional
had have
become become
high-risk high-risk
contacts contact
. .
This this
actually actually
meant mean
21 @card@
days day
counting count
to to
potentially potentially
disease disease
or or
death death
. .
Our our
health health
systems system
were be
fragile fragile
, ,
our our
health health
workers worker
lacked lack
skills skill
and and
training training
. .
So so
in in
the the
weeks week
and and
months month
that that
followed follow
, ,
health health
workers worker
were be
disproportionately disproportionately
affected affect
by by
the the
Ebola ebola
virus virus
disease disease
. .
More more
than than
400 @card@
nurses nurse
, ,
doctors doctor
and and
other other
health health
professionals professional
became become
infected infected
. .
Unfortunately unfortunately
, ,
my my
friend friend
, ,
the the
general general
surgeon surgeon
who who
correctly correctly
identified identify
the the
symptoms symptom
in in
that that
first first
case case
became become
one one
of of
the the
casualties casualty
. .
On on
July july
27 @card@
, ,
the the
president president
of of
Liberia liberia
imposed impose
quarantine quarantine
on on
the the
worst-affected worst-affected
areas area
. .
She she
closed close
all all
the the
schools school
and and
universities university
and and
shut shut
down down
many many
public public
events event
. .
Four four
days day
later later
, ,
the the
United united
States states
Peace peace
Corps corps
pulled pull
out out
of of
Liberia liberia
, ,
out out
of of
Sierra sierra
Leone leone
and and
Guinea guinea
due due
to to
Ebola ebola
. .
In in
August august
, ,
six six
weeks week
after after
the the
nurse nurse
died die
, ,
hundreds hundred
of of
people people
were be
dying die
of of
the the
disease disease
each each
week week
. .
People people
were be
dying die
in in
the the
streets street
. .
Over over
the the
months month
that that
followed follow
, ,
West west
Africa africa
would would
lose lose
thousands thousand
of of
people people
to to
Ebola ebola
virus virus
disease disease
. .
In in
August august
, ,
I i
joined join
a a
team team
to to
set set
up up
the the
Ebola ebola
treatment treatment
unit unit
at at
JFK jfk
hospital hospital
in in
Monrovia monrovia
. .
I i
was be
charged charge
with with
running run
the the
second second
Ebola ebola
treatment treatment
unit unit
in in
the the
city city
. .
Our our
unit unit
provided provide
hope hope
for for
thousands thousand
of of
patients patient
, ,
families family
and and
communities community
. .
I i
not not
only only
provided provide
care care
, ,
I i
came come
face face
to to
face face
with with
Ebola ebola
. .
Living live
every every
day day
as as
a a
high-risk high-risk
Ebola ebola
virus virus
disease disease
contact contact
during during
the the
worst bad
of of
the the
outbreak outbreak
was be
one one
of of
my my
worst bad
experiences experience
. .
I i
started start
counting count
21 @card@
days day
every every
day day
. .
I i
lived live
every every
moment moment
anticipating anticipate
the the
onset onset
of of
symptoms symptom
of of
the the
disease disease
. .
I i
measured measure
my my
body body
temperature temperature
several several
times time
. .
I i
showered shower
with with
chlorinated chlorinate
water water
, ,
more more
concentrated concentrate
than than
actually actually
recommended recommend
. .
I i
chlorinated chlorinate
my my
phones phone
, ,
my my
pants pant
, ,
my my
hands hand
, ,
my my
car car
. .
My my
clothes clothes
became become
bleached bleach
. .
Those those
days day
you you
were be
alone alone
, ,
people people
were be
so so
afraid afraid
of of
touching touch
anybody anybody
. .
Everyone everyone
was be
counted count
as as
a a
potential potential
contact contact
. .
Touching touching
would would
make make
them them
sick sick
. .
I i
was be
stigmatized stigmatize
. .
But but
if if
that that
was be
what what
it it
was be
for for
me me
, ,
who who
was be
symptom-free symptom-free
, ,
imagine imagine
what what
it it
was be
for for
someone someone
who who
actually actually
had have
symptoms symptom
, ,
someone someone
who who
had have
Ebola ebola
. .
We we
learned learn
that that
to to
treat treat
Ebola ebola
successfully successfully
, ,
we we
had have
to to
suspend suspend
some some
of of
the the
normal normal
rules rule
of of
society society
. .
Our our
president president
declared declare
a a
state state
of of
emergency emergency
in in
August august
and and
suspended suspend
certain certain
rights right
. .
And and
the the
national national
police police
even even
supported support
our our
work work
during during
the the
Ebola ebola
response response
. .
In in
February february
2015 @card@
, ,
gang gang
members member
came come
in in
for for
isolation isolation
in in
our our
Ebola ebola
isolation isolation
unit unit
. .
They they
were be
also also
know know
as as
the the
VIP vip
Boys boys
of of
Monrovia monrovia
, ,
terrifying terrifying
small-time small-time
drug drug
addicts addict
whose whose
presence presence
could could
instill instill
a a
tremendous tremendous
amount amount
of of
fear fear
, ,
although although
they they
could could
not not
legally legally
carry carry
guns gun
. .
They they
underwent undergo
quarantine quarantine
for for
21 @card@
days day
in in
our our
unit unit
and and
were be
not not
arrested arrest
. .
We we
told tell
the the
police police
, ,
" "
If if
you you
arrest arrest
them them
here here
, ,
they they
will will
stop stop
coming come
, ,
they they
won win
' '
t t
get get
treated treat
. .
And and
the the
Ebola ebola
virus virus
will will
continue continue
to to
spread spread
. .
" "
The the
police police
agreed agree
, ,
and and
we we
were be
able able
to to
treat treat
the the
VIP vip
Boys boys
, ,
and and
they they
did do
not not
have have
to to
worry worry
about about
being be
arrested arrest
while while
in in
the the
unit unit
. .
Over over
the the
course course
of of
the the
outbreak outbreak
, ,
West west
Africa africa
had have
almost almost
29 @card@
, ,
000 @card@
cases case
. .
More more
than than
11 @card@
, ,
000 @card@
people people
died die
. .
And and
that that
included include
12 @card@
of of
my my
fine fine
colleagues colleague
at at
John john
F f
. .
Kennedy kennedy
hospital hospital
in in
Monrovia monrovia
. .
In in
June june
2016 @card@
, ,
exactly exactly
23 @card@
months month
after after
my my
first first
Ebola ebola
patient patient
died die
, ,
Liberia liberia
declared declare
its its
Ebola ebola
outbreak outbreak
ended end
. .
We we
thought think
that that
once once
the the
outbreak outbreak
ended end
, ,
so so
did do
the the
problems problem
. .
We we
hoped hope
that that
life life
would would
go go
back back
to to
normal normal
. .
Today today
, ,
there there
are be
more more
than than
17 @card@
, ,
000 @card@
survivors survivor
in in
West west
Africa africa
. .
People people
who who
actually actually
had have
Ebola ebola
virus virus
disease disease
, ,
lived live
through through
it it
and and
survived survive
. .
We we
counted count
survival survival
rate rate
as as
a a
success success
: :
the the
end end
of of
suffering suffer
for for
the the
patient patient
and and
fulfilling fulfill
joy joy
for for
families family
. .
Every every
discharge discharge
from from
the the
unit unit
was be
a a
moment moment
of of
jubilation jubilation
. .
At at
least least
so so
we we
thought think
. .
The the
best good
description description
of of
the the
moment moment
of of
discharge discharge
and and
a a
rare rare
glimpse glimpse
into into
the the
moment moment
that that
defines define
our our
life life
post-Ebola post-ebola
was be
vividly vividly
expressed express
in in
the the
words word
of of
my my
best good
friend friend
and and
fellow fellow
doctor doctor
, ,
Philip philip
Ireland ireland
, ,
in in
an an
interview interview
with with
" "
The the
Times times
. .
" "
He he
said say
at at
the the
time time
of of
his his
release release
, ,
" "
There there
were be
a a
lot lot
of of
people people
there there
from from
JFK jfk
hospital hospital
: :
my my
family family
, ,
my my
elder elder
brother brother
, ,
my my
wife wife
was be
there there
. .
A a
lot lot
of of
other other
doctors doctor
were be
there there
, ,
too too
, ,
and and
members member
of of
the the
media medium
were be
there there
. .
And and
I i
felt feel
like like
Nelson nelson
Mandela mandela
, ,
it it
felt feel
like like
the the
' '
Long long
Walk walk
to to
Freedom freedom
, ,
' '
and and
I i
walked walk
and and
raised raise
my my
hands hand
to to
the the
heaven heaven
, ,
thanking thank
God god
for for
saving save
my my
life life
. .
" "
And and
Philip philip
said say
, ,
" "
Then then
I i
saw see
something something
else else
. .
There there
were be
a a
lot lot
of of
crying cry
people people
, ,
people people
happy happy
to to
see see
me me
. .
But but
when when
I i
got get
close close
to to
anybody anybody
, ,
they they
backed back
away away
. .
" "
For for
many many
Ebola ebola
survivors survivor
, ,
society society
still still
seems seem
to to
be be
backing back
away away
, ,
even even
as as
they they
struggle struggle
to to
lead lead
a a
normal normal
life life
. .
For for
these these
survivors survivor
, ,
life life
can can
be be
compared compare
to to
another another
health health
emergency emergency
. .
They they
may may
suffer suffer
debilitating debilitating
joint joint
and and
body body
pain pain
. .
The the
suffering suffering
gradually gradually
decays decay
over over
time time
for for
most most
. .
However however
, ,
many many
continue continue
to to
bear bear
intermittent intermittent
pain pain
. .
Some some
survivors survivor
are be
blind blind
, ,
others other
have have
neurological neurological
disabilities disability
. .
Some some
survivors survivor
experience experience
stigmatization stigmatization
every every
day day
, ,
in in
many many
ways way
. .
A a
lot lot
of of
children child
are be
orphans orphan
. .
Some some
survivors survivor
experience experience
post-traumatic post-traumatic
stress stress
disorder disorder
. .
And and
some some
survivors survivor
lack lack
opportunity opportunity
for for
education education
. .
Even even
families family
can can
be be
split split
apart apart
by by
fear fear
of of
Ebola ebola
, ,
too too
. .
There there
' '
s s
no no
definitive definitive
cure cure
for for
transmitting transmit
Ebola ebola
virus virus
through through
sex sex
. .
However however
, ,
there there
are be
successful successful
interventions intervention
for for
prevention prevention
. .
We we
have have
worked work
hard hard
on on
semen semen
testing testing
, ,
behavioral behavioral
counseling counseling
, ,
safe safe
sex sex
promotion promotion
and and
research research
. .
For for
the the
past past
year year
, ,
there there
have have
been be
no no
cases case
of of
sexual sexual
transmission transmission
. .
But but
some some
male male
survivors survivor
have have
lost lose
their their
spouses spouse
out out
of of
fear fear
they they
will will
be be
infected infect
with with
Ebola ebola
. .
That that
' '
s s
how how
families family
are be
torn tear
apart apart
. .
Another another
tremendous tremendous
challenge challenge
for for
Ebola ebola
survivors survivor
is be
obtaining obtain
adequate adequate
health health
care care
. .
In in
theory theory
, ,
Liberia liberia
' '
s s
public public
health health
services service
are be
free free
of of
charge charge
. .
In in
practice practice
, ,
our our
health health
system system
lacks lack
the the
funding funding
and and
capacity capacity
to to
expand expand
care care
to to
all all
at at
the the
point point
of of
need need
. .
Many many
survivors survivor
have have
waited wait
many many
months month
to to
undergo undergo
surgery surgery
to to
heal heal
their their
blinding blinding
cataracts cataract
. .
Few few
had have
to to
relive relive
the the
traumatic traumatic
experience experience
, ,
when when
their their
blood blood
was be
retested retest
for for
Ebola ebola
at at
the the
point point
of of
admission admission
. .
Some some
survivors survivor
experienced experience
delayed delay
or or
deferred defer
admission admission
due due
to to
limited limited
bed bed
capacity capacity
. .
No no
bed bed
available available
for for
one one
more more
patient patient
. .
This this
is be
neither neither
national national
policy policy
nor nor
officially officially
condoned condone
, ,
but but
many many
people people
are be
still still
afraid afraid
of of
the the
sporadic sporadic
resurgence resurgence
of of
Ebola ebola
virus virus
. .
The the
results result
can can
be be
tragic tragic
. .
I i
have have
seen see
Beatrice beatrice
, ,
an an
Ebola ebola
survivor survivor
, ,
several several
times time
now now
. .
She she
' '
s s
26 @card@
years year
old old
. .
Many many
of of
her her
family family
members member
became become
infected infected
, ,
she she
luckily luckily
survived survive
. .
But but
since since
that that
day day
in in
2014 @card@
she she
was be
discharged discharge
to to
cheering cheer
health health
workers worker
, ,
her her
life life
has have
never never
been be
the the
same same
. .
She she
became become
blind blind
as as
the the
result result
of of
Ebola ebola
. .
In in
2014 @card@
, ,
the the
baby baby
of of
a a
dear dear
friend friend
of of
mine mine
was be
only only
two two
months month
old old
, ,
when when
both both
parents parent
and and
child child
were be
admitted admit
in in
an an
Ebola ebola
treatment treatment
unit unit
in in
Monrovia monrovia
. .
Luckily luckily
, ,
they they
survived survive
. .
My my
friend friend
' '
s s
baby baby
is be
almost almost
three three
years year
old old
now now
, ,
but but
cannot can
stand stand
, ,
cannot can
walk walk
, ,
cannot can
speak speak
. .
He he
has have
failure failure
to to
thrive thrive
. .
There there
are be
many many
more more
hidden hidden
experiences experience
and and
many many
stories story
are be
yet yet
untold untold
. .
The the
survivors survivor
of of
Ebola ebola
deserve deserve
our our
attention attention
and and
support support
. .
The the
only only
way way
we we
can can
defeat defeat
this this
pandemic pandemic
is be
when when
we we
ensure ensure
that that
we we
win win
this this
final final
battle battle
. .
Our our
best good
opportunity opportunity
is be
to to
ensure ensure
that that
every every
survivor survivor
receives receive
adequate adequate
care care
at at
the the
point point
of of
need need
without without
any any
form form
of of
stigma stigma
and and
at at
no no
cost cost
to to
them them
personally personally
. .
How how
can can
a a
society society
consider consider
itself itself
healed heal
when when
a a
person person
' '
s s
entire entire
identity identity
is be
defined define
by by
the the
fact fact
that that
they they
recovered recover
from from
Ebola ebola
? ?
Should should
a a
previous previous
disease disease
that that
a a
person person
no no
longer longer
has have
become become
the the
sum sum
total total
of of
their their
identity identity
, ,
the the
identifier identifier
in in
their their
passport passport
that that
deters deter
you you
from from
traveling travel
to to
seek seek
medical medical
care care
abroad abroad
? ?
Simply simply
the the
ID id
that that
denies deny
you you
health health
care care
. .
Or or
prevents prevent
you you
from from
having have
a a
relationship relationship
with with
your your
spouse spouse
. .
Or or
denies deny
you you
of of
family family
, ,
of of
friend friend
or or
home home
. .
Or or
prevents prevent
you you
from from
carrying carry
on on
your your
normal normal
job job
, ,
so so
you you
can can
put put
food food
on on
the the
table table
or or
have have
a a
roof roof
over over
your your
family family
' '
s s
head head
. .
What what
is be
the the
meaning meaning
of of
the the
right right
to to
life life
when when
our our
life life
is be
clouded cloud
by by
stigma stigma
and and
barriers barrier
that that
fuel fuel
that that
stigma stigma
? ?
Until until
we we
have have
much much
better good
answers answer
to to
those those
questions question
in in
West west
Africa africa
, ,
our our
work work
is be
not not
over over
yet yet
. .
Liberians liberian
are be
a a
resilient resilient
people people
. .
And and
we we
know know
how how
to to
rise rise
to to
a a
challenge challenge
, ,
even even
a a
devastating devastating
one one
. .
My my
best good
memories memory
of of
the the
outbreak outbreak
center center
on on
those those
many many
people people
who who
survived survive
the the
disease disease
, ,
but but
I i
cannot can
forget forget
the the
hard-working hard-working
nurses nurse
, ,
doctors doctor
, ,
volunteers volunteer
and and
staff staff
who who
risked risk
their their
own own
safety safety
in in
service service
of of
humanity humanity
. .
And and
some some
even even
losing lose
their their
lives life
in in
the the
process process
. .
During during
the the
worst bad
of of
the the
contagion contagion
, ,
one one
thing thing
kept keep
us us
making make
those those
perilous perilous
daily daily
journeys journey
into into
the the
Ebola ebola
wards ward
. .
We we
had have
a a
passion passion
to to
save save
lives life
. .
Was be
I i
afraid afraid
during during
the the
Ebola ebola
outbreak outbreak
? ?
Of of
course course
I i
was be
. .
But but
for for
me me
, ,
the the
opportunity opportunity
to to
protect protect
our our
global global
health health
security security
and and
keep keep
communities community
safe safe
at at
home home
and and
abroad abroad
was be
an an
honor honor
. .
So so
as as
the the
dangers danger
became become
greater great
, ,
our our
humanity humanity
became become
stronger strong
. .
We we
faced face
our our
fears fear
. .
The the
global global
health health
community community
working work
together together
defeated defeat
Ebola ebola
, ,
and and
that that
. .
. .
. .
that that
is be
how how
I i
know know
that that
we we
can can
defeat defeat
its its
aftermath aftermath
in in
our our
hearts heart
, ,
in in
our our
minds mind
and and
in in
our our
communities community
. .
Thank thank
you you
. .
