Looking look
muscle muscle
leg leg
fatigue fatigue
. .
Through through
technological technological
innovation innovation
, ,
I i
returned return
to to
my my
sport sport
, ,
stronger strong
and and
better good
. .
Technology technology
had have
eliminated eliminate
my my
disability disability
, ,
and and
allowed allow
me me
a a
new new
climbing climb
prowess prowess
. .
As as
a a
young young
man man
, ,
I i
imagined imagine
a a
future future
world world
where where
technology technology
so so
advanced advance
could could
rid rid
the the
world world
of of
disability disability
, ,
a a
world world
in in
which which
neural neural
implants implant
would would
allow allow
the the
visually visually
impaired impair
to to
see see
. .
A a
world world
in in
which which
the the
paralyzed paralyzed
could could
walk walk
, ,
via via
body body
exoskeletons exoskeleton
. .
Sadly sadly
, ,
because because
of of
deficiencies deficiency
in in
technology technology
, ,
disability disability
is be
rampant rampant
in in
the the
world world
. .
This this
gentleman gentleman
is be
missing miss
three three
limbs limb
. .
As as
a a
testimony testimony
to to
current current
technology technology
, ,
he he
is be
out out
of of
the the
wheelchair wheelchair
, ,
but but
we we
need need
to to
do do
a a
better good
job job
in in
bionics bionics
, ,
to to
allow allow
, ,
one one
day day
, ,
full full
rehabilitation rehabilitation
for for
a a
person person
with with
this this
level level
of of
injury injury
. .
At at
the the
MIT mit
Media media
Lab lab
, ,
we we
' '
ve ve
established establish
the the
Center center
for for
Extreme extreme
Bionics bionics
. .
The the
mission mission
of of
the the
center center
is be
to to
put put
forth forth
fundamental fundamental
science science
and and
technological technological
capability capability
that that
will will
allow allow
the the
biomechatronic biomechatronic
and and
regenerative regenerative
repair repair
of of
humans human
, ,
across across
a a
broad broad
range range
of of
brain brain
and and
body body
disabilities disability
. .
Today today
, ,
I i
' '
m m
going go
to to
tell tell
you you
how how
my my
legs leg
function function
, ,
how how
they they
work work
, ,
as as
a a
case case
in in
point point
for for
this this
center center
. .
Now now
, ,
I i
made make
sure sure
to to
shave shave
my my
legs leg
last last
night night
, ,
because because
I i
knew know
I i
' '
d d
be be
showing show
them them
off off
. .
Bionics bionics
entails entail
the the
engineering engineering
of of
extreme extreme
interfaces interface
. .
There there
' '
s s
three three
extreme extreme
interfaces interface
in in
my my
bionic bionic
limbs limb
: :
mechanical mechanical
, ,
how how
my my
limbs limb
are be
attached attach
to to
my my
biological biological
body body
; ;
dynamic dynamic
, ,
how how
they they
move move
like like
flesh flesh
and and
bone bone
; ;
and and
electrical electrical
, ,
how how
they they
communicate communicate
with with
my my
nervous nervous
system system
. .
I i
' '
ll ll
begin begin
with with
mechanical mechanical
interface interface
. .
In in
the the
area area
of of
design design
, ,
we we
still still
do do
not not
understand understand
how how
to to
attach attach
devices device
to to
the the
body body
mechanically mechanically
. .
It it
' '
s s
extraordinary extraordinary
to to
me me
that that
in in
this this
day day
and and
age age
, ,
one one
of of
the the
most most
mature mature
, ,
oldest old
technologies technology
in in
the the
human human
timeline timeline
, ,
the the
shoe shoe
, ,
still still
gives give
us us
blisters blister
. .
How how
can can
this this
be be
? ?
We we
have have
no no
idea idea
how how
to to
attach attach
things thing
to to
our our
bodies body
. .
This this
is be
the the
beautifully beautifully
lyrical lyrical
design design
work work
of of
Professor professor
Neri neri
Oxman oxman
at at
the the
MIT mit
Media media
Lab lab
, ,
showing show
spatially spatially
varying vary
exoskeletal exoskeletal
impedances impedance
, ,
shown show
here here
by by
color color
variation variation
in in
this this
3D- 3d-
printed printed
model model
. .
Imagine imagine
a a
future future
where where
clothing clothing
is be
stiff stiff
and and
soft soft
where where
you you
need need
it it
, ,
when when
you you
need need
it it
, ,
for for
optimal optimal
support support
and and
flexibility flexibility
, ,
without without
ever ever
causing cause
discomfort discomfort
. .
My my
bionic bionic
limbs limb
are be
attached attach
to to
my my
biological biological
body body
via via
synthetic synthetic
skins skin
with with
stiffness stiffness
variations variation
, ,
that that
mirror mirror
my my
underlying underlie
tissue tissue
biomechanics biomechanic
. .
To to
achieve achieve
that that
mirroring mirror
, ,
we we
first first
developed develop
a a
mathematical mathematical
model model
of of
my my
biological biological
limb limb
. .
To to
that that
end end
, ,
we we
used use
imaging imaging
tools tool
such such
as as
MRI mri
, ,
to to
look look
inside inside
my my
body body
, ,
to to
figure figure
out out
the the
geometries geometry
and and
locations location
of of
various various
tissues tissue
. .
We we
also also
took take
robotic robotic
tools tool
— -
here here
' '
s s
a a
14-actuator 14-actuator
circle circle
that that
goes go
around around
the the
biological biological
limb limb
. .
The the
actuators actuator
come come
in in
, ,
find find
the the
surface surface
of of
the the
limb limb
, ,
measure measure
its its
unloaded unloaded
shape shape
, ,
and and
then then
they they
push push
on on
the the
tissues tissue
to to
measure measure
tissue tissue
compliances compliance
at at
each each
anatomical anatomical
point point
. .
We we
combine combine
these these
imaging imaging
and and
robotic robotic
data datum
to to
build build
a a
mathematical mathematical
description description
of of
my my
biological biological
limb limb
, ,
shown show
on on
the the
left left
. .
You you
see see
a a
bunch bunch
of of
points point
, ,
or or
nodes node
? ?
At at
each each
node node
, ,
there there
' '
s s
a a
color color
that that
represents represent
tissue tissue
compliance compliance
. .
We we
then then
do do
a a
mathematical mathematical
transformation transformation
to to
the the
design design
of of
the the
synthetic synthetic
skin skin
, ,
shown show
on on
the the
right right
. .
And and
we we
' '
ve ve
discovered discover
optimality optimality
is be
: :
where where
the the
body body
is be
stiff stiff
, ,
the the
synthetic synthetic
skin skin
should should
be be
soft soft
, ,
where where
the the
body body
is be
soft soft
, ,
the the
synthetic synthetic
skin skin
is be
stiff stiff
, ,
and and
this this
mirroring mirror
occurs occur
across across
all all
tissue tissue
compliances compliance
. .
With with
this this
framework framework
, ,
we we
' '
ve ve
produced produce
bionic bionic
limbs limb
that that
are be
the the
most most
comfortable comfortable
limbs limb
I i
' '
ve ve
ever ever
worn wear
. .
Clearly clearly
, ,
in in
the the
future future
, ,
our our
clothing clothing
, ,
our our
shoes shoe
, ,
our our
braces brace
, ,
our our
prostheses prosthesis
, ,
will will
no no
longer longer
be be
designed design
and and
manufactured manufacture
using use
artisan artisan
strategies strategy
, ,
but but
rather rather
, ,
data-driven data-driven
quantitative quantitative
frameworks framework
. .
In in
that that
future future
, ,
our our
shoes shoe
will will
no no
longer longer
give give
us us
blisters blister
. .
We we
' '
re re
also also
embedding embed
sensing sense
and and
smart smart
materials material
into into
the the
synthetic synthetic
skins skin
. .
This this
is be
a a
material material
developed develop
by by
SRI sri
International international
, ,
California california
. .
Under under
electrostatic electrostatic
effect effect
, ,
it it
changes change
stiffness stiffness
. .
So so
under under
zero zero
voltage voltage
, ,
the the
material material
is be
compliant compliant
, ,
it it
' '
s s
floppy floppy
like like
paper paper
. .
Then then
the the
button button
' '
s s
pushed push
, ,
a a
voltage voltage
is be
applied apply
, ,
and and
it it
becomes become
stiff stiff
as as
a a
board board
. .
We we
embed embed
this this
material material
into into
the the
synthetic synthetic
skin skin
that that
attaches attach
my my
bionic bionic
limb limb
to to
my my
biological biological
body body
. .
When when
I i
walk walk
here here
, ,
it it
' '
s s
no no
voltage voltage
. .
My my
interface interface
is be
soft soft
and and
compliant compliant
. .
The the
button button
' '
s s
pushed push
, ,
voltage voltage
is be
applied apply
, ,
and and
it it
stiffens stiffen
, ,
offering offer
me me
a a
greater great
maneuverability maneuverability
over over
the the
bionic bionic
limb limb
. .
We we
' '
re re
also also
building build
exoskeletons exoskeleton
. .
This this
exoskeleton exoskeleton
becomes become
stiff stiff
and and
soft soft
in in
just just
the the
right right
areas area
of of
the the
running run
cycle cycle
, ,
to to
protect protect
the the
biological biological
joints joint
from from
high high
impacts impact
and and
degradation degradation
. .
In in
the the
future future
, ,
we we
' '
ll ll
all all
be be
wearing wear
exoskeletons exoskeleton
in in
common common
activities activity
, ,
such such
as as
running run
. .
Next next
, ,
dynamic dynamic
interface interface
. .
How how
do do
my my
bionic bionic
limbs limb
move move
like like
flesh flesh
and and
bone bone
? ?
At at
my my
MIT mit
lab lab
, ,
we we
study study
how how
humans human
with with
normal normal
physiologies physiology
stand stand
, ,
walk walk
and and
run run
. .
What what
are be
the the
muscles muscle
doing do
, ,
and and
how how
are be
they they
controlled control
by by
the the
spinal spinal
cord cord
? ?
This this
basic basic
science science
motivates motivate
what what
we we
build build
. .
We we
' '
re re
building build
bionic bionic
ankles ankle
, ,
knees knee
and and
hips hip
. .
We we
' '
re re
building building
body body
parts part
from from
the the
ground ground
up up
. .
The the
bionic bionic
limbs limb
that that
I i
' '
m m
wearing wear
are be
called call
BiOMs bioms
. .
They they
' '
ve ve
been be
fitted fit
to to
nearly nearly
1 @card@
, ,
000 @card@
patients patient
, ,
400 @card@
of of
which which
have have
been be
wounded wound
U u
. .
S s
. .
soldiers soldier
. .
How how
does do
it it
work work
? ?
At at
heel heel
strike strike
, ,
under under
computer computer
control control
, ,
the the
system system
controls control
stiffness stiffness
, ,
to to
attenuate attenuate
the the
shock shock
of of
the the
limb limb
hitting hit
the the
ground ground
. .
Then then
at at
mid-stance mid-stance
, ,
the the
bionic bionic
limb limb
outputs output
high high
torques torque
and and
powers power
to to
lift lift
the the
person person
into into
the the
walking walk
stride stride
, ,
comparable comparable
to to
how how
muscles muscle
work work
in in
the the
calf calf
region region
. .
This this
bionic bionic
propulsion propulsion
is be
very very
important important
clinically clinically
to to
patients patient
. .
So so
on on
the the
left left
, ,
you you
see see
the the
bionic bionic
device device
worn wear
by by
a a
lady lady
, ,
on on
the the
right right
, ,
a a
passive passive
device device
worn wear
by by
the the
same same
lady lady
, ,
that that
fails fail
to to
emulate emulate
normal normal
muscle muscle
function function
, ,
enabling enable
her her
to to
do do
something something
everyone everyone
should should
be be
able able
to to
do do
: :
go go
up up
and and
down down
their their
steps step
at at
home home
. .
Bionics bionics
also also
allows allow
for for
extraordinary extraordinary
athletic athletic
feats feat
. .
Here here
' '
s s
a a
gentleman gentleman
running run
up up
a a
rocky rocky
pathway pathway
. .
This this
is be
Steve steve
Martin martin
— -
not not
the the
comedian comedian
— -
who who
lost lose
his his
legs leg
in in
a a
bomb bomb
blast blast
in in
Afghanistan afghanistan
. .
We we
' '
re re
also also
building build
exoskeletal exoskeletal
structures structure
using use
these these
same same
principles principle
, ,
that that
wrap wrap
around around
the the
biological biological
limb limb
. .
This this
gentleman gentleman
does do
not not
have have
any any
leg leg
condition condition
, ,
any any
disability disability
. .
He he
has have
a a
normal normal
physiology physiology
, ,
so so
these these
exoskeletons exoskeleton
are be
applying apply
muscle-like muscle-like
torques torque
and and
powers power
, ,
so so
that that
his his
own own
muscles muscle
need need
not not
apply apply
those those
torques torque
and and
powers power
. .
This this
is be
the the
first first
exoskeleton exoskeleton
in in
history history
that that
actually actually
augments augment
human human
walking walking
. .
It it
significantly significantly
reduces reduce
metabolic metabolic
cost cost
. .
It it
' '
s s
so so
profound profound
in in
its its
augmentation augmentation
, ,
that that
when when
a a
normal normal
, ,
healthy healthy
person person
wears wear
the the
device device
for for
40 @card@
minutes minute
and and
then then
takes take
it it
off off
, ,
their their
own own
biological biological
legs leg
feel feel
ridiculously ridiculously
heavy heavy
and and
awkward awkward
. .
We we
' '
re re
beginning begin
the the
age age
in in
which which
machines machine
attached attach
to to
our our
bodies body
will will
make make
us us
stronger strong
and and
faster faster
and and
more more
efficient efficient
. .
Moving move
on on
to to
electrical electrical
interface interface
: :
How how
do do
my my
bionic bionic
limbs limb
communicate communicate
with with
my my
nervous nervous
system system
? ?
Across across
my my
residual residual
limb limb
are be
electrodes electrode
that that
measure measure
the the
electrical electrical
pulse pulse
of of
my my
muscles muscle
. .
That that
' '
s s
communicated communicate
to to
the the
bionic bionic
limb limb
, ,
so so
when when
I i
think think
about about
moving move
my my
phantom phantom
limb limb
, ,
the the
robot robot
tracks track
those those
movement movement
desires desire
. .
This this
diagram diagram
shows show
fundamentally fundamentally
how how
the the
bionic bionic
limb limb
is be
controlled control
. .
So so
we we
model model
the the
missing missing
biological biological
limb limb
, ,
and and
we we
' '
ve ve
discovered discover
what what
reflexes reflex
occurred occur
, ,
how how
the the
reflexes reflex
of of
the the
spinal spinal
cord cord
are be
controlling control
the the
muscles muscle
. .
And and
that that
capability capability
is be
embedded embed
in in
the the
chips chip
of of
the the
bionic bionic
limb limb
. .
What what
we we
' '
ve ve
done do
, ,
then then
, ,
is be
we we
modulate modulate
the the
sensitivity sensitivity
of of
the the
reflex reflex
, ,
the the
modeled model
spinal spinal
reflex reflex
, ,
with with
the the
neural neural
signal signal
, ,
so so
when when
I i
relax relax
my my
muscles muscle
in in
my my
residual residual
limb limb
, ,
I i
get get
very very
little little
torque torque
and and
power power
, ,
but but
the the
more more
I i
fire fire
my my
muscles muscle
, ,
the the
more more
torque torque
I i
get get
, ,
and and
I i
can can
even even
run run
. .
And and
that that
was be
the the
first first
demonstration demonstration
of of
a a
running run
gait gait
under under
neural neural
command command
. .
Feels feel
great great
. .
We we
want want
to to
go go
a a
step step
further further
. .
We we
want want
to to
actually actually
close close
the the
loop loop
between between
the the
human human
and and
the the
bionic bionic
external external
limb limb
. .
We we
' '
re re
doing do
experiments experiment
where where
we we
' '
re re
growing grow
nerves nerve
, ,
transected transect
nerves nerve
, ,
through through
channels channel
, ,
or or
micro-channel micro-channel
arrays array
. .
On on
the the
other other
side side
of of
the the
channel channel
, ,
the the
nerve nerve
then then
attaches attach
to to
cells cell
, ,
skin skin
cells cell
and and
muscle muscle
cells cell
. .
In in
the the
motor motor
channels channel
, ,
we we
can can
sense sense
how how
the the
person person
wishes wish
to to
move move
. .
That that
can can
be be
sent send
out out
wirelessly wirelessly
to to
the the
bionic bionic
limb limb
, ,
then then
[ [
sensory sensory
information information
] ]
on on
the the
bionic bionic
limb limb
can can
be be
converted convert
to to
stimulations stimulation
in in
adjacent adjacent
channels channel
, ,
sensory sensory
channels channel
. .
So so
when when
this this
is be
fully fully
developed develop
and and
for for
human human
use use
, ,
persons person
like like
myself myself
will will
not not
only only
have have
synthetic synthetic
limbs limb
that that
move move
like like
flesh flesh
and and
bone bone
, ,
but but
actually actually
feel feel
like like
flesh flesh
and and
bone bone
. .
This this
video video
shows show
Lisa lisa
Mallette mallette
, ,
shortly shortly
after after
being be
fitted fit
with with
two two
bionic bionic
limbs limb
. .
Indeed indeed
, ,
bionics bionics
is be
making make
a a
profound profound
difference difference
in in
people people
' '
s s
lives life
. .
Lisa lisa
Mallette mallette
: :
Oh oh
my my
God god
. .
LM lm
: :
Oh oh
my my
God god
, ,
I i
can can
' '
t t
believe believe
it it
! !
LM lm
: :
It it
' '
s s
just just
like like
I i
' '
ve ve
got get
a a
real real
leg leg
! !
Woman woman
: :
Now now
, ,
don don
' '
t t
start start
running running
. .
Man man
: :
Now now
turn turn
around around
, ,
and and
do do
the the
same same
thing thing
walking walk
up up
, ,
but but
get get
on on
your your
heel heel
to to
toe toe
, ,
like like
you you
would would
normally normally
just just
walk walk
on on
level level
ground ground
. .
Try try
to to
walk walk
right right
up up
the the
hill hill
. .
LM lm
: :
Oh oh
my my
God god
. .
Man man
: :
Is be
it it
pushing push
you you
up up
? ?
LM lm
: :
Yes yes
! !
I i
' '
m m
not not
even even
— -
I i
can can
' '
t t
even even
describe describe
it it
. .
Man man
: :
It it
' '
s s
pushing push
you you
right right
up up
. .
Hugh hugh
Herr herr
: :
Next next
week week
, ,
I i
' '
m m
visiting visit
the the
Center center
— -
Thank thank
you you
. .
Thank thank
you you
. .
Thank thank
you you
. .
Next next
week week
I i
' '
m m
visiting visit
the the
Center center
for for
Medicare medicare
and and
Medicaid medicaid
Services services
, ,
and and
I i
' '
m m
going go
to to
try try
to to
convince convince
CMS cms
to to
grant grant
appropriate appropriate
code code
language language
and and
pricing pricing
, ,
so so
this this
technology technology
can can
be be
made make
available available
to to
the the
patients patient
that that
need need
it it
. .
Thank thank
you you
. .
It it
' '
s s
not not
well well
appreciated appreciate
, ,
but but
over over
half half
of of
the the
world world
' '
s s
population population
suffers suffer
from from
some some
form form
of of
cognitive cognitive
, ,
emotional emotional
, ,
sensory sensory
or or
motor motor
condition condition
, ,
and and
because because
of of
poor poor
technology technology
, ,
too too
often often
, ,
conditions condition
result result
in in
disability disability
and and
a a
poorer poor
quality quality
of of
life life
. .
Basic basic
levels level
of of
physiological physiological
function function
should should
be be
a a
part part
of of
our our
human human
rights right
. .
Every every
person person
should should
have have
the the
right right
to to
live live
life life
without without
disability disability
if if
they they
so so
choose choose
— -
the the
right right
to to
live live
life life
without without
severe severe
depression depression
; ;
the the
right right
to to
see see
a a
loved love
one one
, ,
in in
the the
case case
of of
seeing-impaired seeing-impaired
; ;
or or
the the
right right
to to
walk walk
or or
to to
dance dance
, ,
in in
the the
case case
of of
limb limb
paralysis paralysis
or or
limb limb
amputation amputation
. .
As as
a a
society society
, ,
we we
can can
achieve achieve
these these
human human
rights right
, ,
if if
we we
accept accept
the the
proposition proposition
that that
humans human
are be
not not
disabled disabled
. .
A a
person person
can can
never never
be be
broken break
. .
Our our
built build
environment environment
, ,
our our
technologies technology
, ,
are be
broken break
and and
disabled disable
. .
We we
the the
people people
need need
not not
accept accept
our our
limitations limitation
, ,
but but
can can
transcend transcend
disability disability
through through
technological technological
innovation innovation
. .
Indeed indeed
, ,
through through
fundamental fundamental
advances advance
in in
bionics bionics
in in
this this
century century
, ,
we we
will will
set set
the the
technological technological
foundation foundation
for for
an an
enhanced enhanced
human human
experience experience
, ,
and and
we we
will will
end end
disability disability
. .
I i
' '
d d
like like
to to
finish finish
up up
with with
one one
more more
story story
, ,
a a
beautiful beautiful
story story
. .
The the
story story
of of
Adrianne adrianne
Haslet-Davis haslet-davis
. .
Adrianne adrianne
lost lose
her her
left leave
leg leg
in in
the the
Boston boston
terrorist terrorist
attack attack
. .
I i
met meet
Adrianne adrianne
when when
this this
photo photo
was be
taken take
, ,
at at
Spaulding spaulding
Rehabilitation rehabilitation
Hospital hospital
. .
Adrianne adrianne
is be
a a
dancer dancer
, ,
a a
ballroom ballroom
dancer dancer
. .
Adrianne adrianne
breathes breathe
and and
lives live
dance dance
. .
It it
is be
her her
expression expression
. .
It it
is be
her her
art art
form form
. .
Naturally naturally
, ,
when when
she she
lost lose
her her
limb limb
in in
the the
Boston boston
terrorist terrorist
attack attack
, ,
she she
wanted want
to to
return return
to to
the the
dance dance
floor floor
. .
After after
meeting meet
her her
and and
driving drive
home home
in in
my my
car car
, ,
I i
thought think
, ,
I i
' '
m m
an an
MIT mit
professor professor
. .
I i
have have
resources resource
. .
Let let
' '
s s
build build
her her
a a
bionic bionic
limb limb
, ,
to to
enable enable
her her
to to
go go
back back
to to
her her
life life
of of
dance dance
. .
I i
brought bring
in in
MIT mit
scientists scientist
with with
expertise expertise
in in
prosthetics prosthetics
, ,
robotics robotic
, ,
machine machine
learning learning
and and
biomechanics biomechanic
, ,
and and
over over
a a
200-day 200-day
research research
period period
, ,
we we
studied study
dance dance
. .
We we
brought bring
in in
dancers dancer
with with
biological biological
limbs limb
, ,
and and
we we
studied study
how how
they they
move move
, ,
what what
forces force
they they
apply apply
on on
the the
dance dance
floor floor
, ,
and and
we we
took take
those those
data datum
, ,
and and
we we
put put
forth forth
fundamental fundamental
principles principle
of of
dance dance
, ,
reflexive reflexive
dance dance
capability capability
, ,
and and
we we
embedded embed
that that
intelligence intelligence
into into
the the
bionic bionic
limb limb
. .
Bionics bionics
is be
not not
only only
about about
making make
people people
stronger strong
and and
faster fast
. .
Our our
expression expression
, ,
our our
humanity humanity
can can
be be
embedded embed
into into
electromechanics electromechanic
. .
It it
was be
3 @card@
. .
5 @card@
seconds second
between between
the the
bomb bomb
blasts blast
in in
the the
Boston boston
terrorist terrorist
attack attack
. .
In in
3 @card@
. .
5 @card@
seconds second
, ,
the the
criminals criminal
and and
cowards coward
took take
Adrianne adrianne
off off
the the
dance dance
floor floor
. .
In in
200 @card@
days day
, ,
we we
put put
her her
back back
. .
We we
will will
not not
be be
intimidated intimidate
, ,
brought bring
down down
, ,
diminished diminish
, ,
conquered conquer
or or
stopped stop
by by
acts act
of of
violence violence
. .
Ladies lady
and and
gentlemen gentleman
, ,
please please
allow allow
me me
to to
introduce introduce
Adrianne adrianne
Haslet-Davis haslet-davis
, ,
her her
first first
performance performance
since since
the the
attack attack
. .
She she
' '
s s
dancing dancing
with with
Christian christian
Lightner lightner
. .
Ladies lady
and and
gentlemen gentleman
, ,
members member
of of
the the
research research
team team
: :
Elliott elliott
Rouse rouse
and and
Nathan nathan
Villagaray-Carski villagaray-carski
. .
Elliott elliott
and and
Nathan nathan
. .
