Catherine catherine
in in
someone someone
' '
s s
interest interest
to to
dig dig
it it
or or
drill drill
it it
up up
. .
So so
what what
should should
we we
do do
? ?
In in
one one
area area
, ,
the the
answer answer
is be
clear clear
. .
Renewable renewable
is be
now now
a a
cheaper cheap
way way
to to
produce produce
electricity electricity
than than
coal coal
in in
almost almost
all all
countries country
of of
the the
world world
, ,
so so
we we
should should
build build
no no
more more
coal coal
electricity electricity
plants plant
, ,
no no
more more
coal coal
mines mine
. .
And and
we we
should should
not not
invest invest
anything anything
in in
the the
extension extension
of of
existing exist
coal coal
mines mine
. .
For for
gas gas
and and
oil oil
, ,
it it
is be
a a
bit bit
trickier tricky
. .
International international
Energy energy
Agency agency
suggests suggest
a a
distinction distinction
. .
It it
says say
that that
we we
should should
invest invest
nothing nothing
in in
exploration exploration
for for
or or
production production
from from
new new
oil oil
and and
gas gas
fields field
, ,
but but
that that
it it
' '
s s
OK ok
to to
invest invest
something something
to to
maintain maintain
production production
from from
existing exist
fields field
. .
But but
there there
are be
some some
people people
who who
would would
challenge challenge
the the
morality morality
of of
that that
distinction distinction
, ,
because because
if if
there there
' '
s s
an an
absolute absolute
limit limit
to to
how how
much much
gas gas
we we
can can
safely safely
burn burn
, ,
it it
' '
s s
not not
clear clear
that that
squeezing squeeze
a a
little little
bit bit
more more
out out
of of
the the
North north
Sea sea
is be
more more
acceptable acceptable
than than
developing develop
a a
new new
gas gas
field field
in in
an an
African african
country country
whose whose
past past
cumulative cumulative
per per
capita capita
emissions emission
have have
been be
a a
tiny tiny
fraction fraction
of of
the the
UK uk
' '
s s
. .
We we
now now
have have
the the
technologies technology
to to
dramatically dramatically
reduce reduce
the the
demand demand
for for
fossil fossil
fuels fuel
, ,
and and
we we
should should
deploy deploy
them them
as as
rapidly rapidly
as as
possible possible
. .
That that
means mean
ensuring ensure
that that
electricity electricity
systems system
in in
every every
developed develop
country country
get get
to to
zero zero
emissions emission
by by
2035 @card@
at at
the the
very very
latest late
and and
ideally ideally
earlier earlier
, ,
with with
no no
coal coal
and and
only only
a a
very very
, ,
very very
small small
role role
for for
unabated unabated
gas gas
. .
We we
should should
be be
aiming aim
to to
reduce reduce
coal coal
demand demand
90 @card@
percent percent
by by
2050 @card@
, ,
oil oil
demand demand
at at
least least
75 @card@
percent percent
and and
gas gas
demand demand
by by
well well
over over
50 @card@
percent percent
. .
And and
we we
are be
running run
out out
of of
time time
to to
do do
it it
fast fast
enough enough
. .
LL ll
: :
Those those
are be
some some
big big
reduction reduction
targets target
, ,
and and
we we
need need
to to
meet meet
them them
. .
But but
as as
we we
move move
there there
, ,
we we
' '
ll ll
still still
be be
using use
some some
fossil fossil
fuels fuel
to to
meet meet
energy energy
demands demand
. .
How how
do do
we we
do do
that that
while while
accelerating accelerate
our our
transition transition
to to
renewables renewables
? ?
Some some
people people
think think
we we
can can
work work
with with
the the
fossil fossil
fuel fuel
industry industry
and and
want want
to to
pressure pressure
it it
to to
do do
better well
. .
Others other
propose propose
more more
radical radical
departures departure
. .
Here here
are be
a a
few few
opinions opinion
on on
this this
issue issue
, ,
starting start
with with
Jérôme jérôme
Schmitt schmitt
, ,
a a
former former
oil oil
industry industry
executive executive
who who
is be
now now
a a
senior senior
fellow fellow
at at
the the
Columbia columbia
Center center
on on
Sustainable sustainable
Investment investment
. .
Jérôme jérôme
Schmitt schmitt
: :
I i
' '
m m
not not
aware aware
of of
any any
net-zero net-zero
scenario scenario
compliant compliant
with with
1 @card@
. .
5 @card@
degree degree
or or
two two
degree degree
that that
does do
not not
involve involve
even even
a a
little little
bit bit
of of
fossil fossil
fuel fuel
by by
2040 @card@
or or
2050 @card@
, ,
especially especially
for for
the the
developing develop
part part
of of
the the
world world
. .
Therefore therefore
, ,
some some
people people
will will
need need
to to
have have
an an
all-in all-in
understanding understanding
of of
the the
energy energy
system system
and and
be be
able able
to to
manage manage
the the
complexity complexity
of of
producing produce
and and
supplying supply
to to
customers customer
and and
to to
countries country
clean clean
energy energy
on on
one one
side side
and and
less less
and and
less less
fossil fossil
fuel fuel
on on
the the
other other
side side
and and
concentrate concentrate
the the
fossil fossil
fuel fuel
supply supply
and and
demand demand
on on
the the
absolute absolute
necessary necessary
means mean
and and
usage usage
and and
increase increase
progressively progressively
the the
shift shift
from from
one one
to to
the the
other other
. .
Those those
who who
have have
the the
competency competency
today today
to to
manage manage
this this
complexity complexity
and and
the the
balance balance
sheet sheet
is be
still still
the the
oil oil
and and
gas gas
industry industry
, ,
whether whether
we we
like like
it it
or or
not not
. .
So so
I i
would would
take take
the the
oil oil
and and
gas gas
industry industry
as as
an an
opportunity opportunity
to to
go go
faster faster
, ,
to to
make make
it it
right right
better well
than than
we we
would would
do do
it it
without without
them them
. .
But but
if if
it it
doesn doesn
' '
t t
prove prove
possible possible
because because
the the
oil oil
and and
gas gas
industry industry
doesn doesn
' '
t t
shift shift
and and
doesn doesn
' '
t t
adapt adapt
, ,
we we
must must
do do
without without
. .
Ramez ramez
Naam naam
: :
Oil oil
and and
gas gas
companies company
have have
to to
realize realize
-- --
they they
don don
' '
t t
always always
, ,
but but
they they
really really
should should
realize realize
-- --
the the
writing writing
is be
on on
the the
wall wall
. .
We we
' '
re re
spending spending
close close
to to
twice twice
as as
much much
on on
clean clean
energy energy
as as
we we
are be
on on
fossil fossil
fuel fuel
infrastructure infrastructure
already already
, ,
and and
that that
gap gap
is be
just just
going go
to to
widen widen
and and
widen widen
. .
So so
I i
think think
if if
we we
can can
pivot pivot
those those
companies company
, ,
that that
industry industry
, ,
into into
working work
on on
a a
clean clean
future future
, ,
it it
' '
s s
a a
good good
thing thing
. .
But but
we we
shouldn shouldn
' '
t t
have have
illusions illusion
that that
it it
' '
s s
going go
to to
happen happen
by by
itself itself
. .
The the
pivot pivot
that that
has have
happened happen
has have
been be
because because
companies company
have have
seen see
that that
the the
future future
is be
clean clean
. .
And and
so so
a a
combination combination
of of
continuing continue
to to
push push
on on
policy policy
, ,
on on
citizen citizen
advocacy advocacy
and and
on on
driving drive
for for
the the
technologies technology
that that
disrupt disrupt
fossil fossil
fuels fuel
is be
what what
will will
cause cause
those those
large large
, ,
entrenched entrenched
fossil fossil
fuel fuel
companies company
to to
pivot pivot
towards towards
the the
clean clean
future future
. .
Tzeporah tzeporah
Berman berman
: :
We we
' '
re re
living live
the the
last last
gasp gasp
of of
the the
fossil fossil
fuel fuel
industry industry
, ,
and and
they they
' '
re re
doing do
everything everything
they they
can can
to to
weaken weaken
climate climate
policy policy
and and
hold hold
on on
to to
the the
market market
because because
they they
know know
renewables renewables
are be
cheaper cheap
. .
MR mr
: :
There there
was be
a a
great great
opportunity opportunity
to to
move move
with with
all all
the the
skills skill
that that
the the
fossil fossil
fuel fuel
industry industry
has have
built build
up up
over over
the the
years year
, ,
convert convert
over over
to to
clean clean
energy energy
. .
That that
would would
have have
been be
a a
wonderful wonderful
moment moment
. .
If if
that that
had have
happened happen
, ,
things thing
would would
be be
very very
different different
. .
We we
don don
' '
t t
have have
the the
time time
now now
to to
get get
into into
a a
long long
, ,
transition-y transition-y
kind kind
of of
discourse discourse
, ,
which which
is be
what what
most most
of of
them them
seem seem
to to
want want
. .
They they
lack lack
the the
urgency urgency
of of
now now
in in
their their
talk talk
. .
DB db
: :
As as
you you
can can
see see
, ,
there there
' '
s s
a a
lot lot
of of
skepticism skepticism
about about
the the
fossil fossil
fuel fuel
industry industry
based base
on on
its its
history history
of of
deception deception
. .
Here here
' '
s s
well-known well-known
climate climate
activist activist
Luisa luisa
Neubauer neubauer
, ,
urging urge
us us
not not
to to
believe believe
everything everything
we we
hear hear
. .
Luisa luisa
Neubauer neubauer
: :
People people
, ,
for for
instance instance
, ,
call call
the the
climate climate
crisis crisis
manmade manmade
. .
And and
while while
there there
were be
indeed indeed
humans human
behind behind
it it
, ,
it it
' '
s s
much much
less less
manmade manmade
and and
much much
more more
fossil-fuel-made fossil-fuel-made
. .
It it
' '
s s
made make
possible possible
by by
the the
exploitation exploitation
of of
coal coal
, ,
oil oil
and and
gas gas
and and
the the
profit-driven profit-driven
economic economic
systems system
behind behind
it it
. .
Calling call
the the
climate climate
crisis crisis
manmade manmade
implies imply
it it
' '
s s
an an
accident accident
of of
human human
nature nature
, ,
whereas whereas
it it
' '
s s
actually actually
a a
relatively relatively
small small
group group
of of
people people
and and
just just
a a
few few
places place
around around
the the
world world
: :
the the
fossil fossil
fuel fuel
industries industry
, ,
their their
marketing marketing
and and
their their
political political
supporters supporter
. .
The the
fossil fossil
fuel fuel
industry industry
itself itself
is be
also also
a a
powerhouse powerhouse
of of
fairy fairy
tales tale
. .
Fifty fifty
years year
ago ago
, ,
they they
knew know
that that
their their
business business
would would
lead lead
us us
into into
a a
climate climate
disaster disaster
. .
They they
denied deny
their their
own own
climate climate
science science
that that
they they
did do
themselves themselves
, ,
and and
by by
that that
, ,
they they
stole steal
our our
very very
first first
historic historic
chance chance
to to
act act
from from
us us
. .
So so
now now
, ,
for for
many many
lives life
, ,
it it
' '
s s
already already
too too
late late
. .
And and
this this
time time
they they
present present
themselves themselves
as as
part part
of of
the the
solution solution
. .
They they
call call
it it
transition transition
. .
They they
promise promise
innovation innovation
, ,
they they
speak speak
of of
green green
growth growth
. .
And and
it it
sounds sound
wonderful wonderful
. .
It it
is be
powerful powerful
, ,
too too
. .
I i
would would
like like
to to
believe believe
that that
, ,
too too
. .
But but
I i
cannot can
. .
We we
do do
not not
have have
time time
for for
any any
more more
delay delay
. .
So so
whoever whoever
tells tell
us us
that that
they they
will will
just just
need need
some some
more more
time time
, ,
does do
not not
understand understand
the the
very very
basic basic
logic logic
of of
the the
crisis crisis
we we
are be
in in
. .
Back back
in in
Hamburg hamburg
, ,
when when
I i
was be
in in
school school
, ,
we we
could could
get get
90 @card@
minutes minute
to to
finish finish
a a
math math
exam exam
. .
The the
fossil fossil
fuel fuel
industry industry
is be
, ,
in in
a a
way way
, ,
taking take
that that
very very
exam exam
right right
now now
. .
But but
instead instead
of of
90 @card@
minutes minute
, ,
they they
tell tell
us us
they they
will will
finish finish
in in
nine nine
years year
. .
Back back
in in
school school
, ,
that that
attitude attitude
would would
have have
gotten get
me me
failing fail
my my
assignments assignment
. .
If if
fossil fossil
fuel fuel
industries industry
don don
' '
t t
listen listen
when when
people people
and and
science science
tell tell
them them
to to
get get
out out
of of
fossil fossil
fuels fuel
, ,
they they
should should
not not
be be
listened listen
to to
when when
they they
tell tell
us us
more more
fairy fairy
tales tale
about about
wanting want
to to
be be
part part
of of
the the
solution solution
. .
If if
fossil fossil
fuel fuel
industries industry
get get
to to
make make
the the
rules rule
about about
the the
transition transition
we we
so so
desperately desperately
need need
, ,
we we
will will
not not
get get
that that
transition transition
. .
LL ll
: :
The the
question question
of of
whether whether
there there
should should
be be
any any
new new
expansion expansion
of of
fossil fossil
fuels fuel
is be
hotly hotly
contested contest
, ,
and and
there there
are be
passionate passionate
points point
of of
view view
on on
both both
sides side
. .
With with
a a
powerful powerful
perspective perspective
on on
the the
injustice injustice
of of
banning ban
fossil fossil
fuels fuel
in in
developing develop
countries country
, ,
here here
' '
s s
economist economist
Vijaya vijaya
Ramachandran ramachandran
. .
VR vr
: :
The the
average average
Nigerian nigerian
consumes consume
about about
133 @card@
kilowatt kilowatt
hours hour
of of
electricity electricity
a a
year year
. .
What what
the the
average average
American american
consumes consume
in in
four four
days day
. .
In in
Nepal nepal
, ,
that that
number number
is be
231 @card@
kilowatt kilowatt
hours hour
. .
In in
Haiti haiti
, ,
it it
' '
s s
only only
37 @card@
. .
So so
what what
does do
all all
of of
this this
mean mean
for for
real real
people people
? ?
It it
means mean
that that
they they
might might
have have
a a
few few
lights light
at at
home home
or or
a a
small small
fan fan
, ,
but but
no no
refrigerator refrigerator
, ,
no no
water water
heater heater
, ,
no no
safe safe
cookstove cookstove
. .
It it
means mean
that that
poor poor
people people
stay stay
poor poor
. .
Now now
let let
' '
s s
look look
at at
climate climate
change change
. .
Poor poor
people people
did do
not not
create create
the the
carbon carbon
emissions emission
that that
have have
caused cause
climate climate
change change
. .
The the
64 @card@
poorest poor
countries country
in in
the the
world world
account account
for for
less less
than than
five five
percent percent
of of
annual annual
carbon carbon
emissions emission
. .
Even even
India india
, ,
often often
perceived perceive
as as
a a
climate climate
villain villain
, ,
adds add
about about
seven seven
percent percent
. .
Poor poor
people people
are be
not not
to to
blame blame
. .
Germany germany
' '
s s
coal coal
plants plant
emit emit
four four
times time
more more
carbon carbon
than than
Pakistan pakistan
, ,
Uzbekistan uzbekistan
, ,
Lao lao
and and
Bangladesh bangladesh
combined combine
. .
Yes yes
, ,
energy energy
, ,
poverty poverty
and and
climate climate
change change
are be
intertwined intertwine
, ,
but but
not not
in in
the the
way way
most most
people people
think think
. .
Most most
people people
think think
that that
poor poor
countries country
need need
to to
moderate moderate
their their
energy energy
use use
to to
address address
climate climate
change change
. .
The the
reality reality
for for
poor poor
people people
in in
these these
countries country
is be
that that
they they
need need
a a
lot lot
more more
energy energy
to to
adapt adapt
to to
climate climate
change change
. .
As as
natural natural
disasters disaster
get get
worse bad
, ,
they they
will will
need need
more more
concrete concrete
and and
steel steel
to to
build build
resilient resilient
homes home
and and
schools school
and and
roads road
. .
As as
temperatures temperature
rise rise
, ,
they they
' '
ll ll
need need
air air
conditioning conditioning
and and
cold cold
storage storage
for for
food food
and and
medicines medicine
. .
As as
droughts drought
become become
more more
common common
, ,
they they
' '
ll ll
need need
fertilizer fertilizer
, ,
pumped pump
irrigation irrigation
, ,
desalination desalination
. .
All all
of of
these these
responses response
to to
climate climate
change change
are be
going go
to to
require require
a a
lot lot
more more
energy energy
. .
So so
the the
good good
news news
is be
that that
we we
don don
' '
t t
need need
to to
fear fear
this this
high-energy high-energy
future future
for for
poor poor
people people
. .
All all
of of
this this
energy energy
that that
they they
will will
likely likely
need need
will will
come come
from from
low-carbon low-carbon
sources source
to to
a a
great great
extent extent
. .
The the
abundance abundance
of of
wind wind
, ,
solar solar
, ,
geothermal geothermal
and and
hydropower hydropower
in in
Africa africa
and and
Asia asia
means mean
that that
a a
lot lot
of of
the the
energy energy
that that
we we
are be
going go
to to
see see
will will
not not
likely likely
increase increase
carbon carbon
emissions emission
very very
much much
. .
So so
how how
can can
the the
US us
and and
Europe europe
be be
smarter smarter
about about
ending end
energy energy
poverty poverty
and and
addressing address
climate climate
change change
? ?
First first
of of
all all
, ,
this this
rich-world rich-world
hypocrisy hypocrisy
of of
more more
fossil fossil
fuels fuel
for for
me me
, ,
but but
not not
for for
thee thee
, ,
must must
end end
. .
Governments government
in in
poor poor
countries country
must must
be be
able able
to to
pursue pursue
a a
range range
of of
energy energy
sources source
. .
Renewables renewables
will will
likely likely
be be
the the
lion lion
' '
s s
share share
, ,
but but
there there
will will
be be
some some
fossil fossil
fuels fuel
in in
the the
mix mix
. .
Natural natural
gas gas
, ,
for for
example example
, ,
is be
abundant abundant
in in
Africa africa
. .
Natural natural
gas gas
has have
powered power
the the
energy energy
transition transition
in in
the the
United united
States states
. .
Natural natural
gas gas
can can
fuel fuel
power power
plants plant
. .
It it
is be
one one
of of
the the
best good
feedstocks feedstock
for for
producing produce
fertilizer fertilizer
, ,
and and
it it
is be
one one
of of
the the
safer safe
and and
cleaner clean
cooking cooking
fuels fuel
for for
women woman
in in
poor poor
countries country
. .
Renewables renewables
can can
be be
paired pair
with with
natural natural
gas gas
to to
increase increase
the the
share share
of of
low-carbon low-carbon
energy energy
sources source
. .
No no
country country
, ,
not not
the the
US us
, ,
not not
the the
UK uk
, ,
not not
in in
Europe europe
, ,
not not
China china
, ,
has have
developed develop
without without
fossil fossil
fuels fuel
. .
The the
United united
States states
has have
recently recently
passed pass
historically historically
large large
investments investment
in in
clean clean
energy energy
, ,
but but
also also
in in
some some
fossil fossil
fuels fuel
, ,
taking take
a a
very very
practical practical
approach approach
to to
its its
domestic domestic
energy energy
transition transition
. .
The the
United united
States states
and and
other other
rich rich
countries country
should should
take take
that that
same same
practical practical
approach approach
when when
it it
comes come
to to
funding fund
energy energy
projects project
in in
poor poor
countries country
. .
Let let
' '
s s
not not
impose impose
unnecessary unnecessary
and and
unjust unjust
restrictions restriction
on on
those those
who who
are be
least least
responsible responsible
for for
climate climate
change change
. .
LL ll
: :
If if
the the
lion lion
' '
s s
share share
of of
new new
energy energy
production production
in in
the the
developing develop
world world
will will
be be
renewables renewables
, ,
a a
lot lot
of of
new new
financing financing
is be
going go
to to
be be
needed need
. .
Here here
' '
s s
Rebekah rebekah
Shirley shirley
of of
the the
World world
Resources resources
Institute institute
on on
why why
that that
' '
s s
not not
happening happen
yet yet
. .
RS rs
: :
Africa africa
is be
perhaps perhaps
the the
continent continent
that that
needs need
least least
convincing convince
about about
the the
clean clean
energy energy
opportunity opportunity
for for
health health
, ,
livelihoods livelihood
and and
economy economy
. .
As as
the the
fastest-growing fastest-growing
, ,
yet yet
least least
electrified electrify
continent continent
on on
the the
globe globe
, ,
most most
in in
need need
of of
power power
systems system
that that
can can
help help
fortify fortify
against against
the the
onslaught onslaught
of of
climate climate
shocks shock
with with
both both
abundant abundant
fossil fossil
and and
renewable renewable
energy energy
resources resource
to to
build build
them them
, ,
Africa africa
' '
s s
energy energy
transitions transition
and and
how how
to to
dissuade dissuade
the the
use use
of of
fossil fossil
fuels fuel
have have
become become
an an
intense intense
international international
debate debate
. .
Many many
sub-Saharan sub-saharan
African african
countries country
already already
rely rely
on on
low-carbon low-carbon
resources resource
. .
Kenya kenya
, ,
where where
I i
live live
, ,
generates generate
90 @card@
percent percent
of of
its its
power power
from from
renewables renewables
like like
geothermal geothermal
and and
hydropower hydropower
. .
Even even
in in
West west
Africa africa
, ,
where where
renewable renewable
shares share
tend tend
to to
be be
lower low
, ,
countries country
like like
Ghana ghana
generate generate
over over
a a
third third
of of
their their
power power
from from
renewable renewable
energy energy
resources resource
. .
And and
countries country
like like
Namibia namibia
are be
at at
the the
forefront forefront
of of
innovation innovation
on on
clean clean
fuels fuel
like like
green green
hydrogen hydrogen
. .
Couple couple
all all
of of
that that
with with
housing housing
one one
of of
the the
world world
' '
s s
largest large
carbon carbon
sinks sink
, ,
the the
Congo congo
Basin basin
, ,
and and
sub-Saharan sub-saharan
Africa africa
is be
consistently consistently
recognized recognize
as as
pulling pull
more more
than than
its its
fair fair
share share
of of
the the
global global
decarbonization decarbonization
effort effort
. .
So so
if if
the the
need need
is be
urgent urgent
and and
if if
the the
resources resource
are be
bountiful bountiful
, ,
then then
why why
are be
we we
still still
so so
far far
away away
from from
this this
clean-energy clean-energy
future future
for for
Africa africa
? ?
And and
what what
I i
' '
ve ve
learned learn
is be
that that
though though
the the
world world
loves love
to to
remind remind
Africa africa
about about
its its
vast vast
clean-energy clean-energy
potential potential
, ,
the the
financial financial
flows flow
to to
deliver deliver
that that
potential potential
remain remain
troublingly troublingly
scarce scarce
. .
Projects project
and and
businesses business
incur incur
a a
number number
of of
hidden hidden
compounding compounding
costs cost
and and
premiums premium
. .
Like like
the the
risk risk
perception perception
premium premium
. .
Or or
the the
" "
paying pay
back back
your your
US us
dollar dollar
loan loan
in in
a a
constantly constantly
depreciating depreciate
local local
currency currency
" "
premium premium
. .
Or or
the the
" "
expected expect
to to
deliver deliver
conventionally conventionally
high high
rates rate
of of
return return
while while
raising raise
your your
revenues revenue
from from
customers customer
that that
earn earn
less less
than than
a a
dollar dollar
a a
day day
" "
premium premium
. .
So so
international international
finance finance
markets market
are be
not not
appetized appetized
, ,
and and
financial financial
flows flow
here here
remain remain
a a
trickle trickle
despite despite
a a
pipeline pipeline
of of
ready ready
projects project
. .
In in
fact fact
, ,
though though
17 @card@
percent percent
of of
the the
global global
population population
and and
almost almost
90 @card@
percent percent
of of
those those
still still
without without
access access
to to
basic basic
energy energy
, ,
today today
Africa africa
accounts account
for for
a a
mere mere
two two
percent percent
of of
global global
clean-energy clean-energy
finance finance
. .
From from
this this
perspective perspective
, ,
we we
can can
see see
a a
key key
missing missing
ingredient ingredient
: :
international international
cooperation cooperation
to to
deliver deliver
the the
finance finance
flows flow
that that
Africa africa
sorely sorely
needs need
. .
Because because
there there
' '
s s
so so
much much
potential potential
waiting wait
right right
at at
the the
cusp cusp
. .
If if
local local
enterprise enterprise
had have
access access
to to
long-term long-term
, ,
low-cost low-cost
financing financing
, ,
like like
their their
counterparts counterpart
in in
other other
regions region
of of
the the
world world
can can
simply simply
take take
for for
granted grant
, ,
then then
Africa africa
' '
s s
clean-energy clean-energy
future future
would would
build build
itself itself
. .
HM hm
: :
A a
lot lot
of of
renewables renewables
technology technology
already already
exists exist
. .
The the
finance finance
flows flow
, ,
