When when
' '
m m
going go
to to
show show
them them
to to
you you
, ,
but but
they they
' '
re re
fierce fierce
and and
terrifying terrifying
, ,
and and
I i
want want
you you
all all
to to
just just
take take
a a
breath breath
. .
Trigger trigger
warning warning
. .
And and
with with
no no
apologies apology
to to
all all
the the
Blade blade
Runners runner
among among
you you
, ,
here here
they they
are be
. .
I i
have have
1 @card@
, ,
000 @card@
of of
these these
, ,
500 @card@
in in
the the
focal focal
plane plane
of of
each each
telescope telescope
in in
each each
hemisphere hemisphere
. .
And and
this this
is be
how how
they they
move move
on on
the the
sky sky
. .
So so
these these
are be
our our
objects object
and and
a a
star star
field field
, ,
so so
you you
' '
ve ve
got get
stars star
, ,
galaxies galaxy
, ,
black black
holes hole
. .
And and
our our
robots robot
move move
to to
those those
objects object
as as
we we
pass pass
over over
them them
in in
order order
to to
capture capture
the the
light light
from from
those those
stars star
and and
galaxies galaxy
and and
black black
holes hole
, ,
and and
yes yes
, ,
it it
is be
weird weird
to to
capture capture
black black
hole hole
light light
, ,
but but
we we
' '
ve ve
already already
gone go
over over
that that
black black
holes hole
are be
weird weird
. .
One one
more more
thing thing
. .
Stars star
are be
exploding explode
all all
the the
time time
, ,
like like
this this
one one
did do
back back
in in
1987 @card@
in in
our our
cosmic cosmic
backyard backyard
. .
Black black
holes hole
are be
growing grow
all all
the the
time time
. .
There there
is be
a a
new new
sky sky
every every
night night
. .
Which which
means mean
we we
can can
' '
t t
just just
map map
the the
sky sky
one one
time time
. .
We we
have have
to to
map map
the the
sky sky
multiple multiple
times time
. .
So so
in in
SDSS-V sdss-v
, ,
we we
' '
re re
going go
back back
to to
each each
part part
of of
the the
sky sky
multiple multiple
times time
in in
order order
to to
see see
how how
these these
objects object
change change
over over
time time
. .
Because because
those those
changes change
in in
time time
encode encode
the the
physics physics
, ,
and and
they they
encode encode
how how
these these
objects object
are be
growing grow
and and
changing change
. .
Mow mow
the the
sky sky
. .
OK ok
, ,
let let
me me
just just
recap recap
. .
Global global
survey survey
, ,
two two
hemispheres hemisphere
, ,
five five
telescopes telescope
, ,
10 @card@
spectrographs spectrograph
, ,
millions million
of of
objects object
, ,
mow mow
the the
sky sky
, ,
creative creative
army army
, ,
robots robot
, ,
yeah yeah
. .
So so
you you
' '
re re
thinking thinking
, ,
" "
Wow wow
. .
She she
must must
have have
this this
industrial industrial
machine machine
going go
, ,
no no
room room
for for
the the
individual individual
, ,
curious curious
, ,
lone lone
wolf wolf
genius genius
, ,
" "
right right
? ?
And and
you you
' '
d d
be be
100 @card@
percent percent
wrong wrong
. .
Meet meet
Hanny hanny
' '
s s
Voorwerp voorwerp
. .
Hanny hanny
van van
Arkel arkel
was be
a a
Dutch dutch
schoolteacher schoolteacher
who who
was be
analyzing analyze
the the
public public
versions version
of of
the the
SDSS sdss
data data
, ,
when when
she she
found find
this this
incredibly incredibly
rare rare
type type
of of
object object
, ,
which which
is be
now now
a a
subject subject
of of
major major
study study
. .
She she
was be
able able
to to
do do
this this
because because
SDSS sdss
, ,
since since
its its
beginning beginning
and and
by by
mandate mandate
from from
the the
Sloan sloan
Foundation foundation
, ,
has have
made make
its its
data datum
both both
publicly publicly
available available
and and
usable usable
to to
a a
broad broad
range range
of of
audiences audience
. .
She she
' '
s s
a a
citizen citizen
— -
yeah yeah
, ,
clap clap
for for
that that
. .
Clap clap
for for
that that
. .
Hanny hanny
is be
a a
citizen citizen
scientist scientist
, ,
or or
as as
I i
like like
to to
call call
them them
, ,
" "
citizen citizen
warriors warrior
. .
" "
And and
she she
shows show
that that
you you
don don
' '
t t
have have
to to
be be
a a
fancy fancy
astrophysicist astrophysicist
to to
participate participate
. .
You you
just just
have have
to to
be be
curious curious
. .
A a
few few
years year
ago ago
, ,
my my
four-year-old four-year-old
asked ask
, ,
" "
Can can
moons moon
have have
moons moon
? ?
" "
And and
I i
set set
about about
to to
answer answer
this this
question question
because because
even even
though though
many many
four-year-olds four-year-old
over over
all all
of of
time time
have have
probably probably
asked ask
this this
question question
, ,
many many
experts expert
, ,
including include
myself myself
, ,
didn didn
' '
t t
know know
the the
answer answer
. .
These these
are be
the the
moons moon
in in
our our
solar solar
system system
that that
can can
host host
hypothetical hypothetical
submoons submoon
. .
And and
that that
just just
goes go
to to
show show
you you
that that
there there
are be
so so
many many
basic basic
questions question
left leave
to to
be be
understood understand
. .
And and
this this
brings bring
me me
to to
the the
most most
important important
point point
about about
SDSS sdss
. .
Because because
, ,
yeah yeah
, ,
the the
stars star
, ,
the the
galaxies galaxy
, ,
the the
black black
holes hole
, ,
the the
robots robot
— -
that that
' '
s s
all all
super super
cool cool
. .
But but
the the
coolest cool
thing thing
of of
all all
is be
that that
eensy-weensy eensy-weensy
creatures creature
on on
a a
rubble rubble
pile pile
around around
a a
totally totally
average average
star star
in in
a a
totally totally
average average
galaxy galaxy
can can
win win
the the
battle battle
to to
understand understand
their their
world world
. .
Every every
dot dot
in in
this this
video video
is be
a a
galaxy galaxy
. .
Every every
dot dot
. .
I i
' '
m m
showing show
here here
the the
number number
of of
galaxies galaxy
that that
astronomers astronomer
have have
mapped map
in in
large large
surveys survey
since since
about about
1980 @card@
. .
You you
can can
see see
SDSS sdss
kick kick
in in
around around
Y2K y2k
. .
If if
we we
stay stay
on on
this this
line line
, ,
we we
will will
map map
every every
large large
galaxy galaxy
in in
the the
observable observable
universe universe
by by
2060 @card@
. .
Think think
about about
that that
. .
Think think
about about
it it
: :
we we
' '
ve ve
gone go
from from
arranging arrange
clamshells clamshell
to to
general general
relativity relativity
to to
SDSS sdss
in in
a a
few few
thousand thousand
years year
— -
and and
if if
we we
hang hang
on on
40 @card@
more more
, ,
we we
can can
map map
all all
the the
galaxies galaxy
. .
But but
we we
have have
to to
stay stay
on on
the the
line line
. .
Will will
that that
be be
our our
choice choice
? ?
There there
are be
dark dark
forces force
in in
this this
world world
that that
will will
rob rob
our our
entire entire
species specie
of of
our our
right right
to to
understand understand
our our
universe universe
. .
Don don
' '
t t
be be
afraid afraid
of of
the the
dark dark
. .
Fight fight
back back
. .
Join join
us us
. .
Thank thank
you you
. .
