I i
and and
understand understand
most most
of of
what what
' '
s s
happening happen
in in
the the
world world
, ,
and and
people people
are be
able able
to to
tell tell
their their
story story
— -
but but
it it
' '
s s
only only
partly partly
true true
. .
Still still
today today
, ,
with with
all all
the the
technology technology
we we
have have
, ,
less less
than than
half half
of of
the the
world world
' '
s s
population population
has have
access access
to to
the the
Internet internet
, ,
and and
more more
than than
three three
billion billion
people people
— -
I i
' '
m m
repeating repeat
the the
number number
— -
three three
billion billion
people people
are be
consuming consume
news news
that that
is be
censored censor
by by
those those
in in
power power
. .
More more
or or
less less
around around
the the
same same
time time
, ,
I i
' '
m m
approached approach
by by
a a
great great
guy guy
named name
Uri uri
Fruchtmann fruchtmann
. .
He he
' '
s s
a a
filmmaker filmmaker
and and
an an
activist activist
. .
We we
understood understand
we we
were be
thinking think
along along
the the
same same
lines line
, ,
and and
we we
decided decide
to to
establish establish
Videre videre
, ,
our our
organization organization
, ,
together together
. .
While while
building build
the the
organization organization
in in
London london
, ,
we we
' '
ve ve
been be
traveling travel
undercover undercover
to to
places place
where where
a a
community community
was be
suffering suffer
from from
abuses abuse
, ,
where where
mass mass
atrocities atrocity
were be
happening happen
, ,
and and
there there
was be
a a
lack lack
of of
reporting reporting
. .
We we
tried try
to to
understand understand
how how
we we
can can
help help
. .
There there
were be
four four
things thing
that that
I i
learned learn
. .
The the
first first
thing thing
is be
that that
we we
have have
to to
engage engage
with with
communities community
that that
are be
living live
in in
rural rural
areas area
, ,
where where
violations violation
are be
happening happen
far far
from from
the the
public public
eye eye
. .
We we
need need
to to
partner partner
with with
them them
, ,
and and
we we
need need
to to
understand understand
which which
images image
are be
not not
making make
it it
out out
there there
and and
help help
them them
to to
document document
them them
. .
The the
second second
thing thing
I i
learned learn
is be
that that
we we
have have
to to
enable enable
them them
to to
film film
in in
a a
safe safe
way way
. .
Security security
has have
to to
be be
the the
priority priority
. .
Where where
I i
used use
to to
work work
before before
, ,
in in
the the
West west
Bank bank
, ,
one one
can can
take take
a a
camera camera
out out
, ,
most most
likely likely
not not
going go
to to
get get
shot shot
, ,
but but
in in
places place
we we
wanted want
to to
work work
, ,
just just
try try
to to
pull pull
a a
phone phone
out out
, ,
and and
you you
' '
re re
dead dead
— -
literally literally
dead dead
. .
This this
is be
why why
we we
decided decide
to to
take take
the the
operation operation
undercover undercover
when when
necessary necessary
, ,
and and
use use
mostly mostly
hidden hidden
cameras camera
. .
Unfortunately unfortunately
, ,
I i
can can
' '
t t
show show
you you
the the
hidden hidden
cameras camera
we we
' '
re re
using use
today today
— -
for for
obvious obvious
reasons reason
— -
but but
these these
are be
cameras camera
we we
used use
before before
. .
You you
can can
buy buy
them them
off off
the the
shelf shelf
. .
Today today
, ,
we we
' '
re re
building build
a a
custom-made custom-made
hidden hidden
camera camera
, ,
like like
the the
one one
that that
Mary mary
was be
wearing wear
in in
her her
dress dress
to to
film film
the the
intimidation intimidation
meeting meeting
of of
the the
ruling ruling
political political
party party
. .
It it
' '
s s
a a
camera camera
that that
nobody nobody
can can
see see
, ,
that that
blends blend
into into
the the
environment environment
, ,
into into
the the
surroundings surroundings
. .
Now now
, ,
filming film
securities security
go go
beyond beyond
using use
hidden hidden
cameras camera
. .
Being be
secure secure
starts start
way way
before before
the the
activist activist
is be
turning turn
the the
camera camera
on on
. .
To to
keep keep
our our
partners partner
safe safe
, ,
we we
work work
to to
understand understand
the the
risk risk
of of
every every
location location
and and
of of
every every
shot shot
before before
it it
' '
s s
happened happen
, ,
building build
a a
backup backup
plan plan
if if
something something
goes go
wrong wrong
, ,
and and
making make
sure sure
we we
have have
everything everything
in in
place place
before before
our our
operations operation
start start
. .
The the
third third
thing thing
I i
learned learn
is be
the the
importance importance
of of
verification verification
. .
You you
can can
have have
an an
amazing amazing
shot shot
of of
atrocity atrocity
, ,
but but
if if
you you
can can
' '
t t
verify verify
it it
, ,
it it
' '
s s
worth worth
nothing nothing
. .
Recently recently
, ,
like like
in in
the the
ongoing ongoing
war war
in in
Syria syria
or or
the the
war war
in in
Gaza gaza
, ,
we we
' '
ve ve
seen see
images image
that that
are be
staged stage
or or
brought bring
from from
a a
different different
conflict conflict
. .
This this
misinformation misinformation
destroyed destroy
the the
credibility credibility
of of
the the
source source
, ,
and and
it it
' '
s s
harmed harm
the the
credibility credibility
of of
other other
reliable reliable
and and
trustworthy trustworthy
sources source
. .
We we
use use
a a
variety variety
of of
ways way
to to
make make
sure sure
we we
can can
verify verify
the the
information information
and and
we we
can can
trust trust
the the
material material
. .
It it
starts start
with with
vetting vet
the the
partners partner
, ,
understanding understand
who who
they they
are be
, ,
and and
working work
with with
them them
very very
intensively intensively
. .
How how
do do
you you
film film
a a
location location
? ?
You you
film film
road road
signs sign
, ,
you you
film film
watches watch
, ,
you you
film film
newspapers newspaper
. .
We we
are be
checking check
maps map
, ,
looking look
at at
maps map
, ,
double-checking double-check
the the
information information
, ,
and and
looking look
also also
at at
the the
metadata metadata
of of
the the
material material
. .
Now now
, ,
the the
fourth fourth
and and
the the
most most
important important
thing thing
I i
learned learn
is be
how how
you you
use use
images image
to to
create create
a a
positive positive
change change
. .
To to
have have
an an
effect effect
, ,
the the
key key
thing thing
is be
how how
you you
use use
the the
material material
. .
Today today
, ,
we we
' '
re re
working work
with with
hundreds hundred
of of
activists activist
filming film
undercover undercover
. .
We we
work work
with with
them them
both both
to to
understand understand
the the
situation situation
on on
the the
ground ground
and and
which which
images image
are be
missing miss
to to
describe describe
it it
, ,
who who
are be
the the
ones one
that that
are be
influencing influence
the the
situation situation
, ,
and and
when when
to to
release release
the the
material material
to to
advance advance
the the
struggle struggle
. .
Sometimes sometimes
, ,
it it
' '
s s
about about
putting put
it it
in in
the the
media medium
, ,
mostly mostly
local local
ones one
, ,
to to
create create
awareness awareness
. .
Sometimes sometimes
it it
' '
s s
working work
with with
decision decision
makers maker
, ,
to to
change change
laws law
. .
Sometimes sometimes
, ,
it it
' '
s s
working work
with with
lawyers lawyer
to to
use use
as as
evidence evidence
in in
court court
. .
But but
more more
than than
often often
, ,
the the
most most
effective effective
way way
to to
create create
a a
social social
change change
is be
to to
work work
within within
the the
community community
. .
I i
want want
to to
give give
you you
one one
example example
. .
Fatuma fatuma
is be
part part
of of
a a
network network
of of
women woman
that that
are be
fighting fight
abuses abuse
in in
Kenya kenya
. .
Women woman
in in
her her
community community
have have
been be
harassed harass
constantly constantly
on on
their their
way way
to to
school school
and and
on on
their their
way way
to to
work work
. .
They they
are be
trying try
to to
change change
the the
behavior behavior
of of
the the
community community
from from
inside inside
. .
In in
the the
next next
clip clip
, ,
Fatuma fatuma
is be
taking take
us us
with with
her her
on on
her her
journey journey
to to
work work
. .
Her her
voice voice
is be
superimposed superimpose
on on
images image
that that
she she
filmed film
herself herself
using use
hidden hidden
cameras camera
. .
Fatuma fatuma
Chiusiku chiusiku
: :
My my
name name
is be
Fatuma fatuma
Chiusiku chiusiku
. .
I i
' '
m m
32 @card@
years year
old old
, ,
a a
mother mother
, ,
And and
Ziwa ziwa
La la
Ng ng
' '
Ombe ombe
is be
my my
home home
. .
Each each
morning morning
, ,
I i
ride ride
the the
mini-bus mini-bus
Number number
11 @card@
. .
But but
instead instead
of of
a a
peaceful peaceful
journey journey
to to
work work
, ,
each each
day day
begins begin
with with
fear fear
. .
Come come
with with
me me
now now
and and
use use
my my
eyes eye
to to
feel feel
what what
I i
feel feel
. .
As as
I i
walk walk
, ,
I i
think think
to to
myself myself
: :
Will will
I i
be be
touched touch
? ?
Grabbed grab
? ?
Violated violate
by by
this this
conductor conductor
again again
? ?
Even even
the the
men man
inside inside
the the
way way
they they
look look
at at
me me
touch touch
my my
body body
, ,
rub rub
against against
me me
, ,
grab grab
me me
, ,
and and
now now
, ,
as as
I i
sit sit
in in
my my
seat seat
I i
only only
wish wish
my my
mind mind
was be
full full
of of
thoughts thought
for for
my my
day day
, ,
my my
dreams dream
, ,
my my
children child
at at
school school
, ,
but but
instead instead
I i
worry worry
about about
the the
moment moment
when when
we we
will will
arrive arrive
and and
I i
will will
be be
violated violate
again again
. .
OY oy
: :
Today today
, ,
there there
is be
a a
new new
front front
in in
the the
fight fight
for for
human human
rights right
. .
I i
used use
to to
carry carry
a a
big big
gun gun
. .
Now now
, ,
I i
am be
carrying carry
this this
. .
This this
is be
a a
much much
more more
powerful powerful
and and
much much
, ,
much much
more more
effective effective
weapon weapon
. .
But but
we we
have have
to to
use use
its its
power power
wisely wisely
. .
By by
putting put
the the
right right
images image
in in
the the
right right
hands hand
at at
the the
right right
time time
, ,
we we
can can
truly truly
create create
an an
impact impact
. .
Thank thank
you you
. .
Thank thank
you you
. .
