Recently recently
ve ve
just just
sent send
an an
encoded encode
message message
to to
James james
Bond bond
. .
A a
fun fun
example example
, ,
but but
it it
does do
illustrate illustrate
three three
things thing
important important
for for
encryption encryption
. .
The the
code code
— -
we we
call call
this this
an an
encryption encryption
key key
. .
You you
can can
think think
of of
it it
as as
a a
password password
. .
The the
call call
to to
James james
to to
give give
him him
the the
code code
for for
the the
combination combination
lock lock
. .
We we
call call
this this
key key
exchange exchange
. .
This this
is be
how how
you you
ensure ensure
you you
get get
the the
encryption encryption
key key
securely securely
to to
the the
right right
place place
. .
And and
the the
lock lock
, ,
which which
encodes encode
and and
decodes decode
the the
document document
. .
We we
call call
this this
an an
encryption encryption
algorithm algorithm
. .
Using use
the the
key key
, ,
it it
encodes encode
the the
text text
in in
the the
documents document
to to
random random
numbers number
. .
A a
good good
algorithm algorithm
will will
encode encode
in in
such such
a a
way way
that that
without without
the the
key key
it it
' '
s s
very very
difficult difficult
to to
unscramble unscramble
. .
What what
makes make
encryption encryption
so so
important important
is be
that that
if if
someone someone
were be
to to
capture capture
the the
briefcase briefcase
and and
cut cut
it it
open open
without without
the the
encryption encryption
key key
and and
the the
encryption encryption
algorithm algorithm
, ,
they they
wouldn wouldn
' '
t t
be be
able able
to to
read read
the the
documents document
. .
They they
would would
look look
like like
nothing nothing
more more
than than
a a
bunch bunch
of of
random random
numbers number
. .
Most most
security security
systems system
rely rely
on on
a a
secure secure
method method
for for
key key
exchange exchange
to to
communicate communicate
the the
encryption encryption
key key
to to
the the
right right
place place
. .
However however
, ,
rapid rapid
increases increase
in in
computational computational
power power
are be
putting put
at at
risk risk
a a
number number
of of
the the
key key
exchange exchange
methods method
we we
have have
today today
. .
Consider consider
one one
of of
the the
very very
widely widely
used use
systems system
today today
— -
RSA rsa
. .
When when
it it
was be
invented invent
, ,
in in
1977 @card@
, ,
it it
was be
estimated estimate
that that
it it
would would
take take
40 @card@
quadrillion quadrillion
years year
to to
break break
a a
426-bit 426-bit
RSA rsa
key key
. .
In in
1994 @card@
, ,
just just
17 @card@
years year
later later
, ,
the the
code code
was be
broken break
. .
As as
computers computer
have have
become become
more more
and and
more more
powerful powerful
, ,
we we
' '
ve ve
had have
to to
use use
larger large
and and
larger large
codes code
. .
Today today
we we
routinely routinely
use use
2048 @card@
or or
4096 @card@
bits bit
. .
As as
you you
can can
see see
, ,
code code
makers maker
and and
breakers breaker
are be
engaged engage
in in
an an
ongoing ongoing
battle battle
to to
outwit outwit
each each
other other
. .
And and
when when
quantum quantum
computers computer
arrive arrive
in in
the the
next next
10 @card@
to to
15 @card@
years year
, ,
they they
will will
even even
more more
rapidly rapidly
crack crack
the the
complex complex
mathematics mathematics
that that
underlies underlie
many many
of of
our our
encryption encryption
systems system
today today
. .
Indeed indeed
, ,
the the
quantum quantum
computer computer
is be
likely likely
to to
turn turn
our our
present present
security security
castle castle
into into
a a
mere mere
house house
of of
cards card
. .
We we
have have
to to
find find
a a
way way
to to
defend defend
our our
castle castle
. .
There there
' '
s s
been be
a a
growing grow
body body
of of
research research
in in
recent recent
years year
looking look
at at
using use
quantum quantum
effects effect
to to
make make
encryption encryption
stronger strong
. .
And and
there there
have have
been be
some some
exciting exciting
breakthroughs breakthrough
. .
Remember remember
those those
three three
things thing
important important
for for
encryption encryption
— -
high- high-
quality quality
keys key
, ,
secure secure
key key
exchange exchange
and and
a a
strong strong
algorithm algorithm
? ?
Well well
, ,
advances advance
in in
science science
and and
engineering engineering
are be
putting put
two two
of of
those those
three three
elements element
at at
risk risk
. .
First first
of of
all all
, ,
those those
keys key
. .
Random random
numbers number
are be
the the
foundational foundational
building building
blocks block
of of
encryption encryption
keys key
. .
But but
today today
, ,
they they
' '
re re
not not
truly truly
random random
. .
Currently currently
, ,
we we
construct construct
encryption encryption
keys key
from from
sequences sequence
of of
random random
numbers number
generated generate
from from
software software
, ,
so- so-
called call
pseudo-random pseudo-random
numbers number
. .
Numbers number
generated generate
by by
a a
program program
or or
a a
mathematical mathematical
recipe recipe
will will
have have
some some
, ,
perhaps perhaps
subtle subtle
, ,
pattern pattern
to to
them them
. .
The the
less less
random random
the the
numbers number
are be
, ,
or or
in in
scientific scientific
terms term
, ,
the the
less less
entropy entropy
they they
contain contain
, ,
the the
easier easy
they they
are be
to to
predict predict
. .
Recently recently
, ,
several several
casinos casino
have have
been be
victims victim
of of
a a
creative creative
attack attack
. .
The the
output output
of of
slot slot
machines machine
was be
recorded record
over over
a a
period period
of of
time time
and and
then then
analyzed analyze
. .
This this
allowed allow
the the
cyber cyber
criminals criminal
to to
reverse reverse
engineer engineer
the the
pseudo-random pseudo-random
number number
generator generator
behind behind
the the
spinning spinning
wheels wheel
. .
And and
allowed allow
them them
, ,
with with
high high
accuracy accuracy
, ,
to to
predict predict
the the
spins spin
of of
the the
wheels wheel
, ,
enabling enable
them them
to to
make make
big big
financial financial
gains gain
. .
Similar similar
risks risk
apply apply
to to
encryption encryption
keys key
. .
So so
having have
a a
true true
random random
number number
generator generator
is be
essential essential
for for
secure secure
encryption encryption
. .
For for
years year
, ,
researchers researcher
have have
been be
looking look
at at
building build
true true
random random
number number
generators generator
. .
But but
most most
designs design
to to
date date
are be
either either
not not
random random
enough enough
, ,
fast fast
enough enough
or or
aren aren
' '
t t
easily easily
repeatable repeatable
. .
But but
the the
quantum quantum
world world
is be
truly truly
random random
. .
So so
it it
makes make
sense sense
to to
take take
advantage advantage
of of
this this
intrinsic intrinsic
randomness randomness
. .
Devices device
that that
can can
measure measure
quantum quantum
effects effect
can can
produce produce
an an
endless endless
stream stream
of of
random random
numbers number
at at
high high
speed speed
. .
Foiling foil
all all
those those
would-be would-be
casino casino
criminals criminal
. .
A a
select select
group group
of of
universities university
and and
companies company
around around
the the
world world
are be
focused focus
on on
building build
true true
random random
number number
generators generator
. .
At at
my my
company company
, ,
our our
quantum quantum
random random
number number
generator generator
started start
life life
on on
a a
two two
meter meter
by by
one one
meter meter
optic optic
table table
. .
We we
were be
then then
able able
to to
reduce reduce
it it
to to
a a
server-size server-size
box box
. .
Today today
, ,
it it
' '
s s
miniaturized miniaturize
into into
a a
PCI pci
card card
that that
plugs plug
into into
a a
standard standard
computer computer
. .
This this
is be
the the
world world
' '
s s
fastest fast
true true
random random
number number
generator generator
. .
It it
measures measure
quantum quantum
effects effect
to to
produce produce
a a
billion billion
random random
numbers number
per per
second second
. .
And and
it it
' '
s s
in in
use use
today today
to to
improve improve
security security
at at
cloud cloud
providers provider
, ,
banks bank
and and
government government
agencies agency
around around
the the
world world
. .
But but
even even
with with
a a
true true
random random
number number
generator generator
, ,
we we
' '
ve ve
still still
got get
the the
second second
big big
cyber cyber
threat threat
: :
the the
problem problem
of of
secure secure
key key
exchange exchange
. .
Current current
key key
exchange exchange
techniques technique
will will
not not
stand stand
up up
to to
a a
quantum quantum
computer computer
. .
The the
quantum quantum
solution solution
to to
this this
problem problem
is be
called call
quantum quantum
key key
distribution distribution
or or
QKD qkd
, ,
which which
leverages leverage
a a
fundamental fundamental
, ,
counterintuitive counterintuitive
characteristic characteristic
of of
quantum quantum
mechanics mechanic
. .
The the
very very
act act
of of
looking look
at at
a a
quantum quantum
particle particle
changes change
it it
. .
Let let
me me
give give
you you
an an
example example
of of
how how
this this
works work
. .
Consider consider
again again
exchanging exchange
the the
code code
for for
the the
lock lock
with with
James james
Bond bond
. .
Except except
this this
time time
, ,
instead instead
of of
a a
call call
to to
give give
James james
the the
code code
, ,
we we
' '
re re
going go
to to
use use
quantum quantum
effects effect
on on
a a
laser laser
to to
carry carry
the the
code code
and and
send send
it it
over over
standard standard
optic optic
fiber fiber
to to
James james
. .
We we
assume assume
that that
Dr dr
. .
No no
is be
trying try
to to
hack hack
the the
exchange exchange
. .
Luckily luckily
, ,
Dr dr
. .
No no
' '
s s
attempt attempt
to to
intercept intercept
the the
quantum quantum
keys key
while while
in in
transit transit
will will
leave leave
fingerprints fingerprint
that that
James james
and and
you you
can can
detect detect
. .
This this
allows allow
those those
intercepted intercept
keys key
to to
be be
discarded discard
. .
The the
keys key
which which
are be
then then
retained retain
can can
be be
used use
to to
provide provide
very very
strong strong
data datum
protection protection
. .
And and
because because
the the
security security
is be
based base
on on
the the
fundamental fundamental
laws law
of of
physics physic
, ,
a a
quantum quantum
computer computer
, ,
or or
indeed indeed
any any
future future
supercomputer supercomputer
will will
not not
be be
able able
to to
break break
it it
. .
My my
team team
and and
I i
are be
collaborating collaborate
with with
leading lead
universities university
and and
the the
defense defense
sector sector
to to
mature mature
this this
exciting exciting
technology technology
into into
the the
next next
generation generation
of of
security security
products product
. .
The the
internet internet
of of
things thing
is be
heralding herald
a a
hyperconnected hyperconnected
era era
with with
25 @card@
to to
30 @card@
billion billion
connected connected
devices device
forecast forecast
by by
2020 @card@
. .
For for
the the
correct correct
functioning functioning
of of
our our
society society
in in
an an
IoT iot
world world
, ,
trust trust
in in
the the
systems system
that that
support support
these these
connected connected
devices device
is be
vital vital
. .
We we
' '
re re
betting bet
that that
quantum quantum
technologies technology
will will
be be
essential essential
in in
providing provide
this this
trust trust
, ,
enabling enable
us us
to to
fully fully
benefit benefit
from from
the the
amazing amazing
innovations innovation
that that
are be
going go
to to
so so
enrich enrich
our our
lives life
. .
Thank thank
you you
. .
