When when
had have
no no
choice choice
, ,
because because
they they
were be
driven drive
to to
do do
what what
they they
thought think
was be
right right
. .
Now now
I i
think think
at at
this this
point point
it it
' '
s s
important important
for for
me me
to to
say say
that that
I i
actually actually
love love
extroverts extrovert
. .
I i
always always
like like
to to
say say
some some
of of
my my
best good
friends friend
are be
extroverts extrovert
, ,
including include
my my
beloved beloved
husband husband
. .
And and
we we
all all
fall fall
at at
different different
points point
, ,
of of
course course
, ,
along along
the the
introvert introvert
/ /
extrovert extrovert
spectrum spectrum
. .
Even even
Carl carl
Jung jung
, ,
the the
psychologist psychologist
who who
first first
popularized popularize
these these
terms term
, ,
said say
that that
there there
' '
s s
no no
such such
thing thing
as as
a a
pure pure
introvert introvert
or or
a a
pure pure
extrovert extrovert
. .
He he
said say
that that
such such
a a
man man
would would
be be
in in
a a
lunatic lunatic
asylum asylum
, ,
if if
he he
existed exist
at at
all all
. .
And and
some some
people people
fall fall
smack smack
in in
the the
middle middle
of of
the the
introvert introvert
/ /
extrovert extrovert
spectrum spectrum
, ,
and and
we we
call call
these these
people people
ambiverts ambivert
. .
And and
I i
often often
think think
that that
they they
have have
the the
best good
of of
all all
worlds world
. .
But but
many many
of of
us us
do do
recognize recognize
ourselves ourselves
as as
one one
type type
or or
the the
other other
. .
And and
what what
I i
' '
m m
saying saying
is be
that that
culturally culturally
, ,
we we
need need
a a
much much
better good
balance balance
. .
We we
need need
more more
of of
a a
yin yin
and and
yang yang
between between
these these
two two
types type
. .
This this
is be
especially especially
important important
when when
it it
comes come
to to
creativity creativity
and and
to to
productivity productivity
, ,
because because
when when
psychologists psychologist
look look
at at
the the
lives life
of of
the the
most most
creative creative
people people
, ,
what what
they they
find find
are be
people people
who who
are be
very very
good good
at at
exchanging exchange
ideas idea
and and
advancing advance
ideas idea
, ,
but but
who who
also also
have have
a a
serious serious
streak streak
of of
introversion introversion
in in
them them
. .
And and
this this
is be
because because
solitude solitude
is be
a a
crucial crucial
ingredient ingredient
often often
to to
creativity creativity
. .
So so
Darwin darwin
, ,
he he
took take
long long
walks walk
alone alone
in in
the the
woods wood
and and
emphatically emphatically
turned turn
down down
dinner-party dinner-party
invitations invitation
. .
Theodor theodor
Geisel geisel
, ,
better well
known know
as as
Dr dr
. .
Seuss seuss
, ,
he he
dreamed dream
up up
many many
of of
his his
amazing amazing
creations creation
in in
a a
lonely lonely
bell bell
tower tower
office office
that that
he he
had have
in in
the the
back back
of of
his his
house house
in in
La la
Jolla jolla
, ,
California california
. .
And and
he he
was be
actually actually
afraid afraid
to to
meet meet
the the
young young
children child
who who
read read
his his
books book
for for
fear fear
that that
they they
were be
expecting expect
him him
this this
kind kind
of of
jolly jolly
Santa santa
Claus-like claus-like
figure figure
and and
would would
be be
disappointed disappoint
with with
his his
more more
reserved reserved
persona persona
. .
Steve steve
Wozniak wozniak
invented invent
the the
first first
Apple apple
computer computer
sitting sit
alone alone
in in
his his
cubicle cubicle
in in
Hewlett-Packard hewlett-packard
where where
he he
was be
working work
at at
the the
time time
. .
And and
he he
says say
that that
he he
never never
would would
have have
become become
such such
an an
expert expert
in in
the the
first first
place place
had have
he he
not not
been be
too too
introverted introvert
to to
leave leave
the the
house house
when when
he he
was be
growing grow
up up
. .
Now now
, ,
of of
course course
, ,
this this
does do
not not
mean mean
that that
we we
should should
all all
stop stop
collaborating collaborate
— -
and and
case case
in in
point point
, ,
is be
Steve steve
Wozniak wozniak
famously famously
coming come
together together
with with
Steve steve
Jobs jobs
to to
start start
Apple apple
Computer computer
— -
but but
it it
does do
mean mean
that that
solitude solitude
matters matter
and and
that that
for for
some some
people people
it it
is be
the the
air air
that that
they they
breathe breathe
. .
And and
in in
fact fact
, ,
we we
have have
known know
for for
centuries century
about about
the the
transcendent transcendent
power power
of of
solitude solitude
. .
It it
' '
s s
only only
recently recently
that that
we we
' '
ve ve
strangely strangely
begun begin
to to
forget forget
it it
. .
If if
you you
look look
at at
most most
of of
the the
world world
' '
s s
major major
religions religion
, ,
you you
will will
find find
seekers seeker
— -
Moses moses
, ,
Jesus jesus
, ,
Buddha buddha
, ,
Muhammad muhammad
— -
seekers seeker
who who
are be
going go
off off
by by
themselves themselves
alone alone
to to
the the
wilderness wilderness
, ,
where where
they they
then then
have have
profound profound
epiphanies epiphany
and and
revelations revelation
that that
they they
then then
bring bring
back back
to to
the the
rest rest
of of
the the
community community
. .
So so
, ,
no no
wilderness wilderness
, ,
no no
revelations revelation
. .
This this
is be
no no
surprise surprise
, ,
though though
, ,
if if
you you
look look
at at
the the
insights insight
of of
contemporary contemporary
psychology psychology
. .
It it
turns turn
out out
that that
we we
can can
' '
t t
even even
be be
in in
a a
group group
of of
people people
without without
instinctively instinctively
mirroring mirror
, ,
mimicking mimick
their their
opinions opinion
. .
Even even
about about
seemingly seemingly
personal personal
and and
visceral visceral
things thing
like like
who who
you you
' '
re re
attracted attract
to to
, ,
you you
will will
start start
aping ape
the the
beliefs belief
of of
the the
people people
around around
you you
without without
even even
realizing realize
that that
that that
' '
s s
what what
you you
' '
re re
doing do
. .
And and
groups group
famously famously
follow follow
the the
opinions opinion
of of
the the
most most
dominant dominant
or or
charismatic charismatic
person person
in in
the the
room room
, ,
even even
though though
there there
' '
s s
zero zero
correlation correlation
between between
being be
the the
best good
talker talker
and and
having have
the the
best good
ideas idea
— -
I i
mean mean
zero zero
. .
So so
— -
You you
might might
be be
following follow
the the
person person
with with
the the
best good
ideas idea
, ,
but but
you you
might might
not not
. .
And and
do do
you you
really really
want want
to to
leave leave
it it
up up
to to
chance chance
? ?
Much much
better well
for for
everybody everybody
to to
go go
off off
by by
themselves themselves
, ,
generate generate
their their
own own
ideas idea
freed free
from from
the the
distortions distortion
of of
group group
dynamics dynamics
, ,
and and
then then
come come
together together
as as
a a
team team
to to
talk talk
them them
through through
in in
a a
well- well-
managed manage
environment environment
and and
take take
it it
from from
there there
. .
Now now
if if
all all
this this
is be
true true
, ,
then then
why why
are be
we we
getting get
it it
so so
wrong wrong
? ?
Why why
are be
we we
setting set
up up
our our
schools school
this this
way way
, ,
and and
our our
workplaces workplace
? ?
And and
why why
are be
we we
making make
these these
introverts introvert
feel feel
so so
guilty guilty
about about
wanting want
to to
just just
go go
off off
by by
themselves themselves
some some
of of
the the
time time
? ?
One one
answer answer
lies lie
deep deep
in in
our our
cultural cultural
history history
. .
Western western
societies society
, ,
and and
in in
particular particular
the the
U u
. .
S s
. .
, ,
have have
always always
favored favor
the the
man man
of of
action action
over over
the the
" "
man man
" "
of of
contemplation contemplation
. .
But but
in in
America america
' '
s s
early early
days day
, ,
we we
lived live
in in
what what
historians historian
call call
a a
culture culture
of of
character character
, ,
where where
we we
still still
, ,
at at
that that
point point
, ,
valued value
people people
for for
their their
inner inner
selves self
and and
their their
moral moral
rectitude rectitude
. .
And and
if if
you you
look look
at at
the the
self-help self-help
books book
from from
this this
era era
, ,
they they
all all
had have
titles title
with with
things thing
like like
" "
Character character
, ,
the the
Grandest grand
Thing thing
in in
the the
World world
. .
" "
And and
they they
featured feature
role role
models model
like like
Abraham abraham
Lincoln lincoln
, ,
who who
was be
praised praise
for for
being be
modest modest
and and
unassuming unassuming
. .
Ralph ralph
Waldo waldo
Emerson emerson
called call
him him
" "
A a
man man
who who
does do
not not
offend offend
by by
superiority superiority
. .
" "
But but
then then
we we
hit hit
the the
20th 20th
century century
, ,
and and
we we
entered enter
a a
new new
culture culture
that that
historians historian
call call
the the
culture culture
of of
personality personality
. .
What what
happened happen
is be
we we
had have
evolved evolve
an an
agricultural agricultural
economy economy
to to
a a
world world
of of
big big
business business
. .
And and
so so
suddenly suddenly
people people
are be
moving move
from from
small small
towns town
to to
the the
cities city
. .
And and
instead instead
of of
working work
alongside alongside
people people
they they
' '
ve ve
known know
all all
their their
lives life
, ,
now now
they they
are be
having have
to to
prove prove
themselves themselves
in in
a a
crowd crowd
of of
strangers stranger
. .
So so
, ,
quite quite
understandably understandably
, ,
qualities quality
like like
magnetism magnetism
and and
charisma charisma
suddenly suddenly
come come
to to
seem seem
really really
important important
. .
And and
sure sure
enough enough
, ,
the the
self-help self-help
books book
change change
to to
meet meet
these these
new new
needs need
and and
they they
start start
to to
have have
names name
like like
" "
How how
to to
Win win
Friends friends
and and
Influence influence
People people
. .
" "
And and
they they
feature feature
as as
their their
role role
models model
really really
great great
salesmen salesman
. .
So so
that that
' '
s s
the the
world world
we we
' '
re re
living living
in in
today today
. .
That that
' '
s s
our our
cultural cultural
inheritance inheritance
. .
Now now
none none
of of
this this
is be
to to
say say
that that
social social
skills skill
are be
unimportant unimportant
, ,
and and
I i
' '
m m
also also
not not
calling call
for for
the the
abolishing abolish
of of
teamwork teamwork
at at
all all
. .
The the
same same
religions religion
who who
send send
their their
sages sage
off off
to to
lonely lonely
mountain mountain
tops top
also also
teach teach
us us
love love
and and
trust trust
. .
And and
the the
problems problem
that that
we we
are be
facing face
today today
in in
fields field
like like
science science
and and
in in
economics economics
are be
so so
vast vast
and and
so so
complex complex
that that
we we
are be
going go
to to
need need
armies army
of of
people people
coming come
together together
to to
solve solve
them them
working work
together together
. .
But but
I i
am be
saying say
that that
the the
more more
freedom freedom
that that
we we
give give
introverts introvert
to to
be be
themselves themselves
, ,
the the
more more
likely likely
that that
they they
are be
to to
come come
up up
with with
their their
own own
unique unique
solutions solution
to to
these these
problems problem
. .
So so
now now
I i
' '
d d
like like
to to
share share
with with
you you
what what
' '
s s
in in
my my
suitcase suitcase
today today
. .
Guess guess
what what
? ?
Books book
. .
I i
have have
a a
suitcase suitcase
full full
of of
books book
. .
Here here
' '
s s
Margaret margaret
Atwood atwood
, ,
" "
Cat cat
' '
s s
Eye eye
. .
" "
Here here
' '
s s
a a
novel novel
by by
Milan milan
Kundera kundera
. .
And and
here here
' '
s s
" "
The the
Guide guide
for for
the the
Perplexed perplex
" "
by by
Maimonides maimonides
. .
But but
these these
are be
not not
exactly exactly
my my
books book
. .
I i
brought bring
these these
books book
with with
me me
because because
they they
were be
written write
by by
my my
grandfather grandfather
' '
s s
favorite favorite
authors author
. .
My my
grandfather grandfather
was be
a a
rabbi rabbi
and and
he he
was be
a a
widower widower
who who
lived live
alone alone
in in
a a
small small
apartment apartment
in in
Brooklyn brooklyn
that that
was be
my my
favorite favorite
place place
in in
the the
world world
when when
I i
was be
growing grow
up up
, ,
partly partly
because because
it it
was be
filled fill
with with
his his
very very
gentle gentle
, ,
very very
courtly courtly
presence presence
and and
partly partly
because because
it it
was be
filled fill
with with
books book
. .
I i
mean mean
literally literally
every every
table table
, ,
every every
chair chair
in in
this this
apartment apartment
had have
yielded yield
its its
original original
function function
to to
now now
serve serve
as as
a a
surface surface
for for
swaying sway
stacks stack
of of
books book
. .
Just just
like like
the the
rest rest
of of
my my
family family
, ,
my my
grandfather grandfather
' '
s s
favorite favorite
thing thing
to to
do do
in in
the the
whole whole
world world
was be
to to
read read
. .
But but
he he
also also
loved love
his his
congregation congregation
, ,
and and
you you
could could
feel feel
this this
love love
in in
the the
sermons sermon
that that
he he
gave give
every every
week week
for for
the the
62 @card@
years year
that that
he he
was be
a a
rabbi rabbi
. .
He he
would would
takes take
the the
fruits fruit
of of
each each
week week
' '
s s
reading reading
and and
he he
would would
weave weave
these these
intricate intricate
tapestries tapestry
of of
ancient ancient
and and
humanist humanist
thought thought
. .
And and
people people
would would
come come
from from
all all
over over
to to
hear hear
him him
speak speak
. .
But but
here here
' '
s s
the the
thing thing
about about
my my
grandfather grandfather
. .
Underneath underneath
this this
ceremonial ceremonial
role role
, ,
he he
was be
really really
modest modest
and and
really really
introverted introvert
— -
so so
much much
so so
that that
when when
he he
delivered deliver
these these
sermons sermon
, ,
he he
had have
trouble trouble
making make
eye eye
contact contact
with with
the the
very very
same same
congregation congregation
that that
he he
had have
been be
speaking speak
to to
for for
62 @card@
years year
. .
And and
even even
away away
from from
the the
podium podium
, ,
when when
you you
called call
him him
to to
say say
hello hello
, ,
he he
would would
often often
end end
the the
conversation conversation
prematurely prematurely
for for
fear fear
that that
he he
was be
taking take
up up
too too
much much
of of
your your
time time
. .
But but
when when
he he
died die
at at
the the
age age
of of
94 @card@
, ,
the the
police police
had have
to to
close close
down down
the the
streets street
of of
his his
neighborhood neighborhood
to to
accommodate accommodate
the the
crowd crowd
of of
people people
who who
came come
out out
to to
mourn mourn
him him
. .
And and
so so
these these
days day
I i
try try
to to
learn learn
from from
my my
grandfather grandfather
' '
s s
example example
in in
my my
own own
way way
. .
So so
I i
just just
published publish
a a
book book
about about
introversion introversion
, ,
and and
it it
took take
me me
about about
seven seven
years year
to to
write write
. .
And and
for for
me me
, ,
that that
seven seven
years year
was be
like like
total total
bliss bliss
, ,
because because
I i
was be
reading read
, ,
I i
was be
writing write
, ,
I i
was be
thinking think
, ,
I i
was be
researching research
. .
It it
was be
my my
version version
of of
my my
grandfather grandfather
' '
s s
hours hour
of of
the the
day day
alone alone
in in
his his
library library
. .
But but
now now
all all
of of
a a
sudden sudden
my my
job job
is be
very very
different different
, ,
and and
my my
job job
is be
to to
be be
out out
here here
talking talk
about about
it it
, ,
talking talk
about about
introversion introversion
. .
And and
that that
' '
s s
a a
lot lot
harder harder
for for
me me
, ,
because because
as as
honored honor
as as
I i
am be
to to
be be
here here
with with
all all
of of
you you
right right
now now
, ,
this this
is be
not not
my my
natural natural
milieu milieu
. .
So so
I i
prepared prepare
for for
moments moment
like like
these these
as as
best good
I i
could could
. .
I i
spent spend
the the
last last
year year
practicing practice
public public
speaking speak
every every
chance chance
I i
could could
get get
. .
And and
I i
call call
this this
my my
" "
year year
of of
speaking speak
dangerously dangerously
. .
" "
And and
that that
actually actually
helped help
a a
lot lot
. .
But but
I i
' '
ll ll
tell tell
you you
, ,
what what
helps help
even even
more more
is be
my my
sense sense
, ,
my my
belief belief
, ,
my my
hope hope
that that
when when
it it
comes come
to to
our our
attitudes attitude
to to
introversion introversion
and and
to to
quiet quiet
and and
to to
solitude solitude
, ,
we we
truly truly
are be
poised poise
on on
the the
brink brink
on on
dramatic dramatic
change change
. .
I i
mean mean
, ,
we we
are be
. .
And and
so so
I i
am be
going go
to to
leave leave
you you
now now
with with
three three
calls call
for for
action action
for for
those those
who who
share share
this this
vision vision
. .
Number number
one one
: :
Stop stop
the the
madness madness
for for
constant constant
group group
work work
. .
Just just
stop stop
it it
. .
Thank thank
you you
. .
And and
I i
want want
to to
be be
clear clear
about about
what what
I i
' '
m m
saying say
, ,
because because
I i
deeply deeply
believe believe
our our
offices office
should should
be be
encouraging encourage
casual casual
, ,
chatty chatty
cafe-style cafe-style
types type
of of
interactions interaction
— -
you you
know know
, ,
the the
kind kind
where where
people people
come come
together together
and and
serendipitously serendipitously
have have
an an
exchange exchange
of of
ideas idea
. .
That that
is be
great great
. .
It it
' '
s s
great great
for for
introverts introvert
and and
it it
' '
s s
great great
for for
extroverts extrovert
. .
But but
we we
need need
much much
more more
privacy privacy
and and
much much
more more
freedom freedom
and and
much much
more more
autonomy autonomy
at at
work work
. .
School school
, ,
same same
thing thing
. .
We we
need need
to to
be be
teaching teach
kids kid
to to
work work
together together
, ,
for for
sure sure
, ,
but but
we we
also also
need need
to to
be be
teaching teach
them them
how how
to to
work work
on on
their their
own own
. .
This this
is be
especially especially
important important
for for
extroverted extroverted
children child
too too
. .
They they
need need
to to
work work
on on
their their
own own
because because
that that
is be
where where
deep deep
thought thought
comes come
from from
in in
part part
. .
Okay okay
, ,
number number
two two
: :
Go go
to to
the the
wilderness wilderness
. .
Be be
like like
Buddha buddha
, ,
have have
your your
own own
revelations revelation
. .
I i
' '
m m
not not
saying say
that that
we we
all all
have have
to to
now now
go go
off off
and and
build build
our our
own own
cabins cabin
in in
the the
woods wood
and and
never never
talk talk
to to
each each
other other
again again
, ,
but but
I i
am be
saying say
that that
we we
could could
all all
stand stand
to to
unplug unplug
and and
get get
inside inside
our our
own own
heads head
a a
little little
more more
often often
. .
Number number
three three
: :
Take take
a a
good good
look look
at at
what what
' '
s s
inside inside
your your
own own
suitcase suitcase
and and
why why
you you
put put
it it
there there
. .
So so
extroverts extrovert
, ,
maybe maybe
your your
suitcases suitcase
are be
also also
full full
of of
books book
. .
Or or
maybe maybe
they they
' '
re re
full full
of of
champagne champagne
glasses glass
or or
skydiving skydive
equipment equipment
. .
Whatever whatever
it it
is be
, ,
I i
hope hope
you you
take take
these these
things thing
out out
every every
chance chance
you you
get get
and and
grace grace
us us
with with
your your
energy energy
and and
your your
joy joy
. .
But but
introverts introvert
