Nadia nadia
HH hh
: :
Yeah yeah
. .
ND nd
: :
When when
stars star
and and
galaxies galaxy
are be
just just
starting start
to to
turn turn
on on
and and
how how
different different
the the
universe universe
was be
and and
the the
fact fact
that that
we we
humans human
on on
this this
one one
little little
planet planet
Earth earth
can can
craft craft
an an
instrument instrument
that that
has have
the the
capability capability
to to
let let
us us
see see
that that
, ,
13 @card@
. .
5 @card@
billion billion
years year
ago ago
, ,
or or
whatever whatever
it it
ends end
up up
being be
, ,
is be
really really
phenomenal phenomenal
. .
HH hh
: :
Yeah yeah
. .
I i
view view
it it
as as
an an
example example
of of
what what
humanity humanity
can can
do do
when when
we we
work work
for for
the the
greater great
good good
, ,
when when
we we
work work
as as
teams team
and and
we we
have have
a a
goal goal
. .
This this
project project
required require
thousands thousand
of of
people people
in in
multiple multiple
countries country
, ,
multiple multiple
states state
, ,
to to
take take
this this
vision vision
and and
turn turn
it it
into into
a a
concrete concrete
thing thing
, ,
this this
telescope telescope
. .
And and
then then
launch launch
it it
on on
a a
rocket rocket
, ,
and and
then then
have have
the the
ability ability
to to
use use
it it
, ,
to to
probe probe
from from
right right
in in
our our
local local
neighborhood neighborhood
all all
the the
way way
to to
the the
edge edge
of of
the the
known know
universe universe
and and
everything everything
in in
between between
. .
ND nd
: :
Yeah yeah
. .
HH hh
: :
It it
' '
s s
amazing amazing
to to
me me
. .
And and
everybody everybody
had have
a a
role role
to to
play play
. .
The the
beryllium beryllium
miners miner
who who
mined mine
the the
beryllium beryllium
we we
used use
to to
make make
the the
mirrors mirror
and and
the the
cable cable
wrappers wrapper
who who
wrapped wrap
the the
cables cable
to to
allow allow
this this
thing thing
to to
move move
, ,
and and
the the
people people
who who
built build
the the
different different
instruments instrument
. .
We we
have have
a a
suite suite
of of
four four
different different
instruments instrument
, ,
cameras camera
and and
spectrographs spectrograph
. .
Both both
here here
, ,
in in
Europe europe
. .
You you
know know
, ,
we we
all all
worked work
-- --
in in
Canada canada
. .
Canada canada
made make
the the
fine fine
guidance guidance
sensor sensor
that that
allows allow
us us
to to
point point
this this
thing thing
. .
I i
mean mean
, ,
it it
' '
s s
a a
truly truly
international international
effort effort
and and
it it
all all
comes come
together together
to to
create create
this this
revolution revolution
in in
how how
we we
see see
the the
cosmos cosmos
. .
ND nd
: :
Do do
you you
have have
a a
favorite favorite
among among
the the
images image
that that
have have
been be
released release
so so
far far
? ?
HH hh
: :
Well well
, ,
they they
all all
have have
special special
aspects aspect
about about
them them
that that
make make
me me
go go
, ,
" "
Wow wow
! !
" "
In in
the the
case case
of of
the the
" "
Cosmic cosmic
Cliffs cliff
" "
image image
, ,
it it
' '
s s
beautiful beautiful
, ,
it it
' '
s s
blue blue
in in
the the
dark dark
and and
orange orange
in in
the the
bottom bottom
. .
And and
, ,
you you
know know
, ,
I i
get get
excited excite
about about
images image
like like
that that
because because
not not
only only
are be
they they
tremendously tremendously
beautiful beautiful
and and
evocative evocative
in in
a a
poetic poetic
way way
, ,
but but
those those
are be
places place
where where
stars star
are be
being be
born bear
. .
And and
some some
of of
the the
little little
pokey pokey
things thing
that that
stick stick
out out
, ,
that that
give give
it it
some some
of of
its its
dramatic dramatic
structure structure
, ,
you you
know know
, ,
those those
are be
-- --
that that
' '
s s
star star
birth birth
in in
the the
making making
. .
And and
I i
think think
that that
' '
s s
just just
so so
cool cool
. .
And and
particularly particularly
when when
we we
use use
our our
infrared infrared
cameras camera
, ,
we we
can can
look look
inside inside
some some
of of
those those
knobs knob
and and
see see
the the
stars star
that that
are be
being be
born bear
. .
And and
in in
some some
places place
, ,
like like
the the
Orion orion
Nebula nebula
-- --
there there
was be
just just
an an
image image
released release
of of
the the
Orion orion
Nebula nebula
-- --
that that
' '
s s
places place
where where
planetary planetary
systems system
are be
forming form
. .
We we
aren aren
' '
t t
seeing see
the the
planets planet
, ,
but but
we we
' '
re re
seeing see
the the
swirling swirling
disks disk
of of
dust dust
and and
gas gas
where where
those those
planets planet
are be
being be
born bear
. .
And and
even even
some some
of of
these these
galaxy galaxy
images image
, ,
while while
they they
may may
be be
static static
, ,
like like
the the
" "
Stephan stephan
' '
s s
Quintet quintet
" "
image image
, ,
which which
is be
five five
galaxies galaxy
-- --
one one
of of
which which
is be
an an
interloper interloper
, ,
it it
' '
s s
a a
foreground foreground
galaxy galaxy
. .
It it
' '
s s
not not
part part
of of
the the
other other
crew crew
. .
ND nd
: :
Just just
wanted want
to to
be be
in in
the the
shot shot
. .
HH hh
: :
It it
' '
s s
just just
photobombing photobomb
the the
other other
ones one
. .
But but
the the
four four
that that
are be
part part
of of
a a
cluster cluster
, ,
what what
you you
learn learn
from from
James james
Webb webb
Space space
Telescope telescope
is be
that that
in in
the the
regions region
where where
they they
are be
interacting interact
and and
overlapping overlap
, ,
those those
regions region
light light
up up
in in
the the
infrared infrared
. .
Those those
are be
places place
where where
the the
dust dust
and and
the the
gas gas
and and
the the
existing exist
stars star
of of
those those
other other
galaxies galaxy
, ,
when when
they they
are be
interacting interact
, ,
they they
are be
forming form
new new
stars star
. .
They they
are be
creating create
new new
realms realm
of of
star star
formation formation
, ,
and and
they they
just just
light light
up up
in in
the the
infrared infrared
in in
that that
image image
. .
ND nd
: :
Yeah yeah
. .
And and
I i
just just
wonder wonder
, ,
like like
, ,
what what
' '
s s
missing miss
from from
that that
picture picture
? ?
What what
can can
JWST jwst
fill fill
in in
? ?
I i
mean mean
, ,
how how
much much
more more
color color
can can
it it
add add
? ?
HH hh
: :
What what
JWST jwst
adds add
to to
our our
ongoing ongoing
story story
is be
it it
adds add
new new
wavelengths wavelength
of of
light light
that that
we we
haven haven
' '
t t
had have
the the
sensitivity sensitivity
to to
study study
, ,
and and
different different
wavelengths wavelength
of of
light light
tell tell
you you
different different
parts part
of of
this this
story story
. .
And and
we we
also also
use use
tools tool
in in
astronomy astronomy
called call
spectrographs spectrograph
, ,
and and
that that
is be
where where
we we
don don
' '
t t
just just
take take
pictures picture
, ,
but but
we we
actually actually
take take
the the
light light
and and
we we
spread spread
it it
out out
into into
its its
rainbow rainbow
of of
colors color
. .
And and
what what
we we
do do
is be
we we
look look
for for
what what
we we
call call
fingerprints fingerprint
in in
that that
light light
, ,
if if
you you
will will
. .
Certain certain
atoms atom
and and
molecules molecule
tend tend
to to
absorb absorb
specific specific
colors color
of of
light light
, ,
just just
by by
the the
very very
nature nature
of of
their their
construction construction
, ,
and and
their their
motion motion
and and
vibration vibration
. .
They they
absorb absorb
certain certain
colors color
of of
light light
. .
So so
by by
spreading spread
the the
light light
out out
into into
a a
rainbow rainbow
and and
looking look
for for
patterns pattern
in in
what what
light light
is be
missing miss
, ,
that that
tells tell
you you
what what
molecules molecule
are be
there there
. .
And and
not not
only only
does do
it it
tell tell
you you
[ [
which which
] ]
are be
there there
, ,
it it
tells tell
you you
their their
temperature temperature
. .
It it
can can
tell tell
you you
their their
pressures pressure
. .
By by
tracking track
carefully carefully
these these
lines line
in in
the the
spectrum spectrum
, ,
you you
can can
determine determine
the the
motions motion
of of
this this
material material
. .
And and
so so
we we
don don
' '
t t
just just
have have
a a
static static
picture picture
. .
We we
can can
actually actually
do do
three-dimensional three-dimensional
tomography tomography
of of
astrophysical astrophysical
objects object
by by
using use
this this
spectral spectral
light light
information information
. .
But but
as as
an an
astronomer astronomer
, ,
it it
' '
s s
not not
just just
the the
pictures picture
. .
It it
is be
spreading spread
that that
light light
out out
and and
looking look
into into
its its
constituents constituent
, ,
that that
' '
s s
where where
the the
real real
, ,
deep deep
science science
takes take
place place
. .
That that
' '
s s
where where
you you
get get
what what
stars star
are be
actually actually
made make
of of
. .
Like like
, ,
helium helium
, ,
and and
the the
helium helium
and and
hydrogen hydrogen
, ,
and and
beryllium beryllium
and and
even even
iron iron
and and
nickel nickel
. .
How how
do do
you you
know know
that that
? ?
You you
can can
' '
t t
go go
there there
and and
weigh weigh
it it
. .
You you
learn learn
it it
from from
the the
light light
. .
ND nd
: :
Can can
you you
tell tell
us us
about about
that that
instrument instrument
and and
what what
it it
might might
be be
able able
to to
show show
us us
about about
Uranus uranus
and and
Neptune neptune
and and
some some
of of
the the
other other
giant giant
planets planet
that that
we we
haven haven
' '
t t
been be
able able
to to
see see
before before
? ?
How how
is be
this this
telescope telescope
going go
to to
help help
us us
understand understand
these these
worlds world
? ?
HH hh
: :
Let let
' '
s s
say say
you you
wanted want
to to
study study
Jupiter jupiter
' '
s s
rings ring
, ,
right right
? ?
We we
know know
Jupiter jupiter
has have
rings ring
. .
Voyager voyager
saw see
them them
. .
But but
we we
know know
most most
planetary planetary
rings ring
change change
with with
time time
. .
Trying try
to to
image image
the the
faint faint
ring ring
of of
Jupiter jupiter
next next
to to
the the
incredibly incredibly
bright bright
planet planet
of of
Jupiter jupiter
is be
extraordinarily extraordinarily
difficult difficult
. .
The the
rings ring
are be
a a
million million
times time
fainter faint
than than
the the
planet planet
, ,
and and
they they
' '
re re
right right
next next
to to
it it
. .
But but
James james
Webb webb
Space space
Telescope telescope
, ,
the the
sensitivity sensitivity
is be
so so
good good
and and
the the
imaging imaging
capability capability
is be
so so
good good
that that
the the
scattered scattered
light light
from from
Jupiter jupiter
does do
not not
spread spread
even even
out out
to to
the the
local local
place place
where where
the the
rings ring
are be
. .
So so
in in
our our
first first
images image
, ,
engineering engineering
images image
of of
Jupiter jupiter
, ,
that that
were be
taken take
just just
to to
test test
the the
scattered scattered
light light
on on
the the
camera camera
-- --
they they
took take
a a
couple couple
of of
sharp sharp
, ,
short short
images image
of of
Jupiter jupiter
and and
moved move
Jupiter jupiter
closer closer
and and
closer closer
to to
the the
fine fine
guidance guidance
sensor sensor
to to
see see
if if
it it
would would
screw screw
up up
our our
guiding guide
-- --
even even
in in
those those
short short
engineering engineering
images image
, ,
the the
rings ring
are be
right right
there there
. .
Beautiful beautiful
. .
Just just
totally totally
resolved resolve
right right
next next
to to
the the
planet planet
a a
million million
times time
brighter bright
. .
ND nd
: :
Well well
, ,
can can
we we
talk talk
about about
planets planet
outside outside
the the
solar solar
system system
, ,
too too
? ?
HH hh
: :
Sure sure
. .
Yeah yeah
. .
What what
' '
s s
your your
favorite favorite
? ?
ND nd
: :
What what
' '
s s
your your
favorite favorite
? ?
HH hh
: :
Oh oh
, ,
I i
don don
' '
t t
know know
. .
I i
' '
ve ve
got get
a a
couple couple
of of
favorites favorite
. .
ND nd
: :
Yeah yeah
? ?
HH hh
: :
I i
think think
a a
lot lot
of of
astronomers astronomer
' '
. .
. .
. .
favorite favorite
system system
right right
now now
is be
the the
TRAPPIST-1 trappist-1
system system
. .
ND nd
: :
Yeah yeah
. .
Tell tell
me me
about about
it it
. .
HH hh
: :
TRAPPIST-1 trappist-1
is be
-- --
that that
' '
s s
the the
name name
of of
the the
star star
. .
TRAPPIST trappist
is be
the the
name name
of of
the the
survey survey
, ,
right right
? ?
But but
it it
looked look
at at
this this
star star
and and
it it
discovered discover
that that
there there
are be
at at
least least
seven seven
planets planet
orbiting orbit
this this
star star
. .
And and
most most
of of
those those
planets planet
seem seem
to to
be be
Earth-sized earth-sized
. .
In in
the the
TRAPPIST-1 trappist-1
system system
, ,
several several
of of
the the
planets planet
are be
the the
right right
distance distance
from from
the the
host host
star star
that that
water water
could could
be be
liquid liquid
on on
the the
surface surface
of of
them them
. .
We we
call call
that that
the the
habitable habitable
zone zone
. .
And and
you you
and and
I i
could could
have have
a a
long long
talk talk
about about
what what
habitability habitability
actually actually
means mean
. .
But but
in in
our our
solar solar
system system
, ,
at at
least least
on on
our our
Earth earth
, ,
the the
only only
place place
that that
we we
know know
life life
exists exist
, ,
there there
' '
s s
a a
lot lot
of of
water water
. .
And and
so so
when when
we we
' '
re re
talking talk
about about
looking look
for for
habitable habitable
planets planet
, ,
we we
look look
at at
planets planet
that that
are be
at at
the the
right right
distance distance
from from
their their
host host
star star
that that
they they
could could
have have
water water
on on
them them
. .
So so
that that
TRAPPIST trappist
system system
that that
we we
know know
that that
there there
are be
planets planet
in in
potentially potentially
habitable habitable
region region
, ,
and and
that that
those those
planets planet
are be
roughly roughly
Earth-sized earth-sized
, ,
they they
are be
everybody everybody
' '
s s
favorite favorite
right right
now now
for for
JWST jwst
to to
take take
a a
look look
at at
with with
our our
spectrographs spectrograph
. .
ND nd
: :
Yeah yeah
. .
Do do
you you
think think
there there
is be
life life
beyond beyond
Earth earth
somewhere somewhere
? ?
And and
if if
so so
, ,
where where
? ?
HH hh
: :
OK ok
, ,
so so
let let
me me
answer answer
the the
second second
question question
first first
. .
This this
question question
of of
, ,
" "
is be
there there
alien alien
life life
out out
there there
? ?
" "
I i
usually usually
break break
it it
up up
into into
two two
things thing
. .
One one
is be
a a
thought thought
experiment experiment
about about
the the
size size
of of
the the
universe universe
, ,
the the
scale scale
of of
the the
universe universe
, ,
just just
how how
many many
stars star
there there
are be
in in
our our
galaxy galaxy
. .
And and
then then
how how
many many
galaxies galaxy
? ?
There there
' '
s s
billions billion
of of
stars star
just just
in in
our our
local local
galaxy galaxy
. .
And and
there there
' '
s s
billions billion
of of
galaxies galaxy
out out
there there
. .
And and
we we
talk talk
about about
whether whether
or or
not not
life life
could could
have have
formed form
over over
the the
billions billion
of of
years year
that that
our our
universe universe
has have
existed exist
with with
these these
billions billion
of of
galaxies galaxy
, ,
each each
of of
which which
has have
billions billion
of of
stars star
. .
I i
say say
life life
has have
to to
exist exist
somewhere somewhere
out out
there there
. .
Somewhere somewhere
. .
[ [
It it
] ]
has have
to to
be be
out out
there there
. .
Does do
that that
mean mean
that that
aliens alien
have have
come come
to to
Earth earth
and and
visited visit
us us
? ?
No no
, ,
that that
' '
s s
a a
totally totally
separate separate
question question
. .
I i
just just
-- --
it it
' '
s s
not not
a a
related related
question question
. .
That that
' '
s s
a a
more more
psychological psychological
question question
. .
I i
' '
m m
more more
interested interested
in in
the the
science science
aspect aspect
of of
the the
question question
. .
I i
think think
we we
need need
to to
start start
with with
terrestrial-sized terrestrial-sized
planets planet
that that
are be
the the
right right
distance distance
to to
have have
water water
on on
them them
, ,
because because
those those
are be
the the
conditions condition
required require
to to
create create
life life
as as
we we
know know
it it
on on
Earth earth
. .
And and
the the
only only
kind kind
of of
life life
that that
we we
' '
ll ll
initially initially
recognize recognize
is be
going go
to to
be be
life life
like like
ours ours
, ,
I i
think think
. .
ND nd
: :
So so
JWST jwst
is be
one one
tool tool
that that
we we
can can
use use
in in
the the
search search
for for
life life
beyond beyond
Earth earth
. .
But but
there there
are be
others other
, ,
including include
within within
our our
own own
solar solar
system system
: :
some some
of of
the the
rovers rover
that that
are be
on on
Mars mars
, ,
currently currently
looking look
for for
signs sign
of of
ancient ancient
biosignatures biosignature
or or
ancient ancient
signs sign
of of
alien alien
life life
in in
the the
rocks rock
there there
, ,
but but
also also
some some
of of
the the
missions mission
that that
are be
being be
planned plan
to to
the the
outer outer
solar solar
system system
, ,
and and
specifically specifically
some some
of of
the the
moons moon
there there
. .
I i
' '
m m
curious curious
about about
whether whether
you you
think think
it it
' '
s s
possible possible
that that
life life
exists exist
here here
in in
our our
local local
neighborhood neighborhood
, ,
but but
beyond beyond
Earth earth
. .
HH hh
: :
Hey hey
, ,
anything anything
is be
possible possible
. .
I i
' '
ve ve
learned learn
in in
my my
career career
never never
to to
deal deal
in in
absolutes absolute
because because
the the
universe universe
is be
great great
at at
throwing throw
curveballs curveball
at at
you you
. .
You you
know know
, ,
when when
we we
have have
our our
rovers rover
on on
Mars mars
and and
our our
orbiters orbiter
that that
are be
doing do
really really
exquisite exquisite
orbital orbital
imaging imaging
, ,
it it
' '
s s
clear clear
that that
there there
' '
s s
evidence evidence
that that
at at
one one
time time
there there
was be
liquid liquid
water water
on on
the the
surface surface
of of
Mars mars
. .
There there
' '
s s
sedimentation sedimentation
, ,
there there
' '
s s
a a
chemical chemical
evidence evidence
, ,
there there
' '
s s
, ,
you you
know know
, ,
actually actually
water water
trapped trap
in in
the the
ices ice
in in
the the
poles pole
of of
Mars mars
right right
now now
. .
And and
so so
it it
could could
very very
well well
be be
that that
at at
some some
time time
in in
the the
past past
that that
planet planet
had have
liquid liquid
water water
and and
may may
have have
had have
the the
conditions condition
for for
life life
to to
form form
. .
We we
don don
' '
t t
know know
. .
It it
could could
be be
that that
life life
formed form
there there
first first
and and
transmitted transmit
itself itself
inward inward
to to
us us
. .
We we
could could
be be
Martians martian
. .
ND nd
: :
We we
could could
be be
Martians martian
. .
HH hh
: :
I i
don don
' '
t t
know know
. .
We we
don don
' '
t t
know know
the the
answer answer
to to
that that
. .
Using use
our our
definition definition
of of
looking look
at at
places place
where where
there there
' '
s s
liquid liquid
water water
, ,
you you
know know
, ,
people people
sort sort
of of
initially initially
confined confine
it it
to to
a a
certain certain
distance distance
from from
the the
host host
star star
-- --
sort sort
of of
from from
the the
Earth earth
just just
barely barely
out out
to to
Mars mars
and and
maybe maybe
inward inward
a a
little little
bit bit
, ,
not not
quite quite
as as
inward inward
as as
Venus venus
, ,
but but
they they
kind kind
of of
limited limit
it it
to to
that that
region region
, ,
saying say
, ,
" "
Well well
, ,
Earth earth
is be
the the
Goldilocks goldilocks
zone zone
. .
That that
' '
s s
why why
it it
' '
s s
not not
too too
hot hot
, ,
not not
too too
cold cold
. .
That that
' '
s s
why why
life life
is be
here here
. .
" "
But but
we we
' '
ve ve
learned learn
more more
about about
our our
solar solar
system system
with with
the the
spacecraft spacecraft
and and
telescopes telescope
. .
And and
one one
of of
the the
things thing
that that
we we
have have
learned learn
with with
our our
missions mission
to to
the the
Jupiter jupiter
system system
and and
the the
Saturn saturn
system system
is be
that that
some some
of of
the the
larger large
moons moon
in in
those those
systems system
do do
have have
evidence evidence
of of
liquid liquid
water water
in in
their their
interiors interior
. .
More more
water water
on on
Jupiter jupiter
' '
s s
moon moon
, ,
more more
water water
inside inside
Jupiter jupiter
' '
s s
moon moon
, ,
Europa europa
, ,
that that
we we
have have
on on
the the
surface surface
of of
the the
Earth earth
, ,
which which
is be
kind kind
of of
crazy crazy
. .
Think think
about about
it it
. .
ND nd
: :
It it
' '
s s
mind-boggling mind-boggling
to to
think think
about about
. .
HH hh
: :
The the
question question
is be
, ,
could could
life life
form form
in in
that that
water water
? ?
And and
it it
gets get
back back
to to
what what
are be
the the
ingredients ingredient
you you
need need
for for
life life
? ?
You you
need need
water water
, ,
but but
you you
also also
need need
some some
kind kind
of of
an an
energy energy
source source
. .
You you
need need
some some
kind kind
of of
a a
surface surface
on on
which which
life life
can can
do do
its its
chemical chemical
thing thing
to to
form form
. .
I i
' '
m m
not not
an an
astrobiologist astrobiologist
, ,
so so
I i
don don
' '
t t
know know
what what
the the
right right
lingo lingo
is be
, ,
but but
you you
need need
to to
have have
a a
surface surface
for for
stuff stuff
to to
happen happen
. .
And and
does do
Europa europa
have have
those those
things thing
? ?
Well well
, ,
it it
doesn doesn
' '
t t
have have
them them
on on
its its
surface surface
. .
Its its
surface surface
is be
just just
ice ice
. .
But but
we we
know know
from from
our our
various various
flybys flyby
of of
this this
-- --
we we
were be
able able
to to
map map
out out
its its
structure structure
, ,
its its
internal internal
structure structure
, ,
by by
looking look
at at
the the
magnetic magnetic
