Like like
Media media
Lab lab
they they
are be
doing do
some some
of of
the the
most most
cutting-edge cutting-edge
work work
in in
biomechatronics biomechatronics
, ,
developing develop
motorized motorize
limbs limb
for for
amputees amputee
. .
Originally originally
set set
up up
by by
Hugh hugh
Herr herr
, ,
a a
double double
amputee amputee
who who
was be
able able
to to
develop develop
and and
test test
the the
equipment equipment
on on
himself himself
. .
He he
went go
on on
to to
create create
a a
set set
of of
legs leg
that that
can can
walk walk
, ,
run run
and and
even even
jump jump
without without
seeming seem
to to
be be
mechanical mechanical
at at
all all
. .
The the
gait gait
more more
closely closely
resembles resemble
that that
of of
a a
human human
foot foot
and and
leg leg
because because
the the
motor motor
gives give
the the
wearer wearer
a a
push push
off off
the the
floor floor
to to
move move
the the
foot foot
forwards forwards
from from
the the
ankle ankle
. .
The the
technology technology
here here
, ,
continuing continue
to to
be be
developed develop
by by
Matt matt
Carney carney
and and
his his
colleagues colleague
at at
MIT mit
, ,
is be
really really
quite quite
impressive impressive
, ,
with with
the the
prosthesis prosthesis
connecting connect
directly directly
into into
the the
amputee amputee
' '
s s
bone bone
for for
stability stability
, ,
and and
sensors sensor
reading read
pulses pulse
from from
the the
amputee amputee
' '
s s
muscles muscle
to to
tell tell
the the
limb limb
how how
to to
move move
. .
Ultimately ultimately
, ,
the the
wearer wearer
should should
be be
able able
to to
think think
about about
moving move
their their
foot foot
and and
the the
foot foot
would would
move move
. .
They they
' '
re re
impressive impressive
to to
look look
at at
by by
themselves themselves
. .
But but
of of
course course
, ,
the the
prostheses prosthesis
don don
' '
t t
move move
on on
their their
own own
. .
In in
order order
to to
show show
their their
relationship relationship
to to
humans human
, ,
I i
wanted want
to to
show show
how how
they they
enable enable
amputees amputee
to to
move move
with with
ease ease
and and
fluidity fluidity
. .
But but
how how
do do
you you
photograph photograph
gait gait
? ?
At at
this this
point point
, ,
I i
was be
inspired inspire
by by
the the
work work
and and
photographs photograph
of of
Eadweard eadweard
Muybridge muybridge
, ,
who who
is be
famous famous
for for
his his
series series
of of
images image
of of
a a
running run
horse horse
, ,
made make
in in
1878 @card@
, ,
to to
prove prove
that that
there there
' '
s s
a a
moment moment
when when
all all
four four
of of
the the
horse horse
' '
s s
feet foot
are be
off off
the the
ground ground
at at
the the
same same
time time
. .
He he
went go
on on
to to
make make
hundreds hundred
of of
series series
of of
images image
of of
animals animal
and and
humans human
in in
motion motion
. .
It it
was be
groundbreaking groundbreaking
work work
and and
gave give
us us
one one
of of
the the
first first
opportunities opportunity
to to
study study
the the
anatomy anatomy
of of
motion motion
. .
So so
I i
wanted want
to to
try try
and and
create create
similar similar
kinds kind
of of
motion motion
studies study
of of
amputees amputee
walking walk
, ,
running run
, ,
jumping jump
, ,
using use
this this
technology technology
, ,
and and
to to
think think
of of
them them
as as
motion motion
studies study
of of
an an
enhanced enhanced
human human
motion motion
. .
One one
of of
the the
things thing
I i
learned learn
at at
MIT mit
was be
the the
incredible incredible
importance importance
of of
balance balance
and and
the the
complex complex
system system
of of
reactions reaction
and and
muscles muscle
that that
enable enable
us us
to to
stand stand
on on
two two
feet foot
. .
Those those
of of
us us
with with
children child
will will
remember remember
with with
fond fond
nostalgia nostalgia
the the
moment moment
our our
kids kid
take take
their their
first first
steps step
. .
But but
what what
we we
think think
of of
as as
endearing endear
is be
actually actually
an an
incredible incredible
feat feat
of of
balance balance
and and
counterbalance counterbalance
. .
It it
can can
be be
quite quite
daunting daunting
. .
This this
is be
my my
daughter daughter
Lorelei lorelei
standing standing
for for
the the
first first
time time
without without
any any
support support
. .
It it
lasted last
only only
a a
few few
seconds second
. .
Dance dance
, ,
in in
particular particular
, ,
is be
all all
about about
balance balance
and and
mastering master
the the
fluidity fluidity
of of
movement movement
. .
Pollyanna pollyanna
here here
lost lose
her her
leg leg
in in
an an
accident accident
when when
she she
was be
just just
two two
years year
old old
. .
She she
' '
s s
learned learn
to to
dance dance
with with
the the
aid aid
of of
a a
blade blade
prosthesis prosthesis
and and
she she
now now
competes compete
in in
a a
class class
alongside alongside
nonamputees nonamputee
. .
But but
the the
skill skill
of of
moving move
around around
on on
two two
legs leg
and and
navigating navigate
often often
uneven uneven
ground ground
is be
incredibly incredibly
difficult difficult
to to
replicate replicate
. .
Over over
at at
Munich munich
' '
s s
technical technical
university university
they they
' '
ve ve
developed develop
LOLA lola
, ,
a a
biped biped
humanoid humanoid
robot robot
that that
can can
move move
on on
two two
legs leg
and and
make make
her her
way way
around around
a a
series series
of of
obstacles obstacle
. .
As as
she she
strides stride
along along
, ,
she she
looks look
powerful powerful
and and
impressive impressive
. .
But but
her her
movement movement
is be
also also
somewhat somewhat
clunky clunky
and and
mechanical mechanical
and and
not not
as as
spontaneous spontaneous
or or
unpredictable unpredictable
as as
that that
of of
humans human
. .
At at
the the
end end
of of
it it
all all
, ,
when when
she she
switched switch
off off
, ,
she she
hung hang
down down
on on
her her
cables cable
and and
looked look
kind kind
of of
forlorn forlorn
. .
And and
in in
that that
moment moment
, ,
I i
saw see
her her
as as
more more
human human
than than
I i
had have
done do
when when
she she
was be
walking walk
along along
. .
I i
felt feel
almost almost
sorry sorry
that that
she she
had have
been be
switched switch
off off
. .
Her her
exterior exterior
might might
be be
cold cold
and and
mechanical mechanical
, ,
but but
when when
vulnerable vulnerable
, ,
she she
looked look
more more
real real
to to
me me
. .
Alex alex
Lewis lewis
is be
a a
quadruple quadruple
amputee amputee
who who
lost lose
his his
limbs limb
and and
part part
of of
his his
face face
when when
he he
fell fall
ill ill
with with
strep strep
A a
. .
One one
of of
the the
most most
inspiring inspiring
people people
I i
have have
ever ever
met meet
. .
His his
journey journey
to to
recovery recovery
has have
been be
an an
incredibly incredibly
tough tough
one one
. .
He he
now now
has have
a a
chip chip
in in
his his
arm arm
to to
open open
his his
front front
door door
, ,
a a
set set
of of
mechanical mechanical
arms arm
, ,
and and
a a
handcycle handcycle
to to
get get
around around
. .
Depending depend
on on
what what
he he
is be
doing do
, ,
be be
it it
throwing throw
a a
ball ball
for for
the the
dog dog
, ,
riding ride
his his
handcycle handcycle
, ,
or or
even even
canoeing canoe
, ,
he he
has have
a a
different different
set set
of of
hands hand
that that
he he
attach attach
to to
the the
end end
of of
his his
arms arm
. .
It it
' '
s s
been be
a a
very very
tough tough
journey journey
, ,
but but
the the
hardships hardship
he he
' '
s s
faced face
have have
given give
Alex alex
a a
superhuman superhuman
ambition ambition
. .
He he
genuinely genuinely
told tell
me me
that that
his his
ordeal ordeal
is be
the the
best good
thing thing
that that
ever ever
happened happen
to to
him him
. .
He he
now now
goes go
on on
expeditions expedition
, ,
climbing climb
mountains mountain
in in
Africa africa
, ,
he he
' '
s s
planning planning
to to
cycle cycle
across across
Mongolia mongolia
, ,
and and
he he
works work
with with
London london
' '
s s
Imperial imperial
College college
, ,
helping help
to to
develop develop
a a
motorized motorize
hand hand
, ,
much much
like like
the the
legs leg
they they
are be
developing develop
at at
MIT mit
. .
He he
may may
be be
less less
physically physically
able able
than than
before before
, ,
but but
understanding understand
his his
weaknesses weakness
has have
made make
Alex alex
emotionally emotionally
very very
strong strong
and and
opened open
up up
a a
world world
of of
opportunity opportunity
for for
him him
. .
It it
made make
me me
realize realize
that that
our our
emotions emotion
and and
understanding understand
the the
limits limit
of of
our our
physicality physicality
are be
also also
a a
huge huge
part part
of of
what what
makes make
us us
strong strong
. .
In in
Osaka osaka
I i
meet meet
professor professor
Ishiguro ishiguro
, ,
who who
makes make
robots robot
with with
uncannily uncannily
human human
faces face
and and
expressions expression
. .
First first
, ,
I i
meet meet
Geminoid geminoid
, ,
the the
robot robot
he he
created create
in in
his his
own own
likeness likeness
. .
On on
the the
grid grid
here here
you you
can can
see see
three three
pictures picture
of of
the the
robot robot
, ,
one one
of of
the the
professor professor
. .
Can can
you you
tell tell
which which
is be
which which
? ?
One one
of of
his his
more more
recent recent
creations creation
is be
Ibuki ibuki
, ,
a a
robot robot
made make
to to
look look
like like
a a
ten-year-old ten-year-old
boy boy
, ,
who who
can can
wave wave
and and
show show
a a
range range
of of
facial facial
expressions expression
. .
In in
those those
expressions expression
, ,
I i
saw see
a a
certain certain
vulnerability vulnerability
that that
made make
Ibuki ibuki
feel feel
very very
real real
to to
me me
. .
When when
he he
was be
angry angry
or or
sad sad
, ,
it it
resonated resonate
. .
And and
when when
he he
smiled smile
, ,
I i
wanted want
to to
smile smile
back back
. .
I i
feel feel
I i
was be
drawn draw
to to
Ibuki ibuki
as as
I i
might might
have have
been be
to to
a a
real real
child child
. .
And and
at at
the the
end end
of of
it it
all all
, ,
I i
felt feel
I i
wanted want
to to
thank thank
him him
or or
reach reach
out out
and and
shake shake
his his
hand hand
. .
So so
if if
understanding understand
the the
limits limit
of of
our our
physicality physicality
can can
help help
to to
make make
us us
stronger strong
, ,
then then
seeing see
the the
vulnerability vulnerability
in in
Ibuki ibuki
' '
s s
expressions expression
made make
him him
feel feel
more more
human human
to to
me me
. .
So so
where where
do do
we we
go go
from from
here here
? ?
In in
Tokyo tokyo
, ,
I i
meet meet
professor professor
Takeuchi takeuchi
who who
' '
s s
developed develop
a a
form form
of of
synthetic synthetic
muscle muscle
that that
can can
respond respond
to to
an an
electric electric
pulse pulse
and and
expand expand
or or
contract contract
just just
like like
a a
real real
muscle muscle
. .
As as
it it
does do
so so
, ,
the the
little little
limb limb
here here
moves move
back back
and and
forth forth
. .
Now now
this this
sample sample
is be
only only
tiny tiny
, ,
but but
imagine imagine
the the
possibilities possibility
if if
synthetic synthetic
limbs limb
could could
be be
made make
out out
of of
this this
. .
And and
what what
if if
that that
could could
be be
combined combine
with with
the the
technology technology
that that
reads read
nerve nerve
pulses pulse
from from
the the
end end
of of
an an
amputee amputee
' '
s s
limb limb
? ?
Perhaps perhaps
it it
could could
respond respond
to to
touch touch
and and
feel feel
something something
hot hot
or or
sharp sharp
, ,
sending send
a a
message message
back back
up up
to to
our our
brains brain
, ,
just just
like like
it it
does do
in in
our our
body body
. .
Understanding understand
those those
vulnerabilities vulnerability
would would
make make
the the
technology technology
stronger stronger
too too
. .
Throughout throughout
the the
course course
of of
making make
this this
work work
, ,
I i
' '
ve ve
met meet
some some
incredible incredible
people people
, ,
both both
using use
and and
creating create
technology technology
. .
I i
' '
ve ve
seen see
crazy crazy
possibilities possibility
for for
how how
we we
' '
ll ll
mend mend
and and
enhance enhance
our our
bodies body
. .
But but
I i
' '
ve ve
also also
smiled smile
at at
a a
robot robot
, ,
seen see
a a
young young
girl girl
leap leap
through through
the the
air air
on on
a a
blade blade
and and
shaken shake
the the
hand hand
of of
a a
man man
with with
no no
hands hand
who who
towers tower
emotionally emotionally
above above
us us
all all
. .
I i
' '
m m
left leave
in in
awe awe
of of
the the
complexity complexity
of of
the the
human human
body body
. .
But but
I i
also also
feel feel
that that
it it
' '
s s
not not
just just
our our
bodies body
, ,
bionics bionics
or or
not not
, ,
that that
make make
us us
strong strong
, ,
but but
our our
emotions emotion
and and
understanding understand
our our
weaknesses weakness
. .
But but
I i
' '
d d
like like
to to
think think
of of
these these
works work
as as
studies study
, ,
something something
that that
we we
can can
come come
back back
to to
and and
carefully carefully
observe observe
. .
A a
point point
in in
our our
evolution evolution
before before
time time
runs run
away away
with with
us us
all all
. .
Thank thank
you you
. .
