Let let
things thing
, ,
the the
eggs egg
, ,
the the
cysts cyst
, ,
the the
bacteria bacterium
, ,
the the
viruses virus
, ,
all all
those those
can can
travel travel
in in
one one
gram gram
of of
human human
feces feces
. .
How how
? ?
Well well
, ,
that that
little little
boy boy
will will
not not
have have
washed wash
his his
hands hand
. .
He he
' '
s s
barefoot barefoot
. .
He he
' '
ll ll
run run
back back
into into
his his
house house
, ,
and and
he he
will will
contaminate contaminate
his his
drinking drinking
water water
and and
his his
food food
and and
his his
environment environment
with with
whatever whatever
diseases disease
he he
may may
be be
carrying carry
by by
fecal fecal
particles particle
that that
are be
on on
his his
fingers finger
and and
feet foot
. .
In in
what what
I i
call call
the the
flushed-and-plumbed flushed-and-plumbed
world world
that that
most most
of of
us us
in in
this this
room room
are be
lucky lucky
to to
live live
in in
, ,
the the
most most
common common
symptoms symptom
associated associate
with with
those those
diseases disease
, ,
diarrhea diarrhea
, ,
is be
now now
a a
bit bit
of of
a a
joke joke
. .
It it
' '
s s
the the
runs run
, ,
the the
Hershey hershey
squirts squirt
, ,
the the
squits squit
. .
Where where
I i
come come
from from
, ,
we we
call call
it it
Delhi delhi
belly belly
, ,
as as
a a
legacy legacy
of of
empire empire
. .
But but
if if
you you
search search
for for
a a
stock stock
photo photo
of of
diarrhea diarrhea
in in
a a
leading lead
photo photo
image image
agency agency
, ,
this this
is be
the the
picture picture
that that
you you
come come
up up
with with
. .
Still still
not not
sure sure
about about
the the
bikini bikini
. .
And and
here here
' '
s s
another another
image image
of of
diarrhea diarrhea
. .
This this
is be
Marie marie
Saylee saylee
, ,
nine nine
months month
old old
. .
You you
can can
' '
t t
see see
her her
, ,
because because
she she
' '
s s
buried bury
under under
that that
green green
grass grass
in in
a a
little little
village village
in in
Liberia liberia
, ,
because because
she she
died die
in in
three three
days day
from from
diarrhea diarrhea
— -
the the
Hershey hershey
squirts squirt
, ,
the the
runs run
, ,
a a
joke joke
. .
And and
that that
' '
s s
her her
dad dad
. .
But but
she she
wasn wasn
' '
t t
alone alone
that that
day day
, ,
because because
4 @card@
, ,
000 @card@
other other
children child
died die
of of
diarrhea diarrhea
, ,
and and
they they
do do
every every
day day
. .
Diarrhea diarrhea
is be
the the
second second
biggest big
killer killer
of of
children child
worldwide worldwide
, ,
and and
you you
' '
ve ve
probably probably
been be
asked ask
to to
care care
about about
things thing
like like
HIV hiv
/ /
AIDS aids
or or
T t
. .
B b
. .
or or
measles measles
, ,
but but
diarrhea diarrhea
kills kill
more more
children child
than than
all all
those those
three three
things thing
put put
together together
. .
It it
' '
s s
a a
very very
potent potent
weapon weapon
of of
mass mass
destruction destruction
. .
And and
the the
cost cost
to to
the the
world world
is be
immense immense
: :
260 @card@
billion billion
dollars dollar
lost lose
every every
year year
on on
the the
losses loss
to to
poor poor
sanitation sanitation
. .
These these
are be
cholera cholera
beds bed
in in
Haiti haiti
. .
You you
' '
ll ll
have have
heard hear
of of
cholera cholera
, ,
but but
we we
don don
' '
t t
hear hear
about about
diarrhea diarrhea
. .
It it
gets get
a a
fraction fraction
of of
the the
attention attention
and and
funding funding
given give
to to
any any
of of
those those
other other
diseases disease
. .
But but
we we
know know
how how
to to
fix fix
this this
. .
We we
know know
, ,
because because
in in
the the
mid-19th mid-19th
century century
, ,
wonderful wonderful
Victorian victorian
engineers engineer
installed install
systems system
of of
sewers sewer
and and
wastewater wastewater
treatment treatment
and and
the the
flush flush
toilet toilet
, ,
and and
disease disease
dropped drop
dramatically dramatically
. .
Child child
mortality mortality
dropped drop
by by
the the
most most
it it
had have
ever ever
dropped drop
in in
history history
. .
The the
flush flush
toilet toilet
was be
voted vote
the the
best well
medical medical
advance advance
of of
the the
last last
200 @card@
years year
by by
the the
readers reader
of of
the the
British british
Medical medical
Journal journal
, ,
and and
they they
were be
choosing choose
over over
the the
Pill pill
, ,
anesthesia anesthesia
, ,
and and
surgery surgery
. .
It it
' '
s s
a a
wonderful wonderful
waste waste
disposal disposal
device device
. .
But but
I i
think think
that that
it it
' '
s s
so so
good good
— -
it it
doesn doesn
' '
t t
smell smell
, ,
we we
can can
put put
it it
in in
our our
house house
, ,
we we
can can
lock lock
it it
behind behind
a a
door door
— -
and and
I i
think think
we we
' '
ve ve
locked lock
it it
out out
of of
conversation conversation
too too
. .
We we
don don
' '
t t
have have
a a
neutral neutral
word word
for for
it it
. .
Poop poop
' '
s s
not not
particularly particularly
adequate adequate
. .
Shit shit
offends offend
people people
. .
Feces feces
is be
too too
medical medical
. .
Because because
I i
can can
' '
t t
explain explain
otherwise otherwise
, ,
when when
I i
look look
at at
the the
figures figure
, ,
what what
' '
s s
going go
on on
. .
We we
know know
how how
to to
solve solve
diarrhea diarrhea
and and
sanitation sanitation
, ,
but but
if if
you you
look look
at at
the the
budgets budget
of of
countries country
, ,
developing develop
and and
developed develop
, ,
you you
' '
ll ll
think think
there there
' '
s s
something something
wrong wrong
with with
the the
math math
, ,
because because
you you
' '
ll ll
expect expect
absurdities absurdity
like like
Pakistan pakistan
spending spending
47 @card@
times time
more more
on on
its its
military military
than than
it it
does do
on on
water water
and and
sanitation sanitation
, ,
even even
though though
150 @card@
, ,
000 @card@
children child
die die
of of
diarrhea diarrhea
in in
Pakistan pakistan
every every
year year
. .
But but
then then
you you
look look
at at
that that
already already
minuscule minuscule
water water
and and
sanitation sanitation
budget budget
, ,
and and
75 @card@
to to
90 @card@
percent percent
of of
it it
will will
go go
on on
clean clean
water water
supply supply
, ,
which which
is be
great great
; ;
we we
all all
need need
water water
. .
No no
one one
' '
s s
going go
to to
refuse refuse
clean clean
water water
. .
But but
the the
humble humble
latrine latrine
, ,
or or
flush flush
toilet toilet
, ,
reduces reduce
disease disease
by by
twice twice
as as
much much
as as
just just
putting put
in in
clean clean
water water
. .
Think think
about about
it it
. .
That that
little little
boy boy
who who
' '
s s
running run
back back
into into
his his
house house
, ,
he he
may may
have have
a a
nice nice
, ,
clean clean
fresh fresh
water water
supply supply
, ,
but but
he he
' '
s s
got get
dirty dirty
hands hand
that that
he he
' '
s s
going go
to to
contaminate contaminate
his his
water water
supply supply
with with
. .
And and
I i
think think
that that
the the
real real
waste waste
of of
human human
waste waste
is be
that that
we we
are be
wasting waste
it it
as as
a a
resource resource
and and
as as
an an
incredible incredible
trigger trigger
for for
development development
, ,
because because
these these
are be
a a
few few
things thing
that that
toilets toilet
and and
poop poop
itself itself
can can
do do
for for
us us
. .
So so
a a
toilet toilet
can can
put put
a a
girl girl
back back
in in
school school
. .
Twenty-five twenty-five
percent percent
of of
girls girl
in in
India india
drop drop
out out
of of
school school
because because
they they
have have
no no
adequate adequate
sanitation sanitation
. .
They they
' '
ve ve
been be
used use
to to
sitting sit
through through
lessons lesson
for for
years year
and and
years year
holding hold
it it
in in
. .
We we
' '
ve ve
all all
done do
that that
, ,
but but
they they
do do
it it
every every
day day
, ,
and and
when when
they they
hit hit
puberty puberty
and and
they they
start start
menstruating menstruating
, ,
it it
just just
gets get
too too
much much
. .
And and
I i
understand understand
that that
. .
Who who
can can
blame blame
them them
? ?
So so
if if
you you
met meet
an an
educationalist educationalist
and and
said say
, ,
" "
I i
can can
improve improve
education education
attendance attendance
rates rate
by by
25 @card@
percent percent
with with
just just
one one
simple simple
thing thing
, ,
" "
you you
' '
d d
make make
a a
lot lot
of of
friends friend
in in
education education
. .
That that
' '
s s
not not
the the
only only
thing thing
it it
can can
do do
for for
you you
. .
Poop poop
can can
cook cook
your your
dinner dinner
. .
It it
' '
s s
got get
nutrients nutrient
in in
it it
. .
We we
ingest ingest
nutrients nutrient
. .
We we
excrete excrete
nutrients nutrient
as as
well well
. .
We we
don don
' '
t t
keep keep
them them
all all
. .
In in
Rwanda rwanda
, ,
they they
are be
now now
getting get
75 @card@
percent percent
of of
their their
cooking cooking
fuel fuel
in in
their their
prison prison
system system
from from
the the
contents content
of of
prisoners prisoner
' '
bowels bowel
. .
So so
these these
are be
a a
bunch bunch
of of
inmates inmate
in in
a a
prison prison
in in
Butare butare
. .
They they
' '
re re
genocidal genocidal
inmates inmate
, ,
most most
of of
them them
, ,
and and
they they
' '
re re
stirring stir
the the
contents content
of of
their their
own own
latrines latrine
, ,
because because
if if
you you
put put
poop poop
in in
a a
sealed sealed
environment environment
, ,
in in
a a
tank tank
, ,
pretty pretty
much much
like like
a a
stomach stomach
, ,
then then
, ,
pretty pretty
much much
like like
a a
stomach stomach
, ,
it it
gives give
off off
gas gas
, ,
and and
you you
can can
cook cook
with with
it it
. .
And and
you you
might might
think think
it it
' '
s s
just just
good good
karma karma
to to
see see
these these
guys guy
stirring stir
shit shit
, ,
but but
it it
' '
s s
also also
good good
economic economic
sense sense
, ,
because because
they they
' '
re re
saving save
a a
million million
dollars dollar
a a
year year
. .
They they
' '
re re
cutting cut
down down
on on
deforestation deforestation
, ,
and and
they they
' '
ve ve
found find
a a
fuel fuel
supply supply
that that
is be
inexhaustible inexhaustible
, ,
infinite infinite
and and
free free
at at
the the
point point
of of
production production
. .
It it
' '
s s
not not
just just
in in
the the
poor poor
world world
that that
poop poop
can can
save save
lives life
. .
Here here
' '
s s
a a
woman woman
who who
' '
s s
about about
to to
get get
a a
dose dose
of of
the the
brown brown
stuff stuff
in in
those those
syringes syringe
, ,
which which
is be
what what
you you
think think
it it
is be
, ,
except except
not not
quite quite
, ,
because because
it it
' '
s s
actually actually
donated donate
. .
There there
is be
now now
a a
new new
career career
path path
called call
stool stool
donor donor
. .
It it
' '
s s
like like
the the
new new
sperm sperm
donor donor
. .
Because because
she she
has have
been be
suffering suffer
from from
a a
superbug superbug
called call
C c
. .
diff diff
, ,
and and
it it
' '
s s
resistant resistant
to to
antibiotics antibiotic
in in
many many
cases case
. .
She she
' '
s s
been be
suffering suffer
for for
years year
. .
She she
gets get
a a
dose dose
of of
healthy healthy
human human
feces feces
, ,
and and
the the
cure cure
rate rate
for for
this this
procedure procedure
is be
94 @card@
percent percent
. .
It it
' '
s s
astonishing astonishing
, ,
but but
hardly hardly
anyone anyone
is be
still still
doing do
it it
. .
Maybe maybe
it it
' '
s s
the the
ick ick
factor factor
. .
That that
' '
s s
okay okay
, ,
because because
there there
' '
s s
a a
team team
of of
research research
scientists scientist
in in
Canada canada
who who
have have
now now
created create
a a
stool stool
sample sample
, ,
a a
fake fake
stool stool
sample sample
which which
is be
called call
RePOOPulate repoopulate
. .
So so
you you
' '
d d
be be
thinking think
by by
now now
, ,
okay okay
, ,
the the
solution solution
' '
s s
simple simple
, ,
we we
give give
everyone everyone
a a
toilet toilet
. .
And and
this this
is be
where where
it it
gets get
really really
interesting interesting
, ,
because because
it it
' '
s s
not not
that that
simple simple
, ,
because because
we we
are be
not not
simple simple
. .
So so
the the
really really
interesting interesting
, ,
exciting exciting
work work
— -
this this
is be
the the
engaging engaging
bit bit
— -
in in
sanitation sanitation
is be
that that
we we
need need
to to
understand understand
human human
psychology psychology
. .
We we
need need
to to
understand understand
software software
as as
well well
as as
just just
giving give
someone someone
hardware hardware
. .
They they
' '
ve ve
found find
in in
many many
developing develop
countries country
that that
governments government
have have
gone go
in in
and and
given give
out out
free free
latrines latrine
and and
gone go
back back
a a
few few
years year
later later
and and
found find
that that
they they
' '
ve ve
got get
lots lot
of of
new new
goat goat
sheds shed
or or
temples temple
or or
spare spare
rooms room
with with
their their
owners owner
happily happily
walking walk
past past
them them
and and
going go
over over
to to
the the
open open
defecating defecate
ground ground
. .
So so
the the
idea idea
is be
to to
manipulate manipulate
human human
emotion emotion
. .
It it
' '
s s
been be
done do
for for
decades decade
. .
The the
soap soap
companies company
did do
it it
in in
the the
early early
20th 20th
century century
. .
They they
tried try
selling sell
soap soap
as as
healthy healthy
. .
No no
one one
bought buy
it it
. .
They they
tried try
selling sell
it it
as as
sexy sexy
. .
Everyone everyone
bought buy
it it
. .
In in
India india
now now
there there
' '
s s
a a
campaign campaign
which which
persuades persuade
young young
brides bride
not not
to to
marry marry
into into
families family
that that
don don
' '
t t
have have
a a
toilet toilet
. .
It it
' '
s s
called call
" "
No no
Loo loo
, ,
No no
I i
Do do
. .
" "
And and
in in
case case
you you
think think
that that
poster poster
' '
s s
just just
propaganda propaganda
, ,
here here
' '
s s
Priyanka priyanka
, ,
23 @card@
years year
old old
. .
I i
met meet
her her
last last
October october
in in
India india
, ,
and and
she she
grew grow
up up
in in
a a
conservative conservative
environment environment
. .
She she
grew grow
up up
in in
a a
rural rural
village village
in in
a a
poor poor
area area
of of
India india
, ,
and and
she she
was be
engaged engage
at at
14 @card@
, ,
and and
then then
at at
21 @card@
or or
so so
, ,
she she
moved move
into into
her her
in-law in-law
' '
s s
house house
. .
And and
she she
was be
horrified horrify
to to
get get
there there
and and
find find
that that
they they
didn didn
' '
t t
have have
a a
toilet toilet
. .
She she
' '
d d
grown grow
up up
with with
a a
latrine latrine
. .
It it
was be
no no
big big
deal deal
, ,
but but
it it
was be
a a
latrine latrine
. .
And and
the the
first first
night night
she she
was be
there there
, ,
she she
was be
told tell
that that
at at
4 @card@
o o
' '
clock clock
in in
the the
morning morning
— -
her her
mother-in-law mother-in-law
got get
her her
up up
, ,
told tell
her her
to to
go go
outside outside
and and
go go
and and
do do
it it
in in
the the
dark dark
in in
the the
open open
. .
And and
she she
was be
scared scare
. .
She she
was be
scared scare
of of
drunks drunk
hanging hang
around around
. .
She she
was be
scared scare
of of
snakes snake
. .
She she
was be
scared scare
of of
rape rape
. .
After after
three three
days day
, ,
she she
did do
an an
unthinkable unthinkable
thing thing
. .
She she
left leave
. .
And and
if if
you you
know know
anything anything
about about
rural rural
India india
, ,
you you
' '
ll ll
know know
that that
' '
s s
an an
unspeakably unspeakably
courageous courageous
thing thing
to to
do do
. .
But but
not not
just just
that that
. .
She she
got get
her her
toilet toilet
, ,
and and
now now
she she
goes go
around around
all all
the the
other other
villages village
in in
India india
persuading persuade
other other
women woman
to to
do do
the the
same same
thing thing
. .
It it
' '
s s
what what
I i
call call
social social
contagion contagion
, ,
and and
it it
' '
s s
really really
powerful powerful
and and
really really
exciting exciting
. .
Another another
version version
of of
this this
, ,
another another
village village
in in
India india
near near
where where
Priyanka priyanka
lives live
is be
this this
village village
, ,
called call
Lakara lakara
, ,
and and
about about
a a
year year
ago ago
, ,
it it
had have
no no
toilets toilet
whatsoever whatsoever
. .
Kids kid
were be
dying die
of of
diarrhea diarrhea
and and
cholera cholera
. .
Some some
visitors visitor
came come
, ,
using use
various various
behavioral behavioral
change change
tricks trick
like like
putting put
out out
a a
plate plate
of of
food food
and and
a a
plate plate
of of
shit shit
and and
watching watch
the the
flies fly
go go
one one
to to
the the
other other
. .
Somehow somehow
, ,
people people
who who
' '
d d
been be
thinking think
that that
what what
they they
were be
doing do
was be
not not
disgusting disgusting
at at
all all
suddenly suddenly
thought think
, ,
" "
Oops oops
. .
" "
Not not
only only
that that
, ,
but but
they they
were be
ingesting ingest
their their
neighbors neighbor
' '
shit shit
. .
That that
' '
s s
what what
really really
made make
them them
change change
their their
behavior behavior
. .
So so
this this
woman woman
, ,
this this
boy boy
' '
s s
mother mother
installed install
this this
latrine latrine
in in
a a
few few
hours hour
. .
Her her
entire entire
life life
, ,
she she
' '
d d
been be
using use
the the
banana banana
field field
behind behind
, ,
but but
she she
installed install
the the
latrine latrine
in in
a a
few few
hours hour
. .
It it
cost cost
nothing nothing
. .
It it
' '
s s
going go
to to
save save
that that
boy boy
' '
s s
life life
. .
So so
when when
I i
get get
despondent despondent
about about
the the
state state
of of
sanitation sanitation
, ,
even even
though though
these these
are be
pretty pretty
exciting exciting
times time
because because
we we
' '
ve ve
got get
the the
Bill bill
and and
Melinda melinda
Gates gates
Foundation foundation
reinventing reinvent
the the
toilet toilet
, ,
which which
is be
great great
, ,
we we
' '
ve ve
got get
Matt matt
Damon damon
going go
on on
bathroom bathroom
strike strike
, ,
which which
is be
great great
for for
humanity humanity
, ,
very very
bad bad
for for
his his
colon colon
. .
But but
there there
are be
things thing
to to
worry worry
about about
. .
It it
' '
s s
the the
most most
off-track off-track
Millennium millennium
Development development
Goal goal
. .
It it
' '
s s
about about
50 @card@
or or
so so
years year
off off
track track
. .
We we
' '
re re
not not
going go
to to
meet meet
targets target
, ,
providing provide
people people
with with
sanitation sanitation
at at
this this
rate rate
. .
So so
when when
I i
get get
sad sad
about about
sanitation sanitation
, ,
I i
think think
of of
Japan japan
, ,
because because
Japan japan
70 @card@
years year
ago ago
was be
a a
nation nation
of of
people people
who who
used use
pit pit
latrines latrine
and and
wiped wipe
with with
sticks stick
, ,
and and
now now
it it
' '
s s
a a
nation nation
of of
what what
are be
called call
Woshurettos woshurettos
, ,
washlet washlet
toilets toilet
. .
They they
have have
in-built in-built
bidet bidet
nozzles nozzle
for for
a a
lovely lovely
, ,
hands-free hands-free
cleaning cleaning
experience experience
, ,
and and
they they
have have
various various
other other
features feature
like like
a a
heated heated
seat seat
and and
an an
automatic automatic
lid-raising lid-raising
device device
which which
is be
known know
as as
the the
" "
marriage-saver marriage-saver
. .
" "
But but
most most
importantly importantly
, ,
what what
they they
have have
done do
in in
Japan japan
, ,
which which
I i
find find
so so
inspirational inspirational
, ,
is be
they they
' '
ve ve
brought bring
the the
toilet toilet
out out
from from
behind behind
the the
locked locked
door door
. .
They they
' '
ve ve
made make
it it
conversational conversational
. .
People people
go go
out out
and and
upgrade upgrade
their their
toilet toilet
. .
They they
talk talk
about about
it it
. .
They they
' '
ve ve
sanitized sanitize
it it
. .
I i
hope hope
that that
we we
can can
do do
that that
. .
It it
' '
s s
not not
a a
difficult difficult
thing thing
to to
do do
. .
All all
we we
really really
need need
to to
do do
is be
look look
at at
this this
issue issue
as as
the the
urgent urgent
, ,
shameful shameful
issue issue
that that
it it
is be
. .
And and
don don
' '
t t
think think
that that
it it
' '
s s
just just
in in
the the
poor poor
world world
that that
things thing
are be
wrong wrong
. .
Our our
sewers sewer
are be
crumbling crumble
. .
Things thing
are be
going go
wrong wrong
here here
too too
. .
The the
solution solution
to to
all all
of of
this this
is be
pretty pretty
easy easy
. .
I i
' '
m m
going go
to to
make make
your your
lives life
easy easy
this this
afternoon afternoon
and and
just just
ask ask
you you
to to
do do
one one
thing thing
, ,
and and
that that
' '
s s
to to
go go
out out
, ,
protest protest
, ,
speak speak
about about
the the
unspeakable unspeakable
, ,
and and
talk talk
shit shit
. .
Thank thank
you you
. .
