Nili nili
multiple multiple
production production
pathways pathway
for for
sustainable sustainable
aviation aviation
fuel fuel
. .
Today today
, ,
most most
of of
the the
fuel fuel
is be
being be
produced produce
using use
biofuels biofuel
, ,
which which
just just
isn isn
' '
t t
fit fit
to to
scale scale
. .
So so
what what
we we
need need
to to
do do
is be
look look
at at
pathways pathway
which which
exist exist
. .
Like like
we we
can can
make make
this this
fuel fuel
out out
of of
ethanol ethanol
, ,
we we
can can
make make
it it
out out
of of
carbon carbon
, ,
even even
carbon carbon
dioxide dioxide
that that
' '
s s
been be
captured capture
from from
the the
atmosphere atmosphere
. .
We we
can can
make make
this this
stuff stuff
out out
of of
municipal municipal
solid solid
waste waste
, ,
not not
to to
be be
trashy trashy
. .
And and
so so
the the
example example
of of
aviation aviation
shows show
a a
map map
for for
how how
finance finance
needs need
to to
partner partner
with with
individual individual
sectors sector
to to
get get
this this
done do
. .
Yes yes
, ,
we we
need need
to to
invest invest
with with
airlines airline
and and
give give
them them
long-term long-term
capital capital
to to
achieve achieve
their their
goals goal
. .
But but
also also
separately separately
, ,
we we
need need
to to
invest invest
in in
the the
solutions solution
that that
they they
need need
to to
reach reach
those those
goals goal
. .
And and
I i
think think
that that
the the
aviation aviation
sector sector
also also
paints paint
a a
picture picture
of of
where where
we we
need need
to to
go go
in in
this this
transition transition
as as
a a
whole whole
, ,
why why
it it
' '
s s
hard hard
and and
why why
I i
' '
m m
optimistic optimistic
. .
Because because
the the
truth truth
is be
that that
there there
is be
a a
lot lot
that that
we we
' '
re re
going go
to to
have have
to to
let let
go go
in in
this this
transition transition
, ,
and and
that that
' '
s s
challenging challenging
. .
We we
need need
to to
do do
it it
in in
a a
just just
way way
. .
But but
the the
other other
truth truth
is be
that that
there there
' '
s s
also also
so so
much much
that that
we we
get get
to to
create create
. .
We we
need need
to to
let let
go go
of of
jet jet
fuel fuel
, ,
but but
we we
also also
get get
to to
invest invest
in in
all all
of of
these these
sustainable sustainable
fuels fuel
. .
So so
what what
I i
see see
is be
a a
massive massive
multigenerational multigenerational
opportunity opportunity
for for
growth growth
, ,
sustainable sustainable
growth growth
. .
Just just
imagine imagine
creating create
a a
transition transition
that that
is be
greater great
in in
scale scale
than than
the the
industrial industrial
revolution revolution
to to
be be
delivered deliver
in in
less less
than than
30 @card@
years year
. .
It it
' '
s s
an an
unprecedented unprecedented
opportunity opportunity
for for
impact impact
. .
So so
I i
' '
m m
excited excite
. .
I i
don don
' '
t t
know know
, ,
David david
. .
Do do
you you
think think
that that
we we
can can
do do
this this
? ?
DB db
: :
Well well
, ,
we we
both both
are be
optimists optimist
. .
And and
I i
think think
we we
both both
have have
said say
it it
' '
s s
going go
to to
be be
difficult difficult
, ,
but but
we we
can can
do do
it it
. .
We we
need need
transformational transformational
change change
in in
our our
industries industry
, ,
in in
our our
financial financial
institutions institution
, ,
in in
civil civil
society society
and and
certainly certainly
in in
public public
policy policy
. .
But but
we we
have have
to to
remember remember
and and
understand understand
, ,
and and
we we
' '
re re
seeing see
it it
very very
vividly vividly
now now
, ,
the the
impacts impact
of of
climate climate
change change
are be
with with
us us
now now
and and
will will
get get
more more
accelerated accelerate
over over
the the
course course
of of
the the
next next
couple couple
of of
years year
. .
Al al
[ [
Gore gore
] ]
and and
I i
published publish
an an
op-ed op-ed
in in
the the
" "
Wall wall
Street street
Journal journal
" "
in in
November november
of of
last last
year year
talking talk
about about
fiduciary fiduciary
duty duty
. .
And and
let let
us us
be be
very very
clear clear
: :
investors investor
who who
do do
not not
consider consider
climate climate
are be
running run
significant significant
risks risk
in in
their their
portfolios portfolio
and and
are be
not not
fulfilling fulfill
their their
fiduciary fiduciary
duty duty
. .
A a
pensioner pensioner
living live
in in
a a
5 @card@
. .
5-degree 5-degree
Fahrenheit fahrenheit
-- --
as as
opposed oppose
Celsius celsius
-- --
5 5
. .
5-degree 5-degree
Fahrenheit fahrenheit
world world
with with
degraded degrade
biosystems biosystem
and and
rampant rampant
inequality inequality
will will
not not
enjoy enjoy
the the
fruits fruit
of of
their their
retirement retirement
. .
Now now
we we
know know
finance finance
can can
change change
. .
It it
' '
s s
not not
static static
. .
We we
believe believe
very very
strongly strongly
that that
the the
role role
of of
finance finance
is be
to to
provide provide
the the
means means
for for
society society
to to
achieve achieve
its its
ambitions ambition
. .
And and
the the
good good
news news
is be
climate-led climate-led
investing investing
is be
happening happen
. .
It it
is be
becoming become
an an
asset asset
class class
. .
And and
so so
by by
creating create
situations situation
where where
capital capital
markets market
can can
expand expand
what what
they they
value value
, ,
to to
take take
account account
of of
sustainability sustainability
impacts impact
, ,
will will
allow allow
us us
as as
investors investor
to to
, ,
in in
fact fact
, ,
provide provide
the the
means means
for for
society society
to to
achieve achieve
its its
objectives objective
on on
the the
planet planet
, ,
on on
people people
and and
on on
nature nature
. .
NG ng
: :
Sounds sound
good good
. .
I i
say say
let let
' '
s s
go go
out out
there there
and and
do do
it it
. .
Thank thank
you you
, ,
David david
. .
Thank thank
you you
. .
