Hello hello
know know
, ,
I i
' '
m m
going go
to to
acknowledge acknowledge
that that
and and
stay stay
in in
the the
moment moment
. .
Oh oh
. .
[ [
Thank thank
you you
for for
being be
on on
the the
spot spot
, ,
RuPaul rupaul
! !
] ]
That that
' '
s s
great great
. .
That that
' '
s s
fantastic fantastic
. .
Come come
on on
up up
here here
. .
That that
was be
going go
to to
be be
10 @card@
minutes minute
, ,
and and
I i
have have
four four
minutes minute
and and
37 @card@
seconds second
left leave
. .
Helen helen
Walters walters
: :
You you
want want
to to
chat chat
? ?
RC rc
: :
You you
want want
to to
? ?
HW hw
: :
Shall shall
we we
? ?
RC rc
: :
Let let
' '
s s
do do
it it
. .
HW hw
: :
OK ok
, ,
who who
has have
a a
question question
for for
RuPaul rupaul
? ?
RC rc
: :
Oh oh
, ,
I i
thought think
you you
were be
going go
to to
chat chat
with with
me me
. .
Questions question
from from
the the
audience audience
? ?
HW hw
: :
Why why
not not
? ?
RC rc
: :
Well well
, ,
I i
' '
ll ll
tell tell
you you
why why
not not
. .
I i
don don
' '
t t
think think
in in
all all
the the
years year
I i
' '
ve ve
taken take
questions question
from from
the the
audience audience
, ,
mostly mostly
people people
like like
to to
make make
comments comment
. .
HW hw
: :
That that
' '
s s
true true
. .
RC rc
: :
And and
we we
don don
' '
t t
really really
want want
comments comment
. .
HW hw
: :
No no
, ,
that that
' '
s s
true true
, ,
that that
' '
s s
true true
. .
RC rc
: :
Maybe maybe
you you
and and
I i
should should
come come
up up
with with
a a
few few
questions question
to to
ask ask
me me
. .
HW hw
: :
What what
would would
you you
like like
to to
tell tell
everyone everyone
? ?
RC rc
: :
OK ok
, ,
alright alright
. .
RuPaul rupaul
, ,
what what
is be
the the
best good
piece piece
of of
advice advice
you you
' '
ve ve
ever ever
gotten get
? ?
HW hw
: :
That that
' '
s s
a a
good good
question question
. .
RC rc
: :
Thank thank
you you
. .
My my
10th 10th
grade grade
teacher teacher
, ,
Mr mr
. .
Parnell parnell
in in
Atlanta atlanta
, ,
Georgia georgia
. .
He he
said say
, ,
" "
RuPaul rupaul
, ,
" "
my my
real real
name name
. .
" "
Do do
not not
take take
life life
too too
seriously seriously
. .
" "
The the
emphasis emphasis
on on
" "
too too
. .
" "
He he
actually actually
used use
some some
dirty dirty
language language
in in
there there
, ,
and and
you you
can can
fill fill
in in
the the
blanks blank
where where
he he
put put
it it
. .
HW hw
: :
You you
could could
also also
swear swear
on on
this this
stage stage
, ,
it it
' '
s s
fine fine
. .
RC rc
: :
No no
, ,
no no
, ,
darling darling
, ,
there there
may may
be be
Christian christian
children child
here here
, ,
darling darling
. .
HW hw
: :
There there
are be
none none
, ,
I i
can can
guarantee guarantee
it it
. .
RC rc
: :
But but
no no
, ,
it it
was be
the the
best good
advice advice
at at
the the
time time
. .
I i
was be
in in
10th 10th
grade grade
. .
You you
know know
, ,
I i
flunked flunk
the the
10th 10th
grade grade
. .
I i
repeated repeat
the the
10th 10th
grade grade
, ,
and and
then then
I i
dropped drop
out out
in in
the the
11th 11th
grade grade
. .
But but
of of
all all
the the
time time
I i
spent spend
in in
school school
, ,
that that
was be
the the
most most
valuable valuable
lesson lesson
I i
ever ever
learned learn
. .
And and
as as
the the
years year
went go
on on
, ,
it it
became become
more more
and and
more more
valuable valuable
. .
Because because
. .
. .
. .
it it
' '
s s
like like
we we
are be
actors actor
on on
a a
stage stage
. .
And and
it it
' '
s s
as as
if if
the the
actors actor
believe believe
, ,
say say
, ,
" "
Twelfth twelfth
Night night
, ,
" "
some some
Shakespeare shakespeare
thing thing
. .
The the
actors actor
actually actually
believe believe
they they
are be
the the
characters character
they they
' '
re re
playing playing
, ,
you you
know know
. .
And and
drag drag
and and
laughter laughter
and and
all all
those those
things thing
shake shake
it it
up up
to to
say say
, ,
" "
Hey hey
, ,
kiddo kiddo
, ,
you you
know know
, ,
you you
' '
re re
only only
playing play
a a
role role
. .
This this
show show
will will
close close
. .
And and
we we
' '
re re
going go
to to
go go
on on
to to
another another
show show
and and
another another
show show
and and
another another
show show
, ,
and and
it it
' '
s s
going go
to to
be be
fabulous fabulous
. .
" "
HW hw
: :
Yes yes
, ,
it it
sure sure
is be
. .
RC rc
: :
So so
don don
' '
t t
get get
too too
invested invest
in in
" "
Twelfth twelfth
Night night
, ,
" "
darling darling
. .
HW hw
: :
So so
RuPaul rupaul
? ?
RuPaul rupaul
is be
your your
real real
name name
. .
Why why
did do
your your
mom mom
call call
you you
RuPaul rupaul
? ?
RC rc
: :
Well well
, ,
you you
know know
, ,
listen listen
, ,
I i
will will
answer answer
that that
question question
. .
I i
just just
want want
to to
say say
, ,
if if
there there
are be
any any
people people
who who
want want
to to
get get
into into
show show
business business
, ,
do do
not not
use use
your your
real real
name name
. .
It it
' '
s s
my my
real real
name name
because because
it it
ends end
up up
on on
all all
of of
your your
public public
papers paper
and and
all all
that that
stuff stuff
. .
And and
you you
know know
, ,
you you
' '
re re
at at
the the
gynecologist gynecologist
or or
in in
the the
dentist dentist
chair chair
and and
they they
know know
all all
your your
business business
, ,
you you
know know
. .
But but
my my
mother mother
, ,
my my
mother mother
saw see
a a
psychic psychic
when when
she she
was be
pregnant pregnant
with with
me me
. .
And and
the the
psychic psychic
said say
, ,
" "
You you
' '
re re
going go
to to
have have
a a
boy boy
, ,
and and
he he
' '
s s
going go
to to
be be
famous famous
. .
" "
So so
my my
mother mother
thought think
, ,
" "
You you
know know
, ,
I i
' '
m m
going go
to to
name name
him him
RuPaul rupaul
Andre andre
Charles charles
, ,
because because
ain ain
' '
t t
another another
MF mf
in in
the the
world world
with with
that that
name name
. .
" "
Yeah yeah
, ,
my my
real real
name name
. .
People people
call call
me me
Ru ru
, ,
though though
. .
HW hw
: :
Who who
is be
your your
favorite favorite
person person
on on
the the
planet planet
? ?
RC rc
: :
My my
best good
friend friend
, ,
who who
I i
happen happen
to to
be be
married marry
to to
. .
His his
name name
is be
Georges georges
LeBar lebar
, ,
and and
he he
' '
s s
so so
lovely lovely
and and
kind kind
. .
I i
think think
the the
greatest great
attribute attribute
that that
humans human
can can
have have
is be
kindness kindness
. .
That that
' '
s s
number number
one one
, ,
number number
two two
is be
a a
fat fat
ass ass
. .
But but
and and
he he
' '
s s
got get
both both
. .
He he
' '
s s
Australian australian
. .
He he
' '
s s
absolutely absolutely
lovely lovely
. .
He he
' '
s s
lovely lovely
. .
HW hw
: :
OK ok
, ,
we we
have have
45 @card@
seconds second
, ,
I i
' '
m m
not not
stopping stop
. .
What what
' '
s s
your your
favorite favorite
thing thing
about about
television television
? ?
RC rc
: :
Oh oh
my my
gosh gosh
, ,
I i
learned learn
everything everything
I i
know know
from from
television television
, ,
I i
love love
it it
. .
I i
' '
m m
watching watch
a a
show show
called call
" "
Murder murder
, ,
She she
Wrote write
" "
right right
now now
. .
It it
' '
s s
about about
45 @card@
years year
old old
, ,
and and
I i
can can
' '
t t
get get
enough enough
of of
it it
. .
I i
can can
' '
t t
get get
enough enough
of of
it it
, ,
I i
love love
it it
. .
Murder murder
, ,
she she
sat sit
down down
and and
she she
wrote write
. .
Alright alright
, ,
ladies lady
and and
gentlemen gentleman
, ,
it it
has have
been be
so so
much much
fun fun
. .
HW hw
: :
Thank thank
you you
, ,
Ru ru
. .
RC rc
: :
Thank thank
you you
so so
much much
. .
Give give
love love
to to
somebody somebody
. .
