Usually usually
you you
might might
say say
, ,
" "
Surely surely
, ,
Rueben rueben
, ,
if if
you you
took take
even even
just just
the the
slightest slight
step step
back back
, ,
the the
cycles cycle
of of
hunger hunger
and and
eating eating
, ,
waking wake
and and
sleeping sleep
, ,
laughing laugh
and and
crying cry
would would
emerge emerge
as as
pattern pattern
. .
" "
But but
I i
would would
say say
, ,
" "
If if
I i
did do
that that
, ,
too too
much much
would would
be be
lost lose
. .
" "
This this
tension tension
between between
the the
need need
to to
look look
deeper deep
and and
the the
beauty beauty
and and
immediacy immediacy
of of
the the
world world
, ,
where where
if if
you you
even even
try try
to to
look look
deeper deeper
you you
' '
ve ve
already already
missed miss
what what
you you
' '
re re
looking look
for for
, ,
this this
tension tension
is be
what what
makes make
the the
sculptures sculpture
move move
. .
And and
for for
me me
, ,
the the
path path
between between
these these
two two
extremes extreme
takes take
the the
shape shape
of of
a a
wave wave
. .
Let let
me me
show show
you you
one one
more more
. .
Thank thank
you you
very very
much much
. .
Thanks thanks
. .
Thanks thanks
. .
June june
Cohen cohen
: :
Looking look
at at
each each
of of
your your
sculptures sculpture
, ,
they they
evoke evoke
so so
many many
different different
images image
. .
Some some
of of
them them
are be
like like
the the
wind wind
and and
some some
are be
like like
waves wave
, ,
and and
sometimes sometimes
they they
look look
alive alive
and and
sometimes sometimes
they they
seem seem
like like
math math
. .
Is be
there there
an an
actual actual
inspiration inspiration
behind behind
each each
one one
? ?
Are be
you you
thinking think
of of
something something
physical physical
or or
somthing somthing
tangible tangible
as as
you you
design design
it it
? ?
RM rm
: :
Well well
some some
of of
them them
definitely definitely
have have
a a
direct direct
observation observation
— -
like like
literally literally
two two
raindrops raindrop
falling fall
, ,
and and
just just
watching watch
that that
pattern pattern
is be
so so
stunning stunning
. .
And and
then then
just just
trying try
to to
figure figure
out out
how how
to to
make make
that that
using use
stuff stuff
. .
I i
like like
working work
with with
my my
hands hand
. .
There there
' '
s s
nothing nothing
better well
than than
cutting cut
a a
piece piece
of of
wood wood
and and
trying try
to to
make make
it it
move move
. .
JC jc
: :
And and
does do
it it
ever ever
change change
? ?
Do do
you you
think think
you you
' '
re re
designing design
one one
thing thing
, ,
and and
then then
when when
it it
' '
s s
produced produce
it it
looks look
like like
something something
else else
? ?
RM rm
: :
The the
" "
Double double
Raindrop raindrop
" "
I i
worked work
on on
for for
nine nine
months month
, ,
and and
when when
I i
finally finally
turned turn
it it
on on
, ,
I i
actually actually
hated hate
it it
. .
The the
very very
moment moment
I i
turned turn
it it
on on
, ,
I i
hated hate
it it
. .
It it
was be
like like
a a
really really
deep-down deep-down
gut gut
reaction reaction
, ,
and and
I i
wanted want
to to
throw throw
it it
out out
. .
And and
I i
happened happen
to to
have have
a a
friend friend
who who
was be
over over
, ,
and and
he he
said say
, ,
" "
Why why
don don
' '
t t
you you
just just
wait wait
. .
" "
And and
I i
waited wait
, ,
and and
the the
next next
day day
I i
liked like
it it
a a
bit bit
better well
, ,
the the
next next
day day
I i
liked like
it it
a a
bit bit
better well
, ,
and and
now now
I i
really really
love love
it it
. .
And and
so so
I i
guess guess
, ,
one one
, ,
the the
gut gut
reactions reaction
a a
little little
bit bit
wrong wrong
sometimes sometimes
, ,
and and
two two
, ,
it it
does do
not not
look look
like like
as as
expected expect
. .
JC jc
: :
The the
relationship relationship
evolves evolve
over over
time time
. .
Well well
thank thank
you you
so so
much much
. .
That that
was be
a a
gorgeous gorgeous
treat treat
for for
us us
. .
RM rm
: :
Thanks thanks
. .
