Everybody everybody
because because
I i
am be
leaving leave
. .
However however
, ,
the the
change change
did do
happen happen
, ,
and and
today today
, ,
there there
are be
185 @card@
black black
students student
, ,
there there
are be
16 @card@
black black
or or
multiracial multiracial
professors professor
, ,
there there
are be
four four
black black
deans dean
, ,
and and
there there
' '
s s
an an
entire entire
degree-granting degree-granting
Africana africana
Studies studies
Department department
. .
Project project
' '
87 @card@
changed changed
Davidson davidson
. .
But but
it it
also also
changed change
me me
, ,
because because
what what
it it
taught teach
me me
was be
there there
' '
s s
a a
lot lot
of of
power power
in in
single-mindedness single-mindedness
. .
Well well
, ,
today today
, ,
I i
' '
m m
an an
executive executive
speechwriter speechwriter
for for
one one
of of
the the
biggest big
companies company
in in
the the
world world
. .
It it
' '
s s
a a
profession profession
that that
is be
92 @card@
percent percent
white white
and and
predominantly predominantly
male male
, ,
which which
makes make
me me
a a
little little
bit bit
of of
a a
unicorn unicorn
. .
But but
I i
' '
m m
a a
single-minded single-minded
unicorn unicorn
. .
So so
the the
thing thing
about about
speech speech
writing writing
is be
, ,
it it
' '
s s
very very
personal personal
. .
So so
I i
spend spend
a a
lot lot
of of
time time
in in
deep deep
conversation conversation
with with
the the
CEO ceo
and and
senior senior
executives executive
, ,
and and
a a
lot lot
of of
times time
those those
conversations conversation
turn turn
to to
diversity diversity
and and
inclusion inclusion
, ,
which which
, ,
of of
course course
, ,
I i
' '
m m
always always
happy happy
to to
talk talk
about about
. .
But but
after after
quite quite
a a
few few
of of
these these
conversations conversation
, ,
I i
' '
ve ve
come come
to to
a a
conclusion conclusion
: :
I i
believe believe
that that
business business
is be
in in
a a
position position
to to
do do
something something
that that
no no
other other
entity entity
can can
do do
. .
Business business
can can
dismantle dismantle
racism racism
. .
Now now
, ,
colleges college
can can
' '
t t
do do
it it
. .
There there
aren aren
' '
t t
but but
5 @card@
, ,
000 @card@
of of
them them
in in
the the
United united
States states
and and
only only
20 @card@
million million
students student
enrolled enroll
. .
Church church
can can
' '
t t
do do
it it
, ,
either either
â â
only only
35 @card@
percent percent
of of
us us
go go
on on
a a
regular regular
basis basis
, ,
and and
when when
we we
do do
, ,
eleven eleven
o o
' '
clock clock
Sunday sunday
morning morning
is be
" "
the the
most most
segregated segregated
hour hour
" "
in in
America america
. .
But but
business business
? ?
There there
are be
a a
162 @card@
million million
people people
in in
the the
US us
workforce workforce
alone alone
â â
people people
of of
all all
races race
, ,
united unite
in in
the the
spirit spirit
of of
wanting want
a a
paycheck paycheck
and and
having have
to to
show show
up up
to to
get get
it it
. .
Now now
, ,
I i
' '
m m
aware aware
that that
diversity diversity
is be
bigger big
than than
race race
, ,
and and
racism racism
is be
bigger big
than than
America america
. .
But but
racial racial
discrimination discrimination
is be
the the
most most
prominent prominent
form form
, ,
and and
Lord lord
knows know
America america
is be
the the
absolute absolute
best good
at at
it it
. .
So so
what what
if if
, ,
though though
, ,
what what
if if
we we
worked work
in in
diverse diverse
and and
inclusive inclusive
environments environment
that that
we we
had have
something something
to to
do do
something something
with with
? ?
And and
since since
we we
spend spend
one-third one-third
of of
our our
lives life
at at
work work
, ,
what what
if if
we we
did do
that that
with with
people people
who who
didn didn
' '
t t
look look
like like
us us
? ?
I i
think think
the the
world world
would would
be be
a a
totally totally
different different
place place
outside outside
of of
work work
. .
That that
can can
happen happen
if if
business business
gets get
single-minded single-minded
about about
racism racism
. .
But but
the the
question question
is be
: :
How how
is be
that that
supposed suppose
to to
happen happen
? ?
Well well
, ,
I i
think think
there there
are be
three three
things thing
that that
business business
can can
borrow borrow
from from
Project project
' '
87 @card@
: :
real real
problems problem
, ,
real real
numbers number
, ,
real real
consequences consequence
. .
Like like
it it
or or
not not
, ,
diversity diversity
is be
not not
really really
a a
problem problem
for for
business business
â â
yet yet
. .
I i
mean mean
, ,
it it
' '
s s
a a
nice nice
thing thing
to to
have have
, ,
it it
' '
s s
the the
right right
thing thing
to to
do do
, ,
but but
for for
decades decade
, ,
we we
' '
ve ve
been be
trying try
to to
make make
the the
case case
that that
diversity diversity
fuels fuel
innovation innovation
and and
customer customer
insight insight
. .
I i
mean mean
, ,
at at
this this
point point
, ,
it it
' '
s s
kind kind
of of
a a
no-brainer no-brainer
, ,
a a
little little
bit bit
like like
hearing hear
a a
smoke smoke
alarm alarm
going go
off off
and and
standing stand
with with
your your
hand hand
on on
the the
hot hot
door door
, ,
waiting wait
for for
some some
data datum
to to
tell tell
you you
that that
your your
house house
is be
on on
fire fire
. .
Because because
the the
data data
is be
already already
there there
. .
Ethnically ethnically
diverse diverse
companies company
perform perform
33 @card@
percent percent
better good
than than
the the
norm norm
. .
Forbes forbes
' '
s s
best good
workplaces workplace
for for
diversity diversity
enjoy enjoy
24 @card@
percent percent
higher high
revenue revenue
growth growth
. .
And and
yet yet
, ,
here here
we we
are be
in in
2018 @card@
, ,
and and
there there
are be
only only
three three
black black
CEOs ceo
in in
the the
Fortune fortune
500 @card@
. .
And and
if if
your your
name name
is be
Molly molly
or or
Connor connor
, ,
you you
' '
ve ve
got get
a a
14 @card@
percent percent
better good
chance chance
of of
getting get
a a
callback callback
on on
your your
resume resume
than than
if if
your your
name name
is be
Shanice shanice
or or
DeShawn deshawn
. .
And and
all all
of of
this this
, ,
despite despite
the the
fact fact
that that
by by
2045 @card@
, ,
America america
is be
projected project
to to
be be
a a
minority- minority-
majority majority
country country
. .
Here here
' '
s s
the the
thing thing
: :
the the
business business
case case
for for
diversity diversity
, ,
as as
it it
stands stand
today today
, ,
doesn doesn
' '
t t
really really
speak speak
to to
any any
problem problem
. .
And and
the the
only only
way way
business business
is be
going go
to to
get get
single- single-
minded mind
about about
racial racial
diversity diversity
is be
if if
it it
has have
a a
problem problem
that that
is be
urgent urgent
and and
relative relative
to to
somebody somebody
other other
than than
people people
of of
color color
. .
I i
got get
one one
: :
How how
about about
employees employee
and and
customers customer
? ?
Because because
no no
matter matter
what what
business business
you you
' '
re re
in in
, ,
you you
' '
re re
going go
to to
need need
those those
, ,
right right
? ?
Well well
, ,
let let
' '
s s
talk talk
about about
some some
real real
numbers number
. .
If if
you you
have have
employees employee
and and
customers customer
, ,
wouldn wouldn
' '
t t
it it
make make
sense sense
if if
they they
looked look
a a
little little
bit bit
like like
the the
people people
that that
work work
for for
you you
? ?
So so
if if
that that
' '
s s
the the
case case
, ,
maybe maybe
your your
employee employee
base base
should should
be be
13 @card@
percent percent
Black black
and and
18 @card@
percent percent
Hispanic hispanic
, ,
because because
that that
' '
s s
what what
the the
population population
looks look
like like
. .
Maybe maybe
that that
' '
s s
what what
your your
customer customer
base base
looks look
like like
. .
But but
let let
' '
s s
be be
clear clear
: :
diversity diversity
and and
inclusion inclusion
are be
not not
the the
same same
things thing
. .
Diversity diversity
is be
a a
numbers number
game game
. .
Inclusion inclusion
is be
about about
impact impact
. .
Companies company
can can
mandate mandate
diversity diversity
, ,
but but
they they
have have
to to
cultivate cultivate
inclusion inclusion
. .
And and
if if
inclusion inclusion
is be
what what
you you
' '
re re
after after
, ,
you you
' '
ve ve
got get
to to
calculate calculate
some some
slightly slightly
different different
numbers number
. .
How how
about about
30 @card@
percent percent
? ?
Because because
that that
' '
s s
the the
point point
that that
research research
shows show
at at
which which
the the
voices voice
of of
minorities minority
actually actually
begin begin
to to
be be
heard hear
. .
If if
you you
want want
a a
real real
problem problem
, ,
you you
' '
re re
going go
to to
need need
real real
numbers number
to to
fix fix
it it
, ,
and and
if if
you you
' '
re re
not not
willing willing
to to
set set
real real
numbers number
, ,
then then
maybe maybe
you you
' '
re re
not not
real real
serious serious
about about
diversity diversity
and and
inclusion inclusion
. .
That that
brings bring
me me
to to
my my
third third
point point
: :
real real
consequences consequence
. .
Think think
about about
this this
: :
when when
salespeople salespeople
forget forget
what what
they they
' '
re re
doing do
and and
don don
' '
t t
come come
up up
with with
their their
numbers number
, ,
what what
do do
we we
do do
? ?
We we
give give
them them
a a
little little
time time
, ,
maybe maybe
we we
give give
them them
some some
training training
. .
But but
then then
if if
they they
don don
' '
t t
hit hit
those those
numbers number
eventually eventually
, ,
we we
fire fire
them them
. .
However however
, ,
when when
you you
start start
talking talk
about about
diversity diversity
and and
inclusion inclusion
, ,
we we
use use
terms term
like like
" "
accountability accountability
. .
" "
And and
maybe maybe
we we
scold scold
, ,
and and
maybe maybe
we we
hold hold
back back
an an
incentive incentive
or or
two two
. .
But but
you you
know know
what what
the the
best good
incentive incentive
is be
? ?
A a
job job
. .
And and
you you
know know
what what
the the
best good
disincentive disincentive
is be
? ?
Losing lose
it it
. .
So so
if if
companies company
really really
want want
accountability accountability
, ,
they they
should should
assume assume
that that
that that
is be
a a
given give
. .
Consequences consequence
are be
what what
happen happen
when when
you you
don don
' '
t t
do do
what what
you you
' '
re re
accountable accountable
for for
. .
Imagine imagine
this this
: :
imagine imagine
a a
place place
where where
people people
of of
all all
colors color
and and
all all
races race
are be
on on
and and
climbing climb
every every
rung rung
of of
the the
corporate corporate
ladder ladder
; ;
where where
those those
people people
feel feel
safe safe
â â
indeed indeed
, ,
expected expect
â â
to to
bring bring
their their
unassimilated unassimilated
, ,
authentic authentic
selves self
to to
work work
every every
day day
, ,
because because
the the
difference difference
that that
they they
bring bring
is be
both both
recognized recognize
and and
respected respect
. .
And and
imagine imagine
a a
place place
where where
the the
lessons lesson
we we
learn learn
about about
diversity diversity
at at
work work
actually actually
transform transform
the the
things thing
we we
do do
, ,
think think
and and
say say
outside outside
of of
work work
. .
That that
is be
what what
happens happen
if if
we we
all all
work work
together together
to to
fix fix
what what
' '
s s
broken break
. .
That that
is be
what what
happens happen
if if
we we
stop stop
praying pray
for for
change change
to to
happen happen
and and
actually actually
start start
moving move
our our
feet foot
to to
making make
it it
. .
That that
is be
the the
power power
of of
single-mindedness single-mindedness
. .
Thank thank
you you
. .
